accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.864,0.837910595579298,0.8727459860024701,0.864,0.50485,1,0.3466666666666667,0.9211746522411128,0.8587896253602305,0.9933333333333333,"[46995, 24961, 22692, 74472, 47017, 70048, 70889, 46680, 49203, 72524, 21198, 73894, 20247, 74694, 72404, 72418, 49962, 73254, 72313, 21354, 23201, 20931, 46405, 71034, 71106, 74869, 48057, 23590, 45522, 73726, 22251, 74499, 21411, 47556, 73288, 71862, 71384, 23016, 49435, 70822, 24239, 23923, 48097, 74435, 48789, 74844, 24881, 47891, 71559, 70910, 46459, 46972, 24178, 24452, 46337, 72973, 70008, 71104, 73534, 73954, 49908, 24563, 45613, 72435, 48463, 73390, 47187, 48439, 72538, 20047, 73792, 23593, 22731, 24839, 74016, 23058, 72194, 72831, 21641, 72465, 22950, 70116, 70474, 24055, 47402, 24911, 72201, 49616, 73129, 74255, 20075, 21943, 49265, 24494, 72813, 73551, 49727, 74697]","[4848, 27741, 2586, 619]","{'PRP': 0.0769504093755502, 'of': 0.06719166792357108, 'NN': 0.060809277488750584, 'DT': 0.04971319220983801, 'VB': 0.048552054002733804, 'sentiment': 0.04634987209535522, 'have': 0.04326383453410867, 'the': 0.038755535126097876, 'i': 0.03519038728302619, 'IN': 0.03350040067338516}"
0.8466666666666667,0.808131439710387,0.862598723358217,0.8466666666666667,0.39153,1,0.24666666666666667,0.9122807017543859,0.8410689170182841,0.9966666666666667,"[49071, 70110, 24465, 72456, 24970, 23867, 72048, 24780, 72233, 24577, 22793, 24208, 71747, 21278, 70472, 74524, 22038, 23537, 21101, 49619, 72084, 47595, 45254, 74736, 73636, 73645, 74022, 73844, 46217, 49866, 74705, 22913, 24859, 70677, 47753, 47077, 21221, 49248, 45177, 74793, 73139, 73426, 71870, 70371, 20146, 71082, 21992, 21228, 49535, 22274, 72096, 23167, 47303, 46466, 23709, 49561, 71375, 23541, 47323, 23017, 45111, 71006, 49276, 21615, 73467, 21310, 74433, 70165, 72952, 74730, 22655, 48044, 20164, 45387, 70305, 70422, 48714, 49774, 22990, 46647, 46419, 22157, 72130, 22153, 24236, 72760, 22269, 73953, 22260, 20421, 71352, 24675, 46666, 72840, 70858, 74392, 70469, 21612, 74456, 73999, 72023, 49178, 46125, 70188, 23921, 20325, 74424, 48733, 21147, 24881, 20320, 21445, 73498]","[27371, 4190]","{'PRP': 0.08323212557852355, 'of': 0.06536287310767998, 'NN': 0.05700492531827841, 'sentiment': 0.05640362313692446, 'VB': 0.0484098766634775, 'DT': 0.04472986107192391, 'IN': 0.042996279976253465, 'have': 0.03956496078036664, 'said': 0.03304785795138808, 'the': 0.029758020433599434}"
0.8293333333333334,0.789633886424275,0.8174220963172805,0.8293333333333334,0.34021,1,0.22,0.9019908116385911,0.8342776203966006,0.9816666666666667,"[71070, 20073, 22908, 74773, 71267, 49700, 23208, 49672, 70623, 70248, 47855, 23760, 73932, 24292, 47658, 47124, 73120, 49977, 46053, 48285, 73659, 23042, 21599, 22138, 24596, 20263, 24368, 21187, 72855, 21377, 46293, 72709, 47398, 22572, 21702, 21552, 74905, 21741, 47449, 71103, 74456, 49860, 48261, 46119, 49789, 74763, 49920, 24791, 21621, 47643, 49388, 23310, 24391, 22987, 21209, 48475, 70851, 24704, 21157, 71862, 21521, 70136, 46961, 70648, 74041, 71071, 48517, 70307, 70776, 74492, 24142, 45971, 45092, 45367, 72781, 20589, 49840, 72339, 71208, 71249, 47509, 49829, 48073, 21770, 21464, 21420, 21197, 45019, 20807, 48898, 48400, 21538, 23598, 48313, 72351, 22675, 70504, 24692, 45719, 45275, 46932, 45359, 74591, 70494, 48411, 73775, 47062, 22210, 74280, 71655, 74073, 70257, 48683, 45345, 49464, 23590, 49145]","[2323, 28892, 31236, 36964, 14195, 12589, 10493, 10644, 12151, 11895, 53408]","{'of': 0.07273602340822209, 'PRP': 0.06359056588014389, 'NN': 0.05798172074172212, 'sentiment': 0.05243654033147422, 'DT': 0.04715077705784683, 'the': 0.04603837217647409, 'VB': 0.03962116574024378, 'have': 0.0386200414637047, 'IN': 0.0377451032303695, 'NNS': 0.03128650115017273}"
0.852,0.8159315891992208,0.8710034744917265,0.852,0.41885,1,0.26666666666666666,0.9152024446142093,0.844851904090268,0.9983333333333333,"[74314, 72275, 45009, 21037, 24160, 72033, 23413, 46169, 70509, 23621, 24044, 71220, 20877, 45595, 70611, 24418, 24925, 73935, 73201, 70819, 46861, 23030, 45801, 73267, 47063, 45804, 73872, 49492, 22361, 48064, 71265, 45810, 49218, 46934, 73101, 49852, 23912, 71197, 48847, 23189, 49126, 46957, 24702, 49739, 71020, 22269, 49748, 24566, 47629, 24107, 20257, 24821, 24649, 72484, 49936, 20245, 45806, 24015, 23918, 74774, 72478, 47707, 47115, 24866, 20133, 70093, 22667, 74045, 46259, 70695, 21936, 73941, 72643, 73889, 73202, 45121, 22559, 70739, 45832, 21228, 45150, 47516, 47208, 72258, 72702, 45729, 72956, 48153, 73352, 72101, 48280, 71980, 73901, 71192, 49246, 70023, 46254, 49802, 74101, 23528, 21400, 23449, 73315, 20656, 74497, 70664, 72232, 48861, 23149, 46060]",[4834],"{'PRP': 0.07899698338558159, 'sentiment': 0.06874133634832398, 'of': 0.06738627293362243, 'NN': 0.05773574230159001, 'DT': 0.046862855456655875, 'VB': 0.04248812596432495, 'the': 0.03563222589989627, 'i': 0.033484334402845525, 'said': 0.031196016178835908, 'have': 0.030182963689559847}"
0.8253333333333334,0.7877882880969027,0.8063931992197736,0.8253333333333334,0.34171,1,0.22666666666666666,0.8993082244427364,0.8345221112696148,0.975,"[21615, 71916, 73018, 24949, 24763, 24808, 47133, 24207, 48100, 45677, 20587, 49769, 74598, 46039, 21028, 46405, 22329, 23948, 45656, 70253, 23559, 73185, 71018, 49778, 23790, 46448, 47914, 73958, 47593, 21838, 71907, 23141, 72352, 73896, 23286, 73643, 49100, 73601, 21275, 49089, 23479, 49076, 49029, 71071, 20725, 72760, 45303, 21388, 72724, 24479, 70860, 72102, 71794, 47907, 48417, 20533, 72580, 45141, 49739, 70201, 24151, 48617, 48320, 48375, 22274, 48350, 45614, 71391, 72417, 46981, 74726, 21703, 23933, 73069, 72671, 72658, 23587, 21281, 21162, 45509, 22899, 72938, 71535, 72497, 45459, 47994, 46047, 48369, 21807, 21531, 74211, 49664, 24157, 20341, 22293, 23226, 21242, 72933, 48943, 49570, 74887, 74165, 73796, 20382, 73660, 74005, 45955, 22237, 45184, 24922, 46482, 49098, 49761, 73666, 46161, 23596]","[25398, 28787, 3548, 4284, 1846, 25157, 13433, 1565, 525, 6085, 8142, 60186, 38787, 4305, 26043]","{'of': 0.07904446816909869, 'PRP': 0.07408228366351817, 'NN': 0.052314832409909535, 'sentiment': 0.05080145102377787, 'DT': 0.0503012462856946, 'have': 0.048847799276776224, 'VB': 0.04836560139347085, 'the': 0.042907095180503986, 'IN': 0.03774732691983936, 'i': 0.03155563614249863}"
0.8293333333333334,0.7844356066185496,0.8255368814192344,0.8293333333333334,0.31183,1,0.19333333333333333,0.9025875190258752,0.8305322128851541,0.9883333333333333,"[47317, 21343, 70615, 74310, 71376, 21775, 72026, 46048, 70982, 21895, 74505, 21540, 46640, 22440, 71480, 71425, 45355, 48859, 46072, 74597, 21839, 47242, 72329, 22137, 72867, 20885, 73439, 24287, 21645, 46527, 21006, 46245, 20152, 47575, 71827, 24935, 24444, 47138, 48360, 21880, 73148, 71938, 23873, 21338, 49828, 45614, 24773, 70792, 48893, 47903, 46980, 20009, 74391, 48540, 47391, 21038, 45673, 24333, 20600, 21209, 24460, 24866, 73988, 46492, 74374, 21633, 70799, 22698, 21274, 73589, 49936, 46352, 48962, 24456, 23846, 73912, 70622, 74809, 47139, 46380, 45310, 73066, 20597, 46974, 46622, 74126, 49741, 45041, 49054, 73078, 21796, 71142, 24494, 73521, 49710, 46564, 20391, 20225, 71311, 74259, 49719, 72988, 21131, 71453, 47187, 22952, 71225, 74918, 46473, 71297, 22854, 46248, 46273, 73284, 70383, 21207, 49446, 20552, 47948, 24731, 23361]","[33115, 5522, 25398, 4109, 26163, 27893, 28813]","{'PRP': 0.08238663398065235, 'NN': 0.06445183171712757, 'of': 0.06175145988640818, 'VB': 0.05060946423780991, 'DT': 0.04861749478578883, 'have': 0.045042926736032704, 'sentiment': 0.03956040991509744, 'the': 0.039525066873384064, 'said': 0.0380345941818754, 'i': 0.0342602295445497}"
0.8386666666666667,0.8017211906867078,0.8362174940898346,0.8386666666666667,0.37949,1,0.24666666666666667,0.90727969348659,0.8397163120567376,0.9866666666666667,"[21120, 73810, 71057, 70605, 71525, 70821, 74890, 45093, 73010, 45144, 20807, 70639, 22029, 46056, 21868, 70042, 74688, 24152, 74456, 22042, 48537, 21117, 48043, 20263, 70452, 71745, 73547, 21229, 73125, 47175, 47902, 74434, 72059, 21351, 72818, 71594, 46639, 22892, 20663, 23510, 71638, 20288, 21969, 47964, 24027, 21078, 71785, 73536, 73692, 24641, 70199, 49957, 49672, 24371, 74065, 73155, 70359, 48370, 22572, 47058, 24441, 72405, 21425, 47800, 72398, 70964, 73459, 72514, 73964, 23065, 46061, 70794, 22859, 71671, 23965, 73772, 22591, 72591, 72084, 23479, 23351, 71048, 72114, 23870, 47265, 73499, 74071, 24228, 48572, 23718, 73562, 23044, 70278, 23583, 74737, 23797, 70185, 49700, 45740, 49236, 22942, 74554, 49024, 46589, 20226, 21489, 21690, 48981, 23266, 70547, 73481, 20356, 45291]","[40902, 32564, 32973, 5973, 1338, 27923, 3689, 25876]","{'PRP': 0.07355670878003034, 'NN': 0.06382919900503745, 'VB': 0.06266325767889881, 'of': 0.060707409642875666, 'DT': 0.051244021940247624, 'sentiment': 0.045864323682311116, 'the': 0.04546668099975002, 'RB': 0.037585151265042416, 'have': 0.035196284869038696, 'IN': 0.034420775859602896}"
0.8373333333333334,0.799494797998137,0.8344578933814061,0.8373333333333334,0.37113,1,0.24,0.9065849923430321,0.8385269121813032,0.9866666666666667,"[74453, 47907, 74831, 70897, 20122, 22961, 47553, 46844, 48800, 23960, 45523, 24120, 20413, 45694, 70490, 71111, 73471, 47901, 48426, 48983, 48629, 49087, 48956, 74325, 47002, 73652, 74048, 72087, 24830, 47806, 23162, 21301, 73254, 72078, 48708, 70568, 73486, 49957, 71616, 48308, 46998, 48642, 49643, 73735, 47047, 23377, 74686, 48918, 23888, 49488, 23890, 72481, 23595, 73825, 21340, 73248, 20862, 71964, 73923, 47497, 21778, 70009, 73910, 47219, 74444, 45779, 74990, 72882, 73367, 45958, 73083, 70606, 49677, 23622, 70865, 49743, 73416, 45846, 45756, 73869, 24488, 47207, 22897, 20818, 74472, 71972, 24604, 72168, 45006, 22105, 20374, 72043, 23013, 71584, 72496, 23257, 73411, 73215, 24086, 45954, 21252, 45531, 72533, 47333, 48458, 22814, 73642, 73503, 74451, 74598, 22686, 20146, 45719, 73276]","[11765, 38968, 57801, 52796, 29878, 4444, 4273, 3577]","{'PRP': 0.08531586684627941, 'of': 0.07651231624762322, 'NN': 0.061582849240199966, 'VB': 0.05808149904858323, 'sentiment': 0.05425938240518527, 'the': 0.04625966016409178, 'DT': 0.03960365588164668, 'said': 0.03717481094133266, 'have': 0.03591912532463629, 'NNS': 0.030869476165932296}"
0.8586666666666667,0.8324422481543224,0.8614112019134941,0.8586666666666667,0.49038,1,0.34,0.9179566563467493,0.8569364161849711,0.9883333333333333,"[21180, 47157, 23125, 72400, 73139, 74832, 74484, 74141, 24471, 47527, 45325, 22475, 48621, 47331, 47932, 45419, 20031, 20329, 45938, 70446, 48889, 23993, 21990, 70242, 47015, 74993, 24749, 74359, 48434, 70987, 70093, 48275, 74667, 45825, 71329, 20055, 70469, 46475, 47468, 70096, 49282, 21445, 20657, 49521, 72250, 23476, 74877, 47511, 22379, 74466, 22189, 73661, 45864, 71045, 45710, 48521, 71586, 45981, 21735, 72676, 45582, 72710, 47632, 20894, 22061, 21991, 48453, 70811, 70672, 73168, 47648, 73998, 72320, 24441, 23368, 70852, 73923, 70619, 24852, 24961, 23490, 73432, 73491, 20564, 72916, 22181, 20597, 49788, 22875, 74695, 20768, 71845, 73864, 72249, 46596, 71151, 70213, 71125, 24331]","[19420, 5737, 53369, 29092, 50263, 25752, 4956]","{'PRP': 0.07538338838269468, 'of': 0.06286200371892459, 'NN': 0.06125398577422353, 'sentiment': 0.05950126044548856, 'DT': 0.04678183131735352, 'VB': 0.04348952956569491, 'have': 0.040574252942351785, 'the': 0.03717082633401218, 'NNS': 0.036360614290060975, 'IN': 0.030737598915668837}"
0.8466666666666667,0.8147484287569083,0.8461667928974165,0.8466666666666667,0.42786,1,0.2866666666666667,0.9114703618167821,0.8469241773962805,0.9866666666666667,"[21354, 22449, 23938, 72827, 46208, 47538, 72946, 72359, 45187, 22269, 20259, 71716, 20039, 70219, 73191, 23879, 47932, 49954, 45312, 73792, 48578, 48398, 47305, 72926, 72447, 72914, 23743, 73696, 48216, 71021, 49117, 70267, 20205, 70433, 24622, 71383, 72558, 73189, 74976, 20570, 47780, 48518, 72895, 23386, 45770, 73517, 20989, 21685, 48458, 48797, 21310, 21282, 46799, 22842, 23781, 45326, 20589, 48662, 21205, 71996, 20033, 74530, 24041, 73944, 70645, 47980, 48570, 74877, 21744, 21108, 20065, 21018, 23047, 47858, 47335, 49068, 45414, 73223, 47208, 47939, 49446, 74136, 21436, 47312, 21754, 70028, 74059, 48418, 23514, 71371, 46249, 71457, 23592, 23375, 21251, 49126, 49275, 46814, 74103, 48199, 74092, 70120, 70309, 47693, 46841, 74110, 48215]","[35895, 38909, 28111, 28007, 4413, 25215, 3804, 4109]","{'PRP': 0.07916502171063826, 'of': 0.07236253180464584, 'NN': 0.05523639170014097, 'DT': 0.047588397327020866, 'the': 0.04512312216619758, 'sentiment': 0.044266152590038216, 'i': 0.0440327285771969, 'VB': 0.04288773640796005, 'said': 0.0385277106545296, 'have': 0.033364225549140446}"
