accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.785,0.7823666362992205,0.7994955863808323,0.785,0.80631,1,0.895,0.7584269662921348,0.8653846153846154,0.675,"[752218, 751952, 750559, 750908, 750436, 751170, 752609, 750513, 751394, 751494, 751162, 751540, 752537, 750272, 752488, 751420, 751943, 752068, 751685, 752758, 751601]","[753341, 753981, 753059, 753266, 754646, 753887, 753780, 755085, 754405, 754576, 754051, 754048, 753568, 754891, 753865, 754314, 753383, 754570, 754745, 754259, 752892, 754317, 754445, 754164, 754258, 754339, 754919, 753516, 754907, 753955, 753673, 754070, 752962, 753830, 754012, 752866, 754984, 754247, 755180, 754064, 754690, 753924, 754082, 753385, 753805, 754414, 753863, 754530, 754536, 754768, 753880, 753792, 753631, 754860, 754032, 753995, 753241, 754107, 753871, 753309, 753129, 755175, 754560, 755066, 754695]","{'sentiment': 0.07065364258471306, 'PRP': 0.06955182580439191, 'of': 0.06547625590400735, 'NN': 0.05266849271984892, 'VB': 0.04786054694960516, 'DT': 0.039906786963602406, 'have': 0.034159699193944404, 'IN': 0.03160124584685137, 'to': 0.030704832453664715, 'the': 0.02898814482512704}"
0.7425,0.7325908185187349,0.7846995978985061,0.7425,0.78407,1,0.935,0.6811145510835913,0.8943089430894309,0.55,"[752662, 750976, 752804, 750856, 751159, 750631, 752097, 750710, 752135, 750807, 750587, 751589, 750886]","[754204, 754029, 754606, 753025, 753403, 753645, 753655, 752869, 753276, 753185, 753857, 754527, 754690, 753610, 752927, 754628, 753492, 753803, 754770, 754933, 753415, 754051, 754409, 752922, 754554, 753674, 754316, 755163, 753669, 754576, 754349, 752933, 754524, 754390, 754869, 753548, 753140, 753964, 755152, 754768, 754028, 753430, 753577, 754318, 753777, 753438, 752992, 753060, 752958, 755175, 754826, 753226, 753009, 753542, 754579, 753151, 754352, 754881, 754279, 753971, 753452, 754045, 752882, 753642, 753632, 753527, 755149, 753266, 753897, 754261, 753013, 753839, 753406, 754951, 754874, 754556, 753535, 754611, 753310, 753884, 754050, 753024, 753066, 754483, 753584, 754321, 755142, 754086, 754037, 755180]","{'of': 0.07146269986404168, 'PRP': 0.07081249668691086, 'sentiment': 0.060133481542187395, 'VB': 0.05649986765544836, 'IN': 0.04183999367028323, 'which': 0.04115826590927826, 'NN': 0.03904767520221715, 'DT': 0.038080370982653364, 'to': 0.03610570599926645, 'i': 0.03114796268014933}"
0.7625,0.7528599951872735,0.8110281702657071,0.7625,0.80167,1,0.96,0.7040498442367601,0.9338842975206612,0.565,"[752400, 750821, 750641, 752499, 751058, 750554, 750270, 755201]","[753821, 755136, 753787, 754253, 753523, 753210, 755047, 753072, 753930, 754560, 754042, 755071, 754335, 755088, 753215, 753873, 753947, 754782, 754943, 752962, 753384, 753408, 753737, 753465, 753413, 753364, 753326, 754700, 753831, 754796, 752874, 754113, 753942, 754049, 754241, 753733, 755107, 754807, 754576, 753113, 753281, 754279, 754707, 755195, 754383, 754826, 754612, 754358, 753299, 753738, 754616, 752996, 753671, 755131, 754735, 754412, 753533, 752880, 753802, 754207, 754646, 753938, 753839, 753527, 753164, 753791, 752887, 753389, 754645, 754346, 755046, 754014, 753826, 752863, 754769, 754649, 753418, 753739, 753695, 753445, 753052, 755081, 754907, 753793, 754577, 754819, 753724]","{'PRP': 0.07143322894381769, 'of': 0.06781395556236386, 'sentiment': 0.06640917170729844, 'VB': 0.05978659004297787, 'NN': 0.05518558609030294, 'have': 0.04285897573080784, 'IN': 0.039867322971697476, 'DT': 0.033983915475227736, 'i': 0.03283249619976479, 'the': 0.030136151885665728}"
0.7875,0.7842625904986708,0.8058591983829356,0.7875,0.81069,1,0.91,0.7578347578347578,0.8807947019867549,0.665,"[751349, 752154, 751865, 751305, 750678, 750942, 751924, 752241, 752343, 750477, 751472, 750847, 750554, 752081, 750666, 751089, 751196, 750921]","[753895, 753695, 754445, 754933, 754055, 753656, 755134, 754680, 754888, 754637, 752971, 753947, 752927, 755103, 752887, 754465, 753090, 753665, 754334, 754458, 753790, 753024, 753018, 754404, 753313, 754469, 754357, 754189, 753787, 753167, 755016, 754256, 754928, 753408, 753619, 753429, 754253, 754523, 753074, 753249, 754576, 754099, 754383, 754773, 754311, 753924, 754501, 753719, 754025, 753069, 754979, 753187, 755080, 752884, 754939, 753199, 754616, 752914, 752871, 753770, 753980, 754268, 755088, 754984, 754524, 754790, 753015]","{'PRP': 0.07114450926847021, 'of': 0.0662345190640359, 'NN': 0.05969011804331441, 'VB': 0.058370677747851735, 'sentiment': 0.053054141573917094, 'have': 0.041469146277572276, 'DT': 0.037390915593705415, 'IN': 0.03512321601775548, 'which': 0.03259189585226149, 'NNS': 0.031479903349413085}"
0.7725,0.7663296421120205,0.804682040531097,0.7725,0.8043,1,0.935,0.7283582089552239,0.9037037037037037,0.61,"[751241, 752466, 751972, 750847, 752483, 752641, 752293, 752487, 752718, 751583, 750163, 751409, 750518]","[753776, 753241, 755192, 753020, 754658, 753210, 753175, 754581, 753005, 755121, 754979, 753048, 753413, 754389, 754284, 752926, 753319, 753745, 753648, 755112, 754022, 753548, 753538, 753942, 753294, 753109, 753720, 754173, 754265, 754206, 753578, 755167, 754447, 754019, 754448, 754359, 754936, 755094, 753594, 755016, 753715, 755092, 754452, 754572, 754580, 754303, 754555, 753451, 753024, 754769, 753642, 755075, 753091, 754142, 755140, 753927, 755071, 753013, 753815, 753965, 753047, 753477, 754791, 755000, 754655, 753201, 753945, 753713, 754245, 753039, 754536, 754548, 753042, 753452, 754084, 754532, 753217, 754942]","{'PRP': 0.0751535330338064, 'of': 0.07061820386463773, 'sentiment': 0.055737700710514614, 'VB': 0.05169466572238759, 'NN': 0.05071101193878867, 'IN': 0.041484440182771316, 'DT': 0.03967841801404894, 'have': 0.03501250748283451, 'the': 0.033565056671966506, 'to': 0.032852954302062705}"
0.7925,0.791078024806338,0.8006861812854976,0.7925,0.80831,1,0.875,0.773841961852861,0.8502994011976048,0.71,"[750745, 751929, 751953, 750282, 751915, 751273, 750513, 751673, 752595, 750209, 751394, 751173, 750797, 751943, 752662, 750749, 752487, 751642, 750817, 752355, 750938, 751808, 751549, 750396, 751763]","[754447, 754175, 754969, 754979, 752924, 753841, 753899, 754032, 755053, 752884, 754809, 754083, 754445, 753385, 753672, 754052, 753643, 753390, 754548, 753429, 754719, 753641, 752906, 754014, 752887, 754363, 753097, 755198, 753478, 753608, 754878, 754829, 755131, 753739, 755170, 753963, 753413, 754146, 753971, 754321, 754357, 754791, 754589, 753669, 753648, 752978, 753747, 753086, 753776, 753618, 754919, 753771, 753057, 754086, 752931, 755027, 753404, 754694]","{'PRP': 0.06854230380140089, 'sentiment': 0.06400301258240325, 'NN': 0.057781757480754994, 'of': 0.056445058336537485, 'VB': 0.05234042739455745, 'DT': 0.04280326497118181, 'NNS': 0.042276570082924805, 'have': 0.03279602228480012, 'IN': 0.031004597272825646, 'i': 0.029782547515665652}"
0.835,0.8344038538739462,0.8398944805194806,0.835,0.84434,1,0.895,0.824468085106383,0.8806818181818182,0.775,"[752834, 751390, 752810, 751137, 751963, 751049, 750755, 750272, 750729, 752553, 751226, 750869, 750248, 752595, 750908, 750874, 750822, 752190, 750552, 751970, 750779]","[755198, 754303, 754306, 754948, 752935, 754626, 754527, 753533, 753990, 754997, 755068, 753750, 754019, 753833, 754581, 753945, 755092, 754692, 754697, 753276, 754728, 753770, 754607, 754869, 754143, 753650, 753835, 753854, 754791, 753561, 754625, 753784, 754888, 754410, 753012, 754975, 754570, 752911, 753725, 755182, 752909, 754572, 755099, 754610, 753815]","{'PRP': 0.06611723595869667, 'VB': 0.06112176887770135, 'NN': 0.05989554881843959, 'of': 0.05888363446103573, 'sentiment': 0.04864384459243912, 'i': 0.037289209207283555, 'the': 0.03467505351501228, 'have': 0.03425374478220491, 'IN': 0.032556658826085695, 'DT': 0.03160102359415507}"
0.795,0.7911945201293575,0.8181965268040124,0.795,0.81938,1,0.93,0.7630057803468208,0.9041095890410958,0.66,"[752336, 752483, 750541, 752068, 751845, 750047, 750874, 750737, 752488, 751941, 752504, 750740, 752596, 751236]","[753478, 752921, 754073, 753097, 753945, 754325, 753371, 753519, 754264, 754279, 753346, 752893, 754951, 753040, 754880, 753413, 754695, 754583, 753708, 754159, 754332, 753777, 754221, 752887, 753488, 754092, 753712, 753916, 753109, 755178, 754560, 755147, 753032, 754274, 754607, 754869, 752925, 753558, 753091, 753814, 753773, 753309, 754699, 753789, 752916, 754191, 754396, 752908, 753839, 753408, 755175, 754897, 754588, 754356, 754752, 755013, 754091, 754502, 755058, 755035, 753325, 753926, 754959, 753323, 753790, 754330, 754867, 754347]","{'PRP': 0.07179164750289946, 'of': 0.06415483923862113, 'sentiment': 0.061546093153908264, 'VB': 0.05233503149816847, 'NN': 0.050967463131978995, 'DT': 0.04657931487563124, 'IN': 0.039152900427302774, 'RB': 0.0378468805366113, 'have': 0.035289692473228655, 'mean_sen_len': 0.033925306720818366}"
0.77,0.7657304372183036,0.7912307194477403,0.77,0.79736,1,0.905,0.7341040462427746,0.8698630136986302,0.635,"[751890, 752097, 751299, 750654, 750332, 752297, 751177, 752705, 750947, 750641, 751631, 750009, 752063, 752718, 752314, 752081, 750272, 750385, 750436]","[755015, 753494, 755039, 754560, 752909, 754826, 753489, 753955, 753064, 753969, 754151, 754058, 753024, 752915, 753805, 754891, 754404, 754071, 752880, 755126, 752871, 754171, 753781, 754635, 754793, 754221, 754463, 753129, 754949, 753765, 754856, 753294, 753593, 754772, 753925, 754583, 754546, 753353, 754290, 754961, 753833, 753460, 755133, 754572, 755061, 755111, 753682, 754977, 752868, 753404, 753826, 753526, 754309, 753316, 753165, 753970, 753584, 753847, 754067, 754397, 753457, 753713, 753655, 753650, 754739, 754700, 753215, 753137, 752916, 754897, 753548, 753413, 753463]","{'PRP': 0.0827489487877453, 'of': 0.06841614416978917, 'sentiment': 0.0619528841382844, 'VB': 0.05838769014917901, 'NN': 0.054880950210226424, 'DT': 0.037434785382930574, 'IN': 0.03705890066514283, 'RB': 0.03369343531414286, 'have': 0.03320932865021386, 'to': 0.032010043551722316}"
0.7275,0.7186352519053426,0.7603049286306817,0.7275,0.76858,1,0.905,0.668693009118541,0.8527131782945736,0.55,"[751584, 752472, 750587, 752823, 750963, 750258, 752676, 750528, 750779, 751583, 752098, 751494, 750552, 752100, 752302, 751399, 751351, 751444, 752675]","[753526, 753046, 754969, 753156, 753699, 754703, 753255, 754745, 754022, 754608, 753534, 754356, 755063, 753622, 754661, 754926, 753754, 753303, 754752, 754899, 753069, 753353, 752921, 754658, 755085, 754033, 753539, 753954, 754452, 754012, 752978, 752858, 753277, 754469, 754336, 754601, 754278, 755168, 753370, 753682, 754465, 753603, 753379, 752954, 753407, 753567, 753861, 753969, 753167, 753457, 754239, 753346, 754824, 753608, 753483, 754373, 755188, 754414, 753805, 754268, 753056, 755178, 753945, 754092, 754730, 753736, 753596, 755026, 753619, 754878, 753477, 753441, 754690, 752893, 754305, 753882, 753780, 752973, 752879, 753776, 754952, 753015, 754385, 754154, 755007, 753490, 753719, 754425, 752962, 752915]","{'PRP': 0.0744750867055134, 'sentiment': 0.05857571314265122, 'of': 0.056509230783765824, 'VB': 0.05528538606208401, 'NN': 0.0488726320485167, 'IN': 0.04131591535239631, 'DT': 0.03758837816079889, 'NNS': 0.037205372422546144, 'have': 0.03564209820423639, 'i': 0.03281264592630809}"
