,Key,Count,Mean Score
0,PRP,100,0.07518384410724134
1,of,100,0.06651902691766537
2,sentiment,100,0.060077598808835904
3,NN,100,0.054013287929253286
4,VB,100,0.053231619487325785
6,DT,97,0.038024139198909776
8,IN,95,0.039249685033727756
5,have,64,0.03531803776596826
12,to,53,0.036410943416604516
10,NNS,42,0.03302883346011843
14,RB,34,0.03276228395235094
13,mean_sen_len,34,0.032434292226304964
11,i,30,0.032601389640659444
9,which,26,0.032050151023154824
7,the,24,0.033723829988638196
15,a,1,0.025700300899731455
