accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.97,0.97,0.97,0.97,0.97,1,0.97,0.97,0.97,0.97,"[818400, 818737, 817349, 819686, 817363, 818831, 820108, 819096, 819433, 819055, 818983, 817908]","[820462, 821680, 821314, 821564, 820762, 820210, 820716, 820903, 823107, 823110, 822753, 822458]","{'our': 0.21092425333281262, 'PRP$': 0.1369139192841685, 'sentiment': 0.10423360456158288, 'VBN': 0.04307502306207866, 'RB': 0.03793388215870561, 'this': 0.037545270522966065, 'we': 0.025238255960209264, 'and': 0.022622367826007145, 'VB': 0.021020208375341243, 'into': 0.020662612695315965}"
0.9625,0.9624962496249626,0.9626850740296118,0.9625,0.96287,1,0.9725,0.9621212121212122,0.9719387755102041,0.9525,"[819315, 819518, 817353, 817223, 817901, 817827, 817418, 819150, 817225, 817125, 818257]","[820603, 820718, 820903, 821976, 820789, 821082, 822781, 821385, 822816, 820956, 821768, 820762, 820462, 822623, 822166, 822027, 822790, 820902, 821562]","{'our': 0.19954162404364006, 'PRP$': 0.1435362494588942, 'sentiment': 0.10161911881496515, 'VBN': 0.050499773832348493, 'this': 0.039191987372297364, 'RB': 0.033079635767992374, 'we': 0.029117385432458277, 'and': 0.022865054610112557, 'TTR': 0.022095145450254657, 'into': 0.021472530373305574}"
0.97375,0.9737479900804905,0.9738951303836799,0.97375,0.97398,1,0.9825,0.9735182849936949,0.9821882951653944,0.965,"[819878, 817418, 819677, 817349, 820071, 819126, 817588]","[820902, 820765, 822457, 820806, 821680, 823047, 822576, 822191, 822944, 823110, 820846, 820762, 820557, 821230]","{'our': 0.20448066990211541, 'PRP$': 0.1477920192632242, 'sentiment': 0.11067060858027229, 'VBN': 0.04153462187560791, 'this': 0.03953384139976196, 'RB': 0.03452111708743216, 'TTR': 0.02088072309998501, 'we': 0.019437645235228316, 'and': 0.01925481798151189, 'into': 0.019076564440414383}"
0.97,0.97,0.97,0.97,0.97,1,0.97,0.97,0.97,0.97,"[818121, 817588, 819923, 819671, 819463, 818845, 818909, 818864, 817296, 819315, 817921, 817916]","[821300, 822816, 820396, 821979, 821385, 822297, 822301, 823107, 820876, 822032, 822576, 820935]","{'our': 0.21178936560391456, 'PRP$': 0.1423574963105102, 'sentiment': 0.128834028236071, 'VBN': 0.04753392547660134, 'this': 0.03722503015481136, 'RB': 0.030118336945965427, 'TTR': 0.021852879243380537, 'we': 0.020989077916657255, 'and': 0.02065419286228897, 'are': 0.017729670897112762}"
0.97125,0.9712477986595849,0.9713943645241355,0.97125,0.9715,1,0.98,0.9709962168978562,0.9796437659033079,0.9625,"[818736, 818737, 817695, 820110, 820076, 818640, 817363, 817855]","[822838, 822292, 821082, 822370, 821648, 820557, 821350, 822698, 822825, 820822, 820574, 821300, 822166, 822437, 822286]","{'our': 0.19535206224923027, 'PRP$': 0.14831179700861047, 'sentiment': 0.12007394187199054, 'VBN': 0.03857011538188172, 'RB': 0.03621119953052706, 'this': 0.03422791230157181, 'TTR': 0.02326486708146593, 'and': 0.022323085229289327, 'we': 0.021455711372676097, 'are': 0.02056078528660183}"
0.96625,0.9662499472655426,0.9662529140807129,0.96625,0.96629,1,0.9675,0.9662077596996246,0.9674185463659147,0.965,"[817353, 819090, 818321, 819182, 819329, 818831, 819655, 817588, 817201, 819941, 819744, 817363, 819150]","[822456, 821731, 821026, 822753, 822290, 822370, 821314, 820462, 821433, 822576, 821301, 823047, 820748, 821892]","{'our': 0.21578216728828076, 'PRP$': 0.14293534195125046, 'sentiment': 0.10618113793646113, 'VBN': 0.04070077860444581, 'this': 0.03948008783033335, 'RB': 0.028639979758161512, 'we': 0.026163195626675226, 'TTR': 0.02375731545123366, 'are': 0.02181914199004396, 'and': 0.020041995214769858}"
0.98125,0.9812492675495136,0.9813252070636037,0.98125,0.98137,1,0.9875,0.9811320754716981,0.9873417721518988,0.975,"[817855, 817256, 818973, 819282, 817884]","[822592, 820335, 821962, 821949, 820155, 823024, 821314, 821164, 820854, 820931]","{'our': 0.16880608995387594, 'PRP$': 0.14880180910416171, 'sentiment': 0.12797900033818985, 'VBN': 0.046712903378430884, 'this': 0.04189065027567132, 'we': 0.028769555614930248, 'RB': 0.028122412136094163, 'and': 0.024070386142793648, 'TTR': 0.021927093539250507, 'are': 0.02030856925144845}"
0.96125,0.9612494550704619,0.9612759467720059,0.96125,0.96139,1,0.965,0.9611041405269761,0.964735516372796,0.9575,"[819182, 817855, 817225, 819658, 817365, 817353, 819090, 817125, 819941, 819329, 818005, 819226, 818352, 818121]","[821731, 820956, 821976, 820939, 821350, 821486, 821463, 820210, 821666, 821301, 823023, 820282, 820184, 822776, 820854, 821056, 822294]","{'our': 0.19411548407879525, 'PRP$': 0.15928189481603452, 'sentiment': 0.09907794684487697, 'VBN': 0.04985159743893246, 'this': 0.03996153194517526, 'RB': 0.028454321386323755, 'and': 0.023904953702796175, 'TTR': 0.022888714459669727, 'are': 0.022306346218088996, 'we': 0.02212903874810795}"
0.955,0.9549974686076093,0.955102398039559,0.955,0.95533,1,0.9625,0.9546599496221663,0.9619289340101523,0.9475,"[819824, 818736, 819411, 818368, 817827, 817884, 819923, 819329, 817921, 817815, 817728, 819325, 819282, 818045, 819677]","[822592, 820405, 821648, 820844, 820748, 821892, 820237, 822944, 822402, 821666, 820694, 822796, 822753, 821804, 822781, 822292, 821051, 821486, 821949, 820574, 821562]","{'our': 0.19389942734549337, 'PRP$': 0.16007840247087157, 'sentiment': 0.1182199275464007, 'VBN': 0.03981219827361312, 'this': 0.03722938801341748, 'RB': 0.032034545088580765, 'we': 0.024776834533506095, 'are': 0.020693179296650974, 'TTR': 0.020374484932622682, 'and': 0.01976659004929447}"
0.97375,0.9737479900804905,0.9738951303836799,0.97375,0.97398,1,0.9825,0.9735182849936949,0.9821882951653944,0.965,"[817256, 819878, 817884, 819362, 817588, 818678, 819226]","[820210, 822776, 822456, 822877, 820903, 822286, 821301, 821155, 821976, 820462, 822297, 820237, 821610, 822816]","{'our': 0.20131310946942857, 'PRP$': 0.13966547419236836, 'sentiment': 0.10922804820000769, 'VBN': 0.04680936537180289, 'RB': 0.04162080040168403, 'this': 0.034463473881862994, 'TTR': 0.024325332574368645, 'into': 0.02221185898706319, 'and': 0.020855324188784122, 'we': 0.019866301743464536}"
