accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.91125,0.9112387661563417,0.9114583007647622,0.91125,0.91224,1,0.9225,0.9102402022756005,0.9207161125319693,0.9,"[784755, 785006, 785113, 783990, 783344, 784682, 784909, 783244, 785481, 784751, 783574, 784152, 784277, 785241, 785061, 785643, 783968, 783516, 785171, 783427, 784262, 785888, 785400, 783054, 784469, 784363, 784593, 783547, 784022, 783096, 784641]","[792030, 791932, 792517, 792204, 794114, 792221, 791909, 792492, 792089, 794113, 792671, 794540, 792110, 794408, 794489, 793163, 794557, 792870, 792638, 794460, 792531, 792801, 793317, 794328, 792187, 794538, 792868, 793976, 794003, 793398, 792524, 793228, 794688, 793791, 793236, 794795, 793576, 793141, 793657, 792122]","{'sentiment': 0.07624091214441737, 'and': 0.039068144729359926, 'how': 0.038603720276225266, 'once': 0.03742817640014669, 'to': 0.03601858189072375, 'not': 0.03525390390335174, 'do': 0.027271168411313232, 'because': 0.024005553554405396, 'if': 0.019967540387598452, 'TTR': 0.01776778336772991}"
0.91875,0.9187498730466765,0.9187526172038577,0.91875,0.91885,1,0.92,0.918648310387985,0.9197994987468672,0.9175,"[784984, 783669, 784245, 784697, 783651, 783096, 783621, 784512, 783805, 785351, 785710, 783518, 784870, 783530, 783082, 785223, 783034, 784479, 785247, 783878, 784938, 785288, 784741, 783601, 784222, 784958, 784366, 784262, 785155, 785849, 784730, 785365]","[794652, 793564, 793496, 793462, 792411, 793065, 794737, 793258, 792602, 794408, 794524, 792824, 794119, 793550, 793726, 793792, 792531, 794552, 792219, 793330, 792127, 791932, 793041, 793060, 792870, 792671, 793418, 793189, 793705, 792900, 794727, 793576, 793504]","{'sentiment': 0.0750534666775513, 'not': 0.04434584546762539, 'and': 0.04222254292915868, 'to': 0.037156883364994175, 'how': 0.03469120088372201, 'once': 0.031839317624354296, 'do': 0.0225076770851097, 'if': 0.020019629853584166, 'TTR': 0.01787349297889086, 'because': 0.01727172884316774}"
0.915,0.9149994687466796,0.9150103752593814,0.915,0.91479,1,0.9125,0.9152119700748129,0.9129353233830846,0.9175,"[783774, 785622, 788890, 784593, 783399, 784170, 784035, 784702, 784254, 784647, 783244, 784735, 782984, 784221, 783268, 785881, 784548, 784909, 783702, 784881, 784669, 783245, 783123, 785887, 784641, 784403, 785736, 783002, 785171, 785569, 785274, 783529, 784794, 785456, 784285]","[792897, 794113, 793236, 794507, 794675, 793385, 794427, 792267, 792330, 793761, 793317, 793015, 794661, 793033, 792824, 793831, 793792, 792725, 793398, 794756, 792974, 792937, 794609, 792239, 794031, 792320, 793680, 793457, 792549, 792790, 793688, 792679, 792459]","{'sentiment': 0.06938399069726957, 'and': 0.04159479481777843, 'not': 0.03883121249730287, 'to': 0.03584309497523099, 'how': 0.032922203301967774, 'once': 0.02757410705995489, 'if': 0.023158675783112623, 'because': 0.021300036551418752, 'do': 0.019550195756137315, 'TTR': 0.019256172023746576}"
0.9075,0.9074947965823077,0.9075917081343303,0.9075,0.9068,1,0.9,0.9081885856079405,0.9014778325123153,0.915,"[782901, 784512, 784275, 785102, 783215, 784761, 785724, 784479, 784845, 785569, 783159, 785061, 783593, 785267, 784475, 784506, 784060, 784283, 784380, 784285, 784035, 783700, 785643, 783912, 784246, 785068, 784671, 784222, 788892, 784145, 783439, 784022, 783591, 783343, 785564, 784950, 783766, 783123, 783118, 784697]","[793546, 793290, 791978, 794524, 793141, 793736, 792021, 794724, 793169, 792109, 793172, 792357, 794077, 792659, 794849, 794688, 793609, 793163, 793192, 792702, 794184, 792232, 793261, 793919, 793443, 792900, 792116, 792202, 793688, 794465, 791917, 794220, 794325, 794653]","{'sentiment': 0.06612977903060749, 'not': 0.041717734300648075, 'and': 0.04093687470798237, 'how': 0.03876669484472632, 'once': 0.03674561736865554, 'to': 0.03645293327504731, 'if': 0.024222898198106427, 'do': 0.02419531267332723, 'TTR': 0.017702045544513812, 'because': 0.016617402526890746}"
0.87875,0.878749810546579,0.878752367202295,0.87875,0.8786,1,0.8775,0.8789013732833958,0.8778054862842892,0.88,"[783028, 784526, 784119, 784772, 785028, 783805, 784752, 785171, 782954, 784262, 784870, 784757, 784357, 784845, 784711, 783249, 785449, 784058, 785061, 785274, 783714, 783796, 783035, 785376, 785007, 785867, 784315, 785288, 785295, 783051, 784403, 785276, 784192, 785373, 783125, 785660, 784671, 783558, 783258, 783651, 785234, 788892, 784830, 784182, 785781, 783056, 784258, 784020, 785638]","[794077, 792003, 793018, 792778, 793792, 794540, 794631, 794661, 793928, 794852, 793019, 792159, 791971, 793504, 794775, 792894, 793512, 793582, 792937, 793106, 792007, 794652, 793919, 794328, 794149, 794572, 792074, 793873, 791901, 792868, 794716, 794057, 793385, 794337, 792089, 793696, 792940, 793708, 793141, 793826, 793314, 794807, 794325, 793277, 794220, 793546, 793861, 792737]","{'sentiment': 0.06683346988879213, 'and': 0.03951681895638902, 'to': 0.0366077289278265, 'not': 0.034857901904700034, 'how': 0.03436460444112447, 'once': 0.030052776371102215, 'if': 0.028501895535226134, 'because': 0.02595550349167686, 'do': 0.024771793504819947, 'RB': 0.01775206384095757}"
0.89875,0.8987422474533208,0.8988721545973455,0.89875,0.89963,1,0.9075,0.8978562421185372,0.905852417302799,0.89,"[785223, 783173, 784490, 784574, 783906, 784772, 785540, 784756, 785318, 784798, 785752, 784787, 783558, 783440, 784506, 783268, 784333, 783574, 785456, 785807, 784682, 783539, 783665, 785414, 784364, 785863, 785132, 784266, 784222, 783028, 784020, 784164, 783530, 783035, 783054, 783374, 784110]","[793687, 794883, 794327, 794538, 793443, 792229, 792840, 794489, 794514, 793919, 792660, 793726, 791949, 792824, 793096, 791909, 794661, 792524, 792801, 794503, 794599, 793322, 792963, 792737, 792409, 793391, 792219, 794291, 792064, 792795, 794042, 792868, 793796, 794551, 794524, 792937, 793457, 792676, 792702, 792995, 794736, 792127, 793294, 794578]","{'sentiment': 0.07098223282194206, 'and': 0.041299776381042784, 'not': 0.038272872867756456, 'to': 0.03346452309140976, 'once': 0.03194920527338764, 'how': 0.031239944400417875, 'if': 0.027214034588810235, 'do': 0.02255541257647236, 'because': 0.01895949190854816, 'RB': 0.016874670927649146}"
0.905,0.9049946559493972,0.9050911455077392,0.905,0.90571,1,0.9125,0.9042821158690176,0.9111675126903553,0.8975,"[784315, 784022, 784277, 785485, 784365, 783268, 783878, 783062, 783051, 783366, 784222, 785288, 785414, 785607, 783134, 783553, 785730, 784784, 785660, 785807, 784141, 784874, 783714, 784670, 783787, 788891, 783621, 784266, 784035, 784357, 784479, 784591, 782909, 784151, 783436]","[792659, 794840, 791967, 792898, 793726, 793564, 793362, 794414, 793696, 793791, 794675, 793313, 793822, 794816, 793708, 794765, 794121, 794890, 793329, 794294, 793873, 794775, 794635, 791907, 792577, 794489, 793398, 792702, 792116, 794081, 794661, 793170, 794524, 792725, 794039, 793688, 793439, 792007, 793731, 792229, 792790]","{'sentiment': 0.07302318855297, 'not': 0.045570605554176184, 'and': 0.03710223102448072, 'to': 0.03538131083332727, 'how': 0.03328020673237726, 'once': 0.031564713675034724, 'if': 0.02952650753461126, 'do': 0.02332923750179902, 'TTR': 0.01791069710777135, 'very': 0.017308282545753492}"
0.91375,0.9137433959787546,0.9138767497546124,0.91375,0.9145,1,0.9225,0.9129886506935687,0.9211195928753181,0.905,"[784151, 784874, 783669, 785622, 784037, 783675, 784459, 785452, 785880, 783796, 783989, 785241, 785171, 784776, 788890, 785363, 784733, 783159, 785542, 785730, 784784, 784368, 785167, 784772, 783427, 784221, 785227, 784878, 785394, 784170, 784370]","[793163, 793713, 793443, 794224, 792737, 793496, 793096, 793398, 794080, 792285, 794540, 792982, 792940, 794635, 792064, 792995, 792924, 793919, 792531, 792974, 791971, 792295, 792768, 792058, 792032, 792514, 794737, 793294, 792441, 792774, 793585, 794328, 793466, 792175, 792856, 793976, 793726, 792602]","{'sentiment': 0.07336742408073854, 'not': 0.041693949053515124, 'and': 0.04087540202680523, 'once': 0.03361087860897734, 'how': 0.03303913491193088, 'to': 0.027842716105460914, 'do': 0.02532663150365977, 'if': 0.02411167248107964, 'because': 0.018556351240959296, 'IN': 0.016593242197346904}"
0.91,0.9099949372152184,0.9100922707609211,0.91,0.91067,1,0.9175,0.9093198992443325,0.916243654822335,0.9025,"[785660, 783134, 785647, 784484, 785481, 783850, 784794, 784119, 783354, 784518, 784144, 785111, 785068, 785867, 782993, 783529, 783468, 783558, 784752, 783344, 783153, 785363, 782935, 785266, 785732, 785113, 783515, 785365, 783201, 784626, 785592, 784958, 784318]","[793565, 792225, 794408, 792660, 792967, 792340, 793955, 793185, 793163, 791932, 793375, 794077, 794746, 793576, 793143, 793713, 794003, 794756, 793313, 793106, 793172, 791901, 792995, 794074, 794137, 794653, 792840, 791978, 793774, 793398, 793680, 793658, 794094, 794557, 793196, 794869, 792890, 793867, 793496]","{'sentiment': 0.07165044895999838, 'and': 0.04262298084261884, 'not': 0.039956774286173696, 'to': 0.039286342636317834, 'once': 0.03370314307031186, 'how': 0.032453755564782284, 'if': 0.021358129883486145, 'do': 0.019768258535160677, 'TTR': 0.01775495747608779, 'only': 0.01733843923742749}"
0.89875,0.8987422474533208,0.8988721545973455,0.89875,0.89963,1,0.9075,0.8978562421185372,0.905852417302799,0.89,"[785565, 783500, 784742, 783426, 783684, 784222, 783547, 784747, 783302, 784170, 784872, 784927, 784052, 783075, 785192, 783779, 785288, 784958, 784755, 785068, 784870, 784845, 784874, 784752, 784187, 785069, 785569, 783593, 784370, 784794, 785234, 784262, 785781, 783757, 785155, 785849, 785414]","[793696, 793255, 793019, 792611, 793848, 794737, 793349, 792702, 793687, 794325, 794039, 792671, 793391, 793143, 792032, 792879, 793610, 794790, 792679, 792111, 793400, 793294, 793997, 794003, 794724, 794074, 793261, 792660, 794489, 793713, 794514, 792963, 793761, 793604, 791909, 792175, 792940, 792221, 793065, 792459, 794542, 793288, 792256, 794447]","{'sentiment': 0.07244250351535914, 'and': 0.04302936136179143, 'not': 0.0394442020118521, 'how': 0.03679867935231505, 'to': 0.036648777605003124, 'once': 0.03344472927964103, 'if': 0.026978957884469735, 'do': 0.026255062889963952, 'because': 0.021891707776614797, 'TTR': 0.018104078650313056}"
