accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.9775,0.9774977497749775,0.9776910764305723,0.9775,0.97772,1,0.9875,0.9772727272727273,0.9872448979591837,0.9675,"[765589, 766320, 765579, 767450, 765466]","[770437, 769014, 769636, 768379, 769625, 770243, 770475, 770476, 770457, 769942, 769931, 769253, 770555]","{'sentiment': 0.16025886189134586, 'and': 0.0927085606112, 'lex_density': 0.04875361318218955, 'has': 0.04253836363761433, 'TTR': 0.03398369971332373, 'PRP$': 0.032056459741511875, 'to': 0.02653441857528524, 'NN': 0.025544920638188594, 'see': 0.02210321833850729, 'RBS': 0.01969063848115718}"
0.9625,0.9624997656235351,0.9625115627890696,0.9625,0.96259,1,0.965,0.9624060150375939,0.964824120603015,0.96,"[765608, 766329, 766570, 765668, 765551, 765744, 766428, 765697, 764623, 772897, 778714, 767561, 765623, 767191]","[770396, 767635, 767975, 769737, 769335, 770056, 770537, 769271, 769765, 768103, 768698, 768387, 769671, 770196, 770215, 767869]","{'sentiment': 0.17829413328603025, 'and': 0.08475372779306312, 'lex_density': 0.039436336498235594, 'TTR': 0.03602487855359802, 'has': 0.035490713547685016, 'PRP$': 0.03351031411667346, 'NN': 0.029194998447946464, 'see': 0.024813070255417076, 'to': 0.019924842058799384, 'RBS': 0.01943425282351262}"
0.9775,0.9774998593741211,0.977511937798445,0.9775,0.97744,1,0.975,0.9775561097256857,0.9751243781094527,0.98,"[765402, 766856, 767123, 767118, 765608, 764810, 764823, 766473, 764611, 764871]","[770457, 767949, 770216, 767635, 768837, 768644, 769084, 769265]","{'sentiment': 0.16715384832524932, 'and': 0.08807408491154581, 'has': 0.04527529404178018, 'lex_density': 0.044447250809452665, 'PRP$': 0.04235003804136529, 'TTR': 0.03507838939797024, 'NN': 0.026782659856682156, 'see': 0.024442975356211198, 'to': 0.021530050868530996, 'such': 0.019152878618593557}"
0.97,0.969998312405073,0.9701057737991047,0.97,0.97022,1,0.9775,0.9697732997481109,0.9771573604060914,0.9625,"[766917, 766435, 765187, 765713, 764760, 772897, 765646, 765589, 766525]","[767635, 768449, 770475, 769447, 769683, 768404, 769660, 767965, 770032, 768328, 768359, 769265, 769323, 769971, 770402]","{'sentiment': 0.16602260010898914, 'and': 0.08241482968155475, 'lex_density': 0.0457950760435081, 'has': 0.04497778161333246, 'PRP$': 0.03493551279030267, 'TTR': 0.029663985980107138, 'see': 0.026472899448704252, 'NN': 0.02524580991195075, 'to': 0.023160847974313028, 'RBS': 0.018899356620399835}"
0.9725,0.9724938111074991,0.9729256330697628,0.9725,0.97291,1,0.9875,0.9720812182741116,0.9871134020618557,0.9575,"[765670, 767560, 766250, 764628, 765104]","[770396, 769654, 769335, 770243, 768609, 769671, 768117, 768106, 767590, 768542, 770433, 767767, 770428, 767629, 769691, 768481, 769739]","{'sentiment': 0.17859321572392364, 'and': 0.08579760555965323, 'has': 0.04665327295256553, 'lex_density': 0.04579277310978371, 'TTR': 0.03519002760011774, 'to': 0.030400320040634053, 'PRP$': 0.030227639579942265, 'see': 0.02127326996243906, 'for': 0.01947893501139312, 'NN': 0.019430193370609562}"
0.9725,0.9724984530379834,0.9726063364256958,0.9725,0.9727,1,0.98,0.9722921914357683,0.9796954314720813,0.965,"[766046, 765748, 766570, 767322, 765589, 766195, 767232, 766435]","[767656, 770216, 768216, 769323, 770457, 770215, 769447, 768103, 768941, 768127, 769253, 769008, 768321, 768219]","{'sentiment': 0.1710728495371923, 'and': 0.07368175568600735, 'lex_density': 0.04797894412000078, 'has': 0.035297547901789066, 'TTR': 0.03519995868969862, 'PRP$': 0.030759151725362633, 'NN': 0.026737202194716238, 'see': 0.024856662849611886, 'for': 0.02349048600383581, 'to': 0.023147082818525826}"
0.97,0.969999812498828,0.9700117502937573,0.97,0.97007,1,0.9725,0.9699248120300752,0.9723618090452262,0.9675,"[765190, 770558, 766392, 772897, 767161, 765173, 765579, 767522, 765318, 766733, 767334]","[769323, 768890, 768592, 769636, 770033, 770325, 768438, 768216, 769262, 768285, 768644, 768876, 768451]","{'sentiment': 0.1617102633172424, 'and': 0.0815221470605536, 'lex_density': 0.04573293310913606, 'has': 0.044310694205959095, 'PRP$': 0.03570958475899836, 'TTR': 0.0304481337501957, 'NN': 0.02867024475198232, 'to': 0.028072702292760564, 'see': 0.02187333299761317, 'RBS': 0.01934697358419364}"
0.9725,0.9725,0.9725,0.9725,0.9725,1,0.9725,0.9725,0.9725,0.9725,"[765179, 766743, 766349, 765579, 770557, 765668, 764608, 765670, 765589, 765492, 766605]","[768698, 767987, 769178, 768242, 770433, 767590, 768451, 770457, 769954, 768117, 769335]","{'sentiment': 0.15976705161776925, 'and': 0.08753280634101007, 'lex_density': 0.0491426062906485, 'has': 0.047473909963698935, 'PRP$': 0.03995603459896209, 'TTR': 0.03283233220727213, 'NN': 0.02424298613444729, 'see': 0.023014298032345525, 'to': 0.0200885196570899, 'RBS': 0.018719545342090367}"
0.96875,0.9687499511717987,0.9687529297058106,0.96875,0.96879,1,0.97,0.9687108886107635,0.9699248120300752,0.9675,"[766233, 772896, 764823, 766596, 766770, 778714, 766312, 765318, 766570, 764994, 765433, 766935]","[770314, 768103, 769207, 768899, 767721, 770297, 768592, 769514, 768285, 767590, 769654, 768216, 769513]","{'sentiment': 0.1670684535059452, 'and': 0.08713246067355421, 'has': 0.04752263857414217, 'lex_density': 0.04572407649893139, 'PRP$': 0.03610625287944109, 'TTR': 0.030432293156573392, 'to': 0.023415296977823505, 'for': 0.022688749423016207, 'see': 0.02138569465086366, 'NN': 0.019704480136372514}"
0.95875,0.9587494199137174,0.9587758061390954,0.95875,0.9589,1,0.9625,0.958594730238394,0.9622166246851386,0.955,"[767388, 765104, 765238, 765173, 767561, 766545, 772897, 764579, 766518, 766621, 765065, 765038, 764939, 766257, 766066]","[769188, 770402, 769271, 768531, 768385, 770537, 768103, 769737, 769178, 769265, 769942, 768472, 770209, 770445, 768449, 768809, 770428, 768359]","{'sentiment': 0.16984018868873008, 'and': 0.09408764366912414, 'has': 0.04303104897557047, 'PRP$': 0.03957022310242467, 'TTR': 0.03552274727255601, 'lex_density': 0.033418093824952824, 'NN': 0.030498711515173447, 'see': 0.023385906340032726, 'for': 0.021403424857613935, 'to': 0.020737250689849492}"
0.965,0.9649991249781245,0.9650465046504649,0.965,0.96517,1,0.97,0.964824120603015,0.9696969696969697,0.96,"[767123, 766150, 765638, 765173, 767023, 766312, 765024, 765668, 767105, 767388, 766321, 766695]","[768142, 769084, 768799, 768698, 769332, 769402, 769078, 768531, 770555, 770249, 769959, 767978, 767894, 768227, 768777, 768098]","{'sentiment': 0.1619582743873811, 'and': 0.0807105385947919, 'lex_density': 0.04265526852637608, 'has': 0.04126614863040306, 'PRP$': 0.03984096547871251, 'TTR': 0.03326077129560487, 'NN': 0.02841637517201869, 'see': 0.025763127842923627, 'to': 0.025625317693687963, 'for': 0.0211697947871951}"
0.9625,0.9624978905063409,0.9626040859193319,0.9625,0.96222,1,0.955,0.9627791563275434,0.9556650246305419,0.97,"[765433, 764628, 765103, 767063, 767241, 765421, 765589, 766030, 765055, 766066, 766349, 766149, 765362, 765173, 765807, 767561, 765437, 766631]","[770320, 770428, 769777, 768359, 769954, 768899, 769660, 769187, 767635, 770088, 769178, 768793]","{'sentiment': 0.14837514741122407, 'and': 0.08803492085257723, 'has': 0.05386665772925497, 'lex_density': 0.04546539088176238, 'PRP$': 0.03136761769807169, 'TTR': 0.030850600007651056, 'see': 0.026700758449720165, 'such': 0.023669236476987682, 'NN': 0.02299816213985717, 'to': 0.02187132344411093}"
0.95875,0.9587468415550566,0.9588905352264132,0.95875,0.95911,1,0.9675,0.9583858764186634,0.9669211195928753,0.95,"[764946, 766473, 766046, 767023, 764608, 765175, 764708, 766197, 766392, 765579, 772897, 764942, 765104]","[770457, 768328, 769727, 770396, 770418, 770215, 768644, 768576, 770428, 769188, 767949, 767947, 769625, 769517, 769971, 769253, 769447, 769765, 769739, 768134]","{'sentiment': 0.159027968627876, 'and': 0.08835719799303662, 'lex_density': 0.04489665401784084, 'has': 0.040822161431453556, 'PRP$': 0.037799552333096086, 'TTR': 0.031052944236863323, 'see': 0.030551043225346595, 'NN': 0.029133619495151628, 'to': 0.023782539540736856, 'for': 0.021309434265775716}"
0.96,0.9599997499984374,0.9600115002875071,0.96,0.9601,1,0.9625,0.9598997493734336,0.9623115577889447,0.9575,"[767161, 766435, 766430, 766856, 767388, 766225, 766518, 764794, 766917, 767443, 765683, 770557, 766770, 765589, 765437]","[769737, 768117, 768103, 769269, 767629, 767767, 768644, 769609, 768899, 769335, 769944, 768285, 767800, 768339, 768793, 769380, 768328]","{'sentiment': 0.17498545816163005, 'and': 0.0840693397722723, 'has': 0.04335625551228551, 'lex_density': 0.04168152010974633, 'PRP$': 0.03415492068347805, 'TTR': 0.031045617308406333, 'to': 0.027230839050038758, 'see': 0.026912204762003674, 'for': 0.0209746113625104, 'NN': 0.020759486842122366}"
0.96375,0.9637494902272062,0.9637760874049165,0.96375,0.96361,1,0.96,0.9638854296388543,0.9602977667493796,0.9675,"[765638, 767075, 765509, 764708, 766329, 766225, 765568, 766349, 765190, 765931, 765589, 765670, 766428, 765362, 770557, 767123]","[768592, 769271, 767965, 768449, 770555, 769979, 769447, 770141, 770033, 768359, 767975, 769625, 770249]","{'sentiment': 0.14587129142011818, 'and': 0.08092697868179802, 'lex_density': 0.053289416403694646, 'has': 0.04768375648154792, 'PRP$': 0.03479205874648146, 'TTR': 0.031671085722438326, 'see': 0.02585645043470715, 'NN': 0.02580080182107663, 'to': 0.021957138638533335, 'such': 0.018433583084053146}"
0.96125,0.9612494550704619,0.9612759467720059,0.96125,0.9611,1,0.9575,0.9613947696139477,0.9578163771712159,0.965,"[766320, 766605, 765175, 764871, 764815, 766570, 767232, 764668, 764942, 767146, 766596, 770558, 770557, 765466, 764708, 765238, 765744]","[770396, 770428, 770141, 768890, 767947, 770314, 769727, 769351, 768644, 770215, 769446, 768698, 769447, 770476]","{'sentiment': 0.1538055995731837, 'and': 0.08866358411696293, 'lex_density': 0.04512098107664801, 'has': 0.04071685970850786, 'PRP$': 0.032142682335266716, 'TTR': 0.030189286052472956, 'NN': 0.029167747204963738, 'to': 0.026710587551269142, 'see': 0.02466519232570767, 'for': 0.01782784339572399}"
0.97125,0.9712499550780548,0.9712529453309082,0.97125,0.97121,1,0.97,0.9712858926342073,0.970074812967581,0.9725,"[767561, 766321, 765642, 766195, 765645, 766598, 766255, 764612, 767105, 765104, 770557, 765103]","[770323, 769008, 769335, 770428, 769271, 770476, 768609, 769959, 767987, 769584, 769671]","{'sentiment': 0.14776058846603146, 'and': 0.08607515985059186, 'lex_density': 0.05094696909901848, 'has': 0.0379942344616387, 'PRP$': 0.03544580483574958, 'TTR': 0.029895321027625224, 'NN': 0.02905701172246113, 'see': 0.027886962763124017, 'RBS': 0.020450049434033904, 'such': 0.01981594146720572}"
0.97375,0.9737479900804905,0.9738951303836799,0.97375,0.97398,1,0.9825,0.9735182849936949,0.9821882951653944,0.965,"[766149, 765913, 765744, 767405, 766700, 765600, 766679]","[769418, 768644, 769014, 768219, 767894, 770410, 769402, 767947, 769335, 767678, 768227, 770501, 769739, 770173]","{'sentiment': 0.1548298834399519, 'and': 0.0932064947525103, 'has': 0.046504068232781616, 'lex_density': 0.043786151493141405, 'PRP$': 0.030688604801004698, 'TTR': 0.030178155872614493, 'NN': 0.023649421611293117, 'to': 0.022906800377681922, 'see': 0.022737300050403326, 'RBS': 0.02003864332966956}"
0.96625,0.9662436179340156,0.966602868419242,0.96625,0.96671,1,0.98,0.9657794676806084,0.9794344473007712,0.9525,"[765175, 767218, 779380, 765638, 766487, 765931, 765015, 765642]","[770555, 770215, 767635, 769271, 767590, 769987, 769262, 769008, 770297, 768531, 768342, 768644, 770537, 767836, 769777, 769447, 770111, 767949, 769167]","{'sentiment': 0.15114689448418855, 'and': 0.0812128556819046, 'has': 0.050719244683395004, 'lex_density': 0.04473925290165885, 'PRP$': 0.03322317822040511, 'TTR': 0.030257468174329335, 'NN': 0.02735231914154372, 'see': 0.026446422407932702, 'to': 0.023546670972328373, 'RBS': 0.021396107925348327}"
0.9675,0.9674981717721621,0.9676052111725139,0.9675,0.96774,1,0.975,0.9672544080604534,0.9746192893401016,0.96,"[766195, 765600, 772897, 765178, 767152, 765845, 765187, 764638, 767561, 766250]","[769380, 767735, 768793, 768451, 770215, 768103, 769737, 769514, 769351, 767629, 768698, 769014, 768184, 770297, 770437, 769418]","{'sentiment': 0.15576767433627736, 'and': 0.0909172940565846, 'lex_density': 0.043974789580160926, 'has': 0.041650728710143, 'PRP$': 0.03894347192694256, 'TTR': 0.0320977285191023, 'see': 0.03199764961651325, 'NN': 0.027938095159040572, 'to': 0.023742027681373346, 'RBS': 0.018266758027948814}"
0.965,0.9649921232277262,0.9654188769892903,0.965,0.96552,1,0.98,0.9644670050761421,0.979381443298969,0.95,"[765362, 767123, 765055, 765713, 764760, 766875, 765982, 764905]","[770323, 770094, 768831, 769418, 770033, 769271, 770476, 768531, 770314, 769517, 769008, 769187, 767626, 769739, 767978, 769737, 768106, 767965, 770475, 769841]","{'sentiment': 0.15652823559180862, 'and': 0.10028099079802798, 'lex_density': 0.04552596578083543, 'has': 0.03841672790602747, 'TTR': 0.034986021084165285, 'PRP$': 0.03201397583519896, 'NN': 0.02690878503270951, 'for': 0.02373294988002255, 'see': 0.02303818831137253, 'RBS': 0.02217096773590706}"
0.9625,0.9625,0.9625,0.9625,0.9625,1,0.9625,0.9625,0.9625,0.9625,"[766605, 766596, 767191, 766329, 765849, 766856, 764579, 766838, 765638, 764623, 770558, 765845, 766662, 766487, 765419]","[769269, 770447, 767882, 768724, 769253, 767894, 769645, 769332, 770033, 769084, 769207, 768078, 767952, 770556, 770323]","{'sentiment': 0.16994362917518702, 'and': 0.09292451704833578, 'lex_density': 0.04509179457229422, 'has': 0.04134579331667405, 'PRP$': 0.03097630221570158, 'NN': 0.02777996568307868, 'TTR': 0.027454046887981018, 'see': 0.0246351779995475, 'to': 0.024334547411789687, 'RBS': 0.021896763644718348}"
0.9625,0.9624962496249626,0.9626850740296118,0.9625,0.96287,1,0.9725,0.9621212121212122,0.9719387755102041,0.9525,"[765065, 766487, 766353, 766605, 766641, 765419, 764584, 767561, 767062, 765402, 764668]","[768831, 769671, 768128, 769014, 770556, 768472, 767635, 770486, 767590, 769971, 770457, 767800, 768117, 769271, 769727, 769815, 769584, 769891, 769447]","{'sentiment': 0.1661763886327229, 'and': 0.0958290801513203, 'lex_density': 0.04537308458571041, 'has': 0.04287257883616074, 'PRP$': 0.033392509671205786, 'TTR': 0.033156036662928254, 'see': 0.029685402772059725, 'NN': 0.02706734935706786, 'to': 0.020970263285516145, 'for': 0.018583687957460113}"
0.97125,0.9712445634252725,0.9716066525309764,0.97125,0.97164,1,0.985,0.9708491761723701,0.9845758354755784,0.9575,"[764871, 766329, 765509, 766430, 766233, 766436]","[768285, 769514, 770297, 767965, 768106, 768592, 769014, 770033, 769402, 769335, 770249, 767629, 768646, 770323, 769304, 769987, 768899]","{'sentiment': 0.16378719472355624, 'and': 0.09310531509210185, 'lex_density': 0.04771349043405557, 'TTR': 0.034482851146134114, 'has': 0.03446124216905439, 'PRP$': 0.03390638654495239, 'see': 0.028358877689993105, 'to': 0.02797974637546037, 'NN': 0.023558145598726547, 'RBS': 0.018926769895910182}"
0.96,0.9599989999749994,0.96004600460046,0.96,0.9602,1,0.965,0.9597989949748744,0.9646464646464646,0.955,"[766349, 764871, 766329, 766970, 764575, 764612, 765931, 764905, 764655, 765187, 765623, 765645, 766605, 765419]","[769008, 770204, 767987, 768103, 768451, 769014, 769891, 768991, 768837, 769209, 769514, 768899, 768592, 770257, 769335, 768128, 770437, 769841]","{'sentiment': 0.16203725944347097, 'and': 0.07890104695690092, 'lex_density': 0.05334854931331735, 'has': 0.03734020857188434, 'PRP$': 0.03701694803793693, 'TTR': 0.03213785944300061, 'NN': 0.024704133999270357, 'see': 0.024459821764747265, 'RBS': 0.022672354870055134, 'to': 0.02228567195818513}"
