,Key,Count,Mean Score
0,TTR,100,0.13367526468573998
1,this,100,0.06664305805696827
2,we,100,0.02749577077034277
6,sentiment,100,0.023362381781685985
7,VBP,90,0.020750895581460913
5,is,79,0.020500193378925377
10,through,66,0.02014395581546011
9,PRP,64,0.01859894978159493
12,are,58,0.019674300625758184
3,VBG,51,0.018279895454665872
17,for,41,0.018968402406524382
18,VBD,28,0.017576894148763695
4,to,28,0.01890587081870571
14,further,26,0.0186524147507478
13,JJ,18,0.01773794307984031
19,in,11,0.017403881152349844
15,PRP$,9,0.01741171601408929
16,and,9,0.016613934904525684
21,RB,7,0.01631416090041495
11,an,6,0.01816278597121117
8,when,4,0.017185392477962698
22,on,2,0.016991542091960982
20,into,1,0.02051727616325628
23,by,1,0.020617851974642457
24,our,1,0.016130225423727284
