accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.97,0.9699932484809082,0.9704233810429386,0.97,0.97044,1,0.985,0.9695431472081218,0.9845360824742269,0.955,"[817196, 819361, 817595]","[833807, 834817, 833706, 834099, 833826, 834421, 834635, 832304, 834145]","{'TTR': 0.18200623495375592, 'a': 0.07250224510073683, 'and': 0.05283203766817388, 'the': 0.04229367983363583, 'PRP$': 0.03907486054683859, 'DT': 0.03648650750803692, 'PRP': 0.03357005191448667, 'this': 0.025185970685732483, 'there': 0.024124103915189724, 'an': 0.021246029450359968}"
0.9825,0.9824998906243164,0.9825120628015699,0.9825,0.98246,1,0.98,0.9825436408977556,0.9800995024875622,0.985,"[819233, 819208, 818357, 819525]","[832550, 832618, 834300]","{'TTR': 0.16602343992190594, 'a': 0.07341642424900524, 'DT': 0.05200676118393628, 'and': 0.04900572726354037, 'PRP$': 0.03341036992200011, 'the': 0.029416905401010798, 'an': 0.026202468701135295, 'PRP': 0.02612726426592571, 'these': 0.02588326279201949, 'this': 0.02379240415194854}"
0.98,0.97999799979998,0.9801920768307323,0.98,0.9802,1,0.99,0.9797979797979798,0.9897959183673469,0.97,"[820021, 817160]","[834904, 832618, 834015, 832920, 834568, 834979]","{'TTR': 0.19105297744422042, 'a': 0.07864005147892728, 'DT': 0.042645358166449335, 'and': 0.04109631119010986, 'the': 0.0360344919093101, 'PRP$': 0.0334629249495309, 'PRP': 0.02797915315274698, 'is': 0.02688725441011628, 'an': 0.02328036430169909, 'this': 0.02235356299405916}"
0.9825,0.9824990155696258,0.9826085869320598,0.9825,0.98237,1,0.975,0.9826302729528535,0.9753694581280788,0.99,"[817698, 817740, 818796, 819361, 818004]","[834145, 832270]","{'TTR': 0.1975791651841816, 'a': 0.06309962538387803, 'and': 0.059401301261573475, 'DT': 0.052613105809143905, 'the': 0.03386572626595182, 'of': 0.026577748184527534, 'PRP': 0.026547466866503527, 'this': 0.025036746497837794, 'there': 0.024167684705675558, 'PRP$': 0.023708622370002687}"
0.9675,0.9674997968737304,0.9675116877921949,0.9675,0.96758,1,0.97,0.9674185463659147,0.9698492462311558,0.965,"[818624, 817843, 820004, 818971, 819988, 819774]","[832964, 832431, 834284, 832925, 834645, 833167, 834828]","{'TTR': 0.20787073482151583, 'a': 0.05988922425017331, 'and': 0.057063732014763176, 'DT': 0.04138182989404379, 'the': 0.03724356133876276, 'PRP$': 0.030541516722490013, 'of': 0.02724621134327958, 'an': 0.025803029830107512, 'PRP': 0.025036307600086145, 'is': 0.023700159819921983}"
0.9775,0.9774987343038046,0.9776074616788777,0.9775,0.97767,1,0.985,0.9773299748110831,0.9847715736040609,0.97,"[819516, 818357, 817551]","[833384, 832462, 833106, 833150, 833312, 834169]","{'TTR': 0.16172306957583057, 'a': 0.06802872698361158, 'and': 0.06763876501018143, 'the': 0.045751907811968494, 'DT': 0.04197347812934295, 'PRP': 0.04137745165019796, 'PRP$': 0.030914976583952994, 'of': 0.027378075349954057, 'an': 0.02501555080437368, 'this': 0.02316141124963602}"
0.9675,0.9674981717721621,0.9676052111725139,0.9675,0.96725,1,0.96,0.967741935483871,0.9605911330049262,0.975,"[819988, 818969, 817698, 818004, 819684, 819214, 817338, 817700]","[834817, 833276, 832343, 832857, 835095]","{'TTR': 0.18208823480812392, 'and': 0.05624749299725806, 'a': 0.0484753569249176, 'the': 0.045203904654797865, 'DT': 0.04278176551335497, 'PRP': 0.03338461576633726, 'this': 0.03224335379831542, 'of': 0.03171454659781322, 'these': 0.022152990066215416, 'PRP$': 0.02153167168498906}"
0.9625,0.9624978905063409,0.9626040859193319,0.9625,0.96278,1,0.97,0.9622166246851386,0.9695431472081218,0.955,"[818729, 817383, 817497, 818399, 817960, 817843]","[833447, 833453, 833106, 834272, 834904, 833164, 834030, 832679, 833167]","{'TTR': 0.1821723718392525, 'and': 0.06840463233764978, 'a': 0.06269333447516406, 'DT': 0.04402855412676069, 'the': 0.0332860602894672, 'PRP': 0.029840027225524778, 'these': 0.02747804455652925, 'this': 0.02566506457809341, 'an': 0.025258145443880862, 'of': 0.024848774511507975}"
0.9775,0.9774964838255977,0.9777986241400876,0.9775,0.97722,1,0.965,0.9777777777777777,0.9658536585365853,0.99,"[820021, 818630, 819208, 817383, 819090, 818911, 817364]","[832165, 832366]","{'TTR': 0.18895485963311923, 'a': 0.0688273251742228, 'and': 0.056947102645908985, 'the': 0.049899594535937425, 'DT': 0.04626451889104723, 'this': 0.027331993905206575, 'of': 0.02580644667087624, 'is': 0.025802622401068894, 'PRP': 0.02529193384443402, 'PRP$': 0.02321429159199505}"
0.97,0.9699932484809082,0.9704233810429386,0.97,0.97044,1,0.985,0.9695431472081218,0.9845360824742269,0.955,"[817234, 818327, 819684]","[832886, 834270, 833201, 832233, 833144, 833869, 834099, 833709, 832121]","{'TTR': 0.19474095781703543, 'a': 0.0630623280807378, 'and': 0.06068323714768, 'DT': 0.04715805472268826, 'the': 0.03381519039891138, 'an': 0.02915702524245369, 'this': 0.02760603158766777, 'PRP$': 0.026531361102207603, 'is': 0.0260591468032302, 'in': 0.023025540002023864}"
0.965,0.9649991249781245,0.9650465046504649,0.965,0.96482,1,0.96,0.9651741293532339,0.9603960396039604,0.97,"[817399, 819650, 819098, 818004, 818704, 820004, 819208, 818100]","[833144, 833680, 832886, 833157, 834068, 833312]","{'TTR': 0.18800013175696426, 'a': 0.06988972934031183, 'and': 0.06736879997966244, 'DT': 0.04110396378001252, 'the': 0.035235060155148046, 'this': 0.027427935246563385, 'PRP': 0.02657112100794101, 'PRP$': 0.02524738980158872, 'these': 0.024256762945132185, 'of': 0.018174990945645227}"
0.975,0.9749943737340903,0.975427885096587,0.975,0.97537,1,0.99,0.9746192893401016,0.9896907216494846,0.96,"[819153, 819597]","[832686, 832920, 833120, 834515, 834012, 833066, 834073, 832233]","{'TTR': 0.16633632867944287, 'a': 0.07442580754759014, 'and': 0.05576622105825582, 'DT': 0.04340433292854217, 'the': 0.033860579637603944, 'this': 0.03357561339552463, 'an': 0.03253749550452679, 'these': 0.03016196222865495, 'of': 0.026377452189341368, 'PRP': 0.025893191409862338}"
0.9725,0.9724998281239258,0.97251181279532,0.9725,0.97257,1,0.975,0.9724310776942355,0.9748743718592965,0.97,"[818017, 817884, 817160, 817340, 819530]","[834068, 834394, 833733, 834206, 834040, 834548]","{'TTR': 0.16964779213322778, 'a': 0.0740575839973676, 'and': 0.07071684445322476, 'the': 0.03985376257818773, 'DT': 0.03521945528302732, 'PRP$': 0.03439508935470873, 'PRP': 0.03318488011344224, 'of': 0.02449889370721774, 'an': 0.024104466111519094, 'is': 0.021822956934866605}"
0.975,0.9749993749843746,0.975047504750475,0.975,0.97487,1,0.97,0.9751243781094527,0.9702970297029703,0.98,"[818971, 818729, 819516, 819821, 817698, 819281]","[833384, 832873, 833783, 833447]","{'TTR': 0.1557214112273035, 'a': 0.06590159544037426, 'and': 0.06419120455252093, 'DT': 0.043865983694746175, 'PRP': 0.03977815052248381, 'the': 0.038254706848622734, 'is': 0.027112016524807166, 'PRP$': 0.025700460857814612, 'an': 0.023847986041908156, 'there': 0.02154662230931884}"
0.9775,0.9774987343038046,0.9776074616788777,0.9775,0.97767,1,0.985,0.9773299748110831,0.9847715736040609,0.97,"[818317, 819821, 819018]","[833312, 832920, 832124, 832227, 833747, 832432]","{'TTR': 0.1702326337978921, 'a': 0.07285222521286655, 'and': 0.05860574390131853, 'PRP': 0.042500911028807375, 'DT': 0.03792568032094027, 'the': 0.03244216674075085, 'this': 0.03193454855182368, 'an': 0.02632187896365357, 'these': 0.025731274865502845, 'PRP$': 0.02510259924796801}"
0.97,0.9699992499812495,0.97004700470047,0.97,0.96985,1,0.965,0.9701492537313433,0.9653465346534653,0.975,"[817476, 817213, 817874, 819153, 817698, 819774, 817771]","[833144, 833826, 832761, 832997, 834651]","{'TTR': 0.18029144142756556, 'a': 0.06453042562412611, 'and': 0.06104166365078502, 'the': 0.04566849437399838, 'DT': 0.03792261391596389, 'PRP$': 0.031870735780433555, 'of': 0.027583095028848686, 'there': 0.02249496455961043, 'PRP': 0.021899652313232515, 'this': 0.021384019952063307}"
