,Key,Count,Mean Score
0,TTR,100,0.18601752594902507
1,RB,100,0.043769138577383175
2,sentiment,100,0.027632032867045696
3,can,100,0.027559049831368147
7,NN,99,0.019482507049961222
8,the,72,0.01588020177339632
9,on,65,0.015697096772794242
11,not,61,0.016520897680322853
12,and,46,0.01517002159677758
4,has,40,0.015683054465321308
14,for,33,0.015492832600336357
10,do,26,0.01570969564991355
23,what,24,0.015398209707922751
16,which,18,0.01443348484777526
13,we,16,0.01446329161488422
21,see,16,0.015256710000163518
5,would,15,0.015005935777798074
22,is,14,0.014270188011904538
6,DT,13,0.014973321390042897
24,of,7,0.013001368912093605
15,IN,7,0.013705511133647512
29,VBG,6,0.014286446361611383
19,by,5,0.013851335044262475
20,this,4,0.015139576190915546
18,VBD,3,0.013893984121622625
17,be,2,0.01397800463651104
25,but,2,0.01465767150615001
26,a,2,0.014115743915389448
28,are,2,0.013374851360177908
27,in,1,0.015601276592631427
30,at,1,0.013140346959091642
