accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.9925,0.9924999531247071,0.9925123128078203,0.9925,0.99252,1,0.995,0.9924812030075187,0.9949748743718593,0.99,[751349],"[754666, 753533]","{'TTR': 0.12106687967836885, 'sentiment': 0.09103392379427977, 'RB': 0.07694865256128704, 'of': 0.04144347140657766, 'PRP': 0.03869766333816435, 'mean_sen_len': 0.03594999875392152, 'i': 0.03545332746220035, 'is': 0.030977304407775033, 'could': 0.028260161591226525, 'their': 0.02562937016556114}"
0.9925,0.9924999531247071,0.9925123128078203,0.9925,0.99252,1,0.995,0.9924812030075187,0.9949748743718593,0.99,[752049],"[754306, 753219]","{'TTR': 0.12434924230745673, 'sentiment': 0.10357915915094824, 'RB': 0.08208251612571064, 'of': 0.050766437761347386, 'i': 0.03379928009620491, 'PRP': 0.02958635239622025, 'NNS': 0.028791332645947396, 'is': 0.02864460386233127, 'the': 0.025529942970580723, 'mean_sen_len': 0.025212814098920077}"
0.9875,0.9874999218745117,0.9875121878046952,0.9875,0.98753,1,0.99,0.9874686716791979,0.9899497487437185,0.985,"[752314, 750672]","[754738, 753215, 753533]","{'TTR': 0.13193219998072897, 'sentiment': 0.10671600500408397, 'RB': 0.06870000557760665, 'i': 0.04649942779330679, 'of': 0.04410433185917099, 'PRP': 0.036040900318051246, 'is': 0.03240368323206586, 'mean_sen_len': 0.03143116615519995, 'their': 0.028875218493735807, 'the': 0.027878592295579506}"
0.9775,0.9774964838255977,0.9777986241400876,0.9775,0.97722,1,0.965,0.9777777777777777,0.9658536585365853,0.99,"[750059, 751915, 752504, 751367, 752718, 752064, 752314]","[753439, 753047]","{'TTR': 0.13398716886318116, 'sentiment': 0.0897873217640949, 'RB': 0.07243229500894818, 'of': 0.05005138739335138, 'is': 0.03697384161914341, 'could': 0.036942549509623515, 'PRP': 0.0321738222622459, 'and': 0.03061375070181233, 'i': 0.03014110730452422, 'the': 0.029617090265720084}"
0.9825,0.9824972651976871,0.982801751094434,0.9825,0.98228,1,0.97,0.9827160493827161,0.9707317073170731,0.995,"[751915, 752195, 751113, 750729, 750209, 750776]",[754012],"{'TTR': 0.11106051945740417, 'sentiment': 0.09881167337999817, 'RB': 0.08457247896398626, 'is': 0.03981755147202159, 'of': 0.038714213087811505, 'i': 0.03577015086859256, 'PRP': 0.03493014185659943, 'NNS': 0.03299853357351908, 'could': 0.029575559971655552, 'the': 0.027659606689400755}"
0.9875,0.987499296835447,0.9876097121852416,0.9875,0.98759,1,0.995,0.9874055415617129,0.9949238578680203,0.98,[752718],"[755051, 753241, 753665, 755085]","{'sentiment': 0.11400698978641086, 'TTR': 0.11125876575009727, 'RB': 0.07522981661803946, 'of': 0.04612507355567354, 'i': 0.04157168224113792, 'is': 0.03664296972623909, 'PRP': 0.034500506021129786, 'the': 0.02764390538847357, 'NNS': 0.025819717071454928, 'very': 0.025306565936436615}"
0.985,0.985,0.985,0.985,0.985,1,0.985,0.985,0.985,0.985,"[752420, 750776, 750659]","[754708, 753073, 753803]","{'TTR': 0.12254665281620626, 'sentiment': 0.0936755966140343, 'RB': 0.07471479646362252, 'the': 0.04058975991261879, 'of': 0.04010571013418984, 'and': 0.03803029904878334, 'PRP': 0.03563953632857089, 'is': 0.029429996932300456, 'their': 0.028584416893497736, 'mean_sen_len': 0.02834386677422301}"
0.99,0.9899997499937498,0.9900490049004901,0.99,0.99005,1,0.995,0.9899497487437185,0.9949494949494949,0.985,[752449],"[753665, 754306, 755015]","{'TTR': 0.13077999037722293, 'sentiment': 0.09989657324333436, 'RB': 0.06746538392404003, 'of': 0.047489440133244666, 'is': 0.03592664252235546, 'PRP': 0.03577917803940481, 'i': 0.03539479628813243, 'and': 0.03120761732505801, 'very': 0.02851572327019504, 'could': 0.02711001707595793}"
0.9925,0.9924995781012683,0.9926108374384236,0.9925,0.99256,1,1.0,0.9924433249370277,1.0,0.985,[],"[753554, 753802, 753109]","{'TTR': 0.10777615803489468, 'sentiment': 0.10002921503269682, 'RB': 0.06612707979539215, 'and': 0.041463189628628425, 'of': 0.039020610964380836, 'is': 0.0376312861051252, 'PRP': 0.037304435217983, 'i': 0.03547112818174576, 'NNS': 0.0288379401490135, 'their': 0.028323855009074}"
0.995,0.995,0.995,0.995,0.995,1,0.995,0.995,0.995,0.995,[751711],[752874],"{'TTR': 0.11703493036396606, 'sentiment': 0.10086204835146467, 'RB': 0.07394510738162653, 'PRP': 0.04443133343071476, 'i': 0.039849545235116204, 'is': 0.03423214829573688, 'mean_sen_len': 0.03322075891525307, 'and': 0.032681046342164406, 'of': 0.03249146864012338, 'their': 0.028814826220351652}"
0.995,0.9949998749968749,0.9950495049504952,0.995,0.99497,1,0.99,0.9950248756218906,0.9900990099009901,1.0,"[750787, 752314]",[],"{'TTR': 0.11415287119873033, 'sentiment': 0.1067019335527687, 'RB': 0.07010561061889908, 'of': 0.047177610951851294, 'PRP': 0.041461968686476, 'is': 0.03577761910574187, 'i': 0.03554145284869128, 'and': 0.027568043899079474, 'their': 0.027399037650768603, 'mean_sen_len': 0.02722955261661277}"
