,Key,Count,Mean Score
0,this,100,0.057696672496246555
1,will,100,0.058167976550156035
3,not,99,0.028972673871121127
2,should,95,0.031149619208716527
6,RB,87,0.02455121671844612
7,be,80,0.02201646257338141
11,PRP,76,0.02192466796010043
10,so,73,0.024904202858653503
5,there,59,0.022626009675153352
8,do,48,0.022019799014125086
9,JJR,44,0.022085255046001718
4,just,28,0.022459376027307482
18,NN,21,0.01854332797228486
12,but,14,0.020669444951973506
17,mean_sen_len,14,0.019555055972486763
21,then,9,0.023221484089954617
23,these,8,0.019316345035105972
19,can,8,0.01894400534975394
13,VBZ,7,0.018172987239913705
16,than,7,0.01922476916232378
24,it,5,0.020357410841322154
22,if,4,0.018378018078168346
15,only,3,0.018704959079178348
25,one,3,0.020215207363370676
27,them,2,0.02056436245901342
29,more,2,0.01816009505926801
20,how,1,0.016751499332054772
14,is,1,0.021928764791788864
26,they,1,0.01860403371433034
28,RBR,1,0.022458354600034095
