accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.9925,0.9924999531247071,0.9925123128078203,0.9925,0.99252,1,0.995,0.9924812030075187,0.9949748743718593,0.99,[785638],"[799548, 800891]","{'TTR': 0.1548631151882983, 'and': 0.1253124649028026, 'a': 0.05275367528308208, 'VBG': 0.05018290213131821, 'lex_density': 0.04873152055994248, 'how': 0.042064441494615246, 'is': 0.03694127376912768, 'the': 0.03584720082430701, 'will': 0.033414959754210806, 'or': 0.03184521963714305}"
0.99,0.99,0.99,0.99,0.99,1,0.99,0.99,0.99,0.99,"[784791, 785344]","[799100, 799719]","{'TTR': 0.17119075847102633, 'and': 0.12077941533208109, 'VBG': 0.058629956019369336, 'a': 0.054095117920596666, 'lex_density': 0.04649741712688039, 'the': 0.044063372346462105, 'how': 0.043060370896151376, 'DT': 0.03298043539302043, 'is': 0.030844507405844136, 'or': 0.026782015193228096}"
0.985,0.9849984998499849,0.9851940776310525,0.985,0.98485,1,0.975,0.9851485148514851,0.9754901960784313,0.995,"[783742, 784264, 785482, 785344, 785237]",[799548],"{'TTR': 0.1688717237287915, 'and': 0.11577800607912325, 'VBG': 0.05441736110509136, 'how': 0.04794514912648978, 'a': 0.047365268974006086, 'lex_density': 0.0447869690380563, 'the': 0.039881481986379586, 'in': 0.03436278122250509, 'DT': 0.03067688216119827, 'will': 0.030634569357234506}"
0.995,0.9949998749968749,0.9950495049504952,0.995,0.99497,1,0.99,0.9950248756218906,0.9900990099009901,1.0,"[784390, 784791]",[],"{'TTR': 0.1717476237503172, 'and': 0.11239113970749098, 'lex_density': 0.04763272227614292, 'how': 0.04448269549078326, 'VBG': 0.043714646738925014, 'a': 0.04088533273433323, 'in': 0.04001466940605611, 'the': 0.036816055971200135, 'DT': 0.03534665860869315, 'is': 0.02937175654991428}"
0.995,0.995,0.995,0.995,0.995,1,0.995,0.995,0.995,0.995,[783174],[800536],"{'TTR': 0.14898301518066348, 'and': 0.096475265343809, 'a': 0.05428047384148163, 'VBG': 0.05108923997147542, 'how': 0.047936817782070915, 'lex_density': 0.04631939739365798, 'the': 0.04105647237518904, 'is': 0.0403301400847547, 'in': 0.0402080663385327, 'or': 0.03253991740003838}"
0.9925,0.9924999531247071,0.9925123128078203,0.9925,0.99248,1,0.99,0.9925187032418953,0.9900497512437811,0.995,"[784791, 783793]",[799100],"{'TTR': 0.14256441600966904, 'and': 0.12435325780659713, 'a': 0.05359381823306701, 'how': 0.0461060492491555, 'VBG': 0.04565682685949169, 'the': 0.04154582461604139, 'lex_density': 0.04039448175706425, 'or': 0.03872791720250329, 'is': 0.03795016559905066, 'DT': 0.03322819708636639}"
0.9925,0.9924999531247071,0.9925123128078203,0.9925,0.99252,1,0.995,0.9924812030075187,0.9949748743718593,0.99,[784348],"[799631, 799982]","{'TTR': 0.14936514205194448, 'and': 0.11415340296418222, 'a': 0.05945223953049582, 'lex_density': 0.0470395590573437, 'how': 0.045357809707799734, 'VBG': 0.04131046744761657, 'or': 0.03967487633837502, 'is': 0.039433314051125164, 'in': 0.03786671969678319, 'the': 0.03477860969557871}"
0.995,0.995,0.995,0.995,0.995,1,0.995,0.995,0.995,0.995,[783410],[799982],"{'TTR': 0.1655091593739995, 'and': 0.11947268714127732, 'lex_density': 0.04819969517183797, 'a': 0.046515338045922006, 'how': 0.04537840959287836, 'VBG': 0.04165974173127388, 'the': 0.03964977230854282, 'will': 0.034578507804482704, 'is': 0.03450193937163358, 'or': 0.03202241227087164}"
0.9975,0.9974999843749024,0.9975124378109453,0.9975,0.99749,1,0.995,0.9975062344139651,0.9950248756218906,1.0,[783410],[],"{'TTR': 0.17191869098063306, 'and': 0.10483748577523491, 'VBG': 0.047995981247022174, 'a': 0.04712828214306521, 'lex_density': 0.04664226192915082, 'how': 0.045100241743347744, 'the': 0.03860588933441919, 'is': 0.035816779946480054, 'DT': 0.03530829498664422, 'in': 0.035083892739900466}"
0.9975,0.9974999843749024,0.9975124378109453,0.9975,0.99751,1,1.0,0.9974937343358395,1.0,0.995,[],[799220],"{'TTR': 0.16483047631985442, 'and': 0.12276061441011193, 'a': 0.05364620735307258, 'how': 0.050603218444178394, 'VBG': 0.0481702653751618, 'lex_density': 0.039739316386176, 'the': 0.039394902753550204, 'is': 0.03619482106804181, 'in': 0.03201422321266854, 'DT': 0.03137190026040962}"
0.9875,0.987499296835447,0.9876097121852416,0.9875,0.98741,1,0.98,0.9875930521091811,0.9802955665024631,0.995,"[784264, 784675, 785482, 785378]",[799982],"{'TTR': 0.13721486163667415, 'and': 0.12341159192020001, 'a': 0.05331512130472534, 'lex_density': 0.049971868771916866, 'VBG': 0.049650644948515524, 'how': 0.037922278208357973, 'is': 0.03580714419850753, 'will': 0.03538202027363732, 'the': 0.035004784205426714, 'in': 0.034083029658985436}"
