,Key,Count,Mean Score
0,TTR,100,0.08385083623986853
1,NNS,100,0.059020060674063075
3,lex_density,100,0.035451790371010074
2,and,99,0.03193881702733725
8,DT,96,0.02279860843404748
5,sentiment,94,0.02212838489038719
9,has,93,0.021549449698553866
6,see,92,0.023332529214428462
4,VBN,88,0.02152307063537085
10,the,57,0.019458607911838365
7,was,31,0.019717941455182183
16,RBS,15,0.018172807170664346
11,for,8,0.018594084744351383
13,NN,7,0.017975557090294258
18,VBP,6,0.018201389523926147
17,is,5,0.01808799538468007
12,VBD,2,0.018716222518779004
15,mean_sen_len,2,0.016740963695137546
14,VB,2,0.019553021707234594
19,most,1,0.017671493464201972
20,JJ,1,0.019173102603306822
21,such,1,0.019313112999047078
