accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.9725,0.9724984530379834,0.9726063364256958,0.9725,0.97229,1,0.965,0.9727047146401985,0.9655172413793104,0.98,"[779250, 778656, 779557, 779111, 779841, 779070, 778836]","[782485, 782387, 781072, 781486]","{'TTR': 0.21191188827462087, 'a': 0.08907014849328633, 'an': 0.054091621069381264, 'with': 0.045409435521602905, 'for': 0.03829827153014908, 'as': 0.02623364435270955, 'NNS': 0.021939683962372416, 'been': 0.019086844428459118, 'VBP': 0.0189844638090811, 'lex_density': 0.01848316387579272}"
0.97,0.96999699969997,0.970188075230092,0.97,0.9697,1,0.96,0.9702970297029703,0.9607843137254902,0.98,"[779890, 779440, 779510, 779817, 779041, 779546, 778663, 779710]","[781111, 781595, 780082, 780851]","{'TTR': 0.21399786476213317, 'a': 0.08989958896797451, 'an': 0.07726882339231987, 'with': 0.03867500104373336, 'for': 0.03418679819365595, 'NNS': 0.024533595565451476, 'as': 0.023267634187893092, 'see': 0.022443887701090185, 'VBP': 0.021732474879229406, 'in': 0.018530457674369772}"
0.975,0.9749943737340903,0.975427885096587,0.975,0.97537,1,0.99,0.9746192893401016,0.9896907216494846,0.96,"[779512, 779092]","[779901, 782889, 782175, 781806, 781478, 781754, 781984, 782888]","{'TTR': 0.21267901903563924, 'a': 0.09787695559074645, 'an': 0.05486085976174921, 'for': 0.043216789010440335, 'with': 0.03477154922902825, 'NNS': 0.03214453838574803, 'in': 0.022293408919349493, 'as': 0.02129908746146412, 'VBP': 0.02104729744650119, 'see': 0.020242702767380813}"
0.9775,0.9774964838255977,0.9777986241400876,0.9775,0.97778,1,0.99,0.9772151898734177,0.9897435897435898,0.965,"[779667, 779585]","[781077, 781478, 781933, 781492, 782813, 782175, 781015]","{'TTR': 0.22143894118349866, 'a': 0.09546115821343384, 'an': 0.07486109062648541, 'for': 0.03833702973883447, 'with': 0.03639346505805575, 'NNS': 0.025073357561921025, 'VBP': 0.02489205857276779, 'in': 0.02136531763731339, 'see': 0.020966848950797347, 'as': 0.01750984396355977}"
0.98,0.9799994999874997,0.98004800480048,0.98,0.9799,1,0.975,0.9800995024875622,0.9752475247524752,0.985,"[778753, 778722, 778775, 779822, 779272]","[782843, 782456, 781646]","{'TTR': 0.19769107012216114, 'a': 0.09782018609431622, 'an': 0.06949965771085735, 'for': 0.04609422730159671, 'with': 0.04019333335562256, 'NNS': 0.027041989708205573, 'VBP': 0.025885122203003954, 'as': 0.02525234905664497, 'in': 0.019599803174670107, 'DT': 0.019283131303378415}"
0.97,0.9699932484809082,0.9704233810429386,0.97,0.96954,1,0.955,0.9704433497536946,0.9563106796116505,0.985,"[778796, 779633, 779328, 779092, 779854, 766526, 779041, 779524, 778663]","[782485, 779997, 782456]","{'TTR': 0.23799190040022114, 'a': 0.08414936166721323, 'an': 0.06861833512451074, 'for': 0.036421649527093126, 'with': 0.03441690337179269, 'NNS': 0.0294462293006961, 'VBP': 0.025379907572688355, 'as': 0.021283623893393232, 'DT': 0.018024826603310243, 'who': 0.01731488644602044}"
0.9575,0.9574997343733398,0.9575114377859447,0.9575,0.95739,1,0.955,0.9576059850374065,0.9552238805970149,0.96,"[779127, 778810, 778712, 779037, 779469, 779413, 779285, 779822, 779250]","[781984, 781730, 781595, 781486, 780570, 781646, 781351, 782103]","{'TTR': 0.21608827904888867, 'a': 0.07876287190694771, 'an': 0.07116010210959076, 'for': 0.0455133968695309, 'with': 0.037124687944250195, 'NNS': 0.029072544950916605, 'VBP': 0.026099709228442958, 'in': 0.02115979891249509, 'as': 0.01914565232898126, 'see': 0.01822741851810639}"
0.9675,0.9674949210814191,0.9677923702313946,0.9675,0.96709,1,0.955,0.9679012345679012,0.9560975609756097,0.98,"[779633, 779445, 779246, 778836, 779086, 779216, 778780, 778740, 778723]","[781198, 782889, 782022, 780440]","{'TTR': 0.2332947312073525, 'a': 0.08701215459217344, 'an': 0.06247209811072395, 'for': 0.0429611334967958, 'with': 0.03851266064795091, 'VBP': 0.02761267064494486, 'NNS': 0.02506039234415507, 'in': 0.020245803258229066, 'mean_sen_len': 0.018381931143722646, 'see': 0.018282382627798344}"
0.975,0.9749993749843746,0.975047504750475,0.975,0.97487,1,0.97,0.9751243781094527,0.9702970297029703,0.98,"[779469, 778635, 778960, 779145, 779110, 779750]","[780609, 782485, 781128, 782175]","{'TTR': 0.22324545937722443, 'a': 0.08085190416030384, 'an': 0.06688071920953997, 'with': 0.0442918718687488, 'for': 0.04069929850416213, 'VBP': 0.03220710996908238, 'NNS': 0.028584289055878235, 'see': 0.026009662113201444, 'as': 0.024169961761915177, 'in': 0.018801481188397678}"
0.9825,0.9824998906243164,0.9825120628015699,0.9825,0.98254,1,0.985,0.9824561403508771,0.9849246231155779,0.98,"[779512, 779756, 778604]","[780930, 782189, 780577, 782461]","{'TTR': 0.22643982169485655, 'a': 0.08780744599343315, 'an': 0.06902759177177654, 'with': 0.03954280895691025, 'for': 0.035508909445461326, 'VBP': 0.023862584202609796, 'NNS': 0.023798976678386336, 'as': 0.021788670653278545, 'in': 0.0212828435882847, 'mean_sen_len': 0.020572479690715167}"
0.965,0.9649921232277262,0.9654188769892903,0.965,0.96552,1,0.98,0.9644670050761421,0.979381443298969,0.95,"[778723, 779633, 778635, 779042]","[782888, 781015, 781198, 781486, 782201, 782485, 782063, 780474, 782175, 780851]","{'TTR': 0.24977792556246853, 'a': 0.07170206009296015, 'an': 0.04996399324916405, 'for': 0.04825795976868037, 'with': 0.04348566756776009, 'see': 0.025135933853261447, 'NNS': 0.02229406496533599, 'VBP': 0.02012370724187714, 'in': 0.01909089492939255, 'who': 0.018321492062849682}"
0.9775,0.9774987343038046,0.9776074616788777,0.9775,0.97733,1,0.97,0.9776674937965261,0.9704433497536946,0.985,"[779250, 778744, 779634, 779218, 779854, 779681]","[780082, 780066, 781730]","{'TTR': 0.209847921731096, 'a': 0.08838745422254181, 'an': 0.0645680500007235, 'for': 0.05169618801770081, 'with': 0.04463387391047185, 'NNS': 0.026024414834873676, 'VBP': 0.02485788386080119, 'see': 0.023612801308677184, 'in': 0.021667218777299328, 'as': 0.01899142207576799}"
