accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.8775,0.8772783339907707,0.8802472866460175,0.8775,0.87206,1,0.835,0.882494004796163,0.847926267281106,0.92,"[765967, 765175, 767191, 766061, 764665, 766209, 767058, 765709, 765841, 778833, 765329, 765793, 765674, 766311, 765466, 767561, 765944, 765241, 767093, 766497, 765642, 765017, 766093, 767546, 779183, 764605, 766149, 765019, 765837, 766964, 765566, 765109, 765780]","[775915, 775987, 777156, 777566, 776358, 776763, 777496, 777913, 776586, 778238, 776940, 776499, 777562, 777557, 778203, 777205]","{'TTR': 0.08096559342955362, 'NNS': 0.055392088132077244, 'and': 0.03512630133698601, 'lex_density': 0.033729082214424964, 'VBN': 0.02599906097229387, 'sentiment': 0.02395358913460814, 'see': 0.022916467537473385, 'was': 0.020986850601544225, 'DT': 0.019524602083801412, 'has': 0.019373021950976076}"
0.8575,0.8574991093694335,0.8575089377234432,0.8575,0.85714,1,0.855,0.85785536159601,0.8557213930348259,0.86,"[766601, 765695, 779457, 764681, 767148, 767031, 765761, 779305, 767388, 765270, 766838, 765642, 766403, 765329, 766016, 766264, 765413, 765004, 765205, 766702, 765648, 767498, 765775, 778755, 765170, 779202, 765433, 767331, 767080]","[777922, 777117, 776164, 777921, 778576, 777149, 776820, 778013, 777344, 777165, 777339, 776054, 776046, 777113, 777609, 777543, 777676, 776163, 778212, 777254, 776106, 776544, 776072, 777620, 776668, 775970, 776926, 777618]","{'TTR': 0.07846603186427459, 'NNS': 0.0670025933818653, 'lex_density': 0.04010037672710819, 'and': 0.034783611077251655, 'sentiment': 0.02484579962419513, 'DT': 0.02303131726139048, 'see': 0.02126622156787962, 'the': 0.019738984357195358, 'VBN': 0.018156088803000594, 'has': 0.017484664032883023}"
0.88,0.8798528197041375,0.8818711687267612,0.88,0.87565,1,0.845,0.8840579710144928,0.8551401869158879,0.915,"[764611, 766715, 764652, 767110, 765441, 765005, 765508, 766278, 766016, 765155, 765825, 778616, 765190, 765447, 766405, 764771, 764623, 764794, 766535, 766679, 765739, 764897, 765836, 766816, 765151, 764894, 765878, 766574, 766583, 765771, 766707]","[776496, 777853, 778280, 777752, 778281, 778192, 777867, 776150, 777794, 776254, 776297, 777663, 776926, 778439, 776267, 776990, 777490]","{'TTR': 0.07969446099153175, 'NNS': 0.05785749816008103, 'lex_density': 0.03272304928599523, 'and': 0.025981350378074336, 'DT': 0.02333873020445191, 'VBN': 0.022599732003148815, 'has': 0.021189385078154658, 'see': 0.019871386975982855, 'the': 0.019669399277222797, 'sentiment': 0.01885456178253815}"
0.8725,0.8721476068413565,0.8766525948583128,0.8725,0.86544,1,0.82,0.8788598574821853,0.8371040723981901,0.925,"[765269, 767069, 767180, 765683, 765913, 765318, 764931, 767218, 766700, 765103, 779376, 766023, 767542, 764595, 767051, 765773, 779213, 765907, 767364, 766188, 765175, 766574, 765405, 766071, 766727, 766509, 766733, 767066, 764987, 764853, 765522, 766405, 766398, 765324, 767467, 765421]","[777439, 778510, 778599, 776150, 776246, 778380, 776947, 776363, 776658, 777956, 777806, 777011, 778344, 777894, 778437]","{'TTR': 0.08986799984130955, 'NNS': 0.054273854691718026, 'and': 0.035809264870405415, 'lex_density': 0.03441053717781009, 'DT': 0.0227436988867327, 'see': 0.022453749124440397, 'sentiment': 0.02243343715867761, 'VBN': 0.019869525396204638, 'has': 0.018906741896374347, 'for': 0.018370265484324112}"
0.865,0.8649459783913565,0.8655849358974359,0.865,0.86224,1,0.845,0.8676470588235294,0.8509615384615384,0.885,"[766644, 766384, 766926, 765055, 764853, 765926, 766968, 764717, 765927, 764637, 765698, 766046, 766677, 767364, 767220, 766774, 765928, 767135, 764696, 767315, 765589, 764704, 765696, 765852, 765761, 766152, 766443, 765479, 765307, 766733, 767444]","[777600, 776419, 777011, 776425, 775987, 777557, 776888, 778302, 777365, 776921, 776117, 777411, 777663, 776695, 776106, 777657, 778095, 777562, 776520, 776926, 775915, 778344, 776267]","{'TTR': 0.09761851232246693, 'NNS': 0.05955942232285569, 'lex_density': 0.02939001848140272, 'and': 0.02830180955168772, 'sentiment': 0.027303706035927414, 'DT': 0.022934770385405402, 'VBN': 0.02183914546509588, 'see': 0.02018069382195563, 'was': 0.018489994946722158, 'the': 0.01564550409606527}"
0.8625,0.862492265189917,0.8625815808556925,0.8625,0.86146,1,0.855,0.8635235732009926,0.8571428571428571,0.87,"[765403, 766755, 766616, 766971, 766847, 766162, 767010, 764638, 765794, 765149, 766278, 765008, 764686, 765024, 766316, 765965, 766158, 779382, 767231, 767441, 765778, 767458, 765594, 765404, 766045, 766743, 767427, 765864, 765896]","[776755, 777411, 777567, 776629, 776544, 776163, 778095, 778281, 776928, 778235, 776794, 778043, 777113, 776430, 778409, 776947, 777703, 776822, 775987, 777997, 777532, 778478, 778451, 777153, 776088, 777030]","{'TTR': 0.08077244822546198, 'NNS': 0.05544863459335692, 'lex_density': 0.03743674737041629, 'and': 0.027269353738800118, 'sentiment': 0.024434560769529226, 'VBN': 0.024025444807525845, 'has': 0.023197398145576333, 'see': 0.022279829417598263, 'DT': 0.01946903052112427, 'was': 0.01712530460621019}"
0.885,0.8849741191768148,0.8853468121309178,0.885,0.8867,1,0.9,0.883248730964467,0.8969072164948454,0.87,"[779676, 766569, 767186, 765014, 766977, 767450, 765390, 767050, 766799, 765160, 767542, 765461, 767406, 766433, 766083, 766682, 766042, 766933, 767359, 765489]","[778531, 776631, 778566, 778367, 777618, 777532, 778599, 776642, 777994, 778095, 777368, 776515, 777490, 778344, 776525, 778395, 777413, 776213, 778443, 777117, 776499, 775927, 776163, 777842, 777887, 777853]","{'TTR': 0.08151984824035048, 'NNS': 0.060146761612151003, 'lex_density': 0.03898421216878703, 'has': 0.02700951073110577, 'and': 0.026376539587332482, 'see': 0.02282954641072531, 'sentiment': 0.02114479872960538, 'VBD': 0.019386382916009436, 'DT': 0.019287521647544926, 'for': 0.01901047564280873}"
0.8575,0.8573921528155668,0.8585847187742922,0.8575,0.85347,1,0.83,0.8613138686131386,0.8388625592417062,0.885,"[767066, 767444, 767468, 765255, 778857, 766321, 767151, 766111, 767113, 766201, 764717, 766450, 765852, 765488, 765025, 765690, 766329, 764595, 764939, 766065, 766596, 779383, 765696, 766137, 766973, 764824, 764898, 765656, 779564, 766405, 765403, 766695, 764919, 764849]","[776388, 777115, 776587, 776522, 777663, 778478, 776043, 778314, 776297, 775970, 777346, 777055, 776387, 776783, 777123, 777536, 778452, 778350, 777040, 778266, 776073, 776290, 776781]","{'TTR': 0.0698442735562089, 'NNS': 0.0526798021154419, 'lex_density': 0.04311845086797663, 'and': 0.033412573201088945, 'DT': 0.025708315557704472, 'see': 0.023572013044411092, 'has': 0.02346357348843591, 'sentiment': 0.022535053796774843, 'VBN': 0.02096671239424417, 'NN': 0.020943423135658647}"
0.845,0.8448603743369031,0.846246487354476,0.845,0.84021,1,0.815,0.8495145631067961,0.8254716981132075,0.875,"[766530, 767220, 765964, 767558, 765386, 766812, 766257, 779044, 765361, 767153, 767232, 766350, 765269, 765241, 765926, 767104, 779213, 766643, 766044, 765160, 764896, 767507, 765997, 765368, 766482, 767305, 779745, 764848, 765720, 765901, 766222, 767112, 767118, 765786, 765922, 767359, 765238]","[777794, 778095, 777123, 776338, 776861, 778510, 776860, 777273, 775948, 776357, 777411, 778201, 777115, 776012, 776430, 776525, 776714, 777165, 778192, 778262, 777776, 777536, 777527, 776388, 778154]","{'TTR': 0.07595893930955368, 'NNS': 0.05815018381644307, 'lex_density': 0.033382767232939245, 'and': 0.030038382956577556, 'has': 0.02883865652233881, 'see': 0.026687336251576, 'VBN': 0.024677502451307863, 'sentiment': 0.023235902356696612, 'DT': 0.02108207287421053, 'the': 0.01693223523109029}"
0.845,0.8448603743369031,0.846246487354476,0.845,0.84021,1,0.815,0.8495145631067961,0.8254716981132075,0.875,"[766527, 767351, 766521, 765077, 767331, 764585, 764652, 765569, 766156, 766966, 765604, 765929, 764919, 765467, 766674, 765725, 764844, 767063, 766914, 764616, 766705, 764665, 766044, 766726, 765404, 765085, 766942, 765812, 766724, 765162, 767334, 779728, 765751, 765909, 767080, 765021, 767364]","[776290, 776984, 777889, 778370, 777190, 776928, 777408, 776425, 777887, 778151, 776610, 778192, 777618, 776010, 777492, 776934, 776492, 776735, 778302, 778495, 776377, 778174, 777206, 777365, 777254]","{'TTR': 0.07360033365974555, 'NNS': 0.06859383699663615, 'and': 0.032113729266298054, 'lex_density': 0.027314648945634804, 'has': 0.025403331854386545, 'see': 0.02268861619862654, 'sentiment': 0.019740338762214447, 'VB': 0.018760215825542204, 'VBN': 0.018141114746497333, 'mean_sen_len': 0.017233923794561335}"
0.8675,0.8672602388063438,0.870174510840825,0.8675,0.86162,1,0.825,0.8729016786570744,0.8387096774193549,0.91,"[766305, 765806, 766481, 765640, 767030, 767334, 766790, 765834, 766606, 765190, 764741, 764612, 765565, 766137, 767112, 765910, 766532, 765056, 767398, 765645, 765727, 765568, 765440, 766927, 765698, 767526, 765540, 766259, 767468, 766056, 767090, 767305, 765369, 765809, 766743]","[777921, 776726, 778413, 777346, 776023, 777205, 776130, 778443, 776432, 777609, 778085, 776525, 777997, 777487, 778125, 776711, 778183, 777300]","{'TTR': 0.08432238929256351, 'NNS': 0.0627100088342779, 'and': 0.037010822139079004, 'lex_density': 0.0339428260888882, 'sentiment': 0.024221261214845562, 'has': 0.022828968557840976, 'DT': 0.021728553292069845, 'RBS': 0.019542710455381276, 'the': 0.018650257690121644, 'see': 0.018229238838735305}"
0.8825,0.8824992656204101,0.8825095627390686,0.8825,0.88221,1,0.88,0.8827930174563591,0.8805970149253731,0.885,"[765409, 767101, 779745, 767078, 764760, 766701, 779852, 765318, 765021, 766631, 767156, 765690, 764800, 765842, 764906, 766790, 765289, 765754, 767292, 767105, 764809, 778964, 764742, 779599]","[777223, 778428, 776037, 778292, 775948, 777618, 777011, 776455, 777897, 778532, 777376, 777665, 778441, 776387, 777721, 777644, 777113, 778544, 776171, 778599, 777980, 777162, 776735]","{'TTR': 0.08310105447342726, 'NNS': 0.06002095031200463, 'and': 0.03546015556574612, 'lex_density': 0.03194941568248869, 'DT': 0.027794731042315404, 'see': 0.021147272557304704, 'sentiment': 0.020918322021230572, 'VBN': 0.020532174316131, 'has': 0.019988395020878527, 'the': 0.01719131431044034}"
0.8575,0.8569411764705882,0.8631746031746033,0.8575,0.848,1,0.795,0.8658823529411764,0.8177777777777778,0.92,"[767343, 765230, 767252, 765156, 765954, 765259, 766578, 766001, 767498, 766326, 765002, 765612, 767093, 767003, 767441, 779564, 767287, 765369, 767030, 765775, 767051, 767467, 765553, 764792, 764999, 765864, 766042, 766110, 765825, 767118, 766596, 765960, 766380, 765926, 766609, 764975, 765840, 767528, 765671, 765257, 766433]","[776606, 777656, 776069, 778523, 775940, 776567, 776254, 776499, 777346, 777897, 778573, 776544, 777921, 776490, 776528, 777254]","{'TTR': 0.07494095049040325, 'NNS': 0.06278427101494277, 'lex_density': 0.036286357898079796, 'and': 0.035535658784274456, 'VBN': 0.023361766832913137, 'was': 0.023051165540026567, 'has': 0.02227829572371766, 'DT': 0.021790655417335027, 'sentiment': 0.02139420262697665, 'the': 0.020773225392339244}"
0.9025,0.9024993906211912,0.9025100627515686,0.9025,0.90226,1,0.9,0.9027431421446384,0.900497512437811,0.905,"[767232, 779852, 764638, 765666, 766387, 767542, 765752, 766012, 767414, 766927, 764718, 766662, 767229, 766532, 767440, 764815, 766845, 767543, 765775, 764586]","[777180, 777349, 776025, 777840, 778175, 777934, 776161, 777960, 778576, 778285, 776711, 776326, 776289, 776705, 776606, 778203, 777011, 778180, 778452]","{'TTR': 0.08294621755466088, 'NNS': 0.06509100472989497, 'lex_density': 0.03579834306857249, 'and': 0.03178706194904445, 'has': 0.0251269666073813, 'VBN': 0.022219717234819362, 'sentiment': 0.021564359992895618, 'DT': 0.01867640824664036, 'was': 0.016944135403974814, 'see': 0.0166081668430199}"
0.8525,0.8524769495233631,0.852720450281426,0.8525,0.85432,1,0.865,0.850632911392405,0.8615384615384616,0.84,"[767218, 764830, 765646, 767292, 765172, 766152, 766065, 765944, 766436, 766977, 766164, 765675, 766805, 766050, 779447, 765270, 779340, 765451, 766845, 766658, 766340, 766255, 767330, 765594, 766024, 765090, 767080]","[776984, 776814, 776072, 778291, 776729, 778253, 776363, 776267, 776846, 777990, 776557, 777350, 777115, 777960, 778370, 778486, 777234, 776854, 777922, 778550, 778280, 778262, 778378, 776981, 777331, 776596, 777076, 776926, 777363, 777906, 776629, 777796]","{'TTR': 0.07355423453211513, 'NNS': 0.057628930628082345, 'lex_density': 0.03697970906378969, 'and': 0.03661118395875182, 'sentiment': 0.029218144735063484, 'DT': 0.024802780522533315, 'VBN': 0.022139683560559776, 'see': 0.021101841947681464, 'the': 0.019301849316414064, 'has': 0.019213674935749735}"
0.855,0.8549093183239524,0.855889724310777,0.855,0.85128,1,0.83,0.8585365853658536,0.8380952380952381,0.88,"[767030, 767386, 765698, 766722, 767078, 767190, 767468, 765540, 766524, 766875, 765064, 765133, 766843, 765290, 767241, 766689, 767271, 764885, 779202, 765385, 764815, 765671, 766531, 765369, 766678, 765678, 765492, 764754, 764769, 765561, 767526, 779044, 766435, 765775]","[777703, 776025, 776711, 777990, 777068, 777532, 777206, 776940, 775915, 778378, 778305, 778175, 776629, 777844, 776499, 778441, 776297, 776010, 777089, 778174, 776224, 777656, 777363, 778437]","{'TTR': 0.0808153445180597, 'NNS': 0.06532092623733378, 'lex_density': 0.04187955171799459, 'and': 0.03672453233846417, 'DT': 0.021616106966771284, 'was': 0.02048898950409309, 'VBN': 0.018773286545427446, 'sentiment': 0.017416416583670002, 'has': 0.016414779288374842, 'see': 0.0160328257944317}"
0.91,0.9099437148217636,0.9110275689223057,0.91,0.90769,1,0.885,0.9121951219512195,0.8904761904761904,0.935,"[764742, 766453, 764945, 765156, 766321, 767113, 766280, 766951, 766071, 765016, 765440, 766964, 765017, 766016, 766570, 766123, 766886, 765646, 764665, 766433, 765641, 767123, 765834]","[777695, 777300, 776267, 777030, 777994, 777582, 777794, 776190, 777760, 778154, 777295, 777462, 776069]","{'TTR': 0.0964753273252239, 'NNS': 0.0519182116546443, 'lex_density': 0.034241591186101324, 'and': 0.02845974715773302, 'see': 0.026040544602279756, 'sentiment': 0.022697209683264774, 'DT': 0.02081969379636734, 'has': 0.01995359945220238, 'VBN': 0.018744163304279308, 'is': 0.018740536644423413}"
0.8475,0.8469941243235448,0.8521572800283752,0.8475,0.8382,1,0.79,0.8557919621749409,0.8116591928251121,0.905,"[766789, 766933, 765645, 765988, 766807, 764996, 767343, 764696, 766843, 766049, 765038, 766665, 766923, 766001, 778964, 766205, 766259, 766985, 766044, 765090, 765581, 765466, 766770, 765189, 766357, 766494, 765429, 765004, 765404, 765165, 764824, 767352, 765929, 779844, 764956, 764585, 765409, 765386, 764896, 765612, 767001, 765319]","[777986, 777543, 778031, 777656, 778531, 777483, 778154, 776004, 778367, 778340, 778013, 777363, 777558, 778280, 777752, 776163, 778174, 777562, 778171]","{'TTR': 0.08325178419078892, 'NNS': 0.054120883636427815, 'lex_density': 0.0361916375063018, 'and': 0.03118070175883073, 'see': 0.02671233869735226, 'VBN': 0.025936064390535467, 'has': 0.025341899407148295, 'DT': 0.022237991400984675, 'was': 0.021269853476859488, 'the': 0.020212772490829548}"
0.8875,0.8874992968706055,0.8875096877421936,0.8875,0.88722,1,0.885,0.8877805486284289,0.8855721393034826,0.89,"[764986, 766694, 765841, 765744, 767063, 766532, 766380, 766800, 765553, 766950, 765450, 766565, 767162, 766375, 764792, 765561, 765031, 765675, 765574, 766012, 765565, 766259, 779478]","[777349, 777217, 777889, 778132, 777461, 778441, 777600, 776083, 776288, 778013, 776525, 777487, 776363, 778136, 777856, 776668, 777994, 777431, 776705, 777665, 776088, 778510]","{'TTR': 0.09408024539327348, 'NNS': 0.05056867889777448, 'lex_density': 0.04428231808885602, 'and': 0.031555792229859686, 'DT': 0.027824798580756503, 'VBN': 0.02226527864930723, 'see': 0.01909905278234802, 'the': 0.01822804769942069, 'sentiment': 0.017855534256109248, 'has': 0.01498687186632232}"
0.8525,0.852425290303216,0.8532152609033292,0.8525,0.8491,1,0.83,0.8557457212713936,0.8373205741626795,0.875,"[767522, 765600, 765646, 765944, 765277, 767093, 766968, 765031, 766953, 766276, 766197, 767317, 766162, 765366, 766819, 779432, 766158, 764889, 766711, 765204, 765585, 778833, 765473, 767352, 766137, 767136, 766030, 764817, 766173, 766662, 765156, 766093, 765853, 767354]","[777462, 777644, 776606, 776054, 776150, 777295, 778478, 777849, 777198, 776711, 777867, 777254, 778246, 778031, 776890, 775927, 777815, 776290, 776557, 777906, 777346, 778192, 776292, 777492, 777887]","{'TTR': 0.08462394156459657, 'NNS': 0.058950063887932835, 'and': 0.03141516568067846, 'lex_density': 0.03140560876997734, 'see': 0.029424347097912106, 'sentiment': 0.02585923184048024, 'has': 0.02279878261943883, 'DT': 0.02004313509333141, 'VBN': 0.017837611465850778, 'is': 0.01753864228540335}"
