,Key,Count,Mean Score
0,TTR,200,0.08693878544696991
1,sentiment,200,0.05111168088329673
3,RB,200,0.03609677807749159
7,is,199,0.028657972973289928
8,the,198,0.02879923045052307
4,of,197,0.027976808185572927
2,their,177,0.02627314349148972
13,NNS,156,0.023512531914880872
5,DT,142,0.02266043158376027
10,i,90,0.022715632698861427
14,in,70,0.021851552922885806
12,how,38,0.021870144276898307
16,its,31,0.02185642822511439
20,but,23,0.021132472048887997
9,a,22,0.01973329399436952
17,could,20,0.022155820990182495
6,PRP$,12,0.020585875839303772
11,and,8,0.02077924083243702
15,VBD,8,0.019161136841865233
21,VBZ,5,0.019229750749477574
19,other,2,0.021133088224575408
18,does,1,0.01951206785383679
22,very,1,0.01901787289651187
