,Key,Count,Mean Score
0,PRP,100,0.07598221702379053
1,of,100,0.06645041476123714
2,sentiment,100,0.05927597882549266
3,VB,100,0.052446455455050944
4,NN,100,0.05379373821994677
8,DT,97,0.03912664558436366
9,IN,94,0.03907064039295417
6,have,61,0.03637206082216361
12,to,57,0.035210085265828105
5,NNS,47,0.03387976245663631
13,the,38,0.032116982014945956
10,RB,34,0.03285727531104128
11,mean_sen_len,26,0.03240972946321709
14,i,24,0.03223491585899146
7,which,21,0.03128674921417354
15,VBD,1,0.026960099647607372
