accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.5269922879177378,0.4358986974329959,0.5428966919969491,0.5269922879177378,0.66545,1,0.915,0.19298245614035087,0.5641025641025641,0.1164021164021164,"[1092539, 1248540, 1193485, 1090988, 1249952, 1193114, 1248063, 1191691, 837468, 1092403, 1193876, 1092419, 1090720, 1092116, 1092050, 1248487, 1249049]","[925933, 925174, 1222058, 1222052, 925595, 925529, 925607, 925815, 928065, 927209, 927358, 927379, 1165545, 927531, 926969, 1165579, 924733, 925613, 924871, 923462, 924209, 921951, 1221666, 921441, 922083, 922014, 921653, 922012, 923373, 1164985, 1221858, 923444, 928256, 923240, 1221907, 924140, 924512, 1221908, 924574, 928018, 1165672, 1222477, 932317, 931896, 931820, 931989, 931817, 932287, 932330, 932763, 933029, 933133, 932884, 1223032, 1223149, 933375, 933550, 1223126, 1166278, 931235, 1165636, 931144, 1165972, 929159, 1222507, 928592, 928819, 929123, 1221547, 928860, 930868, 930452, 930721, 930265, 930804, 930518, 930283, 931547, 931348, 931263, 931467, 921213, 920170, 921218, 910591, 910615, 911753, 1163549, 911685, 1220392, 912316, 915212, 1221189, 918078, 915040, 915194, 915765, 912707, 913103, 913271, 1163717, 910567, 913159, 910555, 1220202, 1220002, 908090, 908567, 908114, 908652, 908561, 908402, 916086, 908795, 1220088, 916058, 908813, 1163348, 909726, 1220185, 909799, 909863, 910455, 1163687, 922167, 1163769, 919530, 1164458, 919333, 919077, 919555, 919225, 919485, 919782, 920085, 920249, 933588, 920355, 920297, 919916, 920791, 921090, 1164660, 918979, 918261, 918662, 918737, 926150, 1165448, 1165384, 914575, 914553, 914638, 914277, 914947, 921049, 914934, 917206, 916637, 917092, 1164242, 916920, 917080, 1221241, 918547, 1221030, 933512]","{'PRP': 0.07082394420822202, 'of': 0.07031513891998259, 'NN': 0.05870042849216473, 'VB': 0.05722613171231191, 'sentiment': 0.054615289438597614, 'IN': 0.04045019936020255, 'DT': 0.03743509062045949, 'to': 0.0351072584459466, 'NNS': 0.03057792703605374, 'i': 0.02778231801923299}"
0.5475578406169666,0.5000450121532813,0.5617565863802335,0.5475578406169666,0.65759,1,0.845,0.3333333333333333,0.5866666666666667,0.2328042328042328,"[1249362, 1093409, 1091316, 1250910, 1193040, 1193930, 1248428, 1248668, 1093664, 1249234, 1091847, 1248755, 837005, 1249740, 1191117, 1092269, 1093560, 1092145, 1248085, 1190976, 1092694, 1192078, 1154420, 1091056, 1249086, 1250420, 1193031, 1193251, 1092724, 837562, 1092991]","[925383, 1222036, 1165320, 925873, 925604, 924631, 925838, 927442, 927046, 927354, 927702, 1222391, 927652, 925300, 925887, 924940, 921331, 924508, 920821, 928521, 921104, 1164738, 920593, 921816, 924291, 921848, 921892, 1221642, 922141, 923428, 923484, 924257, 921667, 928483, 931307, 928071, 932227, 932127, 932216, 931920, 932126, 933202, 1165957, 933092, 932866, 932512, 932546, 933475, 933607, 933696, 933174, 931677, 931172, 931298, 1222464, 928989, 929249, 1165704, 1165728, 929171, 928641, 930326, 930525, 1222729, 930283, 930142, 931546, 921083, 931579, 928296, 919902, 1164408, 1221487, 910542, 910932, 1163401, 910866, 1163388, 911624, 910902, 911318, 912398, 911969, 912205, 912658, 912051, 915264, 911523, 909909, 1220140, 910292, 908262, 908207, 908131, 1163144, 908089, 1219941, 908410, 1220092, 929382, 916442, 1220970, 929590, 930127, 909818, 1163333, 1164300, 1221466, 913039, 913211, 933777, 918520, 918547, 918391, 918933, 919742, 916963, 919191, 919006, 919044, 919074, 1164635, 1164561, 920089, 918982, 1221058, 916905, 1221069, 913343, 913106, 1165369, 922434, 922246, 926281, 922667, 914920, 914712, 915009, 914464, 1220726, 914557, 914594, 917338, 913367, 933565]","{'PRP': 0.07127122686956243, 'NN': 0.0674683072574249, 'of': 0.060981091190497876, 'sentiment': 0.060086215599179364, 'VB': 0.048575763152420744, 'IN': 0.04672357674779159, 'have': 0.04172936543852618, 'RB': 0.03236365452576542, 'DT': 0.03194652734590479, 'i': 0.030529215244477395}"
0.5501285347043702,0.4621446864823814,0.6078105310956076,0.5501285347043702,0.6824,1,0.94,0.2290748898678414,0.6842105263157895,0.13756613756613756,"[1093686, 1090183, 1248200, 1092807, 1250071, 1090290, 1249309, 1191337, 1090809, 1250719, 1092583, 837426]","[925568, 924967, 924875, 925221, 1165196, 1222056, 924865, 925871, 927621, 926066, 927544, 927631, 926949, 1221918, 927192, 927697, 925753, 923899, 923418, 923921, 1221616, 921478, 921661, 1164791, 921530, 921964, 921978, 923386, 923551, 1221857, 923413, 923170, 923129, 927968, 1221902, 924390, 924273, 1221956, 928109, 928950, 927941, 932034, 932126, 1222956, 932012, 933137, 932709, 932807, 932312, 933206, 933155, 933106, 933669, 1166311, 933995, 933671, 1166281, 932553, 931994, 1222802, 930949, 928979, 928709, 929036, 921119, 928954, 1222504, 929146, 930129, 930911, 930790, 1165881, 930376, 930901, 931045, 931158, 931251, 931119, 927806, 921275, 1164624, 1164703, 910585, 910933, 911349, 911450, 911389, 911115, 911852, 911095, 911657, 912070, 917777, 915572, 917469, 912244, 915402, 913073, 917541, 1220187, 909696, 910198, 908597, 908774, 1163153, 908686, 1163163, 908361, 908397, 916274, 916517, 916179, 915876, 930111, 908789, 910040, 1163298, 910146, 909646, 912819, 913175, 913272, 912966, 918921, 918367, 918545, 1221242, 1164464, 919602, 1221386, 919370, 1221354, 920085, 920462, 1164576, 919905, 933501, 920069, 920378, 920995, 918758, 921110, 918854, 917366, 913401, 922237, 926347, 926854, 1164936, 914638, 1220734, 914744, 914706, 1220711, 914542, 914484, 917017, 917161, 916617, 916643, 917226, 917270, 933700]","{'PRP': 0.07541973016683234, 'sentiment': 0.06549385515094816, 'of': 0.0649218802568993, 'VB': 0.05528784979585356, 'NN': 0.051307061979551156, 'IN': 0.04021776496754776, 'DT': 0.03634209721199486, 'which': 0.03582482388234519, 'have': 0.03201523747888406, 'i': 0.03197818438613083}"
0.5167095115681234,0.4292554208785039,0.5145652506711831,0.5167095115681234,0.65568,1,0.895,0.1896551724137931,0.5116279069767442,0.1164021164021164,"[1249372, 1093791, 837131, 1247885, 1092118, 1090664, 1250645, 1191145, 1191398, 1247905, 1250783, 1247792, 1192822, 1092714, 1092787, 1090709, 1090004, 1090328, 837005, 1193022, 1248262]","[925065, 925305, 925296, 1165248, 1165240, 925147, 925209, 925535, 1165325, 925478, 925503, 925794, 1222377, 927254, 927487, 1165501, 1165060, 925630, 924015, 921818, 924415, 920750, 921080, 921280, 920728, 921311, 920609, 921947, 921608, 921415, 927239, 922137, 921997, 1221865, 923653, 923071, 923387, 924151, 924276, 927168, 929132, 928420, 931670, 930971, 930981, 931756, 931742, 932254, 931845, 1166096, 932053, 1223055, 933041, 932856, 932570, 933256, 932778, 933954, 1223113, 931314, 927258, 931563, 1222741, 928360, 928100, 927790, 928346, 928969, 928594, 929328, 921017, 928534, 928780, 1165671, 930908, 930643, 930604, 930652, 930293, 1222726, 931597, 1164622, 919147, 920527, 910417, 910932, 1220236, 911040, 1220274, 1220388, 911773, 911541, 911461, 911230, 911456, 915110, 915566, 917802, 917659, 912233, 915747, 910941, 1164010, 1163435, 909921, 908656, 908768, 908183, 908711, 908324, 908089, 908451, 909128, 929578, 909464, 929909, 916241, 909693, 909719, 909877, 909780, 910259, 909976, 912877, 1163706, 1220565, 1164185, 1164403, 918405, 918637, 918650, 918455, 918672, 919280, 933694, 1164464, 919295, 919191, 919399, 1221393, 920167, 1164609, 920459, 917024, 916951, 916802, 916949, 1220589, 1163762, 912724, 913076, 922403, 922588, 913451, 922386, 919943, 926288, 914321, 914395, 914495, 914900, 914590, 1163916, 1164170, 916865, 914772, 934060]","{'sentiment': 0.0749752241477851, 'PRP': 0.07079690354925382, 'of': 0.06351898612800506, 'NN': 0.05395202250938361, 'VB': 0.04580659210491349, 'DT': 0.03949486844499321, 'to': 0.0383267527163328, 'the': 0.030184757388284068, 'have': 0.029915492274906207, 'i': 0.029545437637554666}"
0.5347043701799485,0.4350054536171268,0.5744142129859656,0.5347043701799485,0.67504,1,0.94,0.18099547511312217,0.625,0.10582010582010581,"[1250282, 1248502, 1192352, 1193964, 1250249, 1192378, 1249226, 1191317, 1091537, 1193953, 1248923, 1090372]","[925539, 925336, 1165199, 924793, 924747, 924715, 924945, 925815, 927109, 925541, 925792, 1222182, 1165529, 924814, 927265, 927118, 927458, 925362, 924243, 923244, 923943, 920797, 1164689, 921331, 922096, 1164832, 922051, 921836, 921887, 1221689, 921820, 923102, 923314, 923507, 927313, 923528, 923521, 1165069, 1165133, 1222487, 1222534, 928115, 1222953, 932442, 932002, 931915, 932061, 932482, 933204, 932933, 932677, 1222993, 932989, 933196, 933868, 933343, 1223128, 933981, 1166336, 931614, 931082, 1165996, 1222861, 927882, 928427, 928210, 920790, 1222546, 928870, 928940, 929107, 928262, 929014, 930370, 1165909, 930251, 930524, 1165936, 931594, 931601, 931180, 930437, 920731, 920458, 920831, 910592, 910433, 911847, 911399, 911577, 911371, 911298, 1220351, 912501, 1163982, 915509, 1221169, 917795, 1163588, 917950, 913290, 912799, 910872, 910541, 910780, 911003, 908133, 908189, 908567, 908732, 908117, 908077, 908685, 908960, 913275, 909507, 915963, 909660, 910245, 909947, 909609, 909938, 910193, 909853, 909483, 920997, 912968, 913162, 918906, 918796, 918785, 919257, 919081, 919609, 919551, 919008, 919699, 1221337, 920233, 1221402, 920306, 933446, 1164632, 919924, 919857, 918530, 918699, 918441, 917084, 912774, 914149, 926238, 914102, 913528, 922509, 922782, 1221791, 913153, 1163896, 914802, 914492, 914784, 914533, 916746, 917057, 916846, 916870, 914223, 933623]","{'sentiment': 0.07960511064329777, 'PRP': 0.07873694884573462, 'of': 0.0677115168235551, 'NN': 0.05770480118100437, 'VB': 0.050640027937912675, 'IN': 0.04140462618591534, 'RB': 0.03412794007557931, 'to': 0.033679512144072735, 'DT': 0.031937649959665186, 'NNS': 0.030785586942953747}"
0.5629820051413882,0.4910977815862135,0.6168801710915729,0.5629820051413882,0.68519,1,0.925,0.2857142857142857,0.6938775510204082,0.17989417989417988,"[1250851, 1194006, 1250535, 1191282, 1211202, 1192921, 1192497, 1193183, 1250750, 1091343, 1193166, 1248381, 1191647, 1248225, 1250661]","[925614, 926042, 1222189, 925758, 925483, 925600, 927652, 1165640, 927318, 1222375, 927328, 927644, 927454, 927951, 925586, 927260, 925024, 1221931, 924561, 921464, 921491, 1221637, 923560, 923462, 1221887, 923169, 925264, 1164997, 924507, 928425, 1165074, 924442, 924661, 1222015, 925227, 1221894, 927995, 928935, 1165602, 1166063, 931792, 932026, 932468, 932418, 931880, 932549, 932708, 933182, 1166159, 1166234, 1166206, 933494, 933872, 933898, 1166004, 931572, 1222833, 931112, 928493, 929221, 929278, 929011, 921479, 1165720, 929087, 928410, 1165937, 1165857, 930348, 930749, 930291, 1166043, 1222799, 931465, 930853, 921438, 1221485, 1164712, 1220353, 911311, 911656, 1220390, 912643, 917719, 912163, 918097, 918060, 912770, 1163734, 913182, 913314, 913240, 922206, 911717, 910828, 910509, 910610, 908346, 908631, 908445, 908745, 908521, 908612, 1163142, 1221766, 916280, 1165754, 908789, 909733, 909880, 909664, 910033, 1220283, 929838, 1163763, 922432, 913691, 919236, 919690, 1164480, 1221388, 919061, 920531, 1164614, 918893, 920259, 919927, 933634, 921318, 920877, 921134, 921350, 920600, 920349, 921388, 918389, 918838, 922430, 1163927, 1163873, 914688, 914275, 914757, 914446, 918942, 914933, 917320, 916860, 1221047, 916710, 1164232, 918329, 918903, 1164201, 934036]","{'PRP': 0.07552190517061519, 'of': 0.07114644094373601, 'sentiment': 0.05575791092067784, 'NN': 0.05496041350531732, 'VB': 0.048873339389808104, 'DT': 0.03964373605350755, 'IN': 0.03951184323703647, 'have': 0.03717617200421924, 'which': 0.03189827649312587, 'i': 0.03114019061318976}"
0.5398457583547558,0.4382457946910792,0.5960143500583598,0.5398457583547558,0.67979,1,0.95,0.182648401826484,0.6666666666666666,0.10582010582010581,"[837608, 1191730, 1092455, 1249176, 1192236, 1090961, 1248740, 1250143, 837534, 1092215]","[925290, 1221962, 925280, 925146, 925316, 924728, 1165228, 925255, 925388, 925448, 925726, 925687, 923893, 926051, 925705, 1222390, 927667, 925865, 1221933, 923061, 1165072, 921277, 920615, 920828, 920679, 920987, 921446, 922118, 921562, 921631, 921981, 921577, 923521, 1221896, 923495, 927675, 923217, 924077, 924554, 927666, 928173, 927632, 931490, 932369, 932316, 931719, 1166082, 931937, 932174, 1166234, 932547, 1223072, 933277, 933270, 933792, 933872, 933928, 933905, 1223115, 931695, 931337, 931318, 1222892, 1222486, 1165580, 1221503, 928491, 927992, 928409, 928573, 929008, 927136, 928957, 928676, 1165720, 930241, 930672, 930224, 1165910, 931014, 931103, 928766, 920544, 919840, 1221498, 910642, 910669, 910389, 911054, 910648, 911750, 911799, 911882, 1220419, 911209, 911152, 917668, 1164266, 911982, 912383, 912077, 912149, 1220262, 910530, 909585, 910098, 908401, 908528, 908121, 908241, 908523, 908612, 908283, 909130, 917829, 916323, 916487, 909298, 916417, 908816, 909785, 910060, 910175, 909646, 929365, 920012, 1163689, 913067, 918326, 918766, 918472, 918630, 918439, 918434, 918981, 1221321, 1221348, 919769, 919411, 919519, 919602, 919543, 933603, 920560, 919792, 1164165, 916964, 917070, 916968, 913397, 912768, 912746, 1221731, 913811, 913950, 922291, 926489, 1163686, 913623, 914459, 1163952, 914630, 914638, 914236, 914327, 914726, 917364, 914002, 933572]","{'PRP': 0.08075662533149734, 'of': 0.07145211899952456, 'sentiment': 0.05217125924641763, 'NN': 0.05117115040411393, 'VB': 0.04441068343199361, 'to': 0.043442056125623664, 'IN': 0.041772544718273706, 'DT': 0.036863631554837885, 'NNS': 0.03463765246638682, 'the': 0.03140324642287022}"
0.5424164524421594,0.4596141750870942,0.5784904887083325,0.5424164524421594,0.67399,1,0.92,0.23275862068965517,0.627906976744186,0.14285714285714285,"[1090189, 1247791, 1191465, 1090290, 1193128, 1248784, 1092193, 1250210, 1093240, 1190910, 1193418, 837571, 1191503, 1249660, 1247928, 1092103]","[924628, 1165159, 924857, 925258, 925053, 925008, 1165164, 925721, 927512, 926143, 1222140, 926122, 925448, 927021, 927158, 923928, 925577, 923954, 923471, 1221901, 921145, 920830, 921355, 921890, 921397, 922146, 1221620, 922066, 921548, 921767, 923072, 927179, 923012, 923373, 923478, 923415, 924384, 1165106, 927290, 928901, 1222491, 931677, 931462, 931798, 931716, 932476, 1222932, 1166117, 931015, 932217, 933185, 932882, 933188, 932552, 1166299, 933919, 933445, 932765, 931432, 1222821, 931687, 927741, 927826, 1165620, 1165567, 928771, 921105, 1222587, 1165747, 928959, 1222526, 930751, 930213, 930575, 1222727, 930135, 930490, 930872, 927613, 921144, 919377, 1221460, 910741, 910629, 910734, 910647, 910570, 910655, 911688, 909797, 911884, 912354, 912583, 915230, 915016, 912436, 1220820, 913003, 911963, 909692, 910092, 910122, 908081, 908303, 908032, 908202, 908467, 908518, 1163140, 915879, 1220082, 908893, 909139, 908853, 916388, 909083, 910285, 1163293, 909719, 913127, 920680, 1220534, 912913, 1164407, 918978, 918613, 918562, 918260, 919175, 1164494, 1221296, 919734, 919436, 933704, 920322, 920242, 1221484, 920531, 919880, 919298, 1164231, 916787, 917178, 913154, 912994, 1221767, 1220628, 926589, 1220608, 926735, 914962, 914971, 914672, 914545, 914572, 914611, 917068, 917101, 917301, 1221050, 912812, 933998]","{'of': 0.07036908650974008, 'PRP': 0.0675333633599167, 'VB': 0.06355303658830769, 'sentiment': 0.052485563116281025, 'NN': 0.051534026429736535, 'IN': 0.04629115689952241, 'RB': 0.03861817826771978, 'DT': 0.03518158637234436, 'which': 0.034168222036561495, 'i': 0.030239423720981554}"
0.5269922879177378,0.4516671285633738,0.5359856907275163,0.5269922879177378,0.65799,1,0.885,0.23333333333333334,0.5490196078431373,0.14814814814814814,"[837608, 1191171, 1090303, 1154464, 1191278, 1192275, 1250567, 1250759, 1250025, 1250697, 837298, 1249771, 836953, 1250562, 1248791, 1192594, 1092339, 1211257, 1092212, 1191465, 1193612, 1248502, 837390]","[923960, 924731, 1222088, 1165169, 924770, 1222029, 1165228, 925310, 1165270, 925921, 926121, 1222134, 925562, 926954, 1165496, 1221976, 925839, 924089, 922035, 924271, 921197, 921090, 921519, 921847, 921447, 921785, 921509, 1221972, 927119, 923192, 923118, 923100, 923424, 1165042, 923615, 923379, 922052, 1165547, 930672, 927258, 932331, 1166133, 932441, 932301, 931945, 932347, 933209, 931672, 932981, 932970, 933272, 933171, 933776, 933347, 933411, 933909, 932623, 1165966, 931693, 931047, 1222445, 927957, 928342, 928461, 1165630, 928774, 928818, 928975, 929083, 921061, 1165913, 930765, 1222792, 930854, 930261, 931255, 1165959, 1165485, 921266, 1164479, 920978, 910635, 1163373, 910534, 1163528, 911166, 911563, 911343, 910740, 911784, 912580, 912128, 915215, 1164271, 915333, 1164278, 912344, 1163569, 1163425, 910819, 910950, 908365, 1163120, 908403, 1219975, 908630, 1220005, 909091, 909321, 1222647, 908891, 929518, 1220144, 909921, 910202, 1220180, 910074, 909779, 912717, 921162, 913134, 913089, 918684, 918222, 918347, 1221289, 919265, 1164513, 933791, 1164365, 919169, 919785, 919782, 920318, 920207, 920452, 920132, 920834, 1221387, 917029, 1221098, 916650, 912896, 913324, 914175, 926423, 922255, 1165361, 1165353, 914728, 1220792, 1163925, 914339, 914897, 1220782, 915005, 917214, 916630, 917012, 912764, 933826]","{'PRP': 0.07686728920317415, 'of': 0.06444333376619352, 'sentiment': 0.05869218455155148, 'NN': 0.050277160625379985, 'VB': 0.04710972611450786, 'IN': 0.04192071310390475, 'DT': 0.04172221259507306, 'have': 0.0343593345091936, 'mean_sen_len': 0.032777124366889544, 'to': 0.030237909088529427}"
0.5167095115681234,0.41775054986868115,0.5156550912814256,0.5167095115681234,0.66065,1,0.915,0.16071428571428573,0.5142857142857142,0.09523809523809523,"[1249989, 1249321, 1250026, 1248863, 1193645, 1192680, 1093019, 1249660, 1250650, 1249777, 1091981, 1091538, 1092807, 1248670, 1248276, 1192435, 1091602]","[925814, 925253, 924565, 925039, 926104, 925519, 925963, 925506, 928388, 1165325, 1165538, 927441, 927688, 927670, 927005, 927351, 924685, 1222129, 925288, 923317, 1165097, 920963, 921356, 920819, 1164656, 1164826, 921746, 921955, 921995, 924684, 922074, 923082, 928526, 923494, 923643, 924378, 924251, 924067, 1165145, 921496, 928168, 929325, 1222429, 931910, 1222951, 1166103, 932189, 932079, 931795, 932518, 932996, 933008, 933197, 932618, 933163, 933412, 933598, 1166295, 933395, 933422, 931802, 1166004, 931094, 1222837, 929180, 1222566, 928895, 929080, 928653, 1164663, 928706, 1165917, 1222409, 930575, 930563, 930422, 930453, 930771, 1222824, 1222866, 931583, 931284, 930680, 921263, 919446, 920177, 1220239, 910333, 911475, 911225, 911574, 911768, 911353, 911116, 911603, 915095, 915319, 912486, 912651, 915524, 1220428, 1163610, 913144, 911077, 910735, 910452, 910663, 908113, 1219958, 908762, 908603, 908145, 916053, 908973, 929995, 1220570, 929891, 909134, 909875, 909934, 909719, 909675, 909865, 910132, 910254, 929587, 912836, 913184, 1220534, 918773, 918593, 1221295, 918952, 1164375, 919345, 919413, 919377, 1164457, 919402, 1221392, 933765, 1164586, 920211, 919908, 920281, 920237, 1221412, 919071, 920955, 916990, 917086, 1163693, 913179, 1222234, 1164910, 922408, 1165395, 1221710, 914066, 916751, 914135, 914902, 914538, 914803, 914908, 914412, 916999, 917232, 917157, 1163928, 933975]","{'PRP': 0.0759439316109591, 'VB': 0.06565547616864652, 'sentiment': 0.05678024866999351, 'of': 0.05594226586593496, 'NN': 0.050672356369348345, 'have': 0.03713956082633724, 'DT': 0.03655101086979939, 'to': 0.03491522339884945, 'IN': 0.03429497038975686, 'the': 0.03288751612335667}"
