,Key,Count,Mean Score
0,of,100,0.06754535369325972
1,PRP,100,0.07578580605638076
2,sentiment,100,0.06100698413259842
3,NN,100,0.054193365853372456
4,VB,100,0.052658135589755066
5,DT,98,0.038743480413799304
6,IN,91,0.03936919083612086
11,have,61,0.0345547834670115
10,to,61,0.0358575610627801
8,RB,45,0.03247566823129271
7,NNS,39,0.032960743549516294
13,the,34,0.03326293648171151
14,i,25,0.03125433912188419
15,mean_sen_len,23,0.03148048782071177
9,which,20,0.032242719350552854
12,a,2,0.028867916882836242
16,VBD,1,0.02975794242915063
