accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.5075,0.3539659766345562,0.6518987341772151,0.5075,0.66891,1,0.995,0.03902439024390244,0.8,0.02,[1070943],"[856839, 850180, 849831, 845837, 845994, 845445, 845509, 850014, 845727, 850109, 1213530, 1213533, 849691, 849772, 850182, 845991, 856644, 850019, 845871, 856884, 856397, 845911, 1156721, 850220, 856569, 845946, 856515, 845704, 856555, 845689, 850024, 850251, 850248, 849801, 845542, 845634, 850073, 849704, 849901, 856576, 849720, 849739, 845585, 850232, 845850, 845539, 845453, 845728, 849945, 845810, 856773, 1155935, 846025, 856945, 856470, 845750, 850127, 1155924, 856660, 856964, 1213560, 846028, 856827, 845899, 845941, 850013, 856735, 849755, 1212728, 849699, 1156762, 845403, 850017, 856645, 849717, 845929, 846011, 1156738, 849961, 845712, 849909, 1155429, 856944, 856390, 845475, 845413, 849777, 849911, 1155432, 856533, 849936, 856981, 1155392, 850262, 1213559, 1156733, 856554, 849718, 856789, 850278, 845993, 850192, 1213558, 850126, 856599, 856386, 849984, 845628, 856401, 856696, 856619, 856384, 856898, 845535, 845561, 856417, 845803, 850200, 849852, 856608, 856811, 856976, 1212238, 856585, 856878, 849682, 856771, 850000, 856762, 1213573, 1155449, 849741, 845538, 845952, 1155445, 845945, 849673, 857009, 856908, 845607, 1212187, 856767, 849759, 845471, 856606, 850277, 849840, 849803, 1155443, 856494, 849711, 856618, 856506, 845930, 857001, 856411, 845807, 856973, 856748, 856570, 845518, 1155386, 845979, 850293, 845681, 856799, 1156779, 850028, 850062, 856687, 849782, 850207, 849932, 1212756, 1212721, 845774, 856757, 850203, 845545, 856923, 845578, 1212775, 1155387, 856616, 856538, 856527, 850121, 1156726, 846012, 850253, 849758, 845784, 856717, 1212173, 845480, 856610]","{'of': 0.07583128983093448, 'PRP': 0.07417713453093747, 'sentiment': 0.06343918319996618, 'VB': 0.061528685330521526, 'NN': 0.05108814114007223, 'DT': 0.03985308596011687, 'IN': 0.03816424766248712, 'the': 0.03364322155910266, 'RB': 0.032968309447484676, 'which': 0.0303233936346266}"
0.51,0.3592886796770292,0.6692047377326565,0.51,0.67003,1,0.995,0.04854368932038835,0.8333333333333334,0.025,[1185042],"[1155431, 849858, 849951, 856870, 856866, 845723, 849783, 856658, 1155384, 849786, 1212230, 856970, 845509, 849862, 845500, 850134, 1212241, 849765, 1155975, 845536, 1156750, 845995, 845435, 845403, 845726, 856731, 856421, 856999, 850192, 845797, 856556, 845898, 850066, 1212733, 1155966, 845458, 856585, 856428, 856478, 845827, 845802, 845594, 845622, 850157, 850258, 849746, 845680, 1155440, 849966, 856883, 845549, 845577, 1155417, 1213559, 856438, 856436, 845394, 856538, 850205, 856733, 1155408, 1212206, 1212239, 1156763, 856990, 856790, 1155416, 849984, 849734, 845600, 856394, 850285, 845633, 1212748, 856632, 849770, 856466, 845985, 856540, 845938, 856643, 856571, 1212703, 850193, 845624, 845765, 856778, 856923, 850031, 856516, 856868, 1155455, 856971, 849879, 1212215, 1213575, 845471, 846010, 849958, 1155947, 845685, 849751, 1212240, 1155430, 845548, 845546, 849795, 856998, 856889, 856600, 856820, 856801, 856814, 856667, 856834, 849819, 845808, 850032, 1155436, 845793, 845655, 856564, 856730, 856745, 850206, 845978, 1155399, 849853, 849924, 849973, 1212759, 849874, 1212184, 845637, 849810, 1155395, 845845, 856654, 856785, 856710, 845764, 1212715, 856532, 1156710, 850077, 856523, 845750, 856751, 845892, 856565, 845837, 1155963, 849849, 850291, 845395, 845689, 850098, 846004, 856531, 1156738, 845535, 845462, 845957, 845721, 856953, 845801, 850162, 1155402, 845642, 845670, 850189, 856858, 1213530, 845817, 845562, 845728, 845805, 850110, 850061, 845697, 845644, 845888, 845572, 1212723, 856876, 845826, 856893, 857004, 850128, 845653, 845612, 849949, 856546, 856689, 850093]","{'sentiment': 0.07871977405280604, 'PRP': 0.06532377816150466, 'NN': 0.05892374239143812, 'of': 0.0520228971959616, 'VB': 0.0479172271057775, 'DT': 0.0444697071350125, 'to': 0.0380743383197662, 'IN': 0.03586413758754285, 'have': 0.02667371458609891, 'mean_sen_len': 0.026513522971300094}"
0.5175,0.3749949400497089,0.6989201477692526,0.5175,0.67343,1,0.995,0.07655502392344497,0.8888888888888888,0.04,[1071187],"[850200, 845983, 845749, 845958, 856684, 856521, 845852, 845718, 1156758, 856727, 856892, 1156729, 845704, 1155901, 845538, 1155428, 856795, 845897, 1155438, 845461, 845998, 1155964, 856516, 856687, 1213569, 857009, 856532, 850301, 845452, 845428, 856854, 856617, 856886, 849835, 856909, 850117, 856445, 849695, 850008, 850159, 845976, 845969, 850207, 845723, 849877, 845557, 1212765, 846029, 856497, 856986, 849723, 845546, 856919, 845511, 850181, 845784, 856852, 856779, 1212726, 1212183, 1156732, 845628, 845635, 850127, 849929, 850202, 856568, 845662, 845457, 856557, 856991, 845594, 856876, 856781, 846004, 856978, 849920, 845443, 856818, 849743, 1155953, 845874, 849729, 856726, 850173, 845690, 845555, 850000, 1212756, 856720, 845410, 1212244, 856588, 845658, 845490, 845586, 850190, 1212762, 856576, 856941, 856758, 856586, 1213589, 856816, 856518, 856735, 849934, 856573, 850244, 856828, 845757, 856434, 845444, 845989, 856855, 849818, 845617, 849748, 856831, 845832, 850306, 850035, 845805, 1156730, 845497, 856632, 845939, 856763, 849891, 850150, 850231, 856414, 1156785, 856413, 1155439, 845707, 845448, 1155930, 845657, 849957, 845596, 845866, 849825, 1213561, 850243, 850252, 856724, 856625, 856955, 845543, 845760, 1156778, 849895, 856998, 856595, 856942, 845727, 856393, 845398, 850022, 1212725, 845592, 850097, 849834, 845436, 845393, 856699, 856418, 845652, 856983, 850063, 1213571, 1213525, 850028, 845714, 849896, 850020, 845721, 856524, 1155960, 856797, 845564, 849989, 1212204, 845927, 1156761, 1212760, 845900, 845999, 845821, 856793, 845975]","{'PRP': 0.08646301249566286, 'sentiment': 0.06067735796399084, 'of': 0.05897501813838172, 'VB': 0.05773433835514241, 'NN': 0.049591779036230715, 'IN': 0.04560967319925819, 'to': 0.04001498521826547, 'DT': 0.03728994599597194, 'NNS': 0.035651599760257675, 'which': 0.02788103322134455}"
0.5075,0.35805003625225057,0.609051254089422,0.5075,0.66779,1,0.99,0.04830917874396135,0.7142857142857143,0.025,"[1068667, 1069256]","[856694, 856918, 845746, 850252, 850135, 856974, 845863, 1155433, 850271, 1212733, 845718, 849676, 850076, 845874, 845952, 1155967, 1212247, 850018, 845971, 845965, 850152, 849900, 850218, 856514, 845932, 845523, 845744, 849830, 850161, 856940, 845391, 849810, 845437, 1213577, 845731, 856840, 845389, 850126, 1155441, 856382, 856682, 856462, 850182, 1155897, 845642, 856803, 845695, 1155434, 1212699, 849927, 1156786, 856752, 845861, 849703, 856569, 856613, 1213586, 850031, 856836, 856677, 846016, 849699, 856971, 849741, 849882, 856790, 856870, 856938, 849779, 845950, 849757, 1155414, 850178, 856989, 856832, 845872, 856927, 856468, 845926, 1213573, 1213570, 849739, 845589, 845785, 845560, 845578, 1212239, 845544, 1155925, 850047, 845991, 856833, 856744, 1155973, 850253, 845928, 856796, 846004, 849911, 1155975, 849960, 856510, 845535, 850005, 845809, 849889, 849943, 850029, 856808, 1155443, 850048, 849772, 849841, 856957, 1155940, 850248, 845670, 849795, 849817, 849872, 845711, 845609, 1156753, 1156785, 850295, 849869, 845489, 1155929, 1212208, 849710, 845970, 856657, 846030, 856991, 1156749, 1213579, 850205, 1212774, 845882, 856821, 850234, 850020, 856753, 1212226, 850129, 856561, 849708, 849823, 850312, 845570, 850220, 849859, 1212767, 850279, 856998, 845573, 856784, 856397, 849736, 856972, 856635, 845761, 1213584, 850311, 856524, 845458, 849813, 856493, 850163, 1212191, 856906, 845445, 849999, 845574, 845649, 850012, 850160, 845879, 856866, 849747, 856709, 845521, 849718, 1212178, 845845, 1213532, 1212701, 1156752, 1155943, 856748, 849988, 856861, 850068, 849700, 1156726]","{'sentiment': 0.0778769951520584, 'PRP': 0.0766467892201978, 'of': 0.058060854314005844, 'NN': 0.055339354262492195, 'VB': 0.049798250618237686, 'have': 0.04378879558190211, 'IN': 0.04040151507136737, 'DT': 0.039729772788376964, 'RB': 0.03468303884135943, 'i': 0.030258032990969644}"
0.515,0.3658265502925698,0.7538071065989849,0.515,0.6734,1,1.0,0.05825242718446602,1.0,0.03,[],"[856862, 856594, 849794, 856579, 856486, 1156767, 850146, 849710, 856820, 856694, 856578, 845497, 849887, 849899, 845982, 850208, 850087, 845570, 845806, 1212174, 850309, 856529, 856736, 856772, 850188, 849835, 845827, 856951, 845597, 1213564, 1212752, 1213548, 845858, 856433, 849762, 856385, 850049, 845472, 850267, 850254, 856955, 845693, 856831, 1155951, 856493, 849990, 850028, 856961, 849785, 849820, 850201, 850102, 856442, 845816, 849863, 856643, 856640, 849706, 849689, 1155931, 850296, 856843, 850217, 1213550, 849991, 849916, 845455, 845549, 856382, 845560, 849947, 856424, 1213533, 849925, 856785, 845754, 845469, 856612, 856690, 849907, 856968, 850030, 845741, 849826, 845536, 856625, 845407, 850131, 1212764, 845717, 856844, 850183, 856559, 856711, 845658, 845909, 845612, 849778, 856911, 845822, 850187, 845650, 845580, 845416, 845463, 1213559, 845409, 850259, 845401, 1212735, 845582, 856633, 856498, 846004, 1212205, 849786, 1212721, 849727, 856657, 856505, 845546, 845557, 1155403, 856791, 845791, 1155386, 849948, 850059, 856764, 1156760, 845775, 845438, 845583, 1212245, 1212763, 846010, 845447, 1155379, 846024, 856771, 850088, 849699, 845809, 1155383, 850173, 850308, 845506, 845632, 849782, 856995, 1156763, 845762, 856827, 856519, 856869, 1212238, 849808, 845922, 856583, 856939, 1156786, 856757, 856485, 1213538, 850285, 850155, 1213530, 856426, 850021, 850167, 849789, 850252, 1155972, 1155909, 845638, 856388, 849962, 845855, 845773, 849819, 845452, 1155450, 850281, 845763, 845995, 856841, 856814, 1212731, 845828, 1212698, 849764, 845813, 850067, 849825]","{'PRP': 0.07523438461414948, 'of': 0.0678059524865135, 'sentiment': 0.06413528828538047, 'VB': 0.057629881541089924, 'NN': 0.053823861670044285, 'DT': 0.0429896400047602, 'NNS': 0.03288138454790549, 'to': 0.032379398466821585, 'IN': 0.03200868943688975, 'the': 0.030861856795204746}"
0.5075,0.3539659766345562,0.6518987341772151,0.5075,0.66891,1,0.995,0.03902439024390244,0.8,0.02,[1240695],"[850247, 845541, 856925, 856757, 1156729, 845679, 856885, 849829, 1212210, 856468, 850114, 845771, 1213589, 850257, 856954, 1213539, 1213574, 849769, 1212723, 849923, 850098, 845501, 845572, 845985, 845760, 849928, 849871, 850110, 850212, 1212187, 849973, 845426, 1155904, 856922, 849789, 856911, 856733, 849788, 1155448, 856819, 850070, 850095, 1212238, 850284, 845995, 850286, 856612, 850162, 1212746, 856895, 849922, 1156730, 845695, 856506, 850241, 845740, 849715, 849927, 1155390, 845908, 856590, 850240, 845954, 856734, 849740, 846010, 856636, 1213591, 856627, 850278, 845484, 856432, 1213586, 850222, 850032, 850120, 856920, 845654, 850249, 849672, 845741, 845880, 1155421, 1213571, 849852, 845433, 1155400, 849848, 849678, 845607, 845922, 856883, 849713, 1155397, 845767, 845961, 856995, 856910, 845395, 849748, 1213567, 845489, 1155969, 857000, 850216, 1155406, 849839, 856822, 850238, 1213597, 845919, 856623, 856851, 845653, 845390, 856415, 856381, 1212174, 856678, 845665, 845512, 1155932, 845763, 845794, 845986, 856899, 856756, 850186, 845403, 849932, 856831, 850296, 845664, 850090, 845594, 849749, 845728, 1155393, 1213548, 845631, 856489, 1155925, 856947, 850059, 1155404, 856374, 849894, 845660, 856707, 856759, 856960, 845718, 856488, 1155950, 856419, 856448, 1212209, 1155964, 845745, 1212232, 850217, 845836, 849766, 845829, 856648, 845819, 849700, 856786, 845537, 850267, 1212733, 845921, 850252, 1212222, 849721, 1213535, 1155918, 1213547, 856894, 1212177, 845424, 849757, 850129, 849929, 856563, 845917, 856838, 845808, 849685, 845898, 845782, 845648, 856840, 1155928, 856921, 845502]","{'PRP': 0.0698968426526411, 'of': 0.06711125466738459, 'sentiment': 0.06138177575554209, 'NN': 0.05500393894273233, 'VB': 0.05437764145590446, 'DT': 0.040191369320196194, 'i': 0.03741742347144581, 'have': 0.03256534439779542, 'NNS': 0.03028543945683812, 'not': 0.029737664820989048}"
0.5125,0.3605246976839516,0.7531645569620252,0.5125,0.67227,1,1.0,0.04878048780487805,1.0,0.025,[],"[856578, 850191, 845834, 1155973, 856718, 1212181, 849825, 850200, 849780, 849709, 1155402, 856883, 1212727, 846012, 849858, 856744, 856841, 845457, 856511, 856783, 1155975, 856518, 845973, 1155967, 849823, 1212209, 850234, 1155940, 856846, 1213536, 856475, 845533, 856849, 845390, 1155905, 850225, 856576, 845859, 845867, 1212736, 849891, 845822, 845670, 1156753, 845534, 845446, 849921, 856497, 1155934, 1213547, 849679, 1213566, 856835, 850174, 856967, 856908, 856881, 845588, 1156709, 845687, 856844, 856480, 845685, 1155954, 850148, 856564, 850211, 849678, 850210, 849847, 849905, 856623, 856670, 856500, 856798, 845622, 856533, 849698, 849730, 845752, 845986, 856785, 845573, 845990, 1156746, 849735, 856436, 845881, 850199, 856574, 1156714, 850136, 850008, 850011, 849901, 1212214, 845478, 856540, 849838, 1156723, 1212222, 1155389, 849889, 1212204, 856898, 845531, 849939, 1212776, 1156781, 845903, 856761, 856811, 845623, 856978, 849871, 856773, 1155972, 845557, 1213520, 850170, 1156764, 1213531, 1212725, 856675, 850177, 1155385, 849874, 849863, 850163, 845673, 849938, 849779, 856499, 845781, 1213572, 845772, 845735, 845810, 856728, 849696, 845785, 856545, 850135, 850044, 1212213, 856402, 1155919, 845630, 856650, 845602, 1156777, 845840, 856504, 845831, 856626, 849772, 849788, 845968, 846004, 850066, 845451, 849962, 849986, 1156755, 1213564, 849744, 845743, 849670, 850189, 849948, 856966, 1212763, 856996, 856767, 856476, 850118, 1213597, 849829, 856485, 849704, 845863, 1212194, 845956, 856741, 856446, 1155395, 1212178, 850025, 849862, 856793, 856861, 845612, 850162, 856493, 856615]","{'PRP': 0.07638927344186154, 'of': 0.06786087273371898, 'VB': 0.05504728843628324, 'NN': 0.050796717862999476, 'sentiment': 0.04555485163479116, 'IN': 0.042840933707042894, 'to': 0.04230901903080596, 'DT': 0.03706485531769241, 'have': 0.03447886434187184, 'the': 0.033330430484107464}"
0.5125,0.3605246976839516,0.7531645569620252,0.5125,0.67227,1,1.0,0.04878048780487805,1.0,0.025,[],"[856680, 856482, 850228, 856627, 850226, 849758, 856391, 849756, 856396, 856918, 856788, 845520, 849781, 1156729, 845978, 856537, 845593, 856775, 849824, 845864, 856608, 845860, 1213581, 845758, 845936, 1155383, 849786, 849912, 849802, 856818, 856889, 849748, 1213533, 850100, 1212246, 849889, 850071, 856649, 850128, 856915, 856619, 1212714, 856526, 1212772, 856861, 856869, 846014, 849755, 1155956, 856502, 845753, 849887, 1155425, 856652, 845873, 856864, 856983, 1212759, 857007, 1213528, 850276, 845968, 856566, 1155912, 856938, 856622, 856517, 856672, 849695, 845393, 856843, 845490, 845449, 856988, 1156756, 850024, 856852, 849911, 850308, 856570, 856975, 849733, 849797, 856514, 856423, 1155935, 850191, 1155396, 845675, 1212747, 856859, 845656, 845596, 856380, 856738, 856776, 849790, 845945, 1155947, 1213589, 845720, 845644, 856736, 849986, 856845, 1212197, 850263, 850139, 856529, 845742, 849954, 856602, 849939, 1213578, 845989, 845592, 849995, 845598, 845655, 1155966, 845518, 1213597, 845578, 849820, 856535, 850054, 1155961, 845589, 845880, 845797, 856562, 845997, 850205, 850248, 856965, 1213547, 845842, 856924, 1156784, 849936, 856464, 1213551, 845837, 850142, 845556, 845638, 856726, 845833, 845817, 845481, 856613, 850150, 850160, 856490, 849729, 1213540, 846019, 845412, 849809, 1212766, 846006, 849787, 849730, 856698, 849804, 856656, 856855, 845525, 845744, 850216, 850271, 856644, 845922, 856927, 850164, 856912, 856552, 845865, 850198, 1155972, 850239, 856948, 856386, 850016, 850241, 845679, 856750, 845508, 1155424, 850251, 845747, 1155920, 856417, 845766, 1155398]","{'PRP': 0.0676597302466825, 'of': 0.06702441124776744, 'sentiment': 0.06290881293562746, 'NN': 0.05842834002976973, 'IN': 0.05827244298698287, 'VB': 0.0527203693247231, 'to': 0.03775430894186409, 'RB': 0.035951886533421094, 'NNS': 0.031606769017348615, 'DT': 0.031437871291026376}"
0.5075,0.3539659766345562,0.6518987341772151,0.5075,0.66891,1,0.995,0.03902439024390244,0.8,0.02,[1183712],"[850151, 845444, 845901, 856557, 849843, 850313, 856507, 849793, 845474, 849805, 1155947, 856485, 849915, 1213540, 845689, 1212247, 845786, 1212220, 849898, 850252, 850054, 845492, 850222, 849901, 849701, 845546, 845583, 856552, 845732, 1156746, 845643, 845451, 845488, 850071, 856400, 845551, 1213546, 845986, 845715, 846003, 856907, 845510, 845419, 1212187, 856863, 845416, 856763, 846008, 856669, 1155382, 850028, 856655, 1213556, 850124, 856624, 850180, 1155935, 1155941, 845409, 849831, 856705, 1156761, 856860, 850015, 845527, 1213561, 845445, 845761, 856572, 1155923, 856489, 849696, 849872, 849702, 850166, 856827, 1155913, 845525, 850036, 845657, 845576, 850249, 845685, 845999, 850098, 845978, 856610, 856798, 845440, 856522, 845956, 845557, 845832, 856873, 845998, 1213558, 849717, 845659, 856675, 845566, 849967, 850093, 845617, 1155404, 1212724, 845824, 845912, 845760, 856764, 845667, 856811, 856843, 849886, 1213528, 845774, 849876, 845840, 850186, 845497, 845952, 856749, 856629, 1212768, 1156788, 849907, 845834, 856950, 1212739, 856634, 856856, 850094, 1213552, 849674, 845921, 850034, 856979, 856385, 849897, 845931, 856478, 845981, 850232, 856924, 856786, 856439, 1212183, 850001, 856775, 857015, 1212770, 845595, 1212746, 856778, 1212753, 845567, 850209, 856684, 849743, 1212234, 856519, 845879, 849885, 850294, 856608, 849829, 856783, 856531, 845787, 1156759, 856966, 1155394, 1213534, 856501, 856892, 845426, 850143, 1213597, 856893, 856510, 845559, 849797, 1213563, 849730, 856702, 1155425, 1212169, 849760, 845777, 856733, 850048, 856831, 850019, 1155413, 850255, 856912, 856720]","{'PRP': 0.0815879211047747, 'of': 0.06905813306329735, 'VB': 0.05687968149026376, 'NN': 0.05558687560126702, 'sentiment': 0.05091823625697658, 'IN': 0.04734874311456936, 'DT': 0.03439891131410116, 'NNS': 0.034230115878943805, 'the': 0.03305452722081623, 'i': 0.03206490459738809}"
0.51,0.3592886796770292,0.6692047377326565,0.51,0.67003,1,0.995,0.04854368932038835,0.8333333333333334,0.025,[1184105],"[856391, 856566, 845805, 845460, 845533, 845624, 849744, 845754, 856778, 856422, 1156743, 856692, 1155913, 1212189, 1212774, 850093, 850267, 849822, 845790, 850180, 856907, 845510, 1212710, 845804, 845598, 856645, 1156774, 1156776, 845486, 845412, 1213532, 856636, 856611, 1213567, 850198, 845716, 845761, 849946, 845470, 856565, 850225, 849727, 845839, 849960, 856485, 850137, 856880, 856607, 846002, 856863, 850201, 1213525, 856732, 1155958, 845817, 1155932, 845523, 856996, 856610, 845559, 856432, 845478, 849878, 845608, 845929, 1156767, 845848, 845747, 845509, 845722, 850006, 845455, 856799, 856918, 1155441, 845541, 856461, 849728, 845694, 846000, 850094, 845971, 845631, 850026, 856603, 849708, 845717, 856619, 845998, 850220, 1212766, 1155394, 845765, 856648, 1212186, 845587, 1212703, 856549, 845864, 845593, 850014, 856925, 850174, 845395, 849770, 845563, 1212235, 849818, 845586, 856919, 856957, 845584, 846009, 850088, 1212233, 850223, 850226, 849779, 849832, 1212223, 856375, 845516, 856738, 846003, 849855, 856635, 1212745, 845491, 849807, 856465, 845693, 845835, 849754, 1156729, 1212738, 849883, 850058, 1212764, 857008, 845552, 1156769, 1155432, 856570, 856523, 850102, 850055, 1212226, 850286, 857002, 1212238, 856628, 845453, 856999, 856705, 850164, 856997, 1155921, 856939, 856497, 850023, 845811, 856529, 1212237, 1156787, 850060, 856700, 1156724, 1155917, 856713, 1212709, 845877, 845781, 845983, 845664, 845766, 845534, 845866, 845852, 1156763, 850155, 849742, 845660, 856399, 850112, 1212234, 856477, 849721, 845936, 856395, 849729, 857015, 845849, 856561, 845456, 845797]","{'PRP': 0.0784609312983162, 'sentiment': 0.07037967808496046, 'of': 0.05915327855753816, 'NN': 0.0590241927977734, 'VB': 0.05710592713418967, 'DT': 0.03984238899732331, 'the': 0.03731711026679678, 'NNS': 0.037147407439917984, 'have': 0.03253237366884296, 'mean_sen_len': 0.031430784233534986}"
