accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.4975,0.33222036727879795,0.24937343358395989,0.4975,0.66444,0,0.995,0.0,0.0,0.0,[1240797],"[846762, 846895, 847163, 846866, 846701, 1155586, 847013, 846946, 846802, 847133, 846870, 846829, 846807, 847132, 846897, 846679, 1212356, 847170, 1212327, 847105, 846954, 846793, 847049, 847069, 846999, 847113, 1155542, 846901, 846951, 846786, 847117, 846686, 1212341, 846876, 846990, 1155551, 1212379, 847159, 847103, 847114, 1212336, 846844, 847003, 846936, 846788, 846792, 847079, 846935, 846846, 847014, 847119, 846800, 847126, 1155559, 846867, 847005, 846918, 846873, 847128, 847108, 846892, 847095, 846683, 846908, 846885, 1212378, 1155589, 846889, 847015, 1212367, 846874, 846952, 846722, 846902, 1155563, 846944, 847002, 846861, 846785, 846964, 846710, 846784, 847022, 846723, 1155549, 847102, 846662, 847094, 1212350, 846682, 1155587, 846865, 847146, 1155585, 846720, 1212348, 1155568, 846790, 1212384, 846858, 846826, 846808, 1212364, 846945, 846824, 846943, 846783, 846699, 847036, 846704, 847087, 846666, 846752, 847151, 846765, 846965, 846977, 846661, 847071, 847054, 846950, 846872, 1155547, 847082, 846766, 1212349, 846809, 1212362, 847070, 847124, 846700, 847063, 846778, 1212383, 846667, 1212330, 847115, 847058, 846689, 846811, 846729, 847093, 846696, 847168, 846994, 847149, 1212359, 846831, 846714, 846671, 846978, 846760, 846734, 846687, 846847, 1155584, 846917, 846777, 1212338, 846817, 846684, 846919, 846738, 847011, 846975, 846973, 846743, 1155566, 846995, 846905, 1155590, 847107, 1155578, 846979, 846903, 1155546, 846933, 1155543, 847144, 847110, 1212329, 1155536, 846731, 847062, 846779, 846832, 1212376, 846806, 846934, 1155550, 846725, 847120, 847099, 847034, 1155598, 847009, 846787, 846985, 847121, 846821]","{'of': 0.07881559438539149, 'PRP': 0.07082831118472846, 'sentiment': 0.062214842521544245, 'VB': 0.05731601041224308, 'NN': 0.04397507016942063, 'IN': 0.03982288934985324, 'to': 0.03808005171286669, 'RB': 0.03755716311474548, 'mean_sen_len': 0.03534149233155731, 'i': 0.033421274454334536}"
0.5025,0.3431855500821018,0.5839630562552477,0.5025,0.66667,1,0.995,0.019704433497536946,0.6666666666666666,0.01,[1241458],"[846856, 846730, 846926, 847159, 847096, 846915, 846705, 846677, 847073, 846887, 846985, 1212330, 846936, 1212339, 846667, 1155572, 846724, 846750, 846810, 846719, 1155558, 1212362, 847145, 847104, 1155543, 846919, 846947, 846741, 847121, 1212377, 1155591, 846805, 846905, 847091, 846870, 846978, 847162, 846841, 1155542, 846943, 1212367, 847090, 847097, 847046, 847106, 846861, 846885, 846803, 1155575, 1155549, 847124, 847062, 846849, 1212357, 1212345, 846718, 847083, 846814, 847048, 846844, 846833, 846948, 1212363, 1212334, 847089, 847055, 1155556, 846731, 846720, 846681, 846704, 847043, 846979, 846837, 846878, 846694, 847143, 846982, 1212380, 846916, 847040, 847084, 846801, 846886, 846807, 846748, 847088, 846727, 846874, 846903, 847134, 846847, 1212328, 846691, 846752, 846675, 847132, 846835, 847146, 847018, 846911, 846790, 846816, 1155582, 846695, 847158, 1212343, 847039, 846842, 1212337, 847059, 1155573, 847028, 846756, 846890, 847071, 847001, 847080, 1155586, 1155592, 1212358, 1212366, 846859, 1212349, 846959, 847093, 1212353, 847017, 847171, 846818, 846909, 846857, 846968, 847058, 1212364, 846989, 846749, 1212360, 846827, 1212335, 1155562, 846697, 1212370, 846974, 846771, 847108, 846925, 846742, 846892, 1155545, 846883, 846684, 846907, 1212333, 846862, 846917, 1212375, 846778, 1212359, 846893, 847030, 846671, 846894, 847161, 846895, 1212372, 846904, 846865, 846800, 847157, 846663, 847042, 1155587, 846980, 846924, 1212376, 847009, 846700, 847102, 1155583, 847064, 846899, 846969, 846977, 847166, 1212373, 1155594, 1155564, 846970, 847010, 846873, 847133, 1155590, 1155544, 846879, 1212346, 846829, 846986]","{'PRP': 0.07682921068218951, 'of': 0.07375620227449518, 'sentiment': 0.06053888264180501, 'NN': 0.059561785317574514, 'VB': 0.044056115385831214, 'IN': 0.03996273753357396, 'NNS': 0.03588867667009832, 'to': 0.03265365914341167, 'the': 0.03197534353200171, 'DT': 0.03031571464187127}"
0.505,0.34434915063412697,0.7512562814070352,0.505,0.6689,1,1.0,0.019801980198019802,1.0,0.01,[],"[846747, 847059, 846795, 847036, 846694, 1212336, 846695, 846973, 846670, 846838, 846869, 1212379, 846823, 846963, 846885, 846929, 846771, 847018, 846994, 1155537, 846932, 1212351, 847088, 846948, 847021, 846675, 847161, 847011, 846863, 847128, 1155575, 1212353, 846722, 847040, 1212343, 846679, 846943, 846997, 1212358, 1155567, 847028, 846791, 847148, 846719, 1212383, 847137, 846839, 1212349, 846765, 846919, 1212380, 847089, 847125, 847101, 846773, 846787, 847100, 846981, 846764, 847115, 1212378, 846908, 847133, 1155538, 1212367, 846951, 846955, 847056, 847132, 847113, 847083, 1155573, 1212344, 846746, 846922, 847144, 1155594, 847065, 846767, 1155584, 847150, 846856, 847142, 1212373, 846723, 1155569, 846923, 846999, 1155543, 847158, 847156, 846762, 846897, 846804, 846836, 846830, 846737, 846790, 846693, 847136, 1212333, 846889, 1155542, 846964, 846941, 846778, 847155, 847127, 846676, 846742, 847103, 847149, 846779, 846761, 847054, 846812, 847027, 1155585, 846849, 847032, 1155597, 846895, 1155579, 846974, 847108, 846807, 847124, 847095, 847152, 846739, 1212339, 846811, 847049, 847072, 846894, 846851, 846751, 1212342, 847093, 846870, 846766, 847164, 1212348, 847069, 846813, 846759, 846669, 1155586, 847003, 1155550, 846826, 846743, 847163, 847055, 846899, 846879, 846958, 846782, 847035, 846706, 847087, 847097, 846769, 846835, 846744, 846665, 1212371, 846855, 846875, 847015, 1155589, 1155574, 846882, 846749, 846936, 847120, 846717, 1212341, 846988, 846883, 846714, 1155557, 1155547, 847107, 1155576, 1212361, 1155596, 1155593, 1155553, 847086, 1212360, 847026, 846975, 846738, 847006, 847118, 846756, 846704]","{'PRP': 0.08176609204770208, 'of': 0.06916179082438323, 'sentiment': 0.06149785208675528, 'VB': 0.04924905387140186, 'NN': 0.04711995748483026, 'IN': 0.040098947860554526, 'DT': 0.039053145906827264, 'to': 0.035244044274474515, 'have': 0.03227230424456676, 'the': 0.030941738140318906}"
0.5,0.33333333333333326,0.25,0.5,0.66667,0,1.0,0.0,0.0,0.0,[],"[846752, 847041, 846790, 846950, 1155562, 1212348, 846857, 846858, 846970, 846839, 846807, 847152, 1212366, 847021, 846864, 1212386, 1155556, 1155579, 846851, 846832, 846803, 847016, 847068, 847109, 846875, 1212352, 846917, 846932, 1155595, 847081, 846902, 846669, 846670, 846673, 1155540, 846732, 846891, 847085, 846928, 846853, 846990, 846691, 846921, 847002, 847060, 847083, 846713, 1212331, 846721, 1155577, 846683, 847010, 846824, 1212385, 846907, 847086, 846833, 846821, 846716, 1155566, 846720, 846958, 846983, 847125, 846677, 846728, 847126, 1155571, 846744, 1155548, 1155538, 846868, 1155598, 846886, 846830, 846893, 846700, 846827, 1155597, 846727, 847004, 1212356, 846861, 846940, 846964, 846867, 846945, 846930, 846815, 847053, 847051, 846855, 846747, 846671, 846705, 846992, 847050, 846664, 846898, 846929, 846706, 846969, 846778, 846871, 846724, 846825, 1212377, 847103, 1155559, 1212353, 1155547, 847117, 847069, 846849, 846993, 846865, 846999, 846668, 846995, 846797, 846949, 846775, 847022, 1212335, 846756, 1212368, 1155576, 847171, 1155593, 847153, 846869, 1155588, 846838, 1155587, 846689, 846711, 847062, 847124, 846910, 847100, 846718, 846986, 846769, 846982, 846837, 1212343, 847099, 1212380, 1212383, 846745, 847101, 846725, 846665, 846862, 847123, 846848, 1212372, 1155550, 846909, 846690, 847040, 847030, 1155582, 846959, 847078, 846955, 847072, 1212357, 846941, 847144, 846852, 846731, 846912, 846887, 846712, 847011, 846934, 846954, 846693, 846989, 846996, 847003, 846874, 847120, 847113, 1155565, 1155578, 846794, 846667, 1155543, 847106, 846758, 846662, 1212374, 1155583, 1212370, 1212371, 846814, 1155537, 847143]","{'sentiment': 0.07993325196397322, 'PRP': 0.0744878406445885, 'of': 0.07071692749860127, 'VB': 0.052008965154050894, 'NN': 0.0498034011690526, 'DT': 0.042659124963189916, 'IN': 0.03576949527809698, 'the': 0.034440845576133465, 'to': 0.031187201436742373, 'RB': 0.03012679940760305}"
0.5,0.3377264147819464,0.5,0.5,0.66555,0,0.995,0.009900990099009901,0.5,0.005,[1069256],"[846685, 1212385, 846949, 1212340, 846668, 846854, 846805, 1155543, 846879, 1155549, 1155590, 846976, 847020, 846991, 846706, 846666, 846730, 847169, 846776, 1155545, 846701, 846686, 846894, 1212365, 846967, 846702, 846969, 846831, 847125, 847064, 847103, 846759, 1212384, 846915, 846901, 846838, 847015, 846920, 846884, 846883, 847030, 847097, 846714, 847067, 846825, 846916, 846742, 846785, 846994, 846822, 846793, 846718, 846700, 847054, 847035, 846851, 1212373, 1212381, 846826, 847051, 846875, 847012, 846963, 846752, 846861, 846800, 846673, 846763, 846961, 1155571, 847082, 846682, 846914, 847040, 847106, 1155557, 846863, 1155539, 847018, 846748, 846988, 1155560, 1155584, 846749, 1155566, 846789, 846787, 1155594, 846814, 1155596, 846710, 846981, 847063, 846925, 846665, 846922, 1212372, 846677, 846818, 846933, 846689, 1212342, 846957, 846676, 846870, 1155576, 1155559, 846984, 846980, 847155, 1212343, 847143, 846792, 846864, 847009, 1212383, 846744, 846816, 847168, 846794, 847160, 846724, 846887, 846664, 1212374, 846693, 846786, 846885, 1155540, 847166, 847101, 846761, 846753, 847126, 1212378, 846927, 847134, 1212379, 846760, 847033, 846696, 846890, 846815, 846811, 846977, 846932, 847017, 847107, 846983, 846674, 846848, 1155573, 846703, 846856, 846796, 846660, 847151, 846715, 846860, 1155588, 846679, 846719, 1155538, 846964, 847001, 846778, 847161, 846781, 846675, 846745, 846834, 846940, 846858, 846877, 847119, 846946, 846806, 846905, 846790, 1212338, 1212354, 847066, 1212359, 847011, 846804, 847150, 1155591, 846688, 846896, 846783, 847111, 847099, 847062, 847120, 847047, 846962, 846956, 846683, 846918]","{'of': 0.06991089315574103, 'PRP': 0.06689283393724402, 'NN': 0.05726914759472493, 'sentiment': 0.05689062720160127, 'VB': 0.05031974020132836, 'IN': 0.04509688134931471, 'to': 0.043912722375358974, 'NNS': 0.032108225114133256, 'DT': 0.030755583377232942, 'mean_sen_len': 0.026484720645022292}"
0.5025,0.34740725558516083,0.550632911392405,0.5025,0.66555,1,0.99,0.02926829268292683,0.6,0.015,"[1183150, 1241511]","[846948, 1155578, 847073, 846856, 846828, 847158, 846783, 846683, 846940, 846769, 847155, 1212371, 846668, 1155547, 847048, 846868, 846750, 846858, 846980, 846896, 846743, 846756, 846766, 1155575, 1212351, 846958, 846963, 846989, 1212352, 847006, 846904, 846950, 846842, 847039, 846937, 847169, 1155586, 847081, 846770, 846740, 1212334, 846957, 847106, 846662, 847099, 1155555, 847159, 847001, 846927, 846924, 847026, 846745, 846850, 847166, 846763, 846661, 846912, 1155544, 847043, 846982, 846754, 846711, 1155548, 846968, 847153, 847005, 846913, 846956, 846768, 847066, 847000, 846797, 846839, 1212354, 846874, 847053, 847013, 847164, 847088, 1212366, 846719, 847040, 847008, 847115, 846708, 846818, 847171, 847108, 846845, 846738, 846855, 846693, 846715, 846804, 846888, 846786, 846973, 846976, 847029, 1155536, 846915, 847038, 846886, 846885, 846667, 846784, 846971, 1155592, 846993, 846935, 1155543, 846771, 1155594, 846753, 847128, 846988, 846975, 1212385, 846732, 1212360, 847147, 846666, 847102, 1155581, 847156, 1212377, 1212361, 1155588, 1212372, 846689, 1155546, 846736, 847020, 847035, 847142, 1155561, 1155584, 846816, 847003, 846906, 846995, 846718, 847126, 1212347, 846742, 846815, 847137, 846959, 846676, 846825, 846873, 1212365, 847044, 847065, 1212355, 847070, 847077, 847033, 847068, 846860, 847042, 847015, 847131, 846744, 846890, 1155595, 1212364, 846990, 847019, 847105, 847021, 846798, 847165, 847154, 847022, 846697, 846713, 847061, 847057, 1212333, 846846, 1155570, 847076, 846999, 847072, 847097, 846735, 1155542, 1155553, 846983, 1155541, 846949, 846710, 846881, 846752, 846794, 846871]","{'of': 0.07568564890484888, 'sentiment': 0.06312962486791944, 'VB': 0.06088535906678993, 'PRP': 0.06006212763232344, 'NN': 0.0499203608721177, 'IN': 0.04700364069104815, 'DT': 0.037135182879928334, 'to': 0.03367175285746156, 'NNS': 0.03018756367691175, 'which': 0.029620732135283535}"
0.4975,0.33222036727879795,0.24937343358395989,0.4975,0.66444,0,0.995,0.0,0.0,0.0,[1240730],"[846906, 847034, 846775, 846949, 846734, 846708, 846807, 847054, 1212342, 847102, 1212369, 846662, 847076, 846813, 846960, 847095, 846840, 1212386, 1155543, 846808, 846773, 846703, 1155577, 847030, 847119, 847165, 846696, 846706, 847092, 1212357, 846730, 846908, 846996, 846731, 847135, 847003, 846727, 846995, 847073, 846686, 846865, 1212333, 846844, 846990, 846695, 847127, 846769, 846876, 1155564, 846881, 846713, 846992, 846863, 846780, 846704, 847168, 846950, 846917, 847052, 846762, 846797, 847141, 846674, 846859, 847142, 847038, 846720, 846842, 847047, 846836, 1155588, 1212380, 1155549, 846867, 846739, 846794, 846938, 846885, 847058, 1155574, 846931, 847155, 846998, 847163, 846693, 846788, 847066, 847100, 846929, 847169, 1155555, 1155536, 1212330, 846965, 1212383, 847151, 847082, 846982, 846889, 846715, 846791, 846858, 1155586, 1155540, 1212385, 846777, 846732, 1155568, 1155591, 846899, 846825, 1212378, 1212374, 846661, 847049, 846900, 847091, 846754, 847145, 847125, 1212345, 846947, 847014, 1212336, 846973, 1212367, 846745, 847035, 846766, 847077, 846785, 846747, 846699, 1155598, 846837, 846680, 846722, 1155562, 846817, 846716, 847123, 846764, 846790, 846975, 846738, 846810, 847025, 846798, 847023, 1155548, 846800, 847152, 846932, 847043, 846723, 846826, 846991, 847158, 847042, 1155589, 847051, 847103, 1155595, 847067, 1212352, 846962, 847160, 846898, 1212366, 847024, 846685, 846692, 846789, 847128, 847036, 847117, 846978, 846897, 847048, 846733, 846846, 846893, 846671, 1212358, 1155539, 846668, 847072, 1212379, 846750, 846927, 846811, 846895, 846894, 846768, 847090, 846922, 1212360, 847094, 1155544, 846823]","{'PRP': 0.07509696202809833, 'sentiment': 0.06391930294209847, 'of': 0.06219319616628259, 'VB': 0.06026300932416582, 'NN': 0.05501081709159692, 'DT': 0.04269283346882932, 'NNS': 0.03812616091719936, 'have': 0.03555374153459338, 'IN': 0.03127915052066613, 'mean_sen_len': 0.03072614159334404}"
0.5,0.33333333333333326,0.25,0.5,0.66667,0,1.0,0.0,0.0,0.0,[],"[846666, 846912, 1155571, 847112, 846755, 1212336, 846763, 1212358, 847130, 1155569, 846834, 846721, 846751, 847041, 846863, 1212383, 1155536, 847052, 1212382, 847077, 846797, 846677, 847126, 846961, 846920, 1155563, 1212332, 1212381, 846980, 846788, 846934, 846877, 847113, 1155591, 1212377, 847068, 847076, 846885, 1212359, 1155549, 846862, 1155585, 846922, 846732, 846693, 846702, 1155598, 1155568, 846781, 847083, 846801, 847020, 846973, 846897, 847145, 847016, 847069, 1212367, 846795, 846764, 846849, 847027, 847085, 846966, 847170, 1212370, 847057, 847006, 847054, 846776, 847135, 846971, 846718, 1212335, 846906, 847156, 846962, 1212349, 846968, 847089, 846939, 1155537, 847091, 846919, 846823, 846672, 846712, 846774, 846884, 846856, 846663, 846678, 846911, 1212373, 1155564, 846844, 1212354, 847147, 846957, 846821, 846854, 846696, 846831, 846750, 846847, 847070, 846954, 846996, 847160, 847148, 846682, 846953, 1212357, 846827, 1212341, 846689, 846947, 847011, 846789, 846769, 1155546, 846963, 1155558, 846688, 1155557, 847120, 846822, 846974, 847084, 847117, 846852, 846728, 846875, 847042, 846889, 1155574, 846992, 846792, 846804, 846756, 847022, 846872, 846917, 846880, 1155587, 846839, 846857, 846743, 846858, 847082, 1155577, 846698, 847128, 846741, 1155538, 846808, 847048, 846711, 847140, 1155570, 847036, 846948, 846965, 846888, 1212363, 846943, 846940, 847138, 1212346, 846887, 847088, 847116, 846783, 846744, 846904, 846748, 846824, 846837, 1155561, 847105, 846838, 847072, 847162, 1155542, 846779, 1155555, 846937, 846825, 846987, 1155562, 1212362, 846993, 846970, 846799, 847161, 846986, 1155552, 1212331, 1212334, 846975]","{'sentiment': 0.07208747042644281, 'PRP': 0.06703434696629833, 'NN': 0.06354278193520022, 'of': 0.06317292157068459, 'VB': 0.050339476917113796, 'DT': 0.04030056233594961, 'IN': 0.03906069451971002, 'to': 0.03609658629369831, 'the': 0.032227427880803745, 'NNS': 0.03080476169620974}"
0.4975,0.3365843998316707,0.41603694374475225,0.4975,0.66332,0,0.99,0.009852216748768473,0.3333333333333333,0.005,"[1239967, 1184968]","[846963, 1155543, 846956, 847133, 846921, 1155551, 846895, 846883, 846669, 1212384, 1155550, 846713, 846785, 847092, 846954, 1155596, 847062, 847051, 1212331, 847095, 846832, 847127, 846848, 846906, 846851, 846673, 846711, 847030, 1212362, 846896, 846861, 846944, 1212349, 1212371, 846796, 847010, 847007, 1212365, 846992, 846855, 847017, 846691, 847152, 846953, 846760, 846920, 1155588, 847149, 846813, 1212346, 846980, 846857, 846912, 847125, 846745, 846997, 847005, 846914, 1212376, 1212372, 1212364, 846812, 846853, 847104, 846770, 846816, 847016, 1155597, 846890, 847060, 847068, 847111, 847044, 846983, 847144, 847020, 846970, 847158, 846687, 846882, 846869, 846923, 847169, 1212342, 846894, 1212329, 846873, 846845, 846964, 846877, 847000, 847023, 1155554, 846986, 846930, 847106, 846776, 847141, 846783, 1212332, 846996, 846823, 846961, 847171, 847153, 846677, 846982, 847003, 1212357, 846778, 846943, 846747, 847009, 846787, 847119, 847148, 847139, 1155592, 846960, 1155583, 846905, 847108, 846971, 846939, 1155552, 846663, 846833, 846781, 846979, 846924, 1212369, 846814, 846746, 846931, 847035, 846672, 846919, 1155568, 846860, 1212340, 846759, 846875, 1212370, 847008, 847076, 847089, 847166, 846806, 846662, 846936, 846817, 846701, 846987, 846909, 847136, 846802, 846934, 846758, 846837, 1212351, 847088, 846978, 1155585, 1212379, 846784, 846727, 846761, 847070, 847037, 847094, 846880, 846830, 846771, 846724, 847080, 1155598, 846916, 847165, 846748, 847096, 846865, 846686, 846825, 846743, 847101, 846999, 846728, 847086, 846887, 847097, 846834, 846797, 846729, 846721, 846928, 846733, 847160, 846886, 1212337]","{'PRP': 0.08343206927409065, 'of': 0.0627151140213575, 'sentiment': 0.06191172406717708, 'VB': 0.06028389651087638, 'NN': 0.05296474309794894, 'DT': 0.03916686123947572, 'RB': 0.03872526059539995, 'IN': 0.03458370026824547, 'to': 0.03429797266862381, 'have': 0.030715731254363228}"
0.5,0.33333333333333326,0.25,0.5,0.66667,0,1.0,0.0,0.0,0.0,[],"[847065, 847012, 847077, 847074, 846811, 846912, 846855, 846832, 847047, 846703, 1155555, 846795, 847128, 846846, 1155564, 846973, 846662, 846895, 846752, 1155539, 846731, 846894, 846878, 1155592, 1212339, 847085, 846681, 846946, 846661, 1155583, 846940, 846686, 1155582, 846993, 847059, 1212349, 1212343, 847126, 847095, 1155573, 846992, 847164, 1212333, 847078, 846719, 847067, 846982, 846955, 846768, 847032, 1212341, 846898, 1212336, 847022, 846766, 846800, 846837, 847035, 846945, 847000, 847146, 846904, 846975, 1155599, 846775, 847063, 846882, 846966, 847094, 1155545, 847070, 846947, 1212376, 847075, 1155575, 846903, 846916, 847030, 846991, 847055, 1155541, 1155554, 1212364, 1212367, 846974, 1212360, 846870, 846958, 1155571, 847168, 846827, 846931, 846972, 846714, 847101, 847036, 846873, 846756, 1155597, 846721, 847071, 1212354, 846673, 846790, 847161, 846704, 846767, 846758, 846967, 847090, 1212372, 846964, 846781, 846712, 846683, 846697, 846866, 846893, 846821, 846913, 1155577, 846969, 846765, 846948, 1155558, 846970, 846798, 846829, 847073, 846685, 846979, 846939, 1212369, 847083, 846825, 846751, 846986, 846814, 847140, 847093, 846749, 847166, 1155585, 847042, 847045, 847104, 847084, 846793, 847119, 847163, 846670, 846676, 846715, 847169, 847114, 846690, 846868, 846804, 846930, 846897, 846999, 846735, 847121, 847132, 846909, 1212361, 846728, 1212379, 846722, 846664, 846774, 846818, 847054, 846769, 1212368, 1155547, 846724, 1155576, 846760, 846858, 846995, 846716, 1212338, 846911, 847155, 846770, 1155566, 847160, 846692, 846956, 847086, 846669, 846899, 847096, 847007, 846755, 847044, 1212373, 847148, 847025]","{'PRP': 0.08215286017275837, 'of': 0.0663666901007795, 'sentiment': 0.06353143025640223, 'NN': 0.0633254663916801, 'VB': 0.044869261542075926, 'DT': 0.04153576562350689, 'IN': 0.03984419926843693, 'have': 0.03439959754914511, 'RB': 0.03292045780080629, 'the': 0.030621249512134106}"
