accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.51,0.3592886796770292,0.6692047377326565,0.51,0.67003,1,0.995,0.04854368932038835,0.8333333333333334,0.025,[1183350],"[842624, 842517, 1155015, 1155021, 842336, 842368, 842854, 1211849, 842744, 842822, 842849, 842591, 842736, 842565, 842674, 842734, 842527, 842285, 1155049, 842719, 842410, 842281, 842652, 1211819, 842598, 842729, 842743, 1155033, 842419, 842301, 842678, 842846, 842716, 842589, 842891, 842307, 842789, 842303, 842283, 842337, 1155007, 842520, 842644, 1154995, 842727, 842771, 842389, 842536, 842758, 842669, 842800, 842851, 1155038, 842484, 842469, 842585, 842735, 842514, 842334, 842676, 1211800, 842441, 842612, 1155063, 842768, 842604, 842296, 842818, 1155003, 842402, 842698, 842701, 842901, 842879, 1155006, 1155056, 842742, 842512, 842586, 842600, 842810, 842357, 842794, 842518, 1211841, 842720, 842393, 842791, 842836, 842318, 842766, 842323, 842579, 842633, 842773, 1155061, 842426, 842839, 1211823, 842488, 842625, 842874, 1211792, 842276, 842779, 842693, 842409, 842314, 842494, 842486, 842687, 1211802, 842398, 1211856, 842448, 842738, 842288, 842540, 842544, 842672, 842640, 842397, 842433, 1211837, 842726, 842342, 1155040, 1211832, 842667, 1211796, 842355, 842878, 842741, 1155059, 842477, 842737, 1155060, 842420, 842462, 842310, 842370, 1155035, 842437, 842862, 842404, 1211793, 842431, 1211846, 842902, 842748, 842456, 842649, 1211808, 842614, 842382, 842556, 842391, 842877, 842331, 842567, 842379, 1211860, 842511, 1211845, 842615, 1211801, 1155012, 842526, 1211826, 842480, 1155028, 842529, 1155070, 842654, 842340, 842882, 1155053, 842685, 842490, 1211829, 842438, 1211803, 842691, 842519, 842659, 842373, 842629, 842645, 842515, 842723, 842326, 842513, 842655, 842559, 842545]","{'PRP': 0.09115253246732725, 'of': 0.06572592472536752, 'VB': 0.05497413638545871, 'sentiment': 0.051443507003515146, 'NN': 0.04763751510759086, 'IN': 0.044867049590247766, 'DT': 0.04137831356876795, 'have': 0.03510336959008922, 'the': 0.03467944550575261, 'RB': 0.03137024437260054}"
0.5325,0.40174836640513156,0.7583979328165374,0.5325,0.68143,1,1.0,0.12206572769953052,1.0,0.065,[],"[842716, 842555, 842533, 842903, 842878, 842696, 842348, 842529, 842317, 842569, 842532, 842437, 1211800, 1155023, 842482, 1155024, 842562, 842467, 842461, 1211827, 842439, 842829, 842809, 1154999, 842405, 1211801, 842701, 842301, 842796, 842652, 842559, 1211796, 1155061, 842593, 842668, 842753, 842495, 842818, 1211799, 842589, 842585, 842479, 842717, 842645, 842476, 842736, 1211845, 1155022, 842825, 1154997, 842497, 1155027, 842486, 842625, 842659, 1155017, 1211813, 842685, 842577, 842554, 842429, 842754, 842697, 842526, 1211852, 1155044, 1211821, 842761, 842406, 842383, 842808, 842464, 842423, 1211816, 1211841, 842648, 842764, 842649, 842549, 842885, 842435, 842797, 842906, 1155041, 842438, 842433, 842784, 842874, 1211860, 842803, 842293, 842511, 1155011, 842700, 842714, 1211809, 842615, 842827, 842725, 1211795, 842546, 842576, 842830, 1155058, 842474, 842747, 842418, 842303, 842373, 842309, 842786, 842772, 842385, 842833, 842425, 842663, 1211856, 842718, 842597, 1155001, 842777, 842815, 842741, 842887, 1155005, 842820, 842501, 1211832, 842856, 842656, 842539, 1155060, 1155068, 842414, 1211846, 1155002, 842571, 842298, 842627, 1155059, 842490, 842498, 842412, 842743, 842859, 842350, 842281, 842430, 842634, 842413, 842763, 842527, 842503, 842673, 1211811, 842891, 842650, 1211855, 842484, 1211833, 842345, 842514, 842622, 842675, 842778, 842294, 842620, 842386, 842873, 842665, 842773, 842304, 842739, 842678, 842424, 842462, 842537, 842749, 842390, 842849, 842640, 842783, 1211806, 842801, 842524, 1155057, 842332]","{'PRP': 0.08160743264824694, 'of': 0.061236550109663716, 'sentiment': 0.05987271204242132, 'NN': 0.052773899595854344, 'VB': 0.052236947018218884, 'which': 0.03905881278347973, 'i': 0.03571406848054098, 'IN': 0.03215014568212439, 'DT': 0.030559944447572294, 'have': 0.02944322338970179}"
0.5225,0.3814716764222508,0.7557544757033249,0.5225,0.67682,1,1.0,0.0861244019138756,1.0,0.045,[],"[842474, 842842, 842468, 842895, 842471, 1155054, 842690, 842552, 1155037, 1211801, 842489, 1211794, 842357, 842867, 1155045, 842565, 842429, 1154995, 1211808, 842497, 842643, 1155005, 1155013, 1211791, 842671, 842672, 1154997, 842649, 842669, 842605, 842464, 1211834, 842826, 842343, 1155034, 842449, 842577, 842307, 842418, 842351, 842558, 842420, 842794, 842773, 842380, 842434, 1211852, 842759, 1155015, 1211839, 842738, 842692, 842818, 842501, 1154994, 1155025, 842751, 1155035, 842531, 842622, 842371, 842839, 1155061, 842404, 842444, 842793, 842674, 842802, 842394, 1211816, 842448, 842787, 842544, 842372, 1155068, 842377, 842891, 842517, 842836, 842668, 1211815, 842762, 842569, 842799, 1211842, 842314, 1155050, 1211827, 842750, 1211829, 842398, 842887, 842504, 842527, 842406, 842749, 1155060, 842515, 842614, 842295, 842309, 842792, 842559, 842400, 842687, 842767, 842373, 842854, 842606, 1211821, 842804, 842396, 842473, 842820, 842897, 842765, 1155024, 842469, 842311, 842833, 1211849, 842574, 842722, 842736, 842319, 842632, 842566, 842659, 842663, 842627, 842321, 842412, 842451, 842652, 842470, 1211804, 842732, 842335, 1155012, 842770, 842688, 842595, 1155059, 842346, 842409, 842546, 842829, 1155011, 842779, 1155017, 842737, 842280, 1211797, 842530, 842568, 842723, 842480, 1155058, 842488, 842870, 1155006, 842813, 842885, 842624, 842847, 842561, 842341, 1155039, 1155029, 842670, 842741, 1211792, 842757, 842786, 1211787, 842828, 842638, 842564, 842853, 842490, 842395, 842511, 1211851, 842386, 1211844, 842809, 842460, 842443, 842560, 1155056, 842578]","{'PRP': 0.07501531874807847, 'sentiment': 0.07412036811761279, 'of': 0.07350998474632894, 'VB': 0.054584560597871645, 'NN': 0.04805510608106649, 'to': 0.034113294494455, 'which': 0.03347058732068777, 'have': 0.03213457378529719, 'IN': 0.030532654228799635, 'DT': 0.030234882385650513}"
0.5575,0.4527536231884058,0.7453333333333333,0.5575,0.69217,1,0.995,0.21333333333333335,0.96,0.12,[1183438],"[842743, 1155063, 842322, 1211848, 842315, 1155016, 842532, 842453, 1155050, 842897, 842408, 842571, 842902, 842573, 842569, 1211840, 842362, 1155056, 842906, 1211792, 842546, 842482, 842691, 842427, 842664, 1154997, 842526, 1155007, 842312, 1211815, 842901, 1155003, 842341, 1155068, 842670, 842798, 842353, 842430, 842792, 842625, 842857, 842540, 842491, 842599, 842789, 842809, 842421, 842409, 1155020, 842879, 1155060, 842619, 842762, 842515, 842339, 1211859, 1211860, 842725, 842772, 842534, 842472, 842894, 842624, 1211823, 842787, 842346, 1211820, 1155004, 1155044, 842753, 842750, 842591, 842311, 842403, 842861, 842759, 842465, 842609, 842570, 842295, 842835, 842334, 842297, 842307, 1211798, 842742, 842833, 842389, 842685, 842639, 842867, 842298, 1155008, 842384, 842598, 842549, 1211790, 1211787, 842714, 842529, 842372, 842577, 842613, 842735, 842746, 842775, 842754, 842506, 842636, 842443, 842289, 1211822, 842483, 842330, 842488, 842590, 1154996, 842693, 842862, 842504, 842347, 842651, 842783, 842287, 842794, 1211807, 842321, 842641, 842802, 842832, 842429, 842356, 842437, 842401, 1211788, 842620, 1211837, 1211841, 842484, 842701, 842876, 842431, 842468, 842371, 842673, 842344, 842731, 1211817, 1155055, 842612, 842426, 842550, 842820, 842887, 1211854, 842774, 842551, 842436, 842819, 842893, 842644, 842642, 842578, 842463, 842593, 842382, 842492, 842360, 1211828, 842737, 842548, 842848, 842445, 842696, 842658, 842672]","{'PRP': 0.08064419380771154, 'of': 0.07703818041445624, 'NN': 0.05344788618205193, 'sentiment': 0.05197985595648788, 'DT': 0.04075131499048922, 'IN': 0.03968334294535167, 'VB': 0.03739897993084433, 'to': 0.031886844828127675, 'i': 0.029874817581319255, 'NNS': 0.028565532519271523}"
0.55,0.43888525203404094,0.7405002405002405,0.55,0.68858,1,0.995,0.1891891891891892,0.9545454545454546,0.105,[1070601],"[842872, 842518, 842663, 842878, 842657, 1155031, 1155066, 842763, 842336, 1155020, 842589, 842714, 842422, 842705, 842358, 1155014, 842322, 842848, 842835, 1211858, 1155011, 842742, 842629, 842866, 842626, 842653, 1155037, 842890, 842807, 842889, 842689, 842777, 842553, 842676, 842517, 842791, 842606, 842787, 1155002, 842474, 842599, 842772, 842703, 1155010, 842433, 842620, 842304, 842323, 842711, 842481, 842654, 1155003, 842401, 1211844, 1211849, 842818, 842628, 842771, 842368, 842798, 842746, 842531, 842625, 842546, 842637, 842569, 842462, 842493, 842867, 1211801, 842319, 842664, 842316, 842758, 842698, 842543, 1211793, 1211824, 842659, 842735, 842567, 842618, 1155040, 1155045, 842329, 842870, 842326, 842675, 1211820, 1211826, 842662, 1155023, 842305, 842612, 842550, 1155032, 842788, 842535, 1211834, 842767, 842568, 842461, 1211803, 842300, 842539, 842810, 842555, 842442, 842644, 1155046, 842905, 842367, 842590, 1211821, 842284, 1155062, 842397, 842731, 842655, 842484, 842585, 842877, 842658, 842352, 842621, 1211828, 842507, 842496, 842420, 842446, 842386, 1155012, 842845, 842514, 842764, 842793, 1211797, 842875, 1211833, 842770, 842774, 842797, 1211787, 1155063, 842715, 842801, 842471, 1211798, 842850, 842565, 1155016, 842556, 842640, 842636, 842467, 842712, 842485, 842597, 842580, 842563, 842372, 1211800, 842673, 842885, 842854, 842438, 842528, 1155070, 1211841, 842894, 842775, 842769, 842327, 842729, 1155044, 1211860, 842412, 842582, 842468]","{'of': 0.0721652673580219, 'PRP': 0.06204384144202596, 'VB': 0.0613664705416742, 'sentiment': 0.060042177161015536, 'NN': 0.05266796193374883, 'DT': 0.04798116244685162, 'IN': 0.03714214887355317, 'NNS': 0.03234817102398422, 'RB': 0.03149717552443715, 'have': 0.029799798925270356}"
0.5225,0.3814716764222508,0.7557544757033249,0.5225,0.67682,1,1.0,0.0861244019138756,1.0,0.045,[],"[842661, 842326, 1155030, 842431, 1155039, 842665, 842378, 842708, 842862, 842832, 842736, 842760, 842386, 842325, 1155066, 1155013, 842583, 1154999, 1211814, 1154995, 1155059, 842401, 842704, 842798, 842868, 842646, 842728, 1211800, 842839, 842545, 842505, 842600, 842742, 842816, 842318, 1211855, 842531, 842529, 842588, 842753, 842555, 842309, 842775, 842651, 842388, 842649, 842602, 842324, 842565, 842769, 1211797, 842481, 842861, 842279, 1211843, 1155055, 842405, 842513, 842791, 842561, 842777, 842800, 842903, 1211803, 842712, 1211860, 842608, 1155044, 842735, 842826, 842502, 842658, 842450, 842904, 842685, 842308, 842893, 842384, 842838, 842601, 1211799, 842790, 1155018, 842741, 842340, 842454, 842714, 842593, 842393, 842433, 1155014, 1155000, 842307, 842562, 842615, 842304, 842459, 842319, 842723, 1211830, 842898, 1155048, 842526, 842782, 842705, 842474, 842345, 842785, 1155068, 842734, 842807, 842572, 842302, 842841, 842744, 842476, 842876, 842772, 842426, 842643, 842680, 842654, 842610, 1211812, 842434, 842656, 842551, 842578, 842524, 842652, 842720, 842809, 842535, 842462, 1154998, 842552, 1211792, 842628, 842432, 1155050, 1155027, 842724, 842403, 842577, 842660, 1211820, 1155016, 842375, 842417, 842495, 842282, 842847, 1211832, 842293, 842751, 1155017, 842817, 842451, 842715, 842767, 1211836, 842312, 842630, 842870, 1155007, 1211839, 842871, 1211787, 842381, 842512, 842541, 842773, 842637, 842730, 1155061, 842487, 842398, 842501, 1211817, 842748, 842422, 842739, 1155045, 1211791, 1211794, 842873, 1211856, 842835, 842294, 842819, 842473]","{'PRP': 0.08092519677633232, 'of': 0.07198949060066254, 'sentiment': 0.06639294264608789, 'NN': 0.06120223422391689, 'VB': 0.049571650779302104, 'IN': 0.039986018296546376, 'DT': 0.038578780132565084, 'RB': 0.032845860666256034, 'to': 0.031101525870642212, 'NNS': 0.03001489300384918}"
0.5375,0.41164778374080696,0.7597402597402598,0.5375,0.68376,1,1.0,0.13953488372093023,1.0,0.075,[],"[1211790, 842815, 842483, 842755, 1211854, 842681, 842510, 842611, 842338, 842822, 842432, 1155025, 1155031, 1155003, 842703, 842638, 842322, 842534, 842371, 842860, 1154994, 842641, 1155005, 842290, 842317, 842383, 842312, 842486, 842693, 842692, 842619, 842624, 842531, 842493, 842314, 842792, 1211811, 842876, 842760, 842515, 842560, 842634, 842698, 842780, 1211808, 842670, 1155008, 1211843, 842653, 842333, 842424, 842622, 842423, 842458, 842327, 842456, 1155036, 842878, 1155064, 842418, 842574, 842861, 842602, 842678, 1155000, 842690, 1155046, 1211805, 842570, 842539, 842715, 842723, 842842, 842480, 842789, 842846, 842817, 842396, 842391, 842540, 842304, 842462, 842850, 842506, 842514, 842604, 842628, 1211809, 1211857, 842807, 842368, 842302, 842364, 842422, 842731, 842324, 842522, 1155061, 1211860, 842572, 1155007, 842345, 842714, 842845, 842863, 842833, 842748, 1154998, 842355, 842520, 842610, 842566, 1211801, 842600, 842376, 842406, 842451, 842615, 842802, 842881, 842568, 842796, 842852, 842808, 1211839, 1211834, 842297, 842319, 1211786, 842516, 842819, 842776, 1211819, 1155070, 842476, 842901, 842420, 842581, 842722, 842588, 842732, 842567, 1155009, 842401, 842867, 1155020, 1155024, 842637, 842465, 842470, 842734, 842559, 1211829, 842330, 842843, 842830, 842571, 842303, 1211838, 842683, 842906, 842349, 842377, 842726, 842407, 842569, 842387, 1211789, 842370, 842598, 842280, 1211821, 842719, 842323, 842278, 842346, 842750, 1155002, 842662, 842882, 842655, 842702, 842773, 842347, 842666]","{'of': 0.07491791980019533, 'sentiment': 0.06838564290047652, 'PRP': 0.06711778255765713, 'NN': 0.06654450732134867, 'VB': 0.04961626346288481, 'IN': 0.04701357821006849, 'to': 0.04140606881721378, 'DT': 0.034455025029816046, 'have': 0.02965007268156282, 'the': 0.028441589039794594}"
0.545,0.42621141902329834,0.7617801047120419,0.545,0.68729,1,1.0,0.1651376146788991,1.0,0.09,[],"[842793, 842352, 1155051, 842531, 842348, 1155020, 842775, 1155062, 842735, 842453, 842728, 842515, 842834, 842423, 842388, 842567, 1155038, 1211844, 842540, 842696, 842356, 842789, 842511, 842609, 842786, 1211813, 842849, 842628, 842575, 842653, 842459, 842458, 842870, 1155046, 842437, 842315, 842436, 842310, 842364, 842799, 1211810, 842718, 842514, 842475, 842626, 842379, 842715, 842759, 1155004, 842878, 842411, 842503, 842684, 1211837, 842698, 842607, 842717, 842506, 842806, 1211787, 1211821, 842382, 842714, 842490, 842346, 842478, 842570, 842518, 1154999, 1155014, 842695, 842898, 842452, 842569, 842656, 842846, 1155039, 842280, 1211793, 842675, 842757, 842605, 1211796, 1155012, 842537, 842841, 1155047, 842668, 842666, 1155041, 842697, 842767, 842781, 842700, 842551, 1211830, 842832, 842283, 842429, 842662, 842495, 1211823, 842526, 842472, 842405, 842399, 842504, 842691, 842510, 842444, 842800, 842876, 842566, 842857, 1155011, 1155036, 842456, 842530, 842594, 842817, 842464, 842874, 842852, 842294, 842810, 842433, 842308, 842579, 842527, 842332, 1211838, 842584, 842671, 842629, 1154995, 1211833, 842422, 842333, 842571, 1211841, 842367, 842657, 1211809, 1211816, 842582, 842774, 842476, 842867, 1155026, 842708, 842284, 842577, 842811, 1155016, 1155035, 842883, 842484, 1155064, 842316, 1211786, 842529, 842770, 842680, 1211802, 1211832, 842681, 842313, 1211804, 842341, 842578, 1155023, 842755, 1211851, 842750, 842873, 842536, 842281, 1155067, 842538, 1211840, 842769, 842828]","{'PRP': 0.08033713718683362, 'of': 0.07362525290911463, 'sentiment': 0.0664289675261763, 'NN': 0.054233589783844315, 'VB': 0.046531084897575826, 'IN': 0.04285500193218119, 'to': 0.03760122661025813, 'DT': 0.03208524184129212, 'RB': 0.03128131841055893, 'which': 0.03032017323429096}"
0.5375,0.4150706262696525,0.7303793580095223,0.5375,0.68268,1,0.995,0.14746543778801843,0.9411764705882353,0.08,[1183611],"[842906, 842806, 1211797, 842780, 842597, 842475, 842563, 1211842, 842385, 842349, 842571, 1155052, 842440, 842720, 842624, 842736, 842373, 842417, 1155032, 842809, 1211845, 842326, 1211820, 842688, 842478, 1155017, 1211852, 842889, 842905, 842570, 842468, 842482, 842490, 842874, 842512, 842701, 842721, 842398, 842300, 842395, 842640, 1211836, 842296, 842903, 842879, 842558, 842850, 1211829, 842684, 842402, 1211804, 1155049, 842654, 842495, 842506, 1155023, 1155065, 842541, 842547, 842560, 1211856, 1211832, 1155014, 842561, 1211822, 842566, 842486, 842494, 842575, 842545, 842629, 842333, 1211786, 842618, 842849, 842615, 842554, 842758, 842278, 842401, 842617, 842534, 842681, 842881, 842846, 842897, 842634, 842614, 842574, 842756, 842664, 842779, 842393, 842447, 842577, 842544, 842317, 842796, 842562, 842775, 842711, 842867, 842844, 842890, 842529, 842612, 842433, 1155018, 842319, 842794, 842812, 842550, 842392, 1155062, 1211846, 842859, 842397, 842700, 842472, 1155068, 842778, 842301, 842419, 842394, 842418, 842463, 1155013, 842838, 842761, 842403, 842328, 842311, 842358, 842484, 1155046, 842452, 842435, 1211826, 842456, 842341, 1155021, 842702, 842585, 1211813, 842649, 1211860, 842305, 1211815, 842312, 842719, 842546, 842387, 842536, 842784, 842687, 842705, 1211805, 842699, 842474, 842598, 842360, 842515, 1155036, 842404, 842878, 842633, 842366, 842715, 1155044, 842742, 842901, 842845, 842667, 842376, 1155029, 1211839, 842330, 1211816, 842774, 842611, 842807, 842599, 842483, 842551]","{'PRP': 0.07572400678948649, 'sentiment': 0.07301165443134407, 'of': 0.06344744485224077, 'NN': 0.06281352973237055, 'VB': 0.05266640649521392, 'IN': 0.037236714712395015, 'RB': 0.035556747648330986, 'DT': 0.03335239340540051, 'i': 0.02863476981668048, 'to': 0.028493560793307015}"
0.53,0.3967398280066743,0.7577319587628866,0.53,0.68027,1,1.0,0.11320754716981132,1.0,0.06,[],"[842586, 842349, 1211841, 842406, 842722, 842548, 842312, 842726, 842746, 842355, 842315, 842651, 842303, 842827, 842382, 842504, 842447, 842876, 842459, 842845, 842363, 842410, 842612, 1211803, 842360, 842859, 842375, 842532, 842882, 1211789, 842854, 1211834, 1155064, 842475, 842376, 842531, 842435, 842802, 842619, 842614, 842553, 842472, 842615, 842461, 842764, 842672, 842841, 842419, 842649, 842898, 842637, 842416, 842358, 842737, 842697, 842305, 842694, 842323, 842365, 842835, 842296, 842624, 842664, 842574, 1155031, 842699, 842511, 842804, 842471, 842836, 1211792, 842653, 842852, 842367, 842669, 842541, 842468, 842417, 842493, 1154998, 842728, 842600, 842555, 1211831, 1155018, 842282, 842346, 842500, 842357, 842290, 842331, 842514, 1211801, 842402, 842408, 1155052, 842779, 842811, 1155053, 842584, 1155038, 842776, 842668, 842464, 842879, 842874, 842503, 842516, 842484, 1155025, 842832, 842713, 842381, 842581, 842576, 842899, 842792, 842663, 842858, 842873, 842295, 842426, 842582, 842642, 842860, 842820, 1211860, 1155003, 842846, 842401, 842741, 842356, 842330, 842451, 1155050, 842662, 842803, 1154994, 1155046, 842427, 1155048, 842400, 842524, 842522, 842336, 1155011, 842583, 842611, 1211813, 1211842, 842518, 1211849, 842807, 1155033, 842595, 1211799, 1154997, 842796, 842506, 842476, 842755, 842629, 842390, 842677, 842768, 842708, 1155006, 842739, 1155047, 842438, 842573, 842326, 842396, 842684, 842533, 842887, 1211822, 1155034, 842491, 842560, 842660, 842566, 842676, 1155009, 842636, 842306, 842387, 842486]","{'PRP': 0.07325814621776419, 'of': 0.06425275776058986, 'sentiment': 0.06072190406117264, 'NN': 0.054947298859273346, 'VB': 0.05167969509539417, 'DT': 0.038652293292610704, 'have': 0.03831317579643003, 'IN': 0.03775528392554496, 'which': 0.034524055478023626, 'to': 0.03304744785806451}"
