,Key,Count,Mean Score
0,of,100,0.06707294122759638
1,PRP,100,0.07536842294187371
2,VB,100,0.053063367899058494
3,sentiment,100,0.05887775151364207
4,NN,100,0.05404192836857636
7,DT,99,0.03883324689859108
6,IN,97,0.03935303189694934
9,to,63,0.0362626853841562
5,have,59,0.034754683924827785
8,NNS,47,0.03343828545171545
13,RB,33,0.0323974998132066
15,the,32,0.033318695889804295
11,i,29,0.033139771277760646
12,mean_sen_len,24,0.032322249488779396
10,which,16,0.03205823314429979
14,had,1,0.035307193045510415
