,Key,Count,Mean Score
0,PRP,100,0.0765668520051726
1,of,100,0.06715219297892175
2,sentiment,100,0.05955599897329826
3,NN,100,0.0529984955831031
4,VB,100,0.052466422526831924
6,IN,98,0.03982725603650168
7,DT,97,0.03828525509525629
5,have,57,0.03474776592838782
10,to,50,0.03612956569086988
9,NNS,43,0.03269106253075556
11,RB,39,0.0323387867545319
14,the,37,0.032953822704202405
8,mean_sen_len,30,0.032635022033542196
13,i,26,0.0319566460396279
12,which,22,0.032230789324073465
15,had,1,0.03051636976970772
