,Key,Count,Mean Score
0,PRP,100,0.0754582876530531
1,of,100,0.06659013088804804
2,sentiment,100,0.0600343824319702
3,VB,100,0.053733542651202004
4,NN,100,0.05327382909806442
5,IN,98,0.03927223626823119
12,DT,95,0.03870649317087896
7,have,64,0.03477203221922796
9,to,53,0.0364386998938324
8,NNS,44,0.03355156458103723
11,RB,36,0.032219268834735776
10,i,35,0.031890286848487916
6,the,33,0.032584322912671486
14,mean_sen_len,26,0.03241937489286585
13,which,15,0.0314884484973541
15,a,1,0.030839859320957636
