,Key,Count,Mean Score
0,PRP,100,0.07556125420160635
1,of,100,0.06731877505532743
2,sentiment,100,0.06019768916231106
3,NN,100,0.052993806160640096
4,VB,100,0.05214170372952683
5,DT,97,0.039190757680085724
6,IN,96,0.03910969884202581
12,have,64,0.03441872531511114
13,to,52,0.036840254747432175
9,RB,42,0.032241146220642836
11,the,40,0.033647433584483064
8,NNS,38,0.03375259960696594
14,which,27,0.03226033875774486
7,i,21,0.03319107147903416
10,mean_sen_len,20,0.03139286070555519
15,a,2,0.030743976392503952
16,VBD,1,0.028106372533036706
