accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.495,0.3311036789297659,0.24874371859296482,0.495,0.66221,0,0.99,0.0,0.0,0.0,"[1081685, 1188284]","[876921, 1216067, 877357, 876850, 876984, 877281, 876754, 876770, 877277, 877283, 876955, 877298, 877324, 877183, 876909, 876658, 1159285, 876873, 1159274, 877216, 876861, 877093, 877284, 1159279, 877266, 1159219, 876898, 876815, 876805, 876670, 1159214, 1159303, 876992, 876868, 877106, 877257, 877201, 877192, 876840, 877116, 1216048, 876964, 877017, 876683, 876925, 877031, 877255, 876688, 876769, 1216106, 876718, 876889, 876783, 877033, 877110, 1216090, 876952, 1159302, 877213, 877343, 877138, 876630, 877252, 876854, 876886, 1159231, 876842, 877311, 876839, 877256, 877132, 876876, 877242, 876611, 877204, 876824, 876881, 876667, 877274, 877339, 877296, 876672, 876652, 876622, 876648, 876777, 877087, 877323, 877143, 877151, 1216109, 1159280, 876812, 876656, 876858, 877319, 876635, 876751, 877180, 876818, 1159252, 1216079, 877042, 877008, 1216083, 877232, 877164, 876825, 877023, 1216045, 876709, 1159269, 877203, 877111, 876651, 876707, 876796, 876695, 877022, 1159237, 876917, 876760, 876800, 876954, 877250, 877353, 876871, 877300, 1216131, 877386, 876905, 876994, 877112, 877261, 877297, 1216052, 876786, 876969, 876619, 1159272, 877125, 876930, 1216085, 877014, 876767, 876986, 876637, 877130, 877072, 1216099, 877388, 876723, 876914, 877342, 877121, 876774, 876864, 877117, 876613, 1216110, 877108, 877177, 877392, 1159243, 876940, 1216119, 1159281, 1159258, 876657, 876927, 877059, 876899, 876628, 1159301, 877071, 1159210, 1159253, 877226, 876761, 876762, 876692, 876965, 1159244, 877078, 876960, 876606, 877265, 877259, 876610, 877155, 876856, 877195, 1216091, 877238, 877198, 877389, 877262, 877387, 877333, 877145]","{'PRP': 0.07499622700996883, 'sentiment': 0.06241850346045792, 'of': 0.0601171174205766, 'NN': 0.04806006346490742, 'VB': 0.04693035001649749, 'DT': 0.04572238247720632, 'IN': 0.037094816944819385, 'have': 0.036590627519631234, 'RB': 0.034825879850679996, 'mean_sen_len': 0.03270783700470578}"
0.4975,0.34084853453576547,0.44936708860759494,0.4975,0.66218,0,0.985,0.01951219512195122,0.4,0.01,"[1187789, 1078172, 1084038]","[876640, 876724, 876962, 1216064, 1216043, 877067, 876965, 876990, 877116, 877021, 877221, 876714, 876709, 877162, 877261, 877175, 877213, 876739, 876948, 876660, 876712, 876999, 876985, 876701, 876932, 876991, 1216089, 877016, 877129, 877155, 876998, 1216096, 876609, 877373, 1216083, 877185, 1216081, 877368, 877348, 1159211, 876646, 1159212, 1216042, 876720, 877354, 1216128, 877229, 876653, 1159230, 877096, 1216087, 876888, 877156, 877306, 876796, 1159257, 877336, 877113, 877173, 877057, 877036, 876905, 876876, 1216122, 1159234, 876979, 1216091, 876677, 1159244, 876749, 877239, 876982, 877097, 1159231, 1216112, 877184, 876780, 876805, 877188, 876897, 877382, 877074, 876737, 876680, 1159287, 877051, 1159242, 876902, 877123, 876695, 877285, 876757, 876955, 876964, 1216073, 877102, 1159295, 876703, 876839, 876816, 876670, 876918, 1216041, 877182, 876623, 876643, 1159275, 877088, 877268, 877011, 877312, 877105, 877063, 1159293, 1159253, 877379, 876894, 876928, 876706, 1216099, 876663, 876951, 877326, 876956, 876688, 877198, 876622, 877013, 876852, 877037, 1159217, 877315, 877290, 876967, 877299, 877228, 877264, 876702, 1159245, 877017, 876733, 877375, 876976, 877132, 877363, 877232, 877272, 877058, 877087, 1159290, 876798, 877225, 876815, 877203, 876713, 1159222, 877050, 1159248, 877142, 876788, 876722, 877357, 877216, 876942, 877039, 877227, 1216117, 876781, 876786, 876784, 876944, 876700, 1216054, 877255, 877117, 876797, 1159261, 877273, 876898, 1159284, 1216097, 876850, 876821, 876791, 877237, 876710, 876760, 877343, 877345, 1216103, 877389, 876689, 1216075, 877077, 877278, 876652, 877284, 877101]","{'sentiment': 0.08198618221452553, 'PRP': 0.07078362836112823, 'of': 0.05484644186271245, 'NN': 0.04554647348739275, 'have': 0.04225135627902324, 'VB': 0.042150461700040005, 'DT': 0.03921515907449207, 'to': 0.034770519625779435, 'IN': 0.03371867295372087, 'i': 0.03005761098896396}"
0.49,0.3331371972148671,0.33079526226734346,0.49,0.65657,0,0.975,0.009708737864077669,0.16666666666666666,0.005,"[1242530, 1242987, 1242656, 1244349, 1081844]","[877118, 877300, 876972, 876803, 876967, 877150, 1159291, 876645, 877183, 876685, 877103, 877277, 876660, 876900, 877147, 876628, 877034, 876612, 876869, 876805, 876894, 877064, 877112, 877171, 877012, 877267, 876981, 876796, 1159250, 877005, 1159225, 1159270, 877048, 1216074, 877106, 876937, 877130, 876882, 876639, 877041, 877078, 876633, 876638, 877090, 876717, 876792, 877247, 877380, 1216077, 877358, 877215, 876607, 877301, 876888, 876939, 877365, 876896, 1159244, 877262, 877337, 1216050, 877205, 877283, 1216072, 876839, 1159276, 877261, 876646, 876722, 1216126, 876764, 1216061, 877120, 876918, 876940, 876827, 876695, 877257, 1159248, 1159234, 876725, 877191, 877364, 877339, 876773, 876842, 877190, 876877, 1216110, 1159211, 876962, 1216121, 1216047, 1159273, 876779, 876893, 877304, 876957, 1216138, 876875, 1159226, 877045, 876956, 1159295, 876826, 877025, 876807, 877309, 1159288, 1216088, 876873, 877248, 877275, 1216090, 876707, 1216069, 876983, 877305, 1159268, 1216081, 876987, 876960, 877331, 876747, 876676, 877070, 877162, 1216054, 877366, 877208, 876739, 877047, 877030, 1216058, 876908, 877121, 1216132, 877371, 876757, 876812, 877119, 877310, 1216122, 876768, 877207, 876903, 876728, 1159217, 877288, 876781, 1216093, 877060, 876651, 877312, 1159306, 1216079, 877282, 876631, 876958, 876836, 1159246, 876906, 1159305, 877197, 877233, 876693, 877271, 877356, 1216057, 877108, 1216087, 876880, 876636, 877161, 1216125, 877203, 1159218, 876989, 876999, 877385, 877236, 877195, 876948, 877160, 877382, 1159222, 1216052, 876964, 877296, 876861, 876610, 876935, 877011, 876780, 876712, 877298, 877133, 876817, 876738]","{'PRP': 0.0752210114327906, 'of': 0.067485060909633, 'NN': 0.05877307279773158, 'VB': 0.05348899650937903, 'sentiment': 0.04309218946117468, 'DT': 0.039684145295274524, 'IN': 0.03728180403368839, 'NNS': 0.036723064293160815, 'which': 0.032044033467659265, 'mean_sen_len': 0.031576246469061105}"
0.505,0.34859849980260554,0.6262626262626262,0.505,0.66779,1,0.995,0.029411764705882353,0.75,0.015,[1080976],"[1159253, 876962, 1159226, 876744, 1216075, 877317, 1216078, 877292, 877363, 877203, 876650, 876696, 877186, 876620, 877117, 1159295, 877113, 877110, 1216083, 876992, 876790, 877073, 876896, 877122, 1159210, 1159286, 877379, 1159268, 1216140, 876935, 1159304, 876799, 1159248, 877291, 877177, 1159294, 877326, 877021, 876727, 876914, 877059, 876839, 877119, 1216122, 877136, 877243, 1216062, 876919, 1216110, 1159244, 877219, 877276, 877300, 876983, 877221, 877359, 877249, 877360, 877385, 876749, 876739, 1216082, 876656, 1216123, 877069, 877024, 876622, 877062, 876801, 1216054, 876751, 877181, 876882, 877256, 877358, 1216052, 877277, 876850, 876972, 1159219, 876960, 1159281, 876776, 876784, 876678, 877242, 876867, 876702, 877299, 876658, 877261, 876944, 877374, 876636, 876725, 876736, 877275, 877313, 877190, 877246, 876738, 876746, 1159296, 877006, 876996, 877302, 877294, 876955, 1159259, 877057, 877102, 877200, 1216064, 877180, 876771, 876817, 1216131, 876965, 877158, 877185, 877344, 877142, 876943, 877097, 877003, 876904, 1216106, 1216103, 876974, 877211, 877333, 877204, 1159292, 877017, 877371, 877305, 876769, 1216139, 876698, 876764, 877161, 877189, 876741, 1216076, 877284, 1216057, 876627, 1159235, 1216117, 877166, 876863, 876703, 877077, 877193, 1216135, 876791, 877005, 877112, 1159279, 876654, 877290, 1216118, 876699, 876995, 877105, 876740, 876759, 877236, 877288, 877139, 876640, 876624, 876646, 876969, 876770, 876783, 876757, 877151, 877188, 876888, 1159227, 876679, 877308, 876859, 877094, 1159266, 876632, 1216112, 876657, 876615, 1159297, 876987, 877376, 877301, 876941, 876779, 876638]","{'PRP': 0.07700150363452651, 'of': 0.0645983742695264, 'sentiment': 0.058415412901163394, 'NN': 0.05151189706334716, 'VB': 0.048685697396616934, 'mean_sen_len': 0.039679651722896295, 'i': 0.039414622133778235, 'IN': 0.03851426419490942, 'DT': 0.035842035335973604, 'which': 0.035366743040934345}"
0.5025,0.34740725558516083,0.550632911392405,0.5025,0.66555,1,0.99,0.02926829268292683,0.6,0.015,"[1073860, 1078588]","[876858, 877132, 1216126, 877069, 877265, 877156, 877024, 876969, 877162, 876610, 877188, 877047, 877368, 877009, 877243, 876793, 876631, 877244, 876850, 877046, 876927, 1159275, 877013, 1159236, 876985, 877204, 877129, 877065, 876675, 1216059, 876803, 1216086, 876649, 876733, 876968, 1159272, 877200, 877167, 876953, 877382, 1159246, 877098, 876902, 877236, 877386, 876920, 877118, 877150, 1216045, 876691, 877350, 877076, 1216097, 876788, 876946, 876883, 877241, 876796, 876729, 876811, 876877, 1216133, 877051, 877061, 876637, 1159250, 877062, 877370, 877088, 877102, 877357, 1216098, 876635, 876861, 877109, 877291, 877020, 876939, 1159241, 876786, 1216103, 1216054, 876608, 1216073, 876792, 1216077, 877309, 1159260, 1159230, 876823, 876612, 877036, 1159304, 877170, 876658, 1216048, 876719, 876990, 876643, 877343, 877083, 877054, 876924, 1159276, 876851, 877067, 876657, 876783, 1216074, 877034, 876734, 876681, 876791, 1159271, 1216062, 876630, 876624, 877078, 876875, 876627, 877259, 1159212, 1216082, 876928, 876690, 876908, 877215, 877390, 876710, 877190, 877351, 876661, 876639, 1216120, 876731, 876666, 877364, 1216057, 876847, 876696, 876732, 1216121, 876741, 876774, 876821, 1159253, 1159301, 876845, 876664, 877059, 877387, 877137, 877070, 877354, 876702, 876817, 877143, 1159237, 876674, 1216080, 877117, 877016, 876923, 876829, 877155, 876618, 1216115, 876856, 877211, 876911, 876759, 877316, 876891, 876813, 877332, 1159298, 876640, 877004, 877380, 876958, 877360, 877161, 877001, 876763, 876994, 876943, 876884, 877010, 877189, 1216046, 877052, 877363, 877002, 876665, 877166, 877292, 876835]","{'sentiment': 0.0778384866549332, 'PRP': 0.07174094232718112, 'NN': 0.06132216830808749, 'VB': 0.052908265396633326, 'of': 0.05047723535529975, 'IN': 0.04407259582174478, 'to': 0.04358424360638824, 'DT': 0.04299967111345267, 'RB': 0.0344051933377481, 'i': 0.03041623560830441}"
0.4925,0.33849826070663375,0.39094874591057793,0.4925,0.65767,0,0.975,0.01932367149758454,0.2857142857142857,0.01,"[1078165, 1081292, 1080705, 1185569, 1077718]","[876646, 877120, 876879, 877342, 1159268, 1159297, 1159288, 876681, 877077, 876618, 877146, 1159232, 876882, 1216112, 877165, 876907, 877001, 876743, 876777, 877089, 1159216, 876911, 877065, 876800, 876900, 876607, 876638, 1216063, 877255, 876854, 876770, 877307, 877021, 876678, 877030, 877301, 877258, 877102, 1216044, 876751, 877261, 877056, 877155, 877350, 876891, 876706, 877042, 876668, 1216070, 876825, 876824, 876932, 877160, 877246, 876697, 876946, 876926, 1216130, 877217, 1216060, 876826, 877044, 876909, 1216041, 876702, 1216129, 876612, 1216100, 877084, 1159259, 877093, 877244, 876977, 876738, 1216090, 876647, 1159226, 876812, 876823, 876713, 876783, 1216138, 876769, 877389, 877334, 876976, 1216134, 876645, 876768, 1216102, 877358, 876726, 877260, 876669, 1159274, 1159289, 876649, 876831, 877232, 1159275, 876910, 876685, 1216096, 877367, 876969, 876881, 1216139, 876691, 876611, 877090, 877387, 877335, 877055, 876793, 877263, 877158, 877125, 876744, 1159208, 876922, 876978, 877266, 877376, 876724, 877281, 877231, 1159302, 876677, 876766, 877057, 877208, 876942, 876666, 1159263, 1216120, 877242, 876727, 877220, 876640, 876968, 876705, 876819, 1216074, 877094, 877199, 876960, 876694, 876801, 876955, 876873, 876862, 877108, 876772, 877349, 1159214, 877058, 1159221, 877311, 877041, 877182, 1216098, 877364, 877325, 1216103, 877112, 877346, 1216107, 1216131, 876731, 877296, 876675, 877225, 1159304, 876939, 876614, 876995, 1159280, 877157, 1216119, 877127, 1159223, 1216057, 877086, 876631, 877385, 877290, 876790, 1216055, 876913, 877390, 877017, 877190, 876795, 876765, 876725, 877240, 876683, 1159283]","{'PRP': 0.07979700363025581, 'of': 0.06333760836669805, 'sentiment': 0.05466465830140214, 'NN': 0.052731926757934595, 'VB': 0.04613924678791896, 'DT': 0.041226381356224404, 'RB': 0.03787236660757778, 'have': 0.034804878543042414, 'IN': 0.03280724363157859, 'which': 0.03217163108769008}"
0.5125,0.3645672947674561,0.6817520901490367,0.5125,0.67116,1,0.995,0.057971014492753624,0.8571428571428571,0.03,[1243999],"[877041, 877381, 876842, 876785, 877265, 877365, 877182, 876923, 1159285, 1159215, 876847, 876861, 876622, 876987, 876769, 876911, 1216045, 877084, 876711, 1159244, 877324, 877353, 877149, 877306, 876771, 1159290, 877301, 877078, 876710, 877058, 877319, 876674, 877373, 1216111, 876826, 1216132, 1159262, 876733, 876806, 877202, 877271, 1216110, 877196, 1159282, 877293, 877371, 876644, 877316, 877221, 1159247, 877146, 876822, 1159222, 876764, 877343, 877200, 876744, 1216044, 877361, 877136, 877192, 1216112, 877304, 877064, 876840, 876620, 877190, 1159286, 876817, 877132, 1159236, 877360, 877317, 877152, 876959, 877115, 877305, 876707, 876692, 877091, 876892, 877122, 876980, 1159253, 877160, 877114, 876658, 876664, 877013, 876676, 1216101, 877125, 1216104, 877290, 876885, 876916, 877053, 876654, 877086, 877089, 876827, 1159227, 1159225, 877288, 877129, 876659, 877291, 1159223, 1159224, 876836, 876619, 876775, 1159228, 1159212, 877217, 1216077, 876936, 876833, 1216076, 877085, 877209, 876992, 877363, 1159288, 877349, 877033, 877099, 877107, 876648, 877025, 877023, 877292, 1216048, 876776, 877194, 876701, 876998, 876979, 876774, 876962, 877240, 877060, 877328, 876947, 877098, 877334, 876886, 1216089, 876670, 876706, 876761, 877073, 1216099, 877134, 876939, 1216125, 877001, 1159231, 877390, 877331, 876640, 876796, 877273, 877286, 876638, 877062, 877205, 1216073, 876687, 877245, 877216, 877253, 876713, 877287, 876978, 1159264, 876951, 877128, 877197, 876924, 877384, 877233, 876793, 877250, 876845, 876899, 877121, 877090, 876883, 1216079, 877139, 1159266, 877342, 876716]","{'PRP': 0.07530246668669702, 'sentiment': 0.06203466342206647, 'VB': 0.05994753880522483, 'of': 0.057273069245183675, 'NN': 0.05088986320354709, 'DT': 0.043671900322111025, 'have': 0.041321313065534535, 'to': 0.039070716741980246, 'IN': 0.034734330925154364, 'the': 0.030568788318079573}"
0.49,0.33731808731808727,0.37244897959183676,0.49,0.65541,0,0.97,0.019230769230769232,0.25,0.01,"[1075068, 1245283, 1187303, 1073150, 836081, 1084157]","[876894, 876964, 876947, 876737, 877084, 876824, 876828, 877108, 877067, 876816, 1159244, 1159248, 876662, 877017, 1216049, 876930, 876805, 877251, 1216060, 877373, 876706, 877134, 876796, 1159240, 876750, 1159283, 877273, 877123, 1159247, 876832, 877038, 876711, 1159273, 1216132, 1216119, 1216046, 876618, 877176, 877095, 1159227, 876990, 877065, 877021, 876923, 877327, 877152, 876628, 876887, 876940, 877192, 876665, 876885, 876720, 1159268, 876858, 876811, 876912, 1216118, 1216105, 877122, 876787, 876972, 876712, 877139, 1159279, 1159210, 877390, 1159276, 1159296, 877383, 876948, 876928, 877080, 877006, 876953, 877257, 876676, 1216057, 877310, 877379, 877170, 877130, 877317, 876677, 877360, 1216103, 877332, 877253, 877055, 877128, 876757, 877270, 876829, 1159294, 876944, 876809, 877274, 877221, 876838, 876714, 876992, 1159297, 877142, 877265, 877307, 877145, 876695, 877353, 876875, 877313, 876984, 876924, 1159251, 877352, 876627, 876769, 877361, 877243, 876684, 1159228, 877151, 877111, 877072, 877231, 877382, 877256, 877186, 1159220, 876708, 1159288, 1216110, 876616, 877047, 1216099, 876669, 876619, 877389, 877263, 877323, 876942, 877305, 876815, 876670, 877113, 877255, 876736, 876891, 876986, 877104, 1216121, 877229, 877143, 877075, 876631, 1216063, 877368, 876700, 876657, 876932, 877284, 877174, 1216087, 877023, 1216047, 877060, 876758, 1216074, 877183, 876817, 876819, 876872, 877031, 877337, 1159218, 876777, 1216100, 877144, 1216117, 877290, 877362, 876615, 1159277, 1159263, 877304, 1216089, 877010, 877173, 877025, 876892, 1216093, 1216106, 876652, 877259, 877149, 876781, 876945, 876835, 877076]","{'PRP': 0.07254956488169262, 'of': 0.06821980920457121, 'sentiment': 0.06274159351715215, 'VB': 0.05040455643322436, 'NN': 0.045357118147825524, 'IN': 0.04053208293645727, 'DT': 0.03576617754049503, 'NNS': 0.03569901220194435, 'to': 0.034208402298039, 'have': 0.03139833356546444}"
0.495,0.3311036789297659,0.24874371859296482,0.495,0.66221,0,0.99,0.0,0.0,0.0,"[835565, 1076614]","[876871, 1159208, 876667, 876976, 877328, 876881, 1216118, 876799, 877322, 876975, 876802, 876904, 876984, 877331, 877254, 877070, 876818, 877366, 1216091, 876698, 1216126, 1159243, 877329, 876938, 877223, 877249, 876956, 877041, 877115, 876787, 876882, 877062, 876972, 877392, 876921, 876911, 877058, 876700, 1216048, 876971, 876798, 876606, 876902, 876609, 876892, 877127, 1216088, 877030, 877197, 1216050, 876839, 1216080, 877306, 877275, 877208, 1159278, 877152, 876762, 876980, 876819, 1216067, 876642, 877077, 876788, 876742, 876611, 1216052, 877367, 876989, 877350, 877265, 876622, 876645, 877176, 877187, 876868, 876690, 877362, 876825, 876941, 877250, 876808, 877338, 876803, 877016, 877323, 877038, 876886, 877164, 876801, 877352, 1159289, 877080, 876814, 877266, 1159305, 876639, 877049, 876686, 877337, 876926, 876942, 876756, 1216079, 876706, 1159211, 1216125, 877064, 876663, 877388, 1159261, 1159231, 877091, 877043, 877296, 1216041, 877090, 877386, 876990, 876922, 877200, 877227, 876862, 1216060, 876763, 876748, 877267, 876651, 877325, 1216096, 877113, 877012, 876769, 876845, 1159299, 877079, 876693, 877314, 876998, 877076, 876894, 876920, 876982, 876979, 1216102, 876646, 876846, 876753, 876615, 876676, 877193, 877121, 876650, 876869, 876683, 877308, 876774, 877023, 876833, 1216107, 877364, 877105, 1216047, 877061, 876792, 877253, 876687, 876843, 877239, 877138, 876841, 876952, 876707, 877345, 1216055, 877178, 877010, 876987, 876778, 877160, 1159253, 876883, 876721, 1159303, 877148, 876854, 876697, 877177, 1216058, 876691, 1216069, 877304, 876919, 877321, 877261, 1159272, 877303, 877301, 877011, 877252]","{'PRP': 0.07877964384712591, 'of': 0.07813287610052425, 'NN': 0.06288927619036601, 'VB': 0.060219210137914085, 'sentiment': 0.052894507574967206, 'IN': 0.04294472508663848, 'DT': 0.03694561700680917, 'have': 0.032932786971132166, 'RB': 0.03199830396922762, 'i': 0.030387732159994508}"
0.4975,0.3607632677400119,0.4826839826839827,0.4975,0.65641,0,0.96,0.06511627906976744,0.4666666666666667,0.035,"[1075602, 1071908, 1242279, 1072468, 1079592, 1077718, 1083533, 1073573]","[1159274, 1159292, 877064, 876796, 1159218, 877348, 876859, 876615, 876896, 876674, 877267, 877008, 876811, 877299, 877091, 876971, 1159233, 876662, 876772, 1159278, 876920, 876968, 877384, 876782, 1216059, 1216088, 877309, 877379, 876770, 876731, 877110, 876820, 877374, 877218, 876984, 876799, 877044, 877094, 1216121, 877225, 877205, 876911, 1216089, 876993, 876744, 877188, 877281, 876773, 1159268, 876739, 877278, 1216099, 876915, 876728, 876867, 877009, 1216129, 1159226, 1159232, 876833, 877279, 877163, 876695, 876931, 876902, 876917, 877206, 876657, 877351, 877002, 1159242, 876957, 1216054, 877014, 1159286, 877109, 877103, 877071, 876618, 877226, 877130, 877264, 876955, 876722, 876883, 877268, 877272, 877378, 877026, 876774, 1216134, 1159281, 877387, 1216052, 876611, 876785, 877139, 877357, 877056, 876725, 876813, 876709, 876908, 877047, 877233, 876927, 1159285, 877090, 1216056, 1159288, 1159295, 877062, 876850, 1216058, 1159215, 877104, 876623, 876762, 876889, 877182, 877263, 877282, 876736, 877316, 876959, 1159229, 876778, 877137, 877127, 877220, 876861, 877077, 876675, 877367, 876737, 876767, 877201, 1216047, 1216109, 876636, 1159302, 876950, 876934, 1159266, 877151, 876999, 877086, 1159234, 1216073, 876749, 1216071, 877022, 1216100, 876638, 876873, 1216124, 876825, 877123, 876946, 876624, 1216111, 1216082, 876891, 877301, 876625, 1159249, 876641, 876876, 876788, 877280, 1216061, 876922, 1216072, 877276, 877186, 876658, 877106, 877273, 876868, 1216110, 877259, 1216067, 877324, 876909, 877021, 877146, 876973, 876865, 1216086, 876693, 1159284, 876894, 877018]","{'PRP': 0.0803730807676593, 'sentiment': 0.06898900530250122, 'of': 0.060610558159374654, 'NN': 0.055120055920766985, 'VB': 0.0493807485879233, 'DT': 0.042417908183513466, 'have': 0.03767777992524794, 'to': 0.03767331785275034, 'IN': 0.03666799054289591, 'RB': 0.03254438186018169}"
