accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.49,0.33731808731808727,0.37244897959183676,0.49,0.65541,0,0.97,0.019230769230769232,0.25,0.01,"[1084755, 1079215, 1187221, 1244339, 1087081, 1074883]","[885904, 885906, 886298, 886319, 1217281, 885956, 885955, 886095, 886504, 886617, 886341, 1217289, 886419, 886634, 886368, 886596, 885910, 885972, 886221, 886259, 1160394, 886002, 886595, 1217251, 886386, 885964, 886352, 1160365, 886518, 1160429, 1160443, 886130, 1217208, 886625, 1160374, 885914, 886310, 885932, 886400, 886632, 885909, 886054, 886329, 885921, 886133, 1160432, 886159, 886545, 886176, 1217214, 886117, 886626, 886490, 886155, 885943, 886426, 885931, 886553, 886458, 1160436, 886465, 886225, 886007, 885911, 885939, 886286, 886026, 886132, 886432, 1160453, 885947, 886163, 886168, 1160402, 886521, 1217234, 886387, 885999, 886409, 886243, 886100, 886038, 1217285, 886092, 1217290, 886245, 886327, 886048, 886474, 1160399, 886238, 886456, 885908, 886278, 886440, 886196, 886156, 1217295, 885966, 886448, 886324, 885903, 1160452, 1217239, 886131, 1160382, 886477, 885926, 885912, 1217211, 885915, 886086, 886592, 886413, 886280, 1217250, 886205, 886333, 886250, 886119, 1217268, 1217269, 1160405, 886435, 1160440, 886125, 886170, 886502, 886546, 886197, 886425, 886382, 886392, 886113, 886442, 886585, 886339, 886122, 886192, 1217274, 886285, 885973, 886554, 886359, 886227, 1160441, 886165, 886262, 886443, 886597, 886547, 1217270, 886428, 886184, 886489, 1160379, 886247, 885946, 886062, 886528, 885933, 886055, 886378, 886602, 886307, 886230, 1160362, 886583, 886270, 886453, 1217227, 886188, 1217236, 886342, 885929, 886312, 886063, 885913, 1160435, 886302, 1160439, 886369, 886294, 885928, 885968, 886541, 886560, 886331, 886241, 886613, 886218, 886267, 1217245, 1160401, 886619, 886472, 886226, 886519]","{'sentiment': 0.0759903308200408, 'PRP': 0.07598946003770914, 'of': 0.07139417062837834, 'NN': 0.052373989700097, 'VB': 0.04305267024451794, 'to': 0.03684477735559327, 'IN': 0.03604382546363308, 'DT': 0.03490998257585594, 'RB': 0.03432251876866247, 'have': 0.03286246344582042}"
0.4975,0.34084853453576547,0.44936708860759494,0.4975,0.66218,0,0.985,0.01951219512195122,0.4,0.01,"[1244608, 1087305, 1073486]","[886153, 1217232, 886391, 886627, 886109, 885927, 886181, 1160436, 886477, 886568, 886306, 1160414, 886235, 886041, 886018, 886061, 886413, 886175, 886172, 886564, 886187, 886176, 886206, 886490, 885955, 885924, 885912, 885944, 886321, 1160441, 1217211, 885904, 886362, 886526, 1160382, 886096, 886346, 886409, 886123, 886355, 886345, 886169, 886359, 886492, 886032, 886078, 886624, 886110, 1160410, 886099, 886118, 886395, 886428, 886197, 1217218, 886567, 886093, 886554, 886463, 885954, 885956, 886457, 886014, 886552, 1160444, 1160368, 1217213, 886204, 1160434, 886154, 886303, 1160412, 886404, 1160390, 886279, 886302, 886275, 886493, 1160406, 885990, 886019, 886033, 886240, 1217231, 886605, 1160453, 886268, 886489, 1217261, 886338, 1217214, 886572, 886015, 886553, 885976, 886461, 886399, 886472, 886491, 1160422, 1160381, 886332, 886499, 1160372, 886301, 886313, 886115, 886292, 885998, 886077, 885957, 886460, 886518, 886026, 886515, 886126, 886183, 886046, 885979, 886430, 886038, 886173, 886074, 886037, 886335, 886055, 886060, 886295, 886471, 886389, 1160367, 1217288, 886414, 1160450, 886621, 886459, 886354, 886289, 1160375, 886158, 1217222, 886599, 1217244, 1160405, 886574, 886528, 885995, 886117, 886106, 886262, 886261, 1217282, 886092, 886573, 886319, 886064, 886129, 1160401, 886453, 886484, 1160438, 886051, 885925, 886369, 886298, 886223, 886503, 886547, 886450, 1160445, 1217240, 1217226, 1217247, 886025, 886147, 886436, 1160446, 886387, 886054, 886050, 886559, 1160418, 1160409, 886411, 1160449, 886575, 886589, 1217263, 886340, 886113, 886530, 886233, 886620, 1217223, 886085, 886331, 886596, 886263]","{'of': 0.07919379966705059, 'PRP': 0.06733988971525885, 'VB': 0.06498188665482141, 'sentiment': 0.06023391621837395, 'NN': 0.05943816000126085, 'to': 0.051308962553690315, 'IN': 0.04816254785073562, 'DT': 0.035151023226277125, 'have': 0.026129137244710648, 'RB': 0.025771709856825305}"
0.4925,0.32998324958123953,0.24811083123425692,0.4925,0.65997,0,0.985,0.0,0.0,0.0,"[1186720, 1081349, 1082842]","[886014, 885922, 886224, 886078, 886467, 886113, 886581, 886319, 885976, 886291, 886205, 886624, 1160426, 886096, 886302, 1217266, 886092, 886003, 886484, 886057, 885951, 886153, 886498, 886513, 885986, 886410, 886489, 886523, 886280, 886181, 886574, 886419, 886391, 886232, 886595, 886579, 886158, 886444, 886236, 885921, 886330, 1160451, 886518, 886069, 886358, 1217291, 885905, 886169, 886129, 886424, 886174, 886074, 886044, 885958, 886238, 886598, 886571, 886368, 886226, 886551, 886246, 886065, 1160394, 1160410, 886615, 885910, 1217274, 886555, 886525, 886073, 886548, 886387, 886632, 886002, 886310, 886013, 886552, 885990, 886561, 886305, 886475, 1160412, 886198, 1217221, 886611, 886622, 886024, 886429, 885993, 886027, 886285, 886134, 886182, 886353, 1217252, 885950, 886398, 886491, 886542, 886508, 886287, 1217286, 886322, 886318, 1217257, 886103, 1217248, 886480, 886402, 886348, 886212, 886108, 1160392, 886211, 886608, 886015, 1160420, 886120, 886336, 1160429, 886421, 886610, 886476, 1217244, 1160398, 886066, 886300, 1217261, 886569, 886135, 886519, 886244, 885925, 886005, 886194, 886276, 1160376, 886409, 886482, 886613, 886314, 886262, 886582, 885959, 886443, 885908, 1160423, 1217213, 885915, 886253, 886006, 886058, 886139, 885930, 886406, 886105, 1217220, 1217253, 886603, 885923, 886292, 886576, 1217259, 1217284, 1217228, 886116, 1160443, 886532, 886510, 886162, 1160450, 886061, 1160370, 886500, 886501, 1160367, 885967, 886032, 1160456, 885918, 886381, 1217279, 1160418, 886155, 1217273, 886189, 1217238, 886343, 886614, 886100, 886038, 886225, 885946, 1160365, 886434, 886007, 886095, 1217236, 886607, 886390]","{'PRP': 0.073485868817157, 'sentiment': 0.05443131850296366, 'NN': 0.05440083890189713, 'of': 0.0541646653113382, 'VB': 0.05199523699203646, 'have': 0.048434901950524176, 'DT': 0.04056831203855181, 'IN': 0.039005778473138936, 'NNS': 0.034078448031073814, 'to': 0.033742265342758024}"
0.495,0.3354388735359916,0.3737373737373737,0.495,0.66107,0,0.985,0.00980392156862745,0.25,0.005,"[1083138, 1075602, 1072937]","[886299, 886304, 886496, 886268, 886185, 1217249, 885948, 886086, 886059, 886049, 1160421, 886037, 886249, 886339, 886170, 886001, 1160390, 886500, 886541, 886174, 886169, 886215, 886289, 886054, 886565, 886325, 886612, 885921, 1160381, 886282, 886428, 886111, 886041, 886502, 886472, 886134, 1217292, 886332, 886177, 886430, 886182, 886068, 886143, 886617, 886410, 1160364, 886372, 886276, 1160368, 885907, 885964, 886573, 885982, 886318, 1217262, 886107, 885943, 1160454, 1160388, 1217236, 886180, 1217281, 886459, 1217242, 886371, 886236, 886414, 886172, 1160449, 886051, 1160410, 886258, 886407, 885955, 886200, 886083, 886055, 1217265, 886406, 1160375, 886226, 886358, 886343, 886078, 1217217, 1160420, 886378, 885994, 886558, 885925, 886619, 886600, 886411, 886124, 885934, 886557, 886405, 886613, 1160415, 886253, 886131, 886072, 886190, 886196, 1217256, 886432, 1217232, 1160452, 886278, 886569, 886272, 886119, 886518, 886019, 886395, 886081, 886482, 886543, 886442, 1160453, 886545, 886243, 1217211, 886160, 886370, 1217246, 886014, 886478, 1160392, 886364, 886153, 886553, 885914, 886266, 886599, 1160384, 1217284, 1160387, 886166, 1217227, 886467, 886095, 1160436, 886602, 886347, 886026, 885966, 886230, 886197, 886493, 886336, 886148, 886597, 1160455, 886003, 1217208, 886113, 1160450, 886138, 886110, 886427, 886262, 886413, 886417, 886002, 1160425, 885952, 886340, 885910, 886386, 1160398, 886589, 885958, 886549, 886221, 886231, 886495, 1217274, 885916, 886154, 886637, 886092, 886126, 886623, 1160440, 886346, 886202, 886515, 1217285, 886392, 886206, 885960, 886228, 1160445, 885924, 886294, 1160422, 886344, 886519]","{'PRP': 0.08438510115527341, 'of': 0.06930143454356988, 'sentiment': 0.06508452967265727, 'NN': 0.05559748806884915, 'VB': 0.04675262962659711, 'DT': 0.03843980284527802, 'to': 0.033546355595845415, 'IN': 0.032225827440919404, 'RB': 0.029230209074951826, 'mean_sen_len': 0.028313839511655305}"
0.5025,0.3431855500821018,0.5839630562552477,0.5025,0.66667,1,0.995,0.019704433497536946,0.6666666666666666,0.01,[1085780],"[1217234, 886310, 886511, 886093, 886053, 886076, 886253, 1217246, 885919, 886107, 886622, 885953, 886169, 1160395, 886006, 886635, 885999, 886435, 886122, 1217277, 886265, 1160448, 886135, 886170, 886338, 886501, 886513, 886515, 885931, 886423, 1160437, 886549, 886620, 1160442, 1217243, 886533, 886359, 886554, 1160388, 886313, 885951, 886380, 1160382, 886309, 886087, 886398, 886433, 886459, 886186, 886482, 886164, 1217211, 1160432, 1160450, 886276, 886078, 885940, 886042, 886197, 886230, 886134, 1217295, 1160414, 1160441, 886307, 886100, 886323, 1217296, 886524, 886365, 885957, 886138, 886296, 886056, 886290, 886128, 886142, 1217238, 885926, 886541, 886573, 1160384, 886293, 1160431, 886047, 886095, 886350, 886137, 886262, 886447, 886146, 886550, 885935, 886472, 886081, 886621, 886548, 886291, 886271, 886597, 1160364, 1160424, 886225, 886547, 886480, 886318, 886257, 886234, 1217285, 886180, 886510, 886466, 886372, 886279, 886282, 1217209, 885904, 886029, 885988, 886514, 886005, 886066, 885997, 885983, 886529, 1217221, 886342, 1160409, 1217275, 886232, 1160369, 886627, 885961, 1160440, 886496, 886633, 1217290, 886321, 886367, 886020, 886348, 886092, 886097, 1160383, 886308, 1160374, 1160420, 886567, 886539, 886444, 886588, 886609, 1160435, 886449, 886388, 1160417, 886581, 886395, 886278, 886166, 886273, 886613, 886475, 886519, 886637, 886032, 886590, 886272, 886465, 886537, 886474, 885972, 886023, 886385, 885962, 886119, 1160447, 886126, 886369, 886241, 886160, 886559, 886062, 886079, 885976, 886344, 1160429, 886208, 886235, 886623, 886333, 886363, 886328, 886139, 1217215, 886084, 886483, 1217214]","{'PRP': 0.06665141673519712, 'of': 0.0663017694381304, 'VB': 0.06396116143241931, 'sentiment': 0.0614940861583927, 'NN': 0.054678444751611543, 'IN': 0.0450601891871442, 'DT': 0.037841942853237914, 'i': 0.03366881051864323, 'mean_sen_len': 0.031945221474564606, 'RB': 0.030723848474160556}"
0.5075,0.36975630043749147,0.5596302921884317,0.5075,0.6644,1,0.975,0.07511737089201878,0.6153846153846154,0.04,"[1086634, 1081760, 1243705, 1075802, 1080187]","[1217229, 1160449, 886485, 886021, 886377, 886314, 885926, 1160441, 886626, 886244, 886399, 886157, 886503, 886634, 886093, 886084, 886043, 886148, 1160448, 886180, 885919, 886526, 1217240, 886313, 886096, 886614, 886385, 1160402, 886015, 886082, 1217279, 886217, 1217284, 886289, 1217273, 886020, 1217265, 886275, 886446, 886293, 885931, 886606, 886400, 1217275, 885903, 885997, 886039, 886258, 886595, 886137, 886493, 886393, 886531, 886395, 886486, 886443, 886066, 886353, 886356, 886287, 886305, 886611, 1217249, 886613, 886324, 886263, 886281, 886409, 885913, 886454, 885922, 886593, 886315, 1217235, 1217292, 1160378, 886332, 885938, 886564, 886210, 886298, 886538, 885961, 886030, 1160400, 886049, 886017, 886279, 886396, 885945, 886130, 886444, 886090, 886278, 1160425, 886401, 886249, 886260, 886033, 886418, 886186, 1160445, 886462, 885928, 886068, 1160363, 885985, 886572, 1160364, 886398, 1160367, 886277, 1160371, 886386, 885984, 886565, 886032, 886183, 886236, 885917, 886061, 1160447, 1217245, 1160365, 1160385, 1160438, 1217228, 886046, 886026, 886387, 885986, 886104, 1217223, 886362, 885967, 886065, 1217209, 886535, 886427, 1217216, 886199, 885981, 886018, 1217221, 886545, 885940, 886197, 886562, 885958, 1160374, 886201, 885982, 886182, 886510, 886392, 885933, 886440, 886010, 886102, 886594, 886034, 1160409, 886431, 886194, 1217217, 886536, 1217208, 1217263, 886306, 886359, 886284, 886270, 886309, 885979, 886423, 886617, 886151, 886348, 886451, 1217218, 885923, 886092, 886413, 886147, 1160395, 886402, 886515, 886533, 1160446, 886001, 1217295, 886601]","{'PRP': 0.07499434829676759, 'of': 0.060596731441173085, 'VB': 0.05830050572239154, 'sentiment': 0.04625927012323136, 'to': 0.044370657301173136, 'NN': 0.042524551739011825, 'IN': 0.03927177257044587, 'DT': 0.037830466842835773, 'RB': 0.03276306892157918, 'the': 0.0319016794119108}"
0.5025,0.3633578872439635,0.5198767640628106,0.5025,0.66099,1,0.97,0.06572769953051644,0.5384615384615384,0.035,"[1074484, 1074883, 1185906, 1243976, 1085367, 1076684]","[886181, 886082, 885929, 1160444, 886441, 886254, 886273, 1160368, 886158, 886541, 886362, 886241, 886216, 886395, 1217212, 1160452, 886604, 885991, 886150, 1160400, 886423, 886126, 886096, 886480, 886250, 1217290, 885944, 885940, 886204, 886262, 886070, 885927, 886435, 886179, 886443, 886351, 885978, 886459, 886394, 886205, 886409, 1160433, 886172, 886062, 886515, 886474, 886028, 885934, 886245, 886308, 886040, 886568, 886144, 886068, 886339, 886334, 886375, 886295, 886213, 886436, 886430, 886571, 886076, 1160363, 886173, 1217292, 886475, 886215, 886576, 886428, 886075, 886132, 886141, 886065, 886199, 886191, 886432, 1160436, 1217219, 886584, 886051, 886536, 886097, 886008, 886321, 886495, 886598, 1160382, 886405, 1217273, 886125, 886401, 886579, 886518, 886238, 1217263, 886230, 1217225, 885947, 886550, 886358, 886248, 886286, 886524, 1160439, 1217256, 886431, 886098, 1217239, 886178, 886293, 886341, 886239, 886448, 886264, 1217216, 886151, 886288, 886407, 886587, 886327, 886014, 886255, 886505, 886000, 886275, 886532, 886013, 1217272, 886234, 886597, 886408, 1217254, 886508, 886397, 1160420, 886136, 885974, 886450, 886374, 886569, 885980, 886116, 886410, 886499, 1160377, 885953, 886322, 885987, 1217229, 886422, 886064, 886019, 886404, 1160416, 885988, 886350, 886561, 1160376, 1217276, 1160369, 886445, 886105, 1160361, 1160422, 886465, 886582, 886251, 886252, 886107, 1217231, 1217240, 1217236, 886467, 886501, 886396, 886257, 886531, 1217278, 1160428, 886244, 886528, 1217221, 886633, 1217226, 886340, 1160386, 886186, 886472, 886636, 886487, 885952, 886586]","{'PRP': 0.08692043585348407, 'of': 0.05795587691842284, 'NN': 0.05765329289540003, 'sentiment': 0.056487604621424346, 'VB': 0.055459206691073445, 'IN': 0.043376494045307065, 'i': 0.03580178939730858, 'DT': 0.034033092921876514, 'to': 0.0330381270159493, 'NNS': 0.03183160406715844}"
0.495,0.33967506783040763,0.41539763113367173,0.495,0.65993,0,0.98,0.019417475728155338,0.3333333333333333,0.01,"[1079342, 1074873, 1080521, 1086437]","[1160373, 886175, 1217227, 886431, 886323, 885977, 886457, 1217225, 885936, 885985, 886301, 886422, 1160426, 886282, 1160411, 886411, 886212, 886322, 886586, 886193, 1217246, 886548, 886264, 885960, 886230, 1160364, 886595, 886316, 886099, 886455, 1160444, 886112, 1217265, 1217294, 885904, 886040, 1217231, 886327, 886546, 886295, 886594, 886447, 886363, 886065, 886494, 886408, 886209, 886278, 886539, 886008, 886511, 1217268, 886616, 1160418, 886626, 886345, 886210, 886388, 1217270, 886427, 886351, 885922, 886228, 886516, 886526, 885972, 886551, 885943, 886111, 1217216, 886029, 886385, 886543, 886338, 886190, 1160381, 886632, 886063, 886320, 886315, 886468, 1160440, 886342, 886517, 886479, 886581, 885909, 885998, 886412, 886314, 886463, 886438, 886086, 885978, 1217274, 1160429, 886420, 1217281, 886028, 885940, 886115, 886612, 886299, 886324, 886497, 886452, 885919, 886147, 886292, 1217215, 886563, 886520, 886530, 885980, 886501, 885976, 886354, 1160366, 886531, 1160417, 886370, 886116, 886556, 886386, 885955, 885973, 886011, 1160428, 886512, 886417, 1217266, 886580, 886625, 1160447, 886419, 886201, 886436, 886428, 886617, 886361, 885927, 1160377, 885933, 886164, 885925, 1160394, 1160368, 886577, 886413, 886238, 886519, 885981, 886371, 886491, 886041, 886402, 886637, 885986, 886262, 886630, 1160399, 886173, 886080, 886504, 886631, 886403, 886619, 886118, 1160441, 885945, 1217280, 1160416, 886405, 1160403, 886203, 886433, 1217260, 886523, 886130, 886329, 886599, 886482, 1160407, 886366, 886395, 886032, 885923, 886358, 885921, 886335, 886215, 886013, 1217282, 1160431, 1160423, 1160454, 886441, 1160443]","{'of': 0.06995208422337462, 'PRP': 0.06806649089299664, 'sentiment': 0.060655244620246546, 'VB': 0.056272984920446543, 'NN': 0.051000550152780384, 'DT': 0.043492595976602884, 'IN': 0.04215708379375933, 'to': 0.04065148925899867, 'mean_sen_len': 0.03096978964826483, 'the': 0.030236578779285095}"
0.4975,0.3681182656261052,0.48618593728415527,0.4975,0.65404,0,0.95,0.0821917808219178,0.47368421052631576,0.045,"[1074368, 1076383, 1087008, 1243615, 1243401, 1186720, 1078432, 1244151, 1077864, 1076736]","[1217268, 886462, 885993, 886452, 1217267, 886101, 885912, 886053, 886041, 886607, 886509, 886455, 886325, 1160432, 886324, 886621, 886327, 1217272, 886307, 1160456, 1160383, 886269, 1217236, 886539, 886007, 886068, 886092, 886435, 886218, 886414, 886281, 886447, 1160389, 886118, 886093, 886142, 886076, 1160367, 886366, 1217211, 886171, 886379, 886200, 886252, 886429, 1217259, 1160384, 885982, 886289, 1160422, 1160446, 886596, 885917, 1160409, 886110, 886525, 886483, 886283, 886027, 1160402, 886421, 886516, 886079, 885933, 1160415, 886399, 1160439, 886512, 886356, 1160366, 886444, 886150, 886147, 886158, 886557, 886389, 885905, 885964, 886124, 886471, 1160412, 885974, 1160426, 1160442, 1160391, 885936, 885972, 886154, 1217265, 886208, 886278, 885994, 1217231, 1160374, 885963, 886524, 885911, 885908, 886189, 886179, 886299, 1217270, 886239, 886134, 886394, 886426, 1217233, 886438, 886243, 886315, 1160399, 886427, 886271, 886396, 885996, 885930, 886115, 886237, 1160375, 1160424, 886381, 886121, 1217239, 886288, 886085, 886126, 886410, 886193, 886475, 886181, 886024, 886090, 886434, 886437, 886500, 886572, 885971, 886601, 886162, 886571, 886098, 886395, 886592, 886562, 886302, 885979, 886019, 886368, 886613, 886245, 1160445, 886617, 886451, 886536, 886503, 886610, 886310, 886170, 1160448, 885925, 885919, 886349, 886120, 1160416, 886169, 886235, 886619, 886108, 886329, 886069, 886538, 886456, 886323, 885950, 885947, 886117, 886112, 886622, 886390, 886230, 886104, 886099, 1160434, 1160371, 885987, 886369, 886039, 886486, 885961, 886545, 1217261]","{'PRP': 0.08098634031006079, 'of': 0.0719610261250038, 'sentiment': 0.06169708355904866, 'NN': 0.05788904721409807, 'VB': 0.04813976063321342, 'IN': 0.039656559394778496, 'have': 0.03774689094195157, 'DT': 0.03637053046858213, 'to': 0.03580952355198485, 'i': 0.02912550064531641}"
0.5,0.3420186866692985,0.5,0.5,0.66443,0,0.99,0.0196078431372549,0.5,0.01,"[1242279, 1087485]","[886352, 1217237, 885977, 886366, 1217284, 886195, 886546, 886473, 886202, 1160421, 886471, 886441, 1160448, 886112, 1217275, 886301, 886119, 885986, 886442, 1217232, 886237, 885949, 886116, 886575, 886485, 1160433, 886003, 886449, 1160417, 886019, 886545, 886502, 885958, 1217218, 885993, 886244, 886191, 886253, 886390, 886531, 886506, 1217279, 1160362, 886424, 1217208, 1217265, 1160363, 886027, 886109, 886354, 886316, 886266, 886330, 886611, 886620, 886469, 886623, 886592, 1217214, 886333, 886397, 886486, 886308, 886160, 886264, 1217240, 886332, 886234, 886307, 1217294, 886281, 886554, 886021, 885924, 886550, 1217282, 886534, 886243, 886321, 886004, 886236, 886001, 886603, 886413, 886571, 886196, 1217227, 886637, 886161, 886386, 886271, 886508, 886529, 886379, 1217267, 1217266, 886503, 886319, 885975, 886081, 886615, 1160426, 1160401, 886629, 1217212, 886526, 886090, 885974, 886443, 886098, 886255, 1217241, 886056, 886299, 886047, 886593, 885920, 885978, 1160389, 886175, 885995, 886083, 1217233, 886541, 885984, 885980, 1217226, 886496, 1160392, 1160411, 886542, 886148, 885972, 1160380, 1160366, 886518, 886008, 886391, 886565, 886345, 886229, 886612, 886257, 1217273, 885918, 886568, 886516, 886364, 886521, 886519, 886389, 886476, 1160385, 886049, 886188, 886270, 886444, 885914, 1160376, 885959, 886430, 886559, 886006, 1160387, 886433, 886614, 886328, 886063, 1217247, 886024, 886326, 1160445, 886327, 1160405, 1160367, 886017, 885988, 886340, 886167, 886121, 886590, 886505, 886075, 1217256, 886461, 1160371, 1160372, 886189, 886293, 886002, 886341, 885927, 886362, 886520, 886436, 886491, 886525, 885963]","{'PRP': 0.06748194657125423, 'of': 0.06465677219087883, 'sentiment': 0.0605499380023997, 'VB': 0.0575577269180771, 'NN': 0.05458303289595322, 'DT': 0.04310700300307042, 'IN': 0.04122547750225923, 'RB': 0.03544638896353631, 'mean_sen_len': 0.029767449175003027, 'the': 0.029754605217788048}"
