accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.515,0.37368845843422116,0.6538461538461539,0.515,0.67119,1,0.99,0.0761904761904762,0.8,0.04,"[1076514, 1072064]","[868426, 885637, 868421, 865638, 868339, 865061, 1217176, 868472, 885473, 1160339, 868359, 885281, 868854, 1217164, 885544, 1217204, 865304, 865343, 868760, 868467, 1160289, 885888, 885332, 865324, 868219, 865275, 885347, 868652, 885499, 868360, 865097, 885169, 1217203, 885132, 1215012, 868364, 865133, 865722, 1157840, 885429, 865147, 865337, 865584, 865635, 885322, 885127, 865597, 868156, 865017, 1157851, 885858, 868701, 868385, 885317, 1160270, 868303, 865688, 868527, 865191, 885701, 865736, 865314, 885283, 885179, 1214653, 865184, 868466, 868294, 868199, 868766, 885891, 865492, 885532, 865238, 865626, 868495, 885264, 885243, 1158178, 868267, 868917, 868486, 865441, 868748, 868377, 868712, 885221, 865252, 868283, 868340, 868920, 868357, 865141, 1157807, 885386, 885217, 885157, 885511, 868693, 868497, 868928, 865229, 868837, 1215034, 868378, 865220, 868767, 865080, 868679, 885345, 868308, 1157794, 885568, 868547, 865025, 885349, 865164, 865108, 1160351, 1214606, 868844, 1214994, 868689, 1158194, 885106, 865402, 868502, 868648, 868632, 885508, 885172, 1217167, 885505, 885211, 865095, 868771, 885865, 1160261, 868284, 868292, 1215010, 865357, 865666, 885622, 1215053, 865210, 865347, 885698, 868180, 885457, 865198, 1214594, 1160287, 865426, 1158203, 1215067, 1214660, 868683, 868674, 1158218, 868302, 868762, 868761, 868223, 885721, 885191, 885128, 885151, 885900, 865560, 1158258, 865292, 885669, 1215056, 868401, 865648, 868658, 1214998, 885725, 868209, 1215069, 868807, 1160288, 868865, 885388, 865433, 1160305, 885510, 885136, 868190, 885251, 865442]","{'PRP': 0.06923025780733047, 'of': 0.06161667015542263, 'NN': 0.05565377604049228, 'VB': 0.04917920067801153, 'sentiment': 0.048872299941214656, 'DT': 0.04217019798767446, 'IN': 0.042029875951445965, 'have': 0.036590574340754196, 'to': 0.03547316797469007, 'RB': 0.03498230637411154}"
0.5175,0.38620552574040945,0.6212121212121212,0.5175,0.67009,1,0.98,0.10232558139534884,0.7333333333333333,0.055,"[835769, 1082388, 1076544, 1243005]","[885215, 1214653, 885699, 885254, 865582, 1214621, 865109, 868859, 1214667, 868865, 865267, 1160344, 865648, 865340, 885279, 885329, 885357, 885420, 1217136, 868441, 1157848, 1160311, 885501, 885330, 885351, 865658, 865165, 865281, 865303, 865465, 1160357, 865804, 1215060, 1157861, 865779, 1214684, 865510, 865581, 865232, 868740, 885545, 1217176, 1158200, 885181, 885140, 868940, 885462, 1157843, 868568, 865170, 885527, 885856, 868678, 868669, 1217121, 1215011, 868852, 885219, 868679, 868376, 868893, 885661, 885705, 868239, 865131, 885754, 868393, 885768, 868581, 868418, 868545, 1160270, 868531, 1214679, 868854, 865571, 1214663, 1157831, 865749, 1217164, 1217197, 865343, 885505, 885151, 865183, 865573, 865689, 885414, 868650, 868363, 1160289, 868196, 865091, 885263, 1160353, 865365, 885455, 1157880, 865151, 1217135, 865497, 1158251, 885295, 885595, 865593, 868727, 865483, 885855, 1214634, 1160314, 1157813, 865083, 1217112, 868666, 1214601, 1214691, 885280, 868503, 885273, 865715, 1160325, 865473, 865645, 868212, 1217167, 868602, 868324, 868334, 865234, 885849, 885472, 1157845, 868928, 868658, 885475, 865135, 1158211, 865456, 868428, 865451, 1158212, 885492, 1157856, 885625, 865762, 868600, 885252, 885840, 885487, 868572, 885589, 868836, 1214611, 865574, 885628, 885552, 885109, 868907, 1214647, 865513, 865667, 865238, 865309, 885342, 868579, 865208, 885334, 865236, 868684, 868425, 885886, 868751, 868675, 868743, 865348, 1158182, 1160276, 868506, 1160268, 865717, 868365, 1215058, 868722, 1214641, 885365, 885624, 868609, 865496, 1217189]","{'PRP': 0.07186608856401809, 'of': 0.0698061133895393, 'VB': 0.05350244278054522, 'NN': 0.05037546674845589, 'to': 0.044475534401296014, 'sentiment': 0.041120783159290034, 'DT': 0.037263220166846425, 'IN': 0.03403408042967376, 'RB': 0.03178119751345597, 'have': 0.031374365620155165}"
0.5125,0.3761547136310195,0.5993838203140528,0.5125,0.6678,1,0.98,0.08450704225352113,0.6923076923076923,0.045,"[1186753, 1075602, 1245117, 1071908]","[1217116, 885474, 1214675, 865727, 868874, 868524, 1160323, 865343, 868240, 1158260, 865185, 865362, 868311, 885214, 1157807, 865109, 885228, 1214621, 865332, 885452, 868798, 865745, 1214662, 885411, 1214681, 885394, 865738, 1214641, 885417, 1158206, 868681, 868721, 1214657, 885182, 1215054, 865087, 865212, 885730, 865744, 865618, 885213, 868823, 885405, 865608, 1157865, 865085, 1158193, 868739, 885699, 865044, 865449, 868442, 868477, 865598, 868407, 885599, 885349, 865732, 865121, 885861, 885851, 1157815, 1217127, 1217200, 865615, 865331, 1214680, 885325, 868455, 1158224, 868394, 885133, 885484, 865295, 868620, 865439, 865797, 885485, 1158222, 1215021, 868901, 1160276, 865742, 868285, 865024, 868623, 868908, 865101, 868317, 885470, 885864, 1157840, 868456, 868373, 868531, 868588, 868815, 868223, 868397, 1157832, 868269, 885782, 1158264, 865530, 1214992, 868159, 1217129, 865422, 1217197, 1217161, 885253, 868224, 1158254, 885706, 1158207, 885870, 885236, 868441, 885785, 868833, 885649, 868478, 865604, 868175, 868785, 868859, 1160298, 865731, 1160295, 885527, 865613, 1217123, 865181, 868773, 865388, 865766, 868439, 885880, 868756, 865413, 865558, 865209, 868408, 885268, 885758, 868208, 865262, 865410, 865048, 1160264, 865309, 868887, 1158198, 868368, 868533, 868242, 865081, 885208, 1217164, 868604, 868489, 868791, 1158237, 868318, 868468, 885135, 865672, 865417, 885659, 865395, 865090, 1215026, 885118, 868202, 885567, 865254, 865804, 865245, 865692, 868837, 885441, 865071, 885257, 885887, 1158213, 885274, 868595, 865251, 885743, 1214595, 885553]","{'PRP': 0.07934467350138334, 'of': 0.06836992016026815, 'NN': 0.058935981269122514, 'sentiment': 0.05810202551245556, 'VB': 0.04946447321268042, 'IN': 0.03562649184963583, 'DT': 0.033579079854351664, 'have': 0.03213124598463832, 'which': 0.03138835853210724, 'mean_sen_len': 0.02959149030042187}"
0.515,0.3848300355149671,0.59765625,0.515,0.66781,1,0.975,0.10185185185185185,0.6875,0.055,"[1079034, 1072734, 1245117, 1084370, 1076017]","[885865, 865723, 885206, 865689, 868625, 885156, 865725, 868466, 868720, 885812, 885478, 865072, 1214612, 868300, 865352, 865506, 865579, 868929, 865182, 1217157, 865771, 885469, 868461, 868654, 885174, 865510, 868444, 1214657, 865609, 868665, 1160333, 885781, 868211, 1215049, 1215024, 885164, 865479, 865649, 885746, 885619, 885637, 1157856, 865302, 885167, 868346, 885684, 1160340, 865436, 1215033, 865632, 885255, 865221, 885389, 885385, 868230, 868425, 885675, 865601, 865149, 1160337, 885832, 1160341, 865607, 885198, 865127, 865209, 865374, 868315, 865028, 1160287, 868384, 1215065, 865340, 1217206, 865780, 865301, 865554, 885544, 865784, 868377, 868684, 865137, 868399, 868288, 1217173, 865805, 1160311, 1217197, 865428, 1215062, 1157827, 868217, 885137, 868506, 865585, 1158268, 885155, 865170, 1217127, 868312, 868632, 868723, 865543, 868865, 868706, 1160315, 865559, 868678, 865365, 865678, 885153, 865418, 885701, 885891, 865067, 885763, 868368, 865126, 885444, 1214608, 865536, 868511, 1215030, 868653, 885517, 885759, 865663, 885475, 885514, 868925, 885663, 868574, 885901, 1160322, 865535, 885866, 865116, 885766, 1157853, 868269, 865193, 868883, 868831, 885381, 865071, 865120, 865400, 1157837, 885184, 885527, 885529, 1158188, 885601, 868468, 1214688, 865625, 868253, 1215079, 885149, 865462, 1158258, 1214639, 1157789, 865368, 885567, 885654, 885884, 885204, 865274, 885208, 885662, 868697, 868663, 1215046, 865313, 868855, 885248, 865174, 885428, 865069, 1215073, 868552, 865568, 868732, 1215036, 865256, 885680, 1214648, 885653]","{'PRP': 0.07700800036436281, 'of': 0.05988167104509943, 'sentiment': 0.05755490535268666, 'VB': 0.057162400821510306, 'NN': 0.05709062070196724, 'IN': 0.04839036450682415, 'DT': 0.032219673069657034, 'to': 0.03120141990217379, 'have': 0.02982850936094457, 'mean_sen_len': 0.02725015034799497}"
0.52,0.38014527845036317,0.7051282051282051,0.52,0.67458,1,0.995,0.08571428571428572,0.9,0.045,[1081930],"[868302, 885851, 885777, 885146, 865214, 868747, 885569, 865662, 885821, 865470, 1217131, 885576, 1160329, 868706, 885528, 865637, 885172, 868284, 868502, 1158224, 885474, 868516, 868651, 868250, 885295, 1214668, 868783, 885161, 865699, 865301, 865571, 865285, 1157862, 868918, 868507, 885763, 865042, 868269, 885399, 865219, 1158195, 1214638, 865751, 868541, 1214596, 1214645, 885690, 868219, 868613, 885698, 885264, 865129, 865631, 1160283, 865768, 865141, 885480, 865397, 868506, 865668, 885342, 885554, 865404, 868294, 865762, 865197, 865166, 868238, 865568, 868823, 1158180, 865107, 865597, 1214995, 885669, 868471, 865385, 868459, 868591, 885180, 868604, 865738, 865674, 868190, 885191, 865728, 865177, 868286, 885268, 865164, 865182, 1157786, 865809, 1214598, 865523, 1215013, 865087, 868925, 865051, 1217192, 1215031, 1158186, 868770, 865458, 868677, 865508, 885791, 1217135, 868906, 1215029, 885463, 885564, 1158213, 1158262, 865592, 885715, 868785, 885578, 868658, 865649, 865073, 868209, 885205, 865298, 868440, 1158208, 885714, 1157880, 1158205, 868766, 865207, 1157876, 885808, 868272, 885501, 1157813, 865048, 885332, 868445, 885596, 885267, 865783, 865081, 885752, 868533, 868558, 885130, 868726, 865271, 865691, 865776, 865498, 868862, 868848, 885272, 865059, 1215061, 1217110, 865518, 865161, 1157845, 865659, 885661, 885532, 868786, 865037, 868259, 868498, 1160333, 868926, 1214636, 885543, 868742, 885624, 1214605, 865718, 868382, 1214635, 885607, 1217201, 885184, 868608, 868640, 868429, 1217142, 1160309, 1160356, 865612, 865261, 868693, 1160317]","{'of': 0.07435823370716917, 'PRP': 0.07076289883471476, 'sentiment': 0.06840400562348564, 'NN': 0.049362979678287795, 'VB': 0.048388664628210086, 'DT': 0.04738785820580088, 'IN': 0.032962524495269444, 'i': 0.03113875685184115, 'to': 0.03074195174725713, 'have': 0.030604304303060888}"
0.53,0.3967398280066743,0.7577319587628866,0.53,0.68027,1,1.0,0.11320754716981132,1.0,0.06,[],"[865286, 1160359, 1217200, 1214658, 885392, 1157853, 868782, 865766, 868314, 865505, 868930, 885821, 1158231, 885414, 868311, 1215004, 868410, 885192, 868584, 868940, 865587, 868788, 865391, 865610, 868224, 868185, 868640, 1157820, 868901, 868679, 865752, 868162, 1217181, 865107, 868522, 1158225, 865148, 868479, 885127, 1217125, 865758, 868229, 1158203, 865395, 865206, 868822, 865390, 1215081, 865582, 885873, 868509, 1217160, 1160278, 865126, 868789, 1157872, 885177, 868760, 885438, 868764, 885688, 865804, 885309, 1217114, 868431, 865166, 885687, 885801, 865302, 865191, 885877, 1214684, 865746, 868333, 868581, 868727, 1160304, 1160342, 868203, 1214987, 885234, 868310, 885304, 865217, 868546, 885559, 865207, 865265, 1215043, 868660, 1158191, 1215064, 885159, 885179, 868754, 1214662, 1215008, 885761, 1160327, 885652, 865272, 885573, 868545, 868860, 868566, 1215009, 865343, 865355, 885864, 868771, 865385, 865737, 865255, 885563, 865052, 865781, 868290, 868291, 868722, 865229, 1217154, 1217203, 1158212, 868529, 865431, 865168, 865122, 865509, 868692, 868158, 868501, 885831, 865119, 1215059, 1215000, 868398, 885147, 865281, 868471, 1217122, 865422, 868623, 865642, 865468, 1158224, 865662, 868247, 865518, 1217149, 868606, 868731, 1158207, 1157782, 868285, 868445, 885174, 868494, 1214600, 865775, 1160338, 1160290, 865690, 885720, 1217152, 885343, 885447, 865402, 865657, 868257, 865481, 885460, 868607, 1215051, 1217117, 865338, 1214641, 885338, 868343, 885498, 1157785, 1214679, 885579, 1215060, 868856, 885397, 865679, 865778, 885380]","{'of': 0.0712522071261579, 'PRP': 0.06929966260932136, 'sentiment': 0.05983887984401554, 'VB': 0.0527942058044586, 'IN': 0.049862733074480935, 'NN': 0.049128367200510906, 'mean_sen_len': 0.03742018724969692, 'DT': 0.034829514509696485, 'NNS': 0.03128007709983703, 'have': 0.030957049714410222}"
0.51,0.3748205798858091,0.574019245003701,0.51,0.66553,1,0.975,0.08411214953271028,0.6428571428571429,0.045,"[1087485, 1186121, 1073192, 1211075, 835722]","[885696, 868244, 868377, 885833, 865266, 885823, 868184, 885249, 1215046, 868248, 868626, 865525, 868693, 885899, 1157796, 865650, 1158221, 865319, 885262, 868762, 885612, 1217147, 868717, 865390, 868209, 865718, 865521, 885654, 1160333, 868259, 865502, 1214688, 865790, 865479, 885462, 1214601, 868833, 865346, 1157829, 1215058, 1214665, 885702, 868524, 1157860, 885573, 885538, 865453, 1157836, 868652, 868882, 868464, 885155, 865378, 1214630, 868660, 885451, 1215068, 865027, 1217124, 885214, 865772, 1214616, 868855, 868314, 868918, 865236, 1214654, 1217116, 868436, 885288, 1215064, 1214989, 868357, 868425, 885677, 868620, 1214655, 868537, 865308, 865437, 885228, 885467, 1217186, 885523, 885397, 865292, 1217205, 865052, 868650, 865098, 868487, 1158199, 885427, 1215080, 865424, 885241, 868571, 865805, 1217126, 868683, 868667, 868214, 1217163, 1214674, 885786, 885167, 885163, 1214650, 865324, 1214621, 868799, 868728, 1157858, 885659, 868889, 1214686, 1157850, 865182, 885534, 868708, 865573, 865301, 885363, 885615, 885692, 885593, 865436, 868604, 865042, 868264, 868363, 1157849, 885186, 885172, 1157876, 868489, 868623, 865491, 1158263, 865527, 1214996, 885309, 885730, 1214645, 885410, 885884, 1217201, 868895, 1157847, 868858, 865103, 868554, 868709, 865800, 1157853, 1214667, 1158225, 1214609, 865544, 868174, 1157881, 865690, 885183, 868343, 885367, 1157800, 865749, 865504, 885841, 865495, 865164, 885325, 885818, 885619, 868342, 865243, 868339, 1158226, 1217129, 868462, 885707, 1157823, 868900, 865045, 1215082, 868354, 865451, 885489, 1217179, 865315, 1214689]","{'PRP': 0.0807648254192295, 'of': 0.06824720001609014, 'NN': 0.04996185690003516, 'VB': 0.049218986065037135, 'sentiment': 0.048699671312066116, 'DT': 0.043600081589813044, 'IN': 0.03768501111408857, 'NNS': 0.03452792070463891, 'have': 0.029477806975253183, 'to': 0.029278295953005844}"
0.51,0.3672316384180791,0.6025641025641025,0.51,0.6678,1,0.985,0.06666666666666667,0.7,0.035,"[1076145, 1076814, 1072286]","[865803, 868686, 885177, 1214629, 865207, 868828, 865686, 865266, 868714, 868744, 868476, 1160337, 865652, 885678, 868226, 865047, 865133, 865658, 885540, 865579, 865614, 865450, 1214668, 865513, 885188, 1158266, 865709, 865140, 868263, 868880, 865193, 885438, 885268, 868750, 865561, 868258, 885532, 865752, 865627, 865357, 1217146, 885477, 885894, 885716, 885393, 868798, 885413, 865532, 865223, 865185, 865265, 1157842, 868582, 865623, 865802, 885455, 885649, 868861, 865549, 1214615, 885821, 885861, 885788, 885171, 868516, 885490, 868313, 865394, 868343, 1160354, 865022, 865109, 868897, 865688, 1160300, 885789, 1214673, 868863, 1214594, 885641, 885417, 1160283, 865334, 1215006, 865036, 868762, 885525, 865115, 868883, 1215082, 1217182, 865535, 1157857, 885892, 1158201, 885826, 1215047, 868214, 885571, 868583, 865064, 865470, 1214648, 868342, 868346, 1157853, 865545, 885843, 1157814, 868796, 1158176, 865134, 1214678, 885260, 865393, 885856, 865668, 868723, 885820, 1215084, 1157834, 1157859, 865505, 868639, 1157806, 885454, 1217183, 1157843, 865435, 865516, 865320, 1214670, 865518, 885452, 1158258, 1157865, 1214598, 885632, 1214617, 868907, 885682, 868229, 868775, 868432, 868734, 885369, 1217131, 868167, 868290, 1160313, 1217111, 868896, 865756, 885475, 865671, 865025, 885591, 868253, 865482, 865642, 865291, 865378, 868681, 885745, 885197, 868846, 885776, 865729, 885777, 868311, 885528, 868891, 865430, 868292, 1214641, 865090, 865502, 1215017, 885327, 868417, 1158181, 1160329, 885241, 885231, 868934, 1217197, 865654, 885812, 885724, 865583, 885343, 868507, 885279]","{'of': 0.07526800986644565, 'PRP': 0.0740456819305622, 'sentiment': 0.06119791035018584, 'NN': 0.04837878635067983, 'VB': 0.04147575940877393, 'IN': 0.035762126180572146, 'have': 0.03494930007647333, 'NNS': 0.03265484562532321, 'DT': 0.030647396370881822, 'to': 0.02996611861896105}"
0.515,0.3698024948024948,0.6913265306122449,0.515,0.6723,1,0.995,0.0673076923076923,0.875,0.035,[1186117],"[865448, 868206, 885265, 865280, 868599, 885287, 885612, 868914, 865032, 885314, 865151, 885448, 868253, 885688, 868518, 868628, 865613, 1214653, 885511, 885142, 885434, 1214660, 865775, 1157820, 885600, 865692, 1215011, 868377, 868461, 865607, 865342, 865770, 885878, 865541, 885491, 865369, 885184, 868658, 865404, 865384, 1157831, 885803, 885251, 1214648, 868491, 868819, 885399, 1158184, 1158265, 865463, 865809, 868333, 885885, 1157796, 1215078, 865592, 865310, 1158175, 865478, 1160355, 868730, 1217152, 868256, 885747, 865250, 868855, 865619, 865177, 868519, 885249, 885281, 868297, 885709, 865669, 1217128, 885237, 868767, 885671, 1160325, 885870, 865300, 885153, 885211, 868186, 885374, 1160321, 865304, 885346, 868544, 1158186, 865534, 885789, 868699, 868642, 885450, 865572, 885490, 865307, 885108, 865496, 885591, 865801, 1215013, 1160307, 1160311, 865312, 868856, 885268, 865605, 865446, 868740, 885559, 885785, 885322, 865102, 865284, 868675, 865679, 865755, 885286, 865215, 865189, 865728, 885354, 1214621, 868720, 885465, 1215022, 885109, 868477, 868607, 1217207, 868225, 868156, 1215077, 868408, 1160278, 868711, 1214652, 865294, 865666, 1160348, 1158189, 868690, 868550, 868744, 885147, 865217, 868755, 1158187, 885105, 865028, 1215073, 865787, 868265, 865227, 1214641, 1158256, 868268, 1217190, 865197, 1217200, 865676, 865101, 868342, 868852, 868684, 1214680, 865554, 1217160, 865266, 868846, 868680, 865694, 865595, 1214605, 865350, 1158244, 1214649, 865161, 865608, 865742, 865062, 885383, 868886, 1214672, 868236, 1160327, 865157, 865155, 1157844, 885607, 1217138]","{'PRP': 0.07080921619242454, 'of': 0.06247727270388902, 'sentiment': 0.05103536194872883, 'NN': 0.05098809781915856, 'VB': 0.04975614703615909, 'DT': 0.041200516135906244, 'to': 0.038099110123039924, 'IN': 0.03710562861074182, 'have': 0.03315881396143041, 'which': 0.032434290059180707}"
0.5125,0.3761547136310195,0.5993838203140528,0.5125,0.6678,1,0.98,0.08450704225352113,0.6923076923076923,0.045,"[1186753, 1084961, 1244276, 1076606]","[1157788, 865248, 868740, 1157838, 1160340, 885602, 885628, 885706, 868939, 885717, 1214689, 868437, 1215034, 868938, 865561, 885847, 885579, 885522, 865608, 865218, 865687, 865348, 868405, 865496, 885596, 865761, 865613, 1157832, 865598, 865222, 885525, 885665, 865591, 868604, 865730, 885259, 885157, 868205, 865349, 1214618, 865045, 868847, 868844, 865518, 1158229, 868774, 865560, 885864, 1217176, 885312, 868573, 885216, 1215014, 865620, 865057, 865580, 868843, 868463, 868617, 1160330, 885893, 885576, 885232, 885351, 885355, 868691, 865215, 868544, 1217153, 1214990, 865778, 1217142, 868734, 1158184, 865036, 868748, 865703, 868926, 865655, 865345, 865390, 868440, 885298, 868826, 885799, 865411, 865254, 865680, 1215055, 868608, 885308, 865548, 868178, 868891, 868651, 885669, 1217173, 865785, 1217132, 865277, 885741, 865534, 885392, 865668, 868388, 868511, 868903, 885305, 885739, 1157818, 865590, 885307, 868470, 885504, 868448, 885643, 868441, 1215061, 885350, 1215024, 865644, 865789, 885882, 885286, 885788, 868542, 868823, 865214, 868892, 1215000, 1158243, 1160339, 865437, 868555, 885343, 868729, 865188, 885202, 868431, 865544, 1158265, 865371, 868769, 865372, 865579, 865770, 868591, 1215050, 885158, 865161, 885629, 865737, 865313, 1157852, 868864, 885715, 865686, 865707, 1157807, 885783, 885329, 865139, 885206, 865577, 865120, 865078, 865771, 868620, 865459, 885735, 868570, 885204, 868930, 885765, 885820, 868585, 885703, 865584, 885658, 868671, 868535, 1214690, 865524, 868673, 885722, 1214684, 885262, 1160311, 1160278, 868647, 865283]","{'PRP': 0.07749230579520973, 'of': 0.06696992057898794, 'VB': 0.054502757113545366, 'NN': 0.054048987633733094, 'sentiment': 0.041205002746435515, 'to': 0.041149869833008675, 'IN': 0.040389592153672306, 'DT': 0.03673678220791995, 'RB': 0.03559358463851161, 'the': 0.03477256633706356}"
