,Key,Count,Mean Score
0,PRP,100,0.07627783585994441
1,of,100,0.06789309117062423
2,sentiment,100,0.05954982861257571
3,VB,100,0.05258887948198745
4,NN,100,0.052304780888952705
7,DT,97,0.03798249020500776
6,IN,96,0.039264533259586176
5,have,59,0.03444897803194763
12,to,58,0.03505669087661892
9,NNS,41,0.033481135342423196
13,the,41,0.03342389177527352
11,RB,36,0.032599524296374464
14,i,31,0.03200949994508922
10,mean_sen_len,22,0.03416738521494838
8,which,18,0.032386191175544456
15,not,1,0.02966019896196899
