,Key,Count,Mean Score
0,PRP,100,0.0763747439292193
1,of,100,0.06690743340559727
2,NN,100,0.053625474847253746
3,VB,100,0.05329561387155806
5,sentiment,100,0.06006244133236439
4,IN,98,0.039202308540419416
8,DT,98,0.03793013842472492
6,to,63,0.03651966647288183
10,have,52,0.03479530221231091
9,NNS,52,0.03259178637916228
11,the,31,0.03240443693486473
14,which,28,0.03180138103507467
7,i,27,0.03306470796247002
13,RB,26,0.03325313830246264
12,mean_sen_len,24,0.032284491642027534
15,not,1,0.031842329703031844
