accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.4875,0.45259981708823155,0.4832209134534716,0.4875,0.59082,0,0.74,0.31438127090301005,0.47474747474747475,0.235,"[1202267, 1257754, 1258553, 1258280, 839629, 1201603, 1202187, 1201794, 1104014, 839313, 1258989, 1103577, 1202019, 1203007, 1201737, 839994, 1202127, 1200923, 1103678, 1257832, 1257854, 1203448, 1258504, 1200666, 1259097, 1257501, 1259007, 1103203, 1201196, 839658, 1102523, 1201444, 1201340, 1258044, 839832, 1103283, 1103193, 1201419, 1201294, 1202457, 1202344, 1259970, 1103294, 1258997, 1258901, 839515, 1102827, 1102385, 1257530, 1257625, 1154712, 1102351]","[987671, 988059, 987432, 987609, 987396, 987665, 988048, 1229880, 1229960, 987697, 987870, 987783, 1173046, 987428, 987349, 987759, 987552, 1229937, 1172975, 987337, 987388, 1229961, 1229934, 987688, 987736, 987911, 987436, 987347, 1229939, 987728, 1229951, 1173042, 987341, 1172987, 987750, 987627, 987510, 987866, 987612, 987560, 1229905, 987511, 1173023, 987764, 987637, 987975, 1173050, 987652, 987406, 1229926, 987478, 1173019, 987819, 987725, 987411, 987766, 1229946, 987817, 987544, 987999, 1229962, 1229897, 987353, 987553, 1173054, 987503, 987424, 987863, 987676, 987448, 987954, 988004, 987662, 988040, 987761, 1229883, 987695, 987330, 1229885, 1173034, 988070, 987838, 987916, 988038, 987740, 987599, 1229942, 987645, 1172992, 987724, 1229924, 987454, 987986, 987439, 987442, 987528, 1173043, 1172977, 987505, 987606, 988089, 987988, 987576, 987733, 987368, 1172974, 1173029, 987492, 987811, 987608, 987823, 987477, 1173064, 987862, 987694, 987624, 1229959, 988021, 987535, 1229935, 987681, 988037, 987474, 987391, 987399, 987635, 1173049, 1229881, 987414, 1229900, 1173008, 987828, 987445, 987757, 987994, 987699, 1229963, 987306, 987610, 987797, 987957, 987762, 987685, 1173027, 1173053, 987650, 987987, 987551, 1229956, 987543, 987509, 987393, 987644]","{'PRP': 0.0751337326146512, 'of': 0.0670993911448345, 'NN': 0.058371927338309336, 'VB': 0.05630720421390161, 'sentiment': 0.04868067157356895, 'DT': 0.03974977189823894, 'i': 0.0342191337986584, 'IN': 0.03198210300100596, 'have': 0.030971186266375787, 'the': 0.030438023884174915}"
0.515,0.41409199359729393,0.5482160077145612,0.515,0.65724,1,0.93,0.17094017094017094,0.5882352941176471,0.1,"[1202316, 1259602, 1257734, 1257552, 1203286, 1257719, 1203387, 1104174, 1259351, 1200400, 839287, 1259472, 1202041, 1102377]","[988026, 988067, 987566, 987838, 987854, 1173047, 987911, 987764, 987455, 987466, 987307, 987577, 987860, 987805, 987671, 987387, 987918, 987341, 987818, 987538, 987793, 987699, 1173045, 1229926, 987456, 1229954, 987868, 1172981, 987320, 987602, 987528, 1229959, 987715, 987318, 987967, 987353, 987472, 987919, 987709, 987873, 1173042, 1229915, 987476, 987866, 987512, 987336, 987799, 987407, 987800, 988057, 1173010, 987352, 987537, 987670, 987920, 1172995, 987703, 988001, 987434, 987423, 987902, 987995, 987981, 987461, 987498, 987362, 988065, 987393, 987360, 987467, 987972, 987656, 987749, 987900, 1229877, 988029, 987904, 987650, 987636, 988027, 987424, 987810, 987649, 1173007, 987841, 987977, 988011, 987560, 987916, 987597, 1229948, 987369, 987392, 1173000, 987631, 987959, 987633, 987757, 987846, 987923, 988063, 1173008, 1173018, 987979, 987707, 1173024, 987762, 987583, 987779, 1173054, 987874, 987486, 1229876, 987937, 987939, 987978, 987834, 987688, 987973, 987980, 987311, 1229927, 987607, 987963, 987591, 987782, 987957, 1173056, 987645, 987515, 988043, 987628, 987931, 987443, 987756, 988070, 987350, 988079, 987346, 987882, 987791, 1229918, 1229946, 987872, 988038, 988053, 1173023, 987836, 987717, 987809, 1229896, 987806, 987411, 987985, 987794, 1229873, 987510, 987724, 987465, 1229951, 1229897, 987445, 987777, 987543, 987400, 988086, 987991, 988014, 1229901, 987333, 987938, 1229908, 987864, 1173021, 1229910, 1229904, 987611, 987426, 987940, 1173016]","{'PRP': 0.07858822266210799, 'NN': 0.07144211182818373, 'of': 0.06919344090638328, 'sentiment': 0.055199172369188886, 'VB': 0.04637040360284559, 'DT': 0.04272073561091, 'IN': 0.036701217697271894, 'i': 0.03081001139330318, 'which': 0.028919568826392066, 'have': 0.02639621724152081}"
0.4925,0.4132566424117175,0.48368767331847096,0.4925,0.62888,0,0.86,0.1976284584980237,0.4716981132075472,0.125,"[1257302, 1103111, 1102258, 1259331, 1102694, 1202316, 1103564, 1260261, 839393, 1260180, 1104054, 1260193, 1260004, 1257680, 1258441, 1259595, 1202898, 1103990, 1203100, 1200966, 1200878, 1259186, 1102577, 1257552, 1259852, 1200606, 1259832, 1202335]","[1173013, 987537, 987600, 988038, 1172973, 1229880, 987615, 987788, 988085, 987591, 1173026, 987748, 987557, 987601, 987775, 1229875, 987842, 987555, 1173024, 987570, 987460, 987346, 987339, 987912, 988077, 987720, 987723, 1229970, 987879, 987838, 988033, 987886, 1229908, 988047, 987468, 1173020, 987984, 987306, 987870, 987791, 987937, 987659, 987845, 987935, 988079, 987335, 988003, 1229956, 987751, 987833, 987852, 987357, 987794, 987976, 987854, 987505, 987802, 987454, 1229946, 987729, 987516, 987308, 987989, 987807, 987428, 1229901, 987911, 988070, 987793, 1229911, 1229931, 987918, 987307, 1173018, 987587, 988021, 987409, 987837, 987951, 987314, 988022, 987381, 987605, 987327, 987752, 987563, 987340, 987725, 987839, 1229915, 987767, 987924, 987406, 987567, 987623, 987632, 988091, 987994, 987427, 987435, 987343, 988017, 988081, 987931, 987627, 987694, 987611, 987446, 987401, 987316, 987904, 987695, 987391, 988005, 987362, 987488, 987483, 987501, 1173050, 987653, 987527, 988004, 987450, 987642, 987366, 988073, 987977, 988030, 987320, 987999, 1173005, 987545, 988080, 987707, 987930, 987736, 1229879, 987508, 1229938, 988052, 1229926, 987318, 987938, 987944, 988008, 987471, 987772, 988039, 987628, 987614, 987533, 988042, 987394, 1229887, 987491, 987716, 988057, 987404, 987373, 987618, 987972, 987820, 987405, 987418, 987325, 987819, 987334, 987827, 987328, 987669, 1229934, 987424, 987647, 987749, 987607]","{'PRP': 0.08353999534898844, 'of': 0.06586830672690053, 'sentiment': 0.05437869942158527, 'VB': 0.049438913138971405, 'NN': 0.048761283506369116, 'IN': 0.04342453376451769, 'i': 0.03605055383399041, 'DT': 0.03218731734958534, 'which': 0.027881372589356506, 'have': 0.02761797178747464}"
0.45,0.3627621364847643,0.3894783377541998,0.45,0.59854,0,0.82,0.12698412698412698,0.3076923076923077,0.08,"[839856, 1257798, 1200376, 1257812, 1259955, 1259715, 1102672, 1103963, 1202873, 1201613, 1201990, 1104080, 1258504, 1200724, 1203080, 1200726, 1102678, 1104029, 1103684, 1103267, 1257178, 1201113, 1101974, 1258756, 1201172, 839675, 1103721, 1201483, 1201121, 1203374, 1259492, 1201470, 1102498, 1103753, 1257829, 1259947]","[987777, 1173024, 1229944, 987621, 1229894, 1229960, 988039, 1229966, 1173043, 1229906, 987317, 987309, 987460, 1229881, 987642, 1229948, 1172973, 1173039, 987556, 1173002, 987404, 987766, 1229947, 988090, 987699, 987973, 988065, 987400, 987310, 988017, 987364, 987791, 987715, 987937, 1172970, 987392, 987450, 988091, 987705, 987629, 987728, 987611, 987622, 988059, 987803, 988018, 987761, 987860, 987837, 987859, 988002, 987950, 987975, 987890, 988035, 987845, 987486, 1172990, 987585, 987892, 988006, 1173055, 987623, 987480, 987414, 1229939, 987933, 987717, 987347, 987582, 987496, 987765, 987692, 987584, 987931, 987559, 987435, 987783, 988008, 987538, 1229915, 987381, 987353, 1172976, 1229899, 987597, 987840, 987917, 988019, 987422, 987386, 987636, 987375, 987981, 988023, 988055, 987471, 1172980, 987465, 987594, 987828, 988087, 987349, 1229887, 988022, 987726, 987369, 987639, 1173029, 1173056, 987602, 987806, 1229916, 987948, 987315, 987348, 987592, 987711, 987742, 987575, 987702, 987653, 987382, 987906, 987923, 987908, 987475, 987738, 1229965, 987578, 987651, 987873, 988073, 988040, 987313, 987748, 988056, 987795, 987957, 987487, 988058, 987724, 987735, 987876, 988048, 988010, 1229925, 987455, 987360, 987407, 987481, 987630, 988024, 987397, 987782, 987835, 987916, 987771, 987690, 988001, 987383, 987568, 1173037, 987588, 987574, 1229969, 988083, 988092, 987619, 987380, 987662, 987565, 988026, 987335, 987827, 988067, 987930, 987811, 987998, 1173020, 987894, 987740, 987652, 987856]","{'sentiment': 0.08110838814692635, 'PRP': 0.07791929175384106, 'of': 0.06756453500370098, 'NN': 0.058702954563062355, 'VB': 0.05033011927898837, 'IN': 0.03472986385813966, 'have': 0.030790220813163575, 'DT': 0.030438299849944155, 'RB': 0.03029415999764268, 'the': 0.028171266517198392}"
0.525,0.43979242835240007,0.5638406537282942,0.525,0.65827,1,0.915,0.22131147540983606,0.6136363636363636,0.135,"[1258017, 1201090, 1103350, 1202926, 1103341, 1200606, 1258576, 1257897, 1103243, 1103574, 839633, 1202880, 1200485, 1102615, 1259669, 1202384, 1258147]","[987402, 987403, 1229959, 987437, 1229937, 987673, 987890, 987455, 1173003, 1173045, 987678, 987558, 987573, 1173012, 987707, 1229949, 987339, 987749, 1173010, 1229879, 987980, 987560, 987709, 987786, 1172997, 987693, 987884, 987597, 987670, 987338, 987986, 988001, 987976, 987652, 987947, 987324, 987812, 1172968, 988022, 987936, 987326, 987624, 987774, 987742, 987782, 987443, 987567, 987396, 1172996, 987720, 987702, 987921, 1229960, 987464, 987388, 987442, 987327, 1173052, 987892, 987486, 1229956, 987698, 1229928, 987498, 987905, 987569, 1173046, 987823, 987611, 987363, 988038, 987752, 987874, 987794, 987534, 988070, 987365, 987959, 987665, 987762, 1229902, 987615, 1229924, 988030, 987765, 987740, 987609, 987545, 1229892, 987876, 987579, 988081, 987658, 987393, 987563, 1172989, 987646, 987996, 987619, 988056, 1173049, 987706, 1229881, 1229875, 988009, 987456, 1173053, 1172980, 987733, 987924, 987377, 987872, 1229926, 987473, 987741, 987725, 987552, 987743, 1229883, 987592, 987748, 987528, 1229951, 987975, 987648, 987527, 988006, 987491, 1172986, 987945, 1172983, 987771, 987331, 987633, 987984, 987585, 987526, 987383, 987405, 987865, 987943, 1173017, 1173043, 987583, 987347, 987559, 987793, 987551, 987410, 987779, 1229873, 1229932, 987421, 987671, 1229920, 987446, 988053, 987799, 987637, 987755, 987555, 987841, 1173064, 987504, 987863, 987759, 987681, 987654, 987536, 987705, 987606, 1229876, 988024]","{'PRP': 0.08746363953790968, 'sentiment': 0.06065637709062879, 'of': 0.058905158288172686, 'VB': 0.04984225832508848, 'NN': 0.04937884449613973, 'DT': 0.038499296517737036, 'IN': 0.03603284826224308, 'to': 0.03330317024961069, 'the': 0.03327664378934009, 'RB': 0.031423781810042545}"
0.4925,0.39438689131034693,0.4786916684423609,0.4925,0.63815,0,0.895,0.1506276150627615,0.46153846153846156,0.09,"[1102068, 1259858, 839996, 1257829, 1202638, 1102498, 1259332, 1103903, 1102484, 1260031, 839619, 1203210, 1260250, 1259333, 1102473, 1258835, 1103800, 1259773, 1259205, 1259860, 1257734]","[987718, 987371, 987522, 987659, 987555, 987743, 987606, 987747, 1229888, 1229917, 987515, 987508, 987769, 1172997, 987827, 987378, 1229886, 987560, 987658, 988056, 987921, 1229878, 987419, 987685, 987644, 988005, 1229966, 987657, 987983, 988078, 988054, 987969, 1229925, 987941, 1229936, 1229893, 1229961, 987632, 987465, 1229941, 987671, 987603, 987730, 987950, 987839, 987315, 987777, 1172993, 987387, 987437, 1229915, 988077, 1229877, 987841, 988042, 987541, 987336, 987357, 1229914, 987652, 987493, 987935, 988024, 987635, 987720, 987920, 987476, 987393, 987507, 988030, 987895, 987786, 987862, 987398, 988013, 987660, 987546, 987415, 1173010, 987431, 987684, 987471, 987981, 987623, 987738, 988007, 987511, 987460, 987452, 988016, 987927, 987420, 987908, 1229967, 987367, 987783, 987882, 987870, 1172971, 1173026, 1173018, 987574, 987886, 987624, 987842, 1172995, 987974, 987409, 1229928, 987550, 987739, 987406, 987894, 987691, 987802, 987933, 988002, 1229918, 987905, 987719, 987450, 987667, 987785, 987951, 988049, 1172998, 1229960, 987502, 988083, 987888, 988032, 987587, 987382, 987647, 987707, 1229921, 987689, 987445, 987577, 1173061, 987407, 987468, 987803, 987831, 1173056, 987699, 987918, 987789, 987501, 987500, 987996, 987497, 1173048, 1229939, 987320, 987662, 988055, 987773, 987604, 987473, 987871, 1173049, 987752, 988012, 987439, 987735, 1173044, 1229957, 987314, 1229955, 1172986, 987856, 1229954, 987514, 987391, 1229894, 987573, 987726, 987442, 987817, 988041, 987451]","{'PRP': 0.07291858994582323, 'sentiment': 0.06299483986633893, 'of': 0.05522963555619456, 'NN': 0.049705209594090034, 'VB': 0.048339883432647106, 'RB': 0.03723113820632777, 'IN': 0.03692124823461649, 'DT': 0.03443186183058359, 'to': 0.032816417532988085, 'mean_sen_len': 0.030942330944446796}"
0.505,0.4312959558823529,0.5103820598006645,0.505,0.63603,1,0.865,0.2265625,0.5178571428571429,0.145,"[1102068, 1258193, 1202557, 1102903, 1259686, 1103658, 1257897, 1258615, 1201063, 1259355, 1202694, 1102093, 1257565, 1201837, 1102124, 1103174, 1257287, 1201857, 1103552, 1202128, 1201912, 1202073, 1260071, 1154767, 1259950, 1102537, 1102097]","[987854, 987538, 987723, 987406, 1229968, 987636, 1229916, 988033, 987631, 988055, 1229911, 987616, 987412, 987579, 987870, 987714, 987880, 987581, 987876, 987779, 987872, 987395, 987397, 987541, 1229886, 987493, 987678, 987721, 987516, 987649, 987361, 987817, 987753, 987840, 987550, 987306, 987748, 988039, 987510, 988056, 987898, 987646, 987882, 987969, 987677, 1173013, 987695, 988092, 987764, 987432, 987635, 987517, 987438, 1173053, 1172973, 1172983, 987885, 987373, 988077, 988093, 1173019, 987414, 988042, 987794, 987712, 1229905, 987319, 987964, 1173000, 1172981, 987475, 1229888, 988003, 987416, 987738, 987329, 1173025, 987553, 987812, 1173054, 1229931, 987472, 1173037, 987773, 987601, 987561, 987915, 1229945, 1173034, 987348, 987552, 987746, 987407, 987963, 987473, 987843, 987346, 987509, 987491, 987700, 987776, 1229950, 988049, 987983, 987943, 987696, 988050, 987740, 987704, 987768, 987588, 987757, 988044, 987549, 987481, 987996, 987484, 987924, 987657, 1229935, 987782, 987791, 987985, 987453, 1229962, 1229904, 1229961, 987662, 987420, 988026, 987891, 987530, 987760, 987706, 988045, 987941, 987763, 987525, 1229895, 987686, 987450, 987529, 987568, 987379, 987613, 1229884, 1229917, 987400, 987324, 988053, 987572, 987861, 988081, 988002, 987392, 1229955, 987684, 987742, 987656, 987325, 1173058, 987944, 987316, 1229965, 987628, 987670, 987627, 987713, 1229929, 987469, 987845]","{'PRP': 0.07376256886977105, 'sentiment': 0.06690305160403939, 'of': 0.06306114231760472, 'DT': 0.05010630562440425, 'to': 0.04704924778780847, 'VB': 0.0460066666183851, 'NN': 0.045089303315433905, 'IN': 0.03541659771659459, 'which': 0.028046447924106002, 'the': 0.027944920184337512}"
0.4925,0.42941866756610525,0.4865537178970014,0.4925,0.61914,0,0.825,0.2397003745318352,0.47761194029850745,0.16,"[1203337, 1257710, 1260124, 1257944, 839712, 1102503, 1201013, 1260172, 1258835, 1258996, 1200786, 1201705, 1258759, 1203096, 1258621, 1103919, 1102819, 1201769, 1201649, 1259353, 1200987, 1203235, 1201700, 1103990, 1259333, 1201069, 1201172, 1258974, 1202992, 1102867, 1200330, 1202651, 1103136, 1103174, 1200526]","[987619, 987333, 988047, 1172987, 987652, 987831, 1229902, 987582, 987903, 987403, 987776, 987663, 987447, 987519, 987876, 987404, 987489, 988004, 987678, 1229874, 987555, 987321, 987704, 987889, 1229961, 987601, 987949, 987759, 987803, 988031, 987496, 987988, 987386, 987497, 1173058, 987656, 988075, 987479, 987977, 1229894, 1229911, 1229912, 1229968, 987560, 987802, 987541, 987946, 987325, 1229935, 1229951, 987375, 1172977, 987355, 987623, 1173020, 987723, 987969, 987461, 987719, 1172973, 987339, 987791, 987739, 987389, 988088, 987384, 1172999, 987775, 987765, 987737, 987526, 987900, 1173056, 987845, 987691, 1173053, 987537, 1229892, 987930, 1173010, 987438, 987735, 1173042, 987700, 987706, 987409, 987730, 987815, 988070, 987747, 987567, 987750, 987648, 987513, 987351, 987629, 987659, 987766, 987459, 987397, 987573, 987829, 987736, 987753, 988011, 987994, 987712, 987937, 987425, 987606, 987439, 987441, 987993, 987813, 988032, 987868, 987594, 987376, 987902, 987511, 1229876, 987336, 987933, 1229921, 1173060, 987842, 987960, 987834, 987502, 987552, 987553, 987755, 1173006, 988081, 987642, 987366, 1229904, 1229878, 987901, 1173044, 987692, 987727, 987507, 987952, 987602, 987575, 988014, 1173036, 1229900, 987783, 987852, 987980, 988061, 987929, 987475, 987968, 987875, 987382, 987328, 987699, 987657, 1229909, 1173049, 987363, 987995, 1173041, 1229939, 987684]","{'PRP': 0.08245533161714856, 'of': 0.06895252901659873, 'sentiment': 0.06726639556099688, 'NN': 0.05315875802039891, 'VB': 0.04760712214036857, 'NNS': 0.036125071018459874, 'IN': 0.035773609983027845, 'DT': 0.03475842013662636, 'the': 0.031525834175468115, 'have': 0.027741659458753194}"
0.48,0.39490909090909093,0.4542857142857143,0.48,0.62182,0,0.855,0.168,0.42,0.105,"[1258401, 1259253, 1259572, 1154751, 1257421, 1201624, 1103673, 1101994, 1259205, 1203369, 1259603, 1258364, 1200478, 1202764, 1202455, 1102153, 1258287, 1202115, 1258150, 1257895, 1202542, 1257890, 1103920, 1202011, 1104295, 1200721, 839388, 1258189, 1257138]","[987409, 987559, 1229878, 1172993, 1172976, 987708, 987469, 987910, 1172974, 987607, 1229925, 987421, 987797, 988008, 1229945, 987933, 987572, 988029, 987751, 987814, 987904, 987885, 1229950, 987826, 987970, 1229886, 987858, 1173056, 988094, 987988, 987490, 1229942, 987919, 987336, 987729, 1229905, 987951, 1173048, 987847, 987713, 987644, 1173035, 987356, 987964, 988059, 987934, 987617, 988006, 987871, 1172994, 987453, 987993, 1229877, 987706, 987371, 987827, 1229879, 987907, 987606, 987987, 1172970, 987593, 987498, 987426, 1173058, 988065, 987558, 1173030, 1229913, 987476, 988061, 987333, 1229926, 987957, 987367, 987701, 987665, 987523, 987363, 987916, 987752, 987753, 987984, 987597, 988033, 987879, 987719, 987391, 1229969, 987684, 987854, 987471, 1229921, 987664, 987511, 987499, 987937, 987629, 987550, 987930, 987647, 987543, 987605, 987838, 987659, 987887, 987972, 987750, 987329, 987943, 987341, 987868, 987423, 987528, 987309, 988049, 987715, 987762, 1229893, 987624, 987362, 987794, 987999, 988067, 1172969, 987980, 987685, 987721, 987630, 987331, 987918, 987971, 987773, 987603, 987672, 987811, 987816, 987898, 987923, 1172972, 988086, 988053, 987560, 987710, 987592, 987653, 1229881, 1173024, 987948, 987527, 988072, 987833, 987818, 1229961, 987963, 987649, 987591, 987337, 1229964, 987891, 1173000, 987565, 987950, 987452, 987446, 987435, 987575, 987756, 987618, 987361, 1229917, 1229967, 1173019, 987466, 987470, 987897, 987484, 1173015, 1173001]","{'of': 0.08044774261094258, 'sentiment': 0.06645040843596582, 'PRP': 0.061916825406053276, 'NN': 0.06174317421509363, 'VB': 0.05474605623276948, 'IN': 0.03712770835242385, 'to': 0.036968746856780914, 'DT': 0.03503026440663409, 'RB': 0.02992355398056024, 'have': 0.029693735015995665}"
0.505,0.41071428571428575,0.5138888888888888,0.505,0.64643,1,0.905,0.175,0.525,0.105,"[1202812, 1258206, 1259287, 1258390, 1202956, 1103452, 1259186, 839516, 1258905, 1102683, 1259930, 1258871, 839794, 1259295, 1202491, 1259131, 1258237, 1201256, 1257480]","[987822, 987711, 987394, 987805, 987994, 1229970, 987694, 987546, 987570, 987313, 987502, 987883, 987938, 987959, 987764, 1229945, 988084, 987361, 987467, 987527, 1173006, 987327, 987364, 1229901, 988070, 1229963, 987745, 1172993, 987461, 987716, 988030, 987674, 1229921, 987828, 987726, 1173039, 987343, 987633, 987699, 987689, 1229900, 987574, 987384, 987676, 987511, 987928, 987889, 987572, 987597, 987817, 987419, 1229927, 987311, 987857, 987686, 1173044, 987725, 987340, 987571, 987779, 988040, 987568, 987331, 987996, 1229875, 987893, 987972, 987322, 987569, 987387, 987478, 987628, 987639, 1173063, 987463, 1229904, 1229940, 987905, 987401, 987555, 1173045, 988043, 987942, 1173048, 987999, 987360, 1173004, 988083, 987614, 987647, 1173009, 987659, 987755, 987563, 987438, 987929, 1173030, 987667, 987484, 987369, 1229964, 988037, 987470, 987843, 987701, 987583, 1173060, 987904, 987949, 987715, 1173025, 987835, 987957, 987359, 987782, 1229950, 987665, 987802, 987334, 987946, 987622, 987878, 988025, 1172973, 987398, 988091, 987545, 987339, 1229908, 1229902, 988012, 987653, 987895, 987397, 987733, 987335, 987671, 1229888, 988015, 987552, 987613, 987690, 987521, 987631, 987867, 988021, 1229930, 987490, 987320, 987636, 987487, 987396, 1172996, 1229947, 987510, 987466, 988049, 988034, 987400, 987922, 987601, 987933, 987827, 987411, 987891, 987829, 987547, 988010, 988074, 987887, 987465, 987386, 987421, 987908, 987774, 987813, 987740, 1173058, 987710]","{'PRP': 0.0675952240570769, 'of': 0.06247772895085596, 'IN': 0.053341177735729446, 'VB': 0.05261770338324953, 'NN': 0.04928560370782699, 'sentiment': 0.04807902920531191, 'NNS': 0.04042163633791514, 'i': 0.034833331313455375, 'have': 0.03448200533909607, 'DT': 0.03188898786017349}"
