accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.435,0.3139873725109276,0.27921195652173914,0.435,0.60211,0,0.855,0.02586206896551724,0.09375,0.015,"[1257260, 1258228, 1258601, 1200631, 1260035, 839571, 1200587, 1257854, 1257482, 1201334, 1201738, 1202479, 1103788, 1202527, 1103643, 1103800, 1202700, 1103343, 1257325, 1201681, 1154689, 1202675, 1102398, 840018, 1258921, 1202926, 1201470, 1102975, 1102295]","[985199, 985646, 985672, 985595, 985569, 985224, 985800, 985211, 985380, 985938, 985371, 985464, 985405, 985528, 1229672, 985551, 985723, 985656, 985434, 985829, 1172792, 985679, 985289, 985237, 985251, 985786, 985739, 985900, 985193, 985655, 985599, 985413, 985831, 985893, 985773, 985883, 985252, 1172767, 1229674, 1172708, 985223, 985682, 985715, 1229698, 985354, 985917, 1229652, 1229628, 1172731, 985818, 1172711, 985608, 985559, 985370, 985756, 985821, 1172709, 985210, 985771, 985832, 985189, 985931, 985906, 985302, 1229668, 1229630, 985713, 1229640, 985753, 985186, 985693, 1172736, 985271, 1229660, 985590, 985318, 985187, 1229679, 1229685, 985837, 985420, 985562, 985796, 985329, 985732, 985417, 985913, 985882, 985526, 985324, 985466, 985214, 985373, 1172740, 985640, 985617, 985446, 1229673, 985797, 985267, 985221, 1229657, 985889, 985301, 985483, 985702, 985521, 985322, 985678, 985201, 985867, 985802, 1229704, 985571, 985225, 985692, 985718, 985643, 1229684, 985820, 985239, 985697, 985663, 985937, 985473, 1229629, 985703, 985776, 985331, 985219, 985838, 985426, 985293, 985441, 985545, 985898, 985872, 985864, 985816, 985612, 985229, 985851, 985905, 985778, 985198, 985782, 1229643, 1172746, 985504, 985873, 985580, 985246, 985892, 985657, 985254, 985453, 985609, 985327, 1172788, 985790, 1172728, 985855, 985443, 985448, 1172795, 1229683, 985493, 1172757, 985538, 985567, 985749, 1229638, 1229687, 1172779, 985775, 985754, 985769, 985926, 985824, 985667, 985849, 985928, 1229646, 985600, 985298, 985757, 985601, 985859, 1172797, 985367, 1229662, 985536, 985258, 1172772, 985901, 985879, 985577]","{'PRP': 0.07815759518762175, 'of': 0.0599148424530642, 'VB': 0.05727956214624315, 'NN': 0.052916845740084525, 'sentiment': 0.05238174962474063, 'to': 0.03950960808489137, 'IN': 0.03886325737315051, 'DT': 0.03428432798983719, 'mean_sen_len': 0.03317281541214796, 'have': 0.03225384316653204}"
0.4775,0.33136582127632347,0.3211091234347048,0.4775,0.64395,0,0.945,0.018779342723004695,0.15384615384615385,0.01,"[1103481, 840074, 1202599, 1203080, 1201012, 1257460, 1103883, 1260193, 1257369, 1200316, 1103892]","[1229681, 985839, 1229619, 985759, 985359, 985317, 1229652, 1229643, 985581, 985470, 985366, 985648, 985547, 1172756, 1229634, 985718, 985453, 985821, 985490, 1172739, 985253, 985552, 985254, 985242, 985646, 985838, 1172760, 985198, 985828, 985235, 985318, 985479, 985710, 985781, 985874, 985485, 985841, 985853, 985499, 985683, 1229701, 985657, 1172735, 985194, 985733, 985196, 1229690, 985405, 985538, 985426, 985576, 985623, 985925, 985638, 985649, 985778, 985354, 985540, 985817, 985502, 985929, 985228, 985397, 985371, 985204, 1172706, 985456, 985384, 985261, 985634, 985810, 1229682, 1229628, 985875, 985537, 985688, 985236, 985367, 1229680, 985825, 985421, 985555, 1172763, 985743, 985383, 985795, 985522, 985299, 985448, 985561, 1172710, 985793, 985337, 985829, 1229685, 1229700, 985385, 1229632, 985742, 985319, 985195, 985656, 1172752, 985469, 985721, 985679, 985273, 1172712, 1172729, 985200, 985924, 985771, 985865, 1172742, 985255, 985514, 985699, 1172781, 985599, 985837, 1229692, 985551, 985358, 985220, 985211, 985913, 1229615, 985562, 985862, 985918, 985498, 985682, 1172772, 985763, 985819, 985860, 985326, 985342, 985667, 985376, 985391, 1172768, 985394, 1172746, 985560, 985653, 985361, 985564, 985408, 985859, 985617, 1172758, 985920, 985528, 985757, 985575, 985773, 985786, 985302, 985573, 985536, 985605, 985281, 985887, 985451, 985396, 985431, 985262, 985671, 985188, 985789, 985258, 985858, 985872, 1229667, 985608, 985615, 1229686, 985885, 985267, 985866, 985402, 985797, 985842, 985323, 985725, 1172741, 1172789, 985533, 1229669, 985563, 985703, 985922, 985855, 1172774, 985596, 985291, 1229679]","{'PRP': 0.08427721759993827, 'NN': 0.06127278679384977, 'of': 0.05852239012382401, 'VB': 0.05633693870029265, 'sentiment': 0.05312268476155117, 'DT': 0.04411561598861182, 'mean_sen_len': 0.03936286696429086, 'IN': 0.035315164783862714, 'the': 0.03187866561863076, 'NNS': 0.027187274008603615}"
0.4425,0.31053140096618354,0.25466666666666665,0.4425,0.61217,0,0.88,0.008888888888888889,0.04,0.005,"[1103068, 1200981, 1154748, 1201599, 1103721, 1260235, 1102863, 1257303, 1201568, 1258483, 1202264, 1103258, 1103312, 1202733, 1259970, 1202115, 1258989, 1200836, 1201865, 1258662, 1202622, 1201436, 1203321, 1260149]","[1229694, 985543, 1229641, 985808, 985265, 985904, 985783, 985555, 985490, 985444, 985294, 1229668, 985901, 1229625, 985395, 985897, 985527, 985568, 985921, 985735, 985610, 985627, 985767, 1229621, 985193, 1172744, 985501, 1172782, 1172776, 985865, 985496, 1229701, 985727, 985793, 1229650, 985607, 985745, 985743, 985823, 1229665, 985646, 985648, 985720, 985825, 985633, 985518, 1172743, 985270, 985779, 985480, 1229691, 985253, 985585, 985673, 985879, 985766, 985354, 985780, 985405, 985479, 985450, 985608, 985435, 985932, 985385, 985615, 985728, 985829, 985746, 985188, 985625, 985729, 985927, 985358, 985245, 985330, 985592, 985406, 985415, 985259, 1172734, 985393, 985392, 985465, 985482, 985232, 1229673, 985493, 985685, 985596, 985910, 985730, 985521, 985713, 985703, 985777, 1172797, 985255, 985647, 985905, 985711, 985440, 985702, 985233, 1172794, 985591, 1229636, 1172708, 985550, 985734, 985362, 985379, 985893, 985309, 985325, 985390, 985762, 985535, 985742, 985634, 985672, 985705, 985454, 985519, 985771, 985573, 985839, 1229660, 985284, 985298, 985919, 985262, 985885, 985629, 985246, 1229654, 985502, 985267, 985722, 985432, 985464, 1172786, 985291, 985202, 985191, 985194, 985477, 985636, 1229700, 985409, 985674, 985664, 985652, 985402, 985422, 985571, 985307, 985691, 985907, 985227, 985408, 985500, 985346, 985683, 985192, 1172706, 985463, 985764, 985581, 985208, 985445, 1172775, 985889, 985497, 985275, 985329, 1172739, 1229632, 985848, 985269, 985285, 985263, 1172745, 985552, 1229648, 985789, 985376, 985754, 1172717, 985739, 985290, 1172792, 985369, 985874, 985470, 1229661, 1229688, 985626, 985936]","{'sentiment': 0.0761854229768659, 'of': 0.07497281278215007, 'PRP': 0.0715557851736785, 'NN': 0.05529862236223156, 'VB': 0.042511153532259406, 'DT': 0.036000714425585875, 'IN': 0.03543870275933914, 'have': 0.02944315839596801, 'RB': 0.029049718532061994, 'i': 0.02745397802717751}"
0.455,0.324156746031746,0.300531914893617,0.455,0.62153,0,0.895,0.026785714285714284,0.125,0.015,"[1201256, 1102670, 1200834, 1200789, 1202163, 1102867, 1259574, 1104136, 1259226, 1103326, 1102020, 1201972, 1258573, 1258157, 1202115, 1102153, 1103040, 1257578, 1200701, 1260251, 839393]","[985585, 985598, 985630, 985441, 985368, 985558, 985570, 1229638, 985938, 985306, 985388, 985771, 985350, 1229654, 985400, 985546, 985845, 985732, 1229675, 985408, 985856, 1172746, 985530, 985712, 985315, 985899, 985481, 985322, 985569, 985409, 985571, 985685, 985859, 1229686, 985300, 985861, 985284, 1172795, 985888, 985397, 985851, 985345, 1229665, 985510, 1172775, 985751, 985794, 985484, 985773, 985793, 985936, 1172756, 985688, 985644, 985212, 985246, 985503, 985628, 1229626, 985931, 1172774, 985421, 1172722, 1172793, 985301, 985784, 985543, 985746, 985802, 985542, 985742, 985505, 985391, 985619, 985318, 1229694, 985574, 985262, 985442, 1172742, 985813, 985203, 985853, 985229, 985716, 985476, 985422, 985418, 985892, 985227, 985677, 985827, 985432, 1172724, 985194, 985532, 985508, 985392, 985734, 985399, 985928, 1229666, 1229649, 985389, 985780, 985629, 985283, 985898, 985529, 985468, 985800, 985699, 985361, 985656, 985664, 985647, 985731, 985321, 985493, 1172737, 985653, 1229623, 1172785, 985678, 985354, 985790, 985765, 985395, 1229701, 985684, 985757, 985520, 985850, 985417, 985878, 1172711, 1229674, 985607, 1229632, 985464, 985379, 985234, 985326, 985264, 985359, 985463, 1172738, 985393, 985714, 1172759, 985507, 985267, 985243, 985538, 985487, 985690, 1229620, 985645, 985595, 985877, 1229652, 985555, 985357, 985559, 985809, 985244, 985781, 1229616, 1172734, 1172709, 985186, 985791, 1172713, 985933, 985237, 985513, 985854, 985467, 985245, 985210, 985865, 1172786, 985918, 985335, 985440, 985271, 1172747, 985646, 985609, 985725, 985786, 1229615, 985829, 985696, 985806, 985812, 985429]","{'PRP': 0.0745342900562727, 'of': 0.06891942867965369, 'sentiment': 0.05694484570420929, 'VB': 0.05411333764570424, 'NN': 0.05244335575401881, 'to': 0.037342582839561295, 'RB': 0.036753178798453065, 'DT': 0.03469543801752077, 'IN': 0.03441552159672818, 'mean_sen_len': 0.03179763101889435}"
0.42,0.29932650780707315,0.24284795885567342,0.42,0.59011,0,0.835,0.008547008547008548,0.029411764705882353,0.005,"[1200386, 840057, 1203020, 1103933, 1202551, 1202046, 1102926, 1259647, 1201389, 1103544, 1211573, 839679, 839606, 1257317, 1259553, 1202455, 1202713, 1202884, 1201513, 1103830, 1203284, 1202016, 1260128, 1257901, 840049, 1201546, 1257268, 1201661, 1200428, 1259672, 1202386, 839455, 839404]","[985277, 985706, 985378, 985744, 985239, 1172790, 985464, 985451, 985636, 985841, 985312, 1172707, 985411, 985428, 985684, 985882, 985187, 1172760, 985846, 985370, 985728, 1229646, 985507, 985809, 1172743, 1229690, 985439, 985296, 985373, 985310, 985690, 1172714, 1229670, 1172752, 985410, 1172750, 985253, 985922, 985907, 985424, 985203, 985219, 985765, 985270, 1172776, 985336, 985626, 985635, 985374, 985661, 985594, 985795, 985928, 985733, 985586, 985637, 985331, 985617, 985608, 985387, 1172780, 985762, 985672, 985703, 985887, 985473, 985639, 985530, 985577, 985320, 985308, 985666, 985564, 985484, 985750, 1229647, 985409, 985515, 985667, 1172722, 1172713, 985738, 985858, 985920, 985319, 985867, 985293, 985855, 985757, 985574, 1172724, 985578, 985601, 985328, 985223, 1229665, 985211, 1229624, 985285, 1229637, 1229684, 985643, 985196, 985711, 985365, 985283, 985655, 985229, 985371, 985207, 985620, 1172717, 1172770, 985606, 985499, 985838, 985218, 985588, 1172763, 985256, 1172716, 985580, 1172715, 1172792, 985222, 985394, 985595, 985429, 985405, 985216, 985589, 985671, 985755, 985418, 985825, 985866, 985453, 985822, 985600, 985329, 985816, 985691, 985197, 985258, 985914, 1229619, 985217, 985547, 985582, 985380, 1172709, 1172786, 985604, 1229639, 985863, 985404, 985819, 1172747, 1229626, 985284, 985670, 985356, 1229686, 985491, 1229640, 1229695, 985426, 985607, 985337, 985811, 985317, 985339, 985852, 985870, 1229671, 985330, 985240, 985359, 985581, 985927, 985540, 985880, 985764, 985623, 1172794, 985524, 985454, 1229681, 985415, 985309, 985921, 1172751, 985496, 985406, 985910, 985243, 1229627, 985915, 985442]","{'PRP': 0.07239886183349953, 'of': 0.06268909317217876, 'VB': 0.056325890609296964, 'sentiment': 0.05521762973733787, 'NN': 0.05055266839387478, 'NNS': 0.04159293269797203, 'have': 0.04142118222773265, 'i': 0.036747825215503044, 'IN': 0.03244168063590834, 'the': 0.031499960830547825}"
0.435,0.3139873725109276,0.27921195652173914,0.435,0.60211,0,0.855,0.02586206896551724,0.09375,0.015,"[1259002, 1259297, 1202079, 1202414, 1200376, 1259638, 1202509, 1258157, 1201334, 1258814, 1257204, 1102853, 1202992, 1200663, 1202177, 1104255, 1154763, 1102979, 1258003, 1259389, 1102993, 1202876, 1103800, 1202083, 1201600, 1202413, 839611, 1260035, 1257142]","[985802, 985765, 985423, 1172757, 985261, 985601, 985560, 1172743, 985270, 985596, 1229628, 1229629, 985815, 985664, 985851, 985842, 985274, 985786, 1172734, 1172780, 985890, 985492, 985437, 985491, 985299, 985694, 985861, 985559, 985375, 1229699, 985870, 985219, 985347, 1172721, 1229632, 985574, 985931, 985212, 1172714, 985360, 985579, 1172752, 985741, 1229644, 985359, 985418, 985340, 985569, 985435, 985207, 985600, 1172751, 1229659, 1229615, 985282, 985701, 985247, 1172750, 985898, 1172738, 985882, 985369, 985713, 985850, 1229679, 985510, 985697, 985485, 985504, 985792, 985608, 985617, 985625, 985937, 985742, 985531, 985223, 985766, 1172778, 985461, 1172709, 985859, 985507, 985520, 985751, 985706, 1172733, 985736, 985740, 1229658, 985501, 985203, 1172746, 985374, 985386, 985319, 985607, 985563, 985816, 985548, 985235, 985801, 985448, 985663, 985372, 985734, 985278, 1172794, 985719, 985550, 985915, 1229642, 1229660, 1172788, 1229705, 985329, 985907, 985855, 985884, 985611, 985784, 1172795, 985871, 985809, 1172717, 985716, 985629, 985288, 985680, 985367, 1229633, 1172774, 1172725, 985479, 1172744, 985627, 985798, 985541, 1229697, 985790, 985652, 1229627, 985380, 1172759, 985589, 985918, 1172736, 985195, 1229617, 985419, 985743, 985707, 985804, 985852, 1229623, 985758, 985350, 985280, 985820, 985923, 985542, 985447, 985373, 985825, 985307, 985227, 985295, 1172789, 985666, 985671, 985326, 985920, 985294, 1172722, 985188, 985693, 985390, 985243, 985362, 1229673, 985807, 985332, 985772, 985298, 985702, 985837, 1172749, 985232, 985905, 985258, 985661, 985245, 985886, 985546, 985599, 985231, 985515]","{'of': 0.06996317606181346, 'PRP': 0.06361108767132025, 'sentiment': 0.06060261886544397, 'VB': 0.05467201049181883, 'NN': 0.04972035665595699, 'IN': 0.046766661774562915, 'DT': 0.04236312946402969, 'i': 0.030476005073187325, 'have': 0.03039006065966694, 'NNS': 0.029243696563806938}"
0.4525,0.33353114372446535,0.33390156482209987,0.4525,0.61511,0,0.875,0.05194805194805195,0.1935483870967742,0.03,"[1103975, 1200651, 1258594, 1102401, 1202790, 839501, 1200528, 1103919, 1200838, 1259601, 1258125, 1103530, 1103935, 1202386, 1201700, 1258376, 1201204, 1211488, 1259825, 1211551, 1258576, 1102656, 839498, 1201284, 1203004]","[985631, 985661, 985805, 985821, 985904, 985487, 985486, 985900, 1172759, 985304, 985662, 985652, 985772, 985689, 985212, 985627, 985229, 985531, 1229698, 985669, 1172755, 985725, 985279, 985341, 985814, 985788, 985590, 985898, 1229652, 985749, 985721, 985865, 1229620, 985295, 985366, 985646, 985537, 985489, 985232, 985294, 985515, 985647, 985850, 985867, 985600, 985903, 1172773, 985192, 985789, 985740, 1172734, 985447, 985637, 985291, 985926, 985314, 985352, 985779, 985928, 985460, 1229635, 985235, 985301, 985546, 985499, 1229675, 985840, 985434, 985504, 1229703, 985812, 985807, 985597, 985355, 985925, 985741, 985679, 985876, 985877, 1229641, 985476, 1172711, 985800, 985440, 1172747, 985678, 985416, 985743, 985564, 985263, 1229704, 985785, 1172748, 1172774, 985284, 985202, 1172717, 985618, 985615, 985642, 985371, 1172793, 1172746, 985224, 985228, 985305, 985630, 985303, 985293, 985320, 1172764, 985200, 985693, 985750, 985551, 985261, 985593, 1229628, 985496, 985323, 1172737, 985448, 985217, 985552, 985826, 1229690, 985770, 985411, 985831, 985691, 1172756, 985472, 985503, 985337, 985699, 985517, 985530, 985701, 985392, 985204, 985234, 985854, 985778, 985426, 1229687, 985511, 985277, 985198, 985648, 985786, 985570, 1172741, 985191, 985734, 1229645, 1229701, 985330, 985784, 985309, 1229636, 985844, 1172769, 985602, 985930, 985708, 985910, 985716, 985547, 985589, 985576, 985617, 985415, 985230, 985422, 1229661, 1229696, 985907, 985737, 985194, 985548, 985623, 985651, 985389, 985326, 985596, 985250, 985409, 985260, 985278, 985451, 1229625, 985522, 1229693, 985185]","{'PRP': 0.08369879097473701, 'of': 0.07206211736874477, 'VB': 0.05541197778743383, 'sentiment': 0.05160867518001154, 'NN': 0.049033376599356575, 'have': 0.039720231896660615, 'to': 0.03685888786221408, 'IN': 0.03623827448667958, 'NNS': 0.036132974133332954, 'DT': 0.030549838574100197}"
0.445,0.319101950680898,0.2887864823348695,0.445,0.61189,0,0.875,0.02631578947368421,0.10714285714285714,0.015,"[1257706, 1103963, 839499, 839498, 1202384, 1200743, 1202021, 1259905, 1259736, 1103753, 1203107, 1259903, 1202465, 1104273, 1202694, 1257483, 1259440, 1103828, 1202680, 1201237, 1259450, 1200374, 1200347, 1202129, 1259414]","[1172719, 985658, 1229685, 1229631, 985486, 985742, 985723, 985366, 985754, 1172738, 985756, 985303, 985535, 985819, 985738, 985899, 1229694, 985743, 985285, 985426, 985315, 1229655, 985356, 985464, 985838, 985479, 985620, 985643, 985202, 985444, 985249, 985318, 985431, 985296, 985591, 985291, 985661, 985325, 985880, 985287, 985559, 985872, 985418, 985905, 985270, 1229629, 985762, 1229618, 985218, 985753, 985480, 985331, 985338, 985877, 985691, 985398, 985310, 985386, 985244, 985320, 985453, 985929, 985267, 985574, 985735, 985885, 1229668, 985344, 985254, 985624, 985251, 985760, 985352, 985917, 985710, 985341, 985727, 985210, 985807, 985215, 985798, 985226, 985477, 985353, 985883, 985707, 1229701, 1172796, 985938, 985856, 985532, 985367, 1172743, 985519, 985262, 985663, 1172786, 1229649, 1172771, 985405, 985932, 985625, 985558, 985834, 985726, 985635, 985616, 985920, 1229638, 985308, 985737, 985703, 985521, 985253, 985931, 1229630, 985531, 985309, 985581, 985422, 985937, 985237, 985293, 985299, 985403, 1172751, 985330, 1172729, 1172744, 985864, 1229626, 985536, 985424, 985283, 985636, 1229673, 985829, 985515, 1229698, 985907, 985669, 985716, 1229690, 985443, 985264, 985311, 985433, 985684, 1172707, 1229665, 985730, 985859, 985886, 985455, 985553, 985240, 1229670, 985814, 1229632, 985777, 985467, 1229619, 985855, 985912, 985404, 985537, 1172748, 985607, 985901, 985908, 985915, 985587, 985427, 985349, 985289, 1229615, 985359, 1172776, 985916, 985876, 985793, 985621, 985343, 985534, 985263, 1172788, 985811, 985188, 985377, 985224, 985586, 985666, 985482, 985198, 985350, 985348, 1229667]","{'of': 0.07558510496168187, 'sentiment': 0.07036940062120428, 'PRP': 0.07020767594205025, 'NN': 0.05938514356970317, 'VB': 0.051760191979448845, 'DT': 0.042296811800945695, 'have': 0.04112336566343076, 'IN': 0.03582986777124117, 'the': 0.030281684269797007, 'to': 0.02998411794416155}"
0.4825,0.3416815742397138,0.37878787878787884,0.4825,0.64615,0,0.945,0.037209302325581395,0.26666666666666666,0.02,"[1202963, 1257143, 1201751, 1258890, 1259235, 1259331, 1202884, 1258351, 1201914, 1258341, 1201334]","[985879, 985809, 985214, 985303, 985273, 985823, 1172774, 985810, 985847, 1172786, 985189, 985226, 985415, 985320, 985201, 985771, 985755, 985592, 985461, 985791, 985871, 985833, 985882, 985829, 985572, 1229644, 985510, 1172754, 985707, 985933, 985909, 985792, 985355, 985764, 985937, 985848, 985276, 985465, 985602, 985223, 985224, 985668, 985630, 985228, 985921, 1172716, 985781, 1229625, 985294, 985279, 985754, 985321, 985674, 985437, 985675, 985222, 985838, 985364, 985300, 985730, 1172715, 985610, 985243, 985854, 985395, 985381, 985629, 1229649, 985455, 985718, 985327, 985318, 1229701, 985394, 985277, 985363, 985799, 985553, 985825, 985661, 985747, 985494, 985343, 985251, 985577, 985923, 985672, 985841, 985828, 985245, 985314, 985716, 985857, 985681, 985711, 985733, 1229645, 985901, 985751, 985227, 1172711, 985892, 985475, 985287, 985360, 985547, 985627, 985261, 985634, 985671, 985822, 985820, 1172778, 985274, 985236, 985220, 985308, 985667, 985472, 985421, 985534, 985753, 1172709, 985315, 985238, 1172712, 985798, 985353, 985721, 985551, 985371, 985640, 1172761, 1172764, 1229660, 985361, 985763, 985211, 985511, 985745, 985625, 985859, 985218, 985837, 985199, 985490, 985542, 985450, 985337, 985441, 985393, 985735, 985301, 985467, 1172747, 1172730, 985601, 985521, 985588, 985876, 985761, 985270, 985865, 1229705, 985539, 1229704, 985359, 985271, 985935, 985912, 985748, 1172784, 1172737, 1172791, 985554, 1229692, 985731, 985325, 985404, 985384, 1172769, 985444, 1172752, 1229681, 985272, 985905, 985758, 985203, 985818, 985595, 985335, 985936, 985334, 985513, 985566, 985295]","{'PRP': 0.06921955152047567, 'sentiment': 0.06542792879490485, 'of': 0.056812702845748436, 'NN': 0.05579984400994809, 'VB': 0.047005273812252266, 'mean_sen_len': 0.0427690601462443, 'have': 0.040207531208158905, 'IN': 0.039769834027484706, 'DT': 0.03837420674932089, 'RB': 0.03308644602601577}"
0.395,0.29600000000000004,0.26,0.395,0.56,0,0.77,0.032,0.08,0.02,"[1258270, 1257893, 1102278, 1259494, 1257432, 1103609, 1258107, 839634, 1202491, 1103163, 1259782, 839900, 1258133, 839495, 1102484, 1259239, 1200663, 1200515, 1103938, 839670, 1257613, 1258434, 1259475, 1200639, 1104054, 1259997, 1203188, 1257637, 1104056, 1102892, 1201409, 839905, 1258453, 1103357, 1258947, 1102097, 1201426, 1260279, 1102578, 839948, 1104210, 1102182, 1258563, 1102652, 1200916, 1201024]","[985855, 985211, 1172727, 985906, 985559, 1229616, 1172713, 985893, 985850, 985933, 985573, 985479, 1172737, 985909, 1229694, 985810, 985349, 985608, 985375, 985503, 985317, 1229698, 985472, 985749, 985274, 1229634, 985366, 985437, 1229641, 1172750, 1229637, 985783, 985336, 985671, 985492, 1172730, 985534, 985235, 1172728, 985346, 985581, 985454, 985758, 985748, 985616, 1172747, 985777, 985379, 985590, 985817, 985350, 985865, 985712, 1229686, 985877, 985646, 985677, 985501, 985722, 985247, 985805, 985397, 985876, 985768, 985717, 985292, 985369, 1229649, 985693, 985456, 985820, 1172718, 985880, 985327, 985319, 985870, 985924, 985222, 985726, 985895, 985659, 1172740, 985632, 1172714, 985322, 985644, 985851, 985364, 985806, 985515, 985595, 985385, 985261, 985361, 1172729, 1229635, 985343, 985463, 985849, 1229696, 1172711, 985789, 985932, 985698, 985773, 985604, 985359, 1229640, 985627, 985416, 985639, 985709, 985348, 985351, 1172794, 985218, 1229638, 985347, 985823, 985655, 985853, 985879, 985272, 985206, 985857, 985874, 985376, 985623, 985557, 1229662, 985882, 985389, 985299, 985703, 985516, 985356, 985618, 985288, 1172776, 1172722, 985424, 985263, 985405, 985279, 985226, 985390, 985634, 985401, 1229648, 1172749, 985371, 985219, 985223, 985675, 1172753, 985652, 985729, 1229623, 985414, 985596, 1229689, 985843, 1229675, 1229687, 985708, 985766, 985431, 985854, 985190, 985801, 985497, 985547, 985435, 985469, 985457, 985647, 985426, 985922, 985603, 985753, 985303, 985234, 985589, 985478, 1172745, 1229636, 985614, 985488, 985869, 985358, 985378, 985282, 985741, 1229688, 985441, 985205]","{'PRP': 0.0796386990080036, 'of': 0.06830462214884465, 'sentiment': 0.06552710179974303, 'NN': 0.05672114425686182, 'VB': 0.0457757202580214, 'have': 0.04364280693527262, 'IN': 0.034321857598213226, 'NNS': 0.03247450518277238, 'to': 0.03244696536978504, 'DT': 0.03200267043237247}"
