accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.4175,0.2945326278659612,0.22752043596730245,0.4175,0.58907,0,0.835,0.0,0.0,0.0,"[1202368, 1103481, 1201294, 1102474, 839546, 1257483, 1201495, 1260274, 1257999, 1258400, 1203143, 1259560, 1257157, 1103653, 839287, 1202267, 1258044, 1154703, 1103920, 1257210, 1103732, 839421, 1104055, 1203106, 1202608, 1203341, 1201547, 1259215, 1200834, 1104019, 1200622, 1201994, 1202915]","[988460, 988311, 988674, 988703, 988187, 988123, 988499, 988613, 988625, 988654, 988523, 988781, 988560, 988796, 988243, 988235, 988117, 1230054, 988418, 988741, 988641, 1230021, 1229989, 988753, 988298, 988713, 988145, 1229984, 988372, 988219, 988586, 988758, 988247, 988749, 988590, 988131, 988662, 988263, 988176, 1230044, 988173, 988660, 988792, 988157, 988632, 988600, 988738, 988399, 1173098, 1230058, 988649, 1173095, 988359, 988181, 988755, 988156, 1173102, 988240, 988646, 988120, 988424, 988483, 1230014, 988599, 988273, 988362, 988325, 988309, 988715, 988406, 988537, 988287, 988104, 988489, 1230006, 1173080, 988303, 988254, 1173083, 988310, 988497, 988328, 1229975, 988230, 1230032, 988267, 988383, 988334, 988572, 988313, 988529, 988582, 988141, 988459, 988650, 988612, 988528, 988517, 988441, 1173142, 1173092, 988434, 988759, 988163, 988772, 988470, 1173148, 988717, 988676, 988636, 988603, 988232, 1173130, 988114, 988404, 988789, 988551, 1173105, 988397, 988435, 1173090, 988378, 988799, 988111, 988276, 988544, 988721, 988128, 988608, 988697, 1173143, 988391, 988535, 988346, 1230055, 988706, 988098, 988777, 988352, 988480, 988109, 988567, 988426, 988112, 1173107, 988791, 988455, 1173125, 988709, 1230040, 988450, 988542, 988597, 1229973, 988472, 988634, 1230056, 988554, 988561, 988684, 988211, 988546, 1173076, 988700, 988770, 988349, 988425, 1173138, 988695, 988228, 988199, 988284, 1230031, 988245, 988307, 1230034, 1229998, 988244, 1173109, 1173086, 988385, 988433, 988804, 988509, 988127, 988300, 1173151, 988767, 988217, 988203, 1230039, 988764, 1230046, 1229993, 988411, 1230018, 988490, 988466, 1230035, 988237]","{'PRP': 0.0724576550901115, 'of': 0.06020317313820616, 'NN': 0.05934121215111118, 'VB': 0.058267495874726925, 'sentiment': 0.05774818064127417, 'to': 0.0395568967425111, 'DT': 0.03842167867534792, 'IN': 0.038190537287779144, 'the': 0.038086550573027594, 'NNS': 0.031292769641428686}"
0.46,0.3228840125391849,0.2894736842105263,0.46,0.62759,0,0.91,0.01818181818181818,0.1,0.01,"[1200721, 1259739, 1260068, 1154767, 1203210, 1200995, 839758, 1201237, 1102351, 1259858, 839857, 839856, 1102766, 1259672, 1257425, 1202331, 1201227, 1202011]","[988758, 988294, 988522, 988552, 1173139, 1173147, 1229993, 988640, 1230031, 1230048, 988399, 988251, 988421, 988588, 988678, 988127, 988774, 988122, 988277, 988371, 988383, 988448, 988590, 988108, 988263, 1229982, 1230057, 988646, 988720, 1230018, 1230049, 988743, 988171, 988583, 1229998, 988199, 988584, 988175, 988197, 988107, 988669, 1173131, 988521, 988153, 988661, 988799, 988333, 988133, 988212, 988693, 988473, 1173117, 988563, 988489, 988439, 988776, 988098, 988338, 988540, 1229985, 988205, 1230011, 988341, 988129, 1229977, 988244, 988469, 988381, 988742, 988224, 988198, 988183, 988472, 988113, 988335, 988343, 1229979, 1173152, 988595, 988337, 1173141, 988314, 988204, 988739, 988557, 988604, 988801, 988382, 1173119, 988663, 1173093, 988793, 988679, 988203, 1173074, 988726, 988319, 988112, 988422, 988683, 988790, 988670, 988363, 988773, 988708, 988804, 988771, 988442, 988241, 988406, 988741, 988226, 988471, 988438, 1173071, 1230026, 988709, 1173136, 988176, 988142, 988259, 988433, 1173092, 988664, 988163, 988267, 1230001, 988423, 988633, 988686, 988257, 988716, 988632, 1230052, 988141, 1229992, 988585, 988154, 988366, 988775, 988715, 988549, 1230008, 988405, 1173070, 988625, 988486, 988329, 988118, 988180, 988185, 1230015, 988261, 988651, 988208, 988252, 988247, 988580, 988369, 988102, 1173081, 988796, 1173087, 988757, 988798, 988455, 988344, 1230003, 988762, 988764, 988783, 988409, 988641, 1173067, 1230021, 1230051, 988270, 988565, 1173079, 1173103, 988375, 1230041, 1173140, 988322, 988536, 988496, 988539, 988648, 988600, 988767, 988564, 988243, 988396, 1230045, 988484, 988427, 988209, 988130]","{'PRP': 0.07867112108321449, 'of': 0.0770925789381602, 'sentiment': 0.061027610237340955, 'IN': 0.055195721807935215, 'NN': 0.05349185132142229, 'VB': 0.049164097472694006, 'DT': 0.04078094644817875, 'NNS': 0.0325548998319438, 'to': 0.031429493300964284, 'have': 0.028746118468325883}"
0.4725,0.3328643359075496,0.3310551374596837,0.4725,0.63808,0,0.93,0.027649769585253458,0.17647058823529413,0.015,"[1257287, 1259047, 1259281, 1200332, 1257460, 1200651, 1202880, 1260052, 1258601, 1200717, 1202136, 1203119, 1257303, 1202209]","[988291, 988523, 988534, 988330, 988124, 988285, 1230009, 988396, 988577, 1173104, 988389, 988099, 988372, 988214, 988622, 988514, 988351, 1173081, 1173102, 988769, 988231, 988272, 988378, 988771, 988263, 988226, 988620, 988609, 988193, 988768, 988481, 988641, 988414, 988136, 988424, 988427, 988729, 1173139, 988559, 988228, 988803, 988598, 988447, 988494, 988318, 988367, 988145, 988287, 1229988, 988627, 988429, 988590, 988638, 988271, 988355, 1173131, 988725, 988527, 1230038, 988209, 988504, 988444, 988484, 988243, 988613, 988114, 988125, 988257, 988198, 1229985, 988658, 988508, 988546, 988536, 988666, 1173094, 988157, 988365, 988332, 988488, 988530, 988392, 988373, 988402, 1230006, 988524, 988115, 988556, 988207, 988109, 988694, 988774, 988197, 988709, 988669, 988117, 1230003, 988537, 988380, 988570, 988377, 988187, 988354, 1230030, 988172, 988746, 988314, 988681, 1173137, 988478, 988397, 988795, 1173079, 988679, 988421, 988349, 988290, 988406, 988600, 988567, 1230017, 988104, 988255, 988199, 988625, 988730, 988334, 988688, 988362, 988667, 1230005, 1229978, 988607, 1229990, 1230008, 988167, 1230018, 988777, 988217, 988281, 988371, 988690, 988097, 988782, 988648, 988242, 988383, 988562, 988794, 1173115, 988752, 1230015, 988138, 988677, 988244, 988329, 988496, 988719, 988387, 988307, 1230021, 988388, 1173096, 988150, 988593, 988120, 988619, 988146, 988510, 1173106, 988698, 1173103, 988642, 988260, 988160, 988102, 988394, 988205, 988180, 988708, 988617, 988579, 988470, 988699, 988325, 988196, 988728, 1173067, 988295, 988159, 988606, 988345, 988490, 1173073, 988119, 1229995, 988727]","{'PRP': 0.07056657589557369, 'of': 0.07054923486894193, 'VB': 0.065411498920329, 'sentiment': 0.06532623509835511, 'NN': 0.048196196421540695, 'IN': 0.04067727294642876, 'DT': 0.039686341245280164, 'to': 0.037043668375414306, 'the': 0.03329335132954026, 'RB': 0.029288321325196397}"
0.4525,0.3265216689346587,0.3113394896236719,0.4525,0.6178,0,0.885,0.03524229074889868,0.14814814814814814,0.02,"[1257890, 1203119, 1259016, 1104089, 1201170, 1258759, 1201037, 1201697, 1257410, 1202008, 1202040, 1202698, 1104058, 1201263, 1258236, 1103332, 1259885, 1200705, 1103319, 839616, 1103100, 1260058, 1104019]","[988298, 988648, 988326, 988260, 988158, 1173128, 988675, 988440, 988759, 1173065, 988100, 988332, 1230026, 1230024, 988700, 1229988, 988110, 988163, 1230054, 1230056, 988465, 1173140, 988590, 1173076, 988283, 988174, 988115, 988564, 988621, 988267, 988529, 988609, 988337, 988591, 988108, 988288, 988631, 988501, 988182, 1173145, 988453, 988398, 988406, 988329, 988473, 988241, 988133, 988784, 988593, 988649, 988315, 988372, 988359, 988540, 988261, 1173108, 988651, 1230029, 988388, 1173086, 988131, 1230057, 988319, 988790, 988667, 988692, 1229979, 988579, 988223, 988507, 988749, 1230037, 988653, 988389, 988290, 1173154, 1173111, 988392, 988276, 988468, 988706, 988599, 1229998, 988360, 988690, 1173102, 988240, 988614, 988471, 988310, 988633, 988757, 988340, 988517, 988204, 988491, 988624, 988489, 988687, 988144, 1230011, 988630, 988417, 988494, 988104, 988637, 988425, 1173096, 988415, 988516, 1229992, 988248, 988367, 988269, 988578, 988773, 1173069, 988320, 988654, 988363, 988485, 1173132, 988118, 1173131, 988526, 988762, 988562, 988475, 988259, 988205, 988190, 1173129, 988698, 988116, 1230040, 1230050, 1173138, 988727, 988119, 988595, 988457, 988330, 988669, 988239, 988686, 988657, 988735, 1230021, 988397, 1229983, 988772, 988787, 988803, 1230062, 988769, 1173130, 1173152, 1230003, 988343, 1230012, 988196, 988102, 988519, 988335, 988445, 988097, 988303, 1230028, 988709, 988530, 988510, 988589, 1173120, 988331, 1173106, 988721, 988280, 988747, 1173117, 988099, 988660, 988711, 988113, 988165, 988301, 1230061, 988252, 988434, 1229978, 988720, 988800, 1230058, 988685, 988702, 988551, 988496]","{'of': 0.07946314665146464, 'PRP': 0.07124937926467616, 'VB': 0.05536300260920328, 'NN': 0.054293614360542725, 'sentiment': 0.04702793176525893, 'IN': 0.03919168328565765, 'DT': 0.03792015966024392, 'to': 0.035428914588086266, 'NNS': 0.03453261175789036, 'mean_sen_len': 0.03305569772572347}"
0.4625,0.3162393162393162,0.24025974025974026,0.4625,0.63248,0,0.925,0.0,0.0,0.0,"[1259797, 1259655, 1259208, 1104096, 1258370, 1201256, 1258091, 1259572, 1200452, 839784, 1258401, 1102269, 1202130, 1200726, 1258611]","[988109, 988106, 988227, 988330, 1230021, 1173069, 988489, 988379, 988703, 988209, 988487, 988580, 988418, 1230046, 988526, 988279, 988167, 988608, 988437, 1173093, 1230060, 1173086, 988613, 988519, 1173098, 988203, 988734, 1173127, 1230019, 988754, 988400, 988520, 988284, 988229, 988409, 988255, 1173097, 988587, 1230045, 988666, 988640, 988333, 988678, 988582, 988355, 1173103, 1173114, 1229992, 988428, 1173149, 988180, 988303, 988345, 988503, 988195, 988343, 988129, 988252, 988716, 988358, 1173152, 988141, 1230004, 988515, 988273, 988674, 988795, 1230044, 1230027, 988422, 1230059, 988695, 988240, 988660, 988136, 988777, 988686, 988482, 988711, 988778, 988599, 1230022, 988793, 1230038, 988702, 988714, 1230003, 988757, 988192, 988480, 988549, 1229983, 1230011, 988175, 988731, 988620, 988687, 988601, 988354, 988796, 988644, 1230007, 988534, 988095, 988426, 988327, 988692, 988764, 988493, 988155, 988096, 988765, 988157, 988193, 988304, 988710, 988576, 1229993, 1229974, 988739, 988740, 988390, 988474, 1230013, 988243, 988407, 988488, 1173153, 988104, 988583, 988306, 1173115, 988548, 988098, 988458, 988723, 988547, 988202, 1230037, 988800, 988168, 1230008, 988228, 988569, 988502, 988483, 1173105, 988373, 988496, 988133, 988272, 988696, 988198, 988372, 988662, 988646, 988663, 988380, 988112, 988769, 988661, 988750, 988726, 988295, 988655, 988188, 988414, 1230047, 988404, 988344, 988614, 1173074, 988775, 988632, 1229987, 988179, 988213, 988783, 988232, 1230054, 988197, 988137, 988256, 988561, 1230032, 988375, 988700, 1173073, 988301, 988115, 988707, 988283, 1173146, 1173134, 988444, 988670, 988427, 988508, 988598, 988269]","{'PRP': 0.07484325944607971, 'sentiment': 0.06696181785521972, 'of': 0.05985594100316361, 'VB': 0.055973701068632135, 'NN': 0.051933515858449804, 'DT': 0.03819984413378993, 'have': 0.03675428320293263, 'IN': 0.035144632249098626, 'mean_sen_len': 0.03384249942425155, 'i': 0.029997732125085386}"
0.4675,0.3378461347156702,0.3500749625187406,0.4675,0.63085,0,0.91,0.04484304932735426,0.21739130434782608,0.025,"[1259042, 1259780, 1102250, 1258315, 1103454, 1103978, 1258394, 1260060, 1102625, 839829, 1259713, 1202310, 1259618, 1202785, 1201185, 1258449, 1258359, 839832]","[988564, 988447, 988801, 988354, 988319, 1173070, 988578, 1173116, 988168, 1173081, 1173149, 988611, 988462, 988627, 988616, 988268, 988631, 1173092, 988504, 988223, 1173139, 988291, 988208, 1173079, 988332, 988581, 988290, 1173105, 988555, 1230062, 988150, 988563, 988574, 988416, 988698, 1173124, 988409, 988277, 988219, 1230033, 988260, 988230, 1173090, 1173131, 988638, 988733, 988518, 988621, 988137, 988117, 988679, 988170, 1230030, 988549, 988262, 988407, 988577, 988606, 1229981, 988741, 988597, 988310, 988677, 988345, 988794, 988272, 1173122, 988781, 1173136, 988704, 988426, 988516, 1173138, 988508, 988469, 988351, 988171, 1230012, 988681, 988762, 988559, 1230005, 1230018, 988398, 988174, 988589, 1173080, 988688, 988770, 988598, 988499, 988672, 1173109, 1230021, 988265, 988511, 988232, 988131, 1229980, 988793, 1230058, 1230044, 988405, 988365, 1173146, 988442, 1230049, 988250, 988152, 988158, 1173076, 988359, 988384, 988776, 988408, 988179, 988579, 988566, 988637, 988467, 988164, 988473, 1173148, 988628, 988777, 988497, 988507, 1173065, 988753, 988520, 988472, 1173134, 988423, 1230046, 988389, 988424, 988665, 1230032, 988143, 988443, 1173104, 988758, 988368, 988567, 1173127, 1173085, 988784, 988169, 988678, 988576, 988144, 988683, 988575, 988281, 988253, 988190, 988233, 988725, 988652, 1229974, 988305, 988632, 988633, 988463, 988646, 988747, 988512, 988474, 988375, 1173073, 988480, 1230035, 1229999, 988477, 988340, 988802, 988342, 1173153, 988476, 988226, 988768, 988755, 988715, 988452, 988385, 988541, 988751, 988172, 988148, 988640, 988377, 988293, 988141, 988531, 988116]","{'PRP': 0.07478536719261011, 'of': 0.07056504031429996, 'VB': 0.05515952560011432, 'NN': 0.05464577603082869, 'sentiment': 0.04875441930116627, 'IN': 0.04630494096855797, 'DT': 0.040324740849308864, 'to': 0.033494799750677, 'RB': 0.03301058694134608, 'mean_sen_len': 0.028869542106838057}"
0.44,0.32348766271027757,0.3071359691417551,0.44,0.60424,0,0.855,0.042735042735042736,0.14705882352941177,0.025,"[839717, 1102819, 1200841, 839922, 1103548, 1102278, 1258755, 1257645, 1202115, 1259092, 1104277, 1202139, 1202026, 1258192, 1201237, 1257317, 1202412, 1102194, 1258570, 1258573, 1201086, 1102978, 1258637, 1203228, 839905, 1258391, 1201420, 1259914, 1258871]","[1229997, 988344, 988712, 988137, 1173133, 988553, 988528, 988125, 1230025, 988290, 988577, 988389, 988662, 988515, 988298, 1229975, 1173112, 1229987, 988703, 988638, 988641, 988740, 1230060, 988705, 988555, 988667, 988581, 988595, 988523, 988681, 1173153, 988598, 1229974, 988723, 1173105, 988214, 988550, 988539, 988558, 1173074, 988701, 988469, 988604, 1173069, 988526, 988168, 988318, 988646, 988621, 1173087, 988777, 1230044, 988414, 1173093, 988249, 988211, 988785, 988383, 1230008, 988640, 988162, 988401, 988471, 988603, 988325, 988207, 1173073, 988670, 1230043, 1173128, 988731, 988218, 1230062, 1173082, 988600, 1173114, 988234, 988424, 1173152, 988345, 988399, 988634, 988801, 1173068, 988693, 988651, 988262, 988611, 988733, 988323, 988331, 988534, 1173115, 988312, 988635, 988273, 1173126, 1173122, 988188, 988455, 988738, 988380, 988665, 988306, 988504, 988570, 1173134, 988316, 988272, 988653, 988655, 988477, 988616, 988775, 988511, 988588, 988349, 988561, 988305, 988144, 1229985, 988204, 988197, 988205, 988096, 988335, 988624, 1173137, 988433, 988728, 1173083, 1173139, 988110, 988297, 988789, 1173140, 988278, 988248, 1230041, 1230011, 988447, 988468, 988732, 988724, 988609, 988617, 988183, 988381, 988311, 988209, 1229982, 988474, 988258, 988202, 988671, 988238, 1229983, 1230059, 988758, 988119, 988164, 1230020, 988179, 988787, 988233, 988642, 1173149, 1173077, 988754, 1230014, 988293, 988165, 988765, 988689, 988520, 988264, 988556, 1173109, 988612, 988134, 988672, 988356, 1173125, 988346, 988513, 988128, 988394, 988506, 988767, 988187, 988375, 988473, 988800, 988300, 988525]","{'PRP': 0.07886140880966394, 'of': 0.06368926240649594, 'NN': 0.057544558245561026, 'sentiment': 0.04823562059788374, 'VB': 0.045051014231349114, 'the': 0.03977668124224315, 'NNS': 0.038212266057153756, 'DT': 0.03186121274056994, 'IN': 0.031859464854496006, 'which': 0.030192906870163554}"
0.41,0.294237267860881,0.23829601628380342,0.41,0.58007,0,0.815,0.008403361344537815,0.02631578947368421,0.005,"[1202375, 1258206, 1102514, 1103673, 1258594, 1102818, 1102401, 1203419, 1104251, 1201047, 1201705, 1202259, 1259499, 1257462, 1200491, 1202285, 1200981, 1104055, 1258653, 1104189, 839820, 1259075, 1201419, 1202561, 1260115, 1260289, 1103258, 1258765, 1202730, 1102782, 1211487, 839922, 1102026, 1259977, 1103990, 1258204, 1202694]","[1230024, 988760, 988392, 988685, 988281, 988710, 988595, 1229993, 1173139, 988137, 988410, 988396, 988511, 1173101, 988182, 988120, 988610, 988312, 1230017, 988262, 988184, 988683, 988227, 988233, 1230027, 1173070, 988245, 988741, 988458, 988798, 988160, 988106, 988509, 988422, 988240, 988213, 988427, 988547, 988102, 988445, 1173143, 988694, 988295, 988608, 988176, 1229981, 988173, 988144, 1230018, 988325, 988794, 988734, 988381, 988667, 988133, 988294, 988732, 988789, 1173074, 988465, 988402, 988487, 988752, 988152, 988639, 1173067, 988688, 988265, 988561, 988326, 988431, 988505, 988602, 1173148, 988148, 988134, 988545, 988493, 988397, 988470, 1173130, 988189, 988185, 988101, 988237, 988618, 988149, 988404, 1230060, 1173137, 988365, 1230054, 988444, 1173113, 988438, 988715, 988614, 1173072, 988678, 988605, 988211, 988740, 988191, 988366, 988260, 988799, 1173118, 1229977, 988550, 988351, 988307, 988533, 988115, 988763, 1229975, 988773, 988733, 988525, 988526, 1230012, 988130, 988496, 988476, 988235, 988100, 988474, 988252, 1173122, 988343, 988742, 1173085, 988507, 1230055, 988219, 988801, 988713, 988672, 1173117, 988531, 1229986, 988420, 988140, 988624, 988635, 988567, 988633, 1173134, 988711, 988097, 988395, 988722, 988217, 988782, 988158, 988421, 1229998, 988111, 1173114, 988151, 988612, 988347, 1173071, 988491, 988287, 988743, 988162, 988453, 988267, 1173090, 988636, 988256, 988699, 988456, 988451, 988584, 988594, 988702, 988551, 988202, 988230, 988522, 988280, 988659, 988645, 1230034, 988744, 1229995, 988299, 988676, 1230010, 1230029, 988803, 988758, 988452, 988155, 988435, 1230004, 988196, 1173103]","{'PRP': 0.07268114220592062, 'sentiment': 0.07165862418119598, 'of': 0.0646756429233913, 'NN': 0.05549105466777196, 'DT': 0.05485313945844169, 'VB': 0.049641419661195896, 'IN': 0.03807425104496087, 'to': 0.034509522655935584, 'the': 0.03303906861559925, 'RB': 0.03149951266745319}"
0.4425,0.3213581965778803,0.2989334732056998,0.4425,0.60808,0,0.865,0.03463203463203463,0.12903225806451613,0.02,"[1258215, 1258126, 1103537, 839493, 1102599, 1258586, 1257911, 1258162, 1202384, 1258463, 1258731, 1103472, 1103767, 1259523, 1259198, 1102005, 1257480, 1103253, 839516, 1259492, 1104069, 1260124, 1104252, 1258017, 1202567, 1102674, 1200480]","[988560, 988624, 988408, 1173070, 1230049, 988553, 1229972, 988486, 988549, 988505, 988346, 1173137, 988715, 988142, 1173083, 988125, 988138, 1173100, 988703, 1173080, 988253, 988251, 988197, 988143, 988427, 988424, 1229992, 1229978, 988213, 988401, 988616, 988288, 988577, 988769, 988802, 1173138, 1173095, 988216, 988380, 988705, 988117, 1173130, 988601, 988520, 988515, 1230015, 988322, 988403, 988488, 1230018, 988524, 988478, 988723, 988168, 988590, 988730, 988129, 1230040, 988355, 988636, 988606, 988487, 988204, 988473, 988584, 988450, 1173117, 1173129, 988676, 1230013, 988558, 988265, 988101, 988284, 988271, 988184, 988650, 988700, 988179, 988797, 1173067, 988720, 988711, 988411, 988722, 1229998, 988522, 988527, 1173090, 988327, 988330, 988446, 988656, 988561, 988343, 988399, 988187, 988373, 988323, 988254, 988221, 1230017, 988557, 988198, 988245, 988393, 1229975, 988108, 988751, 1173088, 988792, 1173077, 988337, 988292, 988247, 1173079, 988566, 988136, 988741, 988371, 988199, 988121, 988206, 988582, 988798, 988404, 988275, 988484, 988391, 1173144, 988258, 988316, 988768, 988518, 988774, 988454, 988457, 988744, 1173133, 988620, 988640, 988180, 988789, 988495, 988144, 988698, 988576, 988321, 988570, 988686, 988709, 988657, 988285, 988313, 988157, 988738, 1230007, 988219, 988387, 988618, 988540, 1173097, 1229996, 988687, 988299, 988651, 1173139, 988161, 988726, 988234, 988102, 988295, 988494, 988489, 988302, 988467, 988307, 988226, 988498, 988318, 988326, 1173134, 1173099, 988261, 1230009, 988465, 988291, 1229973, 988745, 988462, 988360, 988697, 988324, 988592, 988209, 988308]","{'PRP': 0.08083347150295067, 'of': 0.06714954102963147, 'VB': 0.05790738737341374, 'NN': 0.04739188957094046, 'sentiment': 0.04588129951927821, 'have': 0.0405956447073464, 'IN': 0.040151496980115914, 'NNS': 0.0367991228423312, 'DT': 0.03357050887164973, 'RB': 0.03341761808354367}"
0.45,0.3322000971345313,0.33016304347826086,0.45,0.61268,0,0.87,0.05172413793103448,0.1875,0.03,"[1202785, 1202880, 1200719, 1259197, 1103812, 1202719, 1103303, 1104141, 1257284, 1260046, 1103979, 1201832, 1103580, 1202520, 1201718, 1260047, 1201354, 1154776, 1257891, 1103859, 1258204, 1203305, 1203259, 1202705, 1200834, 1258296]","[988118, 988613, 988589, 1230035, 988299, 988321, 1230053, 988451, 988761, 1173149, 988319, 988800, 988757, 988129, 988331, 988698, 988145, 1230029, 988486, 1173070, 988483, 988389, 988548, 988342, 988632, 988251, 1230062, 988448, 988181, 1173084, 1173116, 988104, 988193, 988779, 988783, 988700, 1230041, 1230027, 988333, 988336, 988791, 988297, 1230033, 988583, 988624, 988581, 988559, 988537, 988741, 988244, 988501, 988770, 988341, 988493, 988350, 988358, 988611, 988112, 988277, 988714, 1173150, 988111, 988266, 1229975, 988751, 988440, 988189, 1173083, 988760, 988515, 988256, 1229990, 988631, 988603, 1173074, 988625, 1230015, 988664, 988796, 988283, 988614, 988541, 1173106, 1173090, 988473, 988593, 988263, 988489, 988479, 1173145, 988161, 988580, 988325, 988688, 988539, 988214, 1173067, 1173089, 988526, 988242, 988121, 988113, 988212, 988347, 1173143, 988418, 988202, 988572, 988550, 988365, 988619, 988528, 988617, 988324, 988123, 988531, 988430, 988503, 988552, 988184, 988241, 988370, 988124, 1230019, 1173126, 988099, 988379, 988289, 988722, 988615, 988317, 988340, 988419, 988521, 988359, 1230044, 988383, 1173104, 988600, 1230054, 988164, 988675, 1173134, 988666, 988605, 988316, 988425, 988162, 988712, 988267, 1173111, 1173123, 988296, 988175, 988327, 988198, 988105, 988684, 1173077, 988530, 1229983, 988452, 988278, 988330, 988260, 988601, 988437, 1173109, 988527, 988607, 988747, 1230052, 988711, 988557, 988097, 988364, 988505, 988313, 988434, 988729, 988314, 1230018, 988734, 1173136, 988394, 988197, 988730, 988200, 988534, 988709, 988307, 988355, 988777, 988335]","{'PRP': 0.07502196685822014, 'of': 0.06963664568207106, 'NN': 0.06232719962300073, 'sentiment': 0.050892513978987745, 'have': 0.04432371527051416, 'VB': 0.043738613278293856, 'DT': 0.03717931106093121, 'IN': 0.03295562039941622, 'the': 0.03220095644694637, 'to': 0.027571060222143326}"
