accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.5,0.3420186866692985,0.5,0.5,0.66443,0,0.99,0.0196078431372549,0.5,0.01,"[1254628, 1100287]","[979800, 980319, 980246, 1172070, 980413, 1172047, 980092, 980204, 980497, 1229021, 979809, 1228958, 979787, 980234, 980144, 979976, 979810, 980069, 980395, 979952, 979786, 980001, 980548, 979805, 980511, 980174, 980159, 1228969, 979960, 980028, 1228968, 1172055, 980479, 979841, 980445, 980359, 979828, 979922, 980228, 980399, 980433, 979928, 1172052, 980418, 979799, 980373, 1229034, 979811, 980465, 980331, 980537, 979926, 1228943, 980474, 980231, 979816, 979850, 979835, 980244, 980492, 979871, 1172065, 980443, 980197, 980427, 980446, 1228994, 979927, 1228953, 980535, 1172101, 980561, 980116, 980118, 980402, 980187, 979918, 1172118, 979937, 980295, 1228956, 979924, 1228950, 979886, 1229036, 980173, 980292, 1172076, 980259, 980415, 1229015, 980356, 1228951, 979817, 979888, 980508, 980162, 1172094, 980106, 980122, 980300, 979783, 980261, 980309, 1172038, 980360, 980229, 980393, 1172060, 979851, 980372, 1228979, 980299, 980027, 1172032, 1172092, 979876, 980130, 980016, 980346, 1172044, 979880, 1172050, 980017, 979813, 979788, 980179, 979923, 980414, 979806, 980250, 980264, 980481, 980499, 979891, 980518, 980333, 979796, 979845, 979993, 980560, 980464, 1228982, 980278, 979951, 980107, 980191, 1172083, 980193, 980052, 980260, 980212, 980489, 980088, 980171, 980420, 980450, 980099, 980503, 979942, 980552, 980164, 1172125, 1172040, 980502, 980279, 979908, 980000, 980471, 980480, 980532, 980388, 980270, 979875, 980294, 980222, 979961, 1172061, 979781, 980287, 1228998, 979801, 979803, 979983, 980434, 1229019, 980345, 980154, 980436, 980442, 979978, 979853, 980304, 979943, 1172058, 980425, 1172066, 980086]","{'sentiment': 0.0738023140684337, 'of': 0.07207223530940854, 'VB': 0.06794008339767149, 'PRP': 0.06694298265520926, 'NN': 0.06427202127349514, 'DT': 0.03404508688792616, 'RB': 0.03339122371908211, 'to': 0.03330054948559697, 'have': 0.0326250894476987, 'IN': 0.03215604936836313}"
0.495,0.3311036789297659,0.24874371859296482,0.495,0.66221,0,0.99,0.0,0.0,0.0,"[1199958, 1256663]","[1172118, 980402, 979992, 979953, 980211, 980409, 980452, 1228993, 980245, 980193, 980054, 980281, 1229002, 980515, 980478, 1229013, 980312, 980544, 980145, 980192, 980171, 980212, 979803, 980109, 979913, 980107, 980560, 980509, 980173, 979802, 1229016, 980289, 979826, 980284, 980480, 980044, 980042, 980438, 980248, 1228974, 980270, 979839, 980031, 979844, 980306, 980058, 979807, 980253, 979945, 1172125, 1172041, 1172064, 980341, 980265, 1172110, 980477, 980415, 1229020, 979920, 980508, 980430, 1172033, 979990, 979818, 980180, 980162, 980320, 980032, 980060, 980062, 1228992, 1172074, 980279, 980147, 979796, 980105, 980407, 980548, 980313, 979794, 979814, 980378, 1172084, 980416, 1228998, 980355, 980288, 980206, 979925, 980064, 980170, 980514, 980155, 1229024, 980124, 979797, 980451, 979928, 980326, 979831, 979833, 980267, 979849, 980393, 980215, 979866, 980183, 980302, 980189, 980543, 980449, 1172102, 980494, 1229027, 979872, 980483, 980128, 980024, 980496, 979845, 979914, 980394, 979812, 1172089, 980123, 980093, 979923, 980112, 980481, 980344, 979836, 980086, 1229034, 980466, 1228988, 980474, 979870, 979822, 980382, 979886, 980065, 980015, 980144, 980456, 979905, 980408, 980283, 979801, 979800, 980498, 980299, 980146, 980323, 980148, 979882, 1172055, 980285, 980261, 1229010, 979909, 1228977, 980077, 1172052, 980392, 1172085, 980244, 980528, 1172037, 980353, 980117, 980176, 980175, 1172035, 980238, 979903, 1228972, 980126, 980396, 1172076, 980458, 980274, 1172051, 980345, 980167, 980369, 1228945, 979951, 979936, 980523, 980493, 980009, 980046, 979817, 980459, 979959, 979860, 980379, 979963, 980035, 979956]","{'PRP': 0.07516490438580088, 'sentiment': 0.06463048590861972, 'of': 0.061378699450832845, 'VB': 0.04775006205680857, 'NN': 0.04429257596866785, 'DT': 0.039298597742851736, 'IN': 0.03874292464395927, 'NNS': 0.031195984044864334, 'which': 0.029313392349803707, 'have': 0.02909592431150459}"
0.49,0.3288590604026846,0.2474747474747475,0.49,0.65772,0,0.98,0.0,0.0,0.0,"[1197697, 1197880, 1255363, 1254782]","[1172076, 980158, 980016, 980531, 980293, 980156, 980035, 979989, 980433, 980047, 980538, 980268, 980229, 1172092, 979817, 980137, 979909, 980416, 980345, 1228958, 979933, 980395, 1172074, 980071, 980115, 979957, 980155, 980336, 979956, 980362, 980394, 979943, 980518, 980117, 979847, 979900, 980425, 980162, 980169, 1229023, 980310, 1172038, 1228978, 979996, 980490, 980381, 979861, 979928, 979792, 980501, 980376, 980005, 1229022, 980231, 980280, 980275, 1172082, 979951, 980198, 980179, 1172096, 1172051, 980449, 980131, 979860, 980154, 979912, 980146, 980308, 980001, 980126, 980504, 980024, 980545, 979888, 980122, 980237, 1172120, 980264, 979877, 1172080, 979931, 979823, 980228, 980020, 980241, 980385, 980011, 980348, 1172113, 979948, 979992, 979927, 979783, 979959, 1172057, 1172060, 980367, 1229033, 980028, 980269, 980040, 1172032, 980467, 979969, 980251, 980443, 980477, 1172054, 980053, 980320, 1229025, 979893, 980012, 1172124, 1228966, 980170, 980450, 979841, 979967, 980084, 980250, 1228962, 979854, 979863, 980034, 979830, 979825, 980079, 980281, 979873, 1228995, 979821, 980508, 979772, 1229028, 1172037, 980444, 980161, 979776, 980089, 980187, 980475, 1172040, 979985, 1172102, 980059, 979824, 980363, 980142, 980552, 979822, 1172101, 980517, 979787, 980180, 979864, 979993, 980366, 980413, 980057, 1228951, 980064, 1229034, 980100, 980514, 980072, 980265, 980434, 1172028, 979995, 980227, 980405, 980240, 980069, 1172049, 979771, 980343, 980019, 980109, 980415, 979853, 979870, 1172062, 980522, 1172116, 980263, 979991, 980335, 980480, 980493, 979826, 979867, 979814, 980300, 979916, 979903, 980139, 980120, 1228979]","{'PRP': 0.07862301154630047, 'of': 0.07290848802078038, 'sentiment': 0.06581373252900552, 'VB': 0.06045162305910926, 'NN': 0.0433808394219602, 'DT': 0.04118051507858841, 'IN': 0.04047957968256913, 'to': 0.03509948996006322, 'i': 0.032203279311270705, 'have': 0.029788375780373785}"
0.4925,0.3342898134863701,0.3481012658227848,0.4925,0.65882,0,0.98,0.00975609756097561,0.2,0.005,"[1199365, 1200156, 838975, 1256748]","[980150, 979923, 980090, 980118, 1172111, 980313, 980206, 1228953, 979807, 980317, 980179, 979898, 1228944, 1228982, 980460, 980275, 979881, 979850, 1172113, 980548, 980306, 1172055, 979834, 980375, 980522, 980289, 979960, 980127, 980349, 980530, 979788, 980042, 979893, 980416, 979818, 980032, 980273, 1172060, 979970, 979800, 980125, 1172058, 1172074, 980093, 980216, 980324, 980280, 1228995, 979938, 979817, 980300, 1172087, 979892, 1229011, 980543, 980100, 980384, 980487, 980212, 979947, 980182, 980170, 980024, 980478, 1229021, 1228987, 979838, 1172042, 980110, 1229031, 980561, 980018, 1172123, 979775, 980207, 980089, 980409, 979994, 980028, 980346, 1228970, 980378, 980225, 979884, 1172065, 979782, 1172082, 979975, 980387, 979928, 980143, 980169, 980361, 979777, 1172084, 979798, 1228990, 980250, 1172063, 979804, 1228978, 1172099, 980417, 1172107, 1228948, 980359, 979941, 980130, 980161, 980511, 979965, 1229007, 1172068, 979810, 980052, 980008, 980121, 979917, 980078, 1229024, 979842, 979983, 979966, 1172031, 979895, 979927, 979956, 980462, 979859, 1228968, 1228983, 1228958, 980141, 980281, 980308, 979821, 980271, 980116, 980350, 980553, 980488, 980068, 980213, 980318, 980063, 979822, 1172079, 980262, 980458, 979855, 980542, 980233, 980218, 979805, 980560, 980338, 980336, 980379, 980472, 979979, 1228973, 980058, 980389, 980190, 1228975, 980311, 980365, 1172050, 980162, 979902, 979988, 980404, 980368, 980374, 980096, 980154, 980274, 1172030, 980087, 979929, 980434, 980272, 980140, 980433, 979961, 980047, 980060, 980529, 980534, 1228969, 980099, 979936, 1172056, 979779, 980159, 980544, 979841, 980214, 979868]","{'of': 0.08913122638716739, 'PRP': 0.0837959674070592, 'sentiment': 0.06588183434478789, 'NN': 0.05987064032709137, 'which': 0.042332263547556474, 'VB': 0.038869006147085744, 'DT': 0.038358801993122714, 'IN': 0.031455192146872896, 'NNS': 0.030825952572950125, 'RB': 0.027270130632809773}"
0.4975,0.33222036727879795,0.24937343358395989,0.4975,0.66444,0,0.995,0.0,0.0,0.0,[1099677],"[980474, 980281, 980395, 980211, 979962, 980308, 979816, 979860, 980531, 980208, 1228970, 1228950, 979881, 1229015, 980073, 980149, 980310, 980160, 980359, 980278, 980466, 980027, 980302, 979967, 979852, 979974, 980347, 980238, 980442, 980186, 1228991, 979833, 980512, 980178, 1229028, 979861, 980079, 979775, 980339, 1228988, 979916, 980128, 980327, 979989, 980234, 980425, 1172089, 980225, 979915, 1228992, 1172074, 980411, 979771, 980205, 1172086, 980382, 1229000, 1229005, 980150, 979821, 980424, 979949, 980254, 980501, 980506, 1172075, 980271, 980545, 980556, 979813, 980036, 980392, 980103, 1172061, 980352, 980316, 979874, 980063, 980419, 1229017, 980216, 979968, 980343, 979837, 980223, 979935, 1229020, 1172055, 980001, 979926, 979975, 979812, 980164, 1172082, 980487, 980075, 980080, 980200, 980258, 1172107, 980314, 980115, 979791, 980305, 980345, 980511, 980086, 980380, 979857, 980548, 980108, 979942, 980542, 1172064, 1172068, 980321, 980256, 980299, 979789, 980167, 980277, 980393, 980157, 1172069, 1172104, 980182, 979971, 1172114, 1228969, 979793, 980240, 1172098, 980540, 979863, 1172079, 980447, 980475, 980464, 1229013, 980032, 980439, 1228943, 980479, 980463, 1172062, 1172071, 980519, 1172051, 980091, 980408, 980344, 980126, 980354, 980068, 1228999, 1172087, 979794, 1172045, 979785, 1172109, 980320, 980452, 1172027, 979781, 1229001, 1172119, 979825, 979871, 980427, 979933, 979811, 980370, 979783, 980534, 980116, 980429, 980214, 980493, 979880, 980230, 1172116, 1229002, 980049, 1172094, 980444, 980069, 980096, 979773, 979927, 1229019, 980194, 979818, 1228967, 980241, 1172113, 980416, 980067, 1229008, 980365, 980139]","{'PRP': 0.07511207723605486, 'of': 0.07024043568145821, 'sentiment': 0.0631110164339835, 'VB': 0.05218772342159925, 'NN': 0.04623196008033098, 'IN': 0.04359309454032265, 'DT': 0.0407150673068772, 'mean_sen_len': 0.03368818639802779, 'to': 0.032281110883411415, 'have': 0.030769018714889008}"
0.495,0.3311036789297659,0.24874371859296482,0.495,0.66221,0,0.99,0.0,0.0,0.0,"[1100249, 1256717]","[980454, 979812, 980232, 980489, 1229006, 1228965, 979951, 1172104, 1228967, 980496, 980053, 980518, 980515, 980413, 980545, 980172, 1228966, 980227, 979845, 980277, 980112, 980418, 1172056, 980330, 1172124, 1228962, 980477, 980443, 1172119, 980407, 980364, 980002, 1172087, 979810, 979966, 980512, 980130, 980455, 980395, 979961, 980435, 980110, 980555, 979991, 980393, 979851, 979836, 979959, 980240, 979992, 980042, 980276, 980084, 979869, 980429, 980541, 1229017, 980308, 980441, 980098, 980143, 1172115, 1228964, 980211, 980120, 980358, 980471, 979824, 980008, 979870, 979940, 980083, 979982, 979898, 980171, 980041, 980159, 979820, 979956, 1172076, 979924, 980415, 980557, 979872, 979895, 980207, 980129, 980553, 980343, 980135, 979784, 980351, 980481, 980319, 1228979, 980299, 1228950, 1172053, 979904, 980306, 1172040, 1228989, 1172117, 980523, 979999, 980508, 980082, 980326, 980275, 980296, 980032, 979927, 980428, 1229010, 980212, 979971, 980532, 980315, 980075, 979796, 980497, 1228945, 1172075, 979850, 980469, 1172061, 980446, 980060, 980444, 980433, 979813, 980119, 1172058, 980148, 980359, 980346, 980102, 980412, 980229, 980204, 1229015, 979856, 980193, 980164, 980152, 1229029, 980093, 980127, 980440, 980167, 980107, 1172046, 980198, 980344, 980048, 980485, 980494, 1228991, 980379, 980290, 980516, 979867, 980350, 980108, 1172082, 980201, 980334, 979929, 980223, 1172093, 1172066, 980526, 980464, 979883, 1172065, 980363, 980006, 1172077, 1228943, 980247, 979792, 980069, 980495, 1228963, 979994, 980285, 980302, 980208, 1172049, 980063, 980449, 979789, 980514, 1229035, 1172033, 979790, 980001, 980409, 1172069, 980498]","{'PRP': 0.0776957388224047, 'of': 0.07472291089211539, 'VB': 0.061313522287368374, 'NN': 0.05250758948889165, 'sentiment': 0.05247458812874206, 'IN': 0.04937813129551458, 'to': 0.03550692561601269, 'RB': 0.0330065751263702, 'NNS': 0.032388237119900284, 'DT': 0.031883802133833225}"
0.5025,0.3388649407387105,0.7506265664160401,0.5025,0.66778,1,1.0,0.009950248756218905,1.0,0.005,[],"[980011, 979960, 979824, 980379, 980437, 980293, 980181, 980424, 980393, 980199, 1228964, 980356, 980512, 1228950, 979775, 979984, 979826, 979852, 979930, 1172066, 979787, 979863, 979894, 1228983, 1229035, 979869, 980479, 980491, 980000, 980494, 979929, 980461, 980460, 1229021, 979895, 1172088, 980119, 980094, 1228951, 979820, 979906, 979942, 1229025, 980535, 980507, 979976, 1229024, 1229014, 979996, 980451, 979910, 980261, 980109, 980232, 1228996, 1172027, 1172112, 979990, 979969, 979771, 980246, 979980, 979919, 980163, 979882, 980053, 980294, 980504, 980020, 980086, 980290, 979786, 980172, 980221, 980492, 980110, 1172071, 979924, 979773, 979917, 980519, 980426, 979999, 1172052, 980319, 980061, 979799, 979956, 1229034, 980006, 980499, 979873, 980211, 980332, 980394, 980410, 980533, 979821, 1229018, 980223, 980272, 980130, 1172081, 980466, 980241, 979841, 1229008, 979912, 979915, 980476, 979963, 980416, 980002, 980154, 979835, 980515, 979900, 979909, 980308, 980276, 980187, 980508, 980105, 980248, 979965, 980025, 980336, 1228946, 1172091, 979809, 1172083, 980454, 980553, 980421, 980446, 980549, 980439, 979954, 1172058, 979849, 980463, 979907, 979957, 1172079, 980047, 980310, 979958, 1229009, 980345, 980513, 980068, 980449, 980155, 980369, 980382, 979801, 980514, 979780, 980170, 1172042, 980351, 979794, 980489, 980166, 980052, 980127, 980175, 980111, 980419, 980273, 980214, 979899, 979795, 980268, 980171, 980537, 980055, 979805, 980007, 980230, 980364, 980453, 979819, 980159, 979897, 980531, 980225, 980035, 980146, 979872, 979816, 980548, 980123, 980496, 980164, 1229031, 980236, 1228941, 979783]","{'of': 0.08010262398518049, 'PRP': 0.07143266095246119, 'sentiment': 0.06474423578920444, 'NN': 0.05339821606441717, 'VB': 0.04971793671769062, 'DT': 0.04902519928429744, 'IN': 0.04399042532533147, 'have': 0.034040552192312806, 'to': 0.03231965695724895, 'the': 0.027491112078506966}"
0.5,0.33333333333333326,0.25,0.5,0.66667,0,1.0,0.0,0.0,0.0,[],"[980284, 980401, 980386, 980249, 1172100, 980155, 979818, 980503, 979926, 979795, 979895, 980252, 979801, 980148, 1172067, 980087, 980514, 979973, 980343, 980214, 979826, 980530, 980290, 979874, 980372, 980277, 980310, 980261, 979862, 980128, 980091, 980202, 979894, 980338, 980268, 980327, 980387, 1172026, 980364, 980529, 980185, 1229016, 980308, 980016, 980232, 979976, 980139, 980274, 979938, 1228962, 980511, 979782, 1229003, 1229012, 979844, 980448, 980443, 979800, 980170, 980359, 980255, 980415, 979841, 980436, 1172095, 980434, 980506, 980038, 980478, 980220, 980081, 980391, 979781, 980407, 1228961, 979861, 980307, 1172051, 980112, 980377, 980302, 980368, 980402, 980141, 980130, 980426, 979779, 1172118, 979839, 979962, 980362, 980071, 980553, 980093, 980109, 980481, 1172089, 1172042, 980052, 1229031, 1172109, 979806, 979946, 1172090, 1228970, 979788, 980305, 1229013, 980355, 980462, 979935, 980313, 980026, 1172088, 1172120, 980113, 979904, 980126, 980292, 1172123, 1229004, 980207, 979907, 979803, 980256, 979850, 980320, 980427, 980433, 1172058, 979961, 980010, 1228971, 980188, 980152, 980440, 980496, 979832, 980432, 1172071, 980048, 979817, 980172, 980487, 979847, 979809, 980179, 980068, 1228974, 979949, 980000, 980251, 979911, 1172059, 980422, 980346, 979872, 980108, 1172064, 1229023, 979836, 980361, 979837, 980066, 980242, 980287, 1229015, 980341, 1229020, 979897, 1228954, 980229, 1172112, 980211, 980158, 1228987, 980124, 980409, 980282, 1228946, 980275, 980399, 1229021, 980257, 980356, 980184, 1172031, 979842, 979927, 1172060, 980535, 980551, 979889, 980187, 980199, 980241, 980106, 980092, 979929, 980226]","{'of': 0.07533389323683033, 'PRP': 0.0706312359763999, 'VB': 0.05354053972569631, 'NN': 0.050537049617111494, 'sentiment': 0.047559699119168665, 'DT': 0.04503784144997585, 'the': 0.03850217866434402, 'IN': 0.03703820186651897, 'have': 0.03468196694730072, 'NNS': 0.03432049813570293}"
0.49,0.3288590604026846,0.2474747474747475,0.49,0.65772,0,0.98,0.0,0.0,0.0,"[1100526, 1198849, 839141, 1256663]","[1228954, 979802, 980432, 1228978, 1172091, 980116, 1172096, 979786, 1228956, 980026, 980375, 980325, 980229, 979885, 1172110, 979803, 1229019, 979868, 979980, 979821, 980141, 979874, 979978, 979904, 1172089, 1228955, 980462, 979825, 980417, 979891, 980406, 980377, 980279, 1228992, 979950, 980342, 980287, 980122, 980226, 1172099, 1172100, 979832, 1172050, 979910, 1228970, 980147, 1229029, 980002, 980152, 979840, 980511, 980039, 1228952, 979992, 979784, 1229022, 979986, 1228940, 979871, 980527, 980502, 1228969, 1172036, 979888, 980280, 980267, 980043, 979951, 979792, 980168, 979948, 980547, 980398, 980449, 979934, 980324, 980476, 980034, 980234, 980521, 980014, 1229001, 1172044, 979932, 980197, 979958, 980500, 1172052, 980191, 980157, 980129, 980550, 979960, 979997, 979893, 980533, 979967, 979959, 980126, 1228965, 1172104, 980305, 1172113, 979845, 980399, 980394, 1172067, 1172046, 979828, 979876, 979920, 980459, 979783, 979812, 979827, 1228995, 980094, 980070, 980341, 979964, 980030, 1228964, 979804, 980439, 1229015, 980233, 980303, 980298, 980276, 980210, 980236, 1172028, 979882, 980486, 980561, 980221, 979949, 980458, 979863, 980266, 1229002, 980125, 979811, 980489, 980540, 979864, 980232, 980035, 980012, 1228991, 980543, 980381, 980080, 979972, 1172097, 980363, 980472, 980056, 979776, 980425, 980356, 980258, 979777, 980045, 980508, 1228948, 980072, 980470, 980137, 1172031, 979798, 980391, 980113, 979790, 980101, 1172075, 980055, 979923, 980202, 980534, 1229016, 980523, 980114, 980253, 980118, 980541, 979841, 980188, 980481, 980061, 979938, 1228990, 1172038, 980165, 980428, 980351, 980292, 980384, 980552, 979780]","{'PRP': 0.08592333123264902, 'of': 0.06806085436916794, 'sentiment': 0.06535900448254925, 'NN': 0.0549892924430923, 'VB': 0.0446364301617637, 'IN': 0.039097481384087654, 'have': 0.03479603374640503, 'NNS': 0.032878488041953896, 'DT': 0.031439620928180416, 'to': 0.031003455955542606}"
0.5025,0.3388649407387105,0.7506265664160401,0.5025,0.66778,1,1.0,0.009950248756218905,1.0,0.005,[],"[980495, 980400, 1172086, 980020, 979882, 980220, 980399, 980546, 980402, 980435, 980177, 979845, 980032, 980258, 980163, 980332, 980491, 980167, 1228971, 1172034, 980387, 980056, 980245, 980186, 980368, 1172092, 979969, 1172114, 979961, 980026, 980539, 980509, 980420, 979912, 1228959, 1229026, 980256, 980036, 1229011, 980289, 1172112, 1228965, 980440, 980281, 979816, 980518, 980152, 979950, 1172057, 1228955, 979804, 979792, 980441, 1172084, 979822, 980513, 980261, 1172116, 1172042, 980265, 980145, 979968, 980290, 980050, 1228983, 980130, 1229019, 980462, 980413, 1229032, 979859, 979921, 980448, 979813, 1172069, 980432, 980013, 980272, 980542, 980146, 980094, 980554, 980444, 1172066, 980510, 979948, 980151, 980165, 980456, 980457, 979795, 980106, 980362, 979852, 980070, 980021, 1172083, 980099, 980077, 980141, 979962, 980243, 980238, 980325, 980410, 980556, 980376, 1229016, 979982, 980461, 980471, 980371, 979793, 980210, 979973, 980344, 980540, 1228988, 980181, 979879, 979949, 980341, 979958, 980531, 979989, 980239, 979913, 1229022, 980113, 979803, 980034, 979794, 980161, 980142, 980074, 979779, 979977, 979861, 979830, 980223, 980315, 980198, 980468, 980212, 980219, 979936, 980049, 1228963, 979970, 980156, 979890, 979812, 1228980, 980408, 980254, 1228939, 980197, 980004, 980430, 1229034, 980501, 980253, 980121, 980301, 1228992, 1228966, 979979, 980346, 979971, 980437, 980534, 980204, 980317, 979997, 1172089, 1228969, 980047, 980553, 979906, 980279, 979851, 980385, 980166, 980093, 979844, 980150, 980523, 980541, 979772, 980025, 980028, 980473, 980497, 1172102, 980127, 1172047, 980039, 979883, 979995]","{'PRP': 0.08249920320964158, 'sentiment': 0.06703380650356067, 'of': 0.05177527730280763, 'NN': 0.05048842127071247, 'VB': 0.04573355854439499, 'to': 0.04217279909550707, 'IN': 0.04163746834569444, 'DT': 0.03381265927789073, 'have': 0.033618337396264006, 'RB': 0.028243846811652266}"
