accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.5,0.3420186866692985,0.5,0.5,0.66443,0,0.99,0.0196078431372549,0.5,0.01,"[1256273, 1197631]","[977442, 976988, 977087, 977064, 977384, 977299, 1228619, 1171716, 976890, 1171665, 977138, 1228642, 976937, 1171691, 976920, 977262, 1228629, 977022, 1171673, 976868, 977479, 977438, 977499, 976999, 977279, 976989, 977498, 977106, 1228640, 976787, 977555, 977207, 977352, 977436, 1171741, 977518, 976913, 1171721, 977373, 977533, 977211, 1228583, 1228582, 977267, 1171715, 976830, 977180, 976865, 976961, 1228638, 977381, 977495, 977076, 977149, 1228572, 977248, 1171671, 977169, 977233, 977274, 977065, 976975, 977531, 977368, 977505, 977132, 1171663, 976986, 977334, 977348, 1228570, 977277, 1228576, 976930, 977287, 1228664, 976881, 977123, 1228603, 977512, 1228660, 976804, 977002, 977511, 977163, 977079, 977476, 1171681, 977496, 976788, 976921, 1171748, 977284, 976924, 977020, 1171664, 976957, 977327, 976828, 977447, 977568, 976869, 977062, 977346, 1228604, 1171704, 977151, 976968, 977530, 977502, 1228593, 1171743, 977264, 1171677, 976938, 977167, 977359, 977337, 1228613, 977453, 1228622, 977323, 977463, 1171739, 976834, 1171689, 1171670, 976953, 977543, 977539, 976855, 977357, 977338, 1228647, 977113, 976792, 977385, 976902, 977351, 977044, 977513, 977170, 1228624, 977177, 976916, 977081, 977046, 977328, 1228599, 977039, 1171737, 976878, 1171756, 977058, 977421, 977394, 1171745, 977428, 977158, 977306, 977256, 977286, 977360, 976871, 976794, 976872, 976983, 976811, 977198, 977181, 977179, 976985, 976982, 977018, 977127, 1171713, 976939, 1228651, 977168, 977547, 1171698, 977378, 977034, 976910, 977263, 1171690, 977308, 1228645, 976960, 977553, 976842, 1171736, 977409, 977564, 976879, 977560, 977572, 977398]","{'PRP': 0.07582512063630456, 'of': 0.06494782667617155, 'NN': 0.059205011281355094, 'sentiment': 0.05888126784956267, 'VB': 0.05840090384266653, 'IN': 0.04580321141755516, 'to': 0.03255376395760686, 'the': 0.032492456452724604, 'RB': 0.032490736492599454, 'NNS': 0.030445388319778954}"
0.4925,0.32998324958123953,0.24811083123425692,0.4925,0.65997,0,0.985,0.0,0.0,0.0,"[1256462, 1200138, 1198322]","[977293, 977177, 976923, 977055, 977369, 977306, 976964, 977007, 976941, 976963, 976835, 977242, 977311, 977465, 976927, 977573, 977094, 977362, 976880, 976898, 1171736, 977145, 977088, 977004, 976962, 1171749, 977413, 977481, 977523, 1171679, 976815, 977203, 977317, 977421, 976919, 977000, 977169, 976887, 977221, 977420, 1171669, 976900, 976819, 977551, 977223, 976975, 977231, 1171720, 977050, 976854, 977477, 977178, 976827, 1228583, 976954, 976802, 977334, 977126, 977017, 1228607, 976960, 977567, 977019, 977052, 976981, 976982, 1228622, 976845, 977067, 977419, 977269, 1171687, 1228636, 977482, 977529, 977550, 977002, 977022, 977279, 977503, 977180, 977120, 977548, 977043, 977406, 977175, 976986, 977468, 976892, 1228634, 976948, 976840, 977535, 977370, 976882, 977281, 976939, 1171668, 977061, 977462, 976881, 977539, 1228587, 977137, 977347, 977447, 976938, 977105, 977453, 977108, 977346, 976904, 977572, 977260, 976972, 977075, 977060, 977125, 977546, 977508, 977425, 977354, 977255, 977359, 1228575, 1228571, 977156, 977074, 977343, 1171698, 977016, 1228567, 977378, 977471, 977021, 977027, 976896, 976822, 976950, 977387, 977316, 977228, 976863, 1228598, 977087, 976970, 976877, 977401, 977259, 977405, 1171742, 1171708, 977014, 1228586, 977397, 977102, 977275, 976947, 977520, 1171722, 1171662, 1171665, 977398, 977165, 1171751, 976869, 1228618, 976810, 1228608, 977001, 977298, 977062, 977337, 977403, 976926, 977350, 1228581, 1171676, 977412, 977282, 976993, 977283, 977078, 977443, 1228574, 976879, 1171701, 1228642, 977361, 977076, 977430, 1228658, 977038, 977261, 977151, 977111, 977099, 976920, 1228643, 976872]","{'PRP': 0.07500526910244147, 'of': 0.07116230753804417, 'VB': 0.057592021754709656, 'NN': 0.05286744437636478, 'sentiment': 0.05201249196537899, 'IN': 0.03930438589816398, 'DT': 0.03848376309208385, 'RB': 0.03346639009746031, 'the': 0.032747486002532265, 'have': 0.03224337459788801}"
0.4975,0.33222036727879795,0.24937343358395989,0.4975,0.66444,0,0.995,0.0,0.0,0.0,[838717],"[976793, 977128, 976910, 977419, 977244, 977026, 976990, 977274, 1228632, 977081, 977334, 977160, 977190, 977095, 1171684, 977355, 977552, 1228598, 977021, 976916, 1171693, 976854, 976927, 977161, 977015, 1171720, 976876, 977275, 977153, 977376, 976798, 976898, 1228663, 977320, 977458, 977038, 976791, 976919, 1171673, 976929, 977372, 977475, 1228650, 976948, 1228612, 1228606, 1171664, 977273, 977007, 976875, 1228618, 1228596, 977524, 977531, 1171726, 1171690, 977000, 977445, 977112, 977087, 977329, 977155, 977188, 977460, 977510, 1228586, 977435, 977033, 977199, 977204, 977298, 977078, 977408, 976945, 1171748, 977395, 977505, 1228661, 977541, 976896, 1228610, 1171746, 976838, 976899, 977516, 1171714, 1228584, 977436, 977068, 1171737, 1171735, 1228620, 977400, 977173, 977546, 977207, 977014, 977141, 977227, 977410, 976997, 976865, 977022, 977446, 977339, 977371, 977495, 1228626, 976812, 977123, 977426, 977573, 1171723, 977221, 976824, 977215, 976866, 977401, 977470, 977287, 977242, 977368, 977560, 1171661, 977152, 977035, 977059, 977119, 977370, 977233, 977520, 976976, 1228602, 977448, 977084, 977202, 976892, 977194, 977493, 976939, 977012, 1171695, 977238, 977282, 976837, 1171721, 977261, 977453, 1228636, 977077, 1171685, 977178, 977529, 977070, 977349, 977118, 977496, 977272, 977414, 976797, 1171676, 977450, 977358, 977144, 977200, 976859, 977251, 977447, 977037, 977101, 976842, 977205, 977307, 977126, 977402, 977088, 977074, 1228643, 977090, 977032, 977418, 977102, 977501, 1171738, 1171753, 977163, 1171717, 977052, 976843, 1228591, 977352, 976839, 976796, 977249, 977385, 977295, 976852, 1171750, 977213, 976890]","{'of': 0.08232737042432255, 'PRP': 0.07924810712536157, 'sentiment': 0.0498363896472417, 'NN': 0.04933712463581937, 'IN': 0.045660975146909234, 'VB': 0.04338471174647654, 'mean_sen_len': 0.03568654350813518, 'DT': 0.03466505750210417, 'to': 0.03255464554151346, 'NNS': 0.03244632641626157}"
0.495,0.3354388735359916,0.3737373737373737,0.495,0.66107,0,0.985,0.00980392156862745,0.25,0.005,"[839033, 1197132, 1197351]","[977379, 977164, 977144, 977270, 1228632, 1171677, 1171754, 977348, 977268, 1228644, 1171702, 976879, 977155, 977354, 976912, 1171728, 976816, 1228609, 977502, 976810, 977339, 977344, 977083, 977189, 977419, 1171725, 977196, 977381, 1171720, 977165, 1228567, 1228602, 1228633, 977012, 977138, 1171684, 977271, 976840, 1228615, 1171701, 977258, 977323, 977230, 976860, 977435, 977315, 1171746, 977147, 976887, 977023, 977006, 976914, 1171716, 976950, 977300, 976991, 977483, 977337, 1171679, 977280, 977357, 977503, 977397, 977254, 1228627, 977137, 977334, 1171670, 976921, 977352, 976922, 1228636, 977380, 977295, 1171737, 977322, 976917, 976829, 976954, 976835, 976867, 976795, 977484, 977031, 977261, 1171708, 1228652, 1171682, 1228631, 976965, 976927, 977349, 977404, 977542, 977079, 977308, 976913, 977465, 977462, 976814, 977319, 977206, 977306, 977293, 977204, 1171697, 976945, 976903, 977298, 977428, 1171675, 977368, 976877, 976848, 976958, 977284, 977555, 977406, 977501, 1228578, 977046, 977243, 977032, 977507, 977059, 977017, 977374, 977504, 1228656, 977565, 977481, 977248, 977025, 1228621, 977084, 977415, 977328, 976825, 976959, 977572, 977359, 977519, 977190, 977418, 976786, 976990, 977088, 976901, 977541, 977279, 976929, 977338, 976960, 977448, 976951, 977132, 976832, 977560, 977285, 977562, 976984, 977331, 976944, 976995, 977039, 977524, 976861, 1228650, 1228589, 976983, 977411, 977262, 1228659, 977275, 1228584, 977197, 977531, 977453, 1228639, 977282, 977403, 1171660, 977219, 1228583, 976808, 977143, 977312, 976936, 977041, 1171733, 977431, 976994, 1228580, 1228597, 977443, 977510, 1171707, 977479, 976854]","{'PRP': 0.07050943419714141, 'of': 0.06528580205087568, 'sentiment': 0.0647544981063684, 'NN': 0.05130500734051638, 'have': 0.047563092505853735, 'VB': 0.0446357323465212, 'DT': 0.03993677058234303, 'IN': 0.03778139357634807, 'which': 0.032470244407432194, 'the': 0.031794311474620605}"
0.5025,0.3431855500821018,0.5839630562552477,0.5025,0.66667,1,0.995,0.019704433497536946,0.6666666666666666,0.01,[838913],"[1228644, 977423, 976818, 977442, 976995, 1228640, 977264, 976964, 976802, 977385, 977368, 976801, 977006, 1171688, 976957, 976845, 977074, 977059, 977197, 1171679, 977046, 977212, 1228653, 977481, 1171753, 977429, 977039, 977324, 976850, 977165, 976961, 977539, 977525, 977115, 977512, 976905, 1228600, 977064, 977538, 977307, 977192, 1171748, 977103, 977430, 977010, 1171742, 977456, 977097, 977242, 977362, 977395, 977157, 1228580, 977052, 977313, 1171723, 977285, 977344, 977544, 1228598, 976856, 977433, 977528, 1228655, 977444, 1171711, 976804, 977086, 1171709, 977047, 977568, 977088, 977126, 976948, 977153, 976949, 977145, 977542, 977127, 977506, 977369, 977452, 1228583, 976956, 976951, 977373, 977462, 1171749, 977050, 977556, 977335, 977436, 977272, 1171738, 977253, 977302, 977271, 1171735, 976976, 977001, 977286, 977111, 1171729, 977425, 977571, 977017, 977487, 977146, 977225, 977424, 977268, 977451, 977308, 976846, 1171703, 976879, 977036, 1171725, 977000, 977569, 1171674, 977548, 977457, 977065, 977263, 977082, 977201, 977037, 976982, 977468, 977236, 1228659, 977404, 977405, 977341, 1171708, 977251, 976844, 977105, 977035, 1171755, 977049, 977118, 977507, 1228626, 977340, 977346, 976835, 1228573, 977489, 1228634, 976809, 1228631, 976876, 976989, 977280, 977188, 977143, 1228649, 977199, 1171672, 976820, 977135, 977015, 977358, 977567, 976842, 976791, 977222, 977018, 977100, 977412, 977431, 977067, 976868, 977419, 977479, 976883, 1228601, 976811, 1171727, 976864, 977392, 1171673, 977193, 976997, 1228658, 1171664, 977131, 977323, 1171693, 1171671, 1171721, 1228590, 977089, 1171702, 1171734, 977300]","{'PRP': 0.0768917493692017, 'sentiment': 0.06138382602550867, 'NN': 0.05665661771662514, 'VB': 0.055877709946087074, 'of': 0.054156878985137824, 'to': 0.048624606989895194, 'DT': 0.034232735787074885, 'IN': 0.031105414792655828, 'which': 0.029432037018426525, 'NNS': 0.029045355129093405}"
0.5,0.3420186866692985,0.5,0.5,0.66443,0,0.99,0.0196078431372549,0.5,0.01,"[1256163, 1100184]","[977025, 976859, 1171671, 977440, 977464, 976895, 977262, 977077, 1171683, 977484, 976788, 977263, 977378, 976814, 977343, 977201, 977156, 1228605, 977338, 1228618, 977282, 977120, 977100, 1228623, 976930, 1228664, 977313, 1171754, 1171752, 977236, 976980, 1171755, 1228629, 976913, 977123, 977319, 976828, 1228569, 976938, 976907, 1171672, 977392, 977424, 977363, 977327, 977369, 976979, 977455, 977472, 976970, 977540, 977442, 977535, 977433, 977140, 976880, 977158, 977271, 976917, 977244, 977214, 977515, 976804, 977137, 977182, 1171668, 977274, 977301, 977351, 977087, 976805, 976826, 977278, 976843, 977203, 977118, 977081, 1228595, 1228578, 977362, 1171710, 977117, 976874, 977299, 977435, 976985, 1171660, 977454, 977408, 977168, 977470, 977394, 1228633, 977259, 977397, 977018, 1228587, 976967, 977053, 977015, 1171751, 1171676, 1228617, 977553, 977249, 977199, 977277, 977008, 976927, 1228651, 977108, 976944, 977202, 977306, 977013, 977001, 977133, 976914, 977551, 977121, 976850, 977390, 976842, 977267, 977064, 977141, 976962, 977348, 977401, 1171688, 977219, 977104, 976868, 976949, 977144, 1228643, 977387, 976835, 977270, 977528, 1171675, 977467, 977222, 977573, 977518, 1228590, 1171714, 977152, 1171664, 977361, 977457, 977147, 977293, 1228577, 976830, 977116, 977096, 977420, 977453, 977181, 1171669, 1228662, 977028, 977268, 1228584, 977495, 1228604, 977019, 977555, 1228607, 1171666, 977252, 977370, 977190, 977112, 976857, 977426, 977371, 977171, 976892, 977136, 977423, 977345, 977530, 1171702, 977094, 977288, 977570, 977132, 1171718, 977297, 977072, 1228621, 977005, 977444, 976984, 977206, 1171678]","{'PRP': 0.06665499469578284, 'of': 0.05819422620377793, 'VB': 0.05112054794219006, 'NN': 0.05031355991888156, 'IN': 0.049429854839861, 'sentiment': 0.04672296618154788, 'have': 0.04403723315878065, 'DT': 0.039506634975646854, 'i': 0.033645535748059736, 'mean_sen_len': 0.032081728409878496}"
0.5,0.33333333333333326,0.25,0.5,0.66667,0,1.0,0.0,0.0,0.0,[],"[1228609, 1171734, 976915, 976939, 976985, 977010, 977571, 1171668, 977482, 977133, 977086, 977187, 977374, 977197, 1171706, 976995, 1171686, 1228576, 977511, 977033, 977013, 1171716, 977274, 977424, 976997, 977059, 976894, 977461, 977141, 977170, 977398, 977353, 977490, 976875, 1171713, 977190, 977189, 977551, 977313, 977466, 1228652, 976854, 976794, 1171724, 977423, 1171756, 976879, 977023, 977572, 977318, 1228660, 1171695, 977079, 976921, 977383, 976813, 1171691, 977172, 977155, 1228620, 1228649, 976960, 977471, 1171754, 1171669, 977142, 977401, 977012, 977072, 976966, 977248, 977278, 977332, 977251, 977119, 977200, 976938, 977487, 977093, 976797, 1228611, 977193, 1171714, 1171698, 977062, 976803, 977191, 977458, 1171705, 976836, 976876, 1228635, 976840, 977378, 977554, 977492, 976885, 977522, 976996, 977420, 977393, 1171697, 977216, 1171687, 977408, 977147, 977491, 976964, 977385, 977029, 977455, 977080, 977468, 976952, 976787, 977125, 976949, 1228575, 976817, 977451, 977287, 976869, 976808, 977014, 977267, 977257, 977555, 977240, 1228573, 977352, 976799, 977305, 977280, 977213, 1171682, 977234, 977198, 977066, 976992, 1228636, 977406, 1228607, 976887, 977034, 977316, 977226, 977298, 1171680, 977531, 977179, 976968, 976905, 976886, 977102, 977140, 1228658, 977542, 977529, 977121, 977507, 977546, 977440, 977453, 977185, 1171673, 976802, 1228619, 976941, 977508, 1228572, 977516, 976904, 977160, 976856, 977334, 977428, 977377, 976867, 1171677, 977128, 1171702, 977203, 977180, 977275, 976877, 977271, 976958, 977489, 1228577, 977565, 977292, 976991, 976900, 976859, 977412, 977359, 976858, 1228591, 977290, 1171700]","{'PRP': 0.08252949460954645, 'of': 0.07013781377993275, 'NN': 0.06675180752907205, 'sentiment': 0.05811015538892603, 'VB': 0.04959011332359403, 'IN': 0.04284881718672879, 'DT': 0.03921653635734077, 'i': 0.030991041922132645, 'to': 0.030202312605415477, 'mean_sen_len': 0.0265856160275118}"
0.505,0.34859849980260554,0.6262626262626262,0.505,0.66779,1,0.995,0.029411764705882353,0.75,0.015,[1101844],"[977397, 977337, 1228655, 976807, 977239, 977414, 976990, 1228639, 977227, 1171726, 977085, 977539, 976946, 977211, 976896, 977074, 977418, 1171730, 977278, 977367, 976848, 977384, 1171732, 976872, 977300, 976852, 976976, 1171672, 977380, 977242, 977106, 977068, 977123, 976899, 977468, 1228583, 977054, 977107, 977066, 977429, 1228664, 1228605, 977127, 977079, 977252, 977063, 977295, 977246, 977514, 977236, 977444, 976924, 1171669, 977484, 976975, 976984, 977007, 976919, 977348, 976798, 977311, 976932, 977033, 977390, 1171728, 977480, 977217, 977308, 1228611, 976964, 977078, 977264, 977117, 1228616, 976908, 977471, 977011, 977449, 1171739, 977362, 976923, 977219, 976791, 977341, 977075, 977098, 977482, 977411, 977134, 977089, 977513, 1228571, 977029, 976879, 976891, 1171712, 976951, 977454, 977002, 976847, 977407, 977498, 977084, 977175, 977358, 1228603, 1171725, 977363, 977143, 977355, 1228623, 976937, 977456, 977529, 977281, 977535, 977179, 1228576, 977071, 976902, 977205, 977180, 976840, 977157, 976967, 976893, 976818, 977017, 1171690, 1171711, 1228608, 1228584, 977064, 976870, 1228615, 977533, 977171, 1171756, 977326, 977096, 977301, 1171740, 977083, 977247, 977183, 977551, 976888, 976792, 977040, 977538, 977261, 977270, 1171671, 977448, 977302, 977135, 1228609, 976785, 977446, 977276, 977532, 977258, 976823, 977349, 977099, 977289, 976910, 1171683, 976993, 976830, 977419, 1171673, 1171661, 976942, 1171741, 1228625, 977465, 976991, 976874, 977509, 977424, 976981, 977037, 1171742, 977053, 977442, 977359, 977365, 1228631, 977476, 1171663, 976838, 977202, 977324, 977187, 976784, 1171713]","{'PRP': 0.07992376106965307, 'of': 0.06767359897516755, 'sentiment': 0.06044735542566617, 'VB': 0.05503941917002021, 'NN': 0.04954954360704314, 'DT': 0.043206481951042285, 'IN': 0.03907493349315438, 'i': 0.03339021995500489, 'RB': 0.031205676456665277, 'to': 0.029506769907382272}"
0.5,0.33333333333333326,0.25,0.5,0.66667,0,1.0,0.0,0.0,0.0,[],"[977170, 976878, 976930, 977547, 977369, 1228630, 976933, 977196, 977002, 976900, 976934, 977161, 976800, 977157, 1228614, 977102, 977348, 976974, 977427, 977036, 977496, 977251, 976940, 977188, 1171752, 977100, 1171711, 1171724, 977310, 976887, 977224, 977209, 977386, 1228599, 977460, 1171689, 977239, 977057, 977038, 977435, 977117, 977133, 977420, 977268, 977370, 1228598, 977430, 977019, 977543, 977347, 1171741, 977333, 1171680, 977307, 1228618, 977472, 976851, 977096, 977397, 976784, 1171748, 977392, 1171754, 977372, 977148, 977134, 977487, 977243, 1228568, 976962, 977077, 976890, 977416, 977304, 977514, 1228574, 1228636, 977515, 977061, 977151, 977174, 976994, 977064, 977558, 1171753, 977513, 977398, 977277, 977350, 977376, 977535, 976963, 1171737, 977311, 977349, 976839, 977306, 976822, 1171668, 976922, 977300, 1228612, 977536, 977182, 976981, 1171715, 1171700, 977269, 977409, 977111, 976805, 976862, 976786, 977138, 976938, 1228608, 977394, 977549, 976803, 977167, 1228658, 976918, 1171673, 977021, 976853, 1171733, 977177, 977270, 1228570, 977361, 977359, 977274, 977252, 1228627, 977046, 976958, 977443, 977215, 1228591, 977089, 976899, 977516, 976914, 977566, 977353, 977260, 977264, 977484, 977470, 976830, 977454, 977498, 977045, 977087, 976820, 976819, 976920, 977522, 976788, 977203, 977570, 976792, 976969, 977116, 977408, 977153, 977016, 976990, 977374, 977136, 976937, 977237, 976902, 1171720, 976841, 977086, 1171725, 977432, 976848, 977199, 976874, 977030, 977564, 1228641, 977292, 977169, 977050, 977492, 976881, 976903, 1171716, 977143, 976837, 977387, 977053, 977082, 977184, 976834, 976783, 977058]","{'sentiment': 0.07471742197059697, 'of': 0.0697649814994456, 'PRP': 0.06471301115248768, 'VB': 0.051437434602687036, 'NN': 0.050703335518620045, 'DT': 0.044011313547946435, 'mean_sen_len': 0.03826281199557431, 'i': 0.03421537929618754, 'RB': 0.03375080818766438, 'have': 0.02838874187313978}"
0.5,0.33333333333333326,0.25,0.5,0.66667,0,1.0,0.0,0.0,0.0,[],"[977502, 977152, 976946, 977033, 977341, 1171726, 977532, 977254, 977286, 977459, 977455, 1171724, 977431, 976811, 976867, 977248, 977199, 977456, 1228642, 977535, 977354, 1228612, 976831, 977304, 976860, 976789, 977203, 977288, 977173, 977359, 1228588, 977267, 977099, 976906, 976950, 1171745, 1171672, 1171735, 977518, 977294, 977315, 1171751, 1171664, 977085, 1171704, 977562, 976847, 1228660, 977269, 1171701, 977342, 1171709, 977312, 976983, 977489, 977122, 977427, 976868, 977525, 977310, 1171721, 977098, 977348, 977273, 976912, 976829, 976796, 977082, 1228622, 976815, 976954, 977274, 977227, 976826, 976929, 977172, 1171740, 976942, 977153, 977123, 1228594, 977045, 977170, 977424, 977027, 977206, 977569, 977069, 1171680, 977385, 1171739, 976985, 977422, 976857, 977430, 1171682, 977067, 977128, 977046, 976939, 977015, 977291, 976871, 1228652, 1228623, 977262, 977490, 977063, 976786, 1228641, 976917, 977080, 977007, 1171674, 977364, 977113, 977207, 977104, 1171756, 976866, 976873, 977560, 976908, 977155, 976965, 977160, 977411, 977189, 977053, 977083, 976869, 1228634, 976828, 977478, 977115, 977509, 977253, 977564, 1171743, 976935, 1228573, 977158, 976844, 977249, 976887, 977347, 977567, 1171733, 1228633, 977528, 977102, 977039, 1228662, 977052, 976889, 977275, 977270, 977479, 1171671, 977336, 977418, 1228591, 977149, 977384, 1171687, 976891, 977090, 1171681, 1171669, 977515, 1171690, 1228586, 976964, 977011, 976957, 976838, 1171662, 976862, 977550, 977523, 976877, 976921, 976945, 977271, 1171716, 977506, 977041, 976799, 977252, 976803, 977375, 1171676, 977545, 1228584, 976849, 1171693, 1171696, 976892, 977428, 977534]","{'PRP': 0.0801647095690874, 'sentiment': 0.06443852587915906, 'of': 0.062220206876290624, 'VB': 0.052549140120191705, 'NN': 0.04947769199546178, 'to': 0.04065545713480887, 'DT': 0.03984497226701013, 'IN': 0.0379549007696042, 'have': 0.03182344881542771, 'the': 0.030318630757032665}"
