accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.505,0.34434915063412697,0.7512562814070352,0.505,0.6689,1,1.0,0.019801980198019802,1.0,0.01,[],"[959604, 958884, 959331, 1169436, 959500, 958916, 959556, 959074, 959419, 959514, 959144, 959235, 959601, 1226415, 959150, 959075, 959119, 959327, 958929, 959038, 959418, 959225, 1226359, 959572, 959093, 959519, 959173, 959490, 959402, 1169454, 959201, 959369, 959546, 959449, 959170, 959371, 959191, 958970, 958887, 959239, 959156, 959092, 959469, 1169471, 959356, 1226407, 959392, 959400, 959097, 959454, 959494, 958987, 959123, 1226371, 959497, 1226376, 959460, 959591, 959258, 1226408, 959079, 959496, 959571, 959437, 959511, 959046, 959251, 1169434, 959121, 959124, 959128, 1226370, 959299, 959253, 959146, 1169453, 958997, 1226378, 958975, 959045, 959522, 958908, 1226405, 958909, 958907, 1169470, 959051, 959016, 959565, 1169429, 1169427, 959438, 959133, 958917, 959084, 959275, 958978, 959109, 959060, 959030, 959231, 959013, 958977, 959407, 958947, 1226377, 959020, 959372, 959254, 1226358, 1169468, 958934, 1169447, 958982, 959596, 958958, 959501, 1226410, 958990, 959391, 959100, 959137, 1226380, 959210, 958936, 959521, 959025, 958905, 1226361, 958913, 958971, 959155, 958969, 959218, 959365, 959283, 1169497, 959159, 958888, 959271, 959461, 959470, 1226338, 1169425, 1169492, 959061, 959432, 959364, 959011, 958972, 958930, 959480, 1226339, 959344, 1226329, 959221, 959476, 959322, 958942, 1226364, 959215, 958944, 958924, 959479, 959238, 959534, 1169473, 1169446, 958904, 959127, 958878, 959532, 959169, 958910, 959095, 1226404, 959125, 958957, 1226390, 958919, 959491, 959427, 959540, 959186, 959373, 959006, 959308, 1169423, 959493, 958927, 959399, 959157, 1226345, 959448, 959166, 1226355, 1169463, 959012]","{'of': 0.07791096063739393, 'PRP': 0.07362637595109806, 'sentiment': 0.07144326356026046, 'NN': 0.05064046164730842, 'VB': 0.04691102144608643, 'IN': 0.035841320102210486, 'to': 0.0344022352132076, 'RB': 0.033019337319800134, 'DT': 0.032156497119015484, 'have': 0.03184877646211758}"
0.505,0.34434915063412697,0.7512562814070352,0.505,0.6689,1,1.0,0.019801980198019802,1.0,0.01,[],"[958916, 959276, 958954, 959231, 1169446, 959356, 959132, 959282, 959524, 959600, 959045, 959493, 959218, 959038, 958946, 958935, 958982, 958961, 1226348, 1226392, 959220, 959502, 959537, 958979, 959167, 959042, 959354, 959558, 959083, 959565, 1169449, 958970, 959289, 1169451, 958893, 958880, 959203, 1169441, 959374, 1169448, 959128, 958884, 959308, 958934, 959344, 959292, 1226414, 958958, 959326, 959450, 959191, 959252, 959013, 1226346, 959017, 959480, 958943, 958989, 959118, 959397, 1169430, 959410, 1226417, 959072, 1226416, 959355, 959490, 959031, 958993, 959523, 959556, 958913, 959249, 959495, 1226374, 1226422, 959527, 958936, 959400, 959301, 958921, 1169455, 959018, 1169509, 1226364, 959506, 1226359, 959431, 959108, 959594, 959086, 1226400, 958957, 959039, 959080, 1226361, 959382, 959114, 959016, 1226393, 959261, 959398, 1226412, 959030, 958944, 959109, 959518, 958963, 958881, 1169472, 959486, 959512, 1226410, 958886, 1226421, 958984, 959179, 959389, 959593, 959168, 959320, 959121, 959273, 1169439, 1169507, 958930, 958999, 959346, 959170, 959116, 959408, 959219, 958910, 959035, 959229, 1226334, 1226402, 958964, 959006, 958926, 958956, 958929, 959010, 959437, 958953, 959131, 959262, 959285, 959496, 959000, 959442, 959384, 1226353, 959050, 959303, 959113, 959595, 959106, 959161, 959604, 958971, 959175, 959321, 959402, 959157, 959420, 1169424, 958902, 959414, 959478, 1226385, 959172, 958968, 958973, 959526, 959451, 1169478, 959460, 959054, 959447, 1169474, 959082, 959435, 959409, 959213, 959291, 959092, 959560, 959163, 959133, 958995, 958938, 959453, 1226340, 959294, 1169491, 959246, 959085]","{'PRP': 0.08054728887491355, 'of': 0.06479425692300053, 'sentiment': 0.05099025722358112, 'VB': 0.04819741729006902, 'have': 0.04633748814641848, 'DT': 0.043491473142157816, 'NN': 0.03969290930067248, 'IN': 0.03782779833164029, 'the': 0.0349750418084682, 'which': 0.030927289025667323}"
0.5025,0.35153277773704494,0.5363504180298073,0.5025,0.66442,1,0.985,0.03864734299516908,0.5714285714285714,0.02,"[1099968, 1100557, 1254628]","[959349, 959225, 959057, 959066, 959482, 1226359, 959465, 959508, 959062, 959337, 959578, 959547, 959218, 1169505, 959111, 959445, 959221, 959223, 958990, 959115, 959562, 1226416, 1226329, 1169475, 1169458, 959542, 1226377, 959014, 959601, 959608, 958897, 959098, 959027, 1169434, 959031, 959567, 1226373, 959043, 1226351, 959087, 959216, 959128, 958954, 959242, 959574, 958940, 959499, 959602, 959429, 959419, 959000, 958930, 959074, 1226411, 1169433, 959272, 958922, 959520, 1226375, 958911, 959229, 1169471, 959408, 958974, 958908, 1226376, 959258, 1226378, 959036, 959211, 959184, 959254, 958891, 1226405, 958994, 958907, 1226389, 1169428, 959064, 958943, 958989, 959443, 959013, 959085, 959163, 959277, 959430, 958964, 959501, 959320, 959094, 959456, 959113, 959045, 959369, 1226390, 959075, 959566, 1169435, 1226400, 959463, 959590, 958945, 959434, 1169509, 958938, 959400, 959230, 959556, 959049, 959207, 959537, 1169430, 1169451, 959550, 959189, 958965, 1226391, 959185, 959442, 1169515, 959587, 958950, 959334, 959046, 959171, 959025, 959228, 959593, 1169496, 1226384, 959466, 1169508, 958929, 959410, 959287, 959302, 959576, 959536, 959059, 959440, 959249, 958995, 1169466, 959347, 958951, 1226358, 959488, 958953, 1169459, 958999, 1169486, 1226423, 1169482, 959416, 959125, 958956, 1169465, 959168, 959265, 959005, 959382, 959241, 959222, 1226415, 959317, 959513, 959475, 958968, 1226417, 959494, 958885, 959107, 958917, 959533, 959154, 959301, 1169442, 958924, 959423, 1226419, 958910, 959143, 959219, 959266, 959131, 959088, 959563, 959374, 959504, 959432, 959384, 959450, 959412, 959099, 959130]","{'PRP': 0.0752371697660625, 'of': 0.06510207850377742, 'NN': 0.06134292418760384, 'sentiment': 0.05874727222910131, 'VB': 0.056099925783851215, 'to': 0.047433515012353926, 'IN': 0.03852500569301659, 'DT': 0.037731447127929314, 'have': 0.03313582668174755, 'which': 0.028206438822497445}"
0.5075,0.3539659766345562,0.6518987341772151,0.5075,0.66891,1,0.995,0.03902439024390244,0.8,0.02,[1255493],"[1226387, 958959, 1226386, 959443, 958980, 1169441, 959419, 1169505, 1169431, 959202, 959402, 958987, 959441, 959370, 959156, 959476, 959114, 959295, 959160, 959250, 959155, 959591, 959451, 959527, 959488, 958887, 1226341, 1169428, 958989, 959318, 958991, 959380, 958912, 1169424, 959333, 1226411, 959592, 958919, 1226344, 959141, 959305, 959208, 959548, 959027, 959381, 958967, 1226353, 958979, 959529, 958917, 959279, 959503, 959275, 959354, 959179, 959044, 959039, 1226373, 959412, 959134, 959068, 958903, 959081, 959590, 1169493, 1226382, 959371, 1226418, 959270, 959374, 959067, 959509, 959293, 1169480, 958994, 959227, 958905, 1226410, 959515, 959587, 1169483, 959547, 959121, 959262, 959003, 1169475, 959348, 959307, 959172, 959051, 959487, 959538, 959119, 959364, 1226340, 959413, 958895, 959330, 959224, 959422, 958946, 959409, 959308, 959359, 958908, 959606, 1226370, 959019, 959575, 1169440, 959537, 959073, 959187, 959328, 959282, 959033, 959382, 959444, 959123, 958897, 959036, 959041, 958942, 959465, 959021, 959454, 959299, 959189, 958889, 959504, 958945, 959319, 958992, 959383, 959084, 1169423, 959271, 959056, 959366, 1226349, 959484, 959220, 959439, 959001, 959149, 959433, 959395, 1226361, 1169479, 959603, 959518, 1169478, 959473, 959568, 959510, 959584, 959533, 958932, 1226369, 959356, 959188, 959006, 959029, 959317, 1226406, 959346, 959254, 959562, 958985, 959406, 959351, 959013, 959112, 958941, 959411, 959367, 959472, 1169489, 959561, 1169503, 959594, 959312, 959261, 1169471, 1169465, 959163, 958999, 1169450, 958978, 1169467, 959440, 959105, 959122, 959058, 1169454, 959014]","{'of': 0.07761535874003013, 'PRP': 0.07306177212652072, 'sentiment': 0.06123613820173122, 'NN': 0.05718238348153406, 'VB': 0.0441794547873534, 'IN': 0.042251573482237924, 'DT': 0.0345367774954661, 'have': 0.032322970926907224, 'NNS': 0.029814763528615743, 'not': 0.028123080693562376}"
0.495,0.3354388735359916,0.3737373737373737,0.495,0.66107,0,0.985,0.00980392156862745,0.25,0.005,"[1256663, 1199354, 1197476]","[959187, 959466, 959287, 959288, 958899, 959206, 958929, 959529, 959315, 959156, 958897, 959384, 959148, 959046, 959161, 958890, 959040, 959144, 959496, 959072, 959381, 959257, 959571, 958893, 1226360, 959470, 959168, 959171, 1169471, 959583, 959495, 959537, 959077, 959126, 1169458, 959591, 959124, 959390, 959039, 958944, 959273, 959024, 1169440, 959255, 959527, 1226373, 1169444, 1169446, 959245, 959213, 959370, 959061, 959542, 959380, 1226356, 959348, 959299, 958973, 958884, 959354, 959189, 959140, 959411, 1169494, 959210, 959018, 959125, 959544, 959487, 959268, 959151, 959585, 959329, 958906, 958882, 959366, 1226407, 959035, 958917, 958910, 959415, 1226386, 959572, 959565, 1169498, 1226394, 959559, 1169482, 959019, 959251, 958881, 1226406, 959026, 959136, 959431, 959337, 1169470, 958892, 959349, 959396, 1226342, 958954, 959539, 958942, 959584, 959600, 959202, 959112, 959563, 1226350, 1169483, 959201, 959084, 959260, 959322, 958940, 1169457, 959230, 1169449, 959017, 959484, 959133, 959407, 959095, 959261, 959423, 959131, 958987, 1226390, 959501, 958990, 959594, 959106, 958961, 959312, 959548, 959110, 959476, 1169515, 959192, 959391, 959367, 1169473, 1169485, 959150, 959522, 959497, 959518, 959063, 959382, 959032, 959205, 959363, 959421, 959244, 959494, 959000, 959162, 959534, 959033, 959227, 959437, 958967, 959056, 1226341, 959500, 1169462, 959441, 959108, 1169442, 959589, 959502, 959442, 959427, 959385, 959509, 959253, 959021, 959327, 1226331, 959607, 959083, 959374, 959383, 959173, 1226366, 959418, 959474, 1226422, 1226335, 1226359, 958948, 959067, 959541, 959446, 959010, 959100, 1226369, 959087]","{'PRP': 0.08287408973982881, 'sentiment': 0.06715415394346441, 'of': 0.06087919662099383, 'NN': 0.051367659295878, 'VB': 0.04463914270318603, 'IN': 0.044386522531437426, 'the': 0.03736216917034784, 'have': 0.036751895412274964, 'DT': 0.03473001551071051, 'i': 0.033152891959480235}"
0.5125,0.36851820367716714,0.6420858198351805,0.5125,0.67005,1,0.99,0.06698564593301436,0.7777777777777778,0.035,"[1255363, 1254483]","[958996, 959517, 959430, 959568, 959270, 959547, 958920, 959311, 958980, 1226415, 959488, 1226383, 959362, 959048, 959335, 958985, 959571, 959092, 959391, 959326, 959572, 959182, 959112, 959184, 959102, 959027, 1169471, 1226366, 959502, 959448, 959357, 959607, 959545, 959498, 959604, 959282, 959358, 959323, 959185, 959369, 959454, 958988, 958967, 959467, 959432, 959305, 958936, 959324, 959483, 959213, 959261, 959055, 1169449, 959397, 1169507, 958970, 959309, 1169433, 1226369, 959439, 959522, 959429, 959071, 1226408, 959008, 959252, 959164, 959315, 959074, 959096, 959300, 1226330, 959238, 959152, 959451, 959564, 958943, 1226353, 959578, 958877, 959352, 1169511, 1169447, 959336, 958929, 959427, 958928, 959380, 958924, 959301, 959177, 1226361, 958896, 1226368, 1226411, 1169445, 959449, 959476, 959450, 958973, 958964, 1226364, 958902, 959075, 959142, 959038, 959538, 959073, 959463, 958925, 959183, 1226358, 959390, 959278, 959337, 1226392, 959513, 959266, 959297, 958971, 959341, 959085, 959457, 959346, 958917, 958878, 959216, 959599, 958979, 959370, 958999, 959321, 958954, 959516, 959042, 959594, 1226336, 959013, 1226377, 1226370, 959259, 959275, 959245, 959107, 959224, 959415, 959353, 959325, 959359, 958994, 1226351, 959068, 958941, 959576, 1169459, 958897, 959595, 959491, 959290, 1169504, 959024, 959121, 959050, 959207, 1169452, 959148, 959277, 958960, 959384, 1169435, 959299, 1226417, 959157, 1169427, 959472, 959026, 1169462, 959235, 959376, 959083, 1226385, 1169503, 959211, 959011, 959250, 959029, 959014, 958904, 959377, 959192, 959061, 959194, 1226367]","{'PRP': 0.07607375650703656, 'of': 0.06981484137978142, 'sentiment': 0.06311531691588824, 'NN': 0.05731072606120701, 'VB': 0.05296441554095875, 'IN': 0.04553621693819882, 'have': 0.038532356755219495, 'NNS': 0.036206228953995515, 'DT': 0.03433886475796318, 'to': 0.030644508972964505}"
0.51,0.3592886796770292,0.6692047377326565,0.51,0.67003,1,0.995,0.04854368932038835,0.8333333333333334,0.025,[1199464],"[959576, 959220, 1226376, 959356, 959263, 959076, 958967, 1169487, 1226347, 1226340, 959549, 1169467, 1226363, 959531, 1226384, 959170, 959490, 958940, 959375, 959524, 959456, 959069, 958912, 958892, 958983, 959361, 1169444, 959470, 959073, 959297, 958934, 959328, 958889, 959032, 1169426, 959330, 959122, 959402, 958921, 959157, 959196, 959469, 1226395, 1226338, 959222, 1226418, 959441, 959154, 959193, 959305, 959370, 959377, 959295, 1226379, 959482, 959043, 959101, 958953, 959234, 958881, 959142, 959001, 959211, 958954, 959243, 959215, 1169502, 959041, 959534, 959507, 959240, 959539, 959092, 1169505, 959317, 959056, 959449, 1226336, 1169497, 1226375, 959280, 959143, 959322, 959010, 959067, 959311, 958992, 959472, 959355, 959547, 958904, 959350, 959156, 959466, 958906, 959207, 959064, 958988, 1169489, 959528, 959337, 1226365, 958908, 959418, 959376, 959518, 959126, 959360, 1226362, 1169514, 1226356, 959078, 959217, 1169482, 958896, 1226330, 1226408, 959252, 959063, 1226405, 959097, 1226372, 959371, 1169437, 958943, 959497, 959267, 1226403, 959381, 959601, 959072, 959172, 958914, 959385, 959557, 959496, 959412, 959493, 959125, 1226390, 959016, 959606, 1169438, 1226387, 959393, 959384, 959392, 959027, 1226420, 958919, 959233, 959600, 958926, 959397, 1226371, 959570, 959279, 959434, 1169474, 1226417, 959435, 959179, 959432, 958935, 1226345, 959242, 959011, 1169488, 959140, 959309, 959074, 1169453, 959530, 959269, 959587, 959512, 959060, 959042, 959145, 958938, 1226332, 959112, 959005, 958886, 958897, 959351, 958990, 959529, 959451, 959485, 958939, 959184, 959231, 959326, 959226]","{'sentiment': 0.07277509905403397, 'PRP': 0.07145545243808343, 'of': 0.057079147166813504, 'NN': 0.05240645551975781, 'VB': 0.05087319460392353, 'NNS': 0.044315519792501146, 'DT': 0.036274694896892105, 'RB': 0.035420983839728616, 'IN': 0.03240991530223312, 'i': 0.03231632179638724}"
0.5025,0.3431855500821018,0.5839630562552477,0.5025,0.66667,1,0.995,0.019704433497536946,0.6666666666666666,0.01,[1197784],"[1226358, 1226349, 958916, 959030, 959273, 958988, 958914, 959216, 959571, 959486, 959069, 959382, 959201, 959290, 959528, 1226413, 959073, 959171, 1169457, 1169466, 958910, 959287, 959388, 958997, 1226380, 959280, 959221, 959378, 959369, 958921, 1169455, 959603, 1169513, 1169464, 959465, 1169484, 959010, 959215, 1226399, 959463, 959372, 959315, 959331, 959450, 1226422, 958898, 959219, 1169505, 959090, 959392, 959438, 959502, 958976, 958959, 1169497, 1226386, 958975, 959120, 1169435, 959258, 959291, 958991, 959448, 1169487, 959417, 1226336, 959188, 959573, 959235, 959594, 959088, 959020, 1169426, 1226341, 959546, 959314, 959470, 959494, 959323, 959117, 959105, 959279, 959319, 958895, 1169433, 959118, 959418, 1169492, 959091, 958888, 958887, 959363, 959299, 959300, 959021, 959348, 959340, 959531, 959076, 959237, 959181, 959224, 959565, 958984, 959377, 1169509, 959351, 959588, 959426, 959519, 958928, 959555, 959472, 1169448, 959029, 958899, 1226368, 959142, 958985, 1169475, 1226395, 959577, 958925, 958979, 958926, 959203, 1169424, 959439, 958915, 959245, 1226404, 958903, 1169441, 959482, 958983, 959583, 959469, 959509, 1226390, 959133, 1226353, 959162, 958970, 959243, 959339, 959055, 959433, 959423, 959220, 958937, 959242, 959289, 959051, 959391, 959478, 959592, 959240, 959523, 1226346, 958966, 958933, 959127, 959270, 959262, 959395, 959106, 959436, 1226401, 959551, 958877, 958889, 959057, 1226374, 959585, 959022, 1226352, 1226396, 1169425, 958994, 959281, 959572, 959424, 959143, 958982, 959511, 959210, 958981, 959549, 959529, 959225, 1169440, 959533, 959547, 959031, 1226371, 959443, 958960, 959505]","{'PRP': 0.07575815920961752, 'sentiment': 0.06716937027452072, 'VB': 0.06031332903288447, 'of': 0.05893899071975827, 'NN': 0.05042354910382387, 'IN': 0.04693924961993602, 'DT': 0.04036281756139082, 'i': 0.03282093450032688, 'have': 0.031257614011226106, 'RB': 0.031141994812857107}"
0.505,0.34434915063412697,0.7512562814070352,0.505,0.6689,1,1.0,0.019801980198019802,1.0,0.01,[],"[958984, 1226369, 958988, 959058, 959444, 959351, 1169447, 959101, 958931, 959531, 959042, 959335, 958879, 1226414, 959138, 959073, 959527, 959263, 959208, 959076, 959475, 958921, 1169435, 959459, 959495, 959186, 1169443, 959302, 959472, 1169515, 959009, 959086, 1226366, 959555, 959139, 959166, 959421, 1226384, 959277, 959474, 959485, 959049, 959576, 958983, 959491, 959209, 959134, 959360, 959299, 959376, 959071, 959419, 959449, 959177, 959392, 959587, 1226335, 1226356, 958961, 959070, 959355, 1226391, 1226352, 1169457, 959244, 959273, 959559, 959384, 958934, 1226388, 959381, 1169451, 959022, 959272, 958941, 959052, 959396, 959283, 959366, 959205, 959155, 959050, 958901, 959128, 959116, 959230, 959013, 959002, 959005, 959438, 958892, 1226328, 959499, 959115, 959041, 959164, 959031, 959514, 959265, 958993, 959222, 1169474, 959245, 1169444, 959484, 959054, 959211, 959432, 958898, 959592, 959121, 959607, 959539, 1226419, 959172, 959301, 959457, 959012, 1226396, 959176, 959018, 1226349, 1169478, 959025, 958922, 959238, 959195, 959044, 959542, 959374, 958975, 959247, 959255, 959480, 959508, 959249, 1169441, 959594, 959333, 959586, 959504, 959553, 959307, 959565, 958966, 958910, 1169464, 959591, 1226378, 1226372, 1169494, 959033, 1226364, 959530, 959399, 1169504, 959378, 958995, 958932, 959132, 959540, 958989, 959242, 959106, 1169467, 959019, 959133, 959393, 959060, 959145, 959338, 959279, 958987, 959085, 958940, 959320, 959067, 1169469, 959413, 959189, 958956, 1226360, 959448, 959064, 959369, 959595, 1226406, 959194, 958920, 959522, 959354, 959541, 959057, 959382, 959256, 1169431, 959487, 1226374]","{'PRP': 0.06864686727478415, 'of': 0.06828034315718327, 'sentiment': 0.0632949152521983, 'VB': 0.053934621716532544, 'NN': 0.050662883695500274, 'DT': 0.03747595667759754, 'RB': 0.03554686802616416, 'IN': 0.03507232457382784, 'the': 0.03192780486757282, 'to': 0.03081522476162033}"
0.4975,0.3365843998316707,0.41603694374475225,0.4975,0.66332,0,0.99,0.009852216748768473,0.3333333333333333,0.005,"[1199315, 1099852]","[959339, 958974, 959266, 958982, 1226422, 959556, 959471, 1169480, 1226385, 959151, 1169424, 958882, 959022, 958914, 959043, 1226353, 1226336, 959154, 1169498, 959242, 959127, 959534, 959056, 959126, 958970, 959312, 959485, 959247, 959150, 959263, 959015, 1226407, 1169447, 959412, 959054, 959174, 1226421, 1169445, 959042, 1226397, 959001, 959389, 959557, 959070, 959292, 959373, 959450, 959303, 959523, 959520, 959206, 958980, 959528, 959427, 959468, 1169476, 959143, 1226355, 959475, 1169458, 959010, 959366, 959050, 958989, 959097, 959018, 959493, 1226384, 958883, 959092, 959132, 959526, 958953, 959237, 959004, 959592, 1169466, 959156, 958884, 958960, 959428, 959364, 958880, 1226352, 959309, 1169443, 958964, 959535, 959388, 959408, 959223, 959458, 959032, 959361, 959335, 959608, 959542, 959561, 1226394, 959414, 959165, 958894, 959269, 1226423, 959487, 958998, 959279, 959454, 959331, 959594, 959142, 959436, 959274, 959552, 959442, 1226372, 959350, 959562, 959102, 959192, 959005, 1169514, 959332, 959048, 1226375, 1169437, 1226329, 1226417, 959579, 959125, 959540, 959603, 1169452, 959583, 959586, 959262, 959363, 959588, 959328, 959198, 959095, 959291, 959435, 958932, 1226411, 959272, 958978, 959324, 959190, 958925, 1226356, 959370, 959138, 959368, 959040, 959083, 958887, 958986, 958910, 1226351, 959476, 959028, 1169468, 959597, 959218, 1169512, 959341, 1169439, 959467, 959226, 958904, 958935, 958912, 959507, 958919, 959337, 959424, 959295, 959173, 959600, 959172, 959301, 958881, 959489, 1226396, 1169488, 959406, 959191, 958937, 1226361, 1169467, 959379, 959596, 959021, 959066, 959178, 959464, 959079, 959568]","{'PRP': 0.07170602643869055, 'of': 0.06810640552533168, 'sentiment': 0.06433479993260022, 'VB': 0.05911993776621976, 'NN': 0.043320012579618455, 'DT': 0.038849009797073224, 'to': 0.03376624781388671, 'NNS': 0.03282460164254002, 'i': 0.03202586316439907, 'have': 0.02854879559075675}"
