accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.5,0.3377264147819464,0.5,0.5,0.66555,0,0.995,0.009900990099009901,0.5,0.005,[1199464],"[972333, 960450, 960536, 972580, 960956, 965366, 960468, 1170223, 972177, 960878, 965503, 961171, 965368, 965414, 961023, 960693, 960990, 960710, 965175, 960581, 1169670, 960758, 960594, 972672, 960630, 972264, 972489, 1169692, 1169647, 960515, 960501, 960559, 972248, 961115, 972592, 965416, 960706, 965115, 965334, 960873, 972559, 965585, 972535, 965208, 961146, 965826, 972175, 961185, 961079, 965238, 960611, 965242, 1226565, 972074, 965397, 972645, 965801, 972573, 960975, 965561, 961081, 972550, 1228062, 1228056, 972619, 1170208, 972516, 972661, 1170253, 960638, 965330, 965477, 960498, 961021, 1228007, 972462, 972615, 1171100, 972142, 965286, 972287, 965322, 965377, 965318, 961082, 961075, 965868, 972441, 960894, 972655, 960824, 965671, 961072, 965205, 965713, 960420, 960675, 961170, 960742, 1227119, 972257, 972853, 965521, 965424, 972465, 972772, 960467, 960833, 972447, 965264, 1227125, 960763, 965112, 972743, 961001, 960730, 965181, 972536, 965325, 1227165, 960827, 1171088, 960496, 1171112, 1227162, 960427, 965610, 965820, 965588, 960743, 961133, 965863, 1170214, 965849, 965833, 960434, 1226566, 965690, 972733, 972274, 961065, 972775, 960768, 1171159, 960860, 972231, 960782, 965767, 960729, 960735, 972777, 965898, 972160, 1169677, 965157, 965427, 960757, 972814, 965548, 960562, 960418, 965455, 960521, 1171161, 965502, 960843, 1169666, 1226525, 1227195, 965453, 965140, 965876, 965591, 972346, 965196, 1169674, 972843, 965897, 960976, 972728, 1226575, 1228008, 972725, 1227143, 972185, 972085, 965753, 1170294, 972374, 965566, 965609, 965514, 965466, 965458, 972605, 972696, 1170238, 965857, 972348]","{'PRP': 0.08492795627751695, 'sentiment': 0.06748760513634634, 'of': 0.06301309571198496, 'NN': 0.05798218378347746, 'VB': 0.0425941544700168, 'i': 0.038701161444310635, 'RB': 0.03692921971531055, 'have': 0.033043416505384934, 'to': 0.032521660309925766, 'IN': 0.03156789507553482}"
0.5075,0.349786700332533,0.7518891687657431,0.5075,0.67002,1,1.0,0.029556650246305417,1.0,0.015,[],"[965153, 972381, 1226544, 1227142, 960717, 972352, 965774, 965145, 1171151, 965360, 1170208, 1171089, 960806, 972359, 965430, 965617, 1226595, 960498, 960765, 972408, 965190, 972766, 972231, 960430, 960787, 961044, 965181, 1226552, 1171162, 965491, 1169692, 960957, 965616, 961093, 965513, 960805, 1171138, 972583, 965542, 1227978, 961075, 1227149, 960621, 965573, 965594, 972734, 965220, 965584, 972825, 972328, 972560, 972307, 965537, 1169695, 1171093, 1226590, 972505, 965324, 972387, 960888, 965323, 965717, 960627, 965464, 965700, 960589, 961112, 961063, 972855, 972188, 972363, 1228067, 1228030, 961057, 972823, 960986, 965506, 972155, 1170216, 960614, 960926, 972837, 965674, 1226607, 961172, 972783, 972480, 960548, 965763, 1228069, 965321, 972673, 1169645, 961177, 972547, 960932, 1227118, 961129, 965156, 1171146, 1169660, 961007, 1169683, 972521, 960835, 960793, 961022, 972171, 960869, 965383, 960571, 972290, 972587, 960503, 965269, 1226612, 965500, 1171117, 965569, 965282, 965656, 1169641, 972446, 960919, 965893, 965817, 960486, 972239, 1171066, 960492, 1171154, 960471, 1228072, 1170235, 960817, 1227987, 965498, 965394, 1170251, 960923, 1171103, 1226541, 972181, 1228002, 960612, 961080, 1170257, 1228047, 965582, 972137, 965798, 1171107, 965804, 961162, 961034, 972701, 960515, 972804, 1227114, 960708, 972506, 972781, 965481, 960691, 965460, 1169639, 965821, 965131, 960946, 972631, 1226559, 972747, 972777, 965356, 965183, 960903, 965605, 1171144, 972355, 965301, 960561, 972248, 960555, 960722, 965429, 960762, 965823, 961024, 960546, 1170285, 960759, 965846, 1228045, 965300, 1226594, 965544, 965623]","{'of': 0.07833355262184065, 'PRP': 0.0725037814384009, 'sentiment': 0.06610223866059957, 'VB': 0.04656610098266958, 'NN': 0.041458916464653515, 'DT': 0.0402588792021627, 'have': 0.03259813462747865, 'mean_sen_len': 0.03146597699023767, 'RB': 0.030753841554704158, 'IN': 0.029646970306020645}"
0.5,0.3420186866692985,0.5,0.5,0.66443,0,0.99,0.0196078431372549,0.5,0.01,"[1198968, 1198887]","[965254, 961074, 1171102, 972759, 972516, 965866, 965259, 961067, 961077, 965594, 960577, 1169656, 960874, 1228021, 960804, 965307, 972698, 972079, 960800, 960670, 965635, 1171165, 1169653, 965596, 972705, 961158, 960562, 965466, 972186, 965305, 1228025, 961116, 1171106, 972191, 972810, 972308, 961155, 965356, 972436, 972622, 972177, 961021, 1226528, 1228066, 972434, 960471, 965768, 965340, 972344, 972359, 965525, 960467, 972276, 965195, 1227188, 965372, 961185, 972482, 965436, 972776, 1226589, 961000, 972261, 972846, 965624, 960810, 965827, 972389, 960664, 965499, 965490, 965871, 965230, 965562, 965407, 972591, 960892, 961019, 960534, 965370, 972208, 972833, 960565, 972799, 972684, 965139, 972182, 972246, 1170205, 1169625, 961041, 1227124, 972689, 972754, 972644, 965213, 965358, 965154, 965765, 965883, 1226531, 972864, 960772, 965280, 972636, 972442, 965321, 972716, 1227192, 960628, 965179, 1228006, 965869, 965288, 965334, 960693, 960838, 1171098, 972614, 960963, 960575, 1227985, 965204, 965349, 972461, 972617, 972728, 972189, 965638, 965637, 960789, 1227158, 972430, 960601, 965434, 1170267, 1170206, 965847, 972670, 960758, 972475, 1169646, 1228069, 960913, 972729, 1228043, 1227999, 960679, 960957, 961176, 1227198, 965657, 972811, 972411, 960867, 1227165, 961075, 960680, 960585, 972592, 960989, 965474, 960580, 960821, 960794, 960561, 960454, 1228055, 1169687, 960492, 1226602, 972602, 960711, 965894, 972845, 965694, 960715, 972692, 961020, 1228037, 961179, 965832, 965404, 965814, 960560, 965173, 965432, 965211, 972077, 965491, 972467, 965557, 1171143, 1228012, 972761, 961070, 965185, 961126]","{'PRP': 0.07333893084922588, 'of': 0.07283862244314367, 'sentiment': 0.06437401268151716, 'NN': 0.050184636319005535, 'VB': 0.05007489470719642, 'DT': 0.03769076694401448, 'IN': 0.03326816261294999, 'RB': 0.03150314742039712, 'mean_sen_len': 0.031443090267212946, 'have': 0.02928869882274702}"
0.495,0.3354388735359916,0.3737373737373737,0.495,0.66107,0,0.985,0.00980392156862745,0.25,0.005,"[838913, 1254044, 1199140]","[960749, 972485, 960603, 972372, 965339, 965653, 972441, 961029, 961064, 972407, 972714, 1227131, 960719, 960662, 972749, 972221, 960684, 972677, 972140, 965250, 965154, 965897, 1170291, 972484, 961143, 972793, 972601, 960559, 972378, 972576, 965584, 972176, 960774, 965326, 960877, 1169632, 965287, 972654, 960764, 972392, 1226558, 960832, 965818, 961042, 965564, 965359, 965662, 960421, 965699, 1170240, 972768, 972809, 961161, 972641, 965166, 961060, 961111, 972092, 972805, 972799, 972374, 972432, 972410, 960518, 965784, 1226545, 965129, 960459, 1170294, 1226597, 965313, 960602, 960978, 972716, 972659, 965434, 1171131, 960734, 961185, 1171103, 965848, 965710, 965259, 965443, 965463, 960870, 965863, 960954, 960901, 965558, 972617, 960744, 965598, 1169707, 965461, 960885, 960934, 961187, 965809, 960659, 965477, 972091, 965570, 1171110, 965735, 960736, 965491, 960414, 972338, 972391, 972516, 965472, 972547, 1227117, 972581, 972476, 1169637, 960503, 1169629, 960955, 965260, 960639, 965178, 965216, 972632, 1170210, 960510, 961155, 1226556, 965175, 1227172, 1171119, 972821, 1169642, 972820, 960663, 965778, 965690, 960517, 960581, 972280, 965176, 960803, 960611, 1227152, 965278, 960816, 960697, 1228053, 972528, 972501, 972847, 965792, 1226585, 972310, 960837, 965198, 972146, 1171136, 960850, 965358, 965263, 965849, 972511, 965790, 972227, 965802, 965436, 972846, 965544, 972194, 965332, 965279, 960457, 972569, 972244, 965773, 965389, 972094, 972206, 972712, 972231, 972297, 965751, 960782, 965315, 972199, 965632, 965314, 961114, 972518, 965741, 1228013, 960415, 972525, 972630, 965211, 965214, 965191]","{'PRP': 0.07877514971995477, 'of': 0.07321568051341149, 'sentiment': 0.064555824826394, 'NN': 0.05395840817269027, 'VB': 0.05277383503293686, 'NNS': 0.03668209050782935, 'which': 0.03443491588376039, 'DT': 0.03411047846598434, 'IN': 0.03374991064363514, 'the': 0.0290239747850654}"
0.4925,0.3426112581869996,0.4147485080988917,0.4925,0.65651,0,0.97,0.028708133971291867,0.3333333333333333,0.015,"[1199261, 1256663, 1200235, 1198887, 1100939, 1100657]","[961153, 960408, 960608, 972764, 972086, 972239, 972251, 960956, 965632, 972471, 972724, 965226, 972539, 1228026, 960883, 972426, 965511, 972247, 972223, 1227120, 960603, 965314, 960426, 972595, 965521, 1169618, 965721, 972225, 1228043, 1171116, 1169691, 1170296, 1169674, 972683, 960431, 965858, 960425, 961074, 965687, 1227115, 960448, 965477, 965329, 960772, 961077, 965352, 965662, 965132, 972305, 961001, 972108, 972388, 961114, 972602, 965555, 960454, 1227166, 972821, 965600, 972810, 972364, 972098, 972793, 965100, 960728, 1227176, 960541, 965724, 965627, 965146, 1227144, 1171125, 972079, 961030, 960658, 965827, 972606, 1171138, 1170234, 965160, 1226550, 960548, 965246, 960456, 960418, 960578, 1171073, 960902, 960525, 1227191, 965271, 965202, 965474, 1227169, 960733, 972465, 961188, 960526, 1170254, 972206, 960853, 1226591, 972511, 961085, 961132, 960474, 960683, 965591, 1226549, 1169684, 972548, 972605, 972860, 972591, 972085, 960953, 961165, 1228017, 965194, 965760, 965224, 965844, 965615, 965643, 972241, 965240, 965274, 960819, 965606, 960960, 1169677, 960485, 972397, 960889, 972796, 972540, 965877, 965373, 965680, 965560, 972255, 972303, 972087, 965516, 960407, 972140, 972469, 1227105, 1227148, 1227158, 972279, 972235, 965140, 965807, 960824, 972180, 972119, 972524, 965848, 965396, 1169631, 1171101, 972187, 1228027, 960410, 965673, 972259, 965578, 965830, 1170301, 1170257, 960957, 961093, 1169694, 1169633, 1169710, 972378, 972588, 965292, 960877, 965854, 972701, 972407, 1227136, 960731, 961137, 961175, 972574, 965482, 972744, 965732, 972559, 960725, 1227995, 972120, 961031, 1226565]","{'PRP': 0.07518948185322005, 'of': 0.0695038035085706, 'sentiment': 0.05868267938788183, 'NN': 0.053850377841677254, 'to': 0.04385879888823154, 'VB': 0.043857417279286576, 'IN': 0.04022171688112824, 'DT': 0.0387615839465741, 'have': 0.03091977060675144, 'the': 0.026155040799434082}"
0.5025,0.3388649407387105,0.7506265664160401,0.5025,0.66778,1,1.0,0.009950248756218905,1.0,0.005,[],"[960979, 972157, 965516, 961097, 1226614, 960701, 960980, 961107, 960946, 972532, 972116, 972656, 965712, 965180, 965890, 965459, 965511, 965143, 965355, 972736, 960543, 965584, 972523, 972128, 965672, 960682, 960591, 972237, 972480, 1226570, 972497, 972245, 1226539, 972077, 972638, 972142, 1227130, 972358, 965467, 972101, 965531, 960431, 972566, 960665, 1171160, 961141, 965565, 1227997, 965652, 960905, 972169, 965198, 972698, 972684, 965324, 965287, 965798, 965393, 965551, 972238, 960427, 1169644, 965107, 972260, 965481, 972569, 1171159, 960924, 972363, 965426, 972760, 1226525, 965100, 1226616, 960813, 965208, 960754, 1226561, 960649, 965236, 961069, 965895, 965894, 960860, 960902, 965176, 965552, 960844, 965777, 960539, 1170245, 965116, 965852, 1171158, 960840, 965547, 972266, 965270, 965358, 960629, 1227183, 972730, 960660, 1226560, 960505, 1226528, 1169678, 972677, 960589, 960919, 1227203, 1170247, 965402, 960965, 960893, 961032, 960806, 965861, 1169695, 965179, 1226547, 1227177, 960833, 965310, 972512, 965328, 1171125, 965422, 972088, 972431, 1171120, 961048, 972606, 961074, 1170261, 1171131, 961051, 972390, 972704, 960770, 960633, 972542, 972484, 972655, 965869, 965487, 972261, 965646, 965411, 972320, 960803, 961153, 960807, 965472, 965142, 965118, 972272, 965450, 960524, 965380, 965631, 972643, 960753, 965743, 1227180, 960869, 1170237, 972615, 965628, 972651, 972571, 960694, 960442, 972384, 972234, 960476, 965658, 965395, 972734, 1169631, 965797, 972663, 965366, 972680, 972152, 960421, 1228011, 960501, 961121, 960882, 972587, 961129, 972408, 961089, 960439, 965466, 972770, 1226605, 972791]","{'PRP': 0.06709224205346118, 'of': 0.06448253770866952, 'NN': 0.0588151234520343, 'sentiment': 0.05786897584761909, 'VB': 0.05245276468535495, 'IN': 0.04292289027811144, 'DT': 0.039756831563229414, 'i': 0.038362810763689616, 'mean_sen_len': 0.03211123242165595, 'NNS': 0.03056628602463987}"
0.5,0.33333333333333326,0.25,0.5,0.66667,0,1.0,0.0,0.0,0.0,[],"[972464, 961065, 965860, 961145, 972153, 961020, 965590, 965319, 965785, 960502, 972536, 965601, 960932, 972540, 960470, 965363, 961064, 965481, 965897, 965198, 960708, 960459, 1227156, 960747, 972522, 972292, 1226610, 972253, 972108, 972749, 1169712, 960856, 1171070, 972309, 960782, 1227141, 961164, 972189, 972521, 960701, 1170252, 1226607, 965671, 965435, 960643, 972257, 972335, 960632, 1227996, 1171119, 960803, 1170234, 960972, 965672, 965794, 972301, 972457, 965813, 972235, 965787, 960732, 965393, 1227139, 1227980, 972624, 961149, 965313, 972124, 972538, 1228052, 961139, 965739, 972116, 1170295, 972520, 972225, 1170289, 972632, 965847, 965327, 960610, 972131, 1227984, 1170277, 960845, 972656, 961147, 960663, 960595, 965811, 972674, 1170244, 960956, 972389, 960565, 972700, 972747, 965404, 1228001, 960804, 960586, 965784, 965708, 961039, 965492, 961013, 965674, 1226550, 1226555, 972699, 965126, 1171092, 960700, 960585, 960799, 961110, 972470, 960412, 972393, 972407, 960768, 972262, 965405, 1171138, 965568, 965725, 960705, 965596, 972636, 965236, 1227975, 965255, 1169617, 960664, 961046, 972350, 965864, 972557, 972288, 972471, 965450, 961177, 972728, 1170223, 1228005, 960766, 960496, 960587, 961091, 1228029, 960876, 1169619, 965114, 965883, 972824, 960576, 965605, 1226557, 965789, 960617, 965369, 960426, 965891, 960630, 1170209, 972528, 960991, 965762, 1226531, 972304, 1171145, 965385, 972343, 965486, 972620, 965372, 965290, 965701, 1226590, 960785, 972775, 972795, 1226581, 960860, 1170205, 972827, 965401, 965328, 965215, 965534, 960924, 965105, 972499, 965366, 1170271, 961095, 972746, 972140, 1169680, 972243]","{'sentiment': 0.06985679942607467, 'PRP': 0.06641099601425128, 'of': 0.06418770589766049, 'NN': 0.05863873795952913, 'VB': 0.0492962283704726, 'IN': 0.04582986299174948, 'DT': 0.03300970869731685, 'which': 0.03298932704042161, 'RB': 0.03188054189141202, 'mean_sen_len': 0.03127649874717777}"
0.505,0.34859849980260554,0.6262626262626262,0.505,0.66779,1,0.995,0.029411764705882353,0.75,0.015,[1256672],"[1227980, 1227112, 961113, 961045, 960654, 965891, 1169681, 960761, 972289, 961054, 972175, 960524, 965847, 965433, 972313, 960849, 1170285, 1169684, 960676, 965646, 960784, 1227203, 1171091, 965115, 965816, 960978, 965506, 972268, 960810, 972705, 960799, 972376, 965118, 1227164, 961037, 965564, 972459, 965623, 960805, 960674, 960754, 972177, 965729, 960694, 965221, 1171094, 972494, 965598, 972406, 1171150, 972664, 1226553, 965700, 960652, 972109, 972717, 965281, 1228042, 972557, 972386, 960677, 972558, 965482, 972181, 960809, 965390, 1228065, 960659, 960667, 960926, 965802, 1170217, 972241, 965491, 1171152, 960688, 972282, 965260, 961115, 965102, 972591, 961114, 1226539, 972812, 972225, 965537, 965381, 961106, 965327, 972107, 960580, 972402, 1169628, 1169658, 1171112, 972686, 965396, 965454, 972209, 960779, 972222, 972145, 972120, 965699, 965687, 960549, 960665, 960762, 961160, 972613, 972076, 965458, 965636, 972834, 960840, 1226528, 1227155, 1226595, 965775, 965673, 965511, 965661, 960707, 960414, 965414, 960785, 960561, 972224, 965578, 960460, 960622, 972644, 972739, 961101, 965645, 960829, 965856, 965801, 965770, 1227172, 965146, 972699, 965800, 965722, 960596, 965277, 965558, 972192, 1227990, 1169673, 965609, 965125, 1228063, 1169631, 965218, 965162, 960689, 1171159, 965514, 965798, 1170206, 965497, 960710, 972428, 965274, 972433, 1169689, 965761, 972569, 960755, 1228041, 972809, 965132, 972849, 972140, 972316, 965322, 972455, 965745, 972164, 1227194, 972272, 972325, 960423, 1170301, 972502, 965630, 960633, 961009, 972088, 960714, 1169707, 972320, 965150, 960789, 965446, 961078]","{'sentiment': 0.07968309390319746, 'PRP': 0.0685117305700627, 'of': 0.06819899982363271, 'VB': 0.04829548174659802, 'NN': 0.04673489638391797, 'IN': 0.04335011596274793, 'DT': 0.037243497156016936, 'RB': 0.029456017163690933, 'which': 0.029220928376485836, 'the': 0.029139612763827816}"
0.5,0.33333333333333326,0.25,0.5,0.66667,0,1.0,0.0,0.0,0.0,[],"[972444, 965688, 1171123, 965334, 960687, 972105, 1170299, 960491, 972816, 960995, 960581, 965756, 972793, 965747, 972314, 1169705, 961082, 965870, 961122, 960958, 1169687, 960602, 972357, 972197, 961165, 1228041, 960570, 1227126, 972300, 1171088, 965723, 965592, 972108, 972451, 965559, 1226591, 1169704, 965367, 1171138, 972772, 965277, 972213, 960629, 961040, 1227170, 965738, 972732, 965369, 965526, 965814, 960830, 1169658, 960844, 965323, 972760, 972579, 965331, 1171099, 972564, 972829, 972601, 965646, 1227162, 965154, 965178, 965337, 965344, 972177, 972084, 961005, 965143, 972531, 965715, 960658, 972757, 1226543, 1169626, 960723, 961136, 972273, 960508, 1227179, 1227145, 965353, 960510, 1170296, 965517, 972677, 1170280, 972088, 972525, 960947, 965465, 972600, 972107, 965869, 1171101, 972298, 965194, 965676, 972773, 965861, 960595, 961060, 972449, 965694, 1169667, 972578, 965242, 965837, 972364, 960624, 960597, 960627, 965773, 1171076, 960444, 1227167, 960433, 972824, 960454, 960835, 965765, 1228020, 972646, 972839, 965329, 1171154, 960928, 1171152, 972145, 1228040, 961152, 1227137, 960993, 965275, 960694, 972463, 1227174, 960978, 972590, 972811, 960538, 965708, 972801, 1171091, 961019, 965381, 972214, 965454, 965525, 960420, 1171155, 961186, 960479, 1171108, 972303, 960839, 972358, 960480, 965797, 965507, 1228009, 965408, 1227987, 972635, 972479, 960446, 960606, 960926, 965860, 1228027, 1170258, 1228070, 960861, 960441, 961150, 960443, 1227154, 960470, 961064, 960582, 972254, 965591, 972119, 1226580, 965582, 965469, 972557, 972828, 972455, 972733, 1169698, 972643, 1171142, 960421, 965858, 960492, 965322, 1171082]","{'of': 0.07499272107690082, 'PRP': 0.07342711593023367, 'sentiment': 0.07156106051710269, 'NN': 0.0613646533647185, 'VB': 0.057735503860057526, 'DT': 0.03723237427347742, 'i': 0.03297252144258291, 'the': 0.030292245678773963, 'mean_sen_len': 0.027739136756146282, 'NNS': 0.027311906408707298}"
0.5,0.3377264147819464,0.5,0.5,0.66555,0,0.995,0.009900990099009901,0.5,0.005,[1197616],"[972130, 960960, 965508, 965525, 965502, 972203, 965407, 972326, 960864, 1226587, 965237, 972561, 965706, 965416, 960476, 960768, 972672, 965381, 972195, 972257, 1228060, 960505, 972686, 972548, 961033, 965808, 965575, 972847, 961113, 965599, 960518, 972693, 961007, 960800, 965152, 1226538, 960506, 1170220, 1169640, 965820, 972084, 972094, 965467, 960869, 972720, 1170262, 972843, 972633, 1226615, 1171075, 1170210, 960435, 972744, 961068, 960446, 972313, 960715, 972155, 1228034, 960511, 972521, 965732, 972600, 1171145, 1169680, 1169684, 972100, 972276, 1169686, 961024, 965347, 972215, 960613, 965153, 972395, 972079, 960501, 972272, 965788, 972599, 965355, 972371, 1227106, 960965, 960787, 1171094, 1228066, 972532, 961120, 972335, 965341, 1171076, 960863, 961018, 1170300, 965169, 965182, 965833, 972381, 965588, 965857, 965851, 960978, 1227180, 960611, 1169656, 972145, 972702, 972378, 972541, 972353, 1169648, 960784, 965686, 972255, 972484, 965291, 972222, 965698, 972300, 972233, 1228012, 1226571, 972295, 960816, 1227975, 1171156, 1171154, 972550, 965282, 972554, 965792, 972316, 972859, 965328, 965801, 965393, 965166, 972512, 965712, 972481, 972741, 1169642, 972465, 965168, 965259, 965465, 965134, 960485, 1226593, 972683, 965879, 965544, 960812, 972235, 965649, 972581, 965827, 972218, 1228063, 1169636, 1226582, 961148, 961058, 1227144, 972555, 1226549, 965254, 965873, 960685, 972243, 1169631, 965124, 961089, 965100, 972542, 972141, 960527, 960452, 965445, 965199, 1169678, 972630, 961172, 960914, 960717, 960546, 972629, 960678, 972745, 972494, 960789, 972303, 961185, 972209, 961157, 972185, 965748, 1228011]","{'of': 0.07708894053457756, 'PRP': 0.07366690002109251, 'NN': 0.057358429498509805, 'VB': 0.05692707026656843, 'sentiment': 0.04659633742863867, 'DT': 0.046516000497510396, 'to': 0.03442214128445072, 'have': 0.03374048601423188, 'the': 0.032922024318093074, 'IN': 0.0326685195657627}"
