accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.445,0.44299478121236446,0.4441964285714286,0.445,0.47642,0,0.505,0.4095744680851064,0.4375,0.385,"[1152155, 1211785, 1267418, 1153574, 1209220, 1153324, 1153183, 1210500, 1152028, 1210388, 1151282, 1265884, 1151806, 1152781, 1266317, 1208855, 1208963, 1265727, 1154130, 1267289, 1153568, 1210956, 1266617, 1151825, 1267235, 1210490, 1153502, 1210479, 841528, 1209727, 1208654, 1153751, 1152270, 1267599, 1153284, 1152948, 1267497, 1209325, 1265743, 1151835, 841878, 1267365, 842160, 1267009, 841632, 1267565, 1266043, 1265624, 1266322, 1151770, 1151570, 1266840, 1152843, 1209953, 1152660, 1210810, 1150944, 1267575, 1266249, 1152444, 1151366, 1267144, 1209272, 1210665, 1208887, 1150618, 1266213, 1210531, 1152995, 1266691, 842204, 1210830, 1266692, 1151234, 1209840, 1151432, 1210606, 1265958, 1153440, 1151688, 1152457, 841633, 1153823, 1153434, 1265543, 1152505, 1150529, 1210019, 1152542, 1266623, 1267775, 1152207, 1152845, 1154902, 1266710, 1152365, 841706, 1210477, 1151665]","[1051389, 1051835, 1051383, 1051633, 1051506, 1051502, 1237871, 1051306, 1051531, 1051396, 1051713, 1051227, 1237830, 1051560, 1051680, 1051485, 1051319, 1051706, 1051795, 1237841, 1180976, 1051638, 1051499, 1051285, 1051391, 1051159, 1051817, 1051503, 1051329, 1237834, 1051681, 1051270, 1051290, 1051591, 1051732, 1180904, 1051808, 1051161, 1180944, 1051820, 1051220, 1051657, 1180937, 1237874, 1051770, 1180955, 1051196, 1051198, 1051439, 1237855, 1051662, 1051342, 1051853, 1051708, 1180956, 1051313, 1051495, 1237833, 1180966, 1051233, 1051648, 1051883, 1180917, 1051388, 1051174, 1237923, 1051370, 1051629, 1051769, 1051622, 1237875, 1051746, 1051731, 1051357, 1051628, 1051208, 1051422, 1051878, 1051618, 1051555, 1237853, 1051239, 1051461, 1051825, 1051219, 1237884, 1051639, 1051130, 1051615, 1051138, 1051210, 1051784, 1051129, 1180963, 1180965, 1051128, 1051236, 1051207, 1051206, 1051576, 1051307, 1051417, 1237846, 1051551, 1051302, 1051410, 1051559, 1051168, 1237921, 1051822, 1051571, 1051730, 1051345, 1051147, 1051297, 1237894, 1051390, 1051556, 1051777, 1180929, 1051325, 1051575, 1180935]","{'PRP': 0.08003724009872443, 'sentiment': 0.06327657339476692, 'of': 0.05979144733371663, 'NN': 0.05514748487658924, 'VB': 0.050723495984952516, 'NNS': 0.03898617964172578, 'IN': 0.03725313280475088, 'DT': 0.03469312625353751, 'to': 0.03320928844011646, 'have': 0.029622001114747}"
0.5225,0.5223537208270033,0.5225275963054742,0.5225,0.53071,1,0.54,0.5139949109414759,0.5233160621761658,0.505,"[1151213, 1151082, 841589, 1151402, 1151595, 1210928, 1210407, 1150689, 1151384, 1266191, 1151839, 1267452, 1153996, 1150947, 1266269, 1153398, 1208698, 1210671, 1267322, 1209737, 1267443, 1209478, 842244, 1209085, 842132, 1266239, 1153930, 1152372, 1266614, 1150766, 1209129, 1266958, 1210623, 1152645, 1152398, 1266109, 1266906, 1150846, 1153788, 1209240, 1152634, 1152925, 1153193, 1153552, 841624, 1209690, 1152452, 1210526, 1267734, 1210902, 1151968, 1266863, 1152507, 1266014, 1266313, 1265428, 1153048, 841795, 1210089, 1266388, 1210051, 1267044, 1152312, 1151825, 1151146, 1208963, 842119, 1153692, 1209189, 1265899, 1208880, 1153384, 1210048, 842192, 1210169, 841992, 1267328, 1266232, 1150852, 1267311, 1266929, 1267146, 1267023, 1210249, 1151633, 1151482, 1209147, 1267706, 1209310, 1266251, 1210409, 1208777]","[1051415, 1051226, 1051576, 1051797, 1051596, 1051258, 1051311, 1051206, 1051695, 1051414, 1051167, 1051616, 1180917, 1051168, 1237918, 1051238, 1051129, 1051837, 1237913, 1051252, 1051384, 1051609, 1051394, 1051495, 1051779, 1237851, 1051601, 1180938, 1051712, 1237901, 1051724, 1051664, 1051161, 1051792, 1051863, 1237923, 1237891, 1051806, 1051299, 1051669, 1180964, 1051189, 1051437, 1051115, 1180922, 1051308, 1051645, 1051204, 1051314, 1051555, 1051358, 1051681, 1051335, 1051109, 1051875, 1237896, 1051370, 1051757, 1051184, 1051434, 1051872, 1051813, 1237871, 1051709, 1051567, 1051602, 1051581, 1051165, 1051697, 1051845, 1051718, 1051648, 1051722, 1051199, 1237857, 1051783, 1051447, 1237862, 1051699, 1051538, 1051869, 1180907, 1180896, 1051337, 1180913, 1051654, 1237881, 1051511, 1051790, 1051866, 1180979, 1051589, 1051108, 1051476, 1237856, 1051375, 1051364, 1180936, 1051682]","{'PRP': 0.08507522907674553, 'NN': 0.0653203945203623, 'of': 0.06459022032439542, 'sentiment': 0.06164844813319521, 'VB': 0.048462429844938926, 'to': 0.03667987844474616, 'DT': 0.032871712261207615, 'IN': 0.03199650528319562, 'i': 0.031117846842489177, 'the': 0.027644130333063104}"
0.5375,0.5339316643048339,0.5386847195357833,0.5375,0.57471,1,0.625,0.4931506849315068,0.5454545454545454,0.45,"[1266549, 1152855, 1153858, 1152982, 1266599, 1266907, 1266553, 1265380, 1267615, 841733, 1210539, 1267476, 1152210, 1209426, 1152571, 1265537, 1153658, 1266193, 1151862, 1209460, 841625, 1267335, 1152556, 1267778, 1267075, 1266906, 1266663, 1209285, 1152273, 1265387, 1267494, 1267706, 1153678, 1150618, 1208960, 1266426, 1266323, 1267429, 1209621, 1266441, 1209974, 1154058, 1151087, 1208700, 1266510, 1265841, 1266722, 842213, 1151185, 1267277, 1267571, 1152541, 1152399, 1152908, 1151278, 1150667, 1210057, 1150954, 1154013, 841670, 1210640, 1210157, 1209339, 1210692, 1266578, 1150909, 1208877, 1152985, 1152400, 842164, 1266115, 1151160, 841541, 1265437, 1151199]","[1051606, 1051637, 1051690, 1180925, 1051399, 1180944, 1237862, 1051827, 1051843, 1051842, 1051797, 1051429, 1237880, 1051223, 1051206, 1051754, 1051410, 1051704, 1051327, 1051343, 1051508, 1180940, 1237919, 1051730, 1051682, 1051266, 1237892, 1051502, 1051859, 1180959, 1051587, 1051609, 1051532, 1051157, 1051239, 1051240, 1051533, 1051835, 1051196, 1051592, 1051167, 1051727, 1180914, 1051457, 1051189, 1051340, 1051801, 1051518, 1051124, 1051653, 1051320, 1237888, 1051526, 1051850, 1051681, 1051702, 1051570, 1051165, 1051605, 1051346, 1051774, 1051687, 1051608, 1051289, 1051148, 1051839, 1051213, 1051427, 1051437, 1051664, 1051583, 1051655, 1180986, 1051825, 1051297, 1051597, 1051118, 1051830, 1051872, 1051186, 1051523, 1180901, 1051187, 1051434, 1051645, 1051394, 1237908, 1237864, 1051334, 1051443, 1051220, 1237901, 1051878, 1051565, 1051179, 1051576, 1051552, 1180924, 1051722, 1051638, 1051446, 1051345, 1237875, 1051147, 1051154, 1051214, 1051654, 1051420, 1051807, 1051729]","{'PRP': 0.06821883412375496, 'sentiment': 0.061052958475814406, 'of': 0.058485526069405054, 'VB': 0.04619230149079821, 'NN': 0.04549148838337436, 'DT': 0.04277215552477071, 'IN': 0.0426993938362502, 'have': 0.038400883442719025, 'i': 0.03399331936604671, 'RB': 0.033796497438333295}"
0.455,0.4489243914153543,0.45292394601945807,0.455,0.50679,0,0.56,0.39106145251396646,0.4430379746835443,0.35,"[1153988, 1152466, 1150670, 1152544, 1265719, 1152434, 1265455, 1267356, 841644, 1152329, 1209707, 1154048, 1209819, 1210855, 1152135, 1208827, 842053, 1152130, 1150637, 1267537, 1153909, 1153032, 1209499, 1150742, 1151953, 1152866, 1150532, 1151142, 1267077, 1153155, 1153429, 1265631, 1154060, 1153532, 1209704, 841744, 1153826, 1154033, 1153653, 1267624, 1154962, 1265985, 1209791, 1210544, 1150642, 1153069, 1265547, 1153189, 1265706, 1152021, 1209812, 1151478, 1151751, 1265836, 1267376, 1151294, 1208649, 1209361, 1266393, 1153666, 1210310, 1267216, 1210408, 1153385, 1151977, 1209083, 1152253, 841634, 1265678, 1208650, 1150683, 842037, 1208812, 1209961, 1265802, 1208940, 1210499, 1153482, 1208898, 1211747, 1151487, 1208729, 1266285, 1154926, 1209584, 1153784, 1152497, 1209147]","[1051384, 1051437, 1051605, 1051533, 1051416, 1051765, 1237830, 1051581, 1051425, 1051746, 1051532, 1051766, 1237898, 1051288, 1051640, 1237905, 1180964, 1051571, 1051768, 1051879, 1051186, 1051476, 1051369, 1051347, 1237846, 1051414, 1051693, 1051316, 1051285, 1051839, 1237871, 1051466, 1180961, 1051317, 1051358, 1051107, 1051261, 1051847, 1051417, 1051383, 1051820, 1051521, 1051603, 1051175, 1237916, 1051583, 1051260, 1051239, 1237918, 1051784, 1051764, 1051415, 1051208, 1051831, 1051816, 1051435, 1051198, 1051870, 1051298, 1051247, 1051714, 1051337, 1051420, 1051649, 1180976, 1051550, 1051193, 1051163, 1051722, 1237867, 1051345, 1051480, 1051712, 1180924, 1051637, 1051832, 1051730, 1051225, 1051625, 1180909, 1237921, 1051321, 1051515, 1051821, 1051185, 1051213, 1051575, 1051246, 1051196, 1180891, 1051591, 1051422, 1051534, 1051508, 1051263, 1051281, 1237862, 1051499, 1051215, 1237881, 1051657, 1051477, 1051510, 1051455, 1051375, 1051192, 1051329, 1180917, 1051258, 1051370, 1051253, 1051778, 1180892, 1051682, 1180908, 1051279, 1051808, 1051302, 1237845, 1180920, 1051539, 1051643, 1051570, 1051696, 1051762, 1051675, 1180957, 1051595, 1051763, 1051436]","{'PRP': 0.07608880889631311, 'of': 0.06862109401901445, 'VB': 0.057525112439496026, 'NN': 0.050984989159726705, 'IN': 0.05071691059708531, 'sentiment': 0.042388043672030425, 'the': 0.040256074793033815, 'to': 0.03583254410270938, 'DT': 0.03550736090262362, 'i': 0.03243905024533284}"
0.4775,0.4562919894120019,0.47334044254865376,0.4775,0.56367,0,0.675,0.34890965732087226,0.4628099173553719,0.28,"[1151871, 1210155, 1151899, 1150819, 1210361, 842023, 1152147, 1150643, 1266772, 1265501, 1267442, 1266731, 1152721, 1265870, 841587, 842107, 1153934, 1151388, 1153690, 1209393, 1153502, 1153477, 1152796, 1265454, 1152022, 1209279, 841714, 1151434, 1267261, 1210623, 1153528, 1208679, 1154941, 1153769, 1208861, 1267612, 1267278, 1150647, 1265921, 1150940, 1265937, 1153704, 1209906, 842179, 1151830, 1152203, 1151085, 1266491, 1267156, 1210653, 1266649, 1266917, 1208834, 1210455, 1151954, 1153171, 1153031, 1265983, 1153965, 1265703, 1152464, 1151213, 1267613, 1152471, 1209089]","[1051571, 1051139, 1180972, 1051227, 1051842, 1051153, 1180976, 1051425, 1180906, 1051845, 1237855, 1051581, 1180983, 1051250, 1051248, 1237833, 1051805, 1180937, 1051429, 1180967, 1051764, 1051685, 1051311, 1051585, 1051696, 1051520, 1051254, 1237865, 1051293, 1051748, 1051412, 1051603, 1051414, 1051239, 1051839, 1051576, 1051185, 1051673, 1051499, 1051328, 1051258, 1051263, 1051377, 1237864, 1051337, 1051599, 1051476, 1051360, 1051496, 1051506, 1051467, 1051521, 1051244, 1051188, 1051883, 1237890, 1051194, 1051115, 1051794, 1237923, 1051166, 1237837, 1051165, 1051304, 1051213, 1051721, 1051712, 1051573, 1051646, 1051148, 1051657, 1051801, 1051487, 1051765, 1051633, 1051134, 1051828, 1051546, 1051583, 1051423, 1051241, 1237921, 1051210, 1051552, 1051725, 1051623, 1051502, 1051290, 1051149, 1051760, 1051466, 1051618, 1051319, 1051163, 1051554, 1051325, 1051555, 1051332, 1180971, 1051240, 1051427, 1051825, 1051362, 1051329, 1051217, 1051349, 1180929, 1180952, 1237832, 1051812, 1237857, 1051836, 1051594, 1051463, 1051579, 1051175, 1051713, 1051498, 1051680, 1051299, 1051593, 1051549, 1051129, 1051532, 1051235, 1051564, 1051758, 1051822, 1051726, 1051687, 1051201, 1051681, 1051428, 1051561, 1051193, 1051365, 1051285, 1051287, 1051343, 1051645, 1051312, 1051364, 1180966, 1051615]","{'PRP': 0.07237117508496736, 'of': 0.06638977130039027, 'VB': 0.05384604693224838, 'sentiment': 0.05003085777542124, 'NN': 0.04763459269996056, 'IN': 0.04292859798256514, 'have': 0.03902235466015361, 'DT': 0.03564768711009989, 'the': 0.034369662140386024, 'mean_sen_len': 0.031676690524619626}"
0.5775,0.5730139781074918,0.5808998147133275,0.5775,0.61678,1,0.68,0.5292479108635098,0.5974842767295597,0.475,"[1209819, 1265640, 1153793, 1151122, 1266257, 1211777, 1266286, 1265525, 1265989, 1153968, 841667, 1265896, 1150615, 842138, 1150906, 1265903, 1267565, 1266841, 841781, 1152543, 1153286, 1150612, 1209357, 1265956, 1152960, 1209109, 1152055, 1210706, 1265777, 1152966, 1210204, 1153424, 1210928, 1151669, 1151722, 1152371, 841899, 1208956, 1151624, 1208953, 1151951, 1210739, 841833, 1153541, 1151672, 1266990, 1153342, 1267632, 1211692, 1209076, 1152284, 1209616, 1266330, 1267328, 1267287, 1151499, 1153748, 1266930, 1209709, 1210871, 841622, 842067, 1210249, 1266208]","[1237876, 1051427, 1051602, 1180985, 1051804, 1237896, 1051463, 1237913, 1051340, 1051171, 1180927, 1180914, 1051182, 1051135, 1180922, 1237923, 1051405, 1051422, 1051758, 1237921, 1051345, 1051437, 1051845, 1051320, 1051417, 1237871, 1051525, 1051319, 1051843, 1051284, 1051158, 1051170, 1051616, 1051686, 1051698, 1051538, 1051680, 1051364, 1051291, 1051249, 1237906, 1051570, 1051434, 1180957, 1051517, 1051651, 1051149, 1051663, 1051494, 1051795, 1051130, 1180921, 1051293, 1051880, 1051161, 1237861, 1051378, 1051788, 1051221, 1051283, 1051334, 1051675, 1051553, 1051439, 1051472, 1051632, 1051509, 1237881, 1237885, 1051285, 1051375, 1051683, 1051773, 1051485, 1051870, 1051830, 1051670, 1051490, 1051112, 1051539, 1051250, 1051302, 1051534, 1051722, 1051748, 1180976, 1051139, 1051638, 1051349, 1051444, 1051776, 1051716, 1051362, 1051360, 1051801, 1051312, 1051107, 1237865, 1051790, 1051260, 1051589, 1051764, 1051232, 1051266, 1051549]","{'PRP': 0.0756448634043236, 'of': 0.07095668959185217, 'VB': 0.05567207844237574, 'NN': 0.05182497184583765, 'sentiment': 0.050993923326452376, 'have': 0.04709453854308558, 'IN': 0.04373783242267844, 'DT': 0.039824530532905904, 'the': 0.031926545768512234, 'NNS': 0.029247918990602976}"
0.5275,0.5266450025358302,0.5277001334642795,0.5275,0.54676,1,0.57,0.5065274151436031,0.5300546448087432,0.485,"[1151186, 1210676, 1266090, 1210383, 1154064, 1265354, 1209421, 1267467, 842014, 1153811, 842013, 842165, 1153947, 1152796, 841669, 1209073, 1209315, 1265743, 1265546, 1152384, 1209300, 1266695, 1266387, 1266747, 1267497, 1151806, 1266079, 1210669, 1151483, 1152379, 1210217, 841643, 1151927, 1267403, 1153347, 1208947, 1209800, 841605, 1152944, 1210054, 1266811, 1208542, 1208754, 1152392, 1267734, 1266598, 1209894, 1152324, 1209423, 1151865, 1210957, 1152649, 1210390, 1267114, 1210900, 841820, 1267383, 1209620, 1153139, 1153735, 1210525, 1151828, 1265617, 841541, 1267624, 1154012, 1152726, 1151622, 1267016, 1266710, 1209101, 1266522, 1266826, 1150794, 1152876, 1153732, 1209169, 1152840, 1209982, 1210777, 1153713, 1151347, 1154902, 1152993, 1151810, 1267659]","[1051706, 1051176, 1051830, 1051572, 1051797, 1051589, 1180901, 1180946, 1051349, 1051281, 1051794, 1051325, 1051542, 1051258, 1051608, 1051512, 1051151, 1237833, 1051503, 1051288, 1051536, 1051123, 1051840, 1051420, 1051508, 1051876, 1051866, 1180985, 1237864, 1051428, 1051656, 1051352, 1051246, 1051791, 1051702, 1051301, 1051697, 1051777, 1051538, 1180953, 1051210, 1051594, 1051757, 1051213, 1051380, 1051590, 1180932, 1051427, 1051634, 1051820, 1051165, 1051128, 1051307, 1180965, 1051278, 1051806, 1051115, 1051576, 1051822, 1051223, 1051875, 1051829, 1051571, 1051632, 1051633, 1051381, 1051284, 1051723, 1051495, 1051758, 1051337, 1051340, 1051870, 1051437, 1051132, 1051212, 1051298, 1051140, 1051534, 1051375, 1051803, 1051311, 1051244, 1051648, 1051676, 1051817, 1051196, 1051682, 1051502, 1051809, 1051579, 1051159, 1051181, 1051412, 1237832, 1051446, 1051164, 1237913, 1051778, 1180929, 1051770, 1051498, 1051625]","{'PRP': 0.081500422102816, 'sentiment': 0.0662744772301142, 'of': 0.05903201844809795, 'NN': 0.05820970693798569, 'VB': 0.05712796589605316, 'IN': 0.03835432507341595, 'DT': 0.0380117159637296, 'have': 0.03390495373752983, 'i': 0.030108580443230656, 'RB': 0.02614898391278973}"
0.48,0.4796747967479675,0.4799498746867168,0.48,0.49268,0,0.505,0.4666666666666667,0.4789473684210526,0.455,"[1266397, 1210483, 1209140, 1210513, 1266878, 1266294, 1150591, 1153161, 1154164, 1209775, 1150923, 1152660, 1209368, 841840, 1151480, 1209451, 1153756, 1154074, 1208968, 1152178, 1154108, 1209761, 1153780, 841985, 1265672, 841657, 1151434, 1265823, 1151808, 1210848, 842084, 1209637, 1151398, 1153847, 1152757, 1266872, 1209246, 1153374, 1209269, 1266427, 1152622, 1152379, 1153368, 1267297, 1210338, 1152016, 1153510, 1267452, 1267148, 1265806, 1210027, 1209197, 1153247, 1210017, 1150797, 1267626, 1151301, 1267194, 1267125, 1267776, 1211785, 1267732, 1267734, 1210666, 1152592, 1153752, 1267488, 1210961, 1211763, 1153535, 1209264, 1210312, 1210965, 1152790, 1209644, 1209928, 1152930, 1152830, 1211704, 1151172, 1151137, 1210517, 1209393, 1267217, 1152794, 1150834, 1152843, 1210898, 1210759, 1266626, 1265543, 1154958, 1208821, 1152059, 1151202, 1210300, 1150770, 1152598, 1266393]","[1051175, 1051593, 1051879, 1237923, 1051621, 1051487, 1051485, 1051375, 1051727, 1051590, 1051747, 1051664, 1051564, 1051388, 1051110, 1051783, 1051164, 1051313, 1180927, 1051774, 1051435, 1237905, 1051215, 1051838, 1051625, 1051771, 1051677, 1051675, 1051449, 1051751, 1051114, 1051809, 1237874, 1051830, 1180955, 1237908, 1051808, 1051549, 1051796, 1180953, 1051749, 1051335, 1051814, 1051233, 1051842, 1051833, 1051163, 1237833, 1051474, 1237903, 1180932, 1051770, 1051369, 1051213, 1051781, 1051620, 1051640, 1237846, 1051695, 1180920, 1051346, 1051201, 1051801, 1051373, 1051784, 1051274, 1051552, 1051359, 1051649, 1051825, 1051303, 1051171, 1051707, 1051212, 1051643, 1237853, 1051329, 1180941, 1051108, 1051366, 1051138, 1051356, 1051653, 1051135, 1051797, 1051436, 1051281, 1051503, 1180937, 1051158, 1237861, 1180917, 1051699, 1051429, 1051714, 1051633, 1051737, 1051193, 1051405, 1051746, 1051728, 1051136, 1051448, 1051384, 1237906, 1051579, 1237854, 1051656, 1051283]","{'PRP': 0.06394053962429294, 'of': 0.058928398674623024, 'sentiment': 0.055175192399746935, 'have': 0.0536146915845512, 'VB': 0.05220817017709646, 'NN': 0.04680291101453012, 'DT': 0.03992703268417711, 'to': 0.03454525378310863, 'the': 0.03097437268041124, 'IN': 0.030603563065338783}"
0.4675,0.4650626918899235,0.46689669221562985,0.4675,0.50117,0,0.535,0.4289544235924933,0.4624277456647399,0.4,"[841626, 1153406, 1209309, 1151250, 1210851, 1152403, 1152030, 1153474, 1210535, 1210007, 1209203, 841855, 1210076, 841605, 1152878, 1151078, 841574, 1266757, 1265806, 1210808, 1152819, 1266826, 1266558, 841702, 1150737, 1265872, 1265547, 1266672, 1151334, 1154936, 1267030, 1210539, 1210383, 841629, 1265658, 1151182, 1210409, 1266135, 1266830, 1153230, 1266864, 1210861, 1153166, 841566, 1208962, 1152662, 1150954, 1266246, 1266702, 1209599, 1153977, 1152239, 1210150, 1151553, 1210323, 1266031, 1151109, 1208945, 841980, 1265525, 1208980, 1152411, 1209120, 1266045, 841930, 1153066, 1209720, 1265982, 1152942, 1267485, 1267578, 1267778, 1266620, 1267648, 1152111, 1265619, 1265802, 1267443, 1153012, 1209644, 1266321, 1151925, 1265833, 1265765, 1150928, 1209634, 1266284, 1151202, 1208608, 1267565, 1153277, 1150691, 842247]","[1051377, 1237908, 1051446, 1180985, 1051525, 1051555, 1051270, 1051599, 1051811, 1051645, 1051360, 1051334, 1051134, 1051190, 1051213, 1051702, 1051594, 1180964, 1051339, 1051439, 1237916, 1051508, 1051687, 1051516, 1051601, 1051474, 1051238, 1051244, 1051737, 1051581, 1051319, 1180946, 1051879, 1051592, 1051838, 1051200, 1051136, 1051605, 1051379, 1180955, 1051812, 1051149, 1051782, 1051225, 1051233, 1051704, 1051308, 1237919, 1051337, 1051387, 1051770, 1051705, 1051790, 1180922, 1051331, 1051554, 1051600, 1051722, 1051416, 1051668, 1180952, 1237862, 1051382, 1051176, 1051153, 1051295, 1051130, 1051123, 1237896, 1051523, 1051746, 1051243, 1051365, 1051502, 1051342, 1051845, 1051757, 1180932, 1180959, 1180984, 1237837, 1051804, 1051148, 1051477, 1051829, 1051635, 1051550, 1237889, 1051609, 1051457, 1051781, 1051196, 1051585, 1051718, 1051413, 1051602, 1051589, 1051795, 1051556, 1051419, 1051167, 1051675, 1051552, 1051389, 1051576, 1051298, 1051182, 1051876, 1237845, 1051872, 1051260, 1051837, 1237839, 1180971, 1237850, 1051117, 1051646, 1051527, 1051425, 1051542]","{'PRP': 0.0791911392317502, 'of': 0.06972588105064377, 'sentiment': 0.06372922211049956, 'VB': 0.06077701560915189, 'NN': 0.055129831208460885, 'IN': 0.04809466589269066, 'DT': 0.039720117283767266, 'RB': 0.034191819962809046, 'NNS': 0.03029981183640585, 'mean_sen_len': 0.03007370180747544}"
0.5225,0.5224731391140751,0.5225050636393189,0.5225,0.51889,1,0.515,0.5260545905707196,0.5221674876847291,0.53,"[1267684, 1210472, 1266075, 1153442, 1153838, 1153461, 1153856, 1210951, 1267718, 841941, 1210186, 1209812, 1209287, 841746, 1150918, 1267176, 1209514, 1265997, 1152862, 1210204, 1209069, 1209487, 1208599, 1208682, 1266779, 1209307, 1153251, 1152134, 1151080, 1210311, 1208552, 1266648, 1151373, 1267356, 1210714, 1265926, 1152299, 1153704, 1210603, 1150813, 1151222, 1153943, 1153696, 1152953, 1210036, 1208641, 1153072, 1151268, 1265974, 1154143, 1267132, 1210818, 1209049, 1153840, 842192, 842009, 1152044, 1210034, 1153066, 1210685, 1211772, 1267603, 1153121, 1265832, 1208888, 1209838, 1210051, 1265622, 1151230, 1210077, 1267449, 1266965, 1210549, 1209198, 1151276, 842237, 1209507, 841595, 1209782, 1208869, 1153843, 1266544, 842270, 1150974, 1209563, 1153356, 1267333, 1210487, 1210699, 1151232, 1150602, 1209635, 1152149, 842254, 1210599, 1267591, 1209904]","[1237850, 1051250, 1237923, 1051171, 1051449, 1180986, 1051829, 1051828, 1051722, 1051117, 1051539, 1051266, 1051284, 1237916, 1051552, 1180910, 1051328, 1180964, 1051437, 1051583, 1051246, 1180935, 1051769, 1051662, 1180955, 1051466, 1051154, 1051638, 1051553, 1237903, 1051307, 1237836, 1051562, 1051455, 1180959, 1051139, 1051490, 1051790, 1051669, 1180914, 1051175, 1051373, 1051196, 1051321, 1237905, 1051509, 1237866, 1051751, 1051863, 1051362, 1051683, 1051236, 1051532, 1051413, 1051123, 1051436, 1051687, 1051472, 1051808, 1051412, 1051508, 1237864, 1051517, 1051675, 1051491, 1180913, 1051149, 1051748, 1051515, 1051872, 1051536, 1051215, 1051290, 1051285, 1051502, 1237872, 1051214, 1180904, 1051666, 1051382, 1051795, 1180946, 1051594, 1051559, 1051108, 1051538, 1051207, 1051208, 1051777, 1051775, 1051605, 1051425, 1051596, 1051527]","{'PRP': 0.0831932149117068, 'of': 0.06676276935119757, 'sentiment': 0.059915118289320196, 'NN': 0.05875914569030228, 'IN': 0.044122876607329706, 'VB': 0.04335134262511803, 'have': 0.037182071607600446, 'DT': 0.035274900087694065, 'RB': 0.03487474831479403, 'the': 0.03138666831245229}"
