accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.4425,0.43819870886474577,0.44068343004513216,0.4425,0.48736,0,0.53,0.38904109589041097,0.4303030303030303,0.355,"[1152843, 1153066, 1208797, 1208649, 1210003, 1209134, 841718, 1151342, 1152645, 1151254, 1153423, 1152459, 1209117, 1266889, 1152205, 1265370, 1151861, 1209615, 1153459, 1209513, 1266808, 1209549, 1208917, 1210849, 1151069, 1209711, 1209862, 1153427, 1153896, 1208558, 1210555, 1210546, 1266201, 1152132, 1208944, 1265466, 1210861, 841688, 1153704, 1210752, 1267033, 1150762, 1153464, 1208833, 1151639, 1150921, 1265899, 1209575, 1153058, 1211724, 1265646, 1210121, 1209636, 1267687, 1266564, 1210127, 842118, 1153408, 1150810, 1150591, 1151184, 1211699, 1210894, 1266344, 1266223, 1151248, 1153215, 1209052, 1266728, 1267049, 841769, 1153532, 1152061, 1208673, 1210614, 1154066, 1153773, 1267485, 1153934, 1267598, 1210148, 1267277, 1152347, 1153756, 1210198, 1152668, 1151983, 1267427, 1152628, 1210409, 1266161, 1266031, 1265361, 1151542]","[1067919, 1067322, 1067682, 1067850, 1067704, 1067419, 1067601, 1067786, 1067561, 1067880, 1182920, 1239826, 1067932, 1067575, 1067923, 1182947, 1067454, 1068003, 1067812, 1067401, 1067858, 1067831, 1067341, 1239842, 1067414, 1067664, 1067925, 1067929, 1067851, 1067755, 1067446, 1068018, 1067820, 1067362, 1182961, 1182919, 1067711, 1068011, 1067532, 1067958, 1067808, 1067415, 1182903, 1067642, 1239851, 1239824, 1067719, 1067940, 1067359, 1067759, 1067603, 1067458, 1239791, 1067549, 1067783, 1067757, 1067546, 1067931, 1067971, 1067563, 1182981, 1067438, 1067618, 1067788, 1239781, 1182944, 1067635, 1067626, 1182956, 1067588, 1182986, 1068025, 1067766, 1067652, 1067365, 1067891, 1067670, 1239833, 1067692, 1067962, 1067874, 1067447, 1067520, 1067538, 1067878, 1239783, 1067867, 1067330, 1067537, 1067702, 1067492, 1182936, 1067751, 1067987, 1067938, 1067636, 1067544, 1067782, 1067582, 1067689, 1067629, 1067924, 1239793, 1067843, 1068024, 1067631, 1067667, 1067648, 1067494, 1067571, 1067848, 1182953, 1239782, 1067775, 1068019, 1067909, 1067550, 1239846, 1067534, 1067343, 1067480, 1182933, 1067340, 1067356, 1239778, 1067696, 1067894, 1067825, 1067906]","{'PRP': 0.08732207668980171, 'of': 0.07920946351858006, 'NN': 0.06851947107297662, 'sentiment': 0.05321154060978716, 'VB': 0.04814461715880662, 'DT': 0.03858356626569213, 'IN': 0.037491628825918444, 'which': 0.03729589459320728, 'RB': 0.03371084535857098, 'have': 0.03126742396686242}"
0.46,0.4514285714285714,0.45733333333333337,0.46,0.52,0,0.585,0.38285714285714284,0.44666666666666666,0.335,"[1151963, 1265615, 1267289, 1209849, 1266991, 1267429, 841732, 1150632, 1151756, 1151718, 1152546, 1151703, 1265884, 1209062, 841960, 1152552, 1151874, 1266021, 1210370, 1209233, 1154990, 1267443, 842274, 842257, 1209655, 842146, 1153295, 1208950, 1209808, 1210489, 1210854, 1152814, 1153601, 1209571, 1208595, 1267309, 1153001, 1152365, 1153544, 1153252, 1153445, 842213, 1153596, 1265429, 1209163, 1152603, 1151021, 1265624, 1152038, 842209, 842254, 842049, 1266460, 1266907, 1153342, 1151521, 1152949, 1153654, 1151114, 1151336, 1267686, 1266280, 1208846, 1209950, 1151672, 1152909, 1265741, 1154140, 1209669, 1266716, 1151722, 1209078, 1266285, 1266422, 1208780, 1153547, 1208823, 1153329, 1209302, 1265437, 1266066, 1152270, 1266207]","[1067658, 1067673, 1067718, 1067340, 1067531, 1182908, 1067532, 1067989, 1067422, 1067504, 1182912, 1067968, 1067900, 1067707, 1239851, 1067390, 1067492, 1239790, 1182932, 1068013, 1067452, 1067951, 1067521, 1067364, 1067826, 1067550, 1067943, 1239794, 1068022, 1067660, 1067797, 1067398, 1067436, 1182954, 1182902, 1067983, 1068024, 1239841, 1067804, 1067737, 1182936, 1067716, 1067946, 1068018, 1067635, 1067731, 1067790, 1182978, 1067760, 1067376, 1067549, 1067326, 1067831, 1067955, 1067544, 1067803, 1067471, 1067674, 1239860, 1182915, 1067671, 1239825, 1067455, 1067567, 1067609, 1067358, 1067794, 1067619, 1067371, 1239798, 1067624, 1239816, 1067944, 1182926, 1067578, 1067503, 1182942, 1239791, 1067427, 1067952, 1067857, 1067400, 1067334, 1067958, 1182914, 1067392, 1067749, 1239847, 1067423, 1067432, 1068000, 1067542, 1067835, 1067742, 1182981, 1067813, 1067511, 1067773, 1182938, 1067636, 1067711, 1067721, 1067975, 1239832, 1067579, 1067743, 1067473, 1067552, 1067448, 1067554, 1182967, 1067828, 1182953, 1067953, 1067488, 1067706, 1067602, 1067853, 1067320, 1067641, 1067335, 1067389, 1067929, 1182935, 1182980, 1067704, 1067987, 1239788, 1067415, 1067965, 1067781, 1067466, 1239784]","{'VB': 0.07058172307313434, 'PRP': 0.06983379772963086, 'of': 0.0683653771271104, 'NN': 0.055160517970991606, 'sentiment': 0.051390251187570325, 'IN': 0.03927989043236586, 'DT': 0.0359808455398753, 'the': 0.03516146846393426, 'RB': 0.03232784100961158, 'have': 0.03024335356078226}"
0.455,0.4356863658719681,0.4478623566214807,0.455,0.54008,0,0.64,0.3312883435582822,0.42857142857142855,0.27,"[1151324, 1208583, 842268, 1153653, 1209555, 1210274, 1210397, 1152096, 1266589, 1210971, 841740, 1266430, 1266764, 1267455, 1151307, 1267051, 1267405, 1265753, 1154170, 1209935, 1152738, 1210099, 1267532, 1211733, 1151419, 1266341, 1209835, 1152888, 1266531, 1153013, 841794, 1266031, 1151480, 1266095, 1153284, 1208943, 1266239, 841675, 1209297, 1265620, 1152878, 1209762, 1210203, 1267145, 1153731, 1150550, 1210503, 1210279, 1152400, 1209393, 1150609, 1153012, 1152545, 1150590, 1267729, 1151180, 1154009, 1267501, 1153768, 842212, 1151846, 1265449, 1153752, 1210119, 1209727, 1153499, 1151290, 1265594, 841883, 1265678, 842052, 1153635]","[1067352, 1067730, 1067656, 1067459, 1067972, 1067563, 1067792, 1239860, 1067626, 1067657, 1067383, 1067779, 1067697, 1239783, 1067457, 1067932, 1067647, 1067886, 1067714, 1067409, 1067804, 1239854, 1182959, 1067943, 1068015, 1239812, 1067386, 1239841, 1239859, 1067616, 1067820, 1067995, 1067482, 1067328, 1239824, 1067794, 1067853, 1067729, 1239849, 1182979, 1068022, 1067977, 1067813, 1067891, 1239853, 1067828, 1067745, 1067486, 1067966, 1067670, 1239789, 1182926, 1182977, 1067787, 1068008, 1182924, 1067448, 1067571, 1067761, 1067340, 1067398, 1067719, 1067873, 1067415, 1067641, 1067825, 1067934, 1067519, 1067990, 1067914, 1182985, 1067484, 1067429, 1067651, 1067418, 1239832, 1067527, 1067622, 1067707, 1067847, 1067366, 1067444, 1067869, 1067743, 1182968, 1067435, 1239813, 1067453, 1182929, 1067574, 1067740, 1067930, 1067845, 1067364, 1067682, 1182981, 1067399, 1239857, 1182941, 1067782, 1067550, 1067611, 1067545, 1067963, 1067323, 1067971, 1067353, 1239811, 1067952, 1067837, 1067454, 1239787, 1067946, 1067517, 1067529, 1068001, 1067917, 1182918, 1182947, 1182937, 1067334, 1067643, 1067497, 1067835, 1067371, 1067566, 1067376, 1182948, 1067667, 1067821, 1067976, 1067372, 1067885, 1067567, 1239840, 1239799, 1067715, 1067434, 1067322, 1067874, 1067458, 1182912, 1067588, 1239781, 1067705, 1067892]","{'PRP': 0.06791231278214949, 'of': 0.0626054881967368, 'sentiment': 0.06050153567097434, 'NN': 0.052578756356371464, 'VB': 0.05090052747769049, 'DT': 0.04311435525481286, 'have': 0.03895836933891052, 'which': 0.03520362107789334, 'IN': 0.031310210145923896, 'i': 0.030528882060683615}"
0.4425,0.4091737042556714,0.4257465698143665,0.4425,0.54949,0,0.68,0.26885245901639343,0.3904761904761905,0.205,"[1210047, 1151064, 1265562, 1267632, 1153947, 1210307, 1266620, 1209408, 1210881, 1152853, 1153304, 1265445, 1208814, 1267731, 1210408, 1209574, 1153973, 1151773, 1152612, 1210740, 1153401, 1210078, 1267398, 1154088, 1150926, 1208819, 1209179, 1210414, 1152213, 1209621, 1151308, 1210316, 1210094, 1150632, 1152044, 1153017, 1265845, 841621, 1151333, 1154902, 1209659, 842254, 1152636, 1208746, 1152800, 1150870, 1151324, 1267792, 1152000, 1210217, 1210193, 1209133, 1266585, 842229, 1267336, 1210787, 1208945, 1152088, 1210007, 1267688, 1153213, 1151635, 1152859, 1267255]","[1067397, 1067485, 1067382, 1239794, 1067693, 1067851, 1067943, 1067424, 1067379, 1067783, 1067324, 1067979, 1067828, 1067929, 1067409, 1067591, 1067705, 1067956, 1239804, 1067321, 1067633, 1067538, 1067843, 1067984, 1067585, 1182980, 1067363, 1067498, 1182904, 1067744, 1067518, 1067401, 1239841, 1067932, 1067549, 1067389, 1067886, 1067923, 1068010, 1182925, 1182943, 1067357, 1067728, 1182983, 1067962, 1239788, 1067720, 1067887, 1067906, 1067448, 1067737, 1067913, 1067405, 1067463, 1067833, 1067553, 1067516, 1067762, 1067479, 1068001, 1239855, 1067559, 1067548, 1067919, 1067854, 1067528, 1067711, 1067504, 1067502, 1067917, 1182962, 1067583, 1067739, 1067849, 1182944, 1067598, 1067717, 1067501, 1067840, 1067899, 1067969, 1067474, 1067322, 1068025, 1067351, 1182979, 1067765, 1067847, 1067604, 1067377, 1067404, 1067407, 1067876, 1067523, 1067945, 1067732, 1067958, 1067540, 1182941, 1067863, 1067371, 1067883, 1067931, 1239863, 1239857, 1067468, 1182910, 1067885, 1067341, 1067383, 1067983, 1067775, 1182959, 1067529, 1067878, 1067413, 1068011, 1068007, 1067996, 1067607, 1182985, 1067499, 1067891, 1067988, 1067741, 1182958, 1067870, 1239813, 1067482, 1067673, 1182917, 1067365, 1067704, 1067656, 1067795, 1067978, 1067470, 1067683, 1239859, 1067874, 1067835, 1067757, 1068005, 1067940, 1182933, 1067794, 1239781, 1182940, 1067669, 1067788, 1067369, 1067666, 1067660, 1239832, 1067793, 1067999, 1067797, 1067816, 1067801]","{'sentiment': 0.07727803628915358, 'PRP': 0.07553533100930643, 'of': 0.06824288133515258, 'VB': 0.05118209894717996, 'NN': 0.047366954615076395, 'DT': 0.04134114943587115, 'to': 0.039846989356598764, 'IN': 0.03630982431762162, 'the': 0.032361837263479715, 'RB': 0.028526960432096994}"
0.4675,0.4491533642376399,0.4625046869141357,0.4675,0.54968,0,0.65,0.3486238532110092,0.44881889763779526,0.285,"[1266024, 1267259, 1150922, 1266602, 1265371, 1209636, 1152203, 841929, 1266208, 1210157, 1150818, 1151114, 1208812, 1152763, 1154962, 842072, 1266859, 1209853, 1208902, 1267102, 1150670, 841960, 1208678, 1154019, 1153522, 1152517, 1210218, 1152344, 1267247, 1210626, 1266565, 1210476, 1265418, 1151898, 1265831, 1151037, 1267615, 842274, 1209309, 1267008, 1150992, 1209367, 1210357, 1208679, 1267403, 1150813, 1210200, 1209906, 1152140, 1153532, 1208548, 1211782, 1209460, 1154009, 842206, 1153653, 1266397, 1151955, 1153656, 1150776, 1152546, 1208991, 1210286, 1152164, 1152863, 1153854, 1266306, 1151341, 1151953, 1266561]","[1067999, 1182918, 1067529, 1067378, 1067817, 1239834, 1182960, 1067773, 1067937, 1182912, 1067946, 1067435, 1067678, 1067545, 1067560, 1067748, 1182920, 1067401, 1067659, 1067886, 1067391, 1067350, 1067806, 1067425, 1067580, 1067531, 1067598, 1067909, 1239781, 1067504, 1067488, 1067931, 1067674, 1067536, 1067874, 1239829, 1067755, 1067476, 1067365, 1067544, 1067757, 1067443, 1067942, 1239847, 1182958, 1067944, 1067657, 1067954, 1182914, 1067396, 1067883, 1067614, 1239854, 1239805, 1067778, 1067611, 1067823, 1067765, 1067749, 1068000, 1067392, 1067684, 1067996, 1067495, 1182971, 1067994, 1239791, 1067714, 1067446, 1067343, 1067359, 1067903, 1182899, 1239832, 1182953, 1067969, 1067352, 1067899, 1239833, 1067422, 1239812, 1067848, 1067386, 1067374, 1067590, 1067968, 1182919, 1067831, 1067957, 1182908, 1067890, 1067745, 1067454, 1067521, 1067929, 1067869, 1067494, 1067441, 1182903, 1182947, 1239783, 1067717, 1067918, 1067770, 1067369, 1067539, 1182916, 1067752, 1067484, 1067448, 1067985, 1067710, 1182902, 1067771, 1239826, 1067370, 1067389, 1067641, 1239845, 1067924, 1067622, 1067615, 1067594, 1067940, 1182985, 1067604, 1067569, 1068022, 1067631, 1182922, 1067762, 1068005, 1067559, 1067982, 1067901, 1067764, 1067706, 1067617, 1067345, 1067671, 1067395, 1067652, 1067329]","{'PRP': 0.07352758638018445, 'sentiment': 0.06984287458215899, 'VB': 0.05760279706923451, 'of': 0.05433373736669938, 'NN': 0.053582694425391424, 'DT': 0.042522728098635235, 'to': 0.0353840836528801, 'the': 0.035361023338128975, 'NNS': 0.03433233536522634, 'have': 0.033766742798526546}"
0.44,0.43592455490921905,0.4382143960457213,0.44,0.48387,0,0.525,0.3879781420765027,0.42771084337349397,0.355,"[1266269, 1210273, 1151438, 842163, 1208676, 1267753, 1266977, 1150608, 1150661, 1267729, 1209570, 841930, 1209488, 841697, 841990, 1208951, 1153879, 1267693, 1152082, 842047, 1265803, 1210510, 1208978, 1151290, 1210869, 1208944, 841897, 1152544, 1267275, 1208833, 1152988, 1266796, 1209330, 841718, 1208814, 1209141, 841700, 1266559, 1265573, 841826, 1267519, 1151949, 1150751, 1153127, 1211733, 1154051, 1265920, 1151284, 1210084, 1208562, 842038, 1208857, 1265769, 1151156, 842049, 1152596, 1266076, 1151785, 1209226, 1210027, 1266540, 1210314, 842067, 1153810, 1209357, 1209113, 1265480, 1210950, 1266844, 1150906, 1210627, 1151767, 1153731, 1153725, 1153618, 1209383, 1150550, 1265459, 1211720, 1265795, 1153162, 1210526, 1151693, 1266330, 1210959, 1150968, 1209240, 1152474, 1153012, 1267123, 1153878, 1210376, 842098, 1152263, 1152437]","[1067729, 1239819, 1182902, 1067886, 1067848, 1239863, 1067542, 1067540, 1067490, 1239826, 1182923, 1067595, 1239794, 1182926, 1067861, 1067690, 1068010, 1067633, 1067903, 1067606, 1067845, 1067746, 1239793, 1067686, 1067759, 1067562, 1067984, 1239816, 1182927, 1067965, 1067819, 1067785, 1067337, 1067504, 1067684, 1067789, 1067370, 1067580, 1067461, 1067806, 1239783, 1239802, 1067653, 1067552, 1239847, 1067438, 1182986, 1182968, 1068026, 1182918, 1067771, 1067325, 1067900, 1067961, 1067662, 1067737, 1239782, 1067642, 1067731, 1067579, 1067381, 1067688, 1068022, 1067444, 1067529, 1067639, 1067937, 1067719, 1067751, 1067559, 1067567, 1067366, 1067574, 1067585, 1067447, 1067781, 1067757, 1067748, 1067400, 1067795, 1067390, 1067879, 1182984, 1067557, 1067531, 1239810, 1182917, 1067457, 1182985, 1067392, 1067901, 1067386, 1067382, 1068013, 1067669, 1067512, 1067434, 1067403, 1067905, 1067458, 1067680, 1067625, 1067515, 1067436, 1239839, 1067365, 1182915, 1067518, 1067394, 1067694, 1067352, 1067418, 1067626, 1067918, 1067881, 1239815, 1067510, 1067798, 1239813, 1067519, 1067887, 1182956, 1067907, 1067825, 1067709, 1067641, 1067980, 1067938, 1067463]","{'PRP': 0.07806431339647796, 'of': 0.06848959073722895, 'NN': 0.05649922075114585, 'sentiment': 0.05361140489381754, 'VB': 0.0448434354358429, 'DT': 0.0439227460681069, 'IN': 0.03513304528956958, 'NNS': 0.035062868468261954, 'i': 0.032354101698729744, 'RB': 0.03202058583405479}"
0.3625,0.3586478788221757,0.3591152437306283,0.3625,0.40835,0,0.44,0.3089430894308943,0.33727810650887574,0.285,"[1209142, 1209264, 1210174, 841980, 1150600, 1151182, 1152703, 1151075, 1208767, 1152645, 1152088, 842083, 1152958, 1152839, 1153338, 1209924, 1210229, 1151714, 1210598, 841605, 1266890, 1266408, 842228, 1210358, 1267412, 1267201, 1266389, 1151571, 841514, 1153487, 1210621, 1210267, 1266300, 1208983, 1208872, 1266212, 1151759, 841576, 1150791, 1266400, 1267069, 1153181, 1208567, 1209363, 842054, 1267693, 1210471, 841644, 1209109, 1151685, 1210393, 1210089, 1267516, 1154162, 1151599, 1209915, 1151997, 1152149, 1150753, 1266147, 1210732, 1153872, 1266282, 1153180, 1210049, 1153676, 1209164, 1152109, 1209951, 1209835, 1151063, 1211703, 1152039, 1265381, 1210147, 1266574, 1209391, 841874, 1209666, 1209909, 1265617, 1154063, 1152828, 1266943, 1267705, 1151476, 1153118, 1267328, 1210949, 1266871, 842135, 1151613, 1209429, 1150590, 1267695, 1153552, 1154142, 1266611, 1265360, 1265802, 1154982, 1152430, 1209291, 1208650, 1209692, 1266760, 1266079, 1152847, 1209959, 1153295, 1209920, 1151955]","[1239818, 1067598, 1068002, 1067352, 1067359, 1067375, 1067925, 1067792, 1067788, 1067709, 1067691, 1067339, 1067778, 1239795, 1067831, 1067932, 1239854, 1068008, 1067993, 1067490, 1067592, 1067998, 1067638, 1239841, 1067751, 1239853, 1067380, 1182920, 1067431, 1067650, 1067521, 1239859, 1067402, 1067599, 1067966, 1067703, 1067358, 1067692, 1239780, 1067652, 1182903, 1067450, 1067813, 1067985, 1067340, 1067372, 1067607, 1067555, 1067536, 1239813, 1067563, 1239779, 1067651, 1067470, 1067760, 1067854, 1067794, 1067385, 1067846, 1067718, 1239798, 1067648, 1067868, 1067729, 1067688, 1067773, 1067928, 1067812, 1239823, 1067982, 1067404, 1067768, 1067569, 1067758, 1067874, 1182938, 1067436, 1067341, 1067548, 1067613, 1067838, 1067694, 1067820, 1067622, 1067705, 1067444, 1239863, 1067682, 1067641, 1067781, 1067494, 1068018, 1067557, 1067643, 1067949, 1239839, 1067422, 1182941, 1067345, 1239832, 1067531, 1182961, 1067954, 1067992, 1182978, 1067789, 1067702, 1067884, 1067503, 1067909, 1182923, 1067659, 1068016, 1067390, 1067579, 1067594, 1182986, 1067958, 1068023, 1067786, 1067549, 1182912, 1182975, 1067429, 1067578, 1067929, 1068011, 1182985, 1067783, 1182944, 1067553, 1067595, 1067611, 1067917, 1067955, 1182935, 1067738, 1067686, 1067973, 1067382, 1067515, 1182918, 1067573]","{'of': 0.08129955176072998, 'PRP': 0.07413586784570834, 'sentiment': 0.06489316674241445, 'NN': 0.056540521480372495, 'VB': 0.04848033324581959, 'NNS': 0.03885461285422837, 'IN': 0.03475419856449787, 'DT': 0.03031733955565895, 'i': 0.02933860174450752, 'mean_sen_len': 0.028776151481749623}"
0.5025,0.483355076555614,0.5029350474010156,0.5025,0.58281,1,0.695,0.38390092879256965,0.5040650406504065,0.31,"[1266031, 1150548, 1152477, 1209966, 1266749, 841577, 1153867, 1151946, 1150643, 1266735, 1151359, 1209860, 1266808, 1151861, 1208833, 1265711, 1267580, 1151999, 1209009, 1210104, 1151392, 1153966, 841655, 1153911, 1265397, 1151858, 1151809, 1209628, 1151099, 841849, 1208592, 1209783, 1266593, 1153001, 1152557, 1210485, 1211757, 1210358, 1151414, 1265963, 1208794, 1150978, 1210848, 841776, 1151634, 1152660, 1266893, 1265516, 1151334, 1266800, 1153121, 1266305, 1153444, 1265501, 1209491, 1209316, 1150749, 1267293, 1151403, 1209680, 1153910]","[1067328, 1067579, 1067702, 1067426, 1067709, 1067692, 1067329, 1067697, 1067942, 1067463, 1239791, 1067663, 1239788, 1067511, 1067504, 1067451, 1067716, 1067501, 1067322, 1067765, 1182928, 1067803, 1067521, 1067436, 1067602, 1067801, 1067994, 1067461, 1067818, 1067540, 1067751, 1067949, 1067650, 1182917, 1067969, 1067787, 1067594, 1067989, 1067924, 1239853, 1067382, 1067537, 1067805, 1182943, 1067446, 1067351, 1067900, 1067981, 1067495, 1067890, 1067393, 1067798, 1239841, 1067694, 1239795, 1067873, 1182935, 1239790, 1182985, 1067880, 1067425, 1067961, 1239782, 1067590, 1067333, 1067974, 1067462, 1067326, 1067783, 1182941, 1067849, 1239826, 1067874, 1067695, 1067755, 1067389, 1182975, 1182927, 1067793, 1067386, 1067542, 1067834, 1067770, 1068025, 1067629, 1182921, 1067748, 1067730, 1239822, 1067966, 1067538, 1067413, 1067773, 1067448, 1067364, 1067868, 1182952, 1182954, 1239812, 1067327, 1182910, 1067761, 1067740, 1067518, 1182962, 1067846, 1067741, 1067578, 1239810, 1182919, 1067491, 1067778, 1067738, 1182938, 1067972, 1067659, 1067826, 1067422, 1067485, 1239828, 1067400, 1067985, 1239824, 1067603, 1182979, 1067794, 1239807, 1067893, 1068021, 1239811, 1067449, 1067968, 1067575, 1067434, 1239823, 1182967, 1067682, 1067699]","{'PRP': 0.06760097681728924, 'of': 0.06089626829485167, 'NN': 0.05813006406042945, 'sentiment': 0.0539639385393917, 'VB': 0.04318113467213947, 'DT': 0.03709285353605341, 'IN': 0.03617058335900502, 'to': 0.032745395105493263, 'mean_sen_len': 0.032170796894943614, 'RB': 0.03104919340975794}"
0.445,0.4354592615196826,0.44101244101244097,0.445,0.50885,0,0.575,0.3620689655172414,0.42567567567567566,0.315,"[1151262, 1151640, 1209198, 1153207, 1266420, 1265793, 841539, 1209583, 1208882, 1210048, 1209043, 1152471, 1210708, 1209107, 1152034, 1150914, 1154904, 1209316, 1267742, 1154163, 1266101, 1265994, 1151230, 1266695, 1210409, 1150870, 1209574, 841757, 1150755, 1208925, 1151659, 1266265, 1152042, 1266577, 1152039, 1209521, 1209310, 1153247, 1153235, 1154077, 1265569, 1266285, 1153257, 1153785, 1208570, 1151540, 1265535, 1152728, 1153306, 1208701, 1152178, 1150921, 1211694, 1152315, 1266967, 1267666, 1265906, 1267245, 1210356, 1265350, 1210235, 1266397, 1209478, 1150664, 1210693, 1153817, 1152600, 1265981, 1209676, 1265463, 1151402, 1210607, 841781, 1153308, 1209785, 1153342, 1209421, 1209909, 1151024, 1151964, 842069, 1150691, 1210513, 1210155, 1151937]","[1239804, 1067911, 1067340, 1067326, 1067451, 1182936, 1067425, 1067959, 1067546, 1067403, 1067757, 1239863, 1067785, 1067860, 1067503, 1067879, 1067786, 1067671, 1067965, 1067929, 1067566, 1067823, 1067642, 1067510, 1067474, 1067829, 1067814, 1067325, 1067657, 1067999, 1067384, 1067869, 1067939, 1067601, 1067527, 1067748, 1067631, 1068023, 1067337, 1067792, 1067592, 1067736, 1067737, 1067651, 1067847, 1067881, 1067466, 1067320, 1182959, 1067872, 1067563, 1067738, 1067515, 1067359, 1068004, 1067446, 1067547, 1067841, 1067672, 1067323, 1182938, 1067490, 1067974, 1067952, 1067697, 1067423, 1239860, 1067398, 1067609, 1067489, 1067771, 1067347, 1068009, 1067552, 1067324, 1067561, 1067322, 1067943, 1067475, 1067381, 1067724, 1067766, 1067562, 1067602, 1067837, 1067972, 1068026, 1067431, 1067880, 1067877, 1067854, 1182922, 1067698, 1239815, 1068001, 1068018, 1067618, 1067438, 1067853, 1239791, 1067389, 1067968, 1067913, 1239849, 1067987, 1067468, 1239854, 1182977, 1067594, 1067723, 1068010, 1182904, 1182910, 1067804, 1067996, 1067409, 1067545, 1067583, 1067470, 1067840, 1067949, 1067548, 1067480, 1067442, 1067845, 1239803, 1067379, 1067813, 1067412, 1067831, 1182966, 1067874, 1067989, 1067977, 1067371, 1067482, 1067658]","{'of': 0.07677976811494695, 'PRP': 0.06277660749790277, 'sentiment': 0.053136979227088085, 'NN': 0.050163740141017224, 'VB': 0.04336466722795544, 'IN': 0.04137529594493713, 'DT': 0.03683304711936283, 'have': 0.03594458923195715, 'i': 0.03585578154168569, 'NNS': 0.0354144549796879}"
0.485,0.48395500889300835,0.48487750781328764,0.485,0.50718,0,0.53,0.4607329842931937,0.4835164835164835,0.44,"[1151348, 1266173, 1152203, 1151747, 1153200, 1152454, 1208547, 1267701, 1152452, 1209409, 841579, 1208675, 1211720, 1267708, 1154004, 1153446, 1266785, 842043, 1154140, 1152160, 1208736, 1152191, 1153637, 1154909, 1151410, 1152189, 1153822, 1208950, 1153447, 1265904, 1210141, 1266747, 1210342, 1153456, 1151435, 841615, 1151964, 1153009, 1208756, 1153847, 1267218, 841976, 1151127, 1266095, 1152241, 1153420, 1265437, 1153279, 1153925, 1209775, 1152225, 1154108, 1150770, 1266135, 1266936, 1210144, 1209307, 1209669, 841798, 1209192, 1151668, 1153476, 1209985, 1210082, 1153464, 1209701, 1210091, 1153081, 841921, 1266859, 1211736, 1209949, 1210260, 1153658, 1153001, 1266296, 1209923, 1265541, 1210290, 1153952, 1152047, 1267525, 1267419, 1151756, 1267030, 1210946, 1208834, 841994, 1210447, 1152303, 1266836, 1210894, 1151039, 1153082]","[1067773, 1068001, 1067854, 1067740, 1067709, 1067788, 1067909, 1067959, 1067458, 1239815, 1067817, 1182962, 1067624, 1067362, 1067960, 1067778, 1067967, 1067601, 1067599, 1067391, 1067982, 1067442, 1182984, 1067534, 1182969, 1067925, 1067468, 1067580, 1067418, 1239791, 1067643, 1067704, 1239855, 1067989, 1067542, 1067422, 1067736, 1067676, 1182978, 1067881, 1067775, 1067448, 1067907, 1068008, 1067555, 1067723, 1067571, 1067972, 1067368, 1182942, 1182986, 1239807, 1067406, 1239863, 1239842, 1068025, 1067461, 1182921, 1067347, 1067340, 1067320, 1067945, 1067493, 1067929, 1182945, 1067575, 1067582, 1182911, 1067756, 1239826, 1067739, 1067888, 1067553, 1067539, 1067569, 1067730, 1067499, 1067531, 1067639, 1067494, 1067592, 1067792, 1067932, 1067689, 1067504, 1067429, 1067488, 1067570, 1182904, 1067358, 1182940, 1239816, 1067911, 1182946, 1182953, 1067731, 1239833, 1067926, 1239785, 1067631, 1067913, 1067919, 1067910, 1067737, 1067853, 1067751, 1067595, 1067462, 1182933, 1067454, 1067520, 1067441]","{'PRP': 0.08500964949267774, 'of': 0.06763017982768128, 'sentiment': 0.06571304794934511, 'VB': 0.053637383102614934, 'NN': 0.05034708794305732, 'IN': 0.03999697004034889, 'NNS': 0.039358326820563005, 'i': 0.03198772762000873, 'to': 0.028144877808222484, 'mean_sen_len': 0.02695605733834261}"
