accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.4575,0.4492350839789593,0.4547860315433921,0.4575,0.5167,0,0.58,0.3817663817663818,0.44370860927152317,0.335,"[1265891, 1153943, 1150640, 1211730, 1267396, 841880, 1152608, 1210035, 1153522, 1151839, 1267114, 1209052, 1266299, 1210903, 841625, 1210580, 1209984, 1208717, 1210342, 1151543, 1154962, 1267260, 1267077, 1150762, 1266947, 1208973, 1266645, 1150769, 1150797, 1152400, 1151044, 1265855, 1265554, 1267597, 1152116, 1209040, 1152002, 1266619, 1152245, 1153874, 1153423, 1267071, 1208573, 1150665, 1151427, 841896, 1266212, 1266182, 1266148, 1209684, 1210558, 1209065, 1151694, 1266558, 1267010, 841763, 1265794, 1267615, 1152386, 1266030, 1209004, 1152213, 1265803, 1151683, 1210447, 1153920, 1210274, 841728, 1151063, 1267494, 1210002, 1153955, 1267718, 1209334, 1152553, 1266431, 1266920, 1265617, 1209925, 1153690, 1210488, 1210736, 1265600, 842071]","[1054623, 1054140, 1054352, 1054476, 1054118, 1054277, 1054180, 1054516, 1054501, 1054492, 1054272, 1054123, 1054109, 1053996, 1054299, 1053984, 1054676, 1181306, 1053975, 1054499, 1054480, 1054014, 1054614, 1054174, 1054113, 1054017, 1054510, 1054636, 1054490, 1054301, 1181300, 1054133, 1054079, 1054526, 1054162, 1054304, 1054404, 1054495, 1054629, 1054135, 1054187, 1181299, 1054178, 1054255, 1054258, 1053941, 1053999, 1054522, 1054195, 1053952, 1054183, 1054200, 1054353, 1054483, 1054520, 1238252, 1238192, 1053983, 1054022, 1054427, 1238241, 1054356, 1054359, 1054650, 1054378, 1054458, 1053936, 1054511, 1054145, 1054098, 1054374, 1054143, 1181333, 1054131, 1238229, 1054606, 1054488, 1054487, 1054594, 1054114, 1054453, 1054259, 1054210, 1054121, 1054345, 1181264, 1181322, 1054446, 1054269, 1054056, 1054036, 1053976, 1054549, 1181290, 1054166, 1054313, 1054582, 1054271, 1054077, 1054540, 1054270, 1181325, 1054528, 1238183, 1054621, 1054355, 1054351, 1238189, 1054585, 1054038, 1054268, 1054263, 1054383, 1238194, 1181274, 1054239, 1054078, 1054117, 1238193, 1054164, 1054563, 1054543, 1238173, 1054122, 1054342, 1054641, 1054294, 1054096, 1053956, 1054541, 1054667, 1054141, 1054084]","{'sentiment': 0.07922732274861334, 'PRP': 0.07197019218494952, 'of': 0.06409237057239102, 'NN': 0.055375717028537254, 'VB': 0.04523647014259585, 'DT': 0.04262572516807375, 'IN': 0.034224827170429045, 'i': 0.03264179774928429, 'have': 0.026942098058280742, 'RB': 0.02573313427956688}"
0.4175,0.3811051125233248,0.3921251348435814,0.4175,0.53119,0,0.66,0.23102310231023102,0.33980582524271846,0.175,"[1209105, 1151501, 1209065, 1209826, 1267418, 1152553, 1266843, 1151607, 1153501, 1154019, 1265706, 841700, 1267213, 1267287, 1151160, 1265904, 841986, 1151371, 1153085, 1151431, 1266655, 1153421, 1150550, 1153752, 1210619, 841680, 1266567, 1153083, 1265537, 1151809, 1265946, 1153145, 1265705, 841941, 1265909, 1267280, 1152445, 1151223, 1267536, 1266864, 1265935, 1151069, 1266829, 1152979, 1151946, 1209796, 1150610, 1153936, 1154100, 1267008, 1210416, 1209618, 1210769, 1267707, 1209179, 1267616, 1152403, 1267541, 1210721, 1152543, 1209427, 1151722, 842228, 1265367, 1151967, 1266956, 1150590, 1209414]","[1053981, 1054234, 1054353, 1181317, 1053937, 1054576, 1054010, 1054158, 1054600, 1054524, 1054321, 1054176, 1181272, 1054614, 1238217, 1054467, 1053954, 1238184, 1054668, 1054248, 1054095, 1054174, 1054134, 1054304, 1054145, 1054019, 1054622, 1054335, 1054559, 1054528, 1054651, 1054076, 1054352, 1054137, 1054089, 1054025, 1054037, 1054418, 1181291, 1054073, 1053934, 1054151, 1181290, 1054439, 1054269, 1054432, 1054058, 1054213, 1054036, 1054463, 1181266, 1053942, 1181273, 1054268, 1054629, 1054196, 1054650, 1181321, 1054499, 1054125, 1054109, 1054657, 1054302, 1054378, 1054681, 1054233, 1181256, 1181276, 1053961, 1054140, 1053956, 1054003, 1054487, 1054613, 1054032, 1181298, 1053928, 1054232, 1054038, 1054343, 1054433, 1238209, 1181300, 1054090, 1054315, 1054423, 1053973, 1054206, 1054601, 1054051, 1181319, 1054326, 1238182, 1054135, 1181329, 1238219, 1054674, 1181260, 1054063, 1054195, 1054100, 1054245, 1054120, 1054572, 1054502, 1181254, 1053977, 1054295, 1181292, 1054452, 1054509, 1054008, 1054167, 1238248, 1054250, 1054566, 1054472, 1181282, 1054342, 1054285, 1054317, 1053968, 1053948, 1054201, 1054396, 1054558, 1053945, 1181246, 1054552, 1054415, 1054297, 1054550, 1054504, 1054357, 1054056, 1054308, 1053970, 1054456, 1054186, 1054678, 1053976, 1054665, 1054441, 1054316, 1054202, 1054573, 1054228, 1181295, 1054440, 1054630, 1054005, 1054126, 1054023, 1054398, 1054007, 1054389, 1054652, 1054009, 1054580, 1054507, 1054281, 1054609, 1054139, 1054320, 1054416]","{'PRP': 0.07456077587561245, 'of': 0.06849381947766325, 'sentiment': 0.06728869609313853, 'NN': 0.05019242751393037, 'IN': 0.04674378991112497, 'VB': 0.04163595810843592, 'NNS': 0.03454917508173301, 'DT': 0.034233975889803044, 'mean_sen_len': 0.031994084648031745, 'have': 0.02891834091493127}"
0.395,0.37474162877221995,0.37936580882352944,0.395,0.48729,0,0.575,0.2621951219512195,0.3359375,0.215,"[1150728, 1210310, 1267420, 1210412, 1266041, 1210590, 1152952, 1208698, 1209720, 1208656, 1267007, 1209004, 1152300, 842179, 1266246, 1210704, 1209298, 1153483, 1266961, 1267249, 1153745, 1152035, 1266472, 1153387, 1267579, 1267287, 1151893, 1152810, 1208970, 1210645, 841620, 1151910, 1265909, 1154009, 1210386, 1153039, 1266619, 1267467, 1152174, 1153922, 1265744, 1210067, 1209696, 1209626, 842047, 1153642, 1152119, 1151815, 1151258, 1266691, 842053, 1210597, 1266280, 841567, 1267145, 1154004, 841809, 1210188, 1151667, 1152160, 1150648, 1209474, 1267497, 1209395, 1266942, 1209120, 841983, 1266556, 1151343, 1151435, 1267643, 1151307, 1210565, 1266436, 1210721, 1209293, 1152311, 1210198, 1152767, 1209480, 1267624, 1210529, 1265499, 841579, 842260]","[1054279, 1054158, 1054345, 1054080, 1054463, 1238213, 1054646, 1054093, 1054138, 1238190, 1054447, 1238202, 1054669, 1054440, 1181246, 1054570, 1054157, 1054290, 1054621, 1054274, 1054061, 1054353, 1238209, 1181267, 1054150, 1054164, 1054464, 1054262, 1054079, 1054435, 1054149, 1053946, 1054530, 1181260, 1054249, 1054488, 1181249, 1181245, 1054152, 1054444, 1054373, 1054425, 1053994, 1054041, 1181294, 1181287, 1054025, 1053936, 1054269, 1054346, 1053990, 1054491, 1054277, 1054448, 1054552, 1054300, 1054143, 1054525, 1054613, 1181250, 1054084, 1054221, 1238185, 1054538, 1054254, 1054051, 1054297, 1054642, 1054213, 1054259, 1054374, 1054672, 1054232, 1054009, 1054533, 1054645, 1054458, 1054131, 1238188, 1238212, 1054576, 1054035, 1054340, 1054020, 1053952, 1181289, 1053960, 1181320, 1181304, 1238181, 1181292, 1054047, 1054681, 1054174, 1054658, 1054591, 1054311, 1181288, 1053950, 1054089, 1238250, 1054263, 1238211, 1054100, 1054295, 1054618, 1053963, 1181300, 1054376, 1054487, 1054163, 1054099, 1054483, 1054361, 1054129, 1238241, 1054378, 1053997, 1054133, 1054045, 1054504, 1054132, 1054540, 1054457, 1054641, 1054185, 1238179, 1054619, 1054433, 1053973, 1054267, 1053957, 1053931, 1054207, 1054508, 1181293, 1054539, 1054135, 1053991, 1054547, 1054370, 1054430, 1054168, 1054514, 1054301, 1054315, 1181262, 1054560, 1054169, 1054220, 1053942, 1054001, 1054111, 1054482, 1054187, 1054230, 1054503]","{'PRP': 0.07152824729305203, 'of': 0.06815786849958821, 'sentiment': 0.06668857341776643, 'VB': 0.056874315291197935, 'NN': 0.056594568084379036, 'IN': 0.04237418948035595, 'NNS': 0.039339158971404616, 'DT': 0.032862992904928154, 'RB': 0.031513705275469636, 'have': 0.0282439204969404}"
0.4425,0.4346952614534416,0.4391389484268741,0.4425,0.50112,0,0.56,0.36827195467422097,0.42483660130718953,0.325,"[1267565, 1153139, 842223, 1153958, 1154045, 1152333, 1153860, 1208618, 1210957, 1150530, 1151869, 1266725, 1267449, 1151224, 1209890, 1266890, 1151983, 1209048, 1152844, 1267343, 1209894, 1151451, 1210837, 1150847, 1210754, 1151524, 1152483, 1267176, 1209906, 1267530, 1265349, 1265956, 1210912, 1210546, 1152952, 1266068, 1210430, 1210445, 1154913, 1209421, 1153164, 1265804, 1266847, 842173, 1153145, 1152174, 1267215, 1265640, 1267186, 1208727, 1210851, 1266843, 1210537, 1267760, 1209917, 1209767, 1153385, 1211703, 1267156, 1152104, 1265581, 1210324, 1209184, 1151027, 1153081, 842192, 1267203, 1267476, 1208701, 1267415, 841782, 1209423, 1153752, 1265934, 1266344, 1151082, 1209185, 1267161, 1266900, 1266354, 1266101, 1265350, 1265717, 1151788, 841970, 842040, 1208744, 1210484]","[1238255, 1054175, 1054260, 1054300, 1181276, 1181287, 1238183, 1054285, 1054453, 1054198, 1054342, 1054078, 1054061, 1181273, 1181275, 1054631, 1181272, 1053982, 1181277, 1053992, 1238220, 1054085, 1054257, 1054277, 1054566, 1054633, 1054434, 1054379, 1238213, 1054099, 1054212, 1054226, 1054669, 1181321, 1054155, 1054072, 1054243, 1054297, 1054639, 1054162, 1054366, 1054494, 1054196, 1054183, 1054118, 1054511, 1054248, 1054521, 1054594, 1053939, 1238208, 1054062, 1238226, 1054651, 1054114, 1238221, 1054238, 1054642, 1054361, 1054195, 1238166, 1054028, 1054378, 1054272, 1054491, 1054680, 1054127, 1054468, 1054578, 1054207, 1054615, 1054077, 1181261, 1054050, 1054569, 1054239, 1181309, 1238186, 1054263, 1054095, 1054677, 1054432, 1054202, 1054668, 1054478, 1238243, 1238256, 1054329, 1238241, 1054638, 1054418, 1054499, 1054552, 1054163, 1053958, 1054035, 1181247, 1238238, 1054055, 1054352, 1054150, 1054110, 1054609, 1054229, 1054345, 1054322, 1054108, 1054100, 1054340, 1238207, 1054003, 1054504, 1053997, 1238182, 1054136, 1181305, 1054444, 1054210, 1054251, 1053994, 1054349, 1054096, 1054084, 1054293, 1054276, 1053993, 1054402, 1054675, 1238198, 1054323, 1238204, 1054647, 1238200, 1054250, 1054679]","{'PRP': 0.0834480386908843, 'of': 0.06582437441804281, 'sentiment': 0.058721952887912945, 'NN': 0.05176656273757398, 'VB': 0.05000789808667212, 'DT': 0.038784349134678105, 'IN': 0.03775121411237358, 'the': 0.03462423654327111, 'NNS': 0.03223972730873112, 'have': 0.029462959367876403}"
0.4425,0.401241819097164,0.4206212251941329,0.4425,0.55842,0,0.705,0.2440677966101695,0.37894736842105264,0.18,"[1150604, 1209522, 1267017, 1152281, 1267598, 1152664, 1153040, 1151790, 1209943, 841974, 1265539, 1267073, 1152283, 1265395, 1153633, 1152544, 1150851, 1154108, 841718, 1210564, 1153556, 1154141, 842269, 1266212, 1265429, 1208679, 1210178, 1152268, 1152200, 841853, 1150651, 1210008, 1152420, 1267549, 1266100, 1152507, 1266559, 1209128, 1267562, 1265631, 1267601, 1153920, 1210910, 1152517, 1153778, 1208607, 1210781, 1210950, 1209666, 1151455, 1208821, 1209363, 1266617, 1267743, 1266095, 1152060, 1210282, 1153658, 1267571]","[1054359, 1181250, 1054126, 1054604, 1054668, 1054238, 1054545, 1181274, 1238256, 1053939, 1054552, 1054205, 1053929, 1054600, 1054637, 1054329, 1181312, 1054030, 1054024, 1054180, 1053975, 1054489, 1238245, 1054682, 1238231, 1054009, 1054641, 1054462, 1181253, 1054117, 1054624, 1054620, 1054539, 1238176, 1054590, 1054129, 1054675, 1181289, 1054199, 1181313, 1054355, 1053964, 1054079, 1054062, 1238233, 1181305, 1054209, 1054188, 1238217, 1054210, 1181288, 1054144, 1054370, 1054589, 1054471, 1054251, 1054592, 1054113, 1054253, 1054070, 1054547, 1054633, 1054190, 1054247, 1054418, 1054619, 1181282, 1054094, 1054397, 1238215, 1054437, 1054524, 1053957, 1054125, 1054127, 1054321, 1053994, 1054295, 1238248, 1054118, 1181249, 1053961, 1054105, 1054198, 1054104, 1053944, 1054121, 1238226, 1054122, 1053979, 1054195, 1054450, 1054500, 1053935, 1054244, 1054615, 1054034, 1054625, 1238182, 1238212, 1054161, 1054452, 1054582, 1054026, 1053973, 1054681, 1054412, 1054389, 1054385, 1054178, 1054314, 1054000, 1054074, 1054530, 1054456, 1181254, 1181322, 1054559, 1054248, 1054196, 1054174, 1054609, 1054016, 1054417, 1181297, 1053932, 1054652, 1053988, 1054475, 1054277, 1054533, 1054218, 1054281, 1054587, 1053949, 1054353, 1054424, 1054639, 1053960, 1181263, 1053980, 1054226, 1238205, 1181287, 1054669, 1054576, 1054630, 1054096, 1054578, 1054376, 1054366, 1054548, 1054182, 1238250, 1054228, 1181275, 1054183, 1054351, 1054542, 1054164, 1238228, 1054536, 1054128, 1053969]","{'sentiment': 0.06602165343508518, 'PRP': 0.06475580303264704, 'of': 0.0642279121597438, 'NN': 0.05306684641766521, 'VB': 0.04828462927792927, 'DT': 0.0447900969466342, 'IN': 0.03546963715421654, 'which': 0.034430126227982916, 'the': 0.034066530378271356, 'have': 0.03229831747442505}"
0.39,0.36324016806284093,0.36777256881836756,0.39,0.49378,0,0.595,0.23270440251572327,0.3135593220338983,0.185,"[1209201, 1150643, 1209312, 1210756, 1210020, 1209526, 1266177, 841675, 1266863, 1151856, 1150581, 1152557, 1152207, 1150672, 1153219, 1151220, 1208797, 1154929, 1209907, 1151963, 1267249, 1267050, 1208892, 1151253, 1209443, 1151895, 1152203, 1210740, 1208607, 1210048, 1266020, 1152552, 1151013, 1150809, 1152841, 1153403, 1267102, 1151893, 1150719, 1210473, 842157, 1208650, 1266354, 1154937, 1150647, 1151484, 842122, 1266812, 1209453, 1209485, 1267161, 1151202, 1153761, 1266650, 1152670, 1154989, 1154162, 1210884, 1150595, 1151487, 841960, 1150868, 1266435, 1150905, 1209690, 1209637, 1150513, 841839, 1265942, 1209570, 1209820, 1210358, 841654, 1265387, 1153213, 1209575, 1151227, 1153408, 1265484, 1153909, 1153933]","[1054585, 1054464, 1054268, 1054311, 1054179, 1181291, 1054077, 1054658, 1054271, 1054440, 1054291, 1238246, 1054199, 1054339, 1054674, 1053962, 1054226, 1054169, 1181249, 1054206, 1054257, 1054675, 1181281, 1054451, 1054529, 1054185, 1054122, 1054488, 1238189, 1054580, 1238235, 1054644, 1054475, 1238229, 1054100, 1054645, 1054523, 1054342, 1054352, 1054276, 1054569, 1054322, 1054519, 1054266, 1054638, 1054647, 1054676, 1054097, 1054573, 1054499, 1053961, 1054673, 1054526, 1054359, 1181265, 1054286, 1054255, 1054649, 1054303, 1238247, 1054444, 1181297, 1054331, 1053954, 1054630, 1181329, 1054355, 1053953, 1054011, 1181263, 1054212, 1054418, 1054021, 1181333, 1181275, 1054131, 1238186, 1054382, 1181288, 1238201, 1181294, 1054548, 1053932, 1238207, 1054013, 1054650, 1238190, 1054426, 1054508, 1054678, 1054300, 1054372, 1054374, 1053968, 1181253, 1054616, 1054609, 1181274, 1053965, 1054246, 1054620, 1054328, 1054435, 1054208, 1181305, 1054424, 1054117, 1053971, 1054064, 1053982, 1238198, 1054222, 1054218, 1054619, 1181316, 1054614, 1054166, 1054388, 1054281, 1238185, 1053947, 1054147, 1181272, 1054079, 1054158, 1054270, 1054540, 1238179, 1181293, 1054515, 1054551, 1181287, 1181315, 1054600, 1054215, 1238254, 1054380, 1054417, 1053973, 1181283, 1238209, 1054636, 1054412, 1054205, 1054445, 1054463, 1054327, 1054164, 1054430, 1054253, 1054458, 1054017, 1054135, 1054431, 1054642, 1054084, 1054604, 1054187, 1054415, 1054420, 1181245, 1054376, 1181314]","{'PRP': 0.07093450985146356, 'sentiment': 0.06437777208226773, 'of': 0.0554824264383273, 'NN': 0.05351721930148875, 'VB': 0.051978059229849105, 'IN': 0.041140502521731626, 'DT': 0.040650723242703586, 'to': 0.03457967738997451, 'RB': 0.03112326233726631, 'NNS': 0.030559095643467687}"
0.3975,0.3911027735142339,0.39300347086301834,0.3975,0.45351,0,0.5,0.3286908077994429,0.3710691823899371,0.295,"[1266843, 1152753, 1153020, 841809, 842254, 1151750, 1267347, 1208966, 1152460, 1151305, 1150807, 841978, 1151806, 1151309, 1267002, 841671, 1265868, 1209320, 1152612, 841990, 1152768, 1209528, 1210965, 1209029, 1265547, 1150680, 1152188, 1210816, 1150619, 1153186, 1267186, 1151589, 842160, 1153414, 1266980, 1266016, 1265440, 1208789, 1267356, 841797, 1210624, 1150793, 1150850, 1151259, 1266517, 1152252, 1266074, 1210430, 1153378, 1209578, 1210517, 1265450, 1151656, 1266753, 1152866, 1266414, 1153614, 1154945, 1266502, 1266672, 1209501, 1154172, 1210402, 1210586, 1150670, 1153994, 1154096, 1151230, 1266029, 1265969, 1154085, 1151654, 1209551, 1267056, 1267350, 1210047, 842085, 1151515, 1266612, 1209276, 1210233, 1153487, 1152486, 1265537, 1209923, 1152345, 842111, 842107, 1267742, 842266, 1153662, 841686, 1267194, 1153358, 1210498, 841549, 1266544, 1154139, 1210091, 1266064]","[1054144, 1053932, 1054552, 1054135, 1054034, 1054190, 1054493, 1054273, 1054050, 1238198, 1053945, 1054462, 1238185, 1054290, 1054199, 1054271, 1238197, 1054533, 1054479, 1054504, 1054401, 1054024, 1054003, 1054580, 1054669, 1054052, 1054002, 1054175, 1054425, 1054206, 1054342, 1238191, 1054207, 1054392, 1181331, 1054436, 1054657, 1054209, 1054546, 1054613, 1054128, 1054301, 1054344, 1238177, 1054283, 1238190, 1054570, 1053960, 1238209, 1238183, 1053971, 1054370, 1238207, 1054586, 1238200, 1054545, 1054396, 1053941, 1053987, 1181270, 1181306, 1054389, 1054487, 1181283, 1054676, 1054147, 1054595, 1181278, 1181316, 1054547, 1238256, 1054610, 1054316, 1054636, 1053982, 1054603, 1054067, 1054372, 1054108, 1053994, 1054169, 1054252, 1054379, 1054114, 1054472, 1181254, 1054635, 1054005, 1054103, 1054077, 1054353, 1238186, 1181279, 1053953, 1054323, 1054258, 1054008, 1181256, 1054465, 1054149, 1181295, 1054276, 1054486, 1054139, 1053998, 1053949, 1054009, 1238210, 1054221, 1054039, 1238217, 1054195, 1054071, 1054151, 1054089, 1054383, 1054373, 1054182, 1054598, 1054322, 1054143, 1053935, 1238229, 1181273, 1054398, 1054072, 1054668, 1181258, 1181263, 1054051, 1054391, 1181244, 1054197, 1054622, 1054566, 1054585, 1054417, 1054551, 1181251, 1054289, 1054043]","{'PRP': 0.08749149581816401, 'of': 0.07405175707589949, 'NN': 0.05674388535110333, 'sentiment': 0.05056218942690009, 'VB': 0.0479591211140397, 'IN': 0.041461364820948775, 'DT': 0.04022456388818571, 'have': 0.03138107622758364, 'RB': 0.03084154407494931, 'NNS': 0.03030866877202325}"
0.455,0.4068188620717803,0.4333432084135683,0.455,0.57588,0,0.74,0.23776223776223776,0.3953488372093023,0.17,"[1210721, 1154081, 1210830, 1267578, 1153874, 1267358, 1150615, 842165, 1150525, 1266371, 1267320, 1152635, 1152654, 1153012, 1267235, 1209105, 1151537, 1152292, 1265492, 1152187, 1265991, 1209140, 1151561, 1209513, 1151326, 1154971, 1211767, 1209201, 1211733, 1210865, 1150669, 1265607, 1210798, 1151435, 1266112, 1150914, 1153628, 1267429, 1208764, 1153432, 1208656, 1153920, 1265567, 1210928, 1150769, 1150531, 1153226, 842033, 1266711, 1209167, 1154114, 1210476]","[1054071, 1054582, 1054425, 1054222, 1181314, 1054245, 1054547, 1054533, 1053974, 1054149, 1054667, 1238233, 1054273, 1054394, 1054564, 1053949, 1054292, 1054374, 1054100, 1054478, 1238245, 1054359, 1053983, 1054365, 1054529, 1054586, 1054167, 1054146, 1054185, 1053950, 1054231, 1054660, 1054449, 1054067, 1054462, 1053960, 1054639, 1054352, 1054488, 1054657, 1054673, 1054511, 1054422, 1054182, 1054500, 1054372, 1053979, 1181310, 1238176, 1054023, 1054451, 1054302, 1053937, 1181320, 1054539, 1054012, 1054179, 1054411, 1054407, 1054518, 1054563, 1054129, 1054597, 1054633, 1054387, 1054581, 1054120, 1054015, 1054470, 1054032, 1054482, 1054400, 1053957, 1054176, 1181287, 1053946, 1054021, 1054600, 1054283, 1238181, 1054099, 1054066, 1054261, 1054125, 1053981, 1054286, 1053975, 1054349, 1053982, 1054047, 1054246, 1181302, 1054113, 1054463, 1054593, 1054567, 1054512, 1238205, 1053973, 1054260, 1054131, 1238171, 1054367, 1054052, 1054214, 1053987, 1053955, 1054095, 1181309, 1054373, 1054174, 1054523, 1054308, 1238225, 1054327, 1054684, 1053988, 1054665, 1054189, 1054412, 1054558, 1054545, 1054307, 1053998, 1054226, 1054413, 1054188, 1053943, 1054476, 1054569, 1181246, 1054151, 1181254, 1054360, 1054621, 1054570, 1053939, 1054452, 1054320, 1238197, 1054257, 1054111, 1238228, 1054000, 1054417, 1054156, 1054297, 1054623, 1054485, 1054655, 1054609, 1054574, 1054143, 1054479, 1054629, 1054418, 1054285, 1054229, 1238246, 1054508, 1054610, 1054058, 1054565, 1054233, 1054084, 1181278]","{'of': 0.07766523186894517, 'PRP': 0.07581028816752332, 'sentiment': 0.06525888672975844, 'VB': 0.04960271512509215, 'NN': 0.04807580352153257, 'IN': 0.0477908869714492, 'i': 0.035456313181054196, 'the': 0.034075907204524115, 'NNS': 0.03249494204207641, 'to': 0.03134316452814739}"
0.41,0.38541666666666663,0.39285714285714285,0.41,0.50833,0,0.61,0.2625,0.35,0.21,"[1267248, 1154085, 842212, 1209684, 1210057, 1153628, 1265395, 1152477, 1209340, 1152958, 1209443, 1153154, 1150804, 842254, 1153951, 1153510, 1208950, 1153685, 1154093, 1210579, 1151766, 1152831, 1150647, 1150577, 1151482, 1209109, 1209375, 1153048, 1265561, 1151655, 1267266, 1210552, 842159, 1265556, 1151427, 1210267, 1267189, 1267554, 1152417, 1150881, 1153676, 1151905, 1208902, 1209546, 841829, 1150751, 1210027, 1152065, 1209961, 841800, 1210029, 1151767, 1209483, 1151082, 1209128, 841620, 842229, 1266663, 842264, 1210484, 1151257, 842142, 1151039, 1266640, 1210320, 1151188, 1210830, 841577, 1210779, 1266016, 1265484, 1151577, 1151262, 1266090, 1210627, 1210767, 1210798, 1153278]","[1181308, 1054096, 1238242, 1054045, 1054601, 1053969, 1054606, 1054333, 1054239, 1238175, 1054313, 1054074, 1054342, 1054014, 1054607, 1181274, 1054012, 1054303, 1054091, 1054329, 1054294, 1054529, 1054036, 1054521, 1054517, 1054162, 1054082, 1054062, 1053942, 1054119, 1054041, 1053929, 1238211, 1054338, 1238200, 1054515, 1181263, 1238168, 1054371, 1054450, 1054179, 1054403, 1054602, 1054164, 1054558, 1054485, 1054217, 1238177, 1054448, 1054128, 1181243, 1181300, 1054395, 1054495, 1054537, 1054259, 1054641, 1054288, 1054072, 1054339, 1181313, 1054373, 1054168, 1054609, 1054425, 1054334, 1054428, 1054684, 1053989, 1054441, 1054417, 1054273, 1054592, 1054544, 1181283, 1053958, 1054271, 1054201, 1054196, 1053983, 1054667, 1181291, 1054622, 1054604, 1054055, 1054463, 1238231, 1054068, 1054032, 1181325, 1054008, 1054562, 1054603, 1054585, 1181305, 1054155, 1238208, 1054587, 1054215, 1054573, 1054673, 1054078, 1053940, 1054151, 1054362, 1054594, 1053941, 1054480, 1053928, 1054420, 1054019, 1053981, 1054510, 1054465, 1054083, 1181295, 1054099, 1054512, 1054347, 1054432, 1054534, 1054235, 1054267, 1054613, 1054646, 1054116, 1054479, 1053948, 1181247, 1054283, 1053927, 1054566, 1181249, 1054540, 1054103, 1238247, 1054123, 1054678, 1054176, 1054394, 1181329, 1238216, 1054438, 1181317, 1054366, 1054411, 1053992, 1054251, 1054345, 1054505, 1054642, 1054129, 1054272, 1054661, 1053984, 1238197, 1181245, 1238201]","{'of': 0.07112085616693249, 'sentiment': 0.06263417893085993, 'VB': 0.059043371827405544, 'NN': 0.05330563712219823, 'PRP': 0.051390607299095954, 'DT': 0.0403226546436518, 'IN': 0.0395393094901972, 'RB': 0.032043924121144415, 'mean_sen_len': 0.030734221865782795, 'to': 0.030552245666606092}"
0.465,0.4337276071022201,0.4550763701707098,0.465,0.5668,0,0.7,0.3006535947712418,0.4339622641509434,0.23,"[1208663, 1209079, 1266244, 842072, 1151284, 1209939, 841899, 1151403, 1208796, 1152030, 1265408, 841829, 1152137, 1266157, 1152324, 1210704, 1265680, 1266584, 1266161, 1209909, 842197, 1265799, 1152627, 1210827, 1266546, 1267343, 1267705, 1208896, 1150842, 1152687, 1211763, 1210202, 1210623, 1152268, 1151366, 1265622, 1151177, 1152708, 1266619, 1152233, 1266925, 1209546, 1210203, 1153788, 1266390, 1210084, 1209169, 1152087, 1210933, 1209902, 1209782, 1154038, 1151082, 842081, 1208766, 1266696, 1209669, 1210641, 1208885, 841845]","[1054438, 1053931, 1053991, 1054035, 1054191, 1238216, 1054061, 1053939, 1054303, 1054229, 1054147, 1054120, 1054307, 1054508, 1054036, 1054541, 1238254, 1054560, 1053929, 1238217, 1054281, 1054096, 1181293, 1054374, 1238192, 1054580, 1054184, 1054043, 1054641, 1054456, 1238255, 1238220, 1054056, 1054433, 1054609, 1054623, 1054135, 1054426, 1181278, 1238196, 1054123, 1053987, 1181261, 1054092, 1054503, 1181281, 1054311, 1054471, 1054531, 1181287, 1054148, 1238168, 1053999, 1054016, 1238242, 1054255, 1054273, 1054489, 1238253, 1054003, 1181253, 1054290, 1054399, 1238257, 1054649, 1238238, 1054327, 1238226, 1054330, 1054165, 1054488, 1054644, 1054353, 1238182, 1054121, 1238248, 1054441, 1053998, 1054294, 1181317, 1054153, 1238194, 1054434, 1054175, 1053979, 1054248, 1054636, 1053964, 1054401, 1054032, 1054548, 1054185, 1054116, 1054504, 1054485, 1238179, 1054487, 1054658, 1054544, 1054533, 1054377, 1181321, 1054617, 1238201, 1054597, 1054486, 1054398, 1238225, 1054613, 1238176, 1238189, 1054243, 1054073, 1054532, 1054564, 1054110, 1053948, 1054480, 1181280, 1054529, 1181244, 1054682, 1054011, 1054483, 1054046, 1054029, 1054684, 1053994, 1054099, 1054249, 1054592, 1054246, 1054278, 1054288, 1054373, 1054279, 1054027, 1054119, 1181286, 1054516, 1054310, 1181290, 1238197, 1053974, 1054244, 1054209, 1238177, 1054492, 1054645, 1054676, 1054320, 1054068, 1054238, 1054677]","{'of': 0.07355360530803004, 'PRP': 0.06560536591734961, 'VB': 0.05383615343208075, 'NN': 0.05061013339380599, 'sentiment': 0.05010839208287682, 'DT': 0.044488569234873196, 'IN': 0.041954732941170636, 'to': 0.040783252365234446, 'i': 0.03004032691607556, 'have': 0.03003899552638078}"
