accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.495,0.494949494949495,0.4949979991996799,0.495,0.5,0,0.505,0.4898989898989899,0.49489795918367346,0.485,"[1141416, 1144868, 1147610, 1135745, 1264977, 1263662, 1146287, 1139659, 1149200, 1146093, 1145040, 1263113, 1149422, 1145992, 1137659, 1148871, 840922, 1262874, 1136581, 1141987, 1142375, 1139417, 1264338, 1149759, 1208171, 1144281, 1139060, 1138512, 1137650, 1143655, 1206801, 1206060, 1144321, 1136824, 1263570, 1143966, 1142767, 1149333, 1143852, 1143665, 1208232, 1137704, 1147357, 1263545, 1148336, 1206193, 1263491, 1263141, 1207295, 1136605, 1142355, 1207812, 1139009, 1139459, 1147508, 1137735, 1135612, 1137339, 1135677, 1263422, 1149603, 1143993, 1207460, 1138812, 1144086, 1146592, 1206498, 1135649, 1140963, 1149821, 1141210, 1148988, 1144470, 1146037, 1140078, 1139426, 1137775, 1264197, 1139087, 1148786, 1263906, 1142117, 1138152, 1264294, 1136676, 1145288, 1137337, 1150151, 1139986, 1265185, 1143919, 1140555, 1136277, 1143550, 1154891, 1137194, 1150316, 1206604, 1149154]","[1044131, 1236982, 1044482, 1044730, 1044518, 1180032, 1044206, 1044321, 1044272, 1236970, 1180067, 1044723, 1044427, 1044809, 1044570, 1044715, 1044386, 1044496, 1044644, 1044643, 1044289, 1236990, 1044113, 1044117, 1044747, 1044067, 1236981, 1044390, 1180075, 1044217, 1044690, 1044353, 1044304, 1044365, 1044182, 1044656, 1044209, 1044775, 1044323, 1044613, 1044175, 1044448, 1180059, 1044807, 1236975, 1044170, 1044444, 1044623, 1044311, 1044754, 1237018, 1044341, 1044667, 1044519, 1044513, 1044497, 1044661, 1044586, 1044202, 1044380, 1180098, 1044558, 1180020, 1237031, 1044556, 1044178, 1044264, 1044480, 1236959, 1044778, 1044229, 1044790, 1237040, 1044343, 1044543, 1044481, 1044617, 1236985, 1044522, 1044110, 1180052, 1044449, 1044537, 1237039, 1236963, 1044559, 1044598, 1044798, 1044193, 1044734, 1044456, 1044669, 1044145, 1044679, 1044634, 1044419, 1044384, 1044162, 1044460, 1044635, 1044139, 1044118, 1044169]","{'PRP': 0.08359659401202328, 'of': 0.06690194774726195, 'NN': 0.06371496367153988, 'sentiment': 0.061728657426906273, 'VB': 0.0533997478205954, 'to': 0.03942969270677193, 'IN': 0.03827460115052612, 'DT': 0.03345326876800752, 'have': 0.03191407939631019, 'which': 0.028736774804023636}"
0.525,0.5186339337741633,0.5263963678597825,0.525,0.57399,1,0.64,0.4632768361581921,0.5324675324675324,0.41,"[1148493, 1137535, 1143611, 1136059, 1263841, 1207381, 1146815, 1139231, 1138510, 1139897, 1145717, 1146468, 1264109, 1138191, 1146177, 1148243, 1140055, 1139362, 1136497, 1135567, 1208473, 1144648, 1263119, 1136781, 1136642, 1139663, 1150348, 1264998, 1207424, 1136469, 1138731, 1144507, 1265218, 1148582, 1264419, 1149590, 1141833, 1136070, 1142296, 1138595, 1137269, 1148706, 1142620, 1147714, 1142607, 1137031, 1149381, 1138123, 1207687, 1264772, 1139568, 1137665, 841400, 1144194, 1207275, 1135762, 1141883, 1264331, 1136784, 1142789, 1146952, 1150405, 841485, 1141963, 1206247, 1143020, 1143988, 1264172, 841444, 1208349, 841225, 1148454]","[1044481, 1044244, 1044715, 1236970, 1237045, 1044266, 1044684, 1044263, 1044284, 1044182, 1237015, 1044286, 1044806, 1044635, 1180032, 1044647, 1044133, 1180078, 1044497, 1044485, 1180047, 1180088, 1044727, 1044202, 1044297, 1044510, 1044204, 1044687, 1180080, 1044331, 1044536, 1044493, 1044553, 1044777, 1044576, 1044733, 1044376, 1237033, 1044605, 1180024, 1044097, 1044618, 1237018, 1044360, 1236967, 1044424, 1180021, 1044209, 1044580, 1044731, 1044614, 1044557, 1044650, 1236969, 1044264, 1180095, 1044175, 1180019, 1044315, 1044054, 1044716, 1044103, 1044496, 1044153, 1236968, 1237002, 1044575, 1044467, 1044150, 1044528, 1236987, 1044081, 1237036, 1236990, 1044520, 1044128, 1236964, 1044463, 1044519, 1180039, 1044807, 1044321, 1044718, 1044450, 1236958, 1044198, 1044392, 1044310, 1237043, 1180050, 1044122, 1044787, 1044539, 1044365, 1044780, 1237022, 1044668, 1237032, 1236966, 1044197, 1237021, 1044420, 1044065, 1044521, 1237017, 1180059, 1044302, 1044345, 1044218, 1237001, 1044361, 1044728, 1044581, 1044602, 1044531, 1044761, 1044095, 1044633]","{'sentiment': 0.07965811147787606, 'PRP': 0.07405178373394117, 'of': 0.06200131077845964, 'NN': 0.051544802583014686, 'VB': 0.04692806129088146, 'DT': 0.041056372087060075, 'have': 0.03590522757952458, 'IN': 0.0319865235490611, 'to': 0.029562800151148812, 'the': 0.029161014415659495}"
0.5025,0.5011249757143126,0.5025278697641498,0.5025,0.52732,1,0.555,0.47493403693931396,0.5027932960893855,0.45,"[1144890, 1147476, 1206816, 1264195, 1135824, 1142630, 1137531, 1150301, 1145049, 1142057, 1142858, 1146805, 1142631, 1141031, 1138930, 1145084, 1144671, 1148291, 1263178, 1136882, 1143799, 1207946, 1263694, 1208427, 1149308, 1146443, 1264756, 1136944, 1264827, 1145865, 1208528, 1136995, 1149763, 1142922, 1148123, 1146968, 1264687, 1137536, 1265280, 1136244, 1135666, 1263061, 1136899, 1264497, 1265154, 1143224, 1263772, 1206624, 1206822, 1264464, 841122, 1150178, 1148557, 841063, 1263512, 1142961, 1137269, 1139490, 1145221, 1207836, 1149427, 1138099, 1264061, 1149553, 1138235, 1136344, 1264054, 1264951, 1143486, 1143961, 1144891, 841039, 1147264, 1150295, 1206968, 1146064, 1149460, 1149372, 1149796, 1137196, 1147853, 1146002, 1147280, 1136353, 1138573, 1149331, 1138344, 1142552, 1262895]","[1237041, 1044329, 1044345, 1044182, 1236978, 1044782, 1044106, 1236952, 1236984, 1044429, 1237044, 1180099, 1180058, 1044245, 1044592, 1044353, 1044249, 1044357, 1236961, 1044323, 1237036, 1044093, 1044184, 1044405, 1044060, 1180046, 1044170, 1237002, 1044716, 1044478, 1044758, 1044795, 1044362, 1044133, 1044777, 1044724, 1044682, 1236994, 1044440, 1044425, 1044719, 1044519, 1237023, 1044263, 1044727, 1237016, 1180059, 1044319, 1180047, 1044468, 1044395, 1236999, 1044376, 1044639, 1044792, 1044454, 1044617, 1044217, 1044433, 1044743, 1236966, 1044464, 1044770, 1044333, 1044144, 1180026, 1044391, 1044798, 1044780, 1044383, 1044797, 1180039, 1044218, 1044173, 1237042, 1044204, 1180052, 1044784, 1044511, 1044253, 1044787, 1044448, 1044554, 1044350, 1044378, 1044449, 1044717, 1044232, 1044153, 1180037, 1180035, 1044761, 1236959, 1044463, 1044349, 1044650, 1044546, 1180095, 1044044, 1044522, 1044722, 1044381, 1044667, 1044304, 1044256, 1044695, 1180053, 1044487, 1044607, 1236957]","{'PRP': 0.08293216167855903, 'of': 0.06808726392890192, 'NN': 0.05943793668452701, 'sentiment': 0.0519496660064127, 'VB': 0.04462096206888751, 'DT': 0.04360011145783607, 'IN': 0.04335487168300475, 'have': 0.03588131651290732, 'NNS': 0.030556189483231556, 'i': 0.029298983167894966}"
0.52,0.5198079231692677,0.5200320512820513,0.52,0.52941,1,0.54,0.5102040816326531,0.5208333333333334,0.5,"[840929, 1146481, 1138275, 1136316, 1138374, 1145024, 1148442, 1206309, 1208226, 1141927, 1262911, 1146732, 1139691, 1149254, 1139015, 1139200, 1145306, 1145842, 1138681, 1146706, 1207441, 1145088, 1143506, 1138146, 1148485, 1264543, 1206366, 1135752, 1143072, 1140081, 1145690, 1207843, 1141324, 1138191, 1207335, 1144180, 840897, 1150361, 1149714, 1140327, 1149047, 1136839, 1140754, 1137749, 1138709, 1149363, 1141715, 1142738, 1207094, 1146702, 1139874, 1139665, 1149997, 1149667, 1145914, 1138917, 1207772, 1145853, 1147581, 1137262, 1264655, 1265006, 1149179, 1207599, 1140624, 1149109, 1141190, 1136697, 1146868, 1142249, 1263079, 1148782, 1147638, 1265341, 1264692, 1149002, 1206644, 1138192, 1265045, 1144830, 1142310, 1142993, 1147176, 1264058, 1137464, 1145946, 1136676, 1144335, 1148349, 1142491, 1141348, 1146272]","[1044731, 1236957, 1180039, 1044231, 1044630, 1044712, 1044285, 1180037, 1044266, 1044328, 1044600, 1044455, 1044312, 1236976, 1044665, 1044670, 1044262, 1044437, 1237017, 1044337, 1236960, 1044601, 1180022, 1044777, 1044680, 1044469, 1044329, 1237024, 1236994, 1044460, 1044647, 1044310, 1044788, 1180075, 1044352, 1044698, 1044613, 1044758, 1237022, 1044424, 1044067, 1044250, 1044449, 1044716, 1237005, 1044809, 1044564, 1044173, 1044154, 1044105, 1180049, 1044787, 1044263, 1044420, 1180043, 1237039, 1180099, 1236958, 1044162, 1044061, 1044139, 1180027, 1044146, 1044538, 1044166, 1044478, 1044674, 1044065, 1180080, 1044304, 1044743, 1044302, 1044799, 1044502, 1044092, 1180024, 1044086, 1044163, 1044345, 1044290, 1044395, 1236952, 1044261, 1237027, 1044617, 1044299, 1044333, 1044145, 1044566, 1044723, 1044217, 1044216, 1237008, 1044224, 1044361, 1044418, 1044513, 1180040, 1044349, 1044737]","{'PRP': 0.08808647009914852, 'sentiment': 0.06530003456634943, 'of': 0.05943385502485756, 'VB': 0.05376418946463512, 'NN': 0.04850555582602957, 'IN': 0.04285054021463603, 'DT': 0.040560758190248014, 'to': 0.0369505383346424, 'i': 0.030870618246263627, 'the': 0.029105518146049704}"
0.4725,0.47104205967698465,0.4721934325943527,0.4725,0.49881,0,0.525,0.44327176781002636,0.4692737430167598,0.42,"[1142728, 1140242, 1147466, 1144460, 1138932, 1140340, 1143297, 1149489, 1145565, 1149573, 1136063, 1207000, 1138314, 1148859, 1137395, 1141383, 1144491, 1141656, 1147248, 1142021, 1136645, 1143678, 841443, 1136957, 1137627, 1142266, 1149404, 1138482, 1207575, 1263651, 1140766, 1135454, 1139984, 1138397, 1207773, 1206714, 1142552, 1142385, 1263650, 1208366, 841337, 1148178, 1141687, 1139740, 1138893, 1208008, 1148967, 1206620, 1206124, 1145711, 1149479, 1140734, 1143279, 1146424, 1144224, 1136600, 1264207, 1141856, 1142486, 1142383, 1149996, 1207026, 1144058, 1135393, 1144676, 1206836, 1139552, 1263413, 1139433, 1149732, 1137989, 1142869, 1145245, 1263122, 1136222, 1206833, 1206281, 1143156, 1264300, 840997, 1137176, 1139375, 1135560, 841094, 1135638, 1142820, 1265118, 1136561, 1144025, 1140244, 1207727, 1136482, 1264225, 1145673, 1144656]","[1044188, 1044257, 1236985, 1044718, 1044398, 1236981, 1044342, 1044333, 1044268, 1237027, 1044119, 1236965, 1044537, 1044571, 1044760, 1044528, 1044481, 1044543, 1237016, 1044538, 1044508, 1044232, 1044437, 1044146, 1044608, 1236971, 1180021, 1044602, 1237036, 1044381, 1044696, 1044504, 1044153, 1044056, 1044737, 1044670, 1180070, 1044044, 1044165, 1044243, 1044378, 1236994, 1180051, 1044055, 1044319, 1180092, 1044256, 1180085, 1044206, 1044432, 1044195, 1180052, 1044145, 1180020, 1044779, 1044092, 1044178, 1044583, 1044558, 1044249, 1236978, 1044635, 1044513, 1044597, 1237009, 1044588, 1044630, 1044620, 1044545, 1044539, 1044179, 1044365, 1044231, 1044392, 1044267, 1044667, 1044052, 1044569, 1044627, 1236992, 1044095, 1044336, 1237020, 1044668, 1044263, 1044266, 1044253, 1044133, 1044727, 1180053, 1044393, 1180075, 1044575, 1044758, 1044605, 1044742, 1044520, 1044459, 1044574, 1044748, 1044093, 1044458, 1237015, 1180019, 1044202, 1044137, 1180050, 1044579, 1044476, 1044594, 1180066, 1044555, 1044356, 1044424, 1180011, 1044097]","{'PRP': 0.07620639362446477, 'of': 0.07479383989097209, 'sentiment': 0.06867079562071468, 'NN': 0.051563095776346386, 'IN': 0.04217544555236027, 'VB': 0.04167525059214484, 'have': 0.03828464196149491, 'i': 0.03808587196777063, 'DT': 0.03407422241077424, 'NNS': 0.033605332756256184}"
0.4325,0.42760242323379416,0.43010794439698685,0.4325,0.48055,0,0.525,0.3746556473829201,0.4171779141104294,0.34,"[1138464, 1144447, 1148076, 1145446, 1135905, 1138651, 1265225, 1148035, 1142401, 1146293, 1142926, 1141153, 1142505, 1141269, 1207958, 1207755, 1207001, 1138834, 1135588, 1149451, 1264264, 1135507, 1208284, 1264081, 1145753, 841213, 1206838, 1136616, 1135685, 1144448, 1206689, 1145195, 841088, 1264871, 1141484, 1143404, 1148778, 1149763, 1206558, 1207614, 1145347, 1135778, 1143936, 1264885, 1264470, 1150202, 1206586, 1206326, 1207918, 1143340, 1146221, 1207102, 1141002, 1147952, 1137025, 1148294, 1146487, 1139450, 1143365, 1142534, 1137955, 1142967, 1147701, 1147874, 1147244, 1139985, 1137403, 1142671, 1206539, 1146363, 1264900, 1148940, 1145249, 1146522, 1264813, 1135410, 1135909, 1206848, 1143630, 1136618, 1138756, 1144535, 840895, 1143991, 1137586, 1142712, 1141116, 1145821, 1264638, 1138552, 1144540, 1138892, 1140753, 1207137, 1137298]","[1044501, 1044224, 1044369, 1044781, 1044342, 1044116, 1180066, 1044799, 1044487, 1044169, 1236995, 1044059, 1044311, 1237039, 1236985, 1180029, 1044448, 1044306, 1044804, 1044454, 1044694, 1044476, 1044555, 1044096, 1044436, 1044527, 1180052, 1180067, 1044567, 1044420, 1044221, 1237027, 1044315, 1044727, 1044166, 1044355, 1044391, 1044217, 1044135, 1044172, 1044329, 1044734, 1044541, 1044321, 1237015, 1044514, 1044160, 1044464, 1044510, 1180083, 1044376, 1180043, 1237041, 1044332, 1044578, 1044065, 1044455, 1044679, 1044155, 1044334, 1044466, 1044569, 1044526, 1044425, 1044202, 1044785, 1044181, 1044175, 1044162, 1044637, 1237008, 1044233, 1044256, 1236971, 1044472, 1044775, 1180027, 1044324, 1236963, 1180088, 1236950, 1044386, 1180035, 1044605, 1044554, 1044589, 1044777, 1044178, 1237032, 1044081, 1044537, 1044769, 1236955, 1180039, 1044378, 1044128, 1044591, 1044124, 1180012, 1237034, 1180075, 1044198, 1044286, 1044768, 1236968, 1044431, 1044618, 1044671, 1044511, 1044262, 1044616, 1044437, 1044368, 1044661, 1044264, 1044212, 1044380, 1236957, 1044118, 1237005, 1044676, 1044405, 1044543, 1180080, 1044490, 1044598, 1044382, 1044588, 1044577, 1044123, 1044144, 1180031]","{'of': 0.06669932927757938, 'PRP': 0.06552651484888014, 'sentiment': 0.06381710284071644, 'NN': 0.05046585057560704, 'VB': 0.04699212921242951, 'IN': 0.0451332147488512, 'DT': 0.03876962455131784, 'the': 0.03380704518530509, 'to': 0.03378997101338812, 'have': 0.029362841407534944}"
0.5225,0.5218275700203411,0.5226272784412319,0.5225,0.53976,1,0.56,0.5038961038961038,0.5243243243243243,0.485,"[1207945, 1143289, 1139986, 1264737, 1207832, 1141987, 1144192, 1136857, 1206161, 841430, 1139750, 1143231, 841195, 1146245, 1146090, 1143759, 1135637, 1144844, 1141303, 1142064, 1208049, 1144456, 1147838, 1148323, 1136112, 1138406, 1262876, 1265035, 1263441, 1146599, 1206349, 1137220, 1265217, 1139656, 1145475, 1140142, 1150428, 1142523, 1263370, 1144006, 1143674, 1264082, 1137512, 1135523, 1135786, 1144552, 1208395, 1263495, 1139775, 1263965, 1263195, 1265029, 1207003, 1135929, 1143298, 1207404, 1207258, 1208058, 1145036, 1142642, 1206915, 1149728, 1207872, 1148310, 1139987, 1145511, 1136234, 1148828, 1263447, 1149243, 1138217, 1143070, 1135627, 1140150, 1139516, 1263790, 1263961, 1263108, 1139825, 1147776, 1148308, 1140448, 1137154, 1142880, 1139399, 1140985, 1142213, 1142399]","[1044195, 1044277, 1044775, 1044055, 1044440, 1044510, 1237001, 1044054, 1044705, 1180022, 1044535, 1180099, 1237003, 1044732, 1044188, 1044350, 1044182, 1044665, 1180026, 1044117, 1237043, 1044676, 1044518, 1044256, 1044557, 1044175, 1044490, 1044165, 1044475, 1180097, 1044377, 1044588, 1044734, 1044392, 1044769, 1044110, 1180029, 1044047, 1044297, 1044473, 1044772, 1180069, 1044240, 1044213, 1044779, 1044378, 1044493, 1236956, 1044063, 1044212, 1236960, 1044498, 1044799, 1044381, 1044758, 1044532, 1180012, 1044365, 1237039, 1044797, 1044574, 1044687, 1044770, 1044053, 1237032, 1044731, 1044764, 1044794, 1044219, 1044784, 1044528, 1044497, 1044391, 1044224, 1044483, 1044777, 1237045, 1044581, 1044720, 1044782, 1044526, 1044119, 1044567, 1180095, 1180037, 1044458, 1044263, 1044619, 1237033, 1236976, 1044232, 1044449, 1236967, 1044504, 1044315, 1044760, 1044689, 1044285, 1044209, 1044543, 1044695, 1236990, 1044556]","{'of': 0.07801183497592909, 'PRP': 0.07367434488697185, 'sentiment': 0.06516110437675772, 'VB': 0.05747994144161507, 'NN': 0.05118851302847986, 'DT': 0.04218524866038586, 'IN': 0.03973947470758956, 'have': 0.039485499340214725, 'i': 0.03749503542200728, 'NNS': 0.033057063608182675}"
0.4875,0.48549019607843136,0.4873015873015873,0.4875,0.51765,0,0.55,0.4533333333333333,0.4857142857142857,0.425,"[1143369, 1144578, 1136574, 1135489, 1139868, 1206822, 1263413, 841131, 1136857, 1147013, 1150447, 1208124, 1144084, 1138588, 1145564, 1138501, 1264960, 1149791, 1206104, 1136609, 1147605, 1207199, 1207614, 1207048, 1143386, 1263308, 1207783, 1141554, 1138467, 1207161, 1263607, 1144455, 1142505, 1135523, 1136228, 1263428, 1150019, 1143844, 1150346, 1147519, 1143399, 1208157, 1144888, 1136263, 1138050, 1142337, 1141386, 1208290, 1137735, 1150137, 1142567, 1149982, 1139469, 1139194, 1146488, 1142678, 1265177, 1208043, 1146310, 1146530, 1145832, 1150365, 1136628, 1264926, 1140529, 1145809, 1140471, 1147775, 1206417, 1136258, 841267, 1137832, 1143340, 1136204, 1143384, 1146337, 1144449, 1139293, 1146085, 1142184, 1140896, 1137849, 1265087, 1147544, 1150275, 1138172, 1265207, 1207023, 1139084, 840963]","[1236960, 1044795, 1044519, 1044762, 1044578, 1044095, 1237020, 1236999, 1044044, 1044166, 1044598, 1180019, 1044263, 1236985, 1044569, 1044764, 1236964, 1236957, 1044321, 1044514, 1044214, 1044498, 1044272, 1044262, 1236971, 1044780, 1044430, 1044547, 1044243, 1044188, 1180099, 1044804, 1044286, 1044567, 1044139, 1044460, 1044779, 1044538, 1237017, 1044077, 1236995, 1044303, 1044805, 1044186, 1044714, 1236982, 1180030, 1044341, 1044650, 1044589, 1180029, 1044193, 1044486, 1044784, 1044194, 1044613, 1044352, 1044794, 1044136, 1044153, 1044658, 1044639, 1044574, 1044190, 1044304, 1044218, 1044379, 1044348, 1044138, 1044555, 1044694, 1044298, 1044722, 1044197, 1236988, 1044518, 1236998, 1044094, 1180067, 1236967, 1044737, 1044432, 1237021, 1236955, 1044085, 1044419, 1044616, 1044689, 1044478, 1044135, 1044195, 1044053, 1044269, 1237045, 1044604, 1044065, 1044389, 1044178, 1044377, 1044513, 1180059, 1044346, 1044602, 1044716, 1236965, 1044617, 1044705, 1044163, 1044201, 1180024, 1044198, 1044429, 1044772, 1044481, 1236984]","{'PRP': 0.08359833573188276, 'of': 0.06694850006195868, 'sentiment': 0.054600916933384896, 'IN': 0.049722662783932454, 'VB': 0.04949268919294818, 'NN': 0.04648792603333501, 'NNS': 0.03496283811657467, 'DT': 0.03365480622918817, 'RB': 0.032020624642233465, 'to': 0.03157948483789545}"
0.5,0.4993867487672399,0.5,0.5,0.51691,0,0.535,0.48186528497409326,0.5,0.465,"[1146011, 1147244, 1141849, 1149562, 1141199, 1148202, 1150282, 1207292, 1207795, 1136320, 1207453, 1146316, 1135733, 1140858, 1144553, 1145199, 1142645, 1263893, 1146904, 1145712, 1136073, 1206310, 1265012, 1142577, 1144265, 1140153, 1137868, 1145552, 1265167, 1264589, 1144536, 1140156, 1145335, 1150045, 1137741, 1147909, 1148770, 1136405, 1142138, 1146284, 1140059, 840990, 1141810, 841376, 1138664, 1265305, 1136833, 841140, 1140111, 1150051, 1150317, 1143559, 1150506, 1206523, 1136327, 1140376, 1264692, 1145427, 840973, 1146587, 1148373, 1135545, 1150240, 1206665, 1148166, 1137570, 1143642, 1207889, 1143137, 1141424, 1149546, 1138304, 1140500, 1137630, 1149422, 1150010, 1147262, 1144250, 1138538, 841390, 1145820, 1150078, 1264996, 1146263, 841189, 1263203, 841259, 1136892, 1147754, 1263927, 1263110, 1139344, 1135958]","[1180017, 1044795, 1044432, 1044807, 1044538, 1044061, 1180019, 1236970, 1044269, 1044588, 1044216, 1044482, 1237041, 1044094, 1044689, 1237034, 1044179, 1044519, 1044278, 1044770, 1044687, 1044298, 1044212, 1236976, 1044555, 1044161, 1044471, 1044805, 1044472, 1044638, 1044253, 1180059, 1237010, 1044386, 1044591, 1236955, 1236979, 1044777, 1180095, 1044461, 1044236, 1044073, 1044285, 1044775, 1044766, 1044690, 1044382, 1236995, 1180098, 1044785, 1180065, 1044517, 1044637, 1180012, 1044602, 1044502, 1044366, 1044469, 1044670, 1044728, 1044643, 1237015, 1044473, 1044768, 1044097, 1044375, 1236956, 1044398, 1044392, 1044357, 1044487, 1044343, 1044772, 1044045, 1044797, 1044116, 1044249, 1044387, 1180075, 1044390, 1044771, 1180043, 1044458, 1044650, 1044054, 1044117, 1044798, 1044102, 1236969, 1044088, 1044788, 1044445, 1044122, 1044277, 1044081, 1180051, 1044257, 1044404, 1180078, 1044118, 1044187, 1044152, 1044564, 1237021, 1180053, 1237022, 1237048]","{'of': 0.07459806760503122, 'PRP': 0.07251484603483954, 'sentiment': 0.059807473262728436, 'NN': 0.05739014451090542, 'VB': 0.05598834719060046, 'IN': 0.045057048525892256, 'DT': 0.035881561453049854, 'RB': 0.03356209793856812, 'which': 0.03149402416837489, 'to': 0.028212436360738908}"
0.485,0.4820867379006914,0.4846547314578005,0.485,0.52093,0,0.56,0.44324324324324327,0.4823529411764706,0.41,"[1148972, 1137866, 1207636, 1262924, 1137823, 1136582, 1208516, 1145693, 1264074, 1148106, 1145989, 1149953, 1148102, 1137065, 1149610, 1263548, 1207397, 1139787, 1147577, 1139771, 1264418, 1144783, 1207381, 1136386, 1135366, 1208412, 1136709, 1144261, 1143470, 1207525, 1136573, 1208110, 1207898, 1140026, 1141489, 1149210, 1264145, 1144637, 1146698, 1143680, 1206078, 1139914, 1142417, 1265227, 1140091, 1145287, 1136705, 1147528, 1138225, 1207927, 1147158, 1206545, 1135589, 1138432, 1139469, 1148241, 1139683, 1206099, 1265019, 1149663, 1146014, 1136105, 1146577, 1263580, 1138698, 1206054, 1207315, 1149884, 841094, 1141886, 1136550, 1141759, 1143936, 1141964, 1142523, 1264897, 1144390, 1137207, 1146428, 1146979, 1137586, 1206498, 1142421, 1206381, 1136103, 1135998, 1136210, 1139229]","[1044144, 1180037, 1044253, 1044777, 1044433, 1044082, 1044236, 1044047, 1237032, 1044306, 1044230, 1044321, 1044444, 1044572, 1044579, 1044620, 1044231, 1237022, 1180059, 1044381, 1044042, 1180040, 1044775, 1237036, 1180099, 1044138, 1044425, 1044531, 1044768, 1044752, 1236965, 1044342, 1044206, 1044695, 1044748, 1044102, 1044081, 1044555, 1044094, 1044189, 1044041, 1044368, 1044639, 1044648, 1044386, 1044122, 1044782, 1044722, 1044670, 1044218, 1044334, 1044420, 1044729, 1180066, 1180097, 1044078, 1044463, 1044469, 1237009, 1044684, 1044093, 1044077, 1044271, 1044792, 1044609, 1044216, 1180075, 1044268, 1180068, 1236984, 1180036, 1044349, 1236956, 1044110, 1180069, 1044762, 1044742, 1180067, 1044418, 1044117, 1044395, 1044586, 1180024, 1180092, 1044643, 1236960, 1044353, 1044450, 1044059, 1044532, 1236978, 1044310, 1236998, 1044361, 1044384, 1044387, 1237010, 1236958, 1044198, 1180065, 1044807, 1044724, 1044502, 1044519, 1180098, 1044810, 1044811, 1236952, 1044259, 1044547, 1044137, 1044457, 1044257, 1044161, 1044428, 1044408, 1044175, 1180029]","{'PRP': 0.0857780285969972, 'of': 0.07372384237582912, 'sentiment': 0.07146353182045741, 'NN': 0.05196596572991892, 'VB': 0.039718226435227516, 'IN': 0.03953172315745489, 'DT': 0.03598101003684456, 'have': 0.03224566256151802, 'mean_sen_len': 0.03116130969623744, 'NNS': 0.02960342524137411}"
