accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.4525,0.45098678231876604,0.4519704744811547,0.4525,0.47981,0,0.505,0.42216358839050133,0.44692737430167595,0.4,"[1149064, 1207332, 1265005, 1137539, 1148249, 1206399, 1139842, 1263277, 1142643, 1137639, 1140905, 1206656, 1137148, 1135552, 1145409, 1142941, 1148842, 840937, 1206275, 1264236, 1142254, 1147648, 1142952, 1144660, 1137228, 1145523, 1150221, 1144960, 1149605, 1142619, 1135951, 1148269, 1142169, 1137131, 1263009, 1207118, 1135802, 1141284, 1147845, 1142031, 1139419, 1144298, 1140100, 1144190, 1207515, 841446, 1139456, 1135707, 1135575, 840900, 841296, 1136627, 1263512, 1144613, 1139713, 1207210, 1149243, 1145747, 1140378, 1263104, 1265014, 1144325, 1264996, 1144736, 1207384, 1136145, 1143770, 1144472, 1142938, 1143378, 1145053, 1148891, 1264763, 1264269, 1138614, 1263328, 1142390, 1263408, 1207525, 1208021, 1141376, 1208246, 1143112, 1207607, 1144248, 1207403, 1148724, 1207645, 1147736, 1146176, 1139389, 1264496, 1146482, 1141807, 1147824, 1145243, 1147678, 1139714, 1147479]","[1039094, 1179417, 1039486, 1236338, 1039123, 1039354, 1039334, 1039133, 1039287, 1236379, 1039544, 1039648, 1039435, 1039248, 1039659, 1039487, 1039382, 1039663, 1039221, 1039301, 1039296, 1179455, 1039303, 1039501, 1039389, 1039662, 1236370, 1039652, 1039135, 1039417, 1236374, 1179400, 1039658, 1039426, 1039650, 1039398, 1039189, 1039466, 1039463, 1039575, 1039174, 1039144, 1236354, 1039236, 1039100, 1039511, 1039427, 1039399, 1039479, 1039199, 1039159, 1039583, 1039201, 1039531, 1179456, 1039261, 1179430, 1039574, 1039550, 1039293, 1039423, 1039203, 1039519, 1039231, 1039245, 1039195, 1039371, 1179454, 1039254, 1039441, 1039500, 1236368, 1039377, 1039512, 1039654, 1039341, 1039481, 1039298, 1039121, 1039337, 1039171, 1179396, 1039307, 1039214, 1039640, 1039429, 1039541, 1179399, 1039431, 1039225, 1236334, 1039623, 1039308, 1236345, 1039646, 1039601, 1039533, 1039368, 1039331, 1039402, 1039502, 1039297, 1039602, 1039316, 1236337, 1039300, 1039349, 1039545, 1039581, 1039241, 1039450, 1039351, 1039257, 1039291, 1039461, 1179422, 1179431, 1236347, 1236395, 1039275]","{'PRP': 0.08041501073711137, 'of': 0.07199329622293615, 'sentiment': 0.05870484121558127, 'VB': 0.058391117309900605, 'NN': 0.04711989266048823, 'IN': 0.03744461693193803, 'DT': 0.036716360548120365, 'to': 0.03323792894112231, 'the': 0.031212506676323575, 'have': 0.031115139778545985}"
0.3875,0.3850980392156863,0.3857142857142857,0.3875,0.42353,0,0.45,0.3466666666666667,0.37142857142857144,0.325,"[1263633, 1149634, 1144461, 1149827, 1135440, 1147258, 1141285, 1206433, 1149180, 1149341, 1265173, 1208239, 1208015, 1136736, 1207378, 1149344, 1136377, 1145470, 841243, 1136274, 1141076, 1144753, 1137268, 1148355, 1148042, 1139572, 1142708, 1206998, 1207926, 1145877, 1207113, 1137448, 1146426, 1145304, 1208124, 1208476, 1135779, 1145081, 1138835, 1138810, 1207960, 1136642, 1137516, 1138506, 1138601, 1264531, 1147662, 1143639, 1144494, 1147355, 1135894, 1146791, 1144001, 1207753, 1136290, 1149576, 1145851, 1263309, 1207220, 1146527, 1141325, 1207307, 1137866, 1136870, 1135685, 1138538, 1264103, 1206225, 1143000, 1138681, 1207104, 1146228, 1137348, 1143967, 1139189, 1140417, 1144665, 1140673, 1263532, 1144028, 1207586, 1144715, 1264557, 1135493, 1206814, 1144629, 1148325, 1142952, 1206822, 1145812, 1143311, 1263481, 1150128, 1206416, 1138373, 1140427, 1149648, 1149082, 1206314, 1143146, 1138856, 1263317, 1135983, 1264667, 1149693, 1138212, 1138097, 1142471, 1143308, 1144088]","[1039285, 1039221, 1236331, 1039275, 1039335, 1039252, 1039437, 1039351, 1039346, 1039550, 1236374, 1039232, 1039638, 1039131, 1039513, 1039511, 1039135, 1039566, 1039446, 1039604, 1039621, 1039171, 1039136, 1039114, 1039193, 1236373, 1039200, 1039334, 1179433, 1039268, 1039211, 1039349, 1039185, 1039340, 1039245, 1039611, 1236341, 1039385, 1039484, 1039583, 1039091, 1039464, 1236384, 1039615, 1039452, 1039373, 1039602, 1039258, 1039203, 1039189, 1039486, 1236397, 1039485, 1039196, 1039394, 1039194, 1039327, 1039538, 1039466, 1039299, 1039643, 1039607, 1039316, 1039490, 1039168, 1039124, 1039264, 1039561, 1039365, 1179400, 1039635, 1236346, 1039498, 1039195, 1236376, 1039256, 1039656, 1179432, 1039618, 1236394, 1039581, 1039145, 1039556, 1236359, 1179399, 1179396, 1039287, 1236328, 1039175, 1039157, 1039622, 1179404, 1039427, 1236326, 1039222, 1039339, 1039360, 1039399, 1039301, 1039345, 1039442, 1039126, 1039296, 1179397, 1039548, 1039595, 1039368, 1039449, 1039371, 1039094, 1039545, 1039459, 1039262, 1039128, 1039387, 1236352, 1039470, 1039187, 1039655, 1039667, 1236327, 1039495, 1039178, 1039198, 1039664, 1039654, 1039204, 1039284, 1039123, 1039451, 1039551, 1039389, 1236338, 1039601, 1039144]","{'PRP': 0.08850687148784303, 'of': 0.06908139087258254, 'NN': 0.059490933549454, 'VB': 0.05395226510959099, 'sentiment': 0.04531931357634959, 'to': 0.04144053677044745, 'DT': 0.03777324582370594, 'IN': 0.035209939618388156, 'have': 0.033937597044721504, 'NNS': 0.032412633273291545}"
0.385,0.3760146103896104,0.3779711375212224,0.385,0.45089,0,0.505,0.30113636363636365,0.34868421052631576,0.265,"[1143467, 1265217, 1138960, 1146426, 1138688, 1263950, 1265224, 1263756, 841289, 1144816, 1206215, 1149200, 1264117, 1145970, 1146112, 1142525, 1263322, 1140843, 1206366, 1135498, 1136248, 1137553, 1206104, 1265280, 1150237, 1143147, 1138278, 1137611, 1263781, 840890, 1138804, 1208424, 1206936, 1148929, 1147561, 1144120, 1264782, 1207985, 1138344, 1136722, 1150254, 1140449, 1136581, 1149167, 1264664, 1145999, 840925, 1263188, 1144950, 1144728, 1264468, 1143398, 1263741, 1149711, 1139838, 1147164, 1139215, 1145600, 1138096, 841106, 1139133, 1148073, 1140777, 1146481, 1206318, 1142672, 1139156, 1207862, 1207936, 1143470, 1147968, 1207952, 1149283, 1206226, 1143170, 1146623, 1140309, 1206574, 1207871, 1140105, 1208460, 1139814, 1146046, 1150252, 1143009, 1141965, 1142054, 1206677, 1148660, 1139898, 1264086, 1264833, 1135756, 1138010, 1144387, 1143448, 1148958, 1143623, 1142080]","[1039258, 1039657, 1236351, 1039335, 1039522, 1039405, 1179397, 1039403, 1039592, 1039161, 1236395, 1039133, 1236350, 1039163, 1039098, 1039537, 1039314, 1236335, 1039391, 1039527, 1039561, 1236371, 1236374, 1039556, 1039662, 1039157, 1039174, 1039167, 1179433, 1039199, 1039531, 1039581, 1039329, 1039120, 1039442, 1039234, 1039128, 1039200, 1236332, 1039121, 1039601, 1039131, 1039479, 1039464, 1039467, 1039156, 1039457, 1039399, 1039153, 1039488, 1039576, 1236330, 1039449, 1039544, 1039497, 1039504, 1039293, 1236366, 1039344, 1179438, 1039565, 1039311, 1039436, 1039286, 1039274, 1039545, 1039588, 1236388, 1039278, 1039438, 1039446, 1039255, 1039559, 1039285, 1039159, 1039523, 1039469, 1039334, 1039350, 1039144, 1039320, 1039196, 1039140, 1039424, 1039316, 1039605, 1039244, 1039201, 1039611, 1039619, 1039647, 1039643, 1039440, 1179425, 1039204, 1039409, 1039173, 1039232, 1179429, 1039340, 1179456, 1039431, 1236337, 1039369, 1236343, 1236328, 1039168, 1039406, 1039325, 1039373, 1039435, 1179416, 1236398, 1039312, 1039484, 1039094, 1039396, 1039648, 1236367, 1039358, 1039509, 1039143, 1039187, 1039207, 1039290, 1179401, 1039538, 1039480, 1039557, 1039574, 1039122, 1039279, 1039383, 1039263, 1039256, 1039491, 1039421, 1039367, 1039096, 1039150, 1039135, 1039573, 1039498, 1039114, 1039272, 1039182, 1039380]","{'PRP': 0.08988593911938675, 'of': 0.07057931270272609, 'sentiment': 0.06148119398249138, 'NN': 0.05543842778264572, 'VB': 0.05503895111369058, 'DT': 0.044678292425464027, 'to': 0.04294067902379666, 'IN': 0.03565655920653946, 'the': 0.033499838504497, 'NNS': 0.029866909459257546}"
0.355,0.3447619047619048,0.3453333333333333,0.355,0.42667,0,0.48,0.26285714285714284,0.30666666666666664,0.23,"[1145430, 1147265, 1141383, 1136580, 1138046, 1148546, 1263712, 1136351, 1264999, 1147966, 1149168, 1148738, 1139536, 1136997, 1142661, 1146324, 1149263, 1138094, 1150117, 1263245, 1145197, 1142280, 1265048, 1138117, 1264037, 1148020, 1149539, 1139313, 1149778, 1146484, 1206295, 1142790, 1207570, 1135940, 1148285, 1264600, 1141702, 1136564, 1147998, 1207092, 1145387, 1142414, 1136802, 1150063, 1143279, 1135429, 1139047, 1149930, 1264119, 1142640, 1142495, 1149853, 1264808, 1206948, 840967, 1264724, 1147030, 1141294, 1137548, 1142838, 1141186, 1147845, 1137325, 1207438, 1264943, 1149837, 1263247, 1142150, 1206600, 1145376, 1149822, 1148821, 1143843, 1149577, 1149849, 1207504, 1147278, 1146832, 1144181, 1138731, 1138343, 1141883, 1144294, 1263818, 1263810, 1144855, 1264478, 1139406, 1136428, 1143649, 1147350, 1135786, 1142421, 841184, 1207754, 1263719, 1135916, 1264201, 1143632, 1208491, 1145293, 1150219, 1137281, 1148731]","[1039457, 1039316, 1039407, 1039384, 1039337, 1039228, 1039170, 1039109, 1039506, 1236381, 1039110, 1039343, 1039309, 1039152, 1236330, 1236368, 1179418, 1039336, 1039331, 1039091, 1039613, 1039262, 1039241, 1039655, 1039370, 1039483, 1039124, 1039420, 1179461, 1039238, 1236336, 1039191, 1039414, 1039501, 1039538, 1039178, 1039103, 1039351, 1039614, 1039510, 1039312, 1039340, 1039147, 1039644, 1039440, 1179434, 1039180, 1039332, 1039486, 1039382, 1039663, 1039462, 1039177, 1039485, 1236378, 1039139, 1039113, 1236358, 1039114, 1039662, 1039165, 1039285, 1039140, 1236326, 1039552, 1039230, 1039314, 1179417, 1039556, 1039430, 1039329, 1039517, 1236346, 1039450, 1039480, 1039093, 1039624, 1039562, 1039544, 1039467, 1039387, 1039135, 1179430, 1039442, 1236350, 1039358, 1039559, 1039171, 1039664, 1039497, 1236391, 1236375, 1179427, 1039502, 1039155, 1039495, 1179452, 1039604, 1039341, 1039629, 1039146, 1236365, 1039126, 1039252, 1039184, 1039496, 1039194, 1039398, 1039231, 1236376, 1039291, 1039438, 1039641, 1039294, 1039287, 1039364, 1039290, 1039633, 1039648, 1179438, 1039490, 1039153, 1236339, 1039484, 1039554, 1039535, 1039163, 1179454, 1236382, 1039344, 1039242, 1179445, 1039451, 1039371, 1039630, 1039403, 1039487, 1039531, 1039519, 1236331, 1179428, 1039339, 1039249, 1039546, 1039307, 1179413, 1039417, 1179400, 1039452, 1039507, 1039283, 1039328, 1039250, 1039580]","{'of': 0.07729775368208401, 'PRP': 0.07208150732421088, 'sentiment': 0.05795796700914263, 'VB': 0.05258174602862608, 'DT': 0.04712655364049241, 'NN': 0.04650400952599683, 'IN': 0.03719958780075222, 'i': 0.03602436780183829, 'to': 0.03404366712337968, 'have': 0.03326028227222411}"
0.4775,0.47434277126994007,0.4769461307922846,0.4775,0.51508,0,0.555,0.43360433604336046,0.47337278106508873,0.4,"[1144917, 1265003, 1207792, 1148136, 1140587, 1144415, 1141421, 1136349, 1143426, 1148094, 1263941, 1145043, 1143465, 1147851, 1207292, 1265321, 1148362, 1140813, 1140638, 1144428, 1138054, 1136925, 1145458, 1148832, 1264590, 1139861, 1206867, 1263367, 841076, 1143018, 1142360, 1137485, 1146584, 1145278, 1265068, 1143516, 1144287, 1206545, 1138783, 1144528, 1142267, 1147891, 1263863, 1136214, 1207333, 1146585, 1149157, 1149632, 1137429, 1137814, 1140309, 1141927, 1263601, 1144305, 1136158, 1148561, 1144660, 1148241, 1265081, 1208436, 1139644, 1206125, 1263647, 1208444, 1141529, 1139008, 1145617, 1144298, 1263724, 1144777, 1149479, 1265335, 1141683, 1138101, 1264682, 1136210, 1206039, 1136550, 1148783, 1141848, 1139721, 1144947, 1262946, 1147355, 1135594, 1140257, 1263742, 1143315, 1140062]","[1039467, 1039643, 1236332, 1039092, 1179447, 1039274, 1039231, 1039610, 1039113, 1039590, 1039582, 1039162, 1039598, 1236385, 1039307, 1179434, 1039438, 1179452, 1039283, 1236384, 1039493, 1039200, 1039622, 1039436, 1039541, 1039538, 1236351, 1039648, 1039353, 1039502, 1236328, 1039140, 1039533, 1039187, 1039426, 1039170, 1039334, 1236333, 1039175, 1039335, 1039201, 1039576, 1039531, 1039662, 1039215, 1236338, 1236359, 1039458, 1039457, 1039380, 1039202, 1039637, 1039515, 1179422, 1039474, 1039498, 1039188, 1039518, 1039642, 1039427, 1039449, 1039604, 1039623, 1039656, 1179423, 1039556, 1039346, 1039249, 1039227, 1039152, 1039314, 1039263, 1039316, 1236342, 1039331, 1039501, 1039644, 1039267, 1039429, 1039647, 1039157, 1039290, 1039619, 1039272, 1236330, 1039219, 1039435, 1039238, 1039168, 1039329, 1179417, 1179406, 1039337, 1179426, 1039459, 1039173, 1039382, 1039257, 1039482, 1039526, 1236341, 1039159, 1179395, 1039588, 1039496, 1039371, 1039146, 1039499, 1236368, 1039155, 1236380, 1039555, 1039440, 1179438, 1236363, 1039261, 1039519, 1039481, 1039577, 1039158]","{'NN': 0.07160189240951036, 'PRP': 0.06715221394495943, 'of': 0.06696881755133084, 'sentiment': 0.052814491269286536, 'VB': 0.05206187840390395, 'DT': 0.039227194364272105, 'have': 0.03859010577803948, 'to': 0.03254482795789426, 'i': 0.031724383625536805, 'mean_sen_len': 0.03094504711380308}"
0.4125,0.4020013868478475,0.4058912102390363,0.4125000000000001,0.48124,0,0.545,0.3227665706051873,0.38095238095238093,0.28,"[1206951, 1263807, 1264100, 840877, 1136306, 1138948, 1147196, 1144521, 1140965, 1135844, 1142266, 1149733, 1207113, 1138527, 1135673, 1263827, 1147272, 1144642, 1264718, 841367, 1137699, 1147537, 1143674, 1148799, 1142606, 1145294, 1206888, 1148141, 1136528, 1140158, 1139428, 1135595, 1136510, 1136148, 1140079, 1265045, 1141522, 1142136, 1146032, 1207995, 1143799, 1146114, 1207703, 1137106, 1148901, 1265200, 1149428, 1147739, 1141297, 1208116, 1149392, 1141576, 1136424, 1143293, 1135656, 1140601, 1141571, 1138285, 1263142, 1135466, 1208528, 1135650, 1136723, 1207795, 1147450, 1138444, 1206545, 1150098, 1139451, 1207769, 1142455, 1263694, 1264463, 1140252, 1208536, 1141976, 1138045, 1264832, 840887, 1150442, 1142164, 1135831, 1143165, 1139143, 1141345, 1142921, 841121, 1144421, 1147415, 1207334, 1135802]","[1039188, 1039263, 1039639, 1039416, 1039431, 1039255, 1039353, 1039406, 1179425, 1039664, 1039196, 1039512, 1039157, 1039574, 1039216, 1039097, 1039576, 1039602, 1039558, 1039529, 1039441, 1039424, 1039397, 1039470, 1039623, 1039439, 1039221, 1039326, 1179426, 1039232, 1039323, 1039516, 1039091, 1039566, 1039583, 1039096, 1039471, 1039159, 1236359, 1039554, 1236349, 1039347, 1039666, 1039303, 1236362, 1039187, 1039484, 1039146, 1039108, 1039102, 1236337, 1039383, 1039245, 1039338, 1039507, 1039638, 1039098, 1039415, 1039152, 1039100, 1236365, 1039336, 1039120, 1039650, 1039185, 1039189, 1236380, 1039222, 1039409, 1039283, 1039298, 1039611, 1039440, 1039456, 1039359, 1236341, 1039358, 1039615, 1039295, 1039243, 1039389, 1039178, 1039407, 1039346, 1039278, 1039332, 1039562, 1039542, 1039604, 1039182, 1179452, 1039284, 1039103, 1039135, 1039450, 1039492, 1039447, 1039149, 1039466, 1039276, 1039502, 1039643, 1039603, 1039309, 1039648, 1039522, 1039550, 1039436, 1039206, 1039371, 1039659, 1039548, 1039630, 1039527, 1039195, 1039262, 1236327, 1039203, 1039161, 1039487, 1039417, 1039473, 1179395, 1039585, 1039341, 1039478, 1039661, 1039635, 1039549, 1039475, 1039274, 1039575, 1179442, 1039480, 1039488, 1236395, 1039438, 1039545, 1039588, 1039414, 1039459, 1039464, 1039382, 1039384]","{'of': 0.06690393890986097, 'PRP': 0.0653290998775886, 'sentiment': 0.062200870490376294, 'NN': 0.055338144496671474, 'VB': 0.04748958320399817, 'IN': 0.04018448084371112, 'DT': 0.0388457073298362, 'NNS': 0.034516253971601234, 'RB': 0.031755352166166234, 'have': 0.03131664645345006}"
0.475,0.47071277346506707,0.4741628772219926,0.475,0.51835,0,0.565,0.4230769230769231,0.4695121951219512,0.385,"[1264565, 1146019, 1207862, 1136612, 1135416, 1143463, 1264958, 1141951, 1149196, 1140191, 1149204, 1140656, 1264983, 1136307, 1141001, 1140132, 1140029, 1147737, 1144330, 1207220, 1139760, 1139466, 1146923, 1149876, 1265262, 1145470, 1142471, 1139362, 1146042, 1207709, 1149497, 1264542, 1265267, 1144605, 1138701, 1146076, 1208528, 1144723, 1140144, 1208191, 1146408, 1264097, 1150160, 1150351, 1264527, 1264960, 1150057, 1149916, 1140454, 1136196, 1263584, 1141048, 1147671, 1140200, 1262867, 1145089, 1145623, 1206692, 1138470, 1139613, 1147055, 1139508, 1140648, 1140024, 1136652, 1149950, 1206306, 1150242, 1138782, 1145454, 1143013, 1140072, 1149806, 1138978, 1142943, 1146093, 1142968, 1139352, 1148922, 1143929, 1263095, 1141206, 1138865, 1138997, 1206588, 1144159, 1136926]","[1179443, 1039263, 1039123, 1039176, 1039211, 1039165, 1039287, 1039335, 1039334, 1039231, 1236385, 1039441, 1039200, 1039221, 1236336, 1039146, 1039119, 1039426, 1039348, 1179418, 1039403, 1039503, 1039501, 1039386, 1039560, 1039245, 1039666, 1039130, 1039341, 1039649, 1179455, 1039329, 1039163, 1236332, 1039314, 1179432, 1179431, 1039417, 1179397, 1039098, 1179456, 1039354, 1179396, 1039484, 1039413, 1039330, 1039179, 1039479, 1039415, 1039566, 1179429, 1236365, 1236384, 1179425, 1039251, 1039577, 1039150, 1179438, 1039639, 1039389, 1039490, 1039550, 1039353, 1039199, 1039519, 1039207, 1039512, 1039109, 1039551, 1039250, 1039349, 1039326, 1039247, 1039390, 1039493, 1039248, 1039188, 1039644, 1039485, 1236331, 1039173, 1236347, 1039659, 1236395, 1039198, 1039152, 1039189, 1039178, 1236346, 1039125, 1039621, 1039168, 1039222, 1236376, 1039242, 1039638, 1039257, 1039182, 1179403, 1179445, 1039323, 1039346, 1039153, 1039656, 1039565, 1039581, 1039522, 1039619, 1039395, 1039605, 1039437, 1039365, 1039430, 1039598, 1039399, 1039542, 1179428, 1039427, 1179454, 1039230, 1039114, 1039470, 1039283]","{'PRP': 0.08088378259170273, 'of': 0.06885301282621395, 'VB': 0.051862595128890174, 'sentiment': 0.04862866536074674, 'NN': 0.04860019298332086, 'have': 0.03789974804642968, 'IN': 0.036546368190017484, 'DT': 0.034968098020807324, 'NNS': 0.033942438741261655, 'mean_sen_len': 0.03324659701888513}"
0.355,0.3401534526854221,0.34065934065934067,0.355,0.43913,0,0.505,0.2411764705882353,0.29285714285714287,0.205,"[1148621, 1143046, 1148461, 1263224, 1146602, 1138976, 1135575, 1206887, 1263826, 1263827, 1143066, 1145194, 841390, 1149288, 1263261, 1138736, 1264720, 1137471, 1142388, 841262, 1136423, 1135514, 1138357, 1145050, 1136864, 1144692, 1206563, 1147711, 1263027, 1149743, 1207504, 1141478, 1142980, 1149384, 1262924, 1263253, 1207482, 1207184, 1138446, 1264834, 1144519, 1208436, 1140239, 1143722, 1137035, 1139810, 1145660, 1265167, 1206552, 1144110, 1144507, 1264255, 1265316, 1265224, 1137836, 1144935, 1138437, 1135746, 1150470, 1264591, 1143847, 1206443, 1141464, 1137767, 1141112, 1145757, 1142377, 1136822, 1146512, 1143707, 1136926, 1208307, 1143552, 1138121, 1136424, 1145053, 1148345, 1207962, 1142373, 1263262, 1138899, 1146149, 1264718, 1146936, 1208123, 1144753, 1141551, 1207178, 1146699, 1143358, 1207502, 1207736, 1145736, 1147629, 1138193, 1206756, 1139013, 1135802, 1207119]","[1039465, 1236338, 1039348, 1039601, 1039412, 1039416, 1236394, 1039335, 1236389, 1039146, 1179422, 1039345, 1039196, 1236330, 1039583, 1039398, 1039347, 1039528, 1039537, 1236337, 1039649, 1039121, 1039394, 1236332, 1039399, 1236369, 1039327, 1039219, 1039354, 1039393, 1179423, 1236366, 1039122, 1179460, 1039182, 1039493, 1039199, 1039159, 1039496, 1039409, 1039384, 1179445, 1179452, 1179409, 1039364, 1039487, 1236360, 1039189, 1039592, 1039309, 1039549, 1039203, 1039502, 1039637, 1039295, 1039523, 1039356, 1039314, 1039268, 1039190, 1039618, 1039406, 1039262, 1039329, 1236355, 1039470, 1039264, 1039619, 1236388, 1039192, 1039472, 1179396, 1039175, 1039621, 1039095, 1039437, 1179397, 1039542, 1236354, 1039397, 1236379, 1039382, 1236383, 1039629, 1039161, 1039337, 1039156, 1039111, 1236343, 1039100, 1179427, 1236357, 1039283, 1039429, 1039214, 1236341, 1039438, 1039490, 1039119, 1039204, 1039613, 1039202, 1039644, 1236392, 1039332, 1039279, 1039114, 1236372, 1039150, 1039278, 1179440, 1039505, 1039648, 1236365, 1039234, 1039361, 1039447, 1039359, 1039287, 1039557, 1039486, 1039341, 1039565, 1039125, 1039572, 1039663, 1039575, 1179443, 1039293, 1039662, 1039128, 1039349, 1039167, 1039176, 1039147, 1179403, 1236373, 1039598, 1039117, 1039504, 1179456, 1236382, 1039110, 1039642, 1039198, 1236336, 1039581, 1179438, 1039188, 1039251, 1039221, 1039300, 1039593, 1039222, 1236371, 1039500, 1236398, 1039201, 1039538]","{'PRP': 0.07602284242699016, 'sentiment': 0.06545637390302465, 'of': 0.06164998383247796, 'VB': 0.051814928499425324, 'NN': 0.05161743031048946, 'RB': 0.0459890104378177, 'DT': 0.03913780261883377, 'IN': 0.03610040234524326, 'have': 0.035438753979834293, 'the': 0.02908905268398094}"
0.4125,0.4079672492520862,0.4097356544165055,0.4125,0.45977,0,0.5,0.3561643835616438,0.3939393939393939,0.325,"[1139308, 1138664, 1206620, 1143686, 1207584, 841329, 1148048, 1207178, 1206293, 1207848, 1135884, 1263000, 1142737, 1135760, 1139447, 1142229, 1139040, 1207883, 1137013, 1149868, 1263647, 1148714, 1146773, 1140372, 1140874, 1135863, 1143655, 1206686, 1144345, 1143348, 1145894, 1148525, 1265017, 1142604, 1141371, 1139729, 1138461, 1148303, 1140875, 1149025, 1140991, 1140823, 1145842, 1141364, 1140282, 1146034, 1142423, 1140013, 1150376, 1208032, 1137660, 1149585, 1141808, 1141462, 1144889, 1207137, 1142335, 1207649, 1144245, 1145855, 1148693, 1149618, 1265287, 1148812, 841180, 1140858, 1144833, 1206317, 1147123, 1138145, 1147269, 1140766, 1138595, 1143314, 1135686, 1264435, 1140317, 1147912, 1206731, 1145479, 1136063, 1150496, 1139550, 1147056, 1147716, 1139061, 1140651, 1207066, 1138131, 841203, 1140303, 1264785, 1147297, 1140859, 1135683, 1142403, 1138723, 1141998, 1149591, 1146564]","[1039662, 1039238, 1039647, 1039155, 1039248, 1236343, 1039287, 1039376, 1039436, 1039211, 1039409, 1039418, 1039103, 1236381, 1236335, 1236370, 1039307, 1039165, 1039438, 1039330, 1039605, 1039584, 1236388, 1039393, 1039293, 1236362, 1039449, 1039360, 1039447, 1039340, 1179408, 1039335, 1039222, 1039498, 1039327, 1039524, 1039196, 1179405, 1039596, 1039136, 1039214, 1039490, 1039478, 1039663, 1039098, 1236397, 1179455, 1039424, 1039391, 1039625, 1236340, 1039270, 1039102, 1039367, 1039482, 1039230, 1039336, 1179397, 1039345, 1039632, 1039191, 1039580, 1039180, 1236354, 1236378, 1039203, 1039215, 1039346, 1039394, 1039291, 1039574, 1039349, 1039440, 1039273, 1039312, 1039399, 1039125, 1039598, 1039522, 1179457, 1039301, 1039144, 1039604, 1039308, 1039198, 1039263, 1236358, 1039659, 1179430, 1039297, 1039325, 1039380, 1236355, 1039332, 1039204, 1236395, 1039258, 1236334, 1039259, 1039254, 1039370, 1039314, 1039145, 1039167, 1039666, 1039323, 1039439, 1039413, 1039174, 1039274, 1039194, 1039617, 1039622, 1039353, 1039501, 1039354, 1039420, 1039427, 1039348, 1039493, 1179416, 1039227, 1039272, 1039466, 1039561, 1039261, 1236338, 1039505, 1039220, 1039416, 1039100, 1236333, 1039506, 1039316, 1039361]","{'of': 0.07528180384274988, 'PRP': 0.07300897938868055, 'sentiment': 0.06309975029299365, 'NN': 0.057019185094047804, 'VB': 0.04870523327658619, 'i': 0.03679234651355289, 'DT': 0.03341088368602223, 'IN': 0.03173601337452725, 'RB': 0.031178659078299094, 'to': 0.029757771665299613}"
0.465,0.4543043655650754,0.4620225694444444,0.465,0.5307,0,0.605,0.37790697674418605,0.4513888888888889,0.325,"[1135429, 1141818, 1140630, 1147283, 1147876, 841275, 1147753, 1136026, 1136827, 1263420, 1141177, 1139663, 1141624, 1138769, 1148432, 1264330, 1139311, 1149145, 1138126, 1144262, 1150246, 1142264, 1263206, 1207615, 1145235, 1140839, 1138564, 1140938, 1147506, 1138973, 1148374, 1140505, 1140542, 1136659, 1144845, 1138439, 1139128, 1144849, 1206566, 1148584, 1143165, 1146324, 1144491, 1136698, 1141590, 1148087, 1138842, 1142974, 1141875, 1265021, 1146046, 1138723, 1135530, 1135821, 1135881, 1145931, 1207573, 1145967, 1141087, 1265069, 1139986, 1146214, 1135739, 1140661, 1144245, 1263743, 1141428, 1208106, 1141427, 1140260, 1150335, 1135538, 1137251, 1265288, 1145105, 1147561, 1265181, 1265295, 1149079]","[1039222, 1039384, 1039263, 1039159, 1039510, 1179409, 1039115, 1179412, 1236382, 1039323, 1039491, 1039146, 1039177, 1039162, 1236359, 1039238, 1039196, 1039256, 1039340, 1039562, 1039426, 1039662, 1039513, 1039130, 1039211, 1179406, 1039606, 1039607, 1236326, 1179431, 1039148, 1039184, 1039204, 1039120, 1039521, 1039632, 1039455, 1039188, 1039511, 1039250, 1039288, 1236379, 1039429, 1039399, 1039410, 1039394, 1039502, 1039275, 1039654, 1039165, 1236392, 1039530, 1039601, 1236353, 1039625, 1236368, 1039537, 1236358, 1039509, 1039544, 1039331, 1039620, 1236327, 1236349, 1039213, 1039630, 1179436, 1039341, 1236391, 1039580, 1039409, 1039638, 1236385, 1039413, 1039587, 1039221, 1039396, 1039262, 1039155, 1039618, 1039482, 1236377, 1039573, 1039397, 1039373, 1039185, 1039442, 1039150, 1236334, 1039649, 1039100, 1039293, 1039583, 1039402, 1236330, 1039295, 1039577, 1039619, 1179454, 1039324, 1039470, 1039494, 1039386, 1236355, 1039136, 1039360, 1179403, 1039549, 1039453, 1039334, 1236338, 1039171, 1039111, 1039349, 1039203, 1039190, 1236381, 1039449, 1039098, 1039241, 1039585, 1039168, 1039559, 1179395, 1236335, 1236372, 1039326, 1039252, 1039160, 1179408, 1039133, 1039498, 1179426, 1039182, 1236337]","{'PRP': 0.0683082674082646, 'of': 0.06636195304505103, 'NN': 0.05368311669220018, 'sentiment': 0.047655089711053096, 'VB': 0.0459416567148818, 'IN': 0.03997360187829409, 'the': 0.039680286788811435, 'RB': 0.0367272942190515, 'have': 0.033324304757339995, 'DT': 0.03294495081686859}"
