accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.5175,0.5101491760734522,0.5186175164233091,0.5175,0.57016,1,0.64,0.45014245014245013,0.5231788079470199,0.395,"[1138693, 1144042, 1206117, 1143436, 1139126, 1206974, 1137876, 1142150, 1139416, 1137074, 1140795, 1138304, 1141559, 1138356, 1146363, 1140483, 1141059, 1147997, 1138606, 1264422, 1136052, 1147500, 1147697, 1264947, 1150209, 1206991, 1139377, 1148360, 1144276, 1142107, 1148193, 1206061, 1136191, 1139865, 1145367, 1144955, 841315, 1264847, 1149358, 1264436, 1136263, 1142831, 1141929, 1208328, 1146293, 1264584, 1137512, 1136089, 1139984, 1137289, 1148141, 1146567, 1144692, 1139187, 1148523, 1206900, 1263510, 1264334, 1136368, 1207484, 1263209, 1148357, 1206131, 1139420, 1136401, 1206583, 1148294, 1144784, 1139910, 1206976, 1147863, 1138699]","[1029932, 1029934, 1029637, 1030025, 1030050, 1029867, 1029427, 1030043, 1029750, 1029664, 1178225, 1030109, 1178263, 1029961, 1029685, 1029573, 1029507, 1029422, 1030035, 1030078, 1029645, 1029915, 1029980, 1235153, 1029583, 1029639, 1029832, 1235162, 1029781, 1029896, 1029713, 1029728, 1235127, 1029418, 1029844, 1029814, 1029891, 1030017, 1029747, 1235133, 1030062, 1029538, 1030121, 1029877, 1030030, 1030099, 1030077, 1029770, 1030069, 1029443, 1029793, 1235174, 1029597, 1029469, 1030088, 1029979, 1029995, 1029997, 1178288, 1029474, 1030037, 1029973, 1029988, 1029741, 1029498, 1029985, 1029642, 1029535, 1029768, 1029578, 1029726, 1029696, 1029467, 1029559, 1029717, 1030053, 1029898, 1029511, 1178266, 1178230, 1029922, 1235142, 1029456, 1029842, 1235173, 1029903, 1029712, 1029533, 1029845, 1178251, 1178280, 1029822, 1030133, 1029587, 1030154, 1178279, 1029861, 1178220, 1029734, 1029725, 1030136, 1029476, 1235208, 1029640, 1029746, 1235135, 1029496, 1235200, 1029614, 1030059, 1029939, 1029403, 1178257, 1235168, 1029661, 1029442, 1029528, 1235204, 1029960, 1029398, 1029735]","{'PRP': 0.07423854307169413, 'of': 0.07059585655167167, 'NN': 0.06148346955319888, 'sentiment': 0.057979429936294305, 'VB': 0.04586236031104939, 'DT': 0.039935641179492366, 'the': 0.033188079625833394, 'IN': 0.030298528298446863, 'have': 0.029399069541145028, 'to': 0.029319576340511883}"
0.5125,0.5113975908142747,0.5126138399051439,0.5125,0.53461,1,0.56,0.4881889763779528,0.5138121546961326,0.465,"[1143281, 1206180, 1141290, 1264779, 1143850, 1143651, 1207353, 1145831, 841158, 1135800, 1264600, 840919, 1206306, 1263999, 1206554, 1137000, 1136079, 1147084, 1263712, 1263076, 1263430, 1139809, 1264856, 1142267, 1141253, 1139450, 1142154, 1149296, 1137665, 1137240, 1139688, 1136060, 1206965, 1208053, 1138209, 1148334, 1143528, 841485, 1263215, 1207137, 1147029, 1263414, 1264566, 1148972, 1139607, 1142438, 1141639, 1141589, 841221, 841127, 1148229, 1149039, 1137898, 1264479, 1264926, 1144690, 1143735, 1150274, 1208000, 1141096, 1263413, 1150262, 1140637, 1137383, 1149966, 1146157, 1150105, 1143777, 1150395, 1141774, 1147030, 1139490, 1136436, 1149939, 1137505, 1144066, 1141607, 1144310, 1143654, 1135897, 1142196, 1139350, 1149094, 1206208, 1206800, 1145156, 1144040, 1206924]","[1235171, 1029976, 1235203, 1178290, 1029985, 1235137, 1029431, 1178218, 1030064, 1178214, 1029799, 1235133, 1029463, 1030022, 1029808, 1178232, 1030158, 1029755, 1029460, 1029658, 1029399, 1029705, 1029878, 1030029, 1029516, 1029403, 1029856, 1030039, 1029607, 1235168, 1235169, 1030122, 1235128, 1029844, 1235170, 1029470, 1029887, 1029597, 1029718, 1030136, 1029932, 1029773, 1029553, 1029535, 1029837, 1030019, 1029416, 1235174, 1029525, 1029411, 1235150, 1029921, 1030048, 1029805, 1029601, 1029801, 1235141, 1029511, 1029400, 1029596, 1029412, 1029626, 1178246, 1235123, 1029991, 1029550, 1030107, 1029756, 1178286, 1029957, 1029721, 1178237, 1235125, 1030057, 1235183, 1235158, 1029840, 1029425, 1029532, 1178236, 1029479, 1029655, 1030006, 1029482, 1029865, 1029741, 1029862, 1029483, 1029722, 1030040, 1235172, 1178225, 1029744, 1029875, 1029628, 1030106, 1030084, 1178231, 1029598, 1029914, 1029823, 1029542, 1030024, 1178226, 1030021, 1030050, 1029556]","{'PRP': 0.07383789929760318, 'sentiment': 0.07175125098717916, 'of': 0.0579343970727376, 'NN': 0.05288557396636363, 'VB': 0.05284292868370539, 'which': 0.03863990884004436, 'DT': 0.03728492235432447, 'to': 0.03295491494644383, 'IN': 0.032176062899465285, 'have': 0.03167145540358672}"
0.485,0.4792588285851513,0.484307982006486,0.485,0.53394,0,0.59,0.4245810055865922,0.4810126582278481,0.38,"[1206465, 1147517, 1144691, 1149872, 1264885, 1264908, 1148488, 1147513, 1148655, 1264045, 1137079, 1141351, 1143200, 1143850, 841452, 1206378, 1149201, 1141305, 1143081, 1263009, 1265259, 1206259, 1137238, 1135799, 1142280, 1148201, 1208170, 1138814, 841392, 1208166, 1264659, 1135945, 1206301, 1137322, 1142967, 1144558, 1142791, 840930, 1144635, 1142880, 841317, 1264718, 1137536, 841200, 1136012, 1207430, 1144721, 1141881, 1206261, 1144436, 841031, 1148754, 841208, 1140051, 1139162, 1206570, 1265153, 1207762, 1206307, 841016, 1143924, 1141008, 1142626, 1141784, 1146185, 1148537, 1148114, 1140343, 1136840, 1264635, 1264545, 1149939, 1141524, 1207999, 1137543, 1136079, 1207231, 1148546, 1207221, 1265336, 1139409, 1263630]","[1030012, 1029460, 1029887, 1029558, 1029579, 1029739, 1030005, 1029522, 1029492, 1029721, 1030141, 1029823, 1029451, 1029411, 1029722, 1030151, 1178221, 1030064, 1030130, 1178288, 1029946, 1029844, 1030007, 1029949, 1235119, 1029550, 1029782, 1178263, 1029728, 1030104, 1029502, 1029699, 1029665, 1178240, 1029882, 1030133, 1029488, 1029894, 1029678, 1029609, 1030149, 1029818, 1029758, 1030065, 1029729, 1235146, 1178232, 1029890, 1029555, 1030134, 1029608, 1029730, 1030099, 1029797, 1029850, 1029662, 1029903, 1235203, 1029988, 1030139, 1029624, 1029727, 1178285, 1029623, 1030084, 1029883, 1029513, 1029447, 1029400, 1178225, 1029716, 1178238, 1029766, 1030083, 1029639, 1178246, 1178205, 1029748, 1235135, 1030122, 1029564, 1029807, 1029907, 1029442, 1029514, 1029545, 1029944, 1029963, 1030066, 1235179, 1029429, 1235178, 1235133, 1235124, 1029871, 1029501, 1178256, 1029456, 1029810, 1029958, 1235130, 1029762, 1029480, 1030015, 1029855, 1029581, 1030016, 1029923, 1029607, 1178209, 1029974, 1029788, 1178280, 1029891, 1029754, 1030019, 1030123, 1029932, 1029738, 1029420, 1029399, 1178293, 1029984, 1029940]","{'PRP': 0.08081159149550685, 'of': 0.0761278211184217, 'sentiment': 0.06617283193497331, 'NN': 0.05765894032177227, 'VB': 0.047848260034531985, 'to': 0.03767263206392389, 'IN': 0.03664258391788408, 'RB': 0.033858924698025886, 'DT': 0.032221004488744, 'have': 0.029555448782521223}"
0.485,0.4831393014853473,0.4847808441558442,0.485,0.51415,0,0.545,0.4521276595744681,0.48295454545454547,0.425,"[1149400, 1136196, 1136978, 1138122, 840944, 1145490, 1139896, 1148593, 1144002, 1144947, 1145217, 1149217, 1150255, 1206054, 1139516, 1139307, 1135440, 1140877, 1264054, 1137728, 1139056, 1264746, 1208092, 1264781, 1206483, 1138387, 1139229, 1136612, 1143625, 1208055, 1140303, 1141567, 1135778, 1138456, 1206804, 1141470, 1208086, 1150179, 1137141, 1137683, 1137678, 1136946, 841177, 1140464, 1135638, 1206445, 1136068, 1149796, 1146745, 1144061, 1138952, 1137272, 1137793, 1140858, 1136438, 1206552, 1136548, 1143668, 1140082, 1265245, 1207641, 1141900, 1144084, 1264584, 1148840, 1207926, 1139836, 1148362, 1143224, 1142373, 1146389, 1148017, 1264809, 1143801, 1149744, 1142141, 1263628, 1138013, 1144329, 1263990, 1142759, 1139761, 1208489, 1264007, 1143950, 1138215, 1149489, 1145810, 1142231, 1141649, 1139788]","[1029800, 1029534, 1029721, 1030079, 1029767, 1029663, 1029492, 1030052, 1029483, 1029642, 1029957, 1029466, 1029510, 1235171, 1029654, 1029457, 1029722, 1178238, 1235155, 1178276, 1029467, 1029552, 1029867, 1029920, 1029409, 1029801, 1029803, 1029596, 1030084, 1029418, 1178237, 1029479, 1029634, 1029976, 1029675, 1029755, 1029698, 1030104, 1029853, 1029860, 1235122, 1029808, 1030111, 1030158, 1235128, 1029747, 1178268, 1029521, 1235156, 1030030, 1029413, 1029778, 1029861, 1029537, 1029790, 1030008, 1029745, 1030003, 1178255, 1029495, 1029412, 1178216, 1235165, 1029655, 1178229, 1030114, 1030116, 1030125, 1029851, 1029834, 1029994, 1235126, 1030027, 1029823, 1030082, 1029502, 1029771, 1029522, 1029647, 1178236, 1030151, 1029461, 1178281, 1029888, 1029536, 1029621, 1030105, 1235119, 1178280, 1030047, 1235153, 1029609, 1029824, 1029644, 1178208, 1235133, 1030023, 1029671, 1178256, 1029889, 1029708, 1029583, 1030103, 1235198, 1029944, 1235125, 1029825, 1029903, 1030149, 1030001, 1029940, 1235179, 1235174, 1029615, 1030141]","{'PRP': 0.07970053601524506, 'sentiment': 0.07411241975778281, 'of': 0.06299688016325784, 'NN': 0.04894849204929153, 'VB': 0.048342315502110295, 'IN': 0.0441385742351517, 'to': 0.040384830330241935, 'DT': 0.03353633422879915, 'i': 0.03191750994319391, 'RB': 0.028491742607243544}"
0.5075,0.5071272649941518,0.5075227563379222,0.5075,0.49357,1,0.48,0.5206812652068127,0.5071090047393365,0.535,"[1139466, 1149341, 1145726, 1206925, 1140224, 1139593, 1140133, 1140373, 1142189, 1144114, 1145548, 1264400, 1264462, 1263081, 1142105, 1146037, 1147810, 1140793, 1146777, 1139787, 1263707, 1148018, 1264270, 1206293, 1144510, 1135665, 1148636, 1263972, 1140066, 1264093, 1263000, 1139963, 1138208, 1140597, 1139015, 1150113, 1142905, 1139605, 1135994, 1138542, 1138499, 1138268, 1206912, 1207628, 1146336, 1211690, 1264261, 1143797, 1144845, 1136883, 1148013, 1137967, 1143986, 1138212, 1145728, 1138834, 1264996, 1146966, 1149480, 1145053, 1149021, 1139956, 1148062, 1135771, 1138905, 1147239, 1264969, 1141792, 1143366, 1136613, 1136771, 1143792, 1206135, 1264271, 1148876, 1263769, 1142975, 1144966, 1137638, 1142534, 1139235, 1145529, 1141538, 1149405, 1140398, 1206377, 1141963, 1263049, 1149074, 1144775, 1141093, 1145368, 1142692, 1141811, 1262883, 1265174, 1143039, 1142257, 1147305, 841058, 1136493, 1143136, 841168, 1138686]","[1029473, 1029733, 1029558, 1030148, 1030045, 1029915, 1029628, 1030059, 1178272, 1029985, 1029853, 1030069, 1030034, 1030135, 1235151, 1178219, 1235140, 1030100, 1029411, 1029770, 1029590, 1029481, 1235173, 1029872, 1235153, 1029748, 1029718, 1029825, 1029439, 1029814, 1029744, 1029843, 1029865, 1029678, 1235195, 1029813, 1029644, 1029598, 1030072, 1178266, 1029507, 1235203, 1030158, 1030057, 1029530, 1029665, 1030162, 1029685, 1029495, 1029475, 1029513, 1029920, 1029739, 1029810, 1029640, 1029614, 1030066, 1029412, 1178279, 1029898, 1029790, 1029564, 1235146, 1029921, 1029783, 1029727, 1029851, 1235123, 1235198, 1029405, 1029552, 1235168, 1029663, 1029451, 1178202, 1235119, 1029747, 1029608, 1029949, 1029960, 1029529, 1178232, 1029448, 1030074, 1029518, 1178276, 1029857, 1029402, 1029611, 1029944, 1029741, 1178209, 1029428]","{'PRP': 0.08666023477735896, 'of': 0.06886020058712976, 'sentiment': 0.05960341250110906, 'VB': 0.05190580060604879, 'NN': 0.05042869489554074, 'NNS': 0.03748991625082524, 'IN': 0.03559207867192773, 'DT': 0.035580422216767424, 'the': 0.03249794146197457, 'have': 0.03146864965489799}"
0.49,0.4897959183673469,0.4899839743589743,0.49,0.5,0,0.51,0.47959183673469385,0.4895833333333333,0.47,"[1145836, 1137117, 1144616, 1138258, 840947, 1264849, 1264100, 1137477, 1144962, 1139894, 1207304, 1265204, 1136606, 1264556, 1138192, 1145137, 1149590, 1145793, 1149103, 1142505, 1145031, 1144929, 1140151, 841315, 1140891, 1139666, 1140690, 1143931, 1147976, 1148325, 1143322, 1263896, 1263575, 1206183, 1135689, 1147409, 1142273, 1139317, 1136288, 1137271, 1145585, 1138719, 1148095, 1142892, 1150240, 1144204, 1147933, 1263516, 1263043, 1139670, 1138835, 1149993, 1136363, 1141645, 1144144, 1207502, 1148511, 1144930, 1145348, 1144917, 1145757, 1143727, 1206068, 1141158, 1146188, 1135350, 1149600, 1149254, 1265107, 1263245, 1207159, 1262880, 1263814, 1138518, 1264737, 1262883, 1149531, 1136882, 1149024, 1143447, 1147000, 1207388, 1145036, 1142257, 1142727, 1142130, 1149151, 1146136, 1141490, 1140731, 1263893, 1137207, 1146866, 1141838, 1136026, 1145931, 1138039, 1143947]","[1030011, 1029545, 1029823, 1030139, 1029727, 1029698, 1029883, 1029562, 1029537, 1030025, 1029491, 1029914, 1178214, 1029746, 1178216, 1029987, 1235168, 1029553, 1030074, 1029521, 1029452, 1029510, 1029583, 1029932, 1029734, 1178293, 1030093, 1029845, 1029552, 1029968, 1178254, 1178286, 1029546, 1029634, 1029403, 1029871, 1235162, 1029640, 1030148, 1029597, 1029994, 1030028, 1030125, 1030100, 1030123, 1030072, 1029502, 1029850, 1235205, 1030122, 1029792, 1178218, 1029518, 1030162, 1029617, 1029770, 1029628, 1029621, 1029710, 1030057, 1030013, 1030059, 1178226, 1029402, 1029664, 1029971, 1029964, 1029867, 1029899, 1029776, 1029445, 1235150, 1029953, 1029627, 1029547, 1030113, 1029479, 1235195, 1029485, 1029608, 1178251, 1029571, 1029737, 1235180, 1030149, 1029500, 1029603, 1029671, 1178209, 1029857, 1030133, 1030117, 1029839, 1030020, 1030017, 1235133, 1029803, 1029907, 1029704, 1029648, 1029801, 1029611, 1030035, 1030006, 1030163, 1029506]","{'PRP': 0.07342350496853842, 'of': 0.0685854034167916, 'VB': 0.05840995161458484, 'NN': 0.05495287221316222, 'DT': 0.044954940799565246, 'sentiment': 0.04495492689979379, 'IN': 0.043812111644857675, 'to': 0.03966590708356917, 'the': 0.03159771954357589, 'RB': 0.031225241572864455}"
0.5025,0.5017994054138633,0.5025141420490258,0.5025,0.52048,1,0.54,0.4831168831168831,0.5027027027027027,0.465,"[1137578, 1148293, 1264826, 1146564, 1206917, 1264229, 1139735, 1263272, 1138849, 1143577, 1140815, 1263696, 1147972, 1150489, 1136851, 1208176, 1138913, 1139040, 1207161, 1264248, 1143551, 1149344, 1138023, 1138203, 1144777, 1207361, 1208485, 1136726, 1142062, 1264784, 1136560, 1147452, 1141146, 1148084, 1148602, 1263107, 1206491, 1147677, 1137965, 1147164, 1147320, 1140564, 1208091, 1140059, 1144509, 1207873, 1263428, 1208369, 841446, 1138844, 1143415, 1137333, 1138345, 1137213, 1135725, 1148579, 1139037, 1206826, 1138792, 1207670, 1142859, 1149900, 1206718, 1207237, 1208478, 1142256, 1144910, 1138787, 1139000, 1146348, 1207549, 1142765, 1148193, 1265304, 1141611, 1206259, 1143192, 1149568, 1138934, 1141017, 1149872, 1138630, 1137989, 1136429, 1138634, 1207220, 1206083, 841142, 1143418, 1207520, 1147119, 1146566]","[1029428, 1029717, 1235203, 1029915, 1030158, 1029925, 1029435, 1030072, 1029431, 1029466, 1029730, 1029851, 1029654, 1029882, 1029762, 1029494, 1235131, 1029485, 1029997, 1029643, 1029603, 1235172, 1030133, 1030113, 1030162, 1235189, 1029792, 1029739, 1029545, 1030150, 1029788, 1029891, 1178258, 1178225, 1029852, 1029403, 1029596, 1029642, 1029969, 1029620, 1030151, 1178210, 1029447, 1029960, 1029448, 1030131, 1235177, 1029637, 1030015, 1235150, 1029398, 1029445, 1030038, 1029440, 1029622, 1030132, 1029644, 1029804, 1030114, 1029411, 1029624, 1235122, 1030115, 1235204, 1029588, 1029801, 1029664, 1029934, 1029684, 1029995, 1029963, 1235168, 1029532, 1029467, 1178202, 1029979, 1029661, 1178290, 1178214, 1030104, 1030089, 1235195, 1029606, 1029550, 1029479, 1030005, 1029947, 1029617, 1030077, 1178205, 1029782, 1029973, 1030088, 1029601, 1029401, 1235166, 1030079, 1178268, 1029812, 1029631, 1029516, 1029590, 1029509, 1030144, 1178263, 1029400, 1029476]","{'PRP': 0.07887521141252506, 'of': 0.06858306479935887, 'sentiment': 0.0677176011845706, 'NN': 0.047154671728970136, 'VB': 0.04335676483377348, 'DT': 0.03877243371165864, 'IN': 0.034768784767038596, 'NNS': 0.03379016172668126, 'RB': 0.03244203228365136, 'to': 0.028071492523507106}"
0.47,0.4608890245142916,0.4678249678249678,0.47,0.53097,0,0.6,0.39080459770114945,0.4594594594594595,0.34,"[1145363, 1142336, 1263991, 1137977, 1144416, 1207062, 1147789, 1147481, 1137697, 1146638, 1140131, 1262979, 1143728, 1142343, 1141831, 1262930, 1141453, 1264833, 1147547, 1145641, 1141472, 1265325, 1136821, 1206318, 1146847, 1140036, 1138905, 1138512, 1135965, 1149611, 1263972, 1136187, 1144977, 1263210, 1141851, 1144085, 1264337, 1137460, 1140630, 1144477, 1149925, 1137775, 1206968, 1263709, 1206028, 1145716, 1146200, 1138076, 1147446, 1264144, 1145288, 1140291, 1136714, 1148909, 1144221, 1135740, 1147348, 1263629, 1139435, 1136000, 1150284, 1144448, 1147526, 841148, 1141622, 1141508, 1147435, 1141344, 1211684, 1206979, 1147437, 1137486, 1263260, 1265124, 1144484, 1149729, 1139490, 1144472, 841166, 1263698]","[1029628, 1178270, 1029782, 1029872, 1029410, 1178237, 1029732, 1178218, 1029894, 1029441, 1029889, 1030146, 1029814, 1029839, 1029969, 1030096, 1235154, 1178278, 1029959, 1029891, 1030004, 1029560, 1029415, 1029984, 1030144, 1235186, 1029550, 1029925, 1029527, 1029457, 1178272, 1178203, 1029528, 1029567, 1235200, 1029696, 1029630, 1030134, 1029640, 1029882, 1030101, 1029599, 1178254, 1029693, 1178214, 1029634, 1029620, 1029964, 1029758, 1029903, 1029476, 1029909, 1030045, 1030157, 1030066, 1029606, 1029915, 1029892, 1178284, 1029646, 1029748, 1029855, 1029511, 1178219, 1029845, 1029472, 1029766, 1178231, 1235130, 1029440, 1178236, 1029445, 1029460, 1029485, 1178257, 1235209, 1030158, 1029710, 1030000, 1030107, 1029818, 1029583, 1029898, 1029792, 1029463, 1029779, 1029699, 1030089, 1029958, 1029452, 1030012, 1029622, 1029778, 1029684, 1029597, 1029658, 1029676, 1030057, 1235125, 1178282, 1029467, 1029558, 1029700, 1030005, 1029805, 1029692, 1178229, 1029569, 1029923, 1029473, 1029705, 1030123, 1029953, 1029698, 1029756, 1178232, 1029649, 1029509, 1030023, 1029803, 1029822, 1029956, 1029661, 1178286, 1029529, 1030003, 1030082, 1030016, 1030053, 1029974, 1029659, 1029552]","{'PRP': 0.08148499862669985, 'of': 0.06697663790692636, 'VB': 0.05690336355614149, 'NN': 0.055172642205661544, 'sentiment': 0.05035652580370443, 'IN': 0.04837439480336166, 'DT': 0.035255019688696924, 'NNS': 0.03503892525664838, 'have': 0.03422917775352203, 'the': 0.033578527041169044}"
0.47,0.4689245722588241,0.4697550156265753,0.47,0.49282,0,0.515,0.44502617801047123,0.46703296703296704,0.425,"[1208162, 1137327, 841511, 1136597, 1139664, 1138990, 1263318, 1147175, 1207091, 1150498, 1263054, 840866, 1146160, 1137985, 1141550, 1208153, 1147759, 1146240, 1208396, 841240, 1140925, 1147392, 1137057, 1145869, 1206836, 1143502, 1140408, 1264206, 1148830, 1149402, 1141386, 1137185, 1149672, 1206063, 1265196, 1148313, 1148346, 1149495, 1264436, 1144038, 1140214, 1139937, 1147023, 841171, 1150069, 1141893, 1145020, 1146733, 1145383, 1144721, 1146464, 1263731, 1207065, 1136043, 841221, 1142502, 1140650, 1149280, 1148499, 1148454, 841166, 1137228, 1137244, 1208220, 1150163, 1149185, 1150361, 1141408, 1145221, 1148245, 1139072, 1147172, 1206213, 1139984, 1136907, 1207843, 1144507, 1142486, 841125, 1148620, 1142204, 1141105, 1140254, 1143064, 1149392, 1141763, 1208392, 1141697, 1264454, 1150326, 1143668, 1135858, 1145484, 1146093, 1135906, 1139469, 1137534]","[1029894, 1029936, 1029737, 1030139, 1235137, 1030003, 1029923, 1030100, 1029986, 1029861, 1178258, 1029525, 1235153, 1029671, 1029710, 1235174, 1178270, 1029476, 1030099, 1029755, 1029511, 1029752, 1029413, 1178290, 1029400, 1029851, 1029609, 1029518, 1030109, 1178283, 1029992, 1030144, 1029569, 1030034, 1029587, 1029817, 1235180, 1029717, 1178201, 1235125, 1029640, 1029513, 1029898, 1030005, 1029993, 1029684, 1029574, 1029409, 1030000, 1029963, 1178251, 1030101, 1235126, 1029879, 1029995, 1030122, 1029542, 1030008, 1029538, 1030023, 1178239, 1029973, 1178211, 1178286, 1235166, 1030113, 1029797, 1029897, 1029639, 1030146, 1030004, 1029497, 1029470, 1030061, 1178213, 1029831, 1029623, 1029947, 1029401, 1235190, 1030050, 1029690, 1029550, 1029707, 1029559, 1029537, 1235203, 1029715, 1029661, 1235142, 1029535, 1029798, 1029778, 1029837, 1029604, 1030088, 1029611, 1029637, 1029799, 1029968, 1029441, 1029681, 1029504, 1235202, 1029624, 1029482, 1029835, 1029628, 1029696, 1029583, 1235129, 1029631, 1030029, 1178263, 1029770]","{'sentiment': 0.06993964843672712, 'of': 0.06795790393884892, 'PRP': 0.06604475700787055, 'VB': 0.051681415236676666, 'NN': 0.0481837596957544, 'IN': 0.04569111719168647, 'have': 0.0354884692946265, 'DT': 0.03498820987859849, 'RB': 0.03316017812125547, 'which': 0.031763539216506584}"
0.525,0.524952495249525,0.5250100040016007,0.525,0.5297,1,0.535,0.5202020202020202,0.5255102040816326,0.515,"[840927, 1144063, 1150240, 1149771, 1145508, 1263828, 1206558, 1141765, 1143009, 1146145, 1138073, 1140796, 1264478, 1147254, 1137642, 1145796, 1141753, 1135488, 1208072, 1139995, 1207969, 1143727, 1207623, 1143506, 1137257, 1138741, 1141963, 1264890, 1206169, 1148605, 1141060, 1207957, 1264194, 1263496, 1141277, 1148391, 1264827, 1140687, 1143955, 1206215, 1207297, 1147312, 1143000, 1208522, 1135479, 1136045, 1140940, 1149262, 1265284, 841327, 841013, 1206602, 1142029, 1264783, 841506, 1208347, 1206710, 1144504, 1139538, 1144657, 1138910, 841434, 1148262, 1135481, 1144855, 1141346, 1141976, 1142850, 1208092, 1142484, 1142340, 1149910, 1149106, 1138888, 1141463, 1139156, 1139590, 1264690, 1263945, 1148349, 1264203, 1265274, 1208369, 1144947, 1141237, 1142639, 1135600, 1146795, 1150495, 1142090, 1137362, 1264980, 1141776]","[1029829, 1029772, 1029974, 1030100, 1029899, 1178283, 1235158, 1029799, 1030158, 1029750, 1030053, 1029558, 1029412, 1029939, 1235125, 1030105, 1178256, 1029420, 1029825, 1029820, 1030103, 1029510, 1029707, 1029476, 1029783, 1030163, 1030123, 1235191, 1235177, 1030127, 1029877, 1029824, 1029658, 1029997, 1029567, 1235198, 1029747, 1029665, 1029792, 1029752, 1030089, 1029536, 1029735, 1029588, 1029667, 1029670, 1029691, 1029837, 1029718, 1029451, 1030115, 1029537, 1029770, 1029912, 1029644, 1030086, 1178246, 1235166, 1029738, 1029637, 1178279, 1235119, 1029659, 1235136, 1029548, 1235203, 1178268, 1178201, 1029696, 1030151, 1029861, 1178236, 1030145, 1178260, 1029886, 1029889, 1029834, 1029857, 1029710, 1029969, 1178215, 1029482, 1029956, 1178229, 1235186, 1178211, 1030005, 1030101, 1029803, 1030003, 1029754, 1029457, 1029461, 1029403, 1030121, 1235171, 1030074]","{'PRP': 0.07758384897697387, 'of': 0.06853223116056935, 'sentiment': 0.06569323792995592, 'NN': 0.0456938153196974, 'VB': 0.045635765624741455, 'IN': 0.04185158729952367, 'to': 0.0395593119562918, 'DT': 0.038885911221713226, 'which': 0.027107279952513785, 'NNS': 0.026194102051009943}"
