accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.5025,0.5021234808824173,0.5025075854459741,0.5025,0.51582,1,0.53,0.4884318766066838,0.5026455026455027,0.475,"[1137735, 1145617, 1263518, 1139257, 1208170, 1137189, 1136849, 1143173, 1150429, 1139706, 1148207, 1139435, 1135409, 1149151, 840917, 1136484, 1145529, 1144138, 1263571, 1139194, 1135897, 1211686, 1135421, 1142887, 1144230, 1137174, 1265205, 1148598, 1148775, 841383, 1147673, 1265034, 1149758, 1149947, 1142204, 1206513, 1135971, 1146831, 1264195, 1143745, 1137244, 1141888, 1207684, 1136022, 1149691, 1136709, 1137703, 1140630, 1146973, 1139775, 1144859, 1138908, 1139533, 1264548, 1263929, 1139008, 1143322, 1145268, 1136997, 1138892, 1145733, 1136883, 1143982, 1138706, 1208474, 1264287, 1144799, 1264523, 1208323, 1138093, 1207347, 1135931, 1150260, 1144354, 1141107, 1264599, 1140180, 1135650, 1208219, 1206798, 1149356, 1139874, 1138493, 1207773, 1265101, 1140661, 841037, 1136968, 1141466, 1140155, 1206491, 1265114, 1262947, 1263802]","[1034316, 1034421, 1034472, 1034228, 1034571, 1034189, 1034059, 1034443, 1034542, 1034320, 1235730, 1034516, 1034223, 1034420, 1034083, 1034381, 1034751, 1034671, 1034358, 1178806, 1034127, 1034772, 1034197, 1235755, 1034619, 1034552, 1034202, 1034256, 1034126, 1235729, 1034366, 1034719, 1034321, 1034779, 1034259, 1034496, 1034484, 1034344, 1034609, 1034326, 1034685, 1034031, 1235695, 1034525, 1034650, 1178775, 1034389, 1034242, 1034122, 1235709, 1034282, 1034447, 1034241, 1034729, 1034439, 1034211, 1034644, 1034378, 1034738, 1178839, 1034376, 1178833, 1034655, 1034605, 1178768, 1034044, 1178830, 1178783, 1178848, 1235746, 1034521, 1034550, 1034397, 1034520, 1235692, 1034587, 1034279, 1034583, 1034028, 1034725, 1034593, 1034683, 1034354, 1034098, 1235712, 1034339, 1034753, 1235754, 1034108, 1034647, 1034240, 1034490, 1034187, 1034332, 1034743, 1034161, 1034678, 1034040, 1034730, 1034293, 1034528, 1034063, 1178842, 1034246, 1034086]","{'PRP': 0.0788431992419451, 'sentiment': 0.06931888467116208, 'of': 0.06387098897384788, 'NN': 0.05840218908931514, 'VB': 0.04737507598502175, 'IN': 0.04231702213703393, 'to': 0.03108654715787986, 'mean_sen_len': 0.030634314536057777, 'RB': 0.030055628505849943, 'DT': 0.02986944386339853}"
0.54,0.5377349010149733,0.5407996736026112,0.54,0.57009,1,0.61,0.5053763440860215,0.5465116279069767,0.47,"[1136214, 1142707, 1147231, 1141050, 1148460, 1141421, 841092, 1141371, 1148186, 1137135, 1147888, 1138814, 1140310, 1138582, 1148135, 1145389, 841511, 1141446, 1149931, 1206069, 1148155, 1208257, 1140250, 1143822, 1146095, 1135450, 1207761, 1143088, 1206497, 1138051, 1207811, 841166, 1207688, 1150163, 1148910, 1144347, 1149603, 1141774, 1145872, 1148191, 1144202, 1138583, 1137394, 1149836, 1143765, 1145641, 1148272, 1206589, 1142423, 1264015, 1149077, 1207329, 1147507, 1149729, 1136951, 1148738, 1148598, 1138409, 1144229, 1143301, 1149404, 1144604, 1149085, 1139766, 841410, 1146076, 1207159, 1146330, 1146120, 1148063, 1263784, 840927, 1140503, 1148324, 1138972, 1207824, 1135688, 1137136]","[1034487, 1034427, 1034731, 1178848, 1034150, 1034382, 1034741, 1034418, 1034442, 1034119, 1034424, 1034751, 1034079, 1034603, 1034560, 1178797, 1034735, 1178814, 1034645, 1034512, 1034165, 1034748, 1178820, 1235727, 1034059, 1034771, 1235693, 1034630, 1034359, 1034367, 1034569, 1034185, 1235754, 1235735, 1034675, 1235701, 1034281, 1034076, 1034469, 1034071, 1034725, 1034136, 1034277, 1034784, 1178830, 1034525, 1235747, 1034733, 1034638, 1034668, 1034287, 1034660, 1235700, 1034504, 1034153, 1034378, 1034465, 1034448, 1034170, 1034561, 1235766, 1034722, 1034769, 1034396, 1034519, 1034753, 1178824, 1034260, 1034385, 1034467, 1034757, 1034557, 1235746, 1034144, 1034484, 1034090, 1178822, 1034404, 1034148, 1034306, 1178825, 1034199, 1235729, 1034511, 1034451, 1034264, 1034336, 1034498, 1178768, 1034276, 1034339, 1034386, 1235730, 1034110, 1034270, 1235722, 1034715, 1034089, 1034332, 1034308, 1034419, 1034592, 1034040, 1034477, 1034420, 1034583]","{'of': 0.07498731579841347, 'PRP': 0.07191006259739081, 'VB': 0.06331652678888894, 'NN': 0.061178938342899725, 'sentiment': 0.059579968744193156, 'IN': 0.041743915400790615, 'to': 0.03982290329381919, 'DT': 0.03667651447455736, 'the': 0.027765819548207577, 'have': 0.024672165165881107}"
0.54,0.5366523129611442,0.5411904026361858,0.54,0.57604,1,0.625,0.4972677595628415,0.5481927710843374,0.455,"[1208528, 1211678, 1207798, 1136529, 1141461, 1149570, 1265200, 1208131, 1147625, 1147892, 1142042, 1138925, 1143228, 1150240, 1143399, 1144587, 1264983, 1139815, 1136175, 1142428, 1144614, 1139407, 1138022, 1265091, 1139417, 1148067, 1135934, 1264984, 1206283, 1148582, 1147483, 1263527, 1144397, 1145735, 1208355, 1139159, 1141322, 1143011, 1263739, 1141453, 1137040, 1146180, 1142944, 1142957, 1264656, 1140140, 1207446, 1136973, 1136026, 1139369, 1206272, 1143743, 1262997, 1141462, 1206855, 1136043, 1263064, 1139041, 1140995, 1143598, 841421, 1207766, 1149677, 1142165, 1150022, 1145434, 1147199, 1208048, 1136819, 841294, 1148566, 1135980, 1136967, 1148151, 1147820]","[1034184, 1034744, 1034650, 1235722, 1034100, 1034221, 1034344, 1034045, 1034114, 1034642, 1034148, 1034623, 1034547, 1034121, 1178857, 1178805, 1034528, 1178806, 1034658, 1034146, 1034405, 1034553, 1034732, 1034037, 1235750, 1034555, 1034139, 1178800, 1034450, 1034520, 1034477, 1235745, 1178834, 1034644, 1034497, 1034428, 1034678, 1178817, 1178777, 1034717, 1034189, 1034075, 1034673, 1034224, 1034234, 1034155, 1034157, 1034059, 1034320, 1034306, 1034358, 1034123, 1034435, 1034769, 1034753, 1034741, 1235740, 1034530, 1034119, 1178799, 1034525, 1034419, 1034472, 1034389, 1034590, 1235696, 1034570, 1034125, 1034726, 1034311, 1034341, 1178804, 1034610, 1034143, 1034714, 1235723, 1034560, 1235767, 1034137, 1178848, 1034069, 1034338, 1034090, 1034739, 1034719, 1034479, 1034282, 1034204, 1235713, 1034166, 1178849, 1178842, 1034471, 1034711, 1178836, 1034321, 1235769, 1034700, 1034030, 1235703, 1034346, 1034031, 1178854, 1034283, 1034579, 1034391, 1034762, 1034407, 1034091]","{'PRP': 0.07011178100726675, 'of': 0.06513633457480504, 'sentiment': 0.06329360129532917, 'VB': 0.0601192938330827, 'NN': 0.04859625045418675, 'DT': 0.03973326820386132, 'IN': 0.03649501903595475, 'mean_sen_len': 0.03565464701107028, 'have': 0.03402246300218122, 'to': 0.03145841953287361}"
0.555,0.5528087629383981,0.5560995512035904,0.555,0.52151,1,0.485,0.5841121495327103,0.5482456140350878,0.625,"[1207241, 1145761, 1139963, 1148797, 1137335, 1135417, 1142644, 1144221, 1149015, 1264600, 1264178, 1265315, 1148157, 1136883, 1136591, 1145967, 1142859, 1150296, 1143087, 1142286, 1208435, 1141639, 1140651, 1207734, 1140464, 1263734, 1147440, 1207730, 1137372, 1143913, 1138793, 1144237, 1137736, 1264925, 1263881, 1136715, 840930, 1136989, 1137260, 1207192, 1146038, 1144175, 1150202, 1148713, 1145853, 1140821, 1148991, 1139639, 1149258, 1137913, 1146262, 1135733, 1150293, 1144858, 1137386, 1149479, 841382, 1137066, 1137400, 1141351, 1263076, 1207816, 1148888, 1141715, 1206528, 1145232, 1138528, 1206552, 1138460, 1146498, 1149104, 1263847, 1148395, 1140859, 1206510, 1145243, 1139913, 1139125, 1137787, 1264913, 1145779, 1143864, 1144553, 1137484, 1148585, 1136370, 1147645, 1149753, 1145829, 1207302, 1206669, 1135929, 1136535, 1146929, 1148638, 1144781, 1142196, 1149993, 1138641, 1206830, 1138682, 1264021, 1138482]","[1034218, 1235750, 1034445, 1034414, 1034330, 1178848, 1034098, 1034735, 1034756, 1034041, 1034719, 1034225, 1034469, 1034197, 1034753, 1034683, 1034280, 1034362, 1034561, 1034412, 1034202, 1034183, 1034555, 1034697, 1034069, 1034376, 1034245, 1034465, 1034730, 1178776, 1034314, 1034228, 1034657, 1034504, 1235711, 1034519, 1178804, 1034111, 1034214, 1034619, 1034512, 1235693, 1178856, 1235694, 1034725, 1178842, 1235723, 1034659, 1034302, 1034166, 1178772, 1235767, 1034184, 1034220, 1178830, 1034123, 1034754, 1034582, 1034592, 1034578, 1178784, 1178824, 1034417, 1034063, 1034428, 1178788, 1034324, 1034655, 1034675, 1034260, 1034144, 1034131, 1034108, 1235729, 1034444]","{'of': 0.08047714609312585, 'PRP': 0.07227187967706314, 'sentiment': 0.07161443229134819, 'VB': 0.05361674806391572, 'NN': 0.04835455596910601, 'IN': 0.042769336319613674, 'DT': 0.03845592029036307, 'have': 0.03488580294550984, 'RB': 0.03231041726109934, 'i': 0.028099305669558806}"
0.4725,0.46689910876142476,0.4712936141339806,0.4725,0.52154,0,0.575,0.41225626740947074,0.46540880503144655,0.37,"[1145136, 1136244, 1142823, 1145444, 1149465, 1148099, 1149587, 1263893, 1147484, 1141371, 841114, 1147876, 1143300, 1207180, 1137589, 1149714, 1147320, 1140920, 1150498, 1145903, 1206621, 840977, 1137430, 1140029, 1148116, 1142458, 1142167, 1148766, 1146693, 1137642, 1137561, 1207814, 1136524, 1149436, 841039, 1265312, 1147711, 1143160, 1138222, 1145287, 1136606, 1149489, 1144153, 1142173, 841374, 1135648, 1143680, 1150295, 1264820, 1206453, 1147199, 1137780, 1147481, 1146647, 1138411, 1207282, 1144364, 1265239, 1264086, 1140037, 1141880, 1143199, 1148062, 1145228, 1264690, 1148781, 1147769, 1146537, 1149479, 1208272, 1138446, 1147350, 1146125, 1144871, 1142650, 1206882, 1148625, 1149190, 1138713, 1206687, 1142826, 1148585, 1264496, 1138427, 1264780]","[1034105, 1235740, 1034081, 1034541, 1034094, 1034661, 1034689, 1235722, 1034604, 1034221, 1034281, 1034452, 1235738, 1034144, 1034243, 1034697, 1034123, 1034158, 1034131, 1178788, 1034076, 1034314, 1178771, 1235713, 1178805, 1034626, 1034630, 1034082, 1235755, 1034620, 1034582, 1034550, 1034130, 1034180, 1034214, 1034760, 1034371, 1034175, 1034075, 1034185, 1034674, 1034543, 1034403, 1034256, 1034611, 1034748, 1235758, 1034776, 1034484, 1034228, 1034754, 1034287, 1034447, 1034504, 1034756, 1034160, 1034763, 1034525, 1034725, 1034642, 1178845, 1034396, 1034106, 1034306, 1034467, 1235692, 1034154, 1034574, 1034367, 1235779, 1034751, 1034401, 1034139, 1034524, 1034125, 1034598, 1178825, 1034759, 1034645, 1178799, 1034547, 1235742, 1034766, 1235734, 1034137, 1178824, 1034414, 1178768, 1034722, 1034628, 1034624, 1235723, 1034714, 1034257, 1034726, 1034204, 1034370, 1235775, 1034245, 1034555, 1178836, 1235696, 1235711, 1235699, 1034416, 1178807, 1034781, 1034364, 1034490, 1034533, 1034676, 1034738, 1034188, 1034242, 1034553, 1034739, 1034174, 1034561, 1034471, 1034166, 1034644, 1034669, 1034380, 1034279, 1178856, 1034115]","{'of': 0.07035869812674364, 'PRP': 0.06405115713238199, 'sentiment': 0.06091461930268037, 'NN': 0.05546452482228162, 'VB': 0.05157082766114928, 'IN': 0.04981626969306059, 'DT': 0.04316638046220838, 'the': 0.033671543012020404, 'to': 0.0318982630856226, 'i': 0.03126612878903648}"
0.54,0.539585627064358,0.5401445202729828,0.54,0.5534,1,0.57,0.5257731958762887,0.5425531914893617,0.51,"[1136889, 1211678, 1142258, 1265017, 1136280, 841069, 1138586, 1144246, 1150070, 1138734, 1141469, 1145050, 1141943, 1263977, 1148934, 1148192, 1141136, 1146344, 1144295, 1264586, 1139517, 1136941, 1137535, 1146722, 1137298, 1148894, 1141061, 1149047, 1144756, 1142108, 1147891, 1264383, 1140045, 1138405, 1138686, 1135946, 1263802, 1207064, 1144040, 1142758, 1142953, 1136204, 1145583, 1140619, 1208439, 1145442, 1206050, 1265315, 1138701, 1145532, 1263813, 1207281, 1142714, 1149460, 1148778, 1142756, 1263428, 1149618, 1139712, 1207824, 1144911, 1143081, 1263881, 1206175, 1140276, 1142528, 1150223, 1141078, 1144336, 1143613, 1141202, 1146811, 1144359, 1148837, 1136968, 1264555, 1206644, 1143295, 1142228, 1136736, 1147221, 1147867, 1137786, 1207911, 1264280, 1208006]","[1034302, 1034349, 1034078, 1034321, 1235726, 1034214, 1235775, 1235763, 1034483, 1178842, 1034524, 1034056, 1034141, 1034197, 1034027, 1178771, 1034361, 1178845, 1034484, 1034178, 1034234, 1034508, 1034452, 1034592, 1034636, 1034328, 1034723, 1178781, 1034316, 1034140, 1034133, 1034441, 1034172, 1034676, 1034237, 1034756, 1034607, 1034122, 1034554, 1034110, 1235723, 1034031, 1034530, 1034504, 1034161, 1034613, 1235689, 1235764, 1034655, 1034503, 1034469, 1034379, 1034382, 1034644, 1235754, 1034236, 1034255, 1178799, 1034245, 1235744, 1034497, 1034030, 1034598, 1034764, 1034130, 1034491, 1178816, 1034516, 1034360, 1034430, 1034481, 1178768, 1034617, 1034187, 1034752, 1034420, 1034694, 1034778, 1034749, 1178855, 1034228, 1034679, 1034143, 1034102, 1235705, 1034241, 1034185, 1034561, 1034155, 1034385, 1178822, 1034550, 1034587, 1034160, 1235746, 1178798, 1034738, 1034063]","{'PRP': 0.07615470524112379, 'of': 0.07013548220250002, 'sentiment': 0.06048215490694714, 'NN': 0.05190895422344715, 'IN': 0.04745910294464337, 'VB': 0.045654546339597084, 'DT': 0.04524059415588945, 'which': 0.03488076485898292, 'the': 0.03001678738254418, 'to': 0.028670533751875227}"
0.495,0.4908760963806836,0.4948325754443985,0.495,0.5367,0,0.585,0.44505494505494503,0.49390243902439024,0.405,"[1263914, 1146055, 1146149, 1145631, 1139884, 1140625, 1146222, 1141060, 1139390, 1145933, 1139555, 1145965, 1145017, 840947, 1143226, 1143083, 1264287, 1207660, 1206865, 1206471, 1143685, 1136447, 1264349, 1141094, 1136494, 1143137, 1136351, 1139834, 1147286, 1142193, 1264190, 1138903, 1139352, 1146514, 1139765, 1141664, 1142024, 1206283, 1147099, 1146635, 1141213, 1137782, 1142801, 1135655, 1207446, 1147737, 1142253, 1139229, 1141317, 1149824, 1263571, 1148195, 1136056, 1138543, 1135768, 1142163, 1263486, 1148713, 1138085, 1264128, 1136982, 1265056, 1206792, 1147931, 1148020, 1207916, 1206887, 1263717, 1138217, 1149248, 1146460, 1145030, 1263737, 1144649, 1146456, 1208265, 1136248, 1137650, 1149987, 1136372, 1145304, 1263304, 1139073]","[1034655, 1178816, 1178770, 1034426, 1235736, 1034167, 1034638, 1178782, 1178774, 1034277, 1235709, 1034378, 1034358, 1034114, 1034446, 1235689, 1235760, 1034560, 1034153, 1034531, 1178787, 1034366, 1034035, 1034223, 1034483, 1034516, 1034678, 1034211, 1034328, 1178800, 1034724, 1034272, 1034185, 1034059, 1034152, 1034561, 1034401, 1034732, 1034497, 1034076, 1034255, 1034414, 1034720, 1034121, 1034102, 1034587, 1034130, 1034228, 1034441, 1034621, 1178856, 1235747, 1178855, 1034662, 1034089, 1034379, 1034136, 1034475, 1034199, 1235729, 1178819, 1034346, 1034321, 1034037, 1034075, 1034456, 1034674, 1034367, 1034711, 1235703, 1034574, 1034617, 1235693, 1034443, 1034753, 1034148, 1034504, 1034030, 1178788, 1034157, 1034165, 1235741, 1034626, 1178824, 1034308, 1034467, 1034451, 1034230, 1034197, 1034684, 1034521, 1034679, 1034755, 1034143, 1034512, 1034406, 1034115, 1034439, 1178772, 1034176, 1034529, 1034564, 1034337, 1034098, 1034231, 1034746, 1034291, 1034086, 1034719, 1178771, 1034605, 1235695, 1034083, 1034280, 1034673, 1034692, 1034285, 1235735, 1034437]","{'PRP': 0.0792755072090162, 'of': 0.06591707179662051, 'VB': 0.061531663542116526, 'NN': 0.058851535118822455, 'sentiment': 0.054919481302512674, 'IN': 0.04772005489414408, 'to': 0.03360720924228063, 'DT': 0.03322882713416015, 'RB': 0.03242421304780571, 'have': 0.03217841046071625}"
0.51,0.5098039215686275,0.5100160256410257,0.51,0.5,1,0.49,0.5196078431372549,0.5096153846153846,0.53,"[1148408, 1149470, 1141427, 1206187, 1141160, 1138499, 1144233, 1147169, 1148927, 1136980, 1263210, 1263096, 1148495, 1145343, 1206666, 1144408, 1139896, 1149612, 1138601, 1207284, 1149335, 1147922, 1139421, 1265005, 1206642, 1140754, 1145515, 1140799, 1135350, 1138659, 1148169, 1206789, 1145289, 840969, 1137548, 1149872, 1144086, 1140282, 1142134, 1150208, 1140437, 1143534, 1147397, 1136401, 1149069, 1141024, 1264271, 1206461, 1144729, 1143500, 1142720, 1137384, 1142788, 1142821, 1147193, 1142379, 1263855, 1140701, 1263386, 1206914, 1146426, 1138932, 1140482, 1143189, 1263027, 1139757, 1148847, 1135507, 1135530, 1137665, 1206458, 1263928, 1146330, 1149517, 1140051, 841356, 1138865, 1149107, 1149654, 1142816, 1149115, 1207455, 1206213, 1144587, 1139656, 1143004, 1265009, 1143024, 1141551, 1136482, 1208298, 1148128, 1147942, 1143420, 1147527, 1263039, 1146824, 1142614, 1145841, 1263402, 1147313, 1143782]","[1034407, 1034221, 1178817, 1034175, 1034323, 1034106, 1034786, 1034521, 1034623, 1034333, 1034674, 1034140, 1034038, 1034570, 1034306, 1235726, 1034324, 1034249, 1034705, 1034028, 1034292, 1034725, 1034713, 1034246, 1235767, 1034079, 1235769, 1034031, 1034604, 1034176, 1034074, 1034726, 1034482, 1235761, 1034582, 1034744, 1034134, 1034723, 1034432, 1235709, 1178772, 1034112, 1235725, 1034743, 1178830, 1034502, 1034139, 1034362, 1034495, 1178816, 1235696, 1034288, 1034154, 1034287, 1034659, 1178849, 1034465, 1034735, 1034027, 1034086, 1034694, 1034245, 1034660, 1034561, 1034404, 1034484, 1034332, 1034196, 1034290, 1034330, 1034626, 1178839, 1034428, 1034609, 1034779, 1034257, 1178833, 1034111, 1034592, 1034693, 1034078, 1034032, 1034144, 1178809, 1034118, 1178805, 1034361, 1034587, 1034781, 1034255, 1034152, 1034757, 1034084, 1034512]","{'PRP': 0.0842659270134006, 'of': 0.07012537009651655, 'sentiment': 0.05603580710327986, 'VB': 0.05506699616543255, 'NN': 0.051507803782923786, 'DT': 0.0364050067452209, 'IN': 0.035053189446446, 'NNS': 0.034313966111926476, 'have': 0.031214268783304185, 'RB': 0.028715514615708333}"
0.5175,0.517255610652893,0.5175355094065484,0.5175,0.52812,1,0.54,0.5063938618925832,0.518324607329843,0.495,"[1143400, 1137917, 1263876, 1137298, 1150342, 1142785, 1206405, 1143382, 1207121, 1146204, 1142505, 1148860, 1142619, 1142899, 1136087, 1150225, 1142485, 1138496, 1148871, 1207569, 1135635, 1207345, 1136491, 1149410, 1140592, 1145652, 1208176, 1148584, 1208119, 1142780, 1135799, 1145613, 1149247, 1140859, 1149151, 1206077, 1265330, 1138534, 1208343, 1207032, 1138192, 1137135, 1141455, 1264811, 1140585, 1140417, 1143568, 1135567, 1136339, 1142892, 1136931, 1148062, 1264190, 1140616, 1149987, 1137127, 1207319, 1147551, 1137207, 1145799, 1149035, 1139353, 1135657, 1137704, 1148908, 1143378, 1141125, 1145853, 1148521, 1137691, 1148654, 1265320, 1143643, 1263679, 1139679, 1147290, 1207496, 1139941, 1137818, 1146584, 1264508, 1145521, 1147002, 1139490, 1136203, 841029, 1263997, 1145917, 1207739, 1136606, 1146985, 1263825]","[1034747, 1034225, 1034751, 1235689, 1034614, 1034418, 1034680, 1034079, 1034679, 1034417, 1034521, 1034550, 1034155, 1034384, 1034263, 1034395, 1034711, 1034189, 1034595, 1034175, 1034078, 1034421, 1034223, 1235722, 1034622, 1178773, 1034204, 1034124, 1034574, 1235693, 1034339, 1034391, 1178774, 1034236, 1034484, 1034658, 1034428, 1034198, 1235738, 1034516, 1034358, 1034131, 1034763, 1034764, 1034306, 1034153, 1034496, 1034754, 1034413, 1034552, 1034555, 1178842, 1034301, 1034083, 1034299, 1034326, 1034355, 1235730, 1034753, 1178798, 1034102, 1178772, 1034364, 1034047, 1034333, 1034647, 1034720, 1178806, 1034245, 1034503, 1034119, 1034230, 1034732, 1034598, 1034709, 1034314, 1034232, 1178833, 1034239, 1034442, 1034722, 1034786, 1034414, 1034157, 1034056, 1235753, 1034464, 1034582, 1235747, 1034152, 1034452, 1034623, 1034063, 1235713, 1034228, 1235735, 1034781, 1178823, 1034520, 1034467, 1034748]","{'PRP': 0.0674905719934091, 'of': 0.06551042347368405, 'sentiment': 0.056963984698881476, 'VB': 0.05539197326232076, 'NN': 0.05444750842570783, 'IN': 0.04504215459806061, 'DT': 0.036281319264315166, 'the': 0.0309408525741265, 'have': 0.03092652276572174, 'RB': 0.03085286537454271}"
0.5625,0.562365974579715,0.562576656404095,0.5625,0.55471,1,0.545,0.5700245700245701,0.5603864734299517,0.58,"[1142266, 1140453, 1149391, 1147567, 1143859, 1144964, 1138455, 1147952, 1264400, 1207207, 1144237, 1142544, 1139540, 1138953, 1140879, 1206514, 1148720, 1149758, 1144835, 1208188, 1148187, 1139065, 1142833, 1149341, 1137251, 1149540, 1150113, 1137442, 1264821, 1145542, 1265191, 1146383, 1143472, 1150478, 1264183, 1145820, 1136794, 1143067, 1145079, 1206368, 1145813, 1137699, 1145015, 1264994, 1207295, 1264770, 1148220, 1138678, 1142307, 1206325, 1206200, 1141483, 1143746, 1143534, 1149603, 1147014, 1263945, 1264847, 1141437, 1148538, 1144599, 1148197, 1146872, 1145329, 1207463, 1206867, 1146579, 1140059, 1148201, 1148759, 841485, 1136942, 1140963, 1206394, 1135704, 1263399, 1145674, 1138947, 1149966, 1139586, 840979, 1137297, 1206760, 1207260, 1263344, 1150045, 1142271, 840865, 1148337, 1143144, 1263251]","[1034218, 1034076, 1034385, 1034214, 1034089, 1034059, 1034305, 1034564, 1034234, 1034371, 1034122, 1034455, 1034569, 1178804, 1034529, 1034108, 1034090, 1235749, 1235776, 1034633, 1034445, 1034082, 1235742, 1034573, 1034542, 1235766, 1235698, 1178824, 1178799, 1034729, 1034720, 1178823, 1034259, 1034260, 1034133, 1034160, 1034420, 1034472, 1235769, 1235722, 1034401, 1034291, 1178806, 1034263, 1034231, 1034456, 1034504, 1034197, 1034762, 1034176, 1178817, 1034525, 1034131, 1034593, 1034640, 1034285, 1034246, 1034694, 1034040, 1178839, 1034418, 1034749, 1034161, 1034553, 1034611, 1034759, 1178803, 1034223, 1034044, 1034211, 1178768, 1235696, 1034477, 1034336, 1034166, 1034675, 1178769, 1178848, 1034332, 1034078, 1034449, 1034605, 1034109, 1034733]","{'PRP': 0.07368811691557663, 'of': 0.06369260229342918, 'VB': 0.06094452106752761, 'sentiment': 0.05502813539038927, 'have': 0.04908148530812259, 'NN': 0.04662998325768478, 'DT': 0.042567259595545845, 'NNS': 0.03458846409224996, 'IN': 0.032667337307223564, 'mean_sen_len': 0.03255181265991512}"
