accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.505,0.5037593984962406,0.5050505050505051,0.505,0.52857,1,0.555,0.4789473684210526,0.5055555555555555,0.455,"[1137788, 1138133, 1207197, 1148818, 1137065, 1143958, 1149104, 1206469, 1149113, 1147519, 1137641, 1136481, 1137087, 1208313, 1140012, 1147711, 1207494, 1139721, 1135756, 1142214, 1138819, 1148079, 1139963, 1136484, 1148099, 1146472, 1138556, 1145872, 1140271, 841236, 1139932, 1143266, 841353, 1143017, 1143312, 1206884, 1138108, 1149661, 1143201, 1146942, 1207409, 1263393, 1265268, 1135599, 1264031, 1141274, 1140286, 1138614, 1207595, 1147576, 1146346, 1141153, 1142810, 1144297, 1207837, 1139406, 1142500, 1206206, 1138661, 840912, 1136308, 1207738, 1139039, 1206263, 1264748, 1264906, 1140826, 1208222, 1264619, 1144227, 1137772, 1207081, 1208476, 1141944, 1145904, 1143079, 1138913, 1140156, 1137573, 1148046, 1263122, 1207975, 1147939, 1145632, 1141133, 1150376, 1141735, 1263078, 1150365]","[1236168, 1236127, 1037738, 1179158, 1037177, 1037159, 1179154, 1037812, 1236079, 1037706, 1037522, 1236134, 1037284, 1037457, 1236114, 1037545, 1236087, 1037084, 1236139, 1179174, 1037795, 1037108, 1179240, 1037315, 1179180, 1037113, 1037274, 1037539, 1037111, 1037836, 1037533, 1037362, 1037380, 1179205, 1037460, 1037602, 1037685, 1037316, 1037722, 1037580, 1236132, 1037705, 1037156, 1037537, 1037165, 1236101, 1179171, 1236143, 1037592, 1179228, 1037251, 1037771, 1037148, 1037088, 1037162, 1037555, 1037548, 1037502, 1037236, 1236074, 1037271, 1037490, 1037745, 1037217, 1037408, 1037229, 1037340, 1037552, 1037711, 1037714, 1037150, 1037370, 1037594, 1037190, 1037305, 1037194, 1236124, 1037227, 1037597, 1037301, 1037218, 1037698, 1037733, 1236104, 1037531, 1037842, 1179160, 1037410, 1037702, 1037483, 1037117, 1236154, 1037484, 1179175, 1037601, 1037628, 1037682, 1037618, 1037807, 1037813, 1037401, 1037487, 1037425, 1179172, 1037145, 1179183, 1037250, 1037147, 1236086]","{'sentiment': 0.07699305068856623, 'of': 0.0726820799419387, 'PRP': 0.07177161223136821, 'NN': 0.047625938023451615, 'DT': 0.04619192957258799, 'VB': 0.0419776202329011, 'have': 0.039452348062941, 'IN': 0.03765580075865346, 'i': 0.035108028277014564, 'to': 0.032789814044977265}"
0.49,0.4895405865278751,0.48996386993175434,0.49,0.50485,0,0.52,0.4742268041237113,0.48936170212765956,0.46,"[1142831, 1138437, 1143794, 1148489, 1140829, 1148621, 840900, 1147289, 1140081, 1140960, 1135780, 1142583, 1147098, 1136153, 1136337, 1208131, 1145693, 1136659, 1263877, 1135525, 1138819, 841138, 1146901, 1148987, 841440, 1141752, 1139577, 1262873, 1139706, 1208000, 1149430, 1139156, 1146943, 1149379, 1141133, 1263058, 1207734, 1137740, 1135897, 1143088, 1207240, 1136900, 1143367, 1207375, 1140880, 1148149, 1206048, 1208338, 1135533, 1142791, 1141689, 1142170, 1136726, 840978, 1265278, 1207369, 1145146, 1143631, 1148170, 1264939, 1146454, 1140180, 1149672, 1264418, 1141757, 1136485, 1145571, 1208086, 1138595, 1145988, 1148777, 1142249, 1144145, 1147811, 1208015, 1146866, 1264834, 1143577, 1136939, 1144793, 1143924, 1208016, 1145463, 1144265, 1264907, 1208304, 1136928, 1148853, 1145698, 1264952, 1265048, 1148128, 1145381, 1207835, 1136562, 1207178]","[1179178, 1236152, 1037699, 1037159, 1037150, 1037421, 1037797, 1037539, 1236158, 1037604, 1236089, 1236130, 1037301, 1037089, 1037491, 1037697, 1037169, 1037651, 1236138, 1037799, 1037462, 1037277, 1236113, 1037833, 1037222, 1037204, 1037736, 1037575, 1037725, 1037263, 1037843, 1037558, 1037822, 1037617, 1037807, 1037083, 1179203, 1236165, 1037678, 1236135, 1037580, 1037073, 1037144, 1179166, 1037586, 1179163, 1037122, 1037099, 1037165, 1037382, 1037738, 1037350, 1037700, 1037416, 1236139, 1037412, 1037827, 1037572, 1037601, 1037611, 1037084, 1236097, 1037074, 1179235, 1037801, 1037663, 1037407, 1037815, 1037376, 1037288, 1037705, 1037413, 1037690, 1037097, 1037143, 1179212, 1037638, 1037305, 1037578, 1037503, 1236099, 1037561, 1179199, 1037563, 1037744, 1037425, 1236072, 1037511, 1037195, 1236077, 1037525, 1037821, 1179171, 1179183, 1037111, 1236164, 1236117, 1037076, 1037336, 1037346, 1037268, 1037713, 1037246, 1037308, 1236081, 1037488, 1037304, 1037593]","{'PRP': 0.08117326087761983, 'of': 0.07346609934997964, 'sentiment': 0.0617864341642177, 'NN': 0.055262832392494084, 'VB': 0.05070564779078829, 'DT': 0.04367947394564139, 'IN': 0.04040830996051294, 'NNS': 0.03155238035346472, 'the': 0.029991816595916255, 'i': 0.028934567556099754}"
0.4825,0.4801313484564045,0.4821751419622622,0.4825,0.51522,0,0.55,0.4450402144772118,0.4797687861271676,0.415,"[1140531, 1263844, 1146596, 1135825, 1147534, 1138783, 1262928, 1148387, 1265088, 1138258, 1264254, 1143545, 1146979, 1263027, 1148106, 1135508, 1136522, 1138127, 1141802, 1138865, 1262932, 1150231, 1148865, 1139902, 1263487, 1138071, 1142623, 1150045, 1148414, 1265109, 1145052, 1138209, 1142822, 841150, 1149549, 1144185, 1143479, 1263566, 1140129, 1141386, 1141103, 1206892, 1206533, 1148252, 1141395, 1147514, 1144857, 1142854, 1142445, 1145552, 1137415, 1146042, 1137070, 1265087, 1263481, 1144478, 1138468, 1148684, 1137790, 841457, 1145502, 1147323, 1264957, 1206826, 1145638, 1140418, 1147135, 1263746, 1146240, 1139254, 1149108, 1143661, 840937, 1263731, 1149947, 1147853, 1207335, 1149497, 1136912, 1144674, 1140929, 1146694, 1147870, 1206152, 1146980, 1206084, 1144255, 1144203, 1264821, 1264885]","[1179178, 1236154, 1179211, 1037302, 1179205, 1037776, 1236164, 1037595, 1037259, 1236135, 1037416, 1037274, 1236072, 1037358, 1037478, 1236161, 1037680, 1037465, 1037771, 1037705, 1037457, 1037421, 1037721, 1037501, 1179169, 1037747, 1236099, 1037589, 1236077, 1236109, 1037744, 1037700, 1037487, 1037610, 1037806, 1037612, 1037183, 1037168, 1037249, 1037156, 1037172, 1037569, 1179235, 1236162, 1037166, 1037520, 1037514, 1037401, 1037829, 1236139, 1037692, 1037220, 1037228, 1037301, 1037529, 1037346, 1037437, 1037810, 1037147, 1037171, 1037777, 1037632, 1037352, 1236165, 1037526, 1037661, 1037143, 1037539, 1037246, 1037799, 1037436, 1037554, 1037847, 1037555, 1037075, 1037197, 1179150, 1037349, 1037196, 1037551, 1236114, 1236163, 1037459, 1037276, 1037222, 1179203, 1037798, 1037345, 1037387, 1037672, 1037084, 1037673, 1037814, 1236093, 1236085, 1037411, 1037827, 1037173, 1037113, 1037781, 1037462, 1236143, 1037154, 1037568, 1037480, 1037281, 1037430, 1179236, 1236074, 1037289, 1037167, 1037423, 1037282, 1037637, 1037250, 1037657, 1037563]","{'PRP': 0.06792734296089027, 'of': 0.06764380711452322, 'sentiment': 0.05863872435172619, 'NN': 0.05715386366050256, 'IN': 0.048972383762050424, 'VB': 0.048800868104915324, 'to': 0.04768580930800991, 'DT': 0.03741366458332634, 'i': 0.031211254858252498, 'have': 0.027517764943122077}"
0.4925,0.4908165120931078,0.49239948316485527,0.4925,0.52009,0,0.55,0.46153846153846156,0.4915254237288136,0.435,"[1139175, 1208258, 1206342, 1147795, 1263286, 1147315, 1137221, 1146321, 1142173, 1145117, 1206566, 1147972, 1142396, 1263141, 1138278, 1141323, 1139848, 1142750, 1147470, 1148016, 1136881, 1263958, 1146599, 1149067, 1146912, 1207292, 1150192, 1148357, 1138885, 1139123, 1142020, 1137043, 1207722, 1142155, 1144449, 1139977, 1148783, 1142301, 1146168, 1149138, 1150305, 1143727, 1135350, 1207072, 1138493, 1141403, 1208418, 1145184, 1208498, 1150353, 1146049, 1265295, 1264422, 1207097, 1208339, 1264007, 1141514, 1147571, 841485, 1147669, 1263002, 1264982, 1263780, 1137337, 1206783, 1143472, 1148979, 1206699, 1146579, 1264213, 1138812, 1139428, 1140191, 1143195, 1142280, 1135854, 1207518, 1141443, 1263580, 1138979, 1146239, 1146240, 1148493, 1263297, 1136497, 1137238, 1147297, 1139910, 1138644, 1143623]","[1037176, 1037779, 1037293, 1037719, 1037777, 1236112, 1037442, 1037111, 1236132, 1037593, 1037189, 1037086, 1037234, 1037277, 1037084, 1037592, 1037526, 1037680, 1236081, 1037823, 1037521, 1037284, 1037341, 1037601, 1037145, 1179204, 1037691, 1037837, 1236107, 1037640, 1037576, 1037427, 1179164, 1037274, 1037620, 1037628, 1037403, 1037337, 1037180, 1037472, 1037202, 1179178, 1037595, 1037737, 1037214, 1037292, 1037182, 1037747, 1037298, 1037232, 1037212, 1037606, 1236158, 1037627, 1037342, 1037818, 1037555, 1037177, 1236125, 1037787, 1179192, 1037281, 1179155, 1037236, 1037648, 1037172, 1037824, 1179222, 1037544, 1236142, 1037276, 1179199, 1179159, 1037733, 1037745, 1037571, 1037136, 1179206, 1037401, 1037634, 1037491, 1037157, 1037536, 1037295, 1179242, 1037518, 1037407, 1037354, 1179174, 1037840, 1037501, 1037261, 1037654, 1037657, 1037132, 1236162, 1037604, 1037789, 1037548, 1037803, 1037655, 1037684, 1037262, 1037834, 1037672, 1037329, 1037196, 1037203, 1179210, 1236124, 1236149, 1037687, 1037376]","{'of': 0.07197621675595661, 'PRP': 0.06915590761988748, 'sentiment': 0.05668426439619681, 'VB': 0.05582518537520893, 'NN': 0.0507023576294196, 'DT': 0.04081627780376769, 'have': 0.03795879562136002, 'IN': 0.0374269926736043, 'mean_sen_len': 0.02808930394606584, 'the': 0.0275943746636198}"
0.5075,0.5073491256697364,0.5075091987684914,0.5075,0.51597,1,0.525,0.49872773536895676,0.5077720207253886,0.49,"[1136830, 1207250, 1143373, 1150175, 1264111, 1150240, 1147430, 1206788, 1145427, 1142197, 1146126, 1138908, 1208382, 1143150, 1264099, 1138554, 1138443, 1139474, 1139005, 1143124, 1136256, 841083, 1144931, 1140809, 1207745, 1150224, 1143993, 1148277, 1137323, 1144302, 1148785, 1148395, 841355, 1207871, 1137637, 1207339, 1141024, 1135841, 1141489, 1142126, 1141764, 1143950, 1136829, 1150234, 1135666, 1263395, 1144086, 1135343, 1263261, 1206044, 1264355, 1207428, 840971, 1149000, 1135499, 1150289, 1141735, 1263355, 1139934, 1265163, 1145625, 1145571, 1135465, 1264063, 1149080, 1146275, 1144488, 1146881, 1263622, 1208471, 1207601, 1142831, 1265116, 1263765, 1147612, 1142059, 1148050, 1142468, 1150496, 1144851, 1206882, 1141990, 1142471, 1142644, 1147067, 1135655, 1146090, 1149185, 1139208, 1264603, 1145511, 1140072, 841249, 841410, 1206206]","[1179183, 1037515, 1037080, 1037679, 1037516, 1037577, 1179175, 1037275, 1037332, 1037227, 1037673, 1037211, 1236107, 1037733, 1037576, 1037121, 1037175, 1037840, 1037419, 1236111, 1236103, 1236122, 1236081, 1037214, 1037101, 1179211, 1037460, 1037290, 1037236, 1037428, 1037504, 1037073, 1037747, 1179163, 1037148, 1179146, 1037365, 1037771, 1236104, 1037403, 1037670, 1037593, 1037471, 1037436, 1037354, 1037525, 1037753, 1037385, 1179156, 1037144, 1037592, 1037831, 1037414, 1037176, 1037787, 1037097, 1037208, 1236152, 1179160, 1037116, 1037168, 1037627, 1037136, 1236113, 1179236, 1037373, 1037620, 1037473, 1179202, 1037752, 1236101, 1236114, 1037255, 1236149, 1037537, 1037239, 1037548, 1037194, 1037216, 1037129, 1037511, 1037772, 1037805, 1037371, 1037412, 1236079, 1037543, 1037245, 1037427, 1236106, 1037130, 1037824, 1236154, 1037789, 1037272, 1037839, 1037712, 1037565, 1037320, 1037725, 1037797, 1037745]","{'PRP': 0.07622964068683345, 'sentiment': 0.06358801145693553, 'VB': 0.05955831243619773, 'of': 0.05405562393497505, 'NN': 0.053661669590014206, 'have': 0.036911659006325696, 'IN': 0.0346293826552782, 'DT': 0.03376658848992003, 'to': 0.03058812269663089, 'the': 0.030403828665956104}"
0.4725,0.47075016774209727,0.47213143827113574,0.4725,0.50118,0,0.53,0.4403183023872679,0.4689265536723164,0.415,"[1206333, 1263364, 1142728, 1143674, 1136063, 1148983, 1148967, 1208475, 841221, 1148181, 1206047, 841206, 1146687, 1147486, 1264444, 1146768, 1136621, 1148097, 1263928, 1263342, 1149398, 1144422, 1142507, 1139693, 1265299, 1264023, 1138845, 1208043, 1145182, 1135955, 1264422, 1142457, 1136713, 1142196, 1138215, 1206152, 1141232, 1142078, 1149473, 1137529, 1139277, 1263931, 1149603, 1137327, 1149427, 1148676, 1143669, 1147544, 1142165, 1149517, 1138758, 1207917, 1263123, 1139813, 1142758, 1206792, 1264523, 1146919, 1142694, 1148444, 1262880, 1137430, 1265216, 1137931, 1262903, 1140481, 1148313, 1147272, 1150413, 1141829, 1146584, 1137398, 1144821, 1141875, 1265035, 1207783, 1142546, 1207376, 1148499, 1146904, 1143677, 1208281, 841399, 1148704, 1142513, 1142666, 1136560, 1149712, 1207315, 1147547, 1264062, 1136966, 1144369, 1148080]","[1037416, 1037495, 1037606, 1037339, 1037501, 1037388, 1037385, 1037104, 1037276, 1037592, 1037749, 1179210, 1037355, 1179175, 1037370, 1037516, 1037659, 1037362, 1037101, 1037162, 1037309, 1037511, 1037127, 1037147, 1037841, 1037608, 1037081, 1037239, 1179169, 1037811, 1037206, 1037275, 1037482, 1037428, 1037175, 1037843, 1179164, 1236090, 1037697, 1037579, 1037628, 1037460, 1037436, 1037156, 1037772, 1037500, 1037668, 1179209, 1236085, 1037691, 1179212, 1037214, 1037513, 1037380, 1037376, 1236101, 1179242, 1037319, 1037817, 1179178, 1037515, 1037197, 1037774, 1037583, 1037144, 1037111, 1037781, 1236091, 1236149, 1037494, 1037139, 1037391, 1037177, 1236082, 1037222, 1179190, 1179219, 1037473, 1179176, 1037491, 1037536, 1037776, 1037148, 1037671, 1037425, 1236127, 1179240, 1037533, 1037165, 1037315, 1037780, 1037779, 1037262, 1037169, 1236165, 1236105, 1037401, 1037349, 1037698, 1037508, 1037814, 1037543, 1037357, 1037252, 1037213, 1037297, 1179236, 1037809, 1037687, 1037116, 1037680, 1037108, 1037655, 1037095, 1037211, 1037325, 1037308]","{'PRP': 0.08110171233826469, 'of': 0.07128577310486316, 'sentiment': 0.05807857072640291, 'VB': 0.053390599800352045, 'NN': 0.04980963846129735, 'DT': 0.04660806742567346, 'IN': 0.03889126918964585, 'the': 0.0385104676112666, 'have': 0.034867628771012495, 'NNS': 0.033302898115578856}"
0.515,0.5129421807135146,0.5152578577967654,0.515,0.48128,1,0.45,0.5446009389671361,0.5132743362831859,0.58,"[1264244, 1142999, 1208278, 1144060, 1206783, 1140352, 1144163, 1139678, 1142737, 1147024, 1142755, 1141285, 1263929, 1207961, 1139682, 1142846, 1143799, 1263203, 1138258, 1206913, 1150453, 1137143, 1147383, 1142487, 1263561, 1139503, 1264586, 1264428, 1207460, 1146059, 841186, 841390, 1263833, 1146210, 1262883, 1208191, 1149548, 1208034, 1207290, 1139668, 1150362, 1145401, 1264585, 1146341, 1138846, 1264877, 1142643, 1139003, 1143931, 1206052, 1139917, 1147010, 1147125, 1137548, 1139688, 1148190, 1149160, 1144598, 1265185, 1143967, 1147701, 1137531, 1137336, 1140657, 1147862, 1147511, 1145931, 1141365, 1142621, 1265116, 1207424, 1264050, 1264009, 1264837, 841148, 1207783, 1140644, 1208227, 1136358, 1143198, 1207601, 1144602, 1144230, 1207747, 1140003, 1136975, 1145811, 1263826, 1145029, 1206139, 1145535, 1148934, 1137671, 1147030, 1146527, 1141092, 1138754, 1149008, 1139691, 1144158, 1139202, 1263381, 1136999, 1146768, 841372, 1264500, 1142653, 1264463, 1206484, 1147062]","[1037655, 1037315, 1236129, 1037827, 1037760, 1037340, 1179162, 1037314, 1037408, 1037465, 1236113, 1037803, 1037337, 1037561, 1037363, 1236130, 1037159, 1037436, 1037667, 1037572, 1179181, 1037801, 1037666, 1037376, 1037127, 1037361, 1037504, 1037733, 1037643, 1037165, 1037206, 1037316, 1037671, 1037075, 1037696, 1037539, 1037241, 1037842, 1037502, 1037136, 1037749, 1037461, 1236105, 1037427, 1037229, 1037698, 1037686, 1037566, 1179152, 1236144, 1037202, 1037732, 1037768, 1179151, 1037359, 1037722, 1037458, 1037843, 1037675, 1037463, 1037542, 1037318, 1037466, 1037593, 1037183, 1037663, 1037412, 1236156, 1179155, 1037223, 1037824, 1179167, 1179163, 1037697, 1236081, 1179201, 1037552, 1037692, 1037459, 1037293, 1037834, 1037141, 1179238, 1037475]","{'PRP': 0.08195561041355773, 'of': 0.07382400049330484, 'NN': 0.0562741802422295, 'sentiment': 0.052129847203023695, 'VB': 0.047355454360944606, 'the': 0.04188325583079669, 'DT': 0.04063606803112933, 'have': 0.03797334575229818, 'IN': 0.03671018352146778, 'NNS': 0.027231177452767357}"
0.5175,0.5060116842314066,0.5192949089004658,0.5175,0.58134,1,0.67,0.4306784660766962,0.5251798561151079,0.365,"[1140648, 1136905, 1142716, 1139834, 1263026, 1147998, 1206464, 1140891, 1144870, 1265114, 1264756, 1137539, 1206212, 1142254, 1138430, 1147436, 1208169, 1139652, 1142259, 1207097, 1265036, 1206558, 1207670, 1147875, 1135766, 1149743, 1264952, 1139227, 1263940, 1206913, 1207058, 1147386, 1142778, 1136229, 1139194, 1143071, 1206565, 1263865, 1149643, 1148336, 1143874, 1135739, 1148410, 1142162, 1138598, 1144861, 1145194, 1135855, 1262993, 1139025, 1150182, 1144514, 1144507, 1206742, 1144784, 1148034, 1148335, 1149168, 1265066, 1144043, 1150316, 1147181, 1137974, 1139308, 1264301, 1139970]","[1037551, 1037474, 1037576, 1179157, 1037602, 1037647, 1037504, 1037086, 1037462, 1037771, 1037425, 1236152, 1037812, 1037075, 1037390, 1037552, 1037415, 1037529, 1037715, 1037290, 1037294, 1037430, 1037214, 1037362, 1037637, 1179235, 1179150, 1236081, 1037304, 1037563, 1037296, 1037316, 1037461, 1037610, 1037548, 1037565, 1037262, 1037670, 1236078, 1037399, 1037713, 1037227, 1037685, 1037166, 1037225, 1037592, 1037149, 1037542, 1037603, 1037154, 1037195, 1037682, 1037465, 1037081, 1037614, 1037544, 1037428, 1037483, 1236091, 1037766, 1037620, 1037389, 1037218, 1037176, 1037627, 1037308, 1037175, 1179233, 1037373, 1037780, 1037484, 1179199, 1236086, 1037549, 1179183, 1037423, 1179147, 1236168, 1037165, 1037217, 1037231, 1037342, 1037211, 1037847, 1037436, 1037108, 1037781, 1236138, 1037525, 1037518, 1037293, 1236154, 1236077, 1037079, 1037247, 1236114, 1037802, 1037337, 1037343, 1179153, 1037606, 1037074, 1037473, 1037309, 1037336, 1037162, 1179164, 1037594, 1037539, 1037417, 1037147, 1037182, 1037823, 1037612, 1179239, 1037809, 1037234, 1236125, 1037762, 1037397, 1037774, 1037092, 1037667, 1037787, 1037172, 1037252, 1037112]","{'of': 0.08029643236654403, 'sentiment': 0.06687256671847887, 'PRP': 0.06315802395942252, 'NN': 0.05841359368193821, 'IN': 0.05259348089918271, 'VB': 0.04954340783979015, 'which': 0.03322934139257105, 'RB': 0.033182829144949216, 'DT': 0.03174449964492367, 'NNS': 0.029401759197357644}"
0.5175,0.5133359809873228,0.5181201625637442,0.5175,0.55835,1,0.61,0.46831955922865015,0.5214723926380368,0.425,"[1140073, 1262895, 1147508, 1264094, 1140540, 1148426, 1144557, 1206238, 1141524, 1146200, 1149169, 1136632, 1141787, 1145691, 1136451, 1139501, 1139407, 1138330, 1137413, 1206458, 1143100, 1149479, 1263754, 1149466, 1145228, 1137043, 1145589, 1206365, 1137685, 1148295, 1206405, 1147114, 1140310, 1136865, 1264977, 1141386, 1139838, 1143104, 1143343, 1144164, 841099, 1149265, 1142678, 1150304, 1262876, 1264975, 1263742, 1145361, 1139234, 1142282, 1150215, 1207977, 1143561, 1135453, 1149652, 1206680, 1138363, 1263501, 1264763, 1140145, 1149394, 1146013, 1141569, 1146702, 1208475, 1207253, 1140959, 1145508, 1208209, 1144084, 1142030, 1143139, 1143156, 1137798, 1148822, 1139108, 1136754, 1146419]","[1236139, 1037789, 1037379, 1037415, 1179229, 1236103, 1037399, 1037762, 1236150, 1037071, 1037836, 1037604, 1037627, 1037157, 1037586, 1037097, 1037380, 1037578, 1037177, 1037548, 1037576, 1037239, 1037680, 1037451, 1037340, 1236121, 1037802, 1037246, 1037805, 1179152, 1037659, 1037621, 1037394, 1037153, 1037610, 1179228, 1236127, 1037480, 1037771, 1037597, 1037715, 1037839, 1037837, 1037817, 1037838, 1037211, 1037648, 1037428, 1037685, 1037842, 1037753, 1037159, 1037760, 1037555, 1037709, 1037559, 1037322, 1179157, 1236097, 1037127, 1037780, 1037309, 1037593, 1236104, 1037737, 1037314, 1037357, 1179236, 1037108, 1179212, 1037148, 1037362, 1037419, 1037111, 1236099, 1037793, 1179154, 1037657, 1236149, 1037075, 1037644, 1037166, 1179205, 1037592, 1037745, 1037226, 1037412, 1179183, 1037430, 1037113, 1236138, 1037781, 1037537, 1037371, 1037400, 1037350, 1037523, 1037359, 1037274, 1037459, 1037531, 1179169, 1037714, 1037529, 1037305, 1037471, 1179219, 1037801, 1037352, 1037190, 1037073, 1037691, 1179172, 1037504, 1037543]","{'PRP': 0.08745200690637034, 'of': 0.07010212932439291, 'sentiment': 0.06546183871826997, 'NN': 0.057117809926160376, 'VB': 0.0521353849004567, 'DT': 0.03890736685694139, 'IN': 0.038268917000506456, 'i': 0.03711430212267347, 'RB': 0.03277329138238401, 'have': 0.031061789513163962}"
0.485,0.48343739812934117,0.48481627695110846,0.485,0.51185,0,0.54,0.455026455026455,0.48314606741573035,0.43,"[1143747, 1149634, 1143651, 1148152, 1147919, 1140664, 1147426, 1140684, 1138285, 1137272, 1147453, 1147189, 1146468, 1145135, 1137817, 1264068, 1262899, 1207025, 841220, 1149573, 1263455, 1147108, 1263309, 1141875, 1143163, 1144381, 1206998, 1139279, 1141888, 1264059, 1145671, 1147101, 1262959, 1136125, 1141860, 1139872, 1137673, 1206783, 1145606, 1145869, 1143317, 1146891, 840956, 1206541, 1143528, 1144179, 1141155, 1148827, 1264583, 1142744, 1149568, 1143099, 1138365, 1139693, 1138405, 1143147, 1150358, 1206039, 1263905, 1139700, 1145331, 1206119, 1144372, 1148467, 1147531, 1140103, 1148404, 1263042, 1263038, 1140110, 1148106, 1150237, 1264468, 1146625, 1206281, 1264542, 1147543, 1139451, 1265309, 1145833, 1135424, 1137512, 1137132, 1206795, 1207438, 841432, 1148543, 1142978, 1148890, 1141133, 1138900, 1146328]","[1037302, 1037628, 1037601, 1037381, 1037215, 1037537, 1037159, 1037093, 1037840, 1037466, 1037714, 1037101, 1236081, 1037464, 1037088, 1037781, 1037491, 1037314, 1037471, 1037315, 1236149, 1037397, 1037105, 1037771, 1037401, 1037685, 1236131, 1037284, 1037470, 1037235, 1179216, 1037673, 1037263, 1037569, 1037805, 1236086, 1037676, 1179236, 1037565, 1037319, 1037282, 1037154, 1037640, 1037638, 1037209, 1037787, 1037632, 1037536, 1037386, 1037514, 1037483, 1037145, 1037203, 1037121, 1037587, 1037366, 1179147, 1236115, 1037083, 1037695, 1037460, 1037170, 1037636, 1037334, 1037150, 1037749, 1037802, 1236154, 1037304, 1037571, 1037847, 1037232, 1037234, 1037238, 1037111, 1037265, 1037130, 1236165, 1037712, 1037544, 1037798, 1037442, 1037141, 1037675, 1037361, 1037705, 1037581, 1037652, 1037322, 1037481, 1037679, 1037391, 1037724, 1037577, 1037752, 1037812, 1037305, 1037584, 1037122, 1037288, 1236099, 1037295, 1037272, 1236101, 1037691, 1037218, 1236082, 1037733, 1179170, 1037795, 1037465, 1236138, 1236097, 1037112]","{'sentiment': 0.07499387288087783, 'of': 0.0731008767037485, 'PRP': 0.06195176052727465, 'NN': 0.05405739657679028, 'VB': 0.0497887958351608, 'DT': 0.04068041995670022, 'IN': 0.0368190575440758, 'to': 0.03535673809692095, 'the': 0.032241907946061306, 'NNS': 0.03000263766907811}"
