,Key,Count,Mean Score
0,of,100,0.06718334039505815
1,PRP,100,0.07604820593862636
2,sentiment,100,0.05968005060680598
3,NN,100,0.05463125241969094
4,VB,100,0.054272593021506055
7,DT,98,0.03811501936667502
5,IN,96,0.039225195894891145
6,to,66,0.0360480591022635
12,have,57,0.0355187209130462
13,the,39,0.03254267177765742
9,NNS,37,0.034180372532608805
11,RB,34,0.032526080196359414
8,i,30,0.03338428909218723
10,mean_sen_len,23,0.03190561615759681
14,which,19,0.03069247894420353
15,had,1,0.032497048171598944
