,Key,Count,Mean Score
0,PRP,100,0.07544783996199247
1,sentiment,100,0.0607116308528713
2,NN,100,0.05323791386615451
3,of,100,0.06793616509920387
4,VB,100,0.052256768515483554
7,DT,99,0.03815116544862278
9,IN,96,0.039426597405756006
5,have,63,0.034164197983691844
10,to,60,0.03630753741772154
8,RB,38,0.03236280197534088
11,the,38,0.03268651672073315
12,NNS,35,0.034164923860477765
14,i,32,0.031505370021531504
6,mean_sen_len,20,0.033376429683207566
13,which,18,0.03332463258553578
15,a,1,0.03055116813191045
