accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.5825,0.5173096516391962,0.679435593496819,0.5825,0.6947,1,0.95,0.33992094861660077,0.8113207547169812,0.215,"[1190474, 1189027, 1189861, 1190201, 1189807, 1189620, 1089206, 1189034, 1088698, 1189113]","[897381, 897888, 897498, 897914, 897486, 897850, 897515, 897701, 1218647, 897807, 897476, 897444, 1218668, 1218621, 897496, 897385, 1161808, 897435, 1161819, 897826, 1161848, 897788, 1218641, 897763, 1218688, 897645, 897603, 1218659, 897686, 897862, 897451, 897488, 1161840, 897844, 897881, 897860, 1161818, 897842, 897777, 1218691, 897388, 1218692, 1161821, 1161805, 897545, 897662, 897361, 897776, 897667, 897676, 897544, 1218656, 897670, 897923, 897641, 1161792, 897612, 1161784, 897454, 897314, 1161825, 897410, 897331, 897795, 897887, 897764, 1161781, 1161847, 897312, 1161793, 897427, 897754, 897672, 897466, 897739, 897643, 897349, 897347, 897623, 897717, 1218667, 897332, 1161816, 897338, 1161775, 897431, 897874, 1161811, 897446, 897597, 897502, 897528, 897386, 897658, 897894, 1218626, 897885, 897841, 1161782, 897318, 897323, 897785, 1218655, 897736, 1218666, 897369, 897651, 897827, 897708, 897917, 897416, 897536, 897572, 1218645, 897618, 897611, 1161789, 897541, 1218617, 1218644, 897521, 897504, 897798, 897443, 897393, 897531, 897637, 897464, 897463, 897690, 897473, 897600, 897752, 897873, 897908, 897334, 1218689, 897876, 897806, 1218674, 897774, 897635, 897526, 897909, 897380, 897457, 897622, 897818, 897649, 1218672, 1161817, 897569, 897852, 1218653, 897374, 1218657, 1218620]","{'of': 0.0760061678045734, 'PRP': 0.07323848169734097, 'sentiment': 0.05673847798008119, 'NN': 0.05442545953603775, 'VB': 0.051754577679808, 'IN': 0.0427048747691137, 'to': 0.03885536638118104, 'DT': 0.03826460733865912, 'i': 0.02995110848034183, 'which': 0.028561084761471508}"
0.59,0.5577607593571352,0.6270468661773009,0.59,0.67717,1,0.86,0.4383561643835616,0.6956521739130435,0.32,"[1190068, 1154381, 1189824, 836660, 1245370, 836728, 1246586, 1189298, 1189592, 1190791, 1089545, 1088439, 1245562, 1189379, 1245894, 1246989, 1088262, 1089645, 1189196, 1088680, 1190109, 1088631, 836884, 1245543, 1089758, 1247632, 1089830, 1189961]","[1218657, 897825, 897717, 1161834, 897911, 897704, 897490, 897451, 897685, 897715, 897504, 897502, 897795, 1218645, 1218621, 897339, 897391, 897693, 897677, 897855, 897692, 1218666, 897826, 897543, 897591, 897773, 1218692, 897803, 897472, 897497, 897893, 897341, 897569, 897412, 897644, 1161810, 897664, 897697, 1218682, 1218616, 1161842, 897347, 897833, 897327, 897574, 897741, 1218622, 897349, 897689, 897740, 1161850, 1161838, 897781, 897801, 897706, 897851, 1161799, 897311, 897409, 897537, 897754, 897362, 897506, 1161776, 897815, 897513, 897475, 1218644, 897495, 897485, 897542, 1218676, 897365, 897678, 1218656, 1218651, 897478, 897653, 897849, 897842, 897703, 1218674, 897539, 897785, 1161798, 897858, 1218675, 897854, 897648, 897404, 897459, 897473, 897399, 1161837, 1161800, 897479, 897600, 897604, 897486, 897735, 897524, 897314, 1218641, 897714, 897742, 897908, 897779, 897853, 897882, 897831, 1161783, 897496, 1161829, 1161796, 897657, 897563, 897887, 1161790, 897353, 897410, 897629, 897880, 897810, 897466, 1161841, 897720, 1161811, 1161789, 897517, 1161806, 897573, 897616, 1218654, 897461, 897418, 897670]","{'PRP': 0.0686818036997077, 'sentiment': 0.06017714847437898, 'of': 0.057881589415658775, 'VB': 0.05467913188690861, 'NN': 0.048276465597234086, 'DT': 0.04130030896283346, 'IN': 0.038965799974196684, 'to': 0.038366616734409255, 'the': 0.03709952250141193, 'which': 0.030052138607982403}"
0.5675,0.502068717395215,0.642292490118577,0.5675,0.68257,1,0.93,0.3215686274509804,0.7454545454545455,0.205,"[1246165, 1190262, 1088649, 1088510, 1188874, 1190563, 1089832, 836918, 1189385, 1211123, 1189133, 1247521, 1245523, 1089062]","[1161842, 897461, 1218617, 897852, 897911, 897630, 1161793, 897796, 1218642, 897440, 897632, 897389, 1161841, 897913, 1161816, 897825, 897833, 897417, 897379, 1161782, 897354, 897683, 897916, 897525, 897757, 897483, 897485, 1218684, 897771, 897850, 897520, 897743, 897716, 897586, 897667, 897570, 897720, 897364, 897319, 897730, 897398, 1161803, 897435, 897346, 897531, 897503, 897790, 1161783, 897799, 1161831, 897910, 897358, 897725, 1218672, 897740, 897487, 897694, 897380, 897693, 897673, 897337, 897616, 897898, 897731, 897626, 897595, 1161791, 897620, 897644, 1218676, 1161820, 1218668, 897352, 1218680, 897880, 897893, 1218666, 897600, 897845, 897563, 897659, 897862, 897647, 897598, 897583, 897618, 897508, 1218652, 897464, 897427, 897692, 897779, 897544, 897573, 897804, 897629, 1218688, 897769, 897903, 897317, 897341, 897622, 897437, 897835, 897848, 897473, 897762, 897538, 897751, 897767, 897607, 897363, 897511, 897514, 897462, 897635, 897827, 1218647, 897697, 897486, 1218632, 897800, 897787, 897687, 897637, 897533, 897502, 897672, 897830, 897476, 897428, 897387, 897415, 897353, 897338, 897497, 897356, 1161808, 897567, 897377, 897623, 897883, 897479, 897480, 897401, 897788, 897709, 1161837, 897360, 897357, 897819, 897696, 897885, 897376, 897737, 897429, 1161798, 897844, 897824]","{'PRP': 0.07953352598041805, 'of': 0.07434066194640532, 'VB': 0.05419064022403652, 'NN': 0.047029669245226655, 'sentiment': 0.04641962490094781, 'DT': 0.04157516369621858, 'IN': 0.037958160683958214, 'have': 0.03468645323972953, 'i': 0.03337320159765735, 'NNS': 0.032549812815878425}"
0.6,0.5559379423274402,0.665809981760902,0.6,0.69582,1,0.915,0.41605839416058393,0.7702702702702703,0.285,"[836350, 1247443, 1190108, 1154320, 1089463, 1188459, 1190657, 1245932, 1246502, 1190605, 1087966, 1245909, 1088782, 1247551, 1089356, 1089685, 1190030]","[897531, 897862, 897793, 897416, 897664, 897391, 1218644, 897408, 1161831, 897344, 897459, 897586, 897869, 897540, 897364, 897323, 897584, 1161841, 1161849, 897437, 897528, 897921, 897336, 1218681, 1218680, 897526, 1218620, 897334, 1218641, 897576, 1218648, 897679, 897864, 897392, 897818, 1218678, 1218653, 897516, 897759, 897561, 897800, 897549, 897444, 897573, 1218635, 1161815, 897490, 897361, 897705, 897409, 897373, 897464, 897417, 1218619, 1161776, 897844, 897764, 897538, 897894, 897592, 1161829, 897888, 897644, 897887, 897741, 897590, 1218672, 897713, 897461, 1218661, 897668, 897412, 897865, 897777, 897848, 897440, 897376, 897816, 897915, 897378, 897734, 897372, 897834, 1161848, 897866, 897641, 897839, 897720, 897829, 1161782, 1218687, 897799, 897445, 1161784, 897532, 897797, 897830, 897602, 1218645, 897580, 897605, 897747, 897902, 897353, 1218625, 897736, 1218690, 897310, 897342, 1161838, 897601, 1218658, 897477, 1161823, 897513, 1218617, 1218632, 897845, 1218642, 897374, 897714, 897600, 897495, 897671, 897557, 897625, 897399, 897663, 1218654, 897348, 897903, 897636, 897420, 897680, 897624, 897312, 897733, 897339, 897487, 897835, 897711, 897591, 1218685]","{'PRP': 0.07420894903769548, 'of': 0.07223201924508436, 'sentiment': 0.051677354221901076, 'NN': 0.0487698185287105, 'VB': 0.04675073558205531, 'have': 0.03957041091508009, 'RB': 0.035941788244458206, 'IN': 0.03524275008457393, 'DT': 0.03478238021184059, 'to': 0.031946515258814485}"
0.545,0.47506561679790027,0.5963391136801541,0.545,0.66667,1,0.91,0.28346456692913385,0.6666666666666666,0.18,"[1089305, 1189577, 1189388, 1247722, 1245642, 1245518, 1188955, 836483, 1088955, 1189238, 836889, 1245663, 1188510, 1247220, 1188988, 1088844, 1088340, 1246344]","[897767, 897544, 897667, 897839, 1218662, 897693, 897596, 897357, 897567, 897643, 1218672, 897350, 897480, 897423, 897695, 897532, 897637, 1218641, 897408, 897873, 897589, 897344, 897315, 897735, 897330, 897554, 897592, 897666, 897459, 897860, 897464, 897769, 897533, 897877, 1218619, 897310, 897826, 897871, 897355, 897630, 1218685, 897594, 897827, 897608, 897479, 897547, 897321, 1218635, 897887, 1218682, 897503, 897665, 1161838, 897456, 897728, 1161847, 897718, 1218665, 897421, 897588, 1218668, 897711, 897499, 1161827, 1218676, 897523, 897680, 1161785, 897366, 1161842, 897486, 897879, 897720, 897732, 897914, 1161822, 897420, 897370, 897744, 1218642, 897349, 897788, 897576, 897435, 1161832, 897538, 897583, 897455, 897861, 897374, 897545, 1161823, 897775, 897627, 897676, 897429, 897904, 897398, 897628, 897466, 897416, 1161830, 897491, 897473, 897715, 897617, 897815, 897496, 897632, 897597, 897731, 897843, 1161812, 897327, 897389, 897482, 897907, 897417, 897381, 897909, 1218684, 897675, 897805, 1218628, 1161800, 897862, 1161804, 897386, 897409, 897691, 897717, 897834, 897530, 897858, 897573, 897624, 897463, 897438, 897811, 897625, 897518, 1218644, 897793, 897702, 1218679, 897750, 1161781, 897336, 897623, 897639, 1161850, 897747, 897574, 897449, 897763, 897453, 1218680, 897825, 897407, 897650, 897602, 1218688, 897725, 897393]","{'PRP': 0.07326352291904065, 'of': 0.0660742074821238, 'sentiment': 0.06443505078192377, 'VB': 0.056952070317919566, 'NN': 0.047229722636898605, 'IN': 0.04392106630619171, 'DT': 0.038210788513480476, 'NNS': 0.02919000740882908, 'RB': 0.028027339024558208, 'mean_sen_len': 0.02767615004894836}"
0.59,0.5564570655848545,0.6290322580645161,0.59,0.67843,1,0.865,0.43448275862068964,0.7,0.315,"[1089707, 836849, 1189048, 1246861, 1247623, 1245841, 1190281, 1189385, 836835, 1189673, 1190024, 1089452, 1245342, 1246107, 1247016, 1190185, 1089816, 1246558, 1245525, 1246751, 1247616, 1247624, 1089462, 1190760, 1245801, 1245659, 1247079]","[1161842, 897810, 897642, 1218657, 897475, 897715, 897877, 897861, 897658, 897463, 1218672, 897431, 1218649, 897371, 897635, 897730, 897347, 897354, 897865, 897829, 897752, 897321, 1161849, 897720, 897628, 897830, 897348, 897536, 897673, 897374, 897503, 897640, 897799, 897751, 897346, 897370, 897310, 897325, 1161800, 897866, 897368, 897490, 897609, 1161827, 897691, 1218642, 1161783, 897312, 897625, 897800, 1161846, 897593, 897823, 897915, 897476, 1218641, 897443, 897672, 1218640, 897741, 897405, 897747, 897675, 1218643, 897579, 897833, 897842, 897608, 1161823, 897573, 897540, 897482, 897618, 897578, 897515, 897689, 897801, 897417, 897315, 897523, 897645, 1218679, 897512, 1161794, 1218647, 897733, 1218627, 897412, 1218632, 897473, 897694, 897879, 897320, 897365, 1218691, 897389, 897648, 897319, 897838, 897373, 897619, 897854, 897332, 897583, 897710, 897464, 897697, 897461, 897792, 1218662, 897834, 897359, 897690, 897798, 897357, 897331, 897418, 897696, 897797, 897544, 897398, 897314, 1161793, 897469, 897705, 897437, 897856, 897841, 897637, 897415, 897329, 897811, 897393, 1218689, 897771, 897758, 897498]","{'PRP': 0.07736095131350862, 'of': 0.07335729644857687, 'NN': 0.05255058673229768, 'VB': 0.05037787145832187, 'sentiment': 0.04701664850810215, 'DT': 0.042013746669204266, 'IN': 0.03619661773683012, 'NNS': 0.035563508608522997, 'RB': 0.03381118144369698, 'to': 0.03251197271907871}"
0.55,0.47862356621480706,0.6105216622458002,0.55,0.67153,1,0.92,0.2857142857142857,0.6923076923076923,0.18,"[1089685, 1190813, 1088340, 1188549, 1247733, 1188972, 1089074, 1188531, 1189404, 1089225, 836560, 1246090, 836595, 1089305, 1246176, 1247197]","[897447, 897658, 897358, 897317, 897529, 897807, 1161825, 897460, 1218690, 897908, 897401, 897845, 897516, 897806, 1218667, 1161826, 897890, 897531, 1161776, 897903, 897576, 897835, 897480, 1161781, 897857, 897392, 897639, 897350, 1218687, 897488, 897713, 897869, 897496, 1218656, 897868, 897861, 897444, 897399, 897620, 1218684, 897752, 1161789, 897741, 897346, 1218674, 897503, 897464, 897659, 1218644, 897457, 897832, 897648, 1218649, 1161810, 897700, 897492, 897454, 897883, 897451, 897839, 897701, 897374, 897756, 897528, 897418, 897378, 897315, 1161817, 897442, 897335, 897844, 897840, 897586, 897816, 897547, 1218626, 897425, 1218691, 897430, 897410, 897542, 897370, 897368, 897905, 897880, 897504, 897339, 1218619, 897794, 897580, 897726, 897405, 897549, 897917, 897847, 897330, 897767, 897718, 897751, 897359, 897906, 1161832, 897667, 897663, 897376, 897348, 897730, 897555, 897343, 897433, 1161824, 1161831, 897819, 897856, 897341, 897474, 897697, 897482, 897357, 1218658, 897356, 897725, 897417, 897581, 897661, 897913, 897499, 897475, 897641, 897382, 897838, 1161823, 1218659, 897345, 1218643, 897439, 897691, 897743, 897740, 897643, 897449, 897914, 897478, 1161783, 897577, 897708, 897637, 897779, 1161784, 897812, 897902, 897798, 897427, 1218679, 897764, 897795, 1161840, 1161816, 897790, 897853, 897675, 897825, 1218654, 897719]","{'PRP': 0.07208618650369923, 'sentiment': 0.0657446526947414, 'of': 0.06408798824176694, 'NN': 0.06262763382072342, 'VB': 0.05591697613277203, 'to': 0.039343046909136654, 'IN': 0.03864802870623019, 'DT': 0.03711467472152329, 'the': 0.03585828370305838, 'i': 0.03097824875648961}"
0.5725,0.503624844882764,0.6629305017135795,0.5725,0.68852,1,0.945,0.3187250996015936,0.7843137254901961,0.2,"[1246586, 836727, 1089072, 1089831, 1087826, 1246157, 1089887, 1246761, 1246342, 1245726, 1245399]","[897846, 897620, 897430, 897578, 897353, 897689, 897771, 897642, 1161781, 897473, 897864, 1161783, 897556, 897344, 1218626, 1218682, 897883, 897734, 897569, 897341, 897483, 897857, 1218678, 897711, 1161847, 1218664, 897536, 897776, 897498, 897437, 897408, 897849, 897489, 897671, 1218671, 897349, 1218641, 897557, 897435, 897318, 897443, 897881, 897741, 897357, 897890, 897325, 1218620, 1218690, 897510, 897697, 897594, 897352, 897616, 897775, 897755, 1218679, 1161848, 1218637, 897533, 1161837, 897451, 897546, 897673, 897637, 897699, 897470, 1161793, 897825, 897652, 1218649, 1161800, 897403, 897389, 897563, 897848, 1218621, 897365, 897438, 897814, 897786, 897370, 897371, 897819, 897788, 897572, 1218680, 897827, 1161811, 897833, 897599, 1161784, 897369, 897874, 897728, 1218648, 897870, 897570, 897647, 897422, 897366, 897757, 897894, 897821, 897545, 897726, 897447, 1218639, 897723, 897407, 897475, 897314, 897342, 897358, 1161827, 897495, 897714, 1161819, 1161840, 897499, 897622, 897431, 897486, 897748, 1161845, 897617, 897669, 897708, 897573, 897591, 1161778, 897824, 897583, 897534, 897636, 897361, 897348, 897336, 897346, 897457, 1161834, 897648, 1218650, 897399, 1161830, 897746, 897373, 897392, 897803, 1161782, 1161805, 897719, 897626, 897797, 1218645, 897710, 897696, 1161838, 897799, 897433, 1218663]","{'PRP': 0.08105087167511002, 'of': 0.06782210538018801, 'sentiment': 0.056613497019398905, 'NN': 0.056031675740815065, 'VB': 0.05471440891853123, 'IN': 0.04118926196070969, 'DT': 0.035552830375669454, 'the': 0.027995779941002955, 'to': 0.027853490382393133, 'i': 0.027700042347090628}"
0.5425,0.4591838996387171,0.6107419712070875,0.5425,0.67145,1,0.935,0.24691358024691357,0.6976744186046512,0.15,"[836877, 1247238, 1190474, 1190108, 1088358, 1245777, 1089082, 1089831, 1089460, 1089305, 1089776, 1189510, 1247090]","[1161819, 897333, 897797, 1161788, 897773, 1218621, 897347, 897580, 897616, 897636, 897904, 897553, 897752, 1161797, 897714, 1161811, 897351, 897341, 897755, 897342, 897862, 897413, 1218672, 897890, 897697, 897374, 897544, 897364, 897586, 897477, 897711, 897623, 897589, 897501, 897600, 897340, 1218658, 897883, 1161847, 1161845, 1161781, 897698, 1218639, 897512, 897670, 1218692, 897480, 897479, 897434, 897379, 897532, 897359, 1161840, 897415, 897709, 1218654, 897424, 1161829, 897864, 1218632, 1161821, 1161815, 897725, 897593, 897685, 897631, 897618, 897899, 897682, 897451, 1161816, 897712, 897688, 897777, 897516, 897657, 1161775, 897849, 897840, 897518, 1161831, 897668, 897470, 897418, 897678, 897601, 897827, 1218659, 897663, 897856, 897604, 897726, 897638, 897915, 897401, 897824, 897339, 897691, 897456, 897353, 1161799, 897843, 897557, 897510, 897857, 897371, 897790, 897733, 897875, 897387, 1218619, 897369, 897407, 897841, 1161806, 897551, 897796, 897494, 1161782, 897850, 1218616, 897686, 897677, 897417, 897848, 897854, 897395, 897556, 1218617, 897853, 897715, 897865, 1218661, 1218666, 897336, 897363, 897465, 1218626, 1218631, 1218678, 1218682, 897323, 897921, 897791, 897572, 897576, 897821, 897497, 897563, 897584, 897486, 1218657, 897526, 897598, 897493, 897908, 897484, 897871, 1218680, 897763, 897474, 897332, 1161836, 897817, 897731, 897665, 897906, 897863, 897455, 897505]","{'PRP': 0.07281631261775598, 'of': 0.06383834282134071, 'VB': 0.06098794762330758, 'sentiment': 0.060942160814749555, 'NN': 0.05556236064923853, 'IN': 0.04447337741223453, 'DT': 0.03999119484823206, 'RB': 0.035519539505974404, 'to': 0.03190592137157536, 'mean_sen_len': 0.03183982547984253}"
0.5775,0.5317748917748918,0.6271794871794872,0.5775,0.6781,1,0.89,0.38545454545454544,0.7066666666666667,0.265,"[1245866, 1247693, 1088195, 836586, 1190657, 1188565, 1245562, 1190633, 1246621, 1188691, 1087803, 1154349, 1189584, 1087847, 1246410, 1088072, 1189673, 1189336, 1089832, 1247624, 836727, 1087805]","[897526, 897716, 1161797, 1161835, 1218624, 1161817, 897795, 897691, 897361, 1161826, 897747, 1161810, 897418, 897860, 897393, 897811, 897841, 1218691, 1218661, 897370, 1161789, 897566, 897692, 897735, 897446, 897462, 897346, 897909, 897787, 897794, 897903, 897831, 1218668, 897340, 897778, 897783, 1161837, 1218620, 897332, 1218650, 897879, 897801, 897467, 897559, 1161784, 897703, 897573, 897821, 897843, 897833, 897476, 1218652, 1161821, 1218625, 897416, 897343, 1161823, 897803, 1218647, 897540, 897868, 1161781, 897858, 897454, 897477, 897623, 897342, 1218656, 897874, 897664, 897334, 897799, 897318, 897569, 1218623, 897608, 897490, 897889, 897682, 1218692, 897752, 897739, 1161775, 897465, 1218678, 1161834, 1218675, 897514, 897866, 897349, 897533, 897849, 897758, 897362, 1161836, 897344, 1218664, 897829, 897620, 897871, 897689, 897667, 897653, 897497, 897487, 897407, 897769, 897549, 897797, 897415, 897389, 897723, 897478, 897532, 897427, 897661, 897921, 897492, 1218672, 897851, 897726, 897875, 1161804, 897542, 897662, 897576, 897759, 1218627, 897690, 897617, 897888, 897417, 897670, 897457, 897430, 897834, 897853, 897839, 897685, 897496, 897718, 897565, 897563, 897826, 897663, 897640, 1161829]","{'of': 0.0761997719875918, 'PRP': 0.07556148432854962, 'sentiment': 0.05429826672885364, 'VB': 0.053490673931279285, 'NN': 0.045066192629528025, 'IN': 0.040064025814517304, 'have': 0.039788113689964155, 'DT': 0.03854596842932737, 'to': 0.03688892777223515, 'which': 0.032781230347165714}"
