accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.505,0.3958810068649886,0.5180180180180181,0.505,0.65263,1,0.93,0.1391304347826087,0.5333333333333333,0.08,"[1189090, 1190121, 1246225, 1247722, 1247467, 1247306, 1246604, 1188599, 1245501, 1245909, 1245942, 1188549, 836918, 1190861]","[894994, 895063, 895324, 895100, 895197, 894937, 1161513, 1161530, 895174, 895051, 895006, 1161497, 1161541, 895301, 895408, 895089, 894961, 895436, 895255, 895471, 1161547, 895114, 895132, 895306, 895206, 895367, 894947, 1218339, 894953, 895112, 895351, 895399, 1218352, 895415, 895281, 895043, 894930, 895172, 895061, 895290, 1218388, 895250, 894906, 895410, 1218340, 895075, 895041, 1218345, 1218391, 894916, 895230, 1218327, 895428, 895160, 895347, 895196, 895314, 895187, 895419, 895205, 895263, 1218365, 895460, 895253, 1218333, 895064, 895159, 1161552, 895141, 895291, 895144, 895194, 895007, 894978, 1161498, 895405, 895170, 895305, 895011, 895343, 895245, 1218355, 895439, 895080, 895246, 1218373, 895242, 895440, 895261, 894913, 895186, 895148, 1161502, 1218362, 895483, 895248, 895095, 1218389, 895254, 1161490, 894907, 895332, 895390, 895161, 895195, 895135, 895421, 1218349, 894987, 894931, 895265, 895192, 894910, 1161523, 895163, 895025, 895459, 895455, 895395, 895028, 895054, 895107, 895078, 895430, 895056, 895302, 1161484, 895128, 894919, 894995, 1161499, 894963, 894923, 894977, 895300, 1218359, 895469, 895349, 895109, 895127, 1218326, 895486, 895451, 894897, 895047, 1161543, 895190, 1161517, 894888, 895296, 895243, 894960, 895034, 895031, 895353, 1161481, 894891, 1218338, 895143, 894927, 1161501, 895474, 894962, 895260, 895297, 894952, 1218377, 894938, 894918, 895256, 895101, 895235, 895217, 895152, 895368, 895211, 895477, 895033, 895371, 895372, 894946, 894921, 1218341, 895157]","{'PRP': 0.08032596315913532, 'sentiment': 0.07092356972011152, 'NN': 0.06400084714502405, 'of': 0.058925141072562866, 'VB': 0.054758461860307105, 'have': 0.04173279316924025, 'mean_sen_len': 0.03907342305365505, 'DT': 0.038918033848125394, 'RB': 0.03086899172436514, 'IN': 0.02923893077067371}"
0.4775,0.3466657288662775,0.3869204673954015,0.4775,0.63903,0,0.925,0.05429864253393665,0.2857142857142857,0.03,"[1088531, 1190227, 1247193, 836373, 1189272, 1188501, 1190578, 836449, 1247486, 1245321, 1189251, 1189332, 1154349, 1189404, 1245884]","[895249, 895336, 894945, 1218338, 895332, 894914, 895105, 895020, 895119, 895219, 895113, 895314, 895010, 895422, 895145, 1218335, 895166, 895135, 895470, 895323, 894968, 895324, 1218380, 895006, 895231, 895225, 895296, 894941, 895427, 1161504, 895334, 894958, 895469, 895299, 1161514, 894950, 894924, 895179, 894919, 1218327, 1161543, 895418, 895091, 1218389, 1218326, 894964, 1218354, 1218370, 895357, 894988, 894930, 895486, 895090, 895129, 895421, 1218353, 895126, 895061, 895305, 895477, 894953, 895000, 1218379, 895430, 895186, 894981, 1161545, 1161549, 895007, 895003, 895077, 1218371, 894956, 895188, 895291, 894895, 895222, 1161489, 895169, 894911, 895387, 1161500, 895269, 895337, 895438, 895366, 1161487, 1161494, 895404, 1161497, 895167, 895463, 1161553, 895318, 894962, 895413, 895459, 895150, 895329, 1218347, 895476, 895096, 894951, 895252, 894948, 895320, 895369, 1161550, 895415, 895311, 895306, 1218336, 895172, 895482, 895164, 895472, 895242, 895303, 895450, 895435, 895462, 1218324, 895335, 895235, 894886, 1161517, 895127, 894903, 895247, 895325, 1161533, 895447, 895051, 895146, 895224, 895138, 895060, 1161491, 1161488, 895405, 895210, 1161507, 894915, 1218329, 895319, 895056, 895133, 1161496, 894944, 895401, 895199, 895434, 895001, 895428, 894982, 895458, 894925, 895017, 895392, 1218322, 895397, 895004, 1218342, 895099, 1161495, 895040, 894916, 1218375, 895104, 895260, 894989, 895446, 895204, 895328, 895412, 895085, 895229, 895117, 895466, 894888, 895356, 894908, 895140, 895440, 895398, 895261, 895331, 1161483, 895386, 895054, 895239, 895345, 895308, 895176]","{'of': 0.07234841128161934, 'PRP': 0.06907166452482838, 'NN': 0.05652570297191233, 'VB': 0.052330419146086896, 'sentiment': 0.051943780826202796, 'IN': 0.046080338029801285, 'DT': 0.03896249249022084, 'to': 0.03788750335752952, 'RB': 0.032721834594971536, 'have': 0.03093705858303042}"
0.4825,0.38245362808493494,0.45028055969884223,0.4825,0.63102,0,0.885,0.13389121338912133,0.41025641025641024,0.08,"[836508, 1089588, 1247076, 1247553, 1154349, 1189272, 1190184, 1089831, 1189695, 1246769, 1088359, 1247368, 1089528, 1088055, 1188792, 1247108, 1247232, 1246621, 1245808, 1088314, 1089206, 1089298, 1246168]","[895356, 894898, 1218385, 894940, 895042, 895475, 895173, 895001, 895116, 894887, 894931, 895224, 1218384, 895077, 895393, 895407, 1161526, 895051, 895363, 895253, 895024, 895109, 1218351, 1161508, 895377, 895337, 895465, 895108, 895131, 895373, 894995, 895047, 895266, 894964, 895293, 894890, 895280, 895439, 895469, 895049, 895084, 895073, 894975, 1161501, 1161496, 895471, 895254, 895233, 895180, 895085, 895200, 1218332, 895285, 1218345, 1161492, 895232, 895006, 895190, 894947, 895283, 895325, 895332, 894903, 895142, 1218352, 895354, 895365, 895095, 1218389, 895355, 895433, 895464, 894894, 894974, 895291, 894988, 894936, 895208, 1161513, 1218348, 1218347, 1218336, 895105, 895396, 895062, 894945, 895248, 894962, 1218339, 895235, 895086, 895384, 895327, 894979, 1161550, 895063, 895058, 895426, 894977, 895350, 894918, 894957, 895119, 895436, 895408, 1161507, 895409, 895370, 895100, 894976, 895079, 1218353, 895445, 895243, 895331, 895476, 895081, 895209, 894895, 894999, 894893, 895468, 895294, 1218376, 895083, 895199, 895394, 895041, 895005, 895455, 894919, 894915, 1218380, 895444, 895329, 894937, 895229, 895113, 895486, 895323, 895359, 895185, 1161506, 895115, 895211, 895267, 1161523, 1161533, 1218327, 895319, 895403, 1161529, 895196, 895429, 895311, 1218355, 895317, 894948, 895221, 895033, 895204, 895406, 1161518, 895064, 1161512, 895269, 895420, 895135, 1161527, 1161519, 895017, 895306, 895397, 895375, 895405, 1161510, 895118, 895272, 895334, 1161511, 895195, 895271, 895467, 1218374]","{'of': 0.07759381708480509, 'PRP': 0.07724609051671714, 'sentiment': 0.05280003579210649, 'VB': 0.04448848137030193, 'NN': 0.043352493208284514, 'DT': 0.04106620253584846, 'the': 0.0399409186025648, 'NNS': 0.039175975466695434, 'IN': 0.033453251975585484, 'to': 0.03207477161067114}"
0.4775,0.373458941325479,0.43299084208175115,0.4775,0.62877,0,0.885,0.11814345991561181,0.3783783783783784,0.07,"[1189602, 1247498, 1246780, 1089831, 1247420, 1088201, 1245399, 1088954, 836791, 836865, 1188543, 1189944, 1189915, 1247729, 1247466, 1189577, 1247325, 1247090, 836805, 1190658, 1247604, 1246889, 1088161]","[894963, 895393, 1218354, 894924, 894998, 894968, 1161509, 895438, 895000, 895348, 895475, 1161521, 895157, 895051, 895005, 895040, 895262, 894966, 1218372, 1218381, 895406, 895381, 895230, 895171, 894946, 895246, 1218356, 895076, 895368, 895353, 895080, 895473, 895471, 894893, 895098, 895364, 1218369, 1161542, 894965, 895463, 1218351, 894949, 894897, 895420, 895369, 895374, 894947, 895252, 1218388, 1161515, 895401, 895296, 895414, 895386, 895427, 1218343, 895228, 895078, 895310, 894962, 895122, 895384, 895214, 895283, 1161502, 894923, 895352, 895339, 895061, 1161516, 1218376, 894908, 895161, 895221, 895303, 895482, 895067, 895158, 1218355, 894943, 895343, 1161501, 895408, 894933, 895464, 1218361, 895133, 895366, 894928, 895454, 895019, 895285, 894904, 894910, 1218335, 895436, 895421, 895043, 895055, 895119, 895217, 895379, 895301, 1161539, 895093, 895039, 1161535, 895034, 894990, 895185, 895094, 895200, 895178, 1218375, 895244, 1161545, 1218371, 1218360, 895304, 1161506, 895447, 895433, 895284, 1218332, 895037, 1218389, 895411, 894891, 895115, 1161523, 895210, 1161541, 895163, 894992, 895446, 1161530, 895469, 895151, 894987, 895358, 1161496, 895336, 895153, 1218385, 895439, 1161480, 1161498, 895166, 894889, 895474, 895444, 895430, 895160, 895057, 1161548, 1218384, 895062, 895017, 895291, 895204, 895359, 895155, 895069, 895035, 895092, 895370, 1218359, 895470, 895330, 895082, 895363, 894886, 894944, 895293, 895305, 895143, 895049, 895186, 895278, 1161551, 895063, 895338, 894937, 895413, 895404, 895431]","{'PRP': 0.07922371540443442, 'of': 0.06877692557155134, 'NN': 0.05865777694281574, 'sentiment': 0.04418911053929394, 'DT': 0.042823204016126847, 'which': 0.03747598259918698, 'the': 0.037319183748690976, 'VB': 0.03592875593070723, 'have': 0.03140899157650748, 'i': 0.03133611006908302}"
0.5025,0.3847342995169082,0.5106666666666666,0.5025,0.65391,1,0.94,0.11555555555555555,0.52,0.065,"[1089082, 1189556, 1190343, 836489, 1211135, 1246621, 1190193, 1246985, 1190445, 1246094, 1246225, 1245995]","[894916, 895460, 894963, 895074, 894999, 895398, 895261, 895420, 895297, 1218386, 1218342, 1218368, 895045, 895125, 895451, 894897, 895368, 895365, 1218353, 895340, 895390, 895299, 895204, 895110, 895154, 894908, 895482, 894976, 1161548, 895349, 1218343, 895002, 894923, 895016, 895186, 895233, 895341, 895193, 895208, 894985, 895271, 895188, 895109, 895379, 895133, 1218378, 895190, 1161484, 895249, 895372, 895269, 1218390, 895001, 895168, 1161498, 895021, 895239, 895472, 895440, 895207, 895044, 895072, 895209, 1161530, 895308, 895246, 1218364, 895205, 895483, 1218383, 894895, 895100, 894958, 895364, 895355, 895148, 895285, 895255, 895227, 895475, 894993, 895395, 895026, 895361, 895147, 895090, 1218349, 894941, 1161505, 895120, 894940, 895410, 895258, 895344, 895254, 895159, 895301, 895237, 1218389, 895323, 895294, 894982, 895306, 895417, 895118, 895032, 895350, 894983, 895185, 895096, 895161, 1161529, 1218322, 895140, 1218332, 1218372, 1161527, 894925, 895126, 1218333, 895325, 1218385, 894921, 894951, 894980, 894896, 895194, 894931, 894932, 894944, 895324, 894970, 895035, 895046, 895383, 895282, 895359, 895063, 895165, 895370, 895042, 895011, 895252, 895040, 895218, 1218324, 894984, 1161524, 1161508, 1161528, 895369, 895343, 1218352, 895151, 895235, 895135, 895388, 895062, 895143, 1161520, 895263, 895266, 895057, 1161489, 895456, 895424, 895007, 895127, 1161552, 895080, 894966, 895093, 895086, 894945, 1218350, 895477, 895176, 895183, 1161515, 895229, 1218366, 894928, 894989, 895017, 1161496, 895468, 1161542]","{'of': 0.07115221337452594, 'PRP': 0.06850225544083428, 'VB': 0.06538138406251455, 'NN': 0.05610548865918452, 'sentiment': 0.052056871052885006, 'IN': 0.04701761700979903, 'DT': 0.04026683960769481, 'to': 0.03528660190809567, 'i': 0.03279004152701839, 'NNS': 0.02874185291337772}"
0.4725,0.35787703801763554,0.4038377480548999,0.4725,0.62917,0,0.895,0.08658008658008658,0.3225806451612903,0.05,"[1190062, 1089103, 1189090, 1247451, 1190112, 1189321, 1190458, 1245994, 1246117, 1188797, 1247333, 1190760, 1246933, 1246087, 1245688, 836789, 1089831, 1246738, 1089249, 1247065, 836358]","[895000, 1161535, 1218344, 895426, 894968, 895265, 895149, 895219, 895335, 1161528, 895154, 895163, 895411, 1218349, 895383, 1218377, 895483, 895186, 1161504, 895037, 895182, 894987, 1161533, 895226, 894982, 894994, 895198, 895480, 895127, 895320, 894950, 1161497, 895054, 894935, 1218370, 1161495, 895457, 1218386, 895337, 894996, 1218382, 895363, 894920, 895211, 895339, 1161518, 1161551, 895390, 895241, 894985, 895030, 894952, 895038, 895236, 895156, 894941, 895089, 895471, 895218, 895420, 894894, 1161491, 895470, 1218334, 1161531, 895237, 895223, 895288, 895299, 1161488, 895031, 895001, 894944, 895079, 1218383, 895006, 894917, 894890, 895221, 895196, 895075, 1218355, 895165, 895077, 894921, 1218354, 1218376, 895005, 1161545, 1161506, 895153, 895119, 895436, 895323, 895306, 1161523, 895454, 895283, 895400, 895072, 895095, 895386, 895372, 895431, 895136, 895242, 895046, 1161548, 895297, 895200, 1218372, 1161502, 1161553, 894903, 895139, 894898, 895266, 1161500, 895450, 895091, 895388, 895290, 895043, 894980, 1218358, 895093, 895039, 895134, 895228, 895178, 895308, 895485, 894999, 895439, 895476, 895002, 895144, 895275, 895303, 895245, 895174, 895230, 895100, 894907, 895110, 895081, 895199, 895080, 895109, 895442, 895271, 895157, 895048, 895248, 895253, 894948, 895309, 895412, 895123, 895161, 895067, 894933, 895377, 894936, 895277, 1161538, 1218367, 895044, 895444, 1161482, 895133, 895151, 1218373, 895479, 1218368, 895376, 895112, 894998, 894931, 895068, 895019, 895190, 894972, 895315, 1218374, 895395, 895232, 895210, 1218343, 895021]","{'PRP': 0.07731454885956969, 'of': 0.06867497116509756, 'sentiment': 0.054715097473376, 'NN': 0.05169034154360173, 'IN': 0.05020471908692487, 'DT': 0.04576486926851096, 'have': 0.045153709012713004, 'VB': 0.04317373143071144, 'mean_sen_len': 0.030637653384660877, 'the': 0.030537828290051694}"
0.4975,0.38512836592509886,0.49070545589738823,0.4975,0.64799,0,0.925,0.1222707423580786,0.4827586206896552,0.07,"[1189173, 1246665, 1246316, 1089023, 1247254, 1189719, 836560, 1190516, 1189727, 1089930, 1088053, 1189673, 1188817, 1246460, 1246176]","[895365, 895001, 894909, 894915, 895037, 1218380, 895215, 895440, 894966, 1161495, 895260, 894941, 895041, 895079, 894999, 894953, 895367, 895395, 895168, 1218373, 1218342, 1218378, 895211, 895047, 895314, 894924, 895146, 894948, 894993, 895361, 895157, 895350, 1161492, 895329, 895323, 895232, 1161493, 894896, 1218379, 1161546, 895095, 895208, 895166, 895353, 895410, 895218, 1161551, 1161513, 1218388, 895253, 895370, 1161533, 895334, 895385, 1218360, 894971, 895302, 895261, 895227, 895375, 895230, 895200, 895455, 1161549, 895077, 895354, 1218386, 1218334, 895339, 895369, 895433, 1218350, 1161509, 1218389, 894919, 895193, 1161543, 895018, 894944, 894906, 1161529, 1161532, 1161550, 895459, 895466, 894922, 895387, 895002, 1161511, 895067, 894927, 895054, 1161553, 895450, 895093, 895336, 895000, 895374, 895012, 895371, 895136, 895199, 895451, 1161547, 895390, 895328, 895103, 895226, 1218329, 895470, 894951, 894962, 894958, 895478, 1161498, 895240, 895284, 1218367, 895298, 895110, 894911, 895112, 895127, 895444, 895137, 894923, 894990, 895308, 895008, 895044, 894983, 1161512, 894921, 1161552, 895151, 895035, 1161506, 895076, 895436, 895356, 895281, 895352, 895408, 895378, 895236, 894994, 895386, 894931, 894996, 1218324, 894980, 1161538, 1218370, 895021, 895289, 895128, 894900, 895317, 894964, 895183, 895309, 895126, 895411, 895161, 895484, 895394, 895123, 895393, 1218374, 895010, 895055, 1218354, 895355, 895160, 895325, 895201, 895421, 1161536, 895486, 895392, 895474, 895209, 894937, 1161499, 895293, 895311]","{'PRP': 0.08351076654025812, 'sentiment': 0.06213540473298423, 'of': 0.060092785631700764, 'NN': 0.05799337547780887, 'VB': 0.05370714855342746, 'IN': 0.037467638191773595, 'have': 0.036336580029459574, 'DT': 0.036075264799097874, 'mean_sen_len': 0.03375942867426494, 'i': 0.03085236054893066}"
0.51,0.4247307094009568,0.5245639891918447,0.51,0.64621,1,0.895,0.2032520325203252,0.5434782608695652,0.125,"[1087865, 1089806, 1089457, 1190015, 1189202, 1246604, 1245804, 1247195, 836895, 1189113, 1189105, 1088427, 1189170, 1089680, 1246858, 1089072, 1089139, 1247456, 1190657, 836353, 836377]","[895096, 895197, 895105, 894900, 894892, 895169, 895393, 895445, 894946, 895327, 1218333, 895013, 894960, 1161542, 894944, 895047, 895329, 894971, 895282, 1218366, 895377, 895048, 894941, 895484, 894999, 1218325, 895127, 895083, 895203, 895400, 894925, 1161527, 1218374, 895313, 895451, 895080, 1161521, 895191, 894980, 1218338, 895311, 895071, 895366, 1218339, 894924, 895475, 895066, 895174, 895218, 895065, 1218355, 894936, 894949, 895027, 895249, 894992, 895216, 895107, 895192, 895064, 895432, 895341, 894932, 895349, 895039, 895465, 895354, 894978, 895003, 895483, 895148, 895324, 895231, 895261, 895078, 895395, 895215, 894975, 1161523, 895089, 895345, 894907, 894987, 895388, 895301, 895225, 894954, 895291, 894962, 895256, 895126, 1218369, 895108, 1161522, 895370, 895001, 895336, 895279, 1218359, 895414, 895457, 895077, 895102, 1218386, 895030, 895292, 894938, 894995, 895399, 895470, 895052, 895061, 1218322, 895146, 895194, 895415, 895339, 895207, 895471, 1218379, 895230, 895000, 895180, 1161532, 895152, 895274, 895006, 894904, 895448, 894994, 895413, 895474, 895112, 1218334, 895275, 895135, 895055, 895045, 895251, 895222, 895087, 895283, 894982, 1218331, 895082, 895381, 1218357, 895440, 895332, 1218383, 895477, 895189, 895239, 895468, 894918, 895314, 1218358, 1218342, 895166, 895325, 1161511, 895407, 1218361, 894947, 1161541, 895303, 894963, 894902, 1161543, 1218345, 895244, 895342, 895437, 894967, 895396]","{'PRP': 0.07803683561509771, 'of': 0.07803285621022797, 'sentiment': 0.07765375521190356, 'VB': 0.048420449831366175, 'NN': 0.046854749675452785, 'IN': 0.042310339876906085, 'DT': 0.03515473025404749, 'have': 0.03306223351175452, 'which': 0.03233769929275968, 'i': 0.031499184087523724}"
0.52,0.40476190476190466,0.5886524822695035,0.52,0.66667,1,0.96,0.14285714285714285,0.6666666666666666,0.08,"[1245995, 1245887, 1246969, 1246713, 1246410, 1087838, 1247265, 1089148]","[1218354, 895430, 895133, 894956, 895121, 1161520, 895469, 894925, 1161508, 895180, 1161521, 895355, 895421, 895069, 895202, 895439, 1218380, 895408, 895007, 895165, 894970, 895319, 895268, 1161490, 895063, 895054, 1218389, 895323, 895359, 895240, 1218330, 895446, 1161500, 1161491, 894992, 895453, 895419, 895058, 894955, 895233, 895043, 895352, 895082, 895264, 895163, 895072, 895315, 895235, 895459, 894989, 894993, 895441, 895114, 895210, 1161510, 1161485, 895367, 894928, 895186, 895103, 1218377, 895227, 894963, 1218335, 895104, 895075, 895444, 1218336, 895486, 895400, 895417, 895250, 895117, 895002, 1218358, 895138, 894910, 894946, 1161528, 895375, 895006, 894995, 895335, 1161486, 895365, 1218384, 895074, 894893, 1218371, 1218342, 1161512, 895182, 895476, 895338, 895348, 894890, 895470, 1161494, 895129, 895031, 895111, 895412, 895011, 1161515, 895174, 895051, 895140, 895205, 1218361, 894904, 895286, 895118, 895422, 895173, 1218326, 895407, 895241, 894898, 895472, 895296, 895452, 895224, 895433, 895245, 895253, 895380, 895358, 895050, 895028, 895032, 895304, 895244, 894949, 1161499, 895283, 895457, 895267, 895107, 895004, 894916, 895482, 1161532, 895122, 1218353, 895218, 895290, 894974, 894973, 895382, 895152, 895252, 1161507, 1161530, 895126, 895141, 895217, 895178, 1161538, 895331, 895401, 1218345, 894887, 894908, 895243, 895123, 895337, 895081, 895226, 1218322, 895078, 895383, 895313, 894922, 895340, 895409, 895369, 895354, 895351, 895418, 895269, 895137, 1161489, 895142, 1161546]","{'PRP': 0.08488939646135607, 'of': 0.06641703703546885, 'sentiment': 0.06481324046685007, 'NN': 0.05575555579755343, 'VB': 0.05277636629632149, 'mean_sen_len': 0.03652201540833431, 'DT': 0.03427744762877588, 'NNS': 0.0330833528014801, 'IN': 0.030778231435435132, 'the': 0.030302969906935363}"
0.4975,0.3974413741934033,0.4925545380090835,0.4975,0.64298,0,0.905,0.1518987341772152,0.4864864864864865,0.09,"[1088873, 1089253, 1190663, 1245808, 1246145, 836918, 1190120, 1089305, 1246176, 1188494, 1211123, 1246700, 1089203, 1188446, 836550, 1247208, 1088662, 1190023, 836700]","[1218334, 895452, 895136, 895124, 1218379, 1218387, 895322, 895229, 1161501, 895374, 1218391, 895264, 1161510, 895116, 895050, 895297, 1161508, 895090, 895129, 895372, 894910, 1161490, 895178, 895381, 894963, 895006, 1161525, 895375, 895246, 895008, 895011, 894977, 895247, 1218383, 1161532, 895121, 895219, 894907, 895203, 894992, 895353, 895252, 895220, 895150, 1161511, 895207, 895318, 895462, 895301, 895388, 895093, 894890, 894950, 1218388, 1161544, 895304, 895118, 894973, 895070, 894988, 895442, 895348, 895062, 895400, 895115, 894997, 1161488, 895187, 894946, 895343, 895002, 895235, 1161523, 895408, 894942, 895324, 1218322, 895371, 895218, 894995, 895189, 895384, 895195, 895234, 1161498, 895146, 895257, 895217, 895197, 895469, 895039, 895263, 895200, 1218368, 895434, 895448, 894934, 895306, 895415, 895412, 895066, 894981, 895075, 1218333, 894971, 894917, 895379, 1218371, 895271, 895269, 895364, 895152, 1218389, 895166, 894915, 895148, 895163, 1161519, 1218359, 895223, 895067, 895192, 894948, 895423, 1218347, 895382, 895241, 894945, 895109, 895096, 894927, 1218351, 1161552, 1161500, 895037, 894967, 1161481, 895199, 895437, 1218356, 895409, 895072, 895074, 894919, 895470, 895365, 895111, 895290, 895289, 895351, 895149, 895145, 894935, 895376, 895251, 894891, 1161535, 895230, 895073, 895308, 895446, 894958, 895000, 895190, 895078, 895055, 895165, 895183, 895266, 1218341, 1161487, 895440, 895424, 895018, 1218332, 1161524, 895044, 895058, 895029, 895413, 1218336, 895399]","{'PRP': 0.07786866749803306, 'NN': 0.059027896966553334, 'VB': 0.05871462027366543, 'sentiment': 0.0580682750147951, 'of': 0.05801434337281072, 'DT': 0.04265412080464501, 'IN': 0.04207760233583528, 'NNS': 0.03187550926491846, 'i': 0.03129401679470384, 'to': 0.02847568681179781}"
