,Key,Count,Mean Score
0,VB,100,0.05322639305223726
1,PRP,100,0.07470913762541781
2,sentiment,100,0.06015361056933559
3,of,100,0.0676152840363566
4,NN,100,0.05340887008611237
5,DT,97,0.03802670736082556
8,IN,91,0.039861078450714016
7,have,77,0.03577620862622231
6,to,49,0.035685476232755704
13,NNS,37,0.033566575924195506
11,RB,36,0.032330811284872155
14,the,31,0.03253124834035895
10,mean_sen_len,30,0.03171256090263001
9,i,29,0.032099459053927734
12,which,20,0.03198367231914627
15,had,2,0.030109499047142316
16,not,1,0.02747654881951955
