accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.505,0.34434915063412697,0.7512562814070352,0.505,0.6689,1,1.0,0.019801980198019802,1.0,0.01,[],"[950502, 1168514, 1225910, 1168493, 949873, 949802, 955554, 1168989, 950504, 951738, 950240, 955636, 951836, 951702, 955920, 955628, 950204, 950180, 1168494, 950470, 949936, 950042, 955705, 955696, 1169053, 955310, 1168513, 955657, 951803, 950330, 950453, 1225423, 955643, 950076, 955260, 950162, 950481, 951505, 955651, 949841, 951809, 950283, 951573, 955928, 950044, 949927, 1225458, 955226, 1225381, 1225396, 949932, 1168977, 949988, 1168981, 1225411, 950449, 950419, 955386, 950107, 1168576, 952001, 955220, 955424, 955410, 955806, 952032, 950385, 951495, 955342, 955355, 950285, 951408, 1168555, 951780, 1225228, 950236, 1168380, 955747, 955820, 951616, 949942, 955176, 951915, 949951, 1168387, 950415, 1168375, 951728, 955910, 955266, 950218, 1168487, 951437, 950124, 955354, 950560, 955238, 950014, 955692, 955789, 951980, 949834, 951795, 949816, 951824, 951686, 955749, 1168550, 950400, 951613, 1169062, 955262, 955686, 955164, 950178, 949958, 1168508, 955838, 949894, 951555, 1168552, 950239, 955315, 951887, 951976, 950391, 950547, 952053, 951496, 955861, 955299, 955813, 1225373, 955432, 949897, 955859, 1225429, 951318, 951481, 950440, 955534, 950571, 955514, 1225385, 950339, 950132, 955449, 951958, 951696, 955447, 950209, 949789, 949977, 950517, 1225448, 955382, 950520, 950048, 951382, 951346, 955670, 950150, 1225183, 955411, 951960, 950456, 951405, 955752, 955193, 949828, 950458, 949776, 950223, 955529, 1169043, 955565, 949849, 1225881, 950482, 1225432, 955450, 950083, 951452, 955295, 955786, 950341, 950501, 950534, 950509, 951805, 950003, 951331, 950371, 951490, 951773, 951315, 1225388, 955504]","{'PRP': 0.07406631756528405, 'sentiment': 0.06964015494868994, 'of': 0.06358418436248817, 'NN': 0.053532515250179484, 'VB': 0.04941589355131787, 'have': 0.034776959739194195, 'IN': 0.031593062353468794, 'DT': 0.03109269940705487, 'to': 0.02995644574278243, 'mean_sen_len': 0.028554153851883125}"
0.4975,0.3365843998316707,0.41603694374475225,0.4975,0.66332,0,0.99,0.009852216748768473,0.3333333333333333,0.005,"[838431, 1252451]","[951445, 955887, 955167, 950107, 955780, 950307, 1168485, 955496, 955195, 949855, 950515, 950499, 951860, 951944, 951846, 950344, 1168516, 955663, 951810, 955485, 955287, 1225878, 950119, 955366, 950443, 951743, 950226, 955278, 955668, 950203, 955761, 955834, 951421, 955375, 950162, 955487, 1225885, 951731, 952033, 955488, 1225445, 955529, 952035, 955464, 1225199, 955511, 950449, 949815, 951748, 955620, 955768, 955430, 1225197, 1225407, 949874, 949835, 951477, 951874, 1168545, 950150, 955438, 955249, 950093, 951507, 955617, 955729, 955154, 950055, 951481, 1225244, 949910, 1225919, 950008, 951276, 949995, 949885, 950358, 950359, 1225196, 1168568, 1168368, 951362, 951906, 951956, 951715, 955931, 951824, 949990, 1225463, 955459, 955836, 950175, 955214, 955257, 955654, 949937, 955803, 951948, 951644, 950051, 950401, 950290, 1168526, 951749, 1225201, 949920, 955742, 955725, 951303, 955788, 949816, 950137, 950537, 955764, 951344, 955556, 951624, 1169054, 951691, 951520, 951614, 951673, 951571, 949941, 951686, 951795, 951786, 1225457, 950288, 952048, 955252, 951366, 950334, 1168361, 1225922, 950503, 950496, 950486, 950138, 951938, 950348, 950460, 1168989, 955196, 951971, 955286, 950161, 950450, 955569, 951305, 955219, 955471, 950249, 950313, 951622, 955395, 1168991, 955915, 952046, 955340, 951563, 951737, 955707, 950418, 955862, 955198, 951997, 955792, 955588, 951290, 951886, 1225456, 950000, 1168383, 955690, 951820, 1168980, 955276, 950375, 951658, 1168395, 1225926, 950189, 1168518, 955693, 955516, 1169026, 951677, 1168376, 1225263, 1168500, 1168367, 951856, 955363, 951485, 1225183, 952027, 955616, 950384]","{'of': 0.07395138196522262, 'PRP': 0.07317132002343238, 'NN': 0.05742381166297253, 'sentiment': 0.05447960788672956, 'VB': 0.05331034025150454, 'IN': 0.04991208312952699, 'DT': 0.04024813676946181, 'NNS': 0.03437550706547065, 'the': 0.03359889616503593, 'have': 0.03338014939798674}"
0.505,0.35275080906148865,0.5846023688663281,0.505,0.66667,1,0.99,0.038834951456310676,0.6666666666666666,0.02,"[1251426, 1098391]","[951954, 951651, 952043, 955192, 1225907, 950130, 950065, 1225386, 955239, 951585, 950314, 955623, 950351, 950132, 950389, 955856, 951351, 949822, 950015, 951882, 1225895, 950086, 951735, 955825, 1168326, 949777, 955629, 951491, 955391, 1168388, 1225930, 950048, 949821, 949819, 950475, 955372, 1225395, 950397, 951682, 955548, 950067, 949807, 955538, 949810, 950020, 952053, 955231, 951420, 950286, 1225447, 950043, 950350, 955166, 951317, 955561, 1168315, 951556, 1225376, 951360, 950045, 950566, 950039, 1168532, 949852, 951282, 950568, 950260, 950537, 1168569, 1168390, 951466, 949910, 951751, 949843, 952023, 1225230, 952047, 1168328, 955424, 950377, 955374, 1225872, 955778, 950115, 1168358, 951587, 950392, 955214, 1168394, 955853, 950523, 955161, 951390, 955288, 955487, 1225924, 949934, 955508, 950364, 949816, 949900, 1168500, 1168526, 1225430, 955421, 950241, 951326, 951571, 951686, 1169013, 1225372, 952027, 955812, 949784, 951703, 951642, 1225217, 949897, 1168576, 955457, 1168572, 951869, 1169031, 951955, 950195, 950452, 1225905, 950311, 949812, 955320, 955936, 951660, 955359, 1168396, 1168383, 950384, 955768, 949975, 951966, 955671, 951539, 950414, 955186, 1225457, 949834, 955257, 950322, 1168540, 1225187, 951744, 951835, 952001, 951476, 951986, 950034, 955822, 950323, 951471, 951914, 950308, 1168555, 952005, 950533, 955878, 951409, 950471, 950484, 949919, 950205, 955182, 950341, 950454, 950337, 955361, 955495, 952030, 1168559, 955674, 949953, 955444, 951822, 949863, 949872, 951792, 951469, 955201, 951823, 950068, 950353, 955542, 1225237, 951933, 955665, 950168, 949981, 955760]","{'PRP': 0.06698763066573457, 'of': 0.06332147447078841, 'sentiment': 0.06261455944982902, 'NN': 0.057493416978271795, 'VB': 0.05268441198375359, 'DT': 0.04076071063723096, 'the': 0.03775098926118519, 'RB': 0.03469275336771006, 'have': 0.031934107916153816, 'i': 0.031232419668376758}"
0.5,0.3377264147819464,0.5,0.5,0.66555,0,0.995,0.009900990099009901,0.5,0.005,[1154545],"[955532, 955323, 951966, 951621, 955159, 951771, 955735, 951805, 955173, 951624, 951339, 951746, 1168492, 951990, 1225939, 950125, 955154, 1225927, 1168497, 1168308, 955777, 955151, 1225877, 950195, 1169059, 949945, 950229, 951760, 952050, 951335, 950025, 951298, 955238, 950219, 1225414, 950434, 1168326, 950292, 955664, 955224, 950160, 950050, 955889, 950449, 955209, 955656, 951944, 950567, 950217, 949981, 955348, 1225434, 951618, 955388, 951592, 951765, 1169008, 1168998, 950250, 950115, 951642, 950035, 950569, 955863, 1225382, 955653, 1168374, 955795, 955430, 1225926, 950244, 951884, 951767, 950525, 950110, 955488, 951293, 950320, 952044, 1225196, 950345, 950194, 949882, 1168301, 1225203, 950221, 951974, 955576, 951631, 1225198, 951568, 955350, 950533, 1225889, 955619, 1168528, 955677, 952010, 955235, 1168299, 1225253, 1225438, 949834, 1225909, 955914, 950482, 955304, 951630, 951275, 950291, 955624, 951823, 1225459, 951313, 955267, 955419, 950347, 1225221, 951326, 955180, 955877, 955762, 951857, 1225912, 951787, 955314, 950426, 951415, 951266, 955816, 951834, 1168535, 950279, 1225907, 950078, 1169020, 951353, 955774, 950324, 949831, 950273, 950269, 951916, 951495, 951609, 1225243, 955374, 951317, 955282, 951822, 1225211, 1168315, 1225440, 955927, 951777, 1169021, 1168390, 951480, 950059, 955813, 955163, 951290, 955614, 950082, 951969, 955310, 1225233, 1169054, 951285, 955412, 950331, 955363, 955352, 950237, 955707, 1225410, 955281, 1168386, 955353, 951682, 1168316, 955840, 1225942, 955661, 955404, 950389, 955562, 955713, 951325, 950048, 1168971, 955936, 1225928, 951835, 955932, 951462, 950024, 1225868, 955463]","{'sentiment': 0.07477511891840012, 'PRP': 0.06647808961420924, 'of': 0.06117791802468395, 'NN': 0.04903901191227709, 'VB': 0.04805860869419124, 'NNS': 0.0352807498638303, 'RB': 0.03324308191147612, 'mean_sen_len': 0.03252133767100865, 'DT': 0.03237635819388709, 'i': 0.031738428826886274}"
0.5025,0.34740725558516083,0.550632911392405,0.5025,0.66555,1,0.99,0.02926829268292683,0.6,0.015,"[1253890, 1096726]","[955787, 949833, 955907, 951861, 951333, 950121, 950132, 951269, 1225441, 951368, 949853, 951355, 950115, 950404, 1225196, 955679, 949796, 951381, 955884, 955494, 951727, 1169038, 955561, 955190, 951464, 951307, 955927, 949813, 949867, 951997, 955164, 955852, 950384, 1225240, 951558, 955928, 949877, 955466, 950557, 950081, 951744, 950059, 955771, 950293, 952062, 950174, 955602, 951667, 955718, 1225885, 955572, 1168499, 955395, 1225399, 1168576, 1168514, 955781, 1168319, 955794, 951409, 955161, 1168557, 950561, 950251, 955666, 951386, 950569, 951672, 1168357, 950210, 955729, 955226, 951615, 950247, 1168331, 955403, 949852, 1225259, 951350, 955935, 1168388, 950451, 1225256, 951733, 951394, 955847, 955808, 951904, 1168300, 1225234, 1168560, 955365, 1225899, 950024, 951804, 950034, 950469, 951444, 950144, 955682, 951784, 949869, 951559, 1225368, 1225934, 950136, 950186, 950249, 950361, 955260, 951829, 950192, 951984, 952016, 1168984, 1225914, 951511, 1225881, 1225406, 955384, 950508, 951633, 950173, 955389, 950564, 950005, 951690, 955216, 1168968, 950354, 1168343, 950310, 1225439, 955268, 949959, 950530, 955660, 1225258, 951730, 951302, 955877, 951382, 950443, 951681, 955431, 955500, 1168362, 951557, 955440, 955790, 955152, 955699, 1225925, 955853, 1225930, 955802, 950090, 951455, 950409, 1168302, 950080, 949962, 955471, 1169048, 955473, 950501, 955351, 1225869, 950429, 1168546, 951616, 951651, 955205, 1168368, 955308, 950082, 951315, 955243, 951718, 955192, 955567, 950089, 955396, 955201, 951578, 951451, 951721, 949975, 950423, 949808, 1225932, 949992, 951864, 1168396, 955246, 949954, 1225871]","{'PRP': 0.07379915907217206, 'of': 0.07094786606937642, 'VB': 0.054531420261426336, 'NN': 0.05322857169728129, 'sentiment': 0.052560753599417184, 'to': 0.040236130114866174, 'mean_sen_len': 0.03909196896818298, 'IN': 0.038387081789414836, 'DT': 0.0344478004422528, 'have': 0.030568235830332684}"
0.5,0.3420186866692985,0.5,0.5,0.66443,0,0.99,0.0196078431372549,0.5,0.01,"[1098109, 1253255]","[1225262, 1168521, 955508, 1168490, 950328, 950237, 951331, 950090, 1168307, 951886, 949897, 950528, 950140, 1225190, 950454, 1168532, 951953, 950340, 955810, 950173, 951558, 950186, 951767, 1168970, 955627, 955206, 951748, 955303, 1225915, 950222, 955166, 951841, 1225221, 950331, 949783, 949977, 951308, 955244, 950143, 951781, 1168301, 951823, 951676, 1225238, 951864, 1169006, 951583, 950488, 1225907, 950142, 1225177, 955459, 955158, 949779, 1168370, 951805, 1225269, 955915, 952030, 950220, 955351, 955606, 955587, 1225412, 950112, 1225196, 951429, 951410, 951441, 950562, 949788, 955196, 955261, 955577, 1225913, 951569, 950241, 1169061, 1169017, 949808, 1225441, 949938, 1225452, 1225376, 951936, 950261, 951951, 955517, 955573, 950078, 951698, 955179, 955798, 955318, 950231, 1168514, 951588, 949875, 950501, 1225876, 951857, 955697, 955349, 955865, 950504, 951680, 949832, 951895, 955775, 955598, 1225235, 955922, 1168551, 950153, 949777, 951685, 950490, 951504, 955911, 950491, 949838, 1168486, 952027, 1225261, 955759, 951861, 949983, 1168308, 1169000, 950055, 955647, 955445, 951622, 955825, 1169018, 1225230, 950200, 951540, 951315, 955794, 951521, 955278, 949852, 951435, 955769, 950258, 955252, 952036, 951803, 955448, 955624, 950202, 951290, 950403, 1225189, 1168530, 1225425, 955589, 951560, 950322, 951756, 955273, 955269, 950500, 951815, 1225176, 951757, 955739, 951697, 952022, 951534, 955444, 955458, 1225410, 950298, 950095, 955723, 955430, 950565, 950514, 955731, 951453, 952039, 1225389, 955867, 955917, 955836, 951448, 949999, 1168549, 950265, 955655, 951281, 949862, 951518, 1225892, 951778, 1225433]","{'PRP': 0.08134587979138955, 'of': 0.06796106491036552, 'NN': 0.05913239480202329, 'sentiment': 0.056808268223796025, 'VB': 0.055881914468049396, 'IN': 0.039607501607644556, 'the': 0.039512576734851874, 'to': 0.03793399106872277, 'DT': 0.03787068168249121, 'NNS': 0.030541135166374946}"
0.5,0.3377264147819464,0.5,0.5,0.66555,0,0.995,0.009900990099009901,0.5,0.005,[1097702],"[951601, 955427, 951988, 950089, 950450, 951338, 950045, 951356, 1225380, 949910, 950274, 1225895, 951708, 1169032, 955807, 951946, 955442, 950226, 955400, 1225859, 955217, 955787, 1225238, 1169043, 955529, 951410, 1225924, 955889, 955262, 950557, 951358, 1169014, 949852, 951673, 949979, 955431, 1225900, 955489, 955909, 950119, 1168303, 955905, 950143, 951475, 951307, 950477, 1225388, 951485, 951543, 955293, 1225937, 1168319, 951324, 951535, 955175, 950076, 955154, 1225858, 951494, 949877, 955306, 950369, 950212, 951394, 951609, 950437, 951314, 1168530, 955867, 1225899, 955708, 1168358, 955507, 951389, 950221, 955847, 1225202, 1225385, 951419, 949800, 951868, 950503, 955784, 951346, 951564, 955709, 1225463, 951447, 951402, 951666, 1168981, 955607, 951695, 1169004, 949925, 951592, 951308, 949936, 955311, 949920, 950262, 949822, 951815, 951880, 950053, 1225897, 955511, 1225257, 1168502, 955799, 955715, 949796, 951375, 949798, 1169010, 955237, 955578, 1168378, 1225203, 955281, 951785, 950317, 955183, 955409, 955599, 951428, 951684, 1225191, 950225, 951896, 1169056, 1169062, 950133, 950499, 950291, 951685, 951520, 949807, 951360, 951702, 950424, 1168507, 951830, 1225451, 950409, 951339, 1225945, 951595, 951465, 955707, 1169046, 955376, 950222, 1168560, 952029, 955609, 951435, 951721, 949999, 1225376, 955576, 955699, 952056, 955245, 950386, 950514, 951819, 955689, 950308, 951385, 951914, 951336, 950009, 951619, 955438, 951790, 952026, 949844, 1169041, 950015, 955335, 955812, 950256, 1225407, 951468, 955775, 955530, 951445, 955727, 1168307, 955617, 955684, 1225853, 950468, 951433, 955324, 1168983, 951473, 1225242]","{'PRP': 0.07216364215338325, 'sentiment': 0.06606502974682205, 'NN': 0.0639350783508773, 'of': 0.0632570989593917, 'VB': 0.04883301725070661, 'NNS': 0.03707882886869267, 'DT': 0.03619949001442637, 'IN': 0.034873007413882356, 'to': 0.028853637524869066, 'i': 0.02851430502699507}"
0.4925,0.32998324958123953,0.24811083123425692,0.4925,0.65997,0,0.985,0.0,0.0,0.0,"[1098391, 1252036, 1252758]","[951477, 1168518, 949825, 1168565, 1169025, 950527, 951595, 949813, 950313, 950085, 950433, 949898, 951267, 951874, 951408, 950409, 951540, 949919, 955330, 949977, 951846, 950481, 1169034, 952043, 951742, 951420, 955494, 951754, 951899, 1168976, 1168977, 955904, 951481, 949816, 951831, 949868, 949866, 1169024, 955187, 955930, 951741, 951811, 1225866, 955637, 1225229, 951842, 950253, 950202, 950550, 951418, 949950, 955218, 951342, 951787, 950185, 950021, 951952, 950305, 951921, 950410, 1225253, 950136, 955877, 955224, 950349, 955397, 951896, 951535, 950243, 1168360, 950074, 949968, 955579, 1225416, 950568, 955683, 1168972, 955524, 951502, 955323, 1168322, 955859, 955302, 951486, 950125, 951596, 955620, 1169019, 951777, 951687, 1225190, 955490, 955626, 950152, 955784, 1168396, 951847, 951974, 955493, 951631, 950358, 1225392, 949780, 950081, 950157, 1225388, 951368, 1169007, 955538, 951951, 949966, 955543, 950467, 955414, 951619, 952048, 951821, 1225915, 950184, 955437, 951468, 949944, 955845, 1168353, 949989, 1225384, 955574, 949789, 950046, 949937, 1225884, 950115, 950342, 955219, 1225869, 955798, 951638, 949818, 951981, 950448, 949781, 949906, 951472, 951873, 950220, 950197, 951667, 1169041, 951291, 950560, 952040, 951574, 950073, 950318, 1168315, 1225451, 950357, 1168489, 950507, 951994, 950397, 950428, 1225402, 955630, 955317, 1168991, 949999, 951852, 955916, 955702, 949934, 1168580, 955820, 951818, 951378, 950178, 955273, 950192, 949964, 1168371, 951920, 950470, 1225410, 951938, 1168335, 955425, 1168584, 955721, 950376, 1225189, 1225860, 950177, 950286, 951340, 1168361, 950535, 1168364, 949897, 951698, 955190]","{'PRP': 0.07536023401346388, 'of': 0.06141777011181987, 'VB': 0.061115624868744056, 'NN': 0.06041266467661403, 'sentiment': 0.058401517878704075, 'to': 0.03719811640383916, 'IN': 0.03719223688903615, 'DT': 0.03419294737127526, 'RB': 0.033248428670926096, 'NNS': 0.03058442266048829}"
0.4975,0.33222036727879795,0.24937343358395989,0.4975,0.66444,0,0.995,0.0,0.0,0.0,[1094182],"[950346, 955605, 955297, 951668, 955696, 1225185, 950019, 949879, 950553, 950137, 951326, 950400, 951993, 951800, 950288, 949797, 955508, 955285, 1225375, 951356, 950329, 955697, 955219, 1168363, 950275, 951872, 955589, 951339, 950268, 950391, 951607, 1225219, 951688, 955408, 955812, 951462, 951414, 955704, 950360, 951277, 955594, 1168501, 1225371, 951623, 951961, 1168988, 1225194, 955193, 955844, 952033, 951423, 949898, 951631, 955684, 1169035, 955824, 950094, 951788, 1225259, 950280, 951603, 950315, 949816, 951274, 951580, 955397, 955895, 950033, 950514, 949928, 951969, 955374, 955403, 955711, 955250, 955710, 951898, 955809, 955223, 955245, 951669, 951595, 950154, 952009, 951933, 949855, 950366, 1225233, 955402, 951464, 950306, 950209, 1168575, 951845, 1168350, 949802, 1225379, 950148, 951512, 1225256, 949981, 955681, 949830, 950155, 951469, 1168534, 950254, 950368, 950558, 950054, 951489, 950503, 951890, 1169018, 951947, 955358, 950416, 955433, 1168967, 951538, 955208, 950022, 949861, 951361, 950374, 955876, 955515, 955609, 951704, 1168303, 949971, 949983, 955540, 950227, 950299, 1168490, 949935, 955313, 1225852, 949793, 1225945, 1168323, 951808, 1225895, 949919, 951854, 955172, 950461, 951564, 950003, 1225385, 950463, 955221, 1225186, 950426, 1225926, 955456, 950352, 1168306, 955270, 951328, 949947, 955849, 1168375, 949842, 1168341, 955276, 1225372, 955417, 955342, 1168339, 955410, 950217, 951367, 951879, 951919, 950071, 952057, 951723, 1225421, 951442, 951746, 955155, 950305, 950244, 1168968, 1225879, 951968, 950035, 955384, 952055, 949858, 950570, 951301, 955887, 955783, 1225449, 951610, 950101, 951478]","{'PRP': 0.07789075680407966, 'of': 0.07109559185698976, 'sentiment': 0.06227958316405169, 'IN': 0.051072068088537016, 'NN': 0.047444188697656334, 'VB': 0.04517007044282271, 'have': 0.036788200264271854, 'DT': 0.03463382757432456, 'the': 0.031233299631962096, 'RB': 0.029923726631374676}"
0.4975,0.33222036727879795,0.24937343358395989,0.4975,0.66444,0,0.995,0.0,0.0,0.0,[1196403],"[950486, 955625, 950369, 951849, 950481, 1225376, 1168577, 955438, 950523, 951277, 951714, 955249, 955702, 950415, 1168538, 955185, 955252, 1225870, 1225448, 1225407, 955636, 1225903, 950146, 1168516, 951305, 955784, 949922, 950386, 949820, 951937, 1168308, 955537, 1225224, 1225199, 950060, 952004, 949969, 950335, 955423, 951735, 955777, 951319, 951930, 955858, 1169053, 955643, 955935, 949851, 1168994, 1225231, 951585, 955253, 1168314, 955494, 951630, 1225262, 949965, 1225899, 950566, 1168348, 952046, 1225880, 951320, 1225908, 950443, 951325, 950344, 951287, 1168352, 1168507, 951456, 955161, 955714, 1168498, 950336, 1225241, 950265, 950492, 951692, 955548, 955326, 951842, 1225447, 950114, 1225207, 952061, 950363, 950305, 951581, 1225218, 955609, 1168997, 952034, 950139, 1225181, 951391, 951855, 1168394, 949977, 950254, 951289, 950270, 951761, 950314, 1225409, 950473, 955391, 955493, 951381, 949979, 950322, 955257, 951689, 955870, 955824, 950256, 955509, 951266, 1225192, 950051, 955199, 955615, 950549, 955668, 1225175, 949998, 955293, 955929, 950050, 951622, 951379, 949893, 955445, 950045, 951658, 950472, 1168369, 1225399, 955606, 950208, 955736, 951871, 955909, 951500, 1168520, 951336, 955737, 951593, 951603, 951788, 950123, 949855, 955331, 949907, 1225213, 952016, 951791, 950081, 951903, 955405, 951356, 951837, 951271, 955292, 950525, 955753, 955231, 949850, 950467, 949963, 955662, 951963, 949968, 951962, 949801, 950086, 949984, 951732, 1225436, 951951, 949792, 950211, 1225247, 951362, 1169000, 1225914, 950210, 951771, 951590, 955521, 951539, 950328, 951408, 952038, 950197, 949778, 955915, 952019, 955581, 951723]","{'sentiment': 0.07120988743230194, 'PRP': 0.06815476321843573, 'of': 0.06679617752979342, 'NN': 0.04814242632459473, 'VB': 0.04357046663677511, 'DT': 0.04332857446175881, 'IN': 0.039932479642751754, 'have': 0.028324816408691226, 'which': 0.02808695372999148, 'NNS': 0.02786359880579483}"
