accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.5375,0.47397976954627197,0.5725373567387204,0.5375,0.65677,1,0.885,0.29118773946360155,0.6229508196721312,0.19,"[1091949, 1191413, 837298, 1191293, 1248848, 1248403, 1091913, 1249061, 1193159, 1191278, 1249697, 1193357, 1191659, 1250805, 1248688, 1191826, 1193737, 1192544, 837186, 1091545, 1090129, 1249996, 1093143]","[1222326, 927644, 926950, 927575, 927587, 1222341, 1222390, 1222381, 927237, 927128, 1222316, 927288, 927399, 927540, 927716, 927626, 1222371, 1165544, 927420, 927665, 927596, 927366, 927361, 1165456, 927104, 1165549, 927432, 927643, 926999, 927343, 927563, 927499, 927079, 927057, 927473, 927226, 927317, 927298, 927670, 1165526, 1222380, 1165479, 927365, 927393, 927726, 1165528, 927638, 927334, 927083, 927538, 927618, 927239, 927135, 927685, 927333, 927230, 927369, 927309, 927455, 927690, 927294, 927308, 927560, 927048, 927556, 927677, 927039, 1222327, 927657, 926962, 927474, 927514, 927650, 927619, 927449, 927117, 927315, 927703, 927198, 927624, 927295, 927115, 927492, 926992, 1165467, 927427, 927241, 1222312, 927349, 927457, 927593, 1165505, 927029, 927130, 927165, 927379, 926989, 927137, 927692, 927512, 927484, 927699, 1165507, 927510, 1165547, 927628, 927660, 927338, 927327, 927259, 927196, 1222391, 927513, 927132, 927549, 927579, 927255, 1165455, 927144, 927245, 927194, 927096, 927584, 1222344, 927552, 1165480, 927303, 1222355, 927225, 926980, 927597, 1165498, 927629, 1222340, 927171, 927111, 927102, 927229, 927352, 1165458, 1222304, 927496, 927329, 1165540, 927058, 927050, 1165503, 926994, 927136, 927222, 927208, 1165504, 1222364, 927426, 927268, 927614, 927555, 927462, 1165538, 927468, 927031, 927394]","{'of': 0.07761883397257718, 'PRP': 0.07314220522093112, 'sentiment': 0.06455342989111344, 'NN': 0.056497991299668204, 'VB': 0.04485883873323977, 'IN': 0.03756873444876973, 'DT': 0.03733114273652629, 'have': 0.035912198112576205, 'the': 0.03464635394864177, 'NNS': 0.029382106520096398}"
0.5125,0.406568826603976,0.5437101145205001,0.5125,0.65729,1,0.935,0.15584415584415584,0.5806451612903226,0.09,"[1090263, 1092739, 1092381, 1093178, 1192206, 1091862, 837468, 1191625, 1092951, 1190920, 1091094, 1090508, 1091126]","[927288, 927084, 927175, 1165515, 927157, 1165513, 927110, 927209, 1165506, 927365, 927433, 927610, 927292, 927070, 927566, 927569, 927135, 927287, 927420, 927377, 927066, 1222353, 927599, 927171, 1165496, 927055, 927438, 1165473, 927050, 927474, 927114, 927661, 927330, 927102, 927645, 927619, 927678, 927542, 927361, 927118, 927409, 1222348, 927005, 927664, 927729, 927505, 1222389, 1222347, 927357, 1222338, 927107, 1222395, 927614, 927694, 927705, 927040, 927307, 927537, 927382, 927196, 1165472, 1165534, 927423, 927296, 927553, 927414, 927606, 926957, 927155, 927528, 927101, 1222387, 927143, 927129, 927213, 1222311, 1222321, 927627, 926960, 926977, 927430, 927105, 927384, 927655, 927212, 1165467, 926948, 927037, 927720, 927711, 1165454, 927408, 927399, 927444, 927724, 927276, 927007, 927046, 927289, 927728, 1165452, 926950, 927524, 927353, 927667, 1165465, 927339, 927027, 1165503, 927286, 927697, 927271, 927502, 927545, 927250, 927222, 927029, 927169, 927012, 1222360, 927597, 1165479, 927611, 927370, 927170, 1165482, 927300, 927122, 926974, 1222346, 927224, 927071, 926956, 927424, 927323, 1165548, 927186, 1222374, 927706, 1222379, 927397, 927354, 927058, 927052, 927538, 927468, 927117, 927133, 1222312, 1165493, 927488, 927098, 927639, 927609, 927621, 927465, 927663, 927004, 927096, 927394, 927268, 927428, 926958, 927543, 927016, 927672, 1222300, 927363, 927044, 927456, 927582, 927043, 926999, 927437, 927183, 1222384, 1165492, 927585, 927448, 1165510, 927263, 927255]","{'PRP': 0.07780986457358852, 'of': 0.06895123454281153, 'VB': 0.056984411784590995, 'sentiment': 0.044951094269151025, 'NN': 0.0444084409081862, 'IN': 0.04137632411456211, 'the': 0.03850473649605304, 'to': 0.03733526070771353, 'NNS': 0.033474789625124644, 'DT': 0.03134940536614464}"
0.495,0.39591494960973717,0.4854608897935446,0.495,0.64057,0,0.9,0.15126050420168066,0.47368421052631576,0.09,"[1193869, 1193986, 1093791, 1093334, 1193114, 837208, 1191035, 1193305, 1193390, 1191333, 1093526, 1250611, 1154474, 1191604, 1248428, 836984, 1093622, 837674, 1093737, 1091973]","[927077, 927601, 927035, 927627, 927544, 1222378, 927283, 1165467, 927109, 927239, 926994, 927059, 927336, 927052, 927492, 1165521, 927389, 927259, 927262, 927727, 927422, 927256, 1165492, 1165531, 927351, 1165545, 927153, 927433, 1222317, 927294, 927731, 927156, 1165548, 927559, 927506, 927423, 1222347, 1165479, 927651, 927588, 927537, 1222391, 927573, 927344, 927443, 927255, 927411, 927002, 927142, 927095, 927125, 927133, 1222335, 926952, 927346, 927525, 927224, 927044, 927387, 926993, 1165456, 927340, 927207, 927312, 927397, 927655, 927296, 927538, 1222311, 1165472, 927677, 927352, 1165517, 927279, 1165533, 927715, 927171, 927349, 927347, 927001, 926969, 1222325, 927419, 1165497, 927302, 927157, 927429, 927699, 927444, 927552, 927164, 927554, 927357, 1165534, 927572, 1165541, 927186, 926961, 926989, 927629, 927495, 927695, 927027, 927323, 927662, 927611, 1165537, 927670, 927331, 1222328, 927620, 927437, 927371, 1222326, 927359, 1222306, 927645, 927284, 927621, 927099, 926957, 927313, 927555, 927080, 927350, 1222331, 1222319, 927466, 927667, 1165536, 927120, 927658, 1165547, 927454, 927228, 927463, 927438, 1222355, 1222390, 1222315, 1165463, 927025, 927514, 927211, 927100, 927160, 1222324, 927249, 927057, 926951, 1165475, 927065, 927266, 926987, 1165509, 927222, 927191, 927278, 927227, 927707, 927407, 927414, 927104, 927096, 1165506, 927177, 1222383, 927719, 927308, 927570, 927247, 927058, 927531, 1222337, 927646, 927274, 1222389, 1222384, 927286, 927131, 927254, 1165543]","{'PRP': 0.0767445774327308, 'sentiment': 0.07391570775143065, 'VB': 0.05003732937649406, 'of': 0.049195599577680084, 'NN': 0.04649014335687067, 'DT': 0.046044247548852925, 'the': 0.03636788667235652, 'IN': 0.03505876158442239, 'have': 0.0321060436099401, 'to': 0.03161168829080262}"
0.52,0.4171928120446819,0.5679347826086957,0.52,0.66197,1,0.94,0.1724137931034483,0.625,0.1,"[1249428, 1090771, 1250412, 1193509, 1191360, 1249564, 1248284, 1250143, 1090712, 1090014, 1190972, 1191543]","[927565, 927289, 927661, 927456, 927211, 927109, 927349, 1165459, 927016, 926988, 927070, 927249, 927002, 927550, 927384, 927380, 927648, 927236, 927058, 1165517, 927296, 927400, 927247, 927566, 927436, 927412, 927556, 927125, 1222389, 927120, 927598, 927486, 927477, 1222322, 927686, 927470, 927065, 1222326, 926974, 927403, 927676, 927572, 927513, 927222, 927263, 927459, 927096, 1222380, 927214, 927181, 927425, 927072, 927309, 927377, 927060, 927538, 1165502, 927308, 927355, 927378, 1165452, 1222331, 927618, 927298, 927212, 927589, 1165545, 1222371, 927379, 927687, 927240, 927728, 927619, 927558, 927394, 927682, 927468, 926981, 927717, 927724, 927567, 926989, 1222359, 1222397, 927201, 1165467, 927521, 927361, 927285, 927185, 1222327, 927554, 1222299, 927505, 927364, 927444, 927455, 927183, 927710, 927127, 1222372, 927443, 927315, 927026, 927356, 927493, 927578, 927398, 927224, 1165514, 927576, 927555, 927261, 926999, 926986, 1165461, 927292, 927646, 927422, 927203, 927592, 927593, 927269, 927644, 927514, 927627, 927663, 927581, 926952, 927547, 927445, 927629, 927142, 927359, 927526, 927630, 1165526, 927330, 1165474, 927528, 927407, 927584, 927351, 927028, 927160, 927424, 926983, 927371, 927130, 926958, 927216, 927729, 927313, 927322, 926972, 927083, 926967, 926953, 927510, 927478, 927007, 927597, 1222390, 927003, 927586, 927032, 1165466, 927694, 927668, 927596, 927472, 927108, 927342, 927404, 1165471, 927100, 927499, 927594, 926968, 927208]","{'PRP': 0.0675560053054431, 'sentiment': 0.061250703446298065, 'of': 0.05814641397134131, 'NN': 0.057302450866598596, 'VB': 0.0533609038619676, 'DT': 0.04309852345008589, 'which': 0.036345663109433934, 'IN': 0.03327967824530345, 'the': 0.03296408617089171, 'NNS': 0.031220497820493156}"
0.4925,0.4107359269660883,0.48314512051238834,0.4925,0.63024,0,0.865,0.19123505976095617,0.47058823529411764,0.12,"[1093664, 1192606, 1248566, 1092278, 1190976, 1248099, 1250131, 837507, 1248955, 837109, 1249771, 1090192, 1092670, 1191029, 1092609, 1093129, 1250068, 1191730, 1090920, 1193474, 1248767, 1250018, 1191625, 1248688, 1249672, 837302, 1092985]","[926997, 927454, 927238, 927068, 1222368, 926987, 927265, 927117, 927517, 927423, 927227, 1222332, 927249, 927687, 927052, 1165451, 1165541, 926972, 927679, 927368, 927416, 927537, 927080, 927568, 1222344, 927331, 927357, 1222391, 927004, 1165549, 1222326, 927232, 927501, 1222307, 927434, 927705, 927326, 927553, 927029, 927613, 927285, 1165482, 1222382, 927268, 927644, 1165500, 927439, 927103, 927180, 927316, 927128, 927208, 927645, 927638, 927696, 927378, 927455, 927072, 927618, 927339, 927478, 927105, 927348, 926959, 927502, 927430, 927016, 927143, 927258, 927109, 927641, 927540, 927293, 927242, 927123, 927729, 926983, 927465, 926984, 1165496, 927698, 927098, 1165493, 927104, 927137, 926956, 927130, 927121, 927414, 927669, 927134, 1222355, 927005, 927356, 927317, 927407, 927633, 927675, 927129, 927132, 1165544, 927609, 926954, 927090, 927426, 1165504, 927049, 927564, 927294, 927147, 927346, 1165473, 927119, 927525, 927299, 1165485, 927159, 1222327, 927216, 927015, 926969, 927724, 1222315, 927401, 927646, 927305, 927479, 927110, 927601, 927395, 926953, 927323, 927205, 927715, 927521, 927334, 927187, 927338, 927695, 927722, 927195, 926981, 927167, 927632, 927155, 927577, 927359, 927433, 1165526, 1165499, 927083, 1165492, 927452, 927229, 1222374, 927642, 927453, 927677, 926996, 927582, 926991, 927481, 927572, 1222304, 1165533, 927043, 1165463, 927549, 927262, 926960, 927074, 927451, 927717, 927409, 927647, 927389]","{'of': 0.07273010961876475, 'PRP': 0.06667386625919845, 'sentiment': 0.0630024373597348, 'VB': 0.05385589283786429, 'NN': 0.05330083137749735, 'IN': 0.046311863828650414, 'NNS': 0.04029142295670894, 'have': 0.03280336779920678, 'i': 0.03213957976034735, 'DT': 0.03196764314753957}"
0.5225,0.4355416657431419,0.5586281024037522,0.5225,0.65709,1,0.915,0.2139917695473251,0.6046511627906976,0.13,"[1193544, 1248772, 1092811, 1248445, 1192434, 1248428, 1194056, 1093371, 1249916, 1090372, 1250082, 1092487, 1090980, 1191035, 1092206, 1092900, 1191721]","[927417, 927255, 927501, 1222311, 927220, 1165549, 927590, 1165476, 927245, 927390, 927700, 927633, 1165460, 927029, 1165509, 927444, 927182, 927039, 927225, 1222317, 927380, 927422, 927028, 927007, 1165505, 927174, 927008, 927393, 926972, 927402, 927037, 927027, 927323, 927465, 927194, 927609, 927212, 927222, 927408, 1165518, 927364, 927508, 927525, 927526, 927593, 927297, 927261, 927045, 927679, 927705, 927213, 927453, 927612, 927368, 1165526, 1165530, 1222373, 926975, 927230, 927167, 927715, 927398, 927145, 927483, 927134, 927190, 927592, 927136, 927549, 927017, 1222330, 927114, 1222365, 927137, 926995, 1222354, 927474, 927005, 1222384, 927485, 927531, 927627, 927044, 927152, 926983, 927195, 1222393, 927062, 927204, 927573, 927109, 927458, 927187, 1222395, 927327, 927629, 927599, 927138, 927035, 927348, 1222397, 926953, 927231, 927622, 927318, 1165514, 927191, 927608, 927350, 1165456, 927158, 1222370, 927477, 927232, 927305, 927568, 927063, 927669, 927642, 927626, 1165539, 927289, 1222367, 927003, 927707, 927727, 1222315, 1222361, 927246, 927214, 1165474, 927141, 927470, 927691, 927090, 927659, 1165459, 1222360, 927330, 927637, 927654, 1222378, 927077, 926955, 927294, 927596, 927591, 927641, 927414, 927478, 927423, 927281, 927661, 927216, 927657, 926977, 927115, 927492, 927381, 927611, 927089, 927604, 926987, 927164, 1222359, 927671, 927698, 927322, 927670, 927315, 927682, 927020, 1165451, 927538]","{'PRP': 0.07684657407794725, 'of': 0.06740236823239598, 'sentiment': 0.05827520648514421, 'NN': 0.05775832078085328, 'IN': 0.046583481682537814, 'VB': 0.04453219558009668, 'DT': 0.03532004755750521, 'have': 0.0333063686194257, 'the': 0.03270218031033027, 'to': 0.030633662510350185}"
0.52,0.4364708990050189,0.5491279783836895,0.52,0.65343,1,0.905,0.21951219512195122,0.5869565217391305,0.135,"[1093400, 1192497, 1191654, 1250115, 1092949, 1192942, 1249607, 837154, 1091096, 1250831, 1093079, 1247980, 1192243, 1250161, 1193795, 1191649, 1192615, 1191209, 1191227]","[927045, 927478, 927080, 927271, 927307, 927587, 926956, 926977, 927482, 927661, 1165483, 927350, 927343, 927388, 1222334, 927264, 1165463, 927453, 927378, 1165472, 927518, 1165540, 927689, 926980, 927429, 927028, 1222394, 1222352, 927409, 927063, 1222333, 927079, 927041, 927724, 1222388, 927277, 1165543, 927304, 927433, 927301, 927494, 927660, 927694, 927714, 1165534, 927356, 927084, 927584, 927674, 927585, 927654, 1222367, 927641, 927586, 1165485, 927138, 927260, 927395, 927564, 927578, 1222324, 926972, 927437, 927599, 927570, 927559, 927663, 927118, 927655, 927715, 927338, 927420, 927112, 927555, 926991, 1165529, 927083, 927055, 927707, 926950, 927623, 927101, 1165494, 927653, 927431, 927510, 927483, 927677, 927238, 927212, 1165531, 1165513, 927018, 927145, 927598, 927493, 927375, 1222338, 927246, 927422, 926951, 927081, 927262, 927335, 927487, 927359, 927007, 927645, 927054, 927027, 927389, 927568, 927076, 927632, 1165549, 927198, 927012, 927004, 1165457, 927684, 927132, 927662, 927606, 1222358, 1165454, 927630, 927731, 1165475, 927075, 927415, 1165505, 927274, 927580, 927057, 927558, 927005, 927161, 927073, 927517, 927362, 927530, 1222306, 927646, 927318, 927400, 927603, 1222323, 1165512, 927430, 927597, 927039, 927668, 1222357, 927695, 927331, 1165533, 927374, 927604, 926968, 927110, 927504, 927733, 926979, 927109, 1222384, 927309, 927451, 926995, 927258, 927432, 927560, 927069, 927711]","{'PRP': 0.08519217052766402, 'of': 0.07119081627833172, 'sentiment': 0.0664653778519355, 'VB': 0.05832846501481242, 'NN': 0.050335927807486525, 'to': 0.03250665310237117, 'DT': 0.03249039429011258, 'IN': 0.031244763501182826, 'have': 0.03046032568987785, 'which': 0.029303486146571668}"
0.515,0.42261904761904767,0.5416666666666665,0.515,0.65357,1,0.915,0.19166666666666668,0.575,0.115,"[1249017, 1193231, 1092122, 1193608, 1191297, 1092162, 836955, 1250412, 1193629, 1191026, 1193432, 1192253, 1250216, 1247945, 1093754, 1247788, 1092050]","[926955, 1165505, 927583, 927540, 927409, 927514, 1222337, 927646, 927350, 927111, 1222363, 927203, 1222384, 927416, 927204, 1165455, 927660, 926957, 1222362, 1165457, 1165533, 1165506, 927561, 927404, 927103, 927343, 1165495, 927687, 927576, 1165503, 926968, 927477, 1222352, 927141, 927370, 927714, 927557, 1165461, 927433, 927168, 927426, 1165547, 927374, 927667, 927317, 927348, 1165481, 1165489, 927216, 927306, 1222378, 927277, 927493, 927563, 927046, 1222383, 1222371, 1165530, 1222336, 1222347, 1222312, 926987, 927181, 927097, 927092, 927101, 926971, 927248, 927547, 927434, 927702, 927439, 1165490, 1222360, 927442, 927325, 1222365, 927526, 927375, 927722, 927310, 927117, 926980, 1222321, 927464, 927334, 1222354, 1222397, 927212, 927669, 1222345, 927729, 927726, 927165, 1165510, 1222377, 927481, 927259, 927305, 927241, 927231, 927326, 927684, 926972, 927580, 927039, 927395, 927271, 927448, 927220, 927009, 927381, 927314, 927681, 927648, 1222319, 927501, 927717, 927369, 927298, 927535, 1165509, 927137, 927377, 927555, 927424, 927552, 927711, 927199, 927224, 927601, 1165549, 1222357, 926999, 927188, 927589, 1222334, 927502, 927401, 927192, 927327, 927222, 927644, 927135, 927303, 927443, 927307, 927064, 927558, 927731, 927449, 1222309, 1165536, 927157, 927403, 927233, 927616, 927459, 927147, 1222304, 1165477, 927608, 927445, 927169, 927115, 1165512, 926993, 927208, 927213, 1222316, 1222348, 927304, 1165531, 1165493, 927138, 927353, 926948]","{'PRP': 0.075186266916556, 'of': 0.0711056284002394, 'VB': 0.05380389339564723, 'sentiment': 0.05082103134540635, 'NN': 0.05048553987552326, 'DT': 0.04375713998941246, 'IN': 0.04136939449885844, 'the': 0.03755632187427144, 'mean_sen_len': 0.033710181394115295, 'NNS': 0.03139613397613571}"
0.515,0.42799858473876634,0.5383043922369766,0.515,0.65108,1,0.905,0.20491803278688525,0.5681818181818182,0.125,"[1192354, 837542, 1090967, 1249672, 1091246, 1090370, 1250143, 1192544, 1090887, 1248668, 1249515, 1247975, 1250607, 1191972, 1192660, 1090970, 1090899, 1250078, 1191278]","[926964, 927677, 927431, 927191, 927226, 927370, 1222301, 927352, 927210, 1222393, 927002, 1165485, 1165473, 927299, 1165490, 927084, 927005, 1222383, 927027, 927728, 927118, 927023, 927435, 926952, 927721, 927414, 926965, 927587, 927503, 927183, 927496, 927474, 927365, 927155, 927229, 927525, 927039, 1165508, 926992, 927390, 927630, 1222306, 927012, 1165475, 927641, 927591, 927314, 927472, 1222357, 927397, 1222388, 927398, 1222336, 927227, 927383, 927382, 927149, 927626, 927348, 927016, 926950, 927187, 927535, 927422, 927112, 927600, 927121, 927006, 927575, 1165484, 927443, 927524, 927132, 927699, 1222330, 927544, 927687, 1222350, 927332, 1222384, 927481, 1165505, 1222343, 927287, 927347, 927611, 927483, 927717, 927607, 927619, 927364, 1165520, 927559, 1222321, 927213, 927553, 927458, 927715, 927284, 927189, 927048, 1222373, 927341, 927670, 927223, 927694, 1165494, 927123, 927389, 927135, 1222337, 1222351, 926986, 1165492, 1222328, 927445, 927615, 927138, 927601, 927249, 927307, 927578, 927493, 1222310, 927685, 927286, 1222394, 927008, 927467, 927495, 927265, 1165477, 927419, 927362, 1165530, 1222322, 927536, 927557, 927228, 927399, 927712, 927245, 927145, 1222367, 1165461, 927522, 927502, 927549, 1222334, 927151, 927338, 1222380, 1222354, 1165529, 927168, 927056, 1165467, 927178, 927664, 927035, 927219, 927410, 927489, 1222368, 927095, 927729, 927130, 927454, 927632, 927255, 927359, 927258, 927053, 927097, 1222377]","{'PRP': 0.07109912020130121, 'of': 0.07102194890987044, 'sentiment': 0.07013916858708867, 'NN': 0.05709693048560647, 'VB': 0.043226701865519045, 'have': 0.0410196034383782, 'IN': 0.039363189835757, 'i': 0.03460238588452836, 'DT': 0.03424034273964161, 'the': 0.03075924168293168}"
0.525,0.41096230158730157,0.6108156028368795,0.525,0.67014,1,0.965,0.15178571428571427,0.7083333333333334,0.085,"[1090357, 1092145, 1191333, 1090925, 1193427, 1154409, 1191026]","[927042, 927412, 927333, 927241, 927392, 927583, 927694, 1165538, 927104, 927268, 1165502, 1165458, 927459, 927173, 926996, 926968, 1222332, 927125, 927363, 927070, 1222347, 927420, 926952, 927401, 927056, 1222337, 927593, 927604, 927679, 1165495, 1222314, 927157, 927079, 927553, 927328, 1165481, 1165461, 927165, 927460, 927729, 927358, 1165470, 927208, 926948, 927225, 927696, 926957, 927524, 927307, 927204, 1165526, 927425, 927245, 927073, 1222359, 1222333, 927566, 1222327, 927380, 927407, 927718, 927491, 1165529, 927340, 1222326, 927476, 927481, 926998, 1222329, 927337, 927655, 1222307, 927298, 1222393, 927556, 927152, 927632, 927185, 927221, 1222353, 927483, 927006, 927548, 927475, 927666, 1222384, 927350, 1165531, 927517, 927465, 927549, 927698, 927578, 926987, 927186, 927716, 1165510, 927591, 1165545, 927064, 1222310, 1222382, 1222344, 927543, 927211, 926982, 927059, 927689, 927561, 926997, 926975, 927657, 927590, 927242, 1222372, 927199, 1165500, 927540, 927691, 927097, 1165544, 927039, 927488, 927154, 1165542, 927431, 1165485, 1165479, 926989, 927682, 927349, 927379, 927176, 927638, 927493, 927091, 1165482, 1165537, 927393, 927670, 927108, 926986, 927317, 927521, 926962, 927654, 927544, 926995, 927364, 927045, 1222349, 927190, 927348, 927237, 927246, 927468, 927195, 1222361, 927297, 927078, 927504, 927668, 927505, 927265, 927453, 927426, 927113, 927516, 927019, 1165455, 1165451, 927584, 927394, 1222356, 927219, 1165457, 927623, 1165476, 927630, 927588, 927631, 927269, 1222358]","{'PRP': 0.0684361635001517, 'of': 0.06548766222850905, 'sentiment': 0.058934165175309784, 'VB': 0.05801259291955682, 'NN': 0.055359273123900314, 'to': 0.03786553082038549, 'RB': 0.03381262563418081, 'DT': 0.033504798388654465, 'have': 0.03255081216169037, 'IN': 0.03216838327736086}"
