accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.555,0.4844166377013092,0.6215738284703802,0.555,0.67518,1,0.925,0.29365079365079366,0.7115384615384616,0.185,"[1091132, 1248345, 1093346, 1248139, 1193135, 1093103, 1090353, 1092583, 1154453, 1191620, 1250604, 1248529, 1091854, 837347, 1091588]","[926654, 1163851, 913733, 926752, 922527, 913544, 922344, 1164939, 1220690, 926635, 1221725, 926216, 922184, 1220606, 922474, 913859, 913941, 922615, 922312, 926760, 922228, 913528, 913747, 913479, 926744, 926364, 913533, 922218, 913557, 922748, 926855, 914047, 922356, 1221735, 926731, 1220699, 926477, 914155, 913607, 1164854, 913942, 926848, 1222296, 913955, 922201, 913835, 913560, 926798, 1221779, 922834, 926905, 913604, 926607, 926400, 1164891, 926888, 1163832, 922552, 922205, 922559, 913695, 922427, 926851, 926873, 1222237, 922394, 926240, 922951, 926889, 1165392, 926168, 922266, 913614, 913872, 926225, 922938, 926531, 922843, 913639, 913682, 926533, 913467, 922707, 922304, 926308, 926869, 926502, 914004, 922206, 922941, 922192, 913883, 922691, 1165353, 1221767, 922815, 914034, 922467, 1164859, 922875, 926346, 922488, 922735, 1163764, 922430, 926422, 913852, 926836, 913708, 926818, 922776, 922271, 922946, 926915, 922237, 922214, 913563, 1164946, 1222203, 914134, 1220639, 922403, 913520, 1164912, 926321, 913762, 926372, 1221730, 926578, 1163795, 914192, 922261, 913696, 922576, 922268, 913419, 922914, 1165360, 1164862, 913629, 922575, 922303, 926676, 922915, 922838, 922425, 914003, 922727, 926646, 922589, 1222240, 922878, 1163828, 1163805, 1163846, 922387, 913446, 914167, 922712, 926365, 1164909, 913997, 926173]","{'PRP': 0.07906018286387365, 'of': 0.07782453031198724, 'sentiment': 0.06415866504761122, 'VB': 0.050264302624736565, 'NN': 0.0479633406338619, 'IN': 0.04442890853700465, 'DT': 0.042388523409686046, 'have': 0.04133780272628306, 'i': 0.032344355294812666, 'to': 0.02922302759571532}"
0.5675,0.4999674834346164,0.6468109401337611,0.5675,0.68373,1,0.935,0.31620553359683795,0.7547169811320755,0.2,"[1248124, 1093575, 1091793, 1190972, 1192434, 1193357, 1090929, 836930, 1191337, 1192867, 1250650, 837120, 837219]","[913690, 926579, 922273, 926727, 1164898, 1220693, 926622, 926257, 913513, 1165444, 922429, 922325, 1221770, 913701, 922712, 913984, 913622, 922233, 922421, 1221791, 1164927, 913558, 913942, 926269, 913886, 1163823, 926803, 926921, 922808, 926928, 1164878, 922798, 913939, 922248, 922648, 1164880, 926408, 922815, 914113, 913434, 922536, 922220, 1163795, 926162, 922214, 922425, 913717, 922946, 1164877, 922585, 913686, 1220679, 926854, 926679, 913900, 1221790, 922948, 922885, 926611, 926858, 922474, 1220634, 926924, 913672, 913987, 922817, 922342, 926699, 926217, 922247, 913563, 913503, 922510, 926508, 926646, 922765, 926207, 922450, 922357, 926352, 926592, 913682, 922793, 922890, 913492, 1163825, 913476, 922447, 913743, 1222209, 914200, 913917, 1164866, 1222218, 922436, 1220619, 1163827, 914117, 1220694, 1220639, 1165415, 926182, 926778, 922376, 922219, 913495, 922620, 913494, 1163815, 914057, 922526, 922573, 922349, 913772, 914168, 922240, 922168, 922840, 1164856, 922686, 926180, 922771, 1163830, 922860, 922944, 926556, 1221799, 922758, 1220691, 1221776, 926850, 926662, 926737, 913789, 926502, 926863, 1220610, 913533, 922323, 926384, 913595, 914107, 1220647, 1163788, 926518, 922392, 922700, 926177, 926377, 1221757, 1222261, 922821, 1221746, 914003, 1222292, 913811, 922872, 926303, 1222203, 1163838]","{'PRP': 0.07315845925920339, 'of': 0.06182838040455242, 'sentiment': 0.06173111284508069, 'NN': 0.05225845765332384, 'VB': 0.04456161520067672, 'IN': 0.042344199126669035, 'NNS': 0.03820537438679719, 'DT': 0.036964132706849624, 'mean_sen_len': 0.03326933587692504, 'which': 0.032708337495227176}"
0.5675,0.4999674834346164,0.6468109401337611,0.5675,0.68373,1,0.935,0.31620553359683795,0.7547169811320755,0.2,"[837272, 1249955, 1249049, 1250355, 1248801, 1192159, 1191919, 1250505, 837239, 1248767, 1191503, 1092578, 1250551]","[922715, 914047, 922342, 922611, 913929, 914107, 1220674, 926170, 922205, 922740, 926738, 914157, 922650, 926347, 1221723, 926284, 1222241, 1164947, 913936, 913587, 926454, 1165388, 1165428, 914080, 922762, 913816, 913757, 913737, 1220607, 926277, 913613, 913829, 926537, 914182, 926734, 926892, 922443, 914122, 913648, 914077, 922603, 922440, 926945, 913642, 913991, 926233, 1220697, 1221718, 922566, 914129, 1222287, 1221749, 926399, 914082, 913585, 913953, 926151, 922872, 922620, 922220, 922797, 926355, 926768, 926502, 922382, 922926, 922302, 914096, 1165400, 1165375, 922953, 922840, 1220693, 1220673, 913444, 922323, 926222, 926912, 913886, 1221757, 922181, 926697, 922281, 922830, 922691, 922793, 926529, 926433, 914066, 1222246, 922224, 922543, 913603, 913719, 926849, 1163764, 922414, 1164874, 926903, 926413, 913640, 1222268, 1164901, 926622, 913941, 922669, 922287, 913524, 914097, 914106, 922876, 1164941, 913573, 926596, 922639, 922952, 922520, 922294, 926763, 913975, 922624, 913657, 922695, 922434, 913592, 914054, 914056, 922580, 1164925, 926405, 926311, 913652, 913692, 926634, 926261, 1163777, 922548, 922925, 1221743, 922699, 926607, 1163797, 922594, 926448, 926196, 926943, 926240, 926548, 926779, 1163804, 922179, 922832, 913736, 922958, 913476, 926681, 1221776, 1163785, 926430, 922292]","{'PRP': 0.08213606008208316, 'of': 0.06790163562557637, 'VB': 0.06079045012460954, 'sentiment': 0.059698564304332145, 'NN': 0.058500310528482945, 'IN': 0.047094477662962646, 'DT': 0.03796599833481229, 'to': 0.03743011233532098, 'have': 0.03418410302595909, 'RB': 0.030563986950412382}"
0.56,0.5098039215686274,0.6016260162601625,0.56,0.66667,1,0.88,0.35294117647058826,0.6666666666666666,0.24,"[837390, 1092934, 1249176, 1191466, 1191139, 1192081, 1248529, 1091543, 1092118, 1250391, 1248767, 1191029, 1248926, 1090887, 837258, 836986, 1090508, 1248470, 1193951, 1250553, 1250611, 1211197, 1250138, 1191472]","[922227, 926446, 913727, 926162, 926266, 1164949, 1163851, 926529, 913474, 913693, 926783, 1221752, 926827, 914037, 926356, 1222234, 922865, 926803, 922306, 926180, 1221799, 1221734, 1164871, 922325, 914064, 922260, 913421, 913765, 922845, 926330, 913763, 922305, 926736, 914117, 922855, 1164877, 926554, 913663, 913609, 914148, 1163857, 922606, 922179, 926571, 914149, 922890, 926932, 922611, 913628, 913745, 1222278, 914040, 926301, 926332, 922759, 926610, 926696, 922200, 914005, 926191, 1220607, 922619, 926321, 922806, 913922, 926178, 922750, 913786, 913821, 913738, 922345, 913845, 926814, 922413, 926292, 913493, 1220650, 1163823, 922347, 922712, 926917, 922875, 922561, 1221726, 913863, 926776, 926751, 922170, 926625, 1220629, 1221791, 1165361, 1164947, 913818, 926267, 914213, 1163809, 926291, 922357, 922731, 922677, 1163840, 913703, 922809, 922452, 1164910, 926694, 926659, 914193, 926319, 926382, 926868, 926668, 926577, 914052, 926557, 913520, 926551, 922841, 913458, 1221796, 922618, 913777, 922804, 1222230, 914136, 922526, 922486, 922183, 913547, 913860, 913535, 922894, 926921, 926753, 922608, 922812, 922821, 922665, 922318, 926697, 922758, 1220612, 1221719, 926680, 926497, 926186, 1221713, 926573, 922508, 922604, 913678]","{'PRP': 0.07144060028171978, 'VB': 0.06661547872602776, 'of': 0.06245931540532164, 'sentiment': 0.06245511410216744, 'NN': 0.05434951090051607, 'IN': 0.03766348256135217, 'DT': 0.03691435346002611, 'to': 0.031374790993275364, 'i': 0.03075134880166752, 'have': 0.029653254024257985}"
0.57,0.4996363636363636,0.66,0.57,0.68727,1,0.945,0.312,0.78,0.195,"[1248761, 1090290, 1248200, 1091874, 1250354, 837608, 1249176, 1250928, 1092405, 1250870, 1193739]","[913585, 1164878, 926847, 926456, 922750, 922506, 913551, 926176, 922456, 1164886, 922389, 926841, 922756, 1165400, 913544, 926879, 922787, 913918, 914018, 922368, 1222273, 926780, 914118, 1220705, 1221720, 922477, 926459, 922349, 922709, 913511, 922343, 922521, 1220628, 922817, 913675, 922268, 922529, 922420, 913499, 922226, 922834, 926596, 926278, 913808, 926926, 922684, 1220679, 914157, 913720, 922464, 922199, 913716, 922572, 914041, 926406, 1222276, 914027, 922312, 926415, 926513, 1164947, 926851, 922385, 922906, 922514, 922566, 913959, 926547, 926834, 926915, 922221, 926159, 926543, 922940, 913975, 1222227, 926469, 1220639, 926516, 926257, 1222203, 926643, 913896, 922673, 922914, 922450, 913758, 922426, 926593, 922270, 922871, 922328, 926210, 922244, 913519, 922380, 1222200, 926695, 1163830, 914042, 922294, 926759, 913816, 926760, 1164874, 1163796, 1163831, 922600, 913625, 913707, 913573, 926681, 922405, 926563, 1222261, 926251, 1222205, 914023, 1163798, 926896, 922883, 926500, 913991, 926587, 926357, 922947, 1163792, 914085, 926523, 922830, 922739, 926837, 1220697, 922629, 926274, 926212, 922722, 1163826, 926883, 926658, 1222254, 914164, 926854, 922575, 913829, 922740, 1163855, 1163788, 914082, 913737, 926249, 926334, 913567, 926190, 1220618, 926748, 914093, 922404, 913858, 1220656, 922910]","{'PRP': 0.07102058772455896, 'sentiment': 0.06197190926101479, 'of': 0.06196201707177982, 'NN': 0.055817772777642646, 'VB': 0.05382660049198609, 'DT': 0.04175079067686283, 'to': 0.03892818634901595, 'which': 0.03609176378008224, 'the': 0.03580885871946569, 'NNS': 0.0317134696323604}"
0.5675,0.5119026626697232,0.6239954075774972,0.5675,0.67664,1,0.905,0.3471698113207547,0.7076923076923077,0.23,"[1249953, 1093485, 1191319, 1090528, 1093105, 837155, 1248707, 1193468, 1191649, 1093667, 1091490, 1191919, 1193159, 1192544, 1191415, 1192815, 837169, 1093228, 1191767]","[922918, 922658, 926922, 926555, 1221768, 922273, 926298, 926940, 926462, 922755, 913651, 922698, 922649, 1222268, 914153, 914039, 922670, 913707, 1165437, 922609, 1220655, 926465, 913483, 922365, 913606, 926204, 922868, 926307, 922386, 926832, 922619, 914124, 1165378, 922315, 922732, 926676, 922759, 913538, 1221742, 926886, 926595, 913516, 926536, 1163833, 914017, 1221791, 913674, 922683, 922569, 926909, 922812, 913685, 926695, 1221758, 913852, 922465, 1164928, 913863, 914116, 922693, 926570, 922710, 1164944, 922175, 926712, 922429, 913736, 926891, 1221740, 1165403, 922474, 1221775, 1163852, 913797, 922510, 1163837, 913477, 1220623, 1163769, 1165406, 922463, 926771, 913649, 1221728, 914085, 922482, 926776, 922200, 922716, 913525, 913695, 922439, 914196, 913836, 922214, 1163804, 926731, 922620, 1220615, 926627, 913514, 926869, 1220694, 922303, 922834, 926488, 922925, 922766, 913652, 913629, 926885, 913865, 926448, 1165413, 1165434, 926782, 922358, 926356, 922186, 922430, 926414, 926176, 913703, 922923, 926151, 922343, 922246, 922557, 922943, 1220703, 913922, 926318, 1221717, 1164932, 926629, 922268, 922336, 926316, 913573, 922513, 913732, 1163808, 926154, 922817, 1220683, 922625, 913849, 922793, 1164948, 913434, 922770, 913846, 1163799, 922435]","{'PRP': 0.07641413520622643, 'of': 0.07197620597696679, 'VB': 0.06382837311958714, 'NN': 0.06086101414473408, 'sentiment': 0.05806960888954569, 'DT': 0.03979439111580878, 'IN': 0.03808128244030236, 'to': 0.037344398446201355, 'RB': 0.03556883746915698, 'the': 0.031363340712579756}"
0.5525,0.49497443131722796,0.5964408725602756,0.5525,0.66542,1,0.89,0.32452830188679244,0.6615384615384615,0.215,"[837155, 1247900, 1250636, 837343, 1247963, 1250733, 1250652, 1091807, 1250029, 1250882, 1191638, 1191220, 1191904, 1093129, 1248388, 1248266, 1091033, 1093787, 1092839, 1248767, 1193441, 1090309]","[922952, 1222240, 926431, 913428, 922832, 922520, 913964, 1164922, 926335, 913872, 926649, 1220646, 922306, 913509, 1164918, 922774, 926661, 913476, 926403, 926483, 926413, 922840, 926756, 926689, 913563, 922396, 922258, 922529, 926842, 926176, 922287, 1164879, 1221784, 914086, 922589, 926688, 1164916, 922224, 922797, 1163793, 1164865, 913457, 913951, 913594, 926416, 922409, 922478, 1222241, 922722, 922440, 1222233, 1220637, 922266, 922771, 1222246, 913859, 914082, 926924, 926774, 1165362, 922872, 913616, 1221783, 926754, 913629, 913588, 1165351, 922186, 922599, 926718, 926351, 914166, 922556, 913613, 913542, 922445, 926267, 926164, 926298, 922875, 926530, 913715, 926696, 1222291, 1163773, 1165443, 922951, 1163851, 926635, 1163763, 926868, 1164933, 922312, 922727, 1222204, 913674, 926726, 926148, 926172, 1220670, 922260, 1221789, 926647, 922488, 913832, 1220674, 926856, 913554, 926770, 1220678, 913417, 1221752, 913513, 926409, 913425, 1163812, 913927, 914171, 1222214, 1164885, 1165418, 922662, 913949, 922441, 922398, 922162, 922389, 926528, 926170, 922630, 1222237, 1164867, 922432, 926919, 926766, 922573, 913975, 913510, 913669, 913604, 914175, 922322, 922270, 913852, 913640, 926265, 913698, 913843, 922824, 1165380, 922482, 1221762, 922823, 1222209, 913792, 1222234, 922912]","{'sentiment': 0.06980131446933106, 'of': 0.06836147467032902, 'PRP': 0.06766175954388375, 'NN': 0.06415529020442383, 'DT': 0.051206124186559114, 'VB': 0.04819862974815958, 'have': 0.04075935885868145, 'mean_sen_len': 0.031103290995046332, 'NNS': 0.030295819144814874, 'the': 0.02939287001448131}"
0.5975,0.5554665875157899,0.6568091351373085,0.5975,0.69216,1,0.905,0.4187725631768953,0.7532467532467533,0.29,"[1191730, 1248837, 1250790, 1092970, 1093420, 1092763, 1193647, 1247769, 1092560, 1190940, 1091010, 1191666, 1090829, 1091914, 1193474, 836930, 1250638, 1248865, 1191248]","[922442, 922575, 1222216, 922914, 913457, 913852, 922901, 913851, 922859, 922515, 1220687, 913869, 922831, 913596, 1163830, 913541, 926657, 926448, 922883, 1163768, 926439, 922712, 913941, 926856, 922206, 913772, 1220640, 926739, 1164876, 926352, 914108, 922421, 922271, 913930, 926946, 914029, 926868, 922269, 922452, 1222287, 926489, 913583, 926280, 913529, 926518, 922368, 922420, 913619, 913604, 1221795, 1163763, 1165387, 922918, 926680, 913638, 1220610, 1222247, 913885, 922924, 913829, 926753, 913960, 926671, 922389, 922866, 1220698, 913809, 922521, 913961, 926746, 922674, 926599, 1220636, 926653, 926913, 1164853, 922450, 1163818, 922905, 922955, 913436, 914073, 926225, 913714, 1222283, 922162, 922363, 926837, 922239, 922199, 913510, 922660, 1220606, 922830, 922469, 1165367, 913951, 926919, 922585, 913835, 926180, 922876, 922350, 913882, 922563, 926328, 1222276, 913826, 926937, 1163820, 926903, 926247, 1164945, 1222226, 922385, 926198, 1165448, 926168, 922640, 913487, 1165426, 922362, 1220674, 926766, 1220667, 914041, 913612, 922320, 914118, 913968, 1163825, 926637, 922468, 926651, 926436, 913705, 926875, 913692, 922916, 922378, 913958, 1222246]","{'PRP': 0.08129724516396263, 'of': 0.07517978696808628, 'sentiment': 0.05551988243782176, 'NN': 0.04920486487366968, 'VB': 0.046031986945859124, 'DT': 0.043135501293754736, 'IN': 0.03940359258254681, 'NNS': 0.03458212744682521, 'i': 0.02994870579084909, 'RB': 0.02921727628455008}"
0.5825,0.5404481318666199,0.6301313143262746,0.5825,0.67946,1,0.885,0.4014336917562724,0.7088607594936709,0.28,"[1249249, 1193986, 1249564, 1193406, 1192939, 1093732, 1154476, 1193070, 1091411, 1193951, 1247940, 1250213, 1191734, 1090414, 1250733, 1091545, 1250194, 1191572, 1193490, 1191078, 1091873, 1092075, 1193237]","[922335, 922667, 1220676, 1163825, 922572, 926340, 926793, 926310, 914118, 922184, 922288, 922510, 926441, 926879, 913801, 914128, 926515, 913759, 1163795, 926533, 1221797, 926317, 926246, 914193, 1222218, 922560, 926782, 922386, 922723, 922882, 922629, 926655, 926595, 1165445, 922324, 913704, 913777, 922312, 1165353, 926608, 922706, 926474, 914093, 913911, 926837, 922231, 926354, 913755, 913686, 914133, 1164918, 926854, 1163849, 922799, 913599, 1164879, 913578, 922832, 926502, 922443, 913582, 926921, 1164876, 922541, 922433, 926586, 1221755, 1221708, 922476, 914073, 914103, 914036, 922864, 926555, 922943, 926769, 913674, 913803, 922162, 922714, 913747, 1221796, 913551, 926389, 913467, 926169, 926453, 922675, 922873, 913573, 1222286, 922243, 926862, 914007, 926864, 914119, 913923, 926759, 926187, 1220618, 913706, 922304, 913434, 922924, 922577, 914031, 922709, 1222227, 922552, 1221756, 926683, 922423, 1222258, 926212, 913963, 926707, 922653, 922647, 922416, 913471, 926774, 922576, 1165413, 926571, 922688, 922788, 1221738, 1165370, 926757, 1221737, 1165382, 913872, 926599, 914000, 913989, 922376, 914100, 926915, 1163847, 922547, 1163860, 913790, 926816, 926228]","{'PRP': 0.0882223374534563, 'of': 0.06968479941561034, 'NN': 0.055617025676805994, 'sentiment': 0.05438838509233791, 'VB': 0.050024937701653935, 'IN': 0.041909820229442944, 'NNS': 0.039938950040395126, 'DT': 0.03336374564559451, 'i': 0.031925212017245394, 'to': 0.031080384023277136}"
0.595,0.5346966911764706,0.6972591362126246,0.595,0.70221,1,0.955,0.3671875,0.8392857142857143,0.235,"[1093803, 837120, 1190920, 1092714, 1248909, 1091435, 1092707, 1091246, 1154464]","[1220660, 1222218, 1163840, 926596, 926538, 922943, 1220652, 926667, 1220668, 926196, 1165374, 922493, 914108, 913953, 913872, 922467, 1221758, 922822, 914092, 1164939, 926531, 1165359, 913747, 922630, 926409, 913525, 1222273, 914182, 1165357, 913859, 1165443, 1165356, 922739, 913519, 913672, 1221720, 913574, 914069, 922719, 926721, 922825, 1220676, 913559, 913693, 926901, 913630, 922705, 1222284, 1221749, 1163768, 1222251, 926177, 926861, 1221791, 1221738, 922190, 1165382, 926519, 1164869, 1164867, 1221737, 914139, 913864, 922287, 913784, 926529, 913568, 1222238, 926681, 926799, 1221718, 922529, 926907, 922507, 926221, 922758, 913878, 913937, 913623, 922185, 922251, 1222248, 914209, 926547, 913790, 926758, 913548, 926180, 926912, 914202, 913987, 914003, 1220627, 926496, 913868, 926931, 926661, 1222245, 922516, 1163775, 913661, 914031, 922810, 1221740, 926395, 926513, 1220686, 926563, 922657, 922501, 1164935, 926204, 913861, 922490, 914084, 926474, 922378, 926515, 1222244, 1165387, 914196, 1163836, 926488, 922937, 1164892, 913690, 913916, 922298, 914037, 922608, 922752, 913518, 926293, 922223, 922678, 922580, 913499, 922430, 1220672, 913886, 1164855, 926228, 926283, 922512, 913616, 926298, 926385, 926330, 926318, 926333, 922954, 922797, 913975]","{'PRP': 0.0873232672440913, 'of': 0.06514530534674262, 'NN': 0.05898651888015765, 'sentiment': 0.05479691617986372, 'VB': 0.05420223736575738, 'DT': 0.04268772279507422, 'to': 0.034568874094287605, 'NNS': 0.03358043412645599, 'IN': 0.031308284208025366, 'the': 0.030178789748719518}"
