accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.51,0.4138580699183588,0.5290782204129107,0.51,0.65125,1,0.915,0.17647058823529413,0.5526315789473685,0.105,"[1090454, 1091846, 837534, 1191767, 1249068, 1091745, 1192368, 1250490, 1249176, 1191293, 1248932, 1092134, 1248728, 1191721, 1091951, 1192262, 1192782]","[1220566, 912966, 1220563, 913119, 913098, 1220604, 1220528, 912916, 913027, 913196, 913191, 912812, 912810, 1220550, 913231, 912834, 913021, 913178, 912921, 913015, 913267, 912729, 912944, 1163723, 913215, 913382, 912931, 913023, 913344, 913082, 913298, 913110, 1220602, 1220581, 912895, 913177, 913339, 913411, 912710, 1163686, 912758, 912756, 913274, 912760, 1220537, 912779, 1163705, 912857, 913003, 913168, 912786, 912718, 912956, 913194, 1163718, 913205, 1163739, 1163701, 1220577, 913074, 912926, 913156, 912730, 913289, 912765, 1220557, 1163747, 912859, 913070, 913337, 913226, 913413, 1220526, 912936, 913130, 913193, 913202, 913209, 913305, 913296, 913330, 912739, 913252, 913394, 912778, 913229, 1220568, 913050, 912849, 913340, 912980, 1220534, 912968, 913212, 913040, 913317, 912819, 913315, 913363, 913160, 913123, 913025, 913122, 913057, 913353, 1163761, 912955, 913265, 913293, 912934, 913391, 1163671, 912899, 1220575, 1163712, 913153, 913389, 913332, 912705, 913341, 1220586, 1163695, 913262, 1163680, 1220573, 1163722, 913393, 912869, 913034, 913314, 913139, 913151, 1163717, 913261, 913256, 912925, 1163687, 913079, 912887, 912798, 1220561, 912754, 913188, 912875, 912813, 912777, 1163748, 913162, 912809, 912790, 912998, 912951, 913111, 912978, 913062, 913013, 913384, 912954, 912973, 912801, 1220590, 913095, 913255, 913135, 913348, 1163725, 912871, 912787, 912814, 913271, 912823, 913234, 912732, 912782, 912788, 912783, 912886, 1220580, 912797]","{'of': 0.07752034770024331, 'PRP': 0.07684491567214956, 'sentiment': 0.05530974700999316, 'VB': 0.05502455048123364, 'NN': 0.045797712090207304, 'DT': 0.04530960313502665, 'IN': 0.041086424000302914, 'NNS': 0.034384450019803926, 'i': 0.0318822484697477, 'to': 0.030669400388850684}"
0.4925,0.3618308851845739,0.45855781185246586,0.4925,0.6506,0,0.945,0.0730593607305936,0.42105263157894735,0.04,"[1091518, 1248566, 1090983, 1248717, 1093112, 1248063, 1090222, 1193147, 1192418, 1193073, 1093596]","[912909, 913249, 912911, 913293, 913294, 1220556, 1220565, 1163685, 1163762, 913195, 913411, 912818, 912993, 913369, 913400, 912797, 913335, 912990, 913312, 912932, 1163723, 912887, 912831, 913103, 912715, 913304, 913179, 913269, 912756, 912810, 912720, 913309, 913274, 913348, 913117, 1220578, 913158, 913252, 913288, 912750, 913051, 1220544, 913159, 913013, 913310, 913209, 913002, 912717, 913346, 912991, 913396, 912778, 912964, 1163757, 912856, 1220588, 913107, 913196, 912819, 912726, 1163677, 1220560, 1163761, 912864, 913234, 912719, 1220572, 913245, 912886, 913149, 912906, 913231, 912961, 913106, 913086, 912946, 1163721, 913242, 913089, 913190, 913390, 912988, 913116, 912729, 913259, 913261, 913166, 1220523, 913366, 913188, 913068, 913178, 913376, 912793, 913324, 913353, 913350, 913019, 912959, 1220530, 1163690, 912858, 1220602, 912824, 913314, 912985, 913378, 1220566, 913145, 912714, 913299, 912813, 913108, 1163674, 1163748, 913095, 912769, 1163707, 912931, 913139, 913173, 912825, 1163728, 1163712, 1163727, 913403, 913401, 913036, 912929, 1220591, 1163680, 1220605, 912874, 1220529, 913224, 913226, 912772, 913183, 1163759, 1163741, 913291, 912716, 912940, 913289, 913055, 913081, 912817, 912948, 1220554, 912751, 913168, 912981, 913388, 912740, 912983, 913005, 913381, 913409, 912846, 913101, 912718, 913189, 1163734, 1220533, 913045, 912823, 1220553, 1163752, 912847, 912916, 912842, 1163681, 912792, 912900, 912800, 912865, 912953, 912731, 912897, 913377, 912889, 913044, 912754, 913356, 1220595, 913368, 1220590, 912728, 912843, 1220539, 1163689, 912788]","{'PRP': 0.07759549746443992, 'of': 0.07182300319855252, 'VB': 0.056080761647129364, 'sentiment': 0.05514823243163899, 'NN': 0.05073204813812353, 'IN': 0.04193627337810292, 'have': 0.041396875687187695, 'DT': 0.036824432799830054, 'to': 0.028988346997847962, 'NNS': 0.028646520482738663}"
0.485,0.37469645458960665,0.44904891304347827,0.485,0.63732,0,0.905,0.11206896551724138,0.40625,0.065,"[1091967, 1090328, 836979, 1191278, 1249146, 1093667, 1091744, 1093209, 1248269, 1250913, 1248813, 1191649, 1092814, 1193451, 1249683, 1093648, 1090632, 1192159, 1249767]","[913181, 913390, 1220586, 912924, 912771, 913229, 1163710, 913197, 912865, 913168, 912925, 913015, 912977, 913174, 913336, 912896, 912998, 912918, 913103, 913315, 912971, 913277, 913223, 913006, 912995, 913165, 912761, 913051, 912744, 912810, 1220569, 913322, 913319, 1163758, 913032, 1220572, 913180, 912735, 913186, 912721, 913393, 912740, 912736, 913410, 912846, 913167, 913067, 912828, 1220604, 913243, 1163727, 913194, 913413, 1163685, 913209, 913254, 1163689, 1163708, 913396, 912985, 1220568, 913105, 913362, 912803, 912820, 913291, 1163714, 913029, 913324, 913234, 913340, 913073, 1220585, 913159, 913287, 913189, 912708, 913289, 1220599, 913321, 913224, 1163675, 913409, 913057, 912836, 1163696, 913009, 913176, 912814, 1220522, 912927, 913100, 912884, 913074, 913122, 913188, 912720, 912851, 913266, 913402, 913221, 913191, 912835, 1220546, 912994, 912751, 1220531, 1220558, 912782, 912869, 912763, 913007, 913351, 913376, 913385, 1220554, 912799, 913002, 912938, 1220557, 912955, 912839, 913049, 1163705, 1220578, 913089, 913253, 913377, 913145, 913258, 913264, 1163694, 1163713, 913190, 913023, 912773, 913352, 1163677, 913210, 913320, 1163734, 913012, 913058, 913386, 913149, 912861, 913027, 912719, 1163738, 912774, 1163762, 912717, 913237, 912753, 1163744, 912758, 913292, 1163731, 913078, 912832, 1163717, 912888, 913288, 913020, 912796, 913098, 913099, 913066, 913119, 913375, 913068, 1220573, 913359, 913140, 913406, 912725, 912755, 1163752, 1220560, 1163704, 913107, 913279, 913017, 913355, 913325, 912706, 912848]","{'PRP': 0.08534737245035702, 'of': 0.07720529858696029, 'VB': 0.052564321446384635, 'sentiment': 0.04936734851617247, 'NN': 0.04316301350812795, 'DT': 0.042781525074852736, 'IN': 0.037108744581937365, 'the': 0.03314940592563568, 'NNS': 0.032824843350948735, 'to': 0.029914105914293852}"
0.485,0.3778502612424874,0.45178399228543875,0.485,0.63604,0,0.9,0.11965811965811966,0.4117647058823529,0.07,"[1092075, 1091660, 1248847, 1091056, 837298, 1091898, 1250475, 1190981, 1248624, 1093606, 1093461, 1092389, 1193100, 1250413, 1249503, 1250636, 1248028, 1248791, 1250062, 1091868]","[912714, 912735, 912811, 912784, 913208, 913353, 912985, 913221, 912972, 913335, 1163731, 912917, 912913, 913189, 1220531, 1220527, 913126, 1220536, 1220597, 913037, 912984, 1163679, 913158, 913253, 1163694, 913110, 912823, 913382, 912763, 1163742, 913401, 1220601, 913347, 912922, 913285, 913139, 912754, 913310, 913400, 913246, 1220600, 912777, 913105, 912927, 913325, 1220598, 1163689, 913140, 912994, 913082, 1163749, 912871, 1163676, 913236, 913244, 912953, 913251, 913100, 913174, 912724, 913219, 913287, 1220559, 913009, 912952, 913350, 912896, 913233, 912997, 912986, 913003, 913277, 913228, 913166, 1163760, 912873, 1220557, 1163684, 1163703, 1220596, 913171, 913413, 912940, 913108, 1163681, 1163741, 913197, 912955, 1220576, 912921, 912833, 913119, 912906, 912923, 912980, 912877, 912930, 913043, 1163672, 913264, 913129, 912721, 1220530, 913223, 1163762, 913025, 912712, 913080, 913063, 913124, 1163733, 1220526, 913235, 912720, 912891, 913315, 913328, 913018, 1163675, 913162, 913053, 913144, 913165, 913296, 913257, 913029, 913173, 913030, 1163696, 913383, 913293, 913107, 912929, 912786, 913295, 912889, 912880, 913013, 913038, 913380, 1220560, 913114, 913319, 1220534, 912968, 912937, 913150, 913305, 912838, 1163709, 1163725, 913352, 913411, 913231, 913226, 913397, 1220537, 912794, 913391, 912819, 913243, 912931, 912862, 913159, 913127, 913239, 913274, 913272, 912837, 913405, 912907, 912899, 912932, 913136, 913316, 912983, 912801, 912902, 913338, 913141, 912841, 913042, 912860, 1163713, 913054, 913304]","{'PRP': 0.07429199344860887, 'NN': 0.06492512896268601, 'of': 0.0620267556131894, 'sentiment': 0.061770106423336496, 'VB': 0.048074006973509255, 'DT': 0.03962362775402388, 'to': 0.03871576217995518, 'IN': 0.03782315263717216, 'NNS': 0.03305665156272273, 'i': 0.0321471789866961}"
0.48,0.33256321396483124,0.32817869415807555,0.48,0.64626,0,0.95,0.018867924528301886,0.16666666666666666,0.01,"[1249673, 1250733, 1192354, 1248566, 1091355, 1193742, 1093560, 1093161, 1090414, 1248043]","[913330, 912798, 912947, 912896, 912844, 913385, 912878, 912895, 913070, 912889, 913188, 913156, 913121, 913305, 912757, 913309, 913396, 913337, 913346, 913011, 1163755, 912760, 912960, 1220526, 913234, 912977, 913199, 912803, 912955, 913256, 1220602, 913378, 1220593, 912920, 912911, 912971, 913389, 1220528, 913128, 913051, 1163753, 913190, 913115, 913214, 1220529, 913224, 913127, 912790, 912738, 913297, 1163752, 912807, 912904, 1220537, 913098, 913400, 913145, 912999, 912758, 1220589, 912942, 912957, 913005, 912804, 912706, 913365, 1163743, 913323, 1220598, 913137, 913363, 912890, 913112, 913146, 912769, 913380, 912743, 913094, 1220543, 1220520, 913050, 913089, 913159, 912975, 912786, 913269, 913106, 1220583, 913212, 1220545, 913351, 912822, 913104, 913077, 913232, 912813, 913293, 912965, 913126, 1220562, 912898, 912705, 912901, 1163707, 1163671, 912846, 913096, 912992, 912707, 1163756, 912985, 913003, 1163682, 912915, 913272, 1163723, 913355, 913076, 913095, 913386, 912762, 913251, 913403, 1163726, 913203, 1163681, 912881, 1220552, 1163716, 912823, 913394, 912921, 912886, 1220524, 913171, 912774, 913053, 913366, 912990, 913058, 913333, 1163715, 913037, 913184, 912819, 913243, 913358, 913043, 1163711, 913108, 913349, 1220577, 1163695, 913390, 1163727, 913406, 912796, 912922, 912744, 912864, 913197, 1163693, 913109, 913242, 1220536, 1163735, 913360, 1220586, 1163672, 912740, 912938, 1163760, 1220580, 1220557, 912756, 913324, 913059, 1163747, 913341, 912997, 913265, 912833, 1163698, 912746, 913201, 913383, 1220560, 913356, 912923, 913181, 913135, 913033, 912950, 913237, 913314, 912998, 913040, 913045]","{'sentiment': 0.07367740475874372, 'PRP': 0.07359121670998325, 'of': 0.059438210972277285, 'VB': 0.052906360994060875, 'NN': 0.05212247901732301, 'DT': 0.04309253264304275, 'IN': 0.03426517072085808, 'the': 0.03368632187823674, 'mean_sen_len': 0.032515564940698315, 'to': 0.03139994375265585}"
0.485,0.398083216456288,0.4644886363636364,0.485,0.62681,0,0.865,0.1693548387096774,0.4375,0.105,"[1250071, 1090672, 1248707, 1211271, 837670, 1192159, 1090189, 1092560, 1191505, 1192869, 1192150, 1193357, 1249912, 1191035, 1249181, 1250879, 1090587, 837577, 1249653, 1249176, 1192621, 1192595, 1193233, 1249365, 1249262, 1249996, 1093429]","[913120, 913113, 912808, 913209, 913210, 913088, 913149, 1163726, 912860, 913001, 913401, 913241, 912764, 912767, 1163675, 913265, 913222, 913166, 913035, 913034, 912967, 913253, 912739, 912887, 912717, 913084, 913206, 912994, 913095, 1220542, 913278, 1220588, 1220566, 912989, 913325, 913057, 1163723, 912757, 913287, 913176, 912737, 913233, 913409, 912738, 912918, 912780, 912829, 913392, 913260, 1220524, 913339, 912749, 912754, 913252, 912969, 912873, 912875, 912732, 913380, 1163731, 913109, 912806, 913015, 913199, 913038, 912785, 912744, 912915, 913154, 913384, 912807, 1163710, 913082, 913168, 913143, 1220579, 913308, 1220536, 913155, 913371, 913213, 912820, 1163743, 1220539, 913215, 1220527, 1220557, 913399, 1220592, 913259, 1163687, 1163722, 913397, 913171, 912823, 913089, 1163746, 1163671, 912786, 912877, 1220529, 912936, 913027, 913045, 913070, 913067, 912930, 912953, 1220563, 1163686, 1163718, 913141, 912777, 1220549, 912935, 1220595, 913266, 913068, 912750, 913340, 912720, 912904, 1163676, 1220591, 1220599, 912782, 912826, 913004, 1220600, 913127, 913405, 1220541, 1163754, 913204, 913006, 913110, 912711, 912938, 1163729, 1163747, 912794, 913208, 913054, 913258, 912928, 913374, 912916, 913085, 1163701, 913277, 1220535, 913276, 912736, 913345, 1163681, 913334, 1220596, 913388, 912841, 1220597, 913160, 913177, 912811, 913256, 913342, 912846, 913059, 913072, 912962, 1163735, 912843, 912740, 912766, 912716, 912763, 913064, 913158, 913221, 1220559]","{'PRP': 0.1020402078754746, 'of': 0.06847528205685861, 'sentiment': 0.06698088899361006, 'NN': 0.05285277137240045, 'VB': 0.04835992543761881, 'IN': 0.038012468885162166, 'NNS': 0.03662463356302769, 'DT': 0.03462686568230298, 'RB': 0.031342369469706075, 'to': 0.03096733768514664}"
0.485,0.36135912698412703,0.43351063829787234,0.485,0.64236,0,0.925,0.08035714285714286,0.375,0.045,"[1193070, 1090004, 1093380, 837584, 1092563, 1191505, 1093637, 1192434, 1093369, 1191734, 1091868, 1092193, 1191297, 1250706, 837019]","[1220574, 913254, 913130, 912734, 912872, 912884, 913160, 912945, 912773, 913347, 1220527, 913386, 912777, 912900, 913242, 913104, 913408, 1220548, 913372, 912729, 913281, 913103, 1163715, 913117, 913240, 912925, 912858, 913371, 912981, 912749, 1163678, 912889, 1220556, 912710, 913277, 1163742, 912713, 913205, 912967, 912826, 913004, 1163743, 1163680, 912879, 913170, 913357, 1163731, 913255, 913000, 1163712, 912923, 912758, 912786, 1220547, 913330, 912724, 913314, 913206, 912855, 913125, 1163745, 913395, 912986, 1220568, 913343, 913067, 913110, 912943, 913098, 1163732, 1220526, 913153, 912928, 913389, 912814, 912763, 912951, 1220523, 913191, 912911, 912904, 1220567, 913018, 913047, 913374, 913351, 913061, 912969, 913355, 1163728, 913303, 913332, 913070, 913290, 1163696, 912783, 913063, 912960, 912946, 912984, 913339, 912815, 912898, 912744, 912810, 913387, 912893, 913064, 913084, 1163719, 912995, 913014, 1163735, 1163748, 913204, 912932, 913211, 913375, 912933, 912742, 913138, 1220522, 913037, 1163721, 912746, 913162, 1220593, 913032, 912895, 913052, 912740, 913035, 913020, 913049, 1220552, 913257, 1220525, 912862, 1220543, 912961, 912839, 913045, 912857, 913325, 913412, 1220572, 912853, 913239, 913048, 913017, 913320, 913010, 913286, 913136, 913406, 912891, 913385, 912897, 913216, 912780, 1220558, 912756, 913264, 912743, 913313, 913331, 1220549, 1220576, 913152, 912922, 913176, 1163741, 912940, 913241, 1163708, 913033, 913189, 913221, 1220551, 913323, 1220598, 1163697, 912980, 912861, 913378, 913146, 1163730, 912819, 913388, 913381, 912835]","{'of': 0.07034910384967698, 'PRP': 0.06785738332044561, 'sentiment': 0.059091122886247203, 'VB': 0.058983318881233975, 'IN': 0.04789808024200795, 'have': 0.03893605939987094, 'DT': 0.03740503581309483, 'which': 0.03666083314241531, 'NN': 0.034229947211368225, 'mean_sen_len': 0.02938938615832742}"
0.48,0.3586383398600105,0.4177293294940354,0.48,0.63763,0,0.915,0.07964601769911504,0.34615384615384615,0.045,"[1248697, 1092050, 1091078, 1191333, 1091668, 1250697, 1192048, 1193159, 1092215, 1247965, 1092015, 1093637, 1091496, 1193237, 1091408, 1193252, 1250424]","[912893, 1163711, 1163732, 913165, 1163725, 1220538, 1163704, 913307, 912844, 913022, 1163755, 913073, 1163727, 913068, 913124, 1220542, 913043, 912862, 913410, 913263, 913143, 913345, 913279, 913367, 912848, 913311, 912719, 913233, 912785, 912904, 913097, 912909, 912940, 913033, 912922, 1163706, 912948, 912771, 913058, 913003, 913272, 913288, 913351, 913261, 913091, 913042, 912916, 913262, 1220540, 913085, 912828, 913065, 913353, 912961, 1220578, 912991, 912888, 1163754, 912807, 913004, 1163726, 913235, 913264, 913377, 913137, 1163719, 1220525, 913063, 913337, 913170, 913067, 912782, 913398, 913047, 1163710, 913268, 1163714, 912778, 912942, 913191, 1163673, 1163729, 1163748, 913386, 913038, 913399, 1220550, 913372, 913332, 913304, 912821, 913321, 913396, 912944, 1163701, 912876, 913201, 913114, 912899, 913250, 913325, 912731, 913188, 1163707, 1220552, 1220527, 1220585, 912895, 912917, 913095, 1163702, 1220601, 913204, 913148, 913381, 913269, 913108, 913011, 1163722, 912897, 1220557, 913099, 913051, 1163745, 913025, 1163687, 912798, 913387, 913136, 913258, 913117, 913150, 912999, 913181, 913290, 912902, 912717, 913135, 913198, 1163756, 913368, 1163698, 913356, 913215, 912978, 912981, 1163746, 1220580, 913358, 912765, 912964, 1220530, 1220600, 1163752, 913089, 912953, 1163749, 913329, 912937, 913283, 913121, 1163747, 912835, 913044, 1163730, 912830, 1220581, 913274, 912896, 913080, 912859, 913212, 913142, 913030, 913403, 913029, 913320, 913171, 1220535, 913173, 913394, 912743, 912900, 912845, 912872, 912930, 913291, 912923, 912800, 913118, 913260]","{'PRP': 0.07533467696192385, 'of': 0.06426563604777934, 'sentiment': 0.06144791564291378, 'NN': 0.05022501382076881, 'VB': 0.0469049023630331, 'DT': 0.04355184071770055, 'have': 0.03930589343072601, 'IN': 0.0359831724987999, 'the': 0.03539897594547618, 'mean_sen_len': 0.03201183281107146}"
0.49,0.38694554633970424,0.4694749694749694,0.49,0.6383,0,0.9,0.13559322033898305,0.4444444444444444,0.08,"[1091000, 1249916, 1249515, 1092715, 1093637, 1093418, 1091002, 1093858, 1248344, 1092787, 1092090, 1192856, 1247907, 1092686, 1091091, 1194006, 1092076, 1194021, 1211273, 1092207]","[912885, 912938, 912913, 1220538, 912719, 913332, 913344, 912901, 1220595, 913178, 913019, 1163693, 912747, 913193, 913058, 913199, 912890, 912916, 913348, 912807, 913160, 912980, 1220531, 912829, 1220526, 913260, 913363, 913053, 913242, 912821, 913020, 913323, 913059, 912877, 912986, 912734, 913263, 913315, 912918, 913004, 913087, 1163742, 912715, 912853, 913251, 913241, 913360, 913001, 913155, 913100, 913098, 912905, 912732, 1163680, 912728, 913081, 912798, 1163756, 1163709, 913009, 912949, 913066, 913215, 1163675, 912968, 913219, 913354, 1220521, 912889, 912735, 913321, 913286, 913274, 913111, 912781, 912857, 912934, 912823, 1163758, 913021, 912935, 1163674, 913297, 912879, 1163705, 913412, 912806, 913268, 913133, 913173, 913082, 912864, 1220589, 912962, 913035, 913189, 913136, 912951, 913115, 1163697, 913194, 912794, 912973, 913144, 1163696, 912972, 913147, 913298, 1220556, 912843, 913237, 913272, 913383, 1220528, 912812, 912866, 913307, 1220561, 1163734, 912776, 1163748, 912895, 1220539, 913386, 913090, 1163708, 912838, 1163733, 1220536, 913145, 912793, 1163730, 913408, 913240, 913311, 1163677, 913375, 912978, 913012, 912878, 913264, 913022, 913039, 913403, 1163736, 1163750, 1163683, 1220592, 912945, 913159, 913253, 912865, 913396, 1220565, 912726, 913127, 913220, 1220546, 913339, 913074, 913248, 912772, 913034, 1220558, 1163711, 912750, 913343, 912955, 913405, 913391, 1163691, 913230, 913288, 913243, 912959, 1220602, 912987, 913116, 913384, 913273, 912854, 913276, 1163721, 913382]","{'PRP': 0.0836179024981019, 'of': 0.06166891306368813, 'sentiment': 0.054458853216451365, 'NN': 0.05328235310240384, 'VB': 0.04851125718899836, 'DT': 0.04074381120875721, 'to': 0.03890604729254863, 'IN': 0.03556793005413466, 'which': 0.03524601216338739, 'NNS': 0.03041230500782781}"
0.45,0.3287566742944318,0.31981981981981983,0.45,0.61404,0,0.875,0.043478260869565216,0.16666666666666666,0.025,"[1193675, 1191638, 1250683, 1092145, 1250665, 1191092, 1248182, 1154486, 1193008, 1250143, 1093488, 1247832, 1192576, 1093209, 837069, 1090096, 1193031, 1248470, 1248668, 1250682, 1249955, 1250253, 1193148, 1249146, 1191115]","[912791, 912934, 912792, 912989, 912784, 1220571, 913121, 913363, 912827, 1220596, 913137, 913309, 913047, 912949, 913096, 912855, 913245, 912999, 1163691, 912785, 912995, 913199, 912738, 1163710, 1220590, 913257, 913314, 913000, 912885, 912957, 1163716, 912863, 1220556, 913117, 912706, 913054, 912718, 912739, 1163750, 913348, 912772, 1163682, 913062, 1220573, 913161, 1220530, 913178, 912746, 913203, 913356, 913215, 913386, 912936, 913055, 1220581, 913163, 912821, 913329, 913023, 1163722, 1220526, 912862, 1163684, 1163718, 913196, 912720, 913010, 912828, 913372, 912782, 913322, 913172, 1220538, 913270, 912951, 913304, 912730, 912891, 913064, 913317, 913095, 913216, 913411, 912984, 1163730, 912753, 913100, 913397, 913358, 912818, 912872, 913060, 913296, 913179, 913249, 913075, 1220602, 912758, 1163758, 1163740, 912916, 1220542, 913316, 913154, 913369, 1220541, 913340, 913112, 913387, 912731, 913226, 912880, 913201, 913378, 1163678, 912744, 913297, 912935, 912846, 913007, 913126, 1163725, 913041, 1163709, 913287, 912797, 912711, 912826, 913258, 1220521, 912811, 1163745, 912803, 912987, 912956, 913026, 913025, 913011, 912864, 913355, 912869, 913229, 912793, 913009, 912848, 1220588, 912942, 1163692, 912881, 912991, 913281, 913139, 1163693, 913189, 913291, 912779, 912822, 913339, 912948, 912954, 913404, 913256, 912888, 913246, 913164, 912988, 912924, 913089, 913300, 912968, 913367, 1163694, 1163724, 1220529, 913014, 913261, 1163702, 913003, 913330, 912917, 913116, 913405, 912979, 912773, 912778, 1220550, 913224, 913255, 913066, 912824, 1220580, 1163703, 912923, 913053, 913124]","{'PRP': 0.08160339167065114, 'VB': 0.059420005171594924, 'of': 0.056372388936157744, 'sentiment': 0.050142757874009965, 'NN': 0.049990232888185375, 'DT': 0.04497559288942469, 'the': 0.04110472993677708, 'RB': 0.03571498738599568, 'IN': 0.03527579174423857, 'have': 0.029802352833338205}"
