accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.51,0.4109868974636375,0.5305250305250305,0.51,0.65248,1,0.92,0.1694915254237288,0.5555555555555556,0.1,"[1250672, 1093606, 1191996, 1249391, 1248599, 1248100, 1092787, 1193316, 1091588, 1092714, 1191311, 1211189, 1090757, 1092114, 837046, 836943]","[1221657, 921876, 921912, 921939, 922102, 922060, 921477, 1164796, 921863, 921765, 1221660, 1164795, 921868, 922073, 1221661, 921442, 1164788, 921895, 921764, 922126, 922081, 921707, 921724, 921526, 921752, 922067, 921485, 921753, 921579, 921964, 921770, 1164805, 1221688, 921665, 921900, 922059, 922086, 921985, 921617, 921548, 921520, 922016, 1221664, 921530, 921630, 922018, 921401, 1221651, 921791, 922094, 922042, 1221693, 921754, 921610, 922039, 921602, 921582, 921986, 921673, 921698, 921921, 921384, 921370, 921875, 922009, 921923, 921803, 921767, 1164824, 921666, 921522, 922046, 921636, 1221637, 1221668, 922127, 1164754, 921750, 922037, 1164762, 1164815, 921788, 921761, 922027, 922069, 1221678, 1164785, 921415, 921445, 921987, 922075, 921757, 921880, 921899, 921536, 921508, 1164836, 921624, 921565, 922033, 921452, 1221609, 1221682, 922095, 1221649, 1164817, 922154, 1164834, 921403, 921671, 921622, 921886, 922070, 921419, 921396, 922010, 921448, 921927, 921937, 921465, 921809, 921926, 921907, 921408, 921462, 921489, 921861, 921644, 921517, 922099, 921999, 921936, 921376, 921544, 921688, 921865, 921990, 921826, 1221613, 1221630, 921619, 922118, 922159, 921914, 921897, 921492, 921391, 1221640, 921456, 921586, 921683, 921893, 921473, 922152, 1221620, 921975, 921595, 922034, 921608, 921497, 921588, 921616, 922031, 921367, 921898, 921901, 921461, 921649, 921760, 921934, 922128, 922035, 921493, 1164804, 921397, 1221666, 922038, 921488, 1221632, 922029]","{'PRP': 0.08179685174013683, 'of': 0.08044510960763394, 'sentiment': 0.0617039284270797, 'NN': 0.048959350027365914, 'VB': 0.04350093442420225, 'DT': 0.04075192756296417, 'IN': 0.03870945144817626, 'have': 0.037385051225595635, 'RB': 0.02933007015445873, 'to': 0.028900028407758526}"
0.51,0.38900838554817796,0.5481000481000481,0.51,0.6609,1,0.955,0.11711711711711711,0.5909090909090909,0.065,"[1191029, 1154464, 1092559, 1093858, 1191026, 1090612, 837046, 1248512, 1248139]","[921797, 922152, 1164838, 1164809, 921992, 921754, 1164800, 921950, 921966, 921579, 921447, 921995, 921921, 921445, 922124, 921828, 1221660, 922089, 1221610, 921973, 921900, 1164777, 1221694, 921582, 921717, 921768, 921824, 921840, 921535, 921871, 921464, 922132, 1221628, 921847, 921559, 921509, 921463, 921511, 922083, 921926, 921386, 921819, 921855, 921503, 921427, 921885, 921755, 921740, 921730, 1221675, 921452, 921391, 921479, 921661, 921802, 1221674, 1221617, 921475, 1164780, 921687, 922026, 1221669, 921947, 921869, 921837, 921803, 921631, 921584, 1221639, 921838, 921692, 921951, 921675, 1221668, 921715, 921648, 921518, 1221636, 922036, 1221655, 921892, 921806, 921851, 922144, 1221611, 921757, 921958, 921788, 1221682, 921658, 921440, 921642, 921540, 921373, 922045, 921608, 921519, 922158, 921593, 921710, 1164771, 921588, 1164815, 1164837, 921367, 921399, 921744, 1164808, 921522, 921724, 921920, 1164757, 921429, 1164851, 1221672, 921911, 1221613, 1221624, 922103, 922079, 922081, 1221689, 1221698, 921530, 1221658, 1221620, 922129, 921402, 921417, 921895, 921889, 922046, 1221664, 921789, 921426, 921669, 921874, 922154, 921370, 921981, 921672, 921835, 921776, 921514, 921867, 921792, 1221656, 922148, 922044, 921924, 922156, 1164834, 1221697, 921729, 921396, 921585, 921771, 921434, 921403, 1164823, 922117, 922159, 1164773, 921528, 1221632, 922016, 921870, 921516, 921597, 921708, 921727, 922125, 921423, 1164791, 921591, 1221687, 1164802, 921705, 921907, 921774, 921457, 921917, 921728, 1221641, 921863, 921859, 921759]","{'of': 0.07471928656312114, 'PRP': 0.07368628584401915, 'VB': 0.06740669990642728, 'NN': 0.056883155009753786, 'sentiment': 0.04341600203482411, 'the': 0.04014361629186075, 'DT': 0.039902737835441744, 'IN': 0.03871759165400192, 'to': 0.037563475612681675, 'RB': 0.029691866491045837}"
0.515,0.41409199359729393,0.5482160077145612,0.515,0.65724,1,0.93,0.17094017094017094,0.5882352941176471,0.1,"[1154420, 1191139, 1193244, 1090528, 1191787, 1193147, 1193869, 1091056, 1093129, 1092002, 1250161, 1192606, 1191939, 1093750]","[1221629, 922032, 921597, 922016, 921439, 1221600, 921387, 922143, 921671, 922125, 1164758, 921673, 922120, 921455, 921684, 921388, 1221688, 922131, 921899, 921843, 1221638, 921460, 1164817, 921556, 921763, 921873, 1164757, 1164833, 921834, 921533, 922144, 921625, 1164780, 921850, 921766, 921576, 921683, 921909, 922069, 1164800, 1164788, 921397, 921737, 922128, 922051, 921442, 921481, 1221614, 921867, 1164815, 921487, 921805, 1221624, 921863, 921692, 921979, 921475, 921540, 921562, 921802, 921755, 921903, 1221654, 921794, 921898, 1164835, 1221697, 1164850, 922053, 922022, 921745, 921399, 921434, 921675, 922038, 921566, 1221622, 1164795, 922138, 921577, 921941, 921424, 921688, 1164790, 921526, 921375, 1164847, 921769, 921847, 1221674, 1221616, 921539, 921380, 921890, 921789, 1164821, 921563, 921900, 921523, 921885, 921949, 1164784, 922149, 921553, 921391, 921516, 1221649, 921710, 921445, 921486, 921831, 921705, 921955, 921545, 921670, 921956, 921837, 921862, 921875, 921446, 921498, 1221684, 921895, 921572, 1164761, 921611, 921820, 921824, 921448, 921803, 921817, 1164812, 921799, 921968, 921680, 921665, 922048, 922099, 922081, 921696, 921463, 921957, 921637, 921548, 921582, 921451, 921936, 921980, 922124, 921617, 922118, 921825, 922153, 921497, 921369, 1164797, 1221661, 1164792, 1164778, 1164760, 921774, 1221658, 1164822, 921645, 921770, 921409, 921458, 921621, 921691, 921383, 1164818, 921461, 922027, 921748, 922000, 1164825, 921726, 921499, 921828, 921700]","{'of': 0.08007404448335097, 'PRP': 0.07208241367325165, 'sentiment': 0.06419701500395135, 'VB': 0.05489884221130903, 'NN': 0.04668607841146603, 'IN': 0.043867000924876436, 'DT': 0.034557672142892175, 'NNS': 0.03444914392487133, 'to': 0.03180537930271263, 'mean_sen_len': 0.030124820940784027}"
0.4825,0.38538736184205646,0.4524424213601468,0.4825,0.6297,0,0.88,0.14107883817427386,0.4146341463414634,0.085,"[1091976, 1191557, 1248200, 837379, 1249771, 1248728, 837638, 1093655, 1092053, 1192057, 1191822, 1249419, 1091846, 1191187, 1090147, 1091324, 1248228, 1192517, 1250759, 1191907, 1091411, 1191199, 1248433, 1090961]","[922118, 921664, 921652, 921957, 1221698, 921663, 921897, 921738, 921939, 921666, 921647, 921368, 921463, 921454, 921546, 921431, 921953, 921774, 921590, 921473, 1164851, 1221613, 1221684, 921471, 921882, 921940, 921851, 921596, 921790, 921468, 922053, 921701, 921498, 922067, 921651, 921444, 921452, 921766, 921923, 921502, 921421, 921483, 921690, 921462, 921694, 1164763, 921395, 921819, 921771, 921999, 1164801, 921496, 921560, 1164819, 1164845, 922011, 921886, 922025, 1221671, 921863, 922112, 922089, 921843, 1221600, 1164777, 921936, 922135, 922028, 921497, 922070, 921862, 921892, 1164792, 922060, 921480, 921731, 922120, 921525, 1221638, 921992, 1221641, 921507, 1221635, 1221661, 921376, 921914, 921592, 921996, 921580, 921722, 1221653, 921900, 921717, 921770, 1164786, 921474, 921955, 921618, 921614, 921894, 921453, 921478, 1221676, 922131, 1221643, 921801, 921682, 921831, 921548, 921607, 921971, 922082, 921380, 922071, 1164754, 921519, 921837, 921793, 921927, 921534, 1164833, 922001, 922058, 921544, 921789, 921829, 1221672, 921856, 1221617, 921723, 922125, 921861, 922116, 921412, 921729, 922065, 1221699, 921407, 921396, 921846, 921658, 922057, 1164774, 922123, 922113, 1164800, 921743, 922059, 921859, 1164760, 921905, 922072, 1164759, 921737, 921871, 921948, 1221689, 921659, 921549, 1221658, 1221686, 922114, 921893, 922017, 1164847, 921889, 921587, 921623, 1164802, 921529, 921721, 921428, 921726, 921457, 922090, 922029, 921881, 921816, 921493, 921918, 921742, 921917, 922152]","{'of': 0.08288851743257526, 'sentiment': 0.07671857762942796, 'PRP': 0.07287779448405571, 'VB': 0.05040659318780771, 'NN': 0.049794870364073214, 'DT': 0.038329076249887906, 'IN': 0.038169875378870094, 'to': 0.036734960884148134, 'have': 0.03230338459447232, 'mean_sen_len': 0.030824062794129685}"
0.475,0.3836400457867395,0.4385900270203881,0.475,0.62094,0,0.86,0.14634146341463414,0.391304347826087,0.09,"[1192177, 1192867, 1249516, 1250078, 1192118, 1090887, 1248741, 1092715, 1211203, 1194000, 1249931, 1090014, 1091849, 1193712, 837562, 1248068, 1193974, 1092536, 1193717, 1092020, 1191429, 1249048, 1192243, 1191855, 1093120, 1093036, 1191139, 1089978]","[921755, 921610, 1221668, 1164763, 921752, 921939, 1221684, 1164781, 922140, 921886, 921582, 921438, 1221680, 1164821, 921908, 921376, 922036, 921938, 921617, 921488, 1221670, 921489, 922055, 921413, 1221660, 921868, 921469, 921892, 921640, 922064, 921679, 921535, 921522, 921786, 1164796, 1164807, 921944, 921785, 1221691, 921604, 1164804, 1221625, 922065, 921525, 922070, 1164840, 922103, 1164787, 922079, 921430, 921646, 921450, 1221653, 1164775, 1221607, 921722, 921526, 1164791, 921878, 1221629, 1221631, 921452, 1164786, 921940, 921529, 922093, 921996, 921568, 921627, 921485, 921449, 921367, 1164758, 922016, 922101, 921603, 1221611, 922105, 1221628, 921475, 922143, 922085, 921431, 922150, 922108, 1221650, 921483, 921560, 1164822, 921869, 1164795, 1164826, 921812, 921521, 921731, 1221674, 1221689, 921882, 921479, 1221677, 921586, 1221632, 921889, 921932, 1164819, 921394, 921706, 921935, 1221652, 921744, 921847, 921839, 922022, 921676, 1221609, 921670, 921875, 1164838, 921814, 1164771, 921581, 922011, 922111, 1164849, 921436, 921664, 921516, 921661, 1164772, 921866, 921903, 922087, 1221620, 922031, 921402, 1164806, 921592, 921773, 921736, 921457, 921550, 921683, 921587, 1221600, 922082, 921805, 921655, 921397, 921484, 921686, 922045, 921478, 922068, 921410, 921926, 921654, 922121, 921704, 921873, 1164848, 921556, 921750, 1221686, 922145, 921921, 921920, 1164799, 921434, 921899, 922109, 1164761, 921669, 921890, 922134, 921865, 921995, 921448, 921844, 921720, 921395, 921625, 1221630]","{'PRP': 0.0779826989873582, 'of': 0.06708210885704013, 'NN': 0.05587892872079661, 'sentiment': 0.05531258895350458, 'VB': 0.049175309494617514, 'DT': 0.04051529196576253, 'IN': 0.03842471275649152, 'RB': 0.034486819221114434, 'the': 0.03411816660546917, 'have': 0.03266598525404632}"
0.53,0.4350282485875706,0.5915750915750916,0.53,0.66667,1,0.94,0.2033898305084746,0.6666666666666666,0.12,"[1191229, 1191413, 1249426, 1248257, 1248226, 1093800, 837109, 1249184, 1247891, 1248740, 1249881, 1193919]","[921867, 922078, 921568, 921962, 921649, 921864, 921965, 922098, 922141, 922071, 1221681, 921817, 921968, 1164840, 922149, 921443, 921499, 921891, 921369, 921509, 921815, 921393, 922086, 1221642, 921676, 1164835, 921408, 921758, 921633, 921897, 921708, 1164758, 921785, 921923, 921558, 921494, 922082, 921374, 921601, 921587, 1221605, 922090, 921670, 1164829, 921920, 1164790, 921845, 921745, 921790, 922157, 921432, 921971, 1164796, 921789, 921719, 921746, 921474, 921960, 921382, 921529, 921899, 1221627, 922008, 922029, 921855, 922006, 921486, 921596, 921482, 921644, 922050, 921710, 922099, 922153, 921792, 921957, 921380, 921810, 1164763, 1221687, 921404, 921589, 921545, 1221682, 921550, 921436, 921574, 921412, 921593, 921371, 1164760, 922053, 921441, 921414, 921721, 921401, 921890, 921951, 921974, 922145, 921929, 921986, 921513, 1164808, 922105, 921996, 1164806, 1164813, 921538, 921539, 921655, 921680, 921440, 921430, 921643, 921651, 921608, 1221669, 1164833, 922067, 921738, 921912, 921526, 921749, 1221691, 921691, 1221667, 921588, 921961, 921728, 922062, 1221637, 921981, 922159, 921463, 921903, 1164810, 921764, 1221640, 921507, 921953, 1221622, 921784, 1164762, 921993, 921429, 921469, 921422, 921504, 921726, 921938, 921500, 921487, 922108, 921892, 921654, 921616, 921877, 921376, 921475, 921763, 921672, 921991, 921900, 921822, 921868, 921399, 921434, 1164807, 921548, 1221668, 921394, 921908, 1164772, 921668, 921571]","{'PRP': 0.08510085461470782, 'sentiment': 0.06912978786465569, 'VB': 0.06051507688125993, 'of': 0.05959156873443687, 'NN': 0.045377338149985055, 'to': 0.03708134471099736, 'NNS': 0.036547002590773564, 'IN': 0.03346635394570054, 'DT': 0.032459023777504196, 'the': 0.02886010919504938}"
0.4925,0.40552452211346285,0.481917907299138,0.4925,0.63291,0,0.875,0.17813765182186234,0.46808510638297873,0.11,"[1193717, 1090528, 1092193, 1249660, 1193786, 837089, 1249184, 1250143, 837347, 1090968, 1190904, 1193029, 1249141, 837344, 1091872, 1093058, 1090929, 1090961, 1249428, 1091899, 1190920, 837468, 1250614, 1191101, 837142]","[1221651, 921508, 1221685, 921864, 1221665, 921551, 922055, 1221674, 1164790, 921927, 1221676, 921451, 921665, 921857, 921458, 1164809, 921621, 922107, 921915, 921461, 1164838, 921527, 921466, 922146, 1164811, 921955, 921496, 921743, 921773, 921952, 921609, 921630, 921939, 922088, 922002, 921583, 1164827, 921588, 922153, 921669, 921539, 921818, 921548, 921732, 921790, 921959, 1164770, 921618, 1221631, 1164793, 922065, 1164781, 921936, 921649, 921723, 922070, 921435, 922143, 921787, 921724, 921403, 1164818, 921607, 921935, 921406, 922053, 1221612, 921459, 922101, 922009, 921861, 921678, 1164807, 921812, 921850, 921467, 921691, 921942, 921599, 922061, 921823, 922025, 921656, 921848, 921748, 921536, 921681, 921615, 921443, 921862, 921550, 921590, 921739, 921940, 921766, 921909, 921521, 1164840, 1221627, 922119, 921697, 1221600, 1221635, 921981, 921538, 921815, 1164774, 1221692, 921809, 921476, 921911, 921598, 922079, 921444, 921610, 921379, 921886, 921395, 921880, 1221691, 921653, 921437, 921958, 921429, 921834, 921485, 922054, 922030, 921622, 921784, 1164819, 921514, 922060, 921702, 921920, 1221699, 921992, 921426, 921617, 921481, 922087, 921676, 922113, 922110, 922152, 921411, 921646, 921900, 921836, 921405, 921736, 1164848, 921604, 921462, 921923, 1221617, 921954, 921964, 921719, 1221606, 921394, 921926, 922129, 922158, 922047, 921545, 921895, 921793, 1164758, 921519, 921576, 921998, 921488, 922094, 921475, 921779, 1221618, 1221601]","{'PRP': 0.08257745728805507, 'of': 0.0674084513008923, 'sentiment': 0.06076403763764431, 'NN': 0.05437176459686181, 'VB': 0.05144360499775003, 'IN': 0.038677134987765635, 'the': 0.03432687982840387, 'DT': 0.03371884069443059, 'RB': 0.033378455734486404, 'i': 0.0316573895997864}"
0.5225,0.4301866809865825,0.5639249946729171,0.5225,0.65954,1,0.925,0.200836820083682,0.6153846153846154,0.12,"[1092403, 1090887, 1093655, 1093545, 1192150, 1092712, 1248909, 1191204, 1249276, 1091284, 1092686, 837401, 1191462, 1193822, 1191505]","[921388, 921853, 921537, 921860, 921767, 922107, 921998, 922132, 921855, 921454, 921411, 921756, 922039, 921917, 922016, 921475, 921989, 921993, 1221608, 1221672, 921797, 922086, 921685, 1164826, 921557, 921451, 921450, 1164783, 921773, 921545, 921462, 1221607, 922069, 921415, 921708, 1164822, 921823, 921746, 921787, 1164840, 921531, 922159, 1221637, 922050, 921969, 1164760, 922089, 922095, 921584, 921935, 921648, 921990, 922115, 921750, 922119, 921796, 921779, 922053, 921611, 921662, 1164818, 921814, 921504, 1164790, 1164839, 921863, 921466, 921474, 921686, 921727, 921593, 921717, 1221622, 921890, 921414, 921901, 1164764, 922080, 921576, 921834, 921808, 921421, 921768, 921922, 921629, 921914, 921926, 921624, 921516, 921867, 921852, 921983, 1221657, 921771, 922051, 921663, 921770, 921518, 921720, 921858, 922009, 921554, 921524, 921895, 921552, 921918, 921742, 921965, 1164828, 922153, 1164845, 921824, 1221696, 1221664, 1164830, 921924, 921684, 1164827, 921490, 922083, 921816, 1221600, 1221625, 921469, 921964, 1221680, 921761, 921949, 921530, 921976, 921916, 921453, 921483, 922097, 921579, 922014, 921908, 921683, 921729, 921920, 921670, 1221645, 921641, 921558, 922001, 921732, 921995, 921927, 921589, 922158, 921739, 921827, 922038, 1221655, 1221690, 1164770, 921437, 921839, 922072, 921747, 921651, 1164797, 922146, 921883, 1221605, 921696, 921780, 921381, 921859, 921757, 921445, 922144, 921512, 922155, 1221653, 921587]","{'PRP': 0.07704818606837345, 'sentiment': 0.06404682953388115, 'of': 0.060187832912359074, 'NN': 0.05861927617390024, 'VB': 0.052599012736564914, 'IN': 0.044251060954934376, 'DT': 0.035560109296601826, 'have': 0.033994395664152306, 'i': 0.030135346327056074, 'the': 0.02877551792881088}"
0.485,0.36817568396515765,0.4423963133640553,0.485,0.63986,0,0.915,0.09649122807017543,0.39285714285714285,0.055,"[1192621, 1091086, 1249444, 837344, 1249154, 1091250, 1193415, 1092560, 1250025, 1247835, 1090268, 1092325, 1090303, 1092804, 1154486, 1191592, 837239]","[921823, 921597, 921530, 921519, 921814, 922054, 921945, 922002, 921383, 921703, 921418, 1221671, 921967, 1221664, 921668, 921409, 921438, 921581, 922114, 921463, 921729, 921671, 921821, 1221654, 1221638, 1164756, 922006, 921946, 921920, 921528, 921773, 921610, 921647, 921490, 921789, 922015, 921640, 1164840, 921740, 921513, 921786, 921605, 921921, 921697, 921909, 921662, 1164760, 921992, 921619, 921776, 921898, 921923, 921996, 921783, 921625, 922058, 921414, 921857, 921941, 921511, 921591, 921633, 921670, 922150, 1221644, 922005, 921456, 921683, 922029, 1221679, 922091, 922116, 921532, 1221613, 1164795, 1164808, 1164833, 922126, 1221637, 921889, 921956, 921529, 921837, 921424, 921691, 922073, 921756, 1221681, 921811, 921912, 921439, 921525, 921557, 921743, 921583, 921507, 921411, 1164758, 1164843, 921972, 921847, 921987, 1164809, 922145, 922094, 1221651, 921918, 1221642, 921911, 922090, 921503, 921965, 921686, 921985, 921820, 921981, 1221634, 1221683, 921643, 922131, 921389, 922088, 921433, 921887, 921795, 922152, 921392, 921367, 921501, 921573, 921644, 921866, 921736, 921953, 921797, 921551, 921421, 1164811, 1221624, 921744, 922117, 921404, 922047, 921548, 921550, 922059, 921769, 1164828, 921394, 922028, 922124, 921739, 1164836, 921759, 921765, 921615, 921632, 921380, 1164822, 921963, 1221684, 921961, 922078, 922050, 921893, 1164802, 922105, 922111, 921375, 921473, 921681, 921932, 921737, 921626, 922103, 1221600, 1164763, 922053, 922136, 1164841, 921504, 1164794, 921775, 921684, 922040, 1164844, 921677, 1221675, 921969]","{'of': 0.08152913832098423, 'PRP': 0.06775472343299471, 'sentiment': 0.06678581877649684, 'NN': 0.046959086590103546, 'IN': 0.042181032800980456, 'VB': 0.04020620957372779, 'the': 0.03683613180250284, 'DT': 0.036433038480489996, 'have': 0.03455714799989271, 'NNS': 0.03131954808213874}"
0.5175,0.42142380706132754,0.5521182339364158,0.5175,0.65719,1,0.925,0.18565400843881857,0.5945945945945946,0.11,"[1248907, 1249922, 1193458, 1193967, 1093409, 1211184, 1249740, 1090222, 1249575, 1090086, 837169, 1090280, 836957, 1090698, 1248002]","[921573, 921937, 1164848, 921818, 921848, 921597, 921476, 1221679, 921846, 921635, 921406, 1221676, 921930, 921695, 921728, 1221605, 921933, 921447, 921559, 921564, 921699, 921432, 922143, 921952, 921592, 921971, 1221666, 921523, 1164778, 1221661, 921466, 921750, 922113, 922027, 921867, 922007, 1221601, 922008, 921480, 921384, 922032, 922023, 921959, 1221696, 922065, 921892, 1164800, 1164805, 921741, 921749, 922001, 921512, 921657, 921843, 1221677, 1164783, 921955, 921579, 921790, 921914, 921545, 1164759, 1221617, 1164790, 921974, 921644, 921401, 921492, 1221618, 922139, 922149, 921888, 921497, 922106, 921595, 921671, 921511, 1221645, 1221634, 1221675, 922029, 1164823, 921434, 921946, 921455, 921685, 922005, 921947, 921804, 1221655, 921416, 921379, 921637, 1221602, 1221686, 921993, 921549, 922006, 1221693, 1164801, 922036, 921374, 921803, 921483, 922020, 922060, 921870, 921693, 1221627, 921805, 921433, 922016, 921833, 921502, 1164788, 1221612, 921472, 922002, 921681, 921641, 921446, 921390, 921381, 1221671, 921960, 1221689, 921645, 921832, 921429, 921538, 921987, 921585, 921575, 922129, 921543, 922123, 921431, 1221607, 922022, 1221638, 922118, 921957, 921569, 921586, 921769, 921546, 921599, 921862, 1221635, 921780, 921654, 921897, 921744, 921789, 1164845, 1164840, 921501, 922014, 922043, 921906, 921793, 921505, 921500, 922079, 922070, 922000, 921609, 921697, 921908, 921394, 922068, 921765, 921720, 1221694, 922083, 921953, 1221670, 921702]","{'PRP': 0.0803472269548, 'of': 0.06660287641357096, 'sentiment': 0.06328833712037824, 'NN': 0.0618774857275237, 'VB': 0.04888386989873261, 'IN': 0.04673946899235768, 'DT': 0.03807381462626361, 'have': 0.03491496629805552, 'to': 0.03318456022702959, 'RB': 0.02632417720519176}"
