,Key,Count,Mean Score
0,PRP,100,0.07581850175480515
1,NN,100,0.053176904543767306
2,sentiment,100,0.0595577978674015
3,of,100,0.06640711828588855
4,VB,100,0.0537022900480572
5,IN,97,0.04031845162580818
7,DT,95,0.037966839867786144
11,to,63,0.03525693808811341
6,have,60,0.03470282445334317
13,NNS,43,0.03379351030659657
9,i,34,0.03220940058974112
10,the,32,0.03306710102331139
14,RB,30,0.03160918933135122
12,mean_sen_len,23,0.03192134038626393
8,which,22,0.032078490101970676
15,had,1,0.027928947871377924
