,Key,Count,Mean Score
0,PRP,100,0.0751906342360858
1,of,100,0.06813361201655896
2,NN,100,0.053836865706420864
3,sentiment,100,0.059959927259552306
5,VB,100,0.05229816555677082
4,IN,98,0.04039458189399493
6,DT,96,0.03779266786023574
9,to,57,0.03552840495313855
10,have,54,0.03687343078154235
13,NNS,45,0.03402604427054162
12,RB,39,0.03308092409403369
8,the,37,0.032833989033840286
14,i,28,0.03255202219857967
11,mean_sen_len,23,0.03137517906154126
7,which,21,0.03260352739595583
15,VBD,1,0.03323809284128972
16,had,1,0.029518186923981848
