accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.515,0.3774868437941214,0.6288659793814433,0.515,0.67007,1,0.985,0.08490566037735849,0.75,0.045,"[1105660, 1204135, 1154863]","[1027967, 1028168, 1028358, 1028010, 1028046, 1028455, 1234944, 1027891, 1028057, 1028319, 1028456, 1028482, 1028011, 1028242, 1028355, 1178072, 1028522, 1028444, 1028179, 1028188, 1028310, 1028302, 1027825, 1028228, 1028138, 1028061, 1027876, 1028308, 1178075, 1178020, 1028371, 1028074, 1027878, 1027869, 1234959, 1028009, 1028256, 1028118, 1028206, 1028340, 1028105, 1028526, 1027837, 1027999, 1028600, 1028362, 1028366, 1028356, 1028190, 1027849, 1027933, 1027840, 1028108, 1028560, 1028508, 1028126, 1178026, 1028195, 1028361, 1027954, 1028066, 1028463, 1028346, 1028603, 1028550, 1027852, 1028573, 1028369, 1028244, 1178054, 1027835, 1028314, 1178011, 1028350, 1028579, 1234986, 1027896, 1028489, 1028566, 1027831, 1028543, 1028570, 1027874, 1234989, 1028124, 1028353, 1028085, 1027919, 1028495, 1028211, 1028238, 1027816, 1178013, 1028012, 1028285, 1028171, 1234941, 1028327, 1178091, 1028470, 1027910, 1028241, 1028304, 1027944, 1234988, 1028497, 1027924, 1235011, 1234971, 1027842, 1028469, 1027913, 1028002, 1028425, 1027983, 1028328, 1028291, 1028001, 1027884, 1235014, 1028157, 1028467, 1178003, 1028135, 1027972, 1028261, 1178048, 1235000, 1028288, 1027841, 1028576, 1234972, 1027931, 1028315, 1027881, 1234974, 1178090, 1027851, 1028476, 1028484, 1028064, 1028265, 1028283, 1234980, 1027997, 1234956, 1028431, 1027926, 1235009, 1028065, 1027894, 1028060, 1234957, 1178089, 1234982, 1028556, 1234969, 1028487, 1234978, 1028136, 1027987, 1028148, 1028289, 1028413, 1028033, 1178033, 1027950, 1027885, 1234921, 1028245, 1178052, 1027908, 1028490, 1028323, 1028313, 1028029, 1028038, 1234946, 1028182, 1028427, 1028502, 1178022, 1028399, 1027821, 1028063, 1028445, 1234929, 1027949, 1028129, 1028273, 1028398]","{'PRP': 0.08015118898190911, 'of': 0.05786714075728017, 'VB': 0.05570310195956363, 'sentiment': 0.05050090928142373, 'NN': 0.04953022218545828, 'DT': 0.04304028888234821, 'IN': 0.03907879198197432, 'have': 0.03370374087012907, 'RB': 0.03287233975879913, 'which': 0.0322022205203367}"
0.515,0.3698024948024948,0.6913265306122449,0.515,0.6723,1,0.995,0.0673076923076923,0.875,0.035,[1107400],"[1028592, 1028184, 1028015, 1027928, 1028440, 1027883, 1028309, 1028577, 1178073, 1178002, 1028123, 1028226, 1235017, 1027948, 1028105, 1028192, 1027827, 1027885, 1234931, 1028588, 1027940, 1028164, 1028238, 1027830, 1028003, 1028285, 1028410, 1028569, 1028555, 1027825, 1178097, 1028006, 1028395, 1027942, 1027910, 1027891, 1028173, 1028099, 1028473, 1028157, 1028211, 1178064, 1028274, 1028171, 1027923, 1028451, 1027914, 1028051, 1234937, 1028201, 1028570, 1028464, 1028106, 1027964, 1027916, 1028542, 1028062, 1028203, 1178042, 1234928, 1028009, 1028597, 1028278, 1027900, 1234920, 1027957, 1028073, 1028207, 1178093, 1234951, 1028131, 1234934, 1027973, 1028532, 1028381, 1028593, 1028536, 1027992, 1027839, 1028387, 1028423, 1028505, 1235010, 1028439, 1028058, 1028130, 1028254, 1028036, 1234970, 1028397, 1028602, 1028048, 1028311, 1028139, 1028554, 1028313, 1028521, 1028000, 1028078, 1027851, 1028579, 1178030, 1028129, 1178011, 1234952, 1028273, 1028158, 1028178, 1028190, 1028603, 1028034, 1027956, 1028388, 1234942, 1028092, 1027967, 1028169, 1028066, 1027935, 1027856, 1028404, 1028386, 1028408, 1234996, 1028452, 1028227, 1028026, 1028370, 1028077, 1028413, 1028469, 1028594, 1028215, 1027814, 1028240, 1178014, 1028368, 1028197, 1178041, 1178087, 1178022, 1028281, 1028373, 1027844, 1028547, 1028245, 1234988, 1027983, 1028097, 1028067, 1028280, 1027975, 1028559, 1027842, 1028041, 1028471, 1028565, 1028093, 1028317, 1028104, 1028359, 1234956, 1027922, 1028075, 1028218, 1178071, 1028337, 1028450, 1028487, 1027921, 1028364, 1028204, 1027981, 1028085, 1234963, 1028159, 1028260, 1028472, 1028583, 1028132, 1028090, 1028315, 1028494, 1028477, 1028459, 1028248, 1028393, 1028513, 1028300, 1028018, 1234979, 1028430, 1028557]","{'PRP': 0.06920091411193233, 'of': 0.0628020609363538, 'NN': 0.05282868588727324, 'VB': 0.04970174579493809, 'to': 0.04907844476029835, 'sentiment': 0.048760787437644205, 'IN': 0.03868976321883608, 'DT': 0.035735946152354314, 'have': 0.03109915112009162, 'mean_sen_len': 0.03010001098739855}"
0.5075,0.3620414673046251,0.5852514919011083,0.5075,0.66667,1,0.985,0.05741626794258373,0.6666666666666666,0.03,"[1124984, 1122676, 1129255]","[1178091, 1234924, 1028366, 1027843, 1028599, 1027990, 1028454, 1028090, 1028101, 1028058, 1234926, 1027934, 1027831, 1178095, 1027883, 1028228, 1028567, 1027927, 1027951, 1027989, 1028041, 1027909, 1234980, 1028545, 1028000, 1178032, 1028177, 1178041, 1028280, 1027977, 1234996, 1028325, 1028316, 1178083, 1028412, 1027979, 1028006, 1028337, 1028201, 1028048, 1028247, 1028133, 1028286, 1028398, 1234991, 1027953, 1027907, 1027835, 1028439, 1028406, 1028602, 1028059, 1028249, 1178056, 1028233, 1027893, 1028557, 1027889, 1028484, 1234958, 1028018, 1028588, 1027851, 1028054, 1028207, 1028371, 1027894, 1027861, 1028507, 1028472, 1028281, 1027870, 1028299, 1028493, 1028467, 1235012, 1028044, 1028070, 1028345, 1234982, 1028224, 1028354, 1028221, 1028525, 1027941, 1028013, 1027856, 1028535, 1027966, 1178057, 1028062, 1027921, 1234938, 1027978, 1028389, 1028558, 1028402, 1028500, 1028137, 1027914, 1028057, 1027827, 1234951, 1028190, 1028536, 1178100, 1028440, 1028211, 1027919, 1028359, 1178047, 1028330, 1027928, 1027830, 1028208, 1028275, 1027968, 1028184, 1234979, 1028269, 1028351, 1234984, 1028225, 1234942, 1028220, 1027829, 1028049, 1027943, 1178012, 1028015, 1028487, 1235000, 1028273, 1028572, 1235011, 1028051, 1028171, 1027954, 1028513, 1028294, 1028312, 1028181, 1234943, 1027871, 1028285, 1028379, 1178062, 1028126, 1028241, 1028307, 1028069, 1178050, 1028023, 1028145, 1178097, 1178018, 1028481, 1178030, 1028549, 1028168, 1234925, 1028318, 1028405, 1234957, 1027993, 1027957, 1234956, 1028188, 1028509, 1178074, 1027872, 1178073, 1028580, 1234965, 1028548, 1028143, 1027922, 1028065, 1235002, 1028141, 1028482, 1028103, 1028319, 1028449, 1178031, 1027944, 1178042, 1028304, 1028045, 1027935, 1028112, 1028050, 1027862, 1028263]","{'PRP': 0.08390718645333763, 'of': 0.06838332135887949, 'sentiment': 0.06826093596634798, 'NN': 0.05619688437823244, 'VB': 0.04705325538827791, 'DT': 0.041541608329930396, 'IN': 0.034103901940054054, 'i': 0.03309410375797445, 'NNS': 0.03070175827683681, 'mean_sen_len': 0.02924233035744407}"
0.505,0.36465152098575276,0.5429553264604812,0.505,0.66327,1,0.975,0.0660377358490566,0.5833333333333334,0.035,"[1121167, 1108715, 1123539, 1130598, 1109281]","[1028162, 1028202, 1028227, 1178084, 1178048, 1028514, 1028106, 1028570, 1235006, 1028357, 1027828, 1027924, 1027970, 1027948, 1028100, 1028182, 1028234, 1028161, 1027831, 1027820, 1028371, 1027830, 1027844, 1027940, 1028137, 1027928, 1028593, 1027994, 1028417, 1028192, 1027848, 1178067, 1028430, 1028423, 1028148, 1028045, 1028022, 1028398, 1028103, 1028195, 1028014, 1027888, 1178075, 1234950, 1028362, 1028400, 1235016, 1028377, 1028247, 1235011, 1027823, 1028300, 1178020, 1028206, 1028033, 1028315, 1027902, 1028269, 1027845, 1028154, 1028217, 1028197, 1027895, 1028340, 1234924, 1027916, 1028187, 1028038, 1028499, 1028425, 1028424, 1028420, 1028575, 1028361, 1027918, 1234934, 1178054, 1028386, 1234963, 1178081, 1028385, 1028370, 1028302, 1178064, 1028502, 1028277, 1028051, 1027943, 1234955, 1028510, 1028332, 1028324, 1027930, 1027858, 1028452, 1028404, 1178049, 1178057, 1027942, 1028030, 1028200, 1234937, 1178043, 1027837, 1027926, 1028387, 1028602, 1027900, 1027876, 1028594, 1027861, 1234982, 1028521, 1028016, 1027971, 1028150, 1027905, 1235012, 1234922, 1234973, 1178014, 1028054, 1028110, 1028484, 1028232, 1028117, 1028356, 1028199, 1028460, 1027852, 1028322, 1178085, 1028068, 1178011, 1178077, 1028313, 1028002, 1028391, 1234967, 1028048, 1028003, 1027951, 1028050, 1027967, 1028180, 1028041, 1178061, 1028172, 1028278, 1028406, 1234979, 1178023, 1028382, 1028226, 1028116, 1234998, 1028344, 1028496, 1027917, 1027849, 1028023, 1028211, 1028465, 1028029, 1028587, 1027840, 1028504, 1028568, 1028067, 1028330, 1028309, 1234957, 1027984, 1027925, 1178098, 1028288, 1028596, 1027979, 1028555, 1028098, 1178053, 1178091, 1028020, 1027982, 1028530, 1028141, 1028083, 1028355, 1028086, 1027992, 1028414, 1028092, 1028517]","{'PRP': 0.09193631222297728, 'VB': 0.06931419005601093, 'of': 0.06361990499227621, 'NN': 0.05646315034383111, 'sentiment': 0.04622571742110514, 'DT': 0.036640022617096306, 'IN': 0.03562214662962253, 'the': 0.034540526772218395, 'RB': 0.0303772746332891, 'which': 0.0275741022477794}"
0.54,0.4385964912280702,0.6441441441441441,0.54,0.67719,1,0.965,0.2,0.7666666666666667,0.115,"[1132318, 1115242, 1118947, 1130887, 1119620, 1134585, 1204986]","[1028311, 1178055, 1028449, 1028078, 1028047, 1028003, 1178023, 1027917, 1028088, 1178064, 1028280, 1028170, 1028281, 1028466, 1028497, 1028587, 1027908, 1027996, 1234928, 1027946, 1028224, 1028596, 1028283, 1028044, 1027956, 1028051, 1028017, 1027869, 1028484, 1028166, 1028229, 1028154, 1234922, 1028475, 1028421, 1028290, 1028535, 1028304, 1028526, 1028043, 1028545, 1028036, 1234987, 1028515, 1028506, 1028525, 1028162, 1028203, 1028002, 1028416, 1028001, 1028355, 1178006, 1028309, 1027992, 1028491, 1027994, 1178099, 1028498, 1028211, 1028310, 1028559, 1027894, 1028064, 1028326, 1028364, 1028287, 1028487, 1028069, 1027972, 1028111, 1028264, 1028054, 1028433, 1028360, 1028248, 1028042, 1028321, 1028424, 1178058, 1028432, 1028269, 1028565, 1028332, 1027910, 1028131, 1028417, 1028086, 1028076, 1028291, 1234997, 1028571, 1178095, 1234957, 1028341, 1028223, 1028513, 1028146, 1178025, 1028050, 1028237, 1027918, 1028412, 1178094, 1028119, 1028465, 1028586, 1178034, 1028018, 1028344, 1027879, 1178087, 1178016, 1234969, 1027948, 1178076, 1028008, 1028010, 1028035, 1028201, 1028456, 1178071, 1234979, 1027827, 1028337, 1028446, 1028600, 1028049, 1027828, 1178057, 1178079, 1028457, 1027903, 1027891, 1028159, 1028547, 1028240, 1178020, 1028323, 1235011, 1178008, 1178060, 1028165, 1028124, 1028468, 1027931, 1028147, 1028192, 1028031, 1027824, 1028315, 1028556, 1178042, 1027926, 1028101, 1027872, 1234991, 1178049, 1028253, 1028313, 1027815, 1028448, 1027817, 1027932, 1028579, 1178090, 1028318, 1028317, 1234930, 1028048, 1028289, 1178074, 1028422, 1028483, 1027881, 1027878, 1028000]","{'PRP': 0.06901016026995793, 'of': 0.06747320710253439, 'sentiment': 0.060066514414717755, 'NN': 0.05007027756131652, 'IN': 0.04644966955184801, 'VB': 0.04313172965075002, 'DT': 0.03657734031158378, 'have': 0.035656269523213824, 'which': 0.03448930851280859, 'the': 0.03263385986755941}"
0.5075,0.3539659766345562,0.6518987341772151,0.5075,0.66891,1,0.995,0.03902439024390244,0.8,0.02,[1117790],"[1027903, 1178076, 1028311, 1028099, 1027944, 1027841, 1027965, 1027996, 1028534, 1027867, 1028083, 1178080, 1027993, 1028067, 1234982, 1028568, 1028490, 1234957, 1028181, 1234938, 1235004, 1028349, 1027865, 1028010, 1028160, 1235007, 1027900, 1028380, 1028162, 1028076, 1028597, 1028584, 1028214, 1028497, 1028171, 1028024, 1028447, 1178022, 1235016, 1028042, 1028478, 1028600, 1028407, 1028467, 1028541, 1028414, 1178099, 1028319, 1028115, 1028100, 1027904, 1028273, 1028095, 1028122, 1028296, 1028295, 1028038, 1028186, 1028378, 1234926, 1028062, 1028213, 1028565, 1028232, 1028127, 1028020, 1027953, 1178038, 1027921, 1028241, 1028274, 1028278, 1027955, 1028426, 1027824, 1178040, 1028285, 1028191, 1178013, 1234958, 1028433, 1028118, 1028583, 1028389, 1178033, 1178064, 1028256, 1028358, 1028535, 1028137, 1028454, 1028509, 1027846, 1028581, 1028353, 1234937, 1028516, 1028377, 1027853, 1028325, 1027816, 1028495, 1027869, 1028526, 1028286, 1027822, 1178036, 1028032, 1234991, 1028206, 1235001, 1028039, 1234931, 1028336, 1027922, 1027908, 1028416, 1234943, 1028593, 1028493, 1028101, 1028510, 1235003, 1028361, 1028401, 1234923, 1028279, 1027819, 1028304, 1028196, 1028265, 1178081, 1028338, 1028136, 1028381, 1178037, 1028002, 1234972, 1027872, 1178002, 1178058, 1028442, 1028465, 1028211, 1235009, 1178047, 1028180, 1027925, 1028395, 1028531, 1028159, 1027960, 1234953, 1234974, 1028051, 1028217, 1028445, 1028582, 1028222, 1234954, 1178008, 1027931, 1235014, 1027987, 1178084, 1028562, 1028173, 1027912, 1027988, 1028261, 1027909, 1028324, 1028477, 1234977, 1028022, 1027983, 1178016, 1028580, 1235011, 1028179, 1028316, 1235010, 1028201, 1028347, 1028386, 1028003, 1027863, 1028308, 1028512, 1028350, 1028485, 1028307, 1028482, 1028107, 1027864, 1028234]","{'PRP': 0.07481949803092255, 'sentiment': 0.06341142180040857, 'of': 0.059706493701717864, 'VB': 0.055698544618136905, 'NN': 0.0490673211130914, 'NNS': 0.0389892233418669, 'have': 0.03796586136035808, 'DT': 0.03337996173739668, 'i': 0.03132238883393345, 'IN': 0.031073959436237378}"
0.51,0.3748205798858091,0.574019245003701,0.51,0.66553,1,0.975,0.08411214953271028,0.6428571428571429,0.045,"[1115901, 1125843, 1115831, 1126604, 1116161]","[1178077, 1028107, 1028491, 1235016, 1028586, 1178062, 1028050, 1028212, 1028561, 1028004, 1028556, 1027972, 1028057, 1028389, 1028483, 1028490, 1027908, 1028419, 1027895, 1028241, 1028414, 1234962, 1234933, 1028122, 1028343, 1027889, 1028214, 1028157, 1028351, 1028051, 1027983, 1028359, 1028154, 1028073, 1028401, 1234983, 1234991, 1028156, 1028384, 1028223, 1178030, 1234981, 1234946, 1028355, 1028067, 1028346, 1028416, 1027864, 1028017, 1235014, 1028167, 1028249, 1028560, 1028043, 1028333, 1027862, 1027824, 1028258, 1028432, 1028597, 1028265, 1234927, 1028570, 1028296, 1028418, 1028142, 1234929, 1028034, 1028450, 1028403, 1027840, 1028084, 1028381, 1027848, 1027984, 1028008, 1028103, 1027964, 1027811, 1234985, 1027953, 1027817, 1234986, 1234948, 1028345, 1028260, 1027850, 1028349, 1028245, 1028457, 1178072, 1028297, 1178047, 1028203, 1027832, 1178064, 1028280, 1028307, 1028155, 1028500, 1027873, 1027863, 1028303, 1028461, 1027814, 1028410, 1027938, 1028224, 1028360, 1028254, 1234987, 1178071, 1028584, 1028365, 1028029, 1028592, 1028420, 1028566, 1178065, 1028098, 1028553, 1028322, 1028204, 1234943, 1028447, 1028072, 1234938, 1027977, 1027979, 1028059, 1178083, 1028524, 1028487, 1234993, 1234944, 1027951, 1027841, 1027935, 1028431, 1028377, 1027891, 1234972, 1028353, 1027857, 1028485, 1178034, 1027944, 1028108, 1028455, 1028009, 1178057, 1234919, 1028575, 1028150, 1028499, 1028016, 1028194, 1028052, 1028284, 1028399, 1028042, 1028388, 1028090, 1027927, 1178035, 1028143, 1028239, 1234940, 1028268, 1027930, 1028518, 1028082, 1027861, 1028478, 1027967, 1028313, 1028342, 1028164, 1028567, 1028220, 1027853, 1028413, 1027998, 1235011, 1178085, 1028596, 1028274, 1028295, 1027947, 1028058, 1028205]","{'PRP': 0.07165613910354764, 'of': 0.0660372302034794, 'VB': 0.057676245524521975, 'NN': 0.05246665214578915, 'sentiment': 0.05080214210856927, 'IN': 0.04587841461656194, 'DT': 0.0444106374568593, 'the': 0.03608040276880662, 'i': 0.03602868445632205, 'to': 0.03533113622495215}"
0.5075,0.36975630043749147,0.5596302921884317,0.5075,0.6644,1,0.975,0.07511737089201878,0.6153846153846154,0.04,"[1262243, 1204780, 1123769, 1119620, 1128655]","[1028193, 1234929, 1028059, 1028097, 1028046, 1028223, 1178060, 1178037, 1028227, 1028317, 1028539, 1027886, 1028023, 1234988, 1178085, 1028354, 1027816, 1028456, 1028363, 1027938, 1027873, 1028258, 1028451, 1028071, 1028533, 1028454, 1028230, 1234935, 1028155, 1027853, 1028137, 1028009, 1178053, 1027851, 1234923, 1028212, 1028441, 1028549, 1027825, 1027951, 1027854, 1027847, 1028184, 1027960, 1027821, 1028538, 1028277, 1028158, 1234938, 1028475, 1027992, 1028216, 1028398, 1027866, 1027868, 1028546, 1027925, 1028308, 1028007, 1028559, 1028229, 1028532, 1028421, 1028392, 1028010, 1027966, 1234920, 1234984, 1027885, 1028333, 1027831, 1028376, 1027832, 1028207, 1028323, 1028231, 1028175, 1027934, 1234936, 1028122, 1028297, 1028311, 1234962, 1028497, 1028349, 1027862, 1028408, 1028466, 1027811, 1027895, 1178070, 1028600, 1028360, 1028467, 1028595, 1028325, 1027914, 1028327, 1028003, 1028200, 1028247, 1028501, 1234974, 1027874, 1028405, 1028355, 1027948, 1235007, 1028024, 1028181, 1028399, 1028232, 1028031, 1234960, 1028486, 1027893, 1028045, 1028120, 1027977, 1028286, 1234982, 1028374, 1028185, 1234951, 1178046, 1028590, 1028087, 1028105, 1235014, 1028470, 1027991, 1028345, 1028162, 1028226, 1028434, 1178058, 1027824, 1027931, 1028266, 1028060, 1028064, 1028476, 1028234, 1178097, 1028108, 1027884, 1027975, 1028033, 1234999, 1027955, 1028419, 1028420, 1028244, 1028389, 1028148, 1027918, 1028356, 1028296, 1028017, 1028205, 1028208, 1028112, 1028279, 1027912, 1028211, 1027876, 1028516, 1028292, 1028154, 1028174, 1027910, 1028263, 1178036, 1234958, 1178073, 1028151, 1027823, 1028029, 1028243, 1028041, 1028049, 1028446, 1028561, 1028545, 1178022, 1028273, 1027864, 1028001, 1027976, 1028499, 1028252, 1027839]","{'PRP': 0.09446791084838496, 'of': 0.07172072539628188, 'sentiment': 0.060011395884272574, 'IN': 0.04915416043682571, 'VB': 0.047967164504600174, 'NN': 0.047127905482323464, 'DT': 0.03981164342106335, 'to': 0.037302424104708756, 'NNS': 0.033797122750212155, 'the': 0.026357744032193656}"
0.5025,0.3431855500821018,0.5839630562552477,0.5025,0.66667,1,0.995,0.019704433497536946,0.6666666666666666,0.01,[1121385],"[1027852, 1027910, 1178052, 1028149, 1234972, 1028383, 1028278, 1028188, 1028514, 1027996, 1028206, 1028590, 1028283, 1027854, 1028309, 1028450, 1234928, 1028200, 1028425, 1234976, 1027859, 1028136, 1028154, 1028308, 1028571, 1027908, 1027923, 1028495, 1234932, 1027901, 1234982, 1234968, 1178072, 1028266, 1027926, 1028312, 1028468, 1028435, 1028479, 1028176, 1028357, 1028517, 1028274, 1028476, 1234920, 1027967, 1028245, 1027815, 1028273, 1028316, 1028550, 1028597, 1028446, 1178065, 1178031, 1028358, 1028022, 1178096, 1028094, 1178006, 1027942, 1235002, 1028480, 1028025, 1027929, 1028185, 1027878, 1028512, 1027914, 1028399, 1028362, 1028441, 1027813, 1028313, 1235009, 1028418, 1178041, 1028394, 1027924, 1027927, 1028374, 1234946, 1027827, 1028530, 1027946, 1028243, 1028359, 1028379, 1027934, 1027917, 1028247, 1027905, 1234959, 1027835, 1028276, 1028027, 1027848, 1027986, 1028292, 1178090, 1028577, 1178012, 1234927, 1028543, 1178004, 1028104, 1028191, 1028152, 1028331, 1028593, 1178067, 1028307, 1027921, 1028122, 1028070, 1234995, 1028599, 1028563, 1028035, 1027970, 1028527, 1028182, 1028452, 1028166, 1234971, 1178002, 1027951, 1178033, 1234926, 1234974, 1028436, 1178037, 1028164, 1028130, 1028531, 1028255, 1178091, 1028340, 1028314, 1028311, 1027879, 1028017, 1027884, 1028515, 1028092, 1028218, 1028298, 1028137, 1028210, 1028520, 1028230, 1028295, 1028319, 1028529, 1028235, 1028108, 1028463, 1178030, 1027893, 1178048, 1028523, 1028265, 1028263, 1178038, 1028429, 1028565, 1178082, 1028238, 1027844, 1028189, 1027990, 1027948, 1028368, 1028537, 1028522, 1027838, 1234960, 1178034, 1234967, 1178061, 1028132, 1028371, 1027851, 1028014, 1028535, 1178047, 1028062, 1028588, 1028256, 1028211, 1028485, 1178086, 1234975, 1027885, 1028047, 1028213, 1028061, 1028586]","{'PRP': 0.07902965135625742, 'of': 0.07570331086414765, 'NN': 0.06864619374130203, 'sentiment': 0.05161613721287392, 'VB': 0.04889364397923428, 'IN': 0.04012004897901548, 'NNS': 0.0380787978546016, 'DT': 0.03604547908535484, 'which': 0.031147453123021144, 'to': 0.030782752421847172}"
0.5325,0.41543775740666933,0.6633371026510868,0.5325,0.67703,1,0.98,0.15384615384615385,0.8095238095238095,0.085,"[1205294, 1109387, 1108599, 1123254]","[1028515, 1178072, 1028358, 1234976, 1027911, 1235013, 1027826, 1027854, 1028093, 1028571, 1235016, 1028348, 1027990, 1028236, 1028174, 1028446, 1234995, 1028083, 1028420, 1027956, 1028029, 1028518, 1028130, 1178089, 1028267, 1028429, 1028514, 1027880, 1027811, 1028063, 1028396, 1028210, 1028585, 1028329, 1028472, 1028422, 1028425, 1027921, 1028004, 1028279, 1178064, 1028449, 1028501, 1028187, 1178092, 1028248, 1028408, 1028241, 1234963, 1027922, 1028103, 1027867, 1028560, 1027957, 1028229, 1178036, 1027989, 1028365, 1028113, 1028183, 1028207, 1027936, 1028493, 1178002, 1234924, 1028528, 1234966, 1028541, 1028010, 1028496, 1028132, 1028046, 1028468, 1234927, 1178042, 1028122, 1027939, 1028410, 1028066, 1027904, 1028134, 1178048, 1028190, 1027914, 1028205, 1028534, 1235015, 1028032, 1178045, 1028599, 1028343, 1027849, 1028433, 1028359, 1234929, 1028017, 1028149, 1027955, 1028380, 1234981, 1178016, 1178015, 1234948, 1235005, 1178082, 1027968, 1178003, 1028341, 1027929, 1028189, 1028272, 1028300, 1028146, 1028079, 1234975, 1027897, 1028128, 1028239, 1028201, 1028247, 1027909, 1028301, 1234988, 1028462, 1234957, 1028471, 1235002, 1178037, 1027856, 1028026, 1028050, 1028373, 1028331, 1028271, 1028502, 1028089, 1027985, 1234952, 1234956, 1028185, 1235008, 1027919, 1027859, 1027923, 1028445, 1027907, 1028552, 1028553, 1028557, 1028525, 1028299, 1028419, 1028224, 1027889, 1028426, 1028245, 1027901, 1028447, 1027992, 1027879, 1178096, 1027927, 1027960, 1178024, 1028356, 1028512, 1028568, 1028257, 1178088, 1028581, 1027952, 1028013, 1028077, 1028198, 1028048, 1028252, 1028505, 1028578, 1027908, 1028391, 1028595, 1028192, 1027928]","{'PRP': 0.07193667207981108, 'of': 0.06719132546530317, 'sentiment': 0.05109452245016476, 'DT': 0.04974370841726507, 'NN': 0.04768767164445207, 'VB': 0.04554023092607797, 'IN': 0.041827608908504524, 'NNS': 0.033684676915336546, 'to': 0.03169642251008169, 'i': 0.029134273172005013}"
