accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.5,0.3377264147819464,0.5,0.5,0.66555,0,0.995,0.009900990099009901,0.5,0.005,[1131215],"[1012014, 1012460, 1176107, 1012690, 1012312, 1012471, 1012076, 1012247, 1012061, 1012242, 1012348, 1012196, 1012542, 1012657, 1012009, 1012417, 1012297, 1232982, 1011975, 1176031, 1012616, 1012458, 1012167, 1012491, 1012048, 1012108, 1012646, 1012438, 1012669, 1012236, 1012561, 1012234, 1012127, 1012480, 1012192, 1012629, 1012331, 1012177, 1012328, 1012115, 1233004, 1012102, 1011992, 1012109, 1012344, 1011936, 1233006, 1012672, 1012640, 1012437, 1012319, 1012673, 1012696, 1012473, 1012002, 1012261, 1012100, 1012534, 1012219, 1012191, 1012687, 1012589, 1012713, 1012494, 1232963, 1012304, 1233015, 1012697, 1011943, 1012129, 1012330, 1176061, 1012157, 1012635, 1012676, 1012456, 1233016, 1011959, 1012667, 1012705, 1012414, 1233027, 1232989, 1176027, 1011970, 1176108, 1012433, 1011985, 1176080, 1011962, 1012197, 1012479, 1012395, 1012704, 1012481, 1176112, 1012652, 1012432, 1012631, 1012413, 1012105, 1012648, 1012209, 1012517, 1232967, 1012532, 1012267, 1012309, 1012265, 1012018, 1232964, 1012171, 1012614, 1011953, 1012081, 1012621, 1176082, 1176100, 1012447, 1232966, 1012409, 1012707, 1012005, 1012243, 1233005, 1012199, 1012363, 1012042, 1012047, 1011932, 1012377, 1012166, 1176040, 1012093, 1012153, 1232949, 1012313, 1012274, 1012305, 1012569, 1012173, 1011952, 1176018, 1012182, 1012279, 1012213, 1012513, 1012367, 1012310, 1012315, 1012558, 1232954, 1012403, 1176085, 1011933, 1232959, 1012461, 1012083, 1012419, 1012717, 1012195, 1012636, 1012322, 1176043, 1176087, 1233028, 1012566, 1012280, 1012522, 1012641, 1012188, 1176025, 1011946, 1232961, 1012202, 1012015, 1176089, 1012556, 1012038, 1233033, 1012446, 1176059, 1012128, 1012335, 1011974, 1233008, 1012505, 1012708, 1233007, 1012152, 1012210, 1012017, 1012221, 1012509, 1011993, 1232958, 1012062, 1012391, 1176096]","{'PRP': 0.07262427707770913, 'of': 0.06186775121855998, 'sentiment': 0.057824395998021805, 'NN': 0.054672096012775825, 'VB': 0.05306657409076429, 'IN': 0.0413612804626917, 'DT': 0.039081932502863945, 'to': 0.03441950029140921, 'mean_sen_len': 0.030264165444874917, 'the': 0.02958016034167167}"
0.495,0.3354388735359916,0.3737373737373737,0.495,0.66107,0,0.985,0.00980392156862745,0.25,0.005,"[1127996, 1262301, 1124800]","[1012679, 1176043, 1012685, 1176116, 1012428, 1012306, 1012396, 1012362, 1012495, 1012162, 1012544, 1012204, 1176112, 1012304, 1011944, 1233003, 1012328, 1012170, 1012582, 1012400, 1012181, 1012310, 1012352, 1012154, 1233036, 1012466, 1012315, 1012541, 1012471, 1233021, 1012687, 1012684, 1012567, 1012295, 1176065, 1012220, 1012667, 1012216, 1012296, 1232981, 1012318, 1011957, 1011972, 1012133, 1012299, 1232946, 1012524, 1176101, 1232999, 1011930, 1012225, 1176109, 1232949, 1012094, 1012203, 1012208, 1012522, 1012262, 1012490, 1012110, 1012140, 1012499, 1232974, 1012700, 1012385, 1012320, 1012273, 1012007, 1232980, 1176103, 1012556, 1012016, 1012097, 1012712, 1176028, 1012080, 1012434, 1012322, 1012095, 1176032, 1012545, 1012346, 1012260, 1012553, 1012645, 1012505, 1012321, 1012665, 1012523, 1012676, 1232973, 1176047, 1012460, 1012249, 1012246, 1012303, 1012416, 1176050, 1012705, 1012388, 1012139, 1176019, 1012319, 1233016, 1176038, 1012149, 1012593, 1012114, 1233040, 1012096, 1232957, 1012709, 1176104, 1011977, 1012403, 1012257, 1012408, 1012240, 1012180, 1012603, 1012626, 1233029, 1012557, 1176113, 1012213, 1012261, 1012194, 1012210, 1232956, 1012293, 1012591, 1012636, 1012275, 1012292, 1012226, 1012071, 1012697, 1012336, 1012038, 1176083, 1011996, 1012598, 1012410, 1012448, 1012588, 1012339, 1233018, 1012056, 1012167, 1012037, 1012695, 1012036, 1232989, 1011933, 1012447, 1012118, 1012024, 1011976, 1012354, 1012483, 1012508, 1012236, 1012248, 1012504, 1012280, 1012300, 1012431, 1176071, 1012455, 1012185, 1012155, 1012022, 1012558, 1233020, 1012585, 1011932, 1233010, 1232988, 1012528, 1012442, 1012356, 1012050, 1012316, 1012533, 1233026, 1012465, 1012383, 1012648, 1012344, 1232964, 1011964, 1233039, 1012076, 1012294, 1012069, 1012618, 1012045, 1012611, 1176024]","{'VB': 0.06875891612620415, 'PRP': 0.06118084033320411, 'of': 0.057555483260562174, 'NN': 0.05512375570184881, 'sentiment': 0.05031549551438861, 'DT': 0.04072064190541048, 'IN': 0.04020519411857495, 'to': 0.03617662971644481, 'have': 0.0353012840720333, 'mean_sen_len': 0.03305518711591226}"
0.4925,0.3426112581869996,0.4147485080988917,0.4925,0.65651,0,0.97,0.028708133971291867,0.3333333333333333,0.015,"[1106385, 1117935, 1130364, 1120408, 1204777, 1105478]","[1012137, 1012491, 1012153, 1012206, 1012023, 1012547, 1012677, 1012273, 1012258, 1176019, 1012040, 1012444, 1012399, 1012324, 1233022, 1012276, 1012039, 1012587, 1012685, 1012155, 1233027, 1233019, 1011941, 1012322, 1012360, 1012638, 1012367, 1012534, 1233008, 1012409, 1012244, 1233036, 1232945, 1012672, 1012443, 1012353, 1012440, 1012005, 1012597, 1012614, 1012624, 1012174, 1176062, 1012537, 1012343, 1012687, 1012674, 1012542, 1012209, 1012501, 1012471, 1012255, 1176070, 1012241, 1176087, 1176092, 1176064, 1176093, 1012203, 1012688, 1012675, 1012361, 1012172, 1012414, 1012042, 1012148, 1012652, 1011933, 1012002, 1012214, 1012096, 1012003, 1012050, 1012692, 1012415, 1012568, 1012077, 1012406, 1176056, 1012232, 1011984, 1233014, 1012227, 1012210, 1012705, 1232987, 1012580, 1012067, 1012219, 1012075, 1012661, 1012557, 1176033, 1012171, 1012015, 1012673, 1011945, 1233013, 1012397, 1012054, 1012250, 1012143, 1012458, 1012028, 1012601, 1012577, 1011998, 1011993, 1012261, 1012372, 1012428, 1012441, 1176075, 1012249, 1011954, 1012494, 1176044, 1012045, 1012212, 1176112, 1012483, 1011946, 1012359, 1176031, 1012139, 1012338, 1012541, 1012689, 1012711, 1012384, 1012595, 1012274, 1232961, 1233015, 1012221, 1012078, 1012512, 1176060, 1012234, 1176105, 1012237, 1012127, 1012379, 1232946, 1233030, 1012538, 1012660, 1012518, 1012177, 1012551, 1012480, 1012145, 1012671, 1012400, 1012579, 1012392, 1233006, 1232952, 1232962, 1176101, 1012465, 1012530, 1012014, 1012123, 1233041, 1012712, 1012606, 1232978, 1012567, 1012245, 1012330, 1012292, 1012265, 1233007, 1012181, 1012546, 1012403, 1012103, 1011979, 1012110, 1011973, 1012079, 1012485, 1176114, 1012051, 1012066, 1012605, 1012018, 1012314, 1012268, 1012612, 1176028, 1012504, 1012357, 1012639, 1012126, 1012225]","{'PRP': 0.0793112996100538, 'sentiment': 0.06540244282690873, 'of': 0.06059815027337399, 'VB': 0.05019955556461341, 'NN': 0.048654322472296466, 'to': 0.039814007833144725, 'have': 0.03847940945459098, 'NNS': 0.03325911794013227, 'IN': 0.0318074015369535, 'i': 0.031731644200070915}"
0.4975,0.34084853453576547,0.44936708860759494,0.4975,0.66218,0,0.985,0.01951219512195122,0.4,0.01,"[1203471, 1113726, 1119927]","[1232977, 1012672, 1012684, 1012667, 1176097, 1012055, 1012199, 1012091, 1012246, 1012314, 1176045, 1011975, 1012670, 1012448, 1012204, 1012357, 1012406, 1011976, 1012661, 1012216, 1012202, 1012237, 1012527, 1011944, 1012436, 1012643, 1012631, 1012058, 1176068, 1012494, 1012118, 1012119, 1012483, 1012626, 1012259, 1012261, 1012633, 1012418, 1012562, 1176022, 1012567, 1011954, 1233042, 1012103, 1012278, 1012249, 1232972, 1012044, 1012368, 1012152, 1012235, 1176020, 1232951, 1012184, 1012645, 1012360, 1012347, 1012046, 1012600, 1176042, 1012632, 1012698, 1012570, 1012013, 1012683, 1012519, 1012523, 1011946, 1012294, 1012603, 1012155, 1012174, 1012561, 1012300, 1012370, 1012426, 1012143, 1012678, 1176112, 1012151, 1176107, 1012601, 1012706, 1012113, 1176028, 1012367, 1012090, 1012630, 1012127, 1233001, 1176050, 1012061, 1233015, 1012392, 1012121, 1233035, 1012007, 1012718, 1232968, 1011983, 1012466, 1012674, 1011939, 1012343, 1012358, 1012518, 1012180, 1012353, 1012239, 1011933, 1012098, 1012071, 1012167, 1012033, 1012502, 1012198, 1012606, 1012490, 1012339, 1176019, 1233038, 1012694, 1012215, 1012138, 1012128, 1012297, 1012679, 1012200, 1012666, 1012386, 1012310, 1012563, 1176082, 1012254, 1012558, 1012616, 1011931, 1011958, 1012693, 1011960, 1012133, 1012467, 1012583, 1233020, 1012575, 1012292, 1011995, 1012388, 1012205, 1012528, 1012066, 1012500, 1012566, 1012344, 1012106, 1012275, 1012085, 1176070, 1011961, 1012221, 1012327, 1232957, 1012008, 1012122, 1012715, 1012211, 1011968, 1176105, 1012077, 1012662, 1176071, 1012059, 1176024, 1012695, 1012158, 1232986, 1012707, 1012532, 1012512, 1176080, 1012332, 1012065, 1012641, 1176078, 1232994, 1012537, 1012503, 1012137, 1012680, 1012637, 1011991, 1012462, 1012443, 1012517, 1012100, 1012658, 1012361, 1012095]","{'PRP': 0.0680432306424457, 'of': 0.0651206003675301, 'NN': 0.060828827310845365, 'VB': 0.060037762853046205, 'sentiment': 0.05570345345556527, 'IN': 0.05215323604267537, 'the': 0.0384690428117436, 'DT': 0.03818999645860708, 'have': 0.03341348204402848, 'i': 0.029701620081117496}"
0.4975,0.3450155192218394,0.4636495819701926,0.4975,0.66105,0,0.98,0.028985507246376812,0.42857142857142855,0.015,"[1104875, 1131610, 1121894, 1107266]","[1012391, 1012366, 1232985, 1176029, 1012173, 1012689, 1012589, 1012002, 1176041, 1176088, 1012103, 1232972, 1012475, 1011950, 1012080, 1012588, 1012416, 1012444, 1012102, 1012072, 1012171, 1012258, 1233037, 1012070, 1012337, 1012683, 1012097, 1012653, 1011953, 1012343, 1012155, 1176051, 1012469, 1012257, 1012336, 1012450, 1012150, 1012485, 1012350, 1011964, 1233029, 1176043, 1012471, 1012128, 1012100, 1012420, 1012114, 1012708, 1012459, 1012175, 1012645, 1012379, 1012512, 1012011, 1012552, 1011996, 1011993, 1012466, 1012429, 1012104, 1012362, 1012212, 1012430, 1012678, 1012506, 1012376, 1012107, 1232988, 1011977, 1012167, 1012713, 1012627, 1012384, 1012196, 1232981, 1012090, 1012395, 1232959, 1176112, 1012446, 1011947, 1012647, 1012625, 1012620, 1012355, 1012256, 1012153, 1012329, 1011941, 1012517, 1232968, 1012595, 1012181, 1012346, 1012048, 1012318, 1012599, 1012243, 1012160, 1012629, 1012075, 1012519, 1012018, 1012093, 1012417, 1012185, 1012169, 1011944, 1012260, 1011939, 1012478, 1176044, 1176092, 1012675, 1012660, 1012600, 1012605, 1012630, 1012594, 1176048, 1176116, 1233014, 1176066, 1012409, 1012267, 1012564, 1176106, 1012228, 1012546, 1012323, 1012684, 1176056, 1012407, 1176107, 1012331, 1012596, 1012521, 1012198, 1012067, 1012225, 1012669, 1012644, 1012009, 1011948, 1232947, 1012037, 1012398, 1176049, 1011943, 1012413, 1012533, 1232945, 1012654, 1011998, 1012250, 1012584, 1012389, 1012347, 1012324, 1012248, 1176058, 1012598, 1011984, 1012662, 1012314, 1012204, 1012562, 1012170, 1012292, 1012108, 1176019, 1012449, 1176098, 1011975, 1012230, 1012183, 1176101, 1012441, 1233011, 1233040, 1012697, 1012249, 1012203, 1176113, 1012005, 1012551, 1232952, 1012686, 1233004, 1011958, 1012117, 1176108, 1012691, 1012556, 1012425, 1232973, 1012064]","{'of': 0.07778950271293517, 'VB': 0.06298477720268843, 'PRP': 0.06126736806779669, 'sentiment': 0.05593317329489769, 'NN': 0.04591075239542454, 'IN': 0.04158112342593392, 'DT': 0.03897165401942012, 'to': 0.036776951469114895, 'RB': 0.029667058190188406, 'which': 0.02909812160796314}"
0.4875,0.32773109243697474,0.2468354430379747,0.4875,0.65546,0,0.975,0.0,0.0,0.0,"[1115823, 1105478, 1106487, 1116804, 1111630]","[1012451, 1012302, 1012049, 1012277, 1012250, 1012002, 1233034, 1233029, 1012065, 1012135, 1012434, 1012408, 1012155, 1012689, 1012337, 1012363, 1012515, 1012019, 1012284, 1012378, 1012276, 1012106, 1233026, 1012108, 1176097, 1012616, 1011973, 1232981, 1012457, 1232983, 1011970, 1012298, 1012242, 1012695, 1233040, 1012262, 1012582, 1012214, 1012370, 1012585, 1012574, 1012115, 1233027, 1012110, 1012212, 1012113, 1012034, 1012560, 1012453, 1176048, 1012589, 1011978, 1176063, 1012274, 1012699, 1012131, 1012502, 1012025, 1012659, 1012551, 1012090, 1232944, 1012412, 1012043, 1233006, 1012287, 1232974, 1176078, 1012222, 1012055, 1012546, 1012066, 1012496, 1012545, 1012715, 1012152, 1012610, 1011938, 1233042, 1012494, 1232975, 1012351, 1012031, 1012410, 1012185, 1012685, 1012584, 1012232, 1012708, 1012011, 1012312, 1176104, 1012719, 1012094, 1011935, 1176080, 1012369, 1012289, 1012455, 1233013, 1012421, 1012192, 1176025, 1011994, 1012422, 1012186, 1012524, 1012086, 1012507, 1012425, 1012241, 1012209, 1012477, 1012463, 1176109, 1012015, 1232946, 1232980, 1012677, 1233016, 1011940, 1012304, 1012309, 1176059, 1012627, 1176030, 1012199, 1012120, 1011992, 1233033, 1012382, 1012092, 1011961, 1012275, 1176057, 1012692, 1012273, 1176050, 1233019, 1233002, 1012666, 1012319, 1012326, 1011972, 1012598, 1012118, 1012591, 1176098, 1012003, 1012587, 1012252, 1012220, 1012154, 1012024, 1012227, 1012508, 1012288, 1012520, 1012129, 1012670, 1012163, 1012261, 1012484, 1176088, 1012383, 1012576, 1012091, 1176102, 1232986, 1232992, 1012529, 1012428, 1012026, 1012613, 1176064, 1012362, 1012450, 1176107, 1012439, 1176115, 1012376, 1012623, 1176043, 1012226, 1012660, 1012399, 1233004, 1232949, 1012625, 1012184, 1012557, 1012712, 1232964, 1233030, 1011969, 1232972, 1012270, 1011948, 1012352, 1012647]","{'PRP': 0.07983143540967613, 'of': 0.06266580410600711, 'sentiment': 0.05784680090798004, 'NN': 0.051567851024689526, 'VB': 0.046355787935629354, 'have': 0.04497837905337128, 'to': 0.037887568647025416, 'DT': 0.035219876688812726, 'IN': 0.033711458138812635, 'the': 0.029129200000954446}"
0.49,0.3331371972148671,0.33079526226734346,0.49,0.65657,0,0.975,0.009708737864077669,0.16666666666666666,0.005,"[1125458, 1124044, 840402, 1124258, 1113077]","[1012434, 1233011, 1012105, 1176039, 1012194, 1233039, 1012493, 1012399, 1012677, 1012019, 1012141, 1012356, 1012315, 1012703, 1012485, 1232992, 1012254, 1012594, 1012593, 1012192, 1012467, 1012685, 1012195, 1176067, 1232988, 1012396, 1012017, 1011959, 1011932, 1233014, 1012011, 1012177, 1233007, 1012428, 1012093, 1012440, 1233038, 1012279, 1012713, 1011961, 1012501, 1012262, 1012573, 1012427, 1012363, 1011958, 1012191, 1012465, 1176083, 1012256, 1176081, 1012269, 1012123, 1012100, 1012481, 1176091, 1012167, 1012372, 1012210, 1176065, 1232972, 1012664, 1012318, 1012370, 1012015, 1012636, 1012334, 1012353, 1012643, 1176114, 1012586, 1012402, 1012155, 1012526, 1012548, 1012349, 1012566, 1012310, 1233002, 1012176, 1012519, 1176085, 1012218, 1012645, 1012701, 1012146, 1012716, 1012383, 1012649, 1012539, 1233013, 1012395, 1012361, 1012442, 1233036, 1012673, 1176100, 1012110, 1176097, 1012656, 1012308, 1176045, 1012549, 1232964, 1012109, 1233025, 1012587, 1012577, 1176102, 1012694, 1012046, 1012338, 1012479, 1011997, 1012454, 1011971, 1012329, 1012362, 1012692, 1012606, 1012342, 1176044, 1012488, 1011930, 1176107, 1012322, 1012096, 1012622, 1012550, 1012524, 1012391, 1012245, 1176029, 1012494, 1011952, 1012103, 1176034, 1176059, 1012158, 1012509, 1012340, 1233026, 1012471, 1176105, 1176040, 1012401, 1012087, 1176032, 1012704, 1232959, 1011976, 1012483, 1012529, 1176017, 1011956, 1012699, 1012537, 1012588, 1012425, 1012695, 1012546, 1012676, 1012528, 1012414, 1012635, 1012252, 1012618, 1176019, 1232968, 1012171, 1011965, 1012413, 1012535, 1012378, 1012682, 1012294, 1012174, 1012057, 1232956, 1012211, 1012385, 1011975, 1012137, 1012415, 1012582, 1011981, 1233003, 1012603, 1232969, 1012403, 1012476, 1233015, 1012295, 1176086, 1012300, 1012232, 1012290, 1012665, 1011962]","{'of': 0.07184658994129958, 'sentiment': 0.06225928488268561, 'PRP': 0.06141035373956982, 'NN': 0.05589811184787887, 'VB': 0.05336747988753302, 'have': 0.04182102556968677, 'DT': 0.03796515499715644, 'IN': 0.03259780992377035, 'NNS': 0.03073967228867014, 'mean_sen_len': 0.02861482676781225}"
0.495,0.3311036789297659,0.24874371859296482,0.495,0.66221,0,0.99,0.0,0.0,0.0,"[1111758, 1204873]","[1012092, 1012705, 1011969, 1011936, 1011952, 1012006, 1012522, 1012109, 1012352, 1012024, 1176039, 1012378, 1012174, 1232965, 1012256, 1012141, 1012583, 1012518, 1011996, 1011977, 1012565, 1012591, 1232956, 1012262, 1012574, 1012377, 1176019, 1012403, 1012281, 1012535, 1012438, 1233030, 1232991, 1012312, 1233037, 1012635, 1012071, 1232985, 1012241, 1012527, 1012046, 1012699, 1012663, 1012018, 1012543, 1012009, 1012051, 1012093, 1012219, 1176110, 1012319, 1012321, 1233031, 1176082, 1233007, 1012295, 1012529, 1012313, 1012130, 1176079, 1012022, 1232992, 1012525, 1012267, 1233036, 1012493, 1012515, 1232970, 1012303, 1176094, 1012504, 1012222, 1012653, 1012047, 1012272, 1176115, 1233025, 1012185, 1012231, 1176026, 1012111, 1176040, 1176107, 1012611, 1011994, 1012096, 1012108, 1012658, 1012455, 1012152, 1012282, 1012146, 1012336, 1232971, 1012412, 1176048, 1012554, 1233021, 1012284, 1176081, 1012296, 1012016, 1012068, 1011987, 1176029, 1012212, 1012057, 1232953, 1012630, 1012268, 1012517, 1012712, 1012509, 1176034, 1012595, 1011973, 1012472, 1012592, 1012495, 1012490, 1233024, 1176105, 1012164, 1012376, 1233004, 1012414, 1012470, 1233001, 1012322, 1012029, 1012646, 1012413, 1176037, 1012353, 1012401, 1011957, 1012299, 1012233, 1012188, 1012344, 1176061, 1176023, 1012416, 1012603, 1176111, 1012294, 1176116, 1012568, 1012274, 1176078, 1176047, 1012450, 1012066, 1012428, 1012277, 1012387, 1012659, 1232994, 1012200, 1012516, 1012506, 1012148, 1012307, 1012465, 1012636, 1012673, 1012005, 1176106, 1176083, 1012140, 1012461, 1012435, 1012532, 1012158, 1012340, 1012637, 1012622, 1012013, 1012477, 1012280, 1012569, 1011963, 1011948, 1012305, 1012510, 1176017, 1176045, 1011964, 1011983, 1012662, 1012456, 1012289, 1012011, 1012684, 1012564, 1012067, 1012710, 1012580, 1012587, 1012310]","{'NN': 0.0664894768004155, 'of': 0.0608738848402857, 'PRP': 0.0602573114513853, 'sentiment': 0.0545100844535964, 'VB': 0.04374311092643359, 'IN': 0.043625757943875326, 'to': 0.0419956173640903, 'DT': 0.041580899404738254, 'mean_sen_len': 0.038298782799189954, 'the': 0.037486096795029115}"
0.495,0.33967506783040763,0.41539763113367173,0.495,0.65993,0,0.98,0.019417475728155338,0.3333333333333333,0.01,"[1121174, 1133321, 1261526, 1261792]","[1012112, 1012198, 1012431, 1012542, 1012679, 1012281, 1012507, 1012600, 1012527, 1232984, 1011986, 1012468, 1012550, 1176083, 1012587, 1012232, 1011938, 1012629, 1012045, 1012419, 1012690, 1012311, 1012417, 1012038, 1011942, 1012062, 1232981, 1012586, 1012467, 1012436, 1176102, 1233035, 1232954, 1012538, 1012508, 1012044, 1176074, 1012084, 1012361, 1012637, 1233007, 1232962, 1012526, 1012057, 1012604, 1012709, 1012684, 1012099, 1233017, 1012368, 1012404, 1012533, 1012576, 1011962, 1012223, 1011995, 1012325, 1011956, 1012378, 1012267, 1012349, 1176020, 1012086, 1232961, 1012206, 1012689, 1012337, 1012260, 1012715, 1012052, 1176022, 1012663, 1012153, 1012318, 1012113, 1176036, 1012248, 1012275, 1012215, 1012014, 1176017, 1012158, 1012570, 1012224, 1012058, 1012380, 1012633, 1012617, 1012125, 1012626, 1012001, 1012420, 1012147, 1233019, 1012036, 1012701, 1012200, 1012681, 1012336, 1012449, 1012682, 1012602, 1012605, 1012381, 1232977, 1012157, 1012365, 1012612, 1176030, 1012554, 1012124, 1012525, 1012458, 1012561, 1232951, 1012642, 1012022, 1176070, 1012254, 1012386, 1176107, 1012635, 1011999, 1012039, 1012088, 1012132, 1012129, 1012247, 1012013, 1012262, 1232982, 1176068, 1176072, 1011959, 1176084, 1011968, 1012437, 1233033, 1011963, 1012432, 1176103, 1012594, 1012100, 1012219, 1012427, 1012056, 1233032, 1176098, 1012071, 1012502, 1012141, 1012279, 1233034, 1012366, 1012460, 1233001, 1012288, 1012106, 1012333, 1011996, 1232994, 1012233, 1012061, 1232949, 1012480, 1012595, 1012161, 1011997, 1012395, 1012334, 1011941, 1176055, 1233024, 1012261, 1011939, 1176073, 1012217, 1012199, 1011960, 1012426, 1012553, 1012610, 1012166, 1012345, 1012020, 1011992, 1012283, 1012609, 1012641, 1012497, 1012695, 1233008, 1012403, 1012483, 1012648, 1012712, 1012442, 1012108]","{'of': 0.07015665146491357, 'VB': 0.06058648209750337, 'sentiment': 0.06039147169023487, 'NN': 0.056848894381555735, 'PRP': 0.05581093272919621, 'to': 0.05141326078933735, 'DT': 0.04005000204595278, 'IN': 0.03786003452655869, 'RB': 0.03105708900968759, 'have': 0.028137662359379815}"
0.5025,0.34740725558516083,0.550632911392405,0.5025,0.66555,1,0.99,0.02926829268292683,0.6,0.015,"[1154863, 1127996]","[1012275, 1012056, 1012046, 1011937, 1012534, 1012156, 1012229, 1012123, 1012487, 1176081, 1012591, 1012225, 1012301, 1012358, 1012048, 1233000, 1176076, 1012682, 1011954, 1012199, 1012115, 1012151, 1012633, 1012557, 1233035, 1012616, 1232945, 1012003, 1012484, 1012471, 1232959, 1232972, 1011962, 1176049, 1012577, 1012367, 1012648, 1012680, 1012586, 1011964, 1176091, 1176018, 1233001, 1012270, 1012429, 1012253, 1012462, 1176045, 1012632, 1176088, 1176047, 1012045, 1012653, 1012689, 1011974, 1012610, 1232992, 1011950, 1012447, 1012686, 1011972, 1012171, 1012302, 1012117, 1233004, 1176106, 1012710, 1012326, 1011957, 1176036, 1012467, 1012650, 1012211, 1012195, 1012053, 1233029, 1176093, 1232981, 1012673, 1012133, 1012131, 1012387, 1176070, 1012472, 1176035, 1011982, 1012068, 1012039, 1012096, 1012570, 1176059, 1012667, 1012547, 1012261, 1012030, 1012715, 1012292, 1012392, 1011930, 1012590, 1012423, 1012141, 1012136, 1012630, 1012605, 1233012, 1012649, 1012044, 1176086, 1012449, 1012169, 1012519, 1012430, 1012622, 1012308, 1012697, 1012428, 1012121, 1012595, 1011999, 1012628, 1012635, 1012612, 1233026, 1012514, 1233002, 1012232, 1176094, 1176053, 1012340, 1012278, 1012235, 1012550, 1011935, 1012551, 1012535, 1232998, 1012561, 1176060, 1012574, 1012416, 1233007, 1012455, 1012338, 1012094, 1012545, 1011943, 1012495, 1012084, 1012090, 1012465, 1232985, 1012190, 1233006, 1012538, 1012587, 1012065, 1012218, 1176101, 1233005, 1011989, 1012091, 1012062, 1233015, 1233040, 1012441, 1012573, 1012040, 1012233, 1012087, 1012659, 1012158, 1012002, 1012708, 1012288, 1012032, 1012355, 1012452, 1012564, 1012609, 1012388, 1232965, 1012414, 1176104, 1012256, 1012258, 1012036, 1012491, 1012316, 1012366, 1232964, 1012216, 1012607, 1012425, 1176074, 1176021, 1012314]","{'of': 0.06876365059467547, 'sentiment': 0.06448584638010203, 'PRP': 0.06231067721426524, 'NN': 0.04668732500566613, 'VB': 0.04566885175242791, 'IN': 0.04428626950265672, 'the': 0.03772274628890604, 'DT': 0.03735489868959257, 'mean_sen_len': 0.03625672359902367, 'have': 0.03243194612179543}"
