accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.5075,0.37348439674021067,0.551948051948052,0.5075,0.66325,1,0.97,0.08372093023255814,0.6,0.045,"[1128634, 1109800, 1205906, 1107191, 1110825, 1123111]","[1234871, 1177974, 1027053, 1027692, 1027752, 1027732, 1027696, 1027144, 1027518, 1027359, 1027704, 1177920, 1027190, 1027305, 1027033, 1027360, 1027205, 1177941, 1027140, 1027387, 1177908, 1027626, 1027358, 1027339, 1027298, 1027332, 1027272, 1027374, 1027278, 1177984, 1177946, 1234851, 1027730, 1027791, 1027225, 1027794, 1177921, 1027117, 1027214, 1177947, 1027430, 1027324, 1234902, 1027238, 1027577, 1027049, 1027479, 1027502, 1027198, 1027757, 1027351, 1027787, 1177910, 1234828, 1027326, 1027367, 1027395, 1027638, 1027478, 1177978, 1027334, 1027333, 1027808, 1027292, 1027532, 1027523, 1177944, 1027653, 1027306, 1027761, 1234835, 1027119, 1027561, 1027058, 1027223, 1027403, 1234839, 1027404, 1027672, 1177962, 1027178, 1027597, 1027094, 1234825, 1027423, 1234837, 1027468, 1027344, 1177983, 1027738, 1177951, 1027763, 1027500, 1027734, 1027483, 1027774, 1027216, 1027125, 1027790, 1177958, 1027579, 1027744, 1027335, 1027232, 1027504, 1027726, 1027155, 1027260, 1027549, 1027679, 1027277, 1027755, 1027064, 1027179, 1027130, 1234855, 1027746, 1234856, 1177968, 1027594, 1027105, 1027658, 1027134, 1027320, 1027237, 1027496, 1027469, 1027624, 1027343, 1027699, 1027072, 1234858, 1234905, 1027316, 1027375, 1027194, 1027397, 1027593, 1027466, 1027204, 1234904, 1234912, 1177905, 1234892, 1027168, 1027398, 1027566, 1027321, 1027735, 1027070, 1027379, 1027627, 1027081, 1027262, 1027096, 1178001, 1234882, 1234826, 1027487, 1027737, 1027781, 1027271, 1027560, 1027120, 1027257, 1027608, 1177926, 1027207, 1027063, 1027380, 1234907, 1027104, 1027195, 1027588, 1027434, 1027325, 1027285, 1027637, 1027485, 1027677, 1027631, 1027054, 1027436, 1027713, 1027317, 1027377, 1027415, 1027297, 1027270, 1234899, 1027151]","{'PRP': 0.07174132339985928, 'of': 0.0657348980606135, 'sentiment': 0.05828358183490986, 'VB': 0.05480340446803532, 'NN': 0.04508518085399089, 'DT': 0.043079988631097556, 'have': 0.03885677139563646, 'IN': 0.03689984093878399, 'RB': 0.03674966693327521, 'the': 0.028301342398328228}"
0.5025,0.3555647309320833,0.5284171639670361,0.5025,0.66328,1,0.98,0.04784688995215311,0.5555555555555556,0.025,"[840398, 1204383, 1110834, 1131591]","[1027079, 1234906, 1027662, 1027131, 1027572, 1027158, 1027681, 1234840, 1027065, 1027401, 1027300, 1027627, 1027052, 1027495, 1027378, 1027103, 1027275, 1027202, 1027795, 1027245, 1027456, 1027263, 1027407, 1027094, 1234879, 1234894, 1234890, 1027047, 1027506, 1177919, 1027609, 1177969, 1027499, 1234875, 1027050, 1027696, 1234822, 1027588, 1027381, 1177907, 1027294, 1027724, 1027545, 1027693, 1027573, 1027259, 1027176, 1027636, 1027525, 1027252, 1027597, 1027372, 1234903, 1177982, 1177906, 1027429, 1027312, 1177987, 1027688, 1027032, 1027564, 1027642, 1177942, 1177945, 1027060, 1027414, 1027061, 1027497, 1234835, 1027639, 1027293, 1027668, 1027554, 1027190, 1234827, 1027100, 1234830, 1177909, 1234915, 1027141, 1027069, 1027160, 1027331, 1027735, 1027165, 1177935, 1234854, 1027133, 1027569, 1027615, 1027081, 1027181, 1027324, 1027280, 1234857, 1027727, 1027605, 1027194, 1027391, 1027687, 1027756, 1027711, 1027808, 1027040, 1027214, 1027159, 1027744, 1027604, 1027410, 1027368, 1027345, 1027523, 1027653, 1027323, 1027620, 1027374, 1027549, 1027665, 1027577, 1027389, 1027600, 1234853, 1234837, 1027260, 1027560, 1027488, 1027448, 1027773, 1027425, 1027730, 1234866, 1027320, 1027453, 1027498, 1027697, 1027205, 1027302, 1027775, 1027184, 1027677, 1027297, 1177957, 1027670, 1027039, 1027503, 1027806, 1027071, 1027110, 1027179, 1177956, 1234867, 1027267, 1027802, 1027502, 1027644, 1027579, 1177923, 1027400, 1027077, 1027651, 1027715, 1027692, 1027092, 1234909, 1027289, 1027714, 1027807, 1027558, 1027128, 1234904, 1027437, 1177921, 1027328, 1027325, 1027475, 1027404, 1027357, 1027274, 1027591, 1027223, 1234826, 1027356, 1027752, 1027686, 1027212, 1177992, 1234842, 1027392, 1027143, 1234856, 1027713, 1027129, 1027277, 1177920, 1027768]","{'PRP': 0.0732407225348645, 'of': 0.0712496070247732, 'sentiment': 0.059137730984833985, 'VB': 0.05096912697753732, 'NN': 0.04527351542749145, 'DT': 0.04283546452149845, 'have': 0.04239667238692515, 'IN': 0.040664741474471494, 'i': 0.033509664938504845, 'to': 0.03219434840291216}"
0.51,0.3592886796770292,0.6692047377326565,0.51,0.67003,1,0.995,0.04854368932038835,0.8333333333333334,0.025,[1129493],"[1027096, 1027709, 1027791, 1027158, 1027323, 1027429, 1027548, 1027130, 1027358, 1027080, 1177975, 1027809, 1234914, 1027755, 1177991, 1027413, 1027751, 1027034, 1027757, 1027219, 1234901, 1027741, 1177941, 1234897, 1027048, 1027051, 1027662, 1027267, 1027297, 1027351, 1027664, 1027124, 1027532, 1027300, 1027239, 1177977, 1027260, 1027135, 1027802, 1027678, 1177955, 1027729, 1027397, 1177984, 1027475, 1027064, 1027118, 1027365, 1027765, 1177934, 1027186, 1027229, 1027271, 1027103, 1027056, 1177926, 1027670, 1027625, 1234908, 1234888, 1027502, 1234883, 1027385, 1027551, 1027379, 1027637, 1027371, 1027082, 1027302, 1027754, 1177965, 1027658, 1177944, 1027145, 1027305, 1027070, 1027199, 1027518, 1027168, 1027125, 1234902, 1027053, 1027458, 1027583, 1027772, 1027553, 1234829, 1027564, 1027446, 1027328, 1027487, 1027290, 1027416, 1177988, 1027756, 1027227, 1027309, 1027209, 1027638, 1027550, 1027790, 1027384, 1027587, 1027205, 1027043, 1027420, 1177910, 1027596, 1027521, 1027396, 1027301, 1027374, 1027102, 1234882, 1027075, 1027223, 1027528, 1027491, 1027689, 1027357, 1027619, 1027468, 1027567, 1234887, 1027534, 1234871, 1027338, 1027588, 1027585, 1027178, 1027221, 1027788, 1027331, 1027769, 1027192, 1027536, 1234849, 1177954, 1234853, 1027425, 1177981, 1027763, 1234828, 1027119, 1177937, 1027796, 1027558, 1027157, 1234857, 1027408, 1177985, 1027414, 1027696, 1027524, 1027202, 1027251, 1027580, 1027195, 1027440, 1027303, 1027284, 1027181, 1027676, 1027040, 1027594, 1027577, 1234869, 1177940, 1027128, 1027469, 1027039, 1027544, 1027627, 1027589, 1027771, 1027783, 1234909, 1027582, 1234840, 1027068, 1027121, 1027076, 1027392, 1027647, 1027311, 1027622, 1027549, 1027085, 1027608, 1027108, 1234856, 1234875, 1027047, 1027163, 1027482]","{'PRP': 0.07430167900600665, 'sentiment': 0.060338471549447784, 'of': 0.05760944282203921, 'NN': 0.05159832056215206, 'VB': 0.051230960337913724, 'IN': 0.038558734030907565, 'i': 0.03615770253219867, 'DT': 0.03456481876739156, 'to': 0.03424201064585605, 'which': 0.033469885946157185}"
0.5,0.3377264147819464,0.5,0.5,0.66555,0,0.995,0.009900990099009901,0.5,0.005,[1127649],"[1027178, 1027667, 1027147, 1027054, 1027629, 1027704, 1177971, 1027478, 1027164, 1027482, 1027264, 1027751, 1027464, 1027128, 1177977, 1027624, 1027126, 1234892, 1027453, 1027706, 1027246, 1027119, 1027687, 1027452, 1027494, 1027096, 1027360, 1027268, 1027365, 1027434, 1027709, 1027275, 1177928, 1027717, 1027498, 1027280, 1027243, 1027534, 1027737, 1027102, 1234909, 1234881, 1027392, 1027053, 1027371, 1027058, 1027426, 1027402, 1177910, 1027502, 1027718, 1027684, 1027638, 1027702, 1027788, 1027208, 1234825, 1027778, 1027302, 1027435, 1027522, 1027319, 1027230, 1234824, 1027810, 1027808, 1027073, 1027580, 1027389, 1027233, 1027265, 1027557, 1027363, 1027473, 1027396, 1177951, 1027605, 1027125, 1027357, 1027227, 1027254, 1234901, 1177906, 1027281, 1027202, 1177920, 1027156, 1027800, 1027692, 1027469, 1234911, 1027707, 1027569, 1027183, 1027097, 1234836, 1027483, 1234837, 1027209, 1027697, 1027623, 1177985, 1027081, 1027374, 1234916, 1027385, 1027041, 1027092, 1027352, 1027161, 1177983, 1027578, 1027279, 1027530, 1027424, 1027422, 1234915, 1027799, 1027713, 1027443, 1027326, 1027234, 1177955, 1027448, 1027122, 1027637, 1234823, 1177967, 1177952, 1027109, 1027338, 1027350, 1027297, 1027215, 1027781, 1027784, 1027113, 1027741, 1027514, 1234860, 1027056, 1027193, 1027087, 1027132, 1027565, 1234862, 1027750, 1027380, 1027466, 1027348, 1027047, 1027479, 1027492, 1027148, 1027618, 1027055, 1027377, 1027084, 1027407, 1027613, 1234888, 1027480, 1177972, 1027105, 1027533, 1027550, 1027607, 1027140, 1027428, 1027610, 1027174, 1027631, 1027725, 1027110, 1027576, 1027353, 1027261, 1027060, 1234830, 1027340, 1027305, 1027318, 1177991, 1027172, 1027143, 1027415, 1027420, 1027524, 1234897, 1027574, 1027276, 1177917, 1234905, 1027293, 1027250, 1027600, 1177954, 1027237, 1234854]","{'PRP': 0.07705478099273542, 'of': 0.074536212095277, 'NN': 0.05493016118275963, 'sentiment': 0.044690173925820594, 'IN': 0.04463234862349677, 'VB': 0.03920671091368629, 'DT': 0.03758832912722088, 'the': 0.035517067519865414, 'mean_sen_len': 0.03473162528683883, 'NNS': 0.03408304440568063}"
0.5125,0.36851820367716714,0.6420858198351805,0.5125,0.67005,1,0.99,0.06698564593301436,0.7777777777777778,0.035,"[1128490, 1110882]","[1027523, 1027671, 1027701, 1027286, 1027316, 1027564, 1234878, 1027429, 1027489, 1027493, 1027662, 1027059, 1027272, 1027302, 1027467, 1234857, 1027717, 1027087, 1234892, 1027757, 1177977, 1234845, 1177949, 1027740, 1027132, 1027534, 1027579, 1027561, 1027145, 1027389, 1027068, 1027392, 1177952, 1234858, 1027713, 1027678, 1027411, 1027181, 1027036, 1177956, 1234897, 1027057, 1027692, 1177943, 1027224, 1027503, 1027419, 1027401, 1027247, 1027202, 1177991, 1027646, 1027444, 1027345, 1234835, 1027073, 1027703, 1027344, 1027279, 1027630, 1027125, 1027282, 1027506, 1027631, 1027513, 1234884, 1027324, 1234862, 1234880, 1027245, 1027173, 1177993, 1234843, 1027271, 1027121, 1234839, 1027160, 1234836, 1027321, 1027687, 1177981, 1027746, 1027128, 1027174, 1027090, 1177919, 1027107, 1027528, 1027458, 1027185, 1027510, 1027700, 1027322, 1027769, 1027721, 1027788, 1027117, 1027651, 1234905, 1027515, 1027099, 1027037, 1027600, 1027563, 1027060, 1027386, 1027696, 1027268, 1027388, 1027435, 1027609, 1177965, 1027237, 1027530, 1027602, 1027343, 1027804, 1027397, 1027586, 1027748, 1177970, 1027381, 1234852, 1027547, 1234882, 1027315, 1234913, 1027148, 1027711, 1027394, 1027420, 1027071, 1027465, 1177963, 1027583, 1027674, 1234902, 1027044, 1027406, 1027803, 1234844, 1027252, 1027277, 1027255, 1027084, 1234903, 1027565, 1177984, 1027342, 1027800, 1027720, 1027552, 1027799, 1234869, 1234851, 1027191, 1177960, 1027363, 1177936, 1027539, 1027375, 1027172, 1027638, 1027425, 1027187, 1027198, 1027331, 1027798, 1027064, 1027292, 1027525, 1027698, 1027288, 1027774, 1027454, 1027669, 1027688, 1027807, 1027423, 1027251, 1234891, 1027337, 1027477, 1027797, 1027753, 1027188, 1027654, 1027796, 1177924, 1177922, 1234837, 1027151, 1027495]","{'PRP': 0.06728748467807046, 'sentiment': 0.0617484494294645, 'of': 0.05972391246025861, 'VB': 0.05954325956639279, 'IN': 0.04367410441406869, 'DT': 0.04022860610596892, 'NN': 0.03882131496439889, 'to': 0.03496664413757582, 'which': 0.033878737436611975, 'have': 0.03284321582144774}"
0.5075,0.3539659766345562,0.6518987341772151,0.5075,0.66891,1,0.995,0.03902439024390244,0.8,0.02,[1129685],"[1027562, 1027489, 1027714, 1027087, 1027529, 1027210, 1027033, 1027265, 1027503, 1177959, 1177993, 1027309, 1027522, 1027408, 1027548, 1027206, 1027035, 1027567, 1177915, 1027636, 1027550, 1027430, 1027400, 1027121, 1027618, 1027454, 1027668, 1027504, 1177942, 1027428, 1027196, 1027162, 1027809, 1027686, 1027798, 1027183, 1027778, 1027677, 1027593, 1027759, 1027549, 1027488, 1177932, 1027719, 1027078, 1027664, 1027533, 1027199, 1027151, 1027417, 1027067, 1027645, 1027364, 1027437, 1027203, 1177960, 1177967, 1027620, 1234837, 1027783, 1027498, 1027494, 1027453, 1027209, 1027767, 1177943, 1027166, 1027273, 1027291, 1027271, 1027054, 1027451, 1027223, 1027346, 1027326, 1027079, 1027723, 1177936, 1027803, 1027786, 1027108, 1027052, 1027303, 1027515, 1027687, 1027362, 1027181, 1027287, 1234826, 1177950, 1027185, 1027280, 1027220, 1234843, 1177946, 1027307, 1027438, 1027367, 1027569, 1027672, 1027406, 1027703, 1027609, 1027289, 1177972, 1027374, 1027462, 1027484, 1027096, 1027511, 1027690, 1027310, 1027262, 1027323, 1027463, 1027652, 1177995, 1027288, 1234888, 1027371, 1027736, 1027321, 1027419, 1027545, 1027344, 1027049, 1027670, 1027335, 1027149, 1027725, 1234901, 1027740, 1027084, 1177935, 1027765, 1027756, 1027080, 1027805, 1234906, 1027047, 1027105, 1027395, 1234911, 1027547, 1234889, 1027091, 1027312, 1027141, 1027697, 1177973, 1027247, 1027758, 1027795, 1177976, 1027378, 1027222, 1027094, 1234853, 1027616, 1027752, 1027039, 1027277, 1027704, 1234861, 1234859, 1234874, 1027604, 1234887, 1234875, 1027082, 1027103, 1027603, 1027742, 1027046, 1234834, 1027264, 1027755, 1234907, 1027402, 1027143, 1027363, 1027381, 1177904, 1027542, 1027316, 1027598, 1234870, 1027110, 1234847, 1027713, 1027359, 1027754, 1027680, 1027480, 1027790, 1027090]","{'PRP': 0.08335833705313427, 'of': 0.06437821989757024, 'NN': 0.06036033179850785, 'sentiment': 0.056159231418924406, 'VB': 0.04350813889833433, 'IN': 0.04313656126569742, 'RB': 0.03587856860960758, 'DT': 0.032477315156011634, 'i': 0.03142140917760071, 'the': 0.030935854459077147}"
0.5,0.3420186866692985,0.5,0.5,0.66443,0,0.99,0.0196078431372549,0.5,0.01,"[1119599, 1128490]","[1027787, 1027587, 1177923, 1027177, 1027262, 1027376, 1027765, 1177947, 1027083, 1177982, 1234845, 1027530, 1027110, 1027620, 1027660, 1027204, 1027710, 1027708, 1027749, 1027499, 1234873, 1027098, 1234898, 1234915, 1027724, 1177939, 1177930, 1177941, 1027323, 1234831, 1027343, 1177997, 1027737, 1027463, 1234844, 1234911, 1234897, 1027387, 1177999, 1027692, 1027125, 1234830, 1027132, 1027312, 1027193, 1027233, 1027680, 1177973, 1027090, 1027701, 1234867, 1027042, 1177952, 1027268, 1027400, 1027676, 1027368, 1027685, 1234828, 1027560, 1234884, 1027378, 1027733, 1027258, 1027427, 1234907, 1027202, 1027035, 1027278, 1027785, 1027492, 1177994, 1027397, 1027301, 1234899, 1027694, 1234888, 1027076, 1177922, 1027327, 1027448, 1027131, 1177903, 1027523, 1027151, 1027071, 1027541, 1027607, 1027585, 1027398, 1027228, 1177950, 1027671, 1027669, 1027209, 1027468, 1234900, 1177945, 1027782, 1234882, 1027144, 1027059, 1177909, 1027143, 1027438, 1027688, 1027280, 1027207, 1027381, 1027559, 1027615, 1234918, 1027744, 1027550, 1027682, 1177971, 1027037, 1027088, 1234836, 1027313, 1027626, 1027734, 1027650, 1177960, 1027254, 1027709, 1177976, 1234858, 1234874, 1027307, 1027140, 1027051, 1027568, 1027727, 1027293, 1177914, 1027061, 1027809, 1027647, 1027218, 1234908, 1234827, 1027743, 1027484, 1027181, 1027677, 1027411, 1177989, 1177917, 1234840, 1234885, 1027514, 1027107, 1027689, 1234851, 1234910, 1027429, 1027260, 1027316, 1177944, 1027148, 1027521, 1027756, 1027122, 1027273, 1027490, 1027389, 1027806, 1027276, 1027413, 1234903, 1234863, 1027238, 1027799, 1027221, 1234871, 1027742, 1027477, 1177974, 1027674, 1027217, 1027651, 1027460, 1027338, 1177919, 1027226, 1027200, 1027464, 1027299, 1027566, 1027359, 1027355, 1027693, 1027613, 1027256, 1027790, 1027417, 1027686]","{'PRP': 0.08698188787361583, 'of': 0.06321191226690202, 'sentiment': 0.06208313113604595, 'NN': 0.05535203174094212, 'VB': 0.054907901804370496, 'have': 0.038600805406415424, 'IN': 0.03857308862409864, 'NNS': 0.03409748601897883, 'i': 0.03222751445674379, 'DT': 0.02870345528482856}"
0.495,0.3438149688149688,0.4362244897959184,0.495,0.65878,0,0.975,0.028846153846153848,0.375,0.015,"[1262519, 1123539, 1261189, 1114942, 1126204]","[1177962, 1027416, 1027605, 1027679, 1177922, 1234908, 1027158, 1027477, 1027051, 1234824, 1027739, 1234897, 1027278, 1027600, 1177925, 1027743, 1177943, 1027036, 1027606, 1027032, 1027406, 1027480, 1027701, 1027786, 1027205, 1177936, 1027503, 1027446, 1027541, 1027733, 1027640, 1027402, 1027116, 1027663, 1027502, 1234909, 1027034, 1027764, 1027105, 1177903, 1027575, 1027194, 1027458, 1234887, 1234833, 1234864, 1027598, 1027203, 1027214, 1027393, 1027656, 1027584, 1027468, 1027475, 1027472, 1027624, 1027550, 1027399, 1027544, 1027677, 1027752, 1027369, 1027042, 1027160, 1027251, 1027053, 1027415, 1027183, 1177913, 1027102, 1027111, 1027638, 1027407, 1027093, 1027056, 1234840, 1027732, 1178000, 1027382, 1027758, 1027599, 1027236, 1027512, 1234901, 1027208, 1027448, 1027258, 1234881, 1027432, 1234844, 1027486, 1027576, 1027334, 1027343, 1027738, 1027613, 1027298, 1027551, 1027540, 1027450, 1027409, 1177993, 1027148, 1027223, 1027562, 1177923, 1027776, 1027471, 1027150, 1027807, 1027202, 1027367, 1027445, 1027134, 1027345, 1027180, 1027222, 1027628, 1027478, 1177966, 1027378, 1027525, 1027315, 1177952, 1027641, 1027221, 1234918, 1027460, 1027288, 1027763, 1027645, 1027773, 1027570, 1027726, 1234836, 1027307, 1027190, 1027774, 1027057, 1027615, 1027226, 1027704, 1027361, 1027103, 1027682, 1027073, 1027317, 1027639, 1027141, 1027281, 1027061, 1027777, 1027127, 1027037, 1027528, 1027289, 1027125, 1027387, 1027438, 1177955, 1027038, 1177999, 1234915, 1234896, 1177940, 1027717, 1027077, 1027591, 1027261, 1027262, 1027371, 1027041, 1027240, 1027753, 1027588, 1234873, 1234892, 1234854, 1027243, 1027380, 1234862, 1027422, 1027201, 1027583, 1027232, 1027706, 1177927, 1177933, 1027754, 1027459, 1027059, 1234837, 1027084, 1234825, 1027060, 1027110, 1234867]","{'PRP': 0.08178827932823644, 'of': 0.0672693500042218, 'NN': 0.05983615034541159, 'VB': 0.057055414580704476, 'sentiment': 0.04926511909560664, 'IN': 0.046557294355368296, 'the': 0.0358328901572918, 'have': 0.03377874965041347, 'DT': 0.03359034759948758, 'NNS': 0.029899101836852248}"
0.4925,0.3618308851845739,0.45855781185246586,0.4925,0.6506,0,0.945,0.0730593607305936,0.42105263157894735,0.04,"[1204265, 1113698, 1116865, 1134009, 1127928, 1116286, 1115939, 1126779, 1111801, 840524, 840789]","[1027465, 1027508, 1027434, 1027351, 1027087, 1027791, 1027458, 1027495, 1027169, 1177981, 1027299, 1234866, 1027661, 1027102, 1027195, 1027062, 1177995, 1027175, 1027260, 1027426, 1027080, 1027388, 1027423, 1027349, 1027792, 1027765, 1027089, 1027457, 1027035, 1234893, 1027489, 1027216, 1027658, 1027037, 1027435, 1027407, 1234847, 1027174, 1027370, 1234839, 1234871, 1027788, 1027403, 1027197, 1027422, 1027360, 1177952, 1027600, 1027163, 1027108, 1027251, 1027686, 1027038, 1234875, 1027743, 1027275, 1177985, 1027799, 1027536, 1027193, 1027311, 1027722, 1027797, 1027092, 1027066, 1177998, 1027569, 1027318, 1177912, 1027381, 1027107, 1027550, 1027804, 1027182, 1234862, 1027613, 1027586, 1027391, 1027449, 1027554, 1027212, 1027498, 1027131, 1027277, 1027614, 1027114, 1027362, 1027681, 1027732, 1027150, 1027399, 1234887, 1027261, 1027328, 1027727, 1027438, 1027610, 1027548, 1177928, 1027264, 1027217, 1027189, 1027348, 1234899, 1027753, 1027656, 1027394, 1027256, 1234915, 1027380, 1027386, 1027285, 1234900, 1027794, 1027430, 1027706, 1234906, 1027208, 1027269, 1177936, 1027252, 1027385, 1027634, 1027230, 1027636, 1027493, 1027048, 1177925, 1027085, 1027477, 1027497, 1027626, 1027723, 1027648, 1027432, 1234852, 1027322, 1027567, 1027331, 1027552, 1027529, 1027077, 1027694, 1027097, 1027451, 1027344, 1027405, 1027708, 1234883, 1027568, 1027086, 1027159, 1234830, 1027325, 1027589, 1027808, 1177966, 1027590, 1027153, 1027439, 1027632, 1027125, 1027452, 1027724, 1027227, 1027355, 1027446, 1027160, 1027375, 1234861, 1027757, 1234853, 1027332, 1027051, 1027367, 1027553, 1177954, 1027698, 1027745, 1027671, 1234846, 1027144, 1178001, 1234823, 1177992, 1027729, 1234901, 1027523, 1027167, 1027749, 1027406, 1027295]","{'PRP': 0.08158003984882907, 'of': 0.0649133989300247, 'VB': 0.05563083007893285, 'sentiment': 0.04850501467239227, 'NN': 0.046457293602633516, 'DT': 0.04216080706184611, 'to': 0.04168412416578591, 'IN': 0.0381675718008395, 'the': 0.03687473971419239, 'RB': 0.030706235295244265}"
0.505,0.360774818401937,0.5512820512820512,0.505,0.66441,1,0.98,0.05714285714285714,0.6,0.03,"[840398, 1117674, 1132998, 1106114]","[1027529, 1234909, 1234829, 1027061, 1027307, 1027553, 1027342, 1027041, 1027568, 1177919, 1027113, 1177947, 1027187, 1027291, 1177951, 1234875, 1027792, 1027036, 1027174, 1027521, 1027469, 1027681, 1027716, 1027444, 1027597, 1027236, 1027627, 1027209, 1177962, 1027146, 1027090, 1027694, 1027645, 1027078, 1027103, 1027676, 1027305, 1027215, 1027199, 1027339, 1234905, 1234869, 1027225, 1177977, 1027505, 1027786, 1027641, 1027596, 1027278, 1027057, 1027143, 1027115, 1027695, 1027131, 1177973, 1177928, 1177913, 1027275, 1177912, 1027216, 1027163, 1027462, 1234911, 1027659, 1027058, 1027128, 1027547, 1027099, 1027591, 1027440, 1027211, 1027649, 1027584, 1027144, 1234846, 1027767, 1177949, 1027160, 1234872, 1027346, 1027135, 1027375, 1027241, 1027607, 1027188, 1027666, 1027157, 1234893, 1027604, 1027219, 1027401, 1027435, 1027208, 1027436, 1027054, 1234876, 1027749, 1027593, 1234887, 1027711, 1027456, 1027523, 1177917, 1027572, 1177904, 1027764, 1027354, 1027620, 1177920, 1027237, 1027739, 1234879, 1027564, 1027412, 1027274, 1027364, 1027527, 1234850, 1027459, 1027600, 1027167, 1027656, 1027289, 1027047, 1027779, 1177932, 1027756, 1027502, 1027751, 1234907, 1027598, 1027218, 1027680, 1234835, 1027461, 1027190, 1234895, 1177910, 1027244, 1027228, 1027752, 1027670, 1234847, 1027265, 1027277, 1027255, 1027528, 1027073, 1027330, 1027438, 1027736, 1027269, 1027298, 1177989, 1027611, 1027204, 1177986, 1027555, 1177969, 1177957, 1027672, 1234870, 1027575, 1027510, 1027243, 1027653, 1177930, 1027430, 1027381, 1177958, 1177927, 1027606, 1027336, 1027738, 1027472, 1027417, 1177983, 1178001, 1177997, 1027744, 1027685, 1027626, 1027140, 1027796, 1027532, 1027777, 1027533, 1027755, 1027318, 1234884, 1027084, 1027518, 1027588, 1027362]","{'PRP': 0.07805118362070894, 'of': 0.07108407211014456, 'sentiment': 0.07059624484042361, 'VB': 0.05998593620337088, 'NN': 0.04190013204991303, 'IN': 0.03956431822752226, 'to': 0.03638438846341255, 'have': 0.034137968393869504, 'DT': 0.03398873497716267, 'which': 0.029987160183976635}"
