accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.9343434343434344,0.9342074994248909,0.937962962962963,0.9343434343434344,0.9372,1,0.9797979797979798,0.9312169312169312,0.9777777777777777,0.8888888888888888,"[1197848, 1198476, 838698, 838489]","[1228987, 980020, 980319, 980298, 979932, 980164, 979843, 980213, 1172082, 980074, 980006, 979862, 980557, 979892, 1172100, 980343, 980046, 979778, 1172039, 979858, 979871, 980485]","{'TTR': 0.18284599664215972, 'VBP': 0.05712703591827915, 'have': 0.042835325572446965, 'VBZ': 0.03819772012701086, 'do': 0.03156657303895957, 'of': 0.02637660333336825, 'not': 0.025877192855814725, 'is': 0.02527378173294249, 'what': 0.022587595344284478, 'VBN': 0.022215281511990016}"
0.9494949494949495,0.9493903841729928,0.9532407407407408,0.9494949494949495,0.95169,1,0.9949494949494949,0.9470899470899471,0.9944444444444445,0.9040404040404041,[1199832],"[980015, 980461, 980429, 980055, 980481, 980492, 979835, 980516, 980322, 980114, 1172100, 980271, 979884, 980552, 980478, 980319, 980233, 979860, 980290]","{'TTR': 0.20705519345537568, 'VBP': 0.04966063773848751, 'have': 0.04123295895207411, 'do': 0.037374107669178945, 'not': 0.030223491443776018, 'you': 0.023884573210516, 'is': 0.02302080713877995, 'that': 0.02121448406354845, 'could': 0.020512295057441437, 'what': 0.019521063857839655}"
0.952020202020202,0.9519512615667568,0.9546294158392981,0.952020202020202,0.95377,1,0.98989898989899,0.9501312335958005,0.9890710382513661,0.9141414141414141,"[1255483, 1198665]","[980164, 980055, 1229034, 1172054, 979804, 980230, 980473, 1229029, 980535, 980335, 979777, 1172100, 980114, 980006, 980318, 979850, 979889]","{'TTR': 0.2031480630040023, 'VBP': 0.04922642008332108, 'have': 0.04448318861426213, 'VBZ': 0.028296082082960954, 'you': 0.02676538403868821, 'not': 0.02470339947873515, 'of': 0.023504941224092028, 'that': 0.02299284653533748, 'is': 0.021221503048933065, 'do': 0.019888438973529658}"
0.946969696969697,0.9468201438848921,0.952054794520548,0.946969696969697,0.94964,1,1.0,0.944,1.0,0.8939393939393939,[],"[980527, 979892, 980319, 980017, 980239, 1172054, 979874, 980077, 1228987, 980015, 979858, 980331, 980213, 979903, 980068, 1229022, 980190, 980322, 980046, 980531, 980485]","{'TTR': 0.21151331160107778, 'VBP': 0.04860215809395278, 'do': 0.036783495193771845, 'have': 0.035414329375504816, 'is': 0.0349870121861418, 'of': 0.026595382366918875, 'not': 0.026452522788457576, 'you': 0.02573636741002104, 'that': 0.024986286232033653, 'VBZ': 0.02388551437749623}"
0.9318181818181818,0.9315453515247357,0.9388138624640349,0.9318181818181818,0.93587,1,0.9949494949494949,0.9272237196765498,0.9942196531791907,0.8686868686868687,[1198011],"[1172039, 980017, 980485, 979858, 980557, 980478, 980068, 980390, 980481, 980046, 980305, 980291, 980527, 980290, 980074, 979980, 980239, 980289, 980130, 979804, 979784, 980531, 980227, 980506, 979956, 980343]","{'TTR': 0.195769506453376, 'VBP': 0.04286941510261294, 'do': 0.03940631640618293, 'have': 0.03608417532622799, 'you': 0.02743965805265659, 'VBZ': 0.025979249782081902, 'is': 0.025888954509250134, 'of': 0.0242596881577137, 'not': 0.022296778817346156, 'in': 0.01811053891796579}"
0.9570707070707071,0.9570090235070983,0.9597090741168322,0.9570707070707071,0.95864,1,0.9949494949494949,0.9553805774278216,0.994535519125683,0.9191919191919192,[1254329],"[980390, 980322, 979778, 980527, 980248, 980217, 979889, 979918, 980557, 979804, 980164, 980017, 980478, 980291, 979956, 980517]","{'TTR': 0.19168168091296506, 'VBP': 0.04608556025535912, 'have': 0.04398688924123826, 'do': 0.04099699081024637, 'is': 0.03207990744869078, 'not': 0.031780630294988475, 'VBZ': 0.02897505229493547, 'that': 0.02396994476556314, 'what': 0.022116040362924697, 'could': 0.020830023098080422}"
0.952020202020202,0.951931615631808,0.9553771039444944,0.952020202020202,0.954,1,0.9949494949494949,0.9498680738786279,0.994475138121547,0.9090909090909091,[1255557],"[980390, 980305, 980517, 980461, 980190, 980322, 980457, 1172045, 980318, 980114, 979777, 980217, 980331, 1228987, 979903, 980017, 979858, 980485]","{'TTR': 0.1953906127733147, 'VBP': 0.04883294646291109, 'have': 0.04710442492278601, 'VBZ': 0.03779082231039209, 'not': 0.033385287730251165, 'is': 0.031208633645741245, 'do': 0.02949596811174231, 'you': 0.026084136654444524, 'what': 0.02571492106047844, 'that': 0.02490442984777053}"
0.9570707070707071,0.9570572888426774,0.9576427020814711,0.9570707070707071,0.95782,1,0.9747474747474747,0.9562982005141388,0.9738219895287958,0.9393939393939394,"[1200277, 1256580, 839046, 1197617, 839171]","[980407, 980239, 979858, 980046, 1229036, 980481, 980322, 979862, 1229011, 979918, 979884, 980500]","{'TTR': 0.18812460593649488, 'VBP': 0.060374485949851786, 'VBZ': 0.038472019549095925, 'not': 0.03779503963493421, 'have': 0.02846457582122897, 'do': 0.027508165187327783, 'is': 0.025404529765547072, 'could': 0.025387984035497725, 'of': 0.024111043131488624, 'what': 0.021049517284771092}"
0.9621212121212122,0.9620667854474394,0.9647887323943662,0.9621212121212122,0.9635,1,1.0,0.9606299212598425,1.0,0.9242424242424242,[],"[1228987, 980557, 979980, 980457, 980429, 980552, 980213, 1172100, 1229034, 980531, 980271, 980517, 980217, 980020, 979956]","{'TTR': 0.1875083776824588, 'VBP': 0.05316508222516478, 'have': 0.035002982411803746, 'do': 0.03158865145481299, 'VBZ': 0.031388657802864886, 'that': 0.02549208590492006, 'is': 0.024796177063817103, 'what': 0.022417940915815827, 'not': 0.022404364540730165, 'you': 0.020202838232460142}"
0.9368686868686869,0.9366160662266072,0.9439461883408072,0.9368686868686869,0.94062,1,1.0,0.9326145552560647,1.0,0.8737373737373737,[],"[980248, 1172054, 979843, 979862, 979858, 980046, 1172100, 980230, 980527, 980335, 980473, 979980, 979777, 979850, 1172052, 980322, 980319, 980305, 980213, 980343, 980015, 979918, 980202, 980366, 980195]","{'TTR': 0.1962389727634497, 'VBP': 0.05038150303899427, 'not': 0.042612819540223945, 'have': 0.041430502891431666, 'do': 0.039933807876889285, 'you': 0.026475809893187666, 'of': 0.025762702471266653, 'VBZ': 0.02447511046701269, 'it': 0.02328596461065345, 'that': 0.022789312270356032}"
0.9621212121212122,0.9620667854474394,0.9647887323943662,0.9621212121212122,0.9635,1,1.0,0.9606299212598425,1.0,0.9242424242424242,[],"[979835, 979778, 980335, 1172082, 979784, 979918, 1229011, 980393, 980485, 979814, 980517, 980557, 979858, 979871, 980020]","{'TTR': 0.18575797866224483, 'have': 0.04949012899926823, 'VBP': 0.04700519707192044, 'of': 0.029904398788478708, 'do': 0.02904456232163794, 'not': 0.027291498495838704, 'is': 0.026501096931127736, 'you': 0.0229403848140116, 'that': 0.022581575528034647, 'VBN': 0.02065468463234943}"
0.9545454545454546,0.9544513457556937,0.9583333333333334,0.9545454545454546,0.95652,1,1.0,0.9523809523809523,1.0,0.9090909090909091,[],"[980305, 980557, 979862, 979784, 980481, 980271, 1229034, 980478, 980230, 980017, 979778, 1229007, 980291, 980298, 979956, 980239, 979884, 979850]","{'TTR': 0.19321018832780507, 'have': 0.0465613816930252, 'VBP': 0.046332117361201394, 'do': 0.037235973156620306, 'not': 0.033168188508331066, 'VBZ': 0.028012276239161, 'you': 0.024623521054045056, 'be': 0.022670171749976972, 'is': 0.021440269552083568, 'so': 0.020300306794885994}"
0.9595959595959596,0.9595298926928972,0.9626168224299064,0.9595959595959596,0.96117,1,1.0,0.9578947368421052,1.0,0.9191919191919192,[],"[980074, 980199, 980527, 1228978, 980290, 1229011, 980300, 980006, 979843, 979871, 979980, 980366, 980017, 1172052, 980046, 979903]","{'TTR': 0.20446448196061107, 'VBP': 0.049266569040477305, 'have': 0.04296849036266488, 'do': 0.03630689165939147, 'VBZ': 0.031233257860126065, 'is': 0.02570282490128657, 'you': 0.02246671637194804, 'of': 0.021457207793452896, 'said': 0.019612989350839723, 'could': 0.01939003515146718}"
0.9419191919191919,0.9417851778466653,0.9460263110470356,0.9419191919191919,0.94458,1,0.98989898989899,0.9389920424403183,0.9888268156424581,0.8939393939393939,"[1255689, 1198825]","[980335, 979784, 980291, 980006, 979816, 1229007, 980077, 980230, 980164, 979850, 980366, 980233, 1229034, 980046, 980003, 980407, 1229036, 979777, 979804, 980248, 979843]","{'TTR': 0.20003490368692808, 'have': 0.060819452556791366, 'VBP': 0.05158427099482806, 'of': 0.03338271893557257, 'do': 0.02948954659412298, 'you': 0.02416477153698077, 'what': 0.021608249627693907, 'is': 0.019616150738215713, 'that': 0.019274740353837774, 'be': 0.017800737720187174}"
0.9494949494949495,0.9493657937806873,0.9541284403669725,0.9494949494949495,0.95192,1,1.0,0.9468085106382979,1.0,0.898989898989899,[],"[980213, 980390, 980130, 980319, 980527, 1229022, 979889, 979874, 979804, 979932, 980481, 980366, 979835, 980557, 980343, 980291, 980074, 1172054, 980271, 1229036]","{'TTR': 0.1860184722647284, 'have': 0.0584622132877191, 'VBP': 0.04951563194157581, 'do': 0.03924618674534272, 'not': 0.034284095814227464, 'what': 0.02618477447090451, 'of': 0.02408430707420801, 'that': 0.023279265292411738, 'is': 0.020383529345907325, 'you': 0.02016174022936866}"
0.9595959595959596,0.9595453965010853,0.9619052502050861,0.9595959595959596,0.96098,1,0.9949494949494949,0.9581151832460733,0.9945652173913043,0.9242424242424242,[1256977],"[979860, 980457, 980478, 980289, 980552, 980248, 980074, 980473, 980343, 980190, 980418, 980015, 980516, 979874, 980546]","{'TTR': 0.1799743368376245, 'have': 0.04414907810064078, 'VBP': 0.04388605609537008, 'is': 0.03599061556487529, 'not': 0.031934456307154926, 'do': 0.030434061249190635, 'you': 0.02576115368503423, 'of': 0.02488132569140835, 'VBZ': 0.021875442373391233, 'VBN': 0.021462510710810595}"
0.9646464646464646,0.9646022219384497,0.9669811320754716,0.9646464646464646,0.96585,1,1.0,0.9633507853403142,1.0,0.9292929292929293,[],"[1229029, 980248, 980517, 980481, 980055, 979892, 980546, 980046, 980492, 980407, 979777, 1228987, 980271, 980230]","{'TTR': 0.19244561191670254, 'VBP': 0.05937726823585657, 'have': 0.041681917732334546, 'do': 0.03949236099094612, 'is': 0.02820957559679362, 'VBZ': 0.026644369486322667, 'you': 0.023743244811796915, 'of': 0.023296376895343786, 'what': 0.021012258904209415, 'with': 0.020882764943569145}"
