accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.8848684210526315,0.8838110838110836,0.8994070879935319,0.8848684210526315,0.89489,1,0.9802631578947368,0.8727272727272727,0.975609756097561,0.7894736842105263,"[1189349, 1089476, 1190858]","[1161010, 1160967, 891156, 890905, 890889, 891149, 1161001, 1217831, 890731, 890936, 890825, 891135, 890855, 890966, 891109, 890684, 891012, 890761, 890809, 890810, 891167, 891057, 890767, 890873, 891184, 890891, 890923, 1217817, 1161017, 1160955, 1160975, 890993]","{'TTR': 0.21685079725445977, 'which': 0.02913135867141155, 'not': 0.027399388815851355, 'said': 0.025903104683407195, 'you': 0.020634083882807203, 'by': 0.020453792858507826, 'NNS': 0.02039170739282136, 'this': 0.019456504118506246, 'on': 0.0162201327812713, 'PRP': 0.015126602102972904}"
0.9177631578947368,0.9175624518662344,0.9218715852965601,0.9177631578947368,0.92163,1,0.9671052631578947,0.9134948096885813,0.9635036496350365,0.868421052631579,"[1247259, 1089890, 1089892, 1245448, 1245461]","[890855, 890923, 891174, 891031, 1160970, 890797, 891003, 890847, 890892, 891164, 1217817, 890824, 1217863, 891217, 890821, 890871, 890718, 1160979, 891110, 891198]","{'TTR': 0.18638286774783178, 'not': 0.025324006386014643, 'you': 0.025103047624234282, 'which': 0.023987457619696458, 'by': 0.02233847599902245, 'VBD': 0.021475577428749393, 'with': 0.020110479657612007, 'this': 0.018355315174479605, 'from': 0.01834599842746722, 'on': 0.017950900327467354}"
0.8980263157894737,0.8975373742864909,0.9057715218638309,0.8980263157894737,0.90462,1,0.9671052631578947,0.8904593639575972,0.9618320610687023,0.8289473684210527,"[1190546, 1247688, 1088154, 1189982, 1154390]","[891215, 890946, 890684, 1217831, 1217869, 890854, 890936, 890793, 890810, 1217801, 891239, 891023, 890910, 1161025, 890809, 890731, 890691, 891000, 890875, 1217843, 890768, 891156, 891184, 890944, 890966, 890912]","{'TTR': 0.21675217466664043, 'NNS': 0.028687707661070146, 'on': 0.024732404635608583, 'you': 0.02459344894085152, 'said': 0.02361839909206139, 'which': 0.02346767724963911, 'not': 0.0227604278741645, 'VBD': 0.018514449782409414, 'we': 0.0181850288513033, 'this': 0.017989187988562468}"
0.8782894736842105,0.877588777520215,0.8871539313399778,0.8782894736842105,0.88685,1,0.9539473684210527,0.8683274021352313,0.9457364341085271,0.8026315789473685,"[1188649, 1190546, 1190224, 1246416, 1190776, 1245658, 1189255]","[890732, 1160975, 1161010, 891167, 890881, 891198, 890941, 891199, 891245, 891192, 890731, 890718, 890891, 1160979, 890860, 890871, 891115, 1161001, 890810, 891128, 1217851, 890715, 1217802, 890821, 890937, 891037, 891032, 890923, 1217830, 891204]","{'TTR': 0.197710590149825, 'which': 0.029634618274912063, 'on': 0.02667329300894732, 'said': 0.025390403884580567, 'with': 0.023800038008989065, 'this': 0.02255786871359633, 'not': 0.021524407648031187, 'you': 0.018333709555387274, 'we': 0.01755733475262286, 'VBD': 0.014486745432797625}"
0.8980263157894737,0.8978394961353757,0.900959232613909,0.8980263157894737,0.90221,1,0.9407894736842105,0.8934707903780069,0.935251798561151,0.8552631578947368,"[1245612, 1247745, 1247283, 1188545, 836790, 1088271, 1245544, 1246379, 1190058]","[891217, 890797, 890689, 891210, 891198, 891135, 890731, 890819, 891057, 1217829, 890873, 891016, 890892, 1217827, 891034, 891160, 1217831, 891000, 890881, 890854, 891109, 890738]","{'TTR': 0.18287660794617422, 'on': 0.028026582657959556, 'you': 0.02639188088512252, 'said': 0.025860807050006037, 'which': 0.023199015784247972, 'this': 0.021929817521452084, 'an': 0.01960652031915568, 'not': 0.01900372148659844, 'PRP$': 0.0182344027005429, 'be': 0.0169914340076449}"
0.9144736842105263,0.9142361111111112,0.9191176470588234,0.9144736842105263,0.91875,1,0.9671052631578947,0.9097222222222222,0.9632352941176471,0.8618421052631579,"[1188545, 1088471, 1188470, 1189093, 1246710]","[891204, 890931, 891063, 890905, 891127, 891031, 890919, 891109, 891009, 891090, 891135, 890819, 890691, 890923, 891075, 890732, 891115, 890948, 890871, 890855, 1217843]","{'TTR': 0.20291352766919743, 'with': 0.03421591054831738, 'we': 0.02701147846188107, 'on': 0.025641385894493444, 'said': 0.021966883878756636, 'which': 0.021249382680412213, 'not': 0.019749182681090032, 'you': 0.016917930331496845, 'for': 0.016049881451696734, 'this': 0.01573101638704065}"
0.9111842105263158,0.9108359133126934,0.9177109440267335,0.9111842105263158,0.91641,1,0.9736842105263158,0.9052631578947369,0.9699248120300752,0.8486842105263158,"[1247665, 1088555, 1189999, 1189349]","[891109, 890944, 891174, 890825, 890854, 1217831, 1160975, 890907, 1160967, 890997, 891029, 891239, 1217801, 890732, 891210, 891000, 890718, 1161023, 890779, 890726, 1217869, 891193, 890936]","{'TTR': 0.19915265633304455, 'not': 0.034738243813045855, 'you': 0.02251313112171991, 'this': 0.021941620053276965, 'VBD': 0.021617868964753553, 'said': 0.021347309360854824, 'NNS': 0.019632990100882687, 'on': 0.01949856167153666, 'for': 0.01883323380428208, 'by': 0.018170537434517957}"
0.9046052631578947,0.9044304963847062,0.9075866579463701,0.9046052631578947,0.90852,1,0.9473684210526315,0.9003436426116839,0.9424460431654677,0.8618421052631579,"[1190809, 1088640, 1246941, 1246884, 1245817, 1088271, 1089121, 1189495]","[890946, 891068, 1161025, 891124, 890931, 891029, 891109, 1161010, 890825, 891090, 891135, 891184, 891115, 891075, 1217830, 891193, 891166, 1161023, 890797, 1217847, 890966]","{'TTR': 0.1932068191107578, 'with': 0.028776200473448907, 'this': 0.02723305385766954, 'which': 0.02665438815893262, 'not': 0.024923449156341954, 'said': 0.02391772205403513, 'we': 0.021922518096851445, 'you': 0.021293711042960344, 'for': 0.019209617214551715, 'VBD': 0.0163767891486619}"
0.9013157894736842,0.9006968641114982,0.9115767045454546,0.9013157894736842,0.90854,1,0.9802631578947368,0.8928571428571429,0.9765625,0.8223684210526315,"[1089701, 1246737, 1190779]","[1160975, 890723, 1217847, 890847, 890946, 890768, 890912, 891268, 891225, 891029, 890881, 891057, 891003, 891245, 891034, 891156, 1217817, 890732, 891031, 890728, 1217843, 891128, 890810, 891115, 891250, 890806, 891210]","{'TTR': 0.185483857878371, 'which': 0.027209249058060245, 'said': 0.0250883616941404, 'VBD': 0.024112736695090054, 'this': 0.02218837708638583, 'NNS': 0.022078623182485352, 'on': 0.021475897257212467, 'by': 0.020968689047058068, 'with': 0.01978091661515075, 'PRP$': 0.01944105304990547}"
0.9078947368421053,0.907494348808903,0.9150810429880198,0.9078947368421053,0.91358,1,0.9736842105263158,0.9014084507042254,0.9696969696969697,0.8421052631578947,"[1189626, 1245444, 1247552, 1190228]","[891135, 890726, 1161001, 890691, 891193, 890679, 891210, 891057, 891164, 890819, 891239, 891012, 890905, 890891, 891199, 1160986, 890892, 891268, 891149, 891174, 891156, 891198, 891160, 1161023]","{'TTR': 0.2108105015031563, 'not': 0.025722647950019183, 'we': 0.024419075695170923, 'said': 0.023798385727300465, 'with': 0.02084408875219308, 'by': 0.020485504581282243, 'which': 0.02047973592324347, 'you': 0.018435867162016138, 'on': 0.018349634585017597, 'NNS': 0.015654052967214952}"
