accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.9295302013422819,0.9294658656718099,0.9311030741410489,0.9295302013422819,0.9316,1,0.959731543624161,0.9273356401384083,0.9571428571428572,0.8993288590604027,"[1245321, 1188735, 1190174, 1245769, 1246407, 1088205]","[895213, 895450, 895346, 895338, 894967, 895168, 894942, 894903, 895253, 895260, 1161496, 895079, 1161500, 895158, 895443]","{'TTR': 0.09384001596872939, 'or': 0.05556176411948752, 'mean_sen_len': 0.05324738256706042, 'this': 0.04391872371251859, 'the': 0.04175165505828119, 'an': 0.025924407205203847, 'on': 0.021938206473534824, 'which': 0.021283636356693246, 'DT': 0.02034710559778247, 'a': 0.020206109427594654}"
0.9228187919463087,0.9226227435396653,0.927147797597379,0.9228187919463087,0.92652,1,0.9731543624161074,0.9187279151943463,0.9701492537313433,0.87248322147651,"[1188655, 1089499, 1246937, 1190546]","[895325, 895125, 895253, 894902, 1161510, 895252, 1218360, 895378, 895024, 895067, 895321, 1218374, 894913, 895465, 894992, 895476, 895260, 895028, 895227]","{'TTR': 0.07980934931748676, 'mean_sen_len': 0.06757329468192846, 'the': 0.046232655562457856, 'or': 0.044919827620656154, 'on': 0.04232264253793213, 'this': 0.03685937089896996, 'an': 0.033067486825221384, 'a': 0.027844597949037625, 'PRP$': 0.02009898724343308, 'DT': 0.018337253817570905}"
0.9093959731543624,0.9090261524371629,0.9161630036630036,0.9093959731543624,0.91483,1,0.9731543624161074,0.9032258064516129,0.9692307692307692,0.8456375838926175,"[1245302, 1246625, 1247062, 1089447]","[1218349, 895422, 895458, 1218363, 895282, 895079, 895125, 1218360, 895338, 895112, 895309, 895148, 894946, 895260, 894896, 895055, 895346, 895024, 894930, 895388, 1218374, 895250, 1161502]","{'TTR': 0.09520558851532376, 'mean_sen_len': 0.07017467662546326, 'or': 0.05950429228148473, 'the': 0.0462029452628804, 'this': 0.038788102092952, 'on': 0.03803627434156544, 'an': 0.024510964134385062, 'DT': 0.020987093202905593, 'PRP$': 0.020051364296374705, 'and': 0.01938675532184274}"
0.9161073825503355,0.915992918597702,0.9183876811594202,0.9161073825503355,0.91909,1,0.9530201342281879,0.9128919860627178,0.9492753623188406,0.8791946308724832,"[1088307, 1246320, 1245709, 1088080, 1190704, 1190873, 1190052]","[895346, 895071, 895376, 1161524, 895416, 895168, 1161502, 895197, 895064, 894901, 894902, 895458, 895340, 895253, 894903, 895044, 895329, 895465]","{'TTR': 0.0800176414989457, 'mean_sen_len': 0.0634196367625749, 'the': 0.05134824726917857, 'or': 0.050358987639590264, 'this': 0.040320633538653554, 'an': 0.03078954478840064, 'on': 0.02451485549850974, 'a': 0.021769256150485937, 'from': 0.0201802830386785, 'we': 0.01996832648112828}"
0.9295302013422819,0.9293512006231724,0.9339279213687659,0.9295302013422819,0.93291,1,0.9798657718120806,0.9257950530035336,0.9776119402985075,0.8791946308724832,"[1246008, 1087851, 1245992]","[894913, 894946, 1218349, 894992, 895045, 895178, 895253, 895376, 1161525, 894922, 895227, 895378, 1161487, 895422, 895033, 895465, 895148, 895125]","{'TTR': 0.09601685345300387, 'or': 0.05327456932211459, 'mean_sen_len': 0.052824368249900264, 'the': 0.04440546469798786, 'this': 0.035540057311153644, 'DT': 0.030633433611024847, 'on': 0.027957794040408667, 'an': 0.027565803700865452, 'PRP$': 0.025364636714222837, 'a': 0.023237563368532405}"
0.8993288590604027,0.8988733541468711,0.9066556579973396,0.8993288590604027,0.90566,1,0.9664429530201343,0.8920863309352518,0.9612403100775194,0.8322147651006712,"[1088372, 1246347, 1246625, 1189655, 1188583]","[895229, 895340, 895094, 1161496, 895105, 895067, 1161525, 895321, 895476, 895023, 894896, 895055, 1161483, 895325, 895253, 895024, 895227, 895465, 895192, 1161515, 895389, 895197, 1161502, 895231, 895028]","{'TTR': 0.08812812797399884, 'mean_sen_len': 0.0827203707514141, 'or': 0.057631561036823487, 'this': 0.0492332910875838, 'the': 0.042788418115048674, 'a': 0.027692541246758837, 'on': 0.025779433077107325, 'an': 0.023968187585087265, 'PRP$': 0.022926909436519392, 'DT': 0.017371841191447916}"
0.9228187919463087,0.9225667965881491,0.9283953997809421,0.9228187919463087,0.92698,1,0.9798657718120806,0.9181494661921709,0.9772727272727273,0.8657718120805369,"[1190274, 1089426, 1246125]","[895376, 895321, 895458, 1218384, 895252, 1161525, 895426, 895025, 895045, 895071, 895192, 1218349, 895416, 895389, 895476, 894901, 894951, 895079, 895400, 895158]","{'TTR': 0.09341618399899546, 'mean_sen_len': 0.05405405512616356, 'or': 0.053521291571147656, 'the': 0.03849182099454869, 'this': 0.035264402183571825, 'an': 0.030811344320177184, 'on': 0.02835110522387363, 'we': 0.024031714405123732, 'and': 0.021625198558505785, 'a': 0.019737907365616644}"
0.9362416107382551,0.9361546181342535,0.9386322463768116,0.9362416107382551,0.93851,1,0.9731543624161074,0.9337979094076655,0.9710144927536232,0.8993288590604027,"[1188630, 1089281, 1190594, 1188746]","[895450, 894992, 895044, 1218384, 895325, 894967, 895067, 894942, 895385, 894969, 895028, 895378, 895250, 895309, 894906]","{'TTR': 0.08933445952127617, 'mean_sen_len': 0.05646555625288926, 'or': 0.05113869905765367, 'the': 0.04814350219788586, 'on': 0.04196229403835185, 'this': 0.03620193065215447, 'an': 0.031068545204222923, 'a': 0.027816530380287915, 'DT': 0.024983204743814304, 'and': 0.020472069829990377}"
0.9060402684563759,0.9058324304803179,0.9096568961599637,0.9060402684563759,0.91026,1,0.9530201342281879,0.9014084507042254,0.9481481481481482,0.8590604026845637,"[1190320, 1088494, 836480, 1246008, 1088675, 836337, 1189723]","[895025, 895158, 895131, 1218360, 894969, 1218363, 895250, 895385, 1161510, 895155, 895195, 1161524, 895230, 895376, 1161515, 895340, 1218351, 895346, 895329, 895239, 894936]","{'TTR': 0.08206938274801279, 'or': 0.06060719190192353, 'mean_sen_len': 0.05740598446762834, 'the': 0.042671133782613974, 'this': 0.041507044759418875, 'an': 0.03863536543758347, 'on': 0.027563249458238077, 'a': 0.026754273168296535, 'from': 0.02346708369295384, 'DT': 0.020046773558285658}"
0.9194630872483222,0.9193722943722943,0.9213610243880368,0.9194630872483222,0.92208,1,0.9530201342281879,0.9166666666666666,0.9496402877697842,0.8859060402684564,"[1246146, 1189129, 1190555, 1245856, 1189938, 1088604, 1089459]","[895253, 1218363, 895376, 895145, 894902, 895260, 895213, 1161525, 895044, 895165, 895297, 895028, 894930, 895025, 1218351, 895252, 894906]","{'TTR': 0.09165039664304159, 'mean_sen_len': 0.06759835644069788, 'or': 0.04518672950384081, 'the': 0.042525436048858146, 'this': 0.03561905004624706, 'an': 0.030490510444213775, 'on': 0.02805637085938259, 'DT': 0.02341234768449356, 'a': 0.019649057128464906, 'as': 0.01795982767217375}"
